[I 2024-11-29 03:46:58,434] Using an existing study with name 'R8-GATv2-google-bert-bert-base-uncased-Grouped-Layer-wise_Aggregation' instead of creating a new one.
Token indices sequence length is longer than the specified maximum sequence length for this model (639 > 512). Running this sequence through the model will result in indexing errors
[I 2024-11-29 04:04:33,883] Trial 68 finished with value: 0.9353927757657451 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.7068767904277696, 'batch_size': 52, 'attention_heads': 15, 'hidden_dimension': 137, 'number_of_hidden_layers': 3, 'dropout_rate': 0.38542526970605906, 'global_pooling': 'mean', 'learning_rate': 0.0004314091959212643, 'weight_decay': 2.9824509053239824e-06, 'beta_0': 0.838044325420495, 'beta_1': 0.9961600543458262, 'epsilon': 3.4780860728044645e-06, 'balanced_loss': False, 'epochs': 84, 'early_stopping_patience': 16, 'plateau_patience': 12, 'plateau_divider': 9}. Best is trial 41 with value: 0.9629554078946512.
[I 2024-11-29 09:23:38,245] Trial 101 finished with value: -1.0 and parameters: {'left_stride': 64, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.6665126055090715, 'batch_size': 103, 'attention_heads': 12, 'hidden_dimension': 148, 'number_of_hidden_layers': 4, 'dropout_rate': 0.3169922320307382, 'global_pooling': 'mean', 'learning_rate': 0.00027558550517285495, 'weight_decay': 2.4711426051303644e-05, 'beta_0': 0.8091743854878205, 'beta_1': 0.9925155902848778, 'epsilon': 3.8208664592082244e-05, 'balanced_loss': False, 'epochs': 183, 'early_stopping_patience': 15, 'plateau_patience': 14, 'plateau_divider': 10}. Best is trial 41 with value: 0.9629554078946512.
[I 2024-11-29 09:34:03,232] Trial 102 finished with value: 0.952281948623644 and parameters: {'left_stride': 0, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.6566027857526314, 'batch_size': 75, 'attention_heads': 10, 'hidden_dimension': 135, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4348995735100292, 'global_pooling': 'mean', 'learning_rate': 0.00047096970158021353, 'weight_decay': 1.2795910888539879e-05, 'beta_0': 0.8121046368853513, 'beta_1': 0.9929752987288569, 'epsilon': 1.5687615485889262e-05, 'balanced_loss': False, 'epochs': 186, 'early_stopping_patience': 22, 'plateau_patience': 13, 'plateau_divider': 9}. Best is trial 41 with value: 0.9629554078946512.
[I 2024-11-29 09:44:02,733] Trial 103 finished with value: 0.9641397920921474 and parameters: {'left_stride': 0, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.6843629313526834, 'batch_size': 80, 'attention_heads': 10, 'hidden_dimension': 133, 'number_of_hidden_layers': 1, 'dropout_rate': 0.43455272553956875, 'global_pooling': 'mean', 'learning_rate': 0.0004566352041525085, 'weight_decay': 1.9664424311839137e-05, 'beta_0': 0.8108812865972944, 'beta_1': 0.9928327116737514, 'epsilon': 1.4801295425131021e-05, 'balanced_loss': False, 'epochs': 186, 'early_stopping_patience': 22, 'plateau_patience': 13, 'plateau_divider': 10}. Best is trial 103 with value: 0.9641397920921474.
[I 2024-11-29 09:54:22,890] Trial 104 finished with value: 0.9454046192255066 and parameters: {'left_stride': 0, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.6880036943531547, 'batch_size': 87, 'attention_heads': 10, 'hidden_dimension': 127, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4509994568596467, 'global_pooling': 'mean', 'learning_rate': 0.0003907346503826896, 'weight_decay': 1.5102565314629012e-05, 'beta_0': 0.8018236827287778, 'beta_1': 0.9918444699517633, 'epsilon': 1.8485789127965436e-05, 'balanced_loss': False, 'epochs': 191, 'early_stopping_patience': 22, 'plateau_patience': 13, 'plateau_divider': 10}. Best is trial 103 with value: 0.9641397920921474.
[I 2024-11-29 10:04:58,904] Trial 105 finished with value: 0.9567719985284193 and parameters: {'left_stride': 0, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.6813898793871622, 'batch_size': 147, 'attention_heads': 9, 'hidden_dimension': 141, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4395878614557126, 'global_pooling': 'mean', 'learning_rate': 0.00020111275089843207, 'weight_decay': 2.1365053677806804e-05, 'beta_0': 0.8518602047363848, 'beta_1': 0.9927387022413817, 'epsilon': 1.3451788488261635e-05, 'balanced_loss': False, 'epochs': 193, 'early_stopping_patience': 23, 'plateau_patience': 12, 'plateau_divider': 10}. Best is trial 103 with value: 0.9641397920921474.
[I 2024-11-29 10:17:00,444] Trial 106 finished with value: 0.948690701043303 and parameters: {'left_stride': 0, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.7121374240524767, 'batch_size': 154, 'attention_heads': 9, 'hidden_dimension': 167, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4422216872671021, 'global_pooling': 'mean', 'learning_rate': 0.00018242113889957163, 'weight_decay': 1.9334886113531372e-05, 'beta_0': 0.8522152924744597, 'beta_1': 0.9926429697758585, 'epsilon': 6.8506889943619296e-06, 'balanced_loss': False, 'epochs': 193, 'early_stopping_patience': 24, 'plateau_patience': 11, 'plateau_divider': 10}. Best is trial 103 with value: 0.9641397920921474.
[I 2024-11-29 10:26:55,819] Trial 107 finished with value: 0.9553160784214721 and parameters: {'left_stride': 0, 'right_stride': 64, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.6796785461334272, 'batch_size': 162, 'attention_heads': 8, 'hidden_dimension': 153, 'number_of_hidden_layers': 1, 'dropout_rate': 0.47306456856636236, 'global_pooling': 'mean', 'learning_rate': 0.0008339455236243235, 'weight_decay': 3.8246071353110235e-05, 'beta_0': 0.8598797203997499, 'beta_1': 0.9938221799457785, 'epsilon': 1.2119470578150601e-05, 'balanced_loss': False, 'epochs': 175, 'early_stopping_patience': 23, 'plateau_patience': 12, 'plateau_divider': 4}. Best is trial 103 with value: 0.9641397920921474.
[I 2024-11-29 10:36:33,775] Trial 108 finished with value: 0.9501593105418914 and parameters: {'left_stride': 0, 'right_stride': 64, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.682500783891657, 'batch_size': 150, 'attention_heads': 8, 'hidden_dimension': 152, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4758251986502672, 'global_pooling': 'mean', 'learning_rate': 0.0009198260710639026, 'weight_decay': 3.928179109341194e-05, 'beta_0': 0.8592742229571106, 'beta_1': 0.9939409406549748, 'epsilon': 1.3654580673960536e-05, 'balanced_loss': False, 'epochs': 176, 'early_stopping_patience': 23, 'plateau_patience': 11, 'plateau_divider': 4}. Best is trial 103 with value: 0.9641397920921474.
[I 2024-11-29 10:46:31,875] Trial 109 finished with value: 0.9564459743659749 and parameters: {'left_stride': 0, 'right_stride': 64, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.6941199725963142, 'batch_size': 161, 'attention_heads': 8, 'hidden_dimension': 142, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4819237879346342, 'global_pooling': 'mean', 'learning_rate': 0.000761589934909149, 'weight_decay': 3.509881935176618e-05, 'beta_0': 0.858092464487406, 'beta_1': 0.9862036088097045, 'epsilon': 2.271199253769589e-05, 'balanced_loss': False, 'epochs': 200, 'early_stopping_patience': 24, 'plateau_patience': 12, 'plateau_divider': 10}. Best is trial 103 with value: 0.9641397920921474.
[I 2024-11-29 10:56:40,158] Trial 110 finished with value: 0.9379872513747712 and parameters: {'left_stride': 0, 'right_stride': 64, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.7224796733366858, 'batch_size': 165, 'attention_heads': 8, 'hidden_dimension': 161, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4792079517790416, 'global_pooling': 'mean', 'learning_rate': 0.0006644850769907765, 'weight_decay': 3.114065339651022e-05, 'beta_0': 0.8613990214347779, 'beta_1': 0.9846196369270862, 'epsilon': 2.289239856676767e-05, 'balanced_loss': False, 'epochs': 200, 'early_stopping_patience': 24, 'plateau_patience': 12, 'plateau_divider': 4}. Best is trial 103 with value: 0.9641397920921474.
[I 2024-11-29 11:06:53,888] Trial 111 finished with value: 0.9410679034655349 and parameters: {'left_stride': 0, 'right_stride': 64, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.7040829860683895, 'batch_size': 177, 'attention_heads': 7, 'hidden_dimension': 145, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4574054214067906, 'global_pooling': 'max', 'learning_rate': 0.001470006078760481, 'weight_decay': 4.581815725773704e-05, 'beta_0': 0.8478144653261405, 'beta_1': 0.9875785806212245, 'epsilon': 2.7545954323974298e-05, 'balanced_loss': False, 'epochs': 195, 'early_stopping_patience': 25, 'plateau_patience': 12, 'plateau_divider': 7}. Best is trial 103 with value: 0.9641397920921474.
[I 2024-11-29 11:16:58,581] Trial 112 finished with value: 0.9380560344403999 and parameters: {'left_stride': 0, 'right_stride': 64, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.6898454063536076, 'batch_size': 168, 'attention_heads': 9, 'hidden_dimension': 139, 'number_of_hidden_layers': 1, 'dropout_rate': 0.468177601747573, 'global_pooling': 'mean', 'learning_rate': 0.00112326750360457, 'weight_decay': 3.5218316857553556e-05, 'beta_0': 0.8650333530549271, 'beta_1': 0.983399437317801, 'epsilon': 1.1922472512953823e-05, 'balanced_loss': False, 'epochs': 197, 'early_stopping_patience': 23, 'plateau_patience': 12, 'plateau_divider': 5}. Best is trial 103 with value: 0.9641397920921474.
[I 2024-11-29 11:26:47,760] Trial 113 finished with value: 0.9402673055100239 and parameters: {'left_stride': 0, 'right_stride': 64, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.695511370487524, 'batch_size': 162, 'attention_heads': 8, 'hidden_dimension': 153, 'number_of_hidden_layers': 1, 'dropout_rate': 0.49041954582382286, 'global_pooling': 'mean', 'learning_rate': 0.0007565395972566604, 'weight_decay': 2.587854795575904e-05, 'beta_0': 0.8555116526878557, 'beta_1': 0.9884853045668178, 'epsilon': 8.659583500762014e-06, 'balanced_loss': False, 'epochs': 181, 'early_stopping_patience': 24, 'plateau_patience': 11, 'plateau_divider': 10}. Best is trial 103 with value: 0.9641397920921474.
[I 2024-11-29 11:36:15,231] Trial 114 finished with value: 0.9412657570040401 and parameters: {'left_stride': 0, 'right_stride': 64, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.6791523519869778, 'batch_size': 147, 'attention_heads': 7, 'hidden_dimension': 142, 'number_of_hidden_layers': 1, 'dropout_rate': 0.480769947385884, 'global_pooling': 'mean', 'learning_rate': 0.0005379399632026223, 'weight_decay': 2.0755231440014292e-05, 'beta_0': 0.8498454251027875, 'beta_1': 0.9863802968049231, 'epsilon': 2.203691523900967e-05, 'balanced_loss': False, 'epochs': 191, 'early_stopping_patience': 23, 'plateau_patience': 12, 'plateau_divider': 3}. Best is trial 103 with value: 0.9641397920921474.
[I 2024-11-29 11:45:53,377] Trial 115 finished with value: 0.9358715295735396 and parameters: {'left_stride': 0, 'right_stride': 0, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.7093298026353726, 'batch_size': 190, 'attention_heads': 9, 'hidden_dimension': 122, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4998537181734582, 'global_pooling': 'mean', 'learning_rate': 0.00044603164521280186, 'weight_decay': 2.1853126765111895e-05, 'beta_0': 0.8584849624581333, 'beta_1': 0.98689417248549, 'epsilon': 1.3720123640737542e-05, 'balanced_loss': False, 'epochs': 148, 'early_stopping_patience': 23, 'plateau_patience': 11, 'plateau_divider': 6}. Best is trial 103 with value: 0.9641397920921474.
[I 2024-11-29 11:55:40,484] Trial 116 finished with value: 0.9425090194010183 and parameters: {'left_stride': 0, 'right_stride': 64, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.6956294008112706, 'batch_size': 158, 'attention_heads': 8, 'hidden_dimension': 157, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4597161452301908, 'global_pooling': 'mean', 'learning_rate': 0.0009859135204298233, 'weight_decay': 3.0345566630721834e-05, 'beta_0': 0.8444991721157284, 'beta_1': 0.9946065509112426, 'epsilon': 4.722090902061671e-05, 'balanced_loss': False, 'epochs': 188, 'early_stopping_patience': 22, 'plateau_patience': 12, 'plateau_divider': 10}. Best is trial 103 with value: 0.9641397920921474.
[I 2024-11-29 12:07:36,981] Trial 117 finished with value: 0.9434817491009033 and parameters: {'left_stride': 0, 'right_stride': 64, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.6668179576610125, 'batch_size': 177, 'attention_heads': 6, 'hidden_dimension': 148, 'number_of_hidden_layers': 1, 'dropout_rate': 0.46968908848490654, 'global_pooling': 'mean', 'learning_rate': 0.00021863579628794914, 'weight_decay': 1.7616438705827866e-05, 'beta_0': 0.8528828315172599, 'beta_1': 0.9934075775211121, 'epsilon': 3.333872459685275e-05, 'balanced_loss': False, 'epochs': 176, 'early_stopping_patience': 24, 'plateau_patience': 10, 'plateau_divider': 10}. Best is trial 103 with value: 0.9641397920921474.
[I 2024-11-29 12:19:26,754] Trial 118 finished with value: 0.9442439755610652 and parameters: {'left_stride': 0, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.6848158614168378, 'batch_size': 79, 'attention_heads': 9, 'hidden_dimension': 165, 'number_of_hidden_layers': 1, 'dropout_rate': 0.33696565996996614, 'global_pooling': 'mean', 'learning_rate': 0.0005926259094803905, 'weight_decay': 7.91809432316877e-05, 'beta_0': 0.8653344770461673, 'beta_1': 0.993713370454956, 'epsilon': 1.5022374876818291e-05, 'balanced_loss': True, 'epochs': 193, 'early_stopping_patience': 24, 'plateau_patience': 19, 'plateau_divider': 10}. Best is trial 103 with value: 0.9641397920921474.
[I 2024-11-29 12:29:05,178] Trial 119 finished with value: 0.9422771890012542 and parameters: {'left_stride': 32, 'right_stride': 64, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.7018106485105036, 'batch_size': 142, 'attention_heads': 10, 'hidden_dimension': 130, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4497370209535455, 'global_pooling': 'mean', 'learning_rate': 0.0008001545591146393, 'weight_decay': 0.0004627534111129295, 'beta_0': 0.8612494703398612, 'beta_1': 0.9941598368988181, 'epsilon': 7.392995374368019e-06, 'balanced_loss': False, 'epochs': 57, 'early_stopping_patience': 22, 'plateau_patience': 11, 'plateau_divider': 9}. Best is trial 103 with value: 0.9641397920921474.
[I 2024-11-29 12:36:44,889] Trial 120 finished with value: 0.9500747709722084 and parameters: {'left_stride': 0, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.6759336282617618, 'batch_size': 171, 'attention_heads': 8, 'hidden_dimension': 139, 'number_of_hidden_layers': 0, 'dropout_rate': 0.48875811047211226, 'global_pooling': 'mean', 'learning_rate': 0.0005203291953096982, 'weight_decay': 4.246138767605398e-05, 'beta_0': 0.8456053468164442, 'beta_1': 0.9949555972564567, 'epsilon': 5.716401834199078e-07, 'balanced_loss': False, 'epochs': 184, 'early_stopping_patience': 25, 'plateau_patience': 11, 'plateau_divider': 3}. Best is trial 103 with value: 0.9641397920921474.
[I 2024-11-29 12:48:58,586] Trial 121 finished with value: 0.9321637703812884 and parameters: {'left_stride': 256, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.6695824907982734, 'batch_size': 136, 'attention_heads': 9, 'hidden_dimension': 170, 'number_of_hidden_layers': 1, 'dropout_rate': 0.46530897993547876, 'global_pooling': 'mean', 'learning_rate': 0.0018193696192286926, 'weight_decay': 5.219563794291611e-05, 'beta_0': 0.8681206680486735, 'beta_1': 0.9916069228696743, 'epsilon': 1.2969614217929423e-07, 'balanced_loss': False, 'epochs': 165, 'early_stopping_patience': 23, 'plateau_patience': 13, 'plateau_divider': 2}. Best is trial 103 with value: 0.9641397920921474.
[I 2024-11-29 13:03:42,503] Trial 122 finished with value: 0.952141482225445 and parameters: {'left_stride': 0, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.6764454695409846, 'batch_size': 72, 'attention_heads': 16, 'hidden_dimension': 144, 'number_of_hidden_layers': 1, 'dropout_rate': 0.47404567916570267, 'global_pooling': 'mean', 'learning_rate': 0.00030402069341125903, 'weight_decay': 1.613115386882164e-05, 'beta_0': 0.8743404523749242, 'beta_1': 0.9930814835782519, 'epsilon': 1.0427788169766855e-05, 'balanced_loss': False, 'epochs': 184, 'early_stopping_patience': 17, 'plateau_patience': 13, 'plateau_divider': 10}. Best is trial 103 with value: 0.9641397920921474.
[I 2024-11-29 13:14:35,825] Trial 123 finished with value: 0.9584521392858267 and parameters: {'left_stride': 0, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.6847613172058138, 'batch_size': 43, 'attention_heads': 16, 'hidden_dimension': 117, 'number_of_hidden_layers': 1, 'dropout_rate': 0.3264042586600426, 'global_pooling': 'mean', 'learning_rate': 0.00023987595501363216, 'weight_decay': 2.5273462802015136e-05, 'beta_0': 0.8565463046966824, 'beta_1': 0.9927263664980641, 'epsilon': 1.990417143626104e-05, 'balanced_loss': False, 'epochs': 198, 'early_stopping_patience': 16, 'plateau_patience': 12, 'plateau_divider': 10}. Best is trial 103 with value: 0.9641397920921474.
[I 2024-11-29 13:24:47,417] Trial 124 finished with value: 0.9537277554008852 and parameters: {'left_stride': 0, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.7191487804392742, 'batch_size': 43, 'attention_heads': 16, 'hidden_dimension': 114, 'number_of_hidden_layers': 1, 'dropout_rate': 0.30826965412316015, 'global_pooling': 'mean', 'learning_rate': 0.0003708622948015363, 'weight_decay': 3.5066324082062536e-05, 'beta_0': 0.8520754780902157, 'beta_1': 0.9925096224705696, 'epsilon': 1.895535020684201e-05, 'balanced_loss': False, 'epochs': 198, 'early_stopping_patience': 16, 'plateau_patience': 12, 'plateau_divider': 5}. Best is trial 103 with value: 0.9641397920921474.
[I 2024-11-29 13:33:52,714] Trial 125 finished with value: 0.9545077364660313 and parameters: {'left_stride': 0, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.7179300724791257, 'batch_size': 49, 'attention_heads': 16, 'hidden_dimension': 99, 'number_of_hidden_layers': 1, 'dropout_rate': 0.3084851783363194, 'global_pooling': 'mean', 'learning_rate': 0.00025202004095645637, 'weight_decay': 3.4814698575189254e-05, 'beta_0': 0.8555980195841222, 'beta_1': 0.9910354415811352, 'epsilon': 1.933206326591843e-05, 'balanced_loss': False, 'epochs': 197, 'early_stopping_patience': 16, 'plateau_patience': 12, 'plateau_divider': 5}. Best is trial 103 with value: 0.9641397920921474.
[I 2024-11-29 13:43:14,358] Trial 126 finished with value: 0.9497161183024363 and parameters: {'left_stride': 0, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.7323673013872553, 'batch_size': 40, 'attention_heads': 15, 'hidden_dimension': 115, 'number_of_hidden_layers': 1, 'dropout_rate': 0.30124617592138064, 'global_pooling': 'mean', 'learning_rate': 0.0001374869871450132, 'weight_decay': 3.254329350908884e-05, 'beta_0': 0.8507841875074713, 'beta_1': 0.9922664221721461, 'epsilon': 1.991217044095191e-05, 'balanced_loss': False, 'epochs': 200, 'early_stopping_patience': 16, 'plateau_patience': 12, 'plateau_divider': 5}. Best is trial 103 with value: 0.9641397920921474.
[I 2024-11-29 13:54:29,540] Trial 127 finished with value: 0.9548404698934467 and parameters: {'left_stride': 0, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.7173273700218137, 'batch_size': 45, 'attention_heads': 16, 'hidden_dimension': 110, 'number_of_hidden_layers': 1, 'dropout_rate': 0.3134422309218492, 'global_pooling': 'mean', 'learning_rate': 0.0002424777368568753, 'weight_decay': 3.621114088341355e-05, 'beta_0': 0.8557486345344686, 'beta_1': 0.9907839862385643, 'epsilon': 2.5480483861519702e-05, 'balanced_loss': False, 'epochs': 196, 'early_stopping_patience': 16, 'plateau_patience': 12, 'plateau_divider': 5}. Best is trial 103 with value: 0.9641397920921474.
[I 2024-11-29 14:06:03,445] Trial 128 finished with value: 0.9260227124291903 and parameters: {'left_stride': 0, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.7124591210771293, 'batch_size': 46, 'attention_heads': 16, 'hidden_dimension': 100, 'number_of_hidden_layers': 1, 'dropout_rate': 0.3162944188229859, 'global_pooling': 'sum', 'learning_rate': 9.28298501114761e-05, 'weight_decay': 5.579301061819919e-05, 'beta_0': 0.8572261500308624, 'beta_1': 0.9909944962540621, 'epsilon': 2.894819508525681e-05, 'balanced_loss': False, 'epochs': 192, 'early_stopping_patience': 16, 'plateau_patience': 12, 'plateau_divider': 4}. Best is trial 103 with value: 0.9641397920921474.
[I 2024-11-29 14:14:08,921] Trial 129 finished with value: 0.9611333549502779 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.7419636885126039, 'batch_size': 48, 'attention_heads': 15, 'hidden_dimension': 81, 'number_of_hidden_layers': 1, 'dropout_rate': 0.31238871628798204, 'global_pooling': 'mean', 'learning_rate': 0.00024083313815404084, 'weight_decay': 2.7343144596408725e-05, 'beta_0': 0.8551773861425145, 'beta_1': 0.9898441210106238, 'epsilon': 3.5516886186433063e-05, 'balanced_loss': False, 'epochs': 197, 'early_stopping_patience': 15, 'plateau_patience': 13, 'plateau_divider': 5}. Best is trial 103 with value: 0.9641397920921474.
[I 2024-11-29 14:21:15,242] Trial 130 finished with value: 0.9383592424786104 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.7495455625741483, 'batch_size': 54, 'attention_heads': 14, 'hidden_dimension': 70, 'number_of_hidden_layers': 1, 'dropout_rate': 0.32521491708343814, 'global_pooling': 'mean', 'learning_rate': 0.0012983973156606924, 'weight_decay': 2.9063486960091916e-05, 'beta_0': 0.8617094244787472, 'beta_1': 0.9900922075678409, 'epsilon': 4.2581244932961884e-05, 'balanced_loss': False, 'epochs': 194, 'early_stopping_patience': 15, 'plateau_patience': 13, 'plateau_divider': 4}. Best is trial 103 with value: 0.9641397920921474.
[I 2024-11-29 14:30:53,690] Trial 131 finished with value: 0.9450737381779697 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.8116380891798518, 'batch_size': 160, 'attention_heads': 15, 'hidden_dimension': 108, 'number_of_hidden_layers': 1, 'dropout_rate': 0.32865812237873054, 'global_pooling': 'mean', 'learning_rate': 0.00017759192788094984, 'weight_decay': 2.5262749170471566e-05, 'beta_0': 0.8548902240874964, 'beta_1': 0.9903995874645614, 'epsilon': 2.4007264773460205e-05, 'balanced_loss': False, 'epochs': 188, 'early_stopping_patience': 15, 'plateau_patience': 13, 'plateau_divider': 6}. Best is trial 103 with value: 0.9641397920921474.
[I 2024-11-29 14:39:25,216] Trial 132 finished with value: 0.944858291560738 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.7271292412857085, 'batch_size': 47, 'attention_heads': 16, 'hidden_dimension': 93, 'number_of_hidden_layers': 1, 'dropout_rate': 0.3057584440888575, 'global_pooling': 'mean', 'learning_rate': 0.0002448683738811713, 'weight_decay': 4.0316020287207784e-05, 'beta_0': 0.8594194154425852, 'beta_1': 0.9897984549941752, 'epsilon': 3.544894848457533e-05, 'balanced_loss': False, 'epochs': 197, 'early_stopping_patience': 14, 'plateau_patience': 12, 'plateau_divider': 5}. Best is trial 103 with value: 0.9641397920921474.
[I 2024-11-29 14:47:30,464] Trial 133 finished with value: 0.9482337130280116 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.7353949667479325, 'batch_size': 50, 'attention_heads': 15, 'hidden_dimension': 82, 'number_of_hidden_layers': 1, 'dropout_rate': 0.3110683637221027, 'global_pooling': 'mean', 'learning_rate': 0.000207137817482568, 'weight_decay': 2.2561918962841495e-05, 'beta_0': 0.8567471440704034, 'beta_1': 0.9892618949839682, 'epsilon': 1.6674217415443437e-05, 'balanced_loss': False, 'epochs': 197, 'early_stopping_patience': 16, 'plateau_patience': 13, 'plateau_divider': 5}. Best is trial 103 with value: 0.9641397920921474.
[I 2024-11-29 14:55:10,904] Trial 134 finished with value: 0.9577285121823178 and parameters: {'left_stride': 0, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.7042876822126007, 'batch_size': 57, 'attention_heads': 10, 'hidden_dimension': 85, 'number_of_hidden_layers': 1, 'dropout_rate': 0.3137421188032695, 'global_pooling': 'mean', 'learning_rate': 0.00015159294193273497, 'weight_decay': 6.42391729391288e-05, 'beta_0': 0.8535683893330478, 'beta_1': 0.9907787544246838, 'epsilon': 2.431559551229549e-05, 'balanced_loss': False, 'epochs': 190, 'early_stopping_patience': 16, 'plateau_patience': 12, 'plateau_divider': 5}. Best is trial 103 with value: 0.9641397920921474.
[I 2024-11-29 15:02:58,661] Trial 135 finished with value: 0.936249947879535 and parameters: {'left_stride': 0, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.6944616144935695, 'batch_size': 66, 'attention_heads': 10, 'hidden_dimension': 86, 'number_of_hidden_layers': 1, 'dropout_rate': 0.3252710585502769, 'global_pooling': 'mean', 'learning_rate': 0.0001126714104618709, 'weight_decay': 8.631010500993784e-05, 'beta_0': 0.8500257316442563, 'beta_1': 0.9905891857665998, 'epsilon': 2.8644926096263914e-05, 'balanced_loss': False, 'epochs': 190, 'early_stopping_patience': 15, 'plateau_patience': 12, 'plateau_divider': 6}. Best is trial 103 with value: 0.9641397920921474.
[I 2024-11-29 15:09:38,395] Trial 136 finished with value: 0.9481839713783218 and parameters: {'left_stride': 0, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.7653293898979829, 'batch_size': 35, 'attention_heads': 10, 'hidden_dimension': 51, 'number_of_hidden_layers': 1, 'dropout_rate': 0.3392951820780001, 'global_pooling': 'mean', 'learning_rate': 0.00014663637729617416, 'weight_decay': 7.191007193925995e-05, 'beta_0': 0.8405342513377305, 'beta_1': 0.9914827161802434, 'epsilon': 5.170811688971501e-05, 'balanced_loss': False, 'epochs': 194, 'early_stopping_patience': 16, 'plateau_patience': 11, 'plateau_divider': 5}. Best is trial 103 with value: 0.9641397920921474.
