Some weights of RobertaModel were not initialized from the model checkpoint at FacebookAI/roberta-base and are newly initialized: ['roberta.pooler.dense.bias', 'roberta.pooler.dense.weight']
You should probably TRAIN this model on a down-stream task to be able to use it for predictions and inference.
[I 2024-12-03 05:06:48,529] Using an existing study with name 'R8-GATv2-FacebookAI-roberta-base-Grouped-No_Aggregation' instead of creating a new one.
Token indices sequence length is longer than the specified maximum sequence length for this model (655 > 512). Running this sequence through the model will result in indexing errors
[I 2024-12-03 05:13:53,097] Trial 95 finished with value: 0.9518561551162366 and parameters: {'left_stride': 256, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.6659749194382507, 'batch_size': 40, 'attention_heads': 5, 'hidden_dimension': 145, 'number_of_hidden_layers': 0, 'dropout_rate': 0.3192967402249076, 'global_pooling': 'max', 'learning_rate': 0.0008687692785222349, 'weight_decay': 7.572448780582574e-06, 'beta_0': 0.8427054006322143, 'beta_1': 0.982280386859565, 'epsilon': 3.5945150320181063e-07, 'balanced_loss': True, 'epochs': 97, 'early_stopping_patience': 17, 'plateau_patience': 20, 'plateau_divider': 6}. Best is trial 61 with value: 0.9599624971991361.
[I 2024-12-03 10:02:09,236] Trial 129 finished with value: -1.0 and parameters: {'left_stride': 64, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.7003337362853195, 'batch_size': 139, 'attention_heads': 12, 'hidden_dimension': 207, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4396616859015083, 'global_pooling': 'max', 'learning_rate': 0.004282838210262017, 'weight_decay': 2.445655407573677e-06, 'beta_0': 0.8884682352841169, 'beta_1': 0.9896734885152845, 'epsilon': 1.5643875216660294e-06, 'balanced_loss': True, 'epochs': 178, 'early_stopping_patience': 25, 'plateau_patience': 18, 'plateau_divider': 8}. Best is trial 61 with value: 0.9599624971991361.
[I 2024-12-03 10:09:34,941] Trial 130 finished with value: 0.9012414702646393 and parameters: {'left_stride': 256, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.7493209911689666, 'batch_size': 76, 'attention_heads': 5, 'hidden_dimension': 111, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5799278294246092, 'global_pooling': 'sum', 'learning_rate': 0.00023343405115153605, 'weight_decay': 5.73946976708063e-06, 'beta_0': 0.8687642137857181, 'beta_1': 0.9837519827377668, 'epsilon': 4.218673111065767e-05, 'balanced_loss': False, 'epochs': 133, 'early_stopping_patience': 17, 'plateau_patience': 20, 'plateau_divider': 4}. Best is trial 61 with value: 0.9599624971991361.
[I 2024-12-03 10:16:57,388] Trial 131 finished with value: 0.9401656431244457 and parameters: {'left_stride': 64, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.6639211123998592, 'batch_size': 160, 'attention_heads': 6, 'hidden_dimension': 119, 'number_of_hidden_layers': 0, 'dropout_rate': 0.30981289853673294, 'global_pooling': 'max', 'learning_rate': 0.00045619064071502236, 'weight_decay': 9.812079363723591e-06, 'beta_0': 0.8525671415287892, 'beta_1': 0.9842249405345965, 'epsilon': 2.808337731140383e-07, 'balanced_loss': False, 'epochs': 160, 'early_stopping_patience': 21, 'plateau_patience': 19, 'plateau_divider': 7}. Best is trial 61 with value: 0.9599624971991361.
[I 2024-12-03 10:24:43,928] Trial 132 finished with value: 0.9444603192371996 and parameters: {'left_stride': 256, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.7894168912848735, 'batch_size': 144, 'attention_heads': 6, 'hidden_dimension': 126, 'number_of_hidden_layers': 1, 'dropout_rate': 0.41559217040971863, 'global_pooling': 'max', 'learning_rate': 0.002451406694681309, 'weight_decay': 3.3549087606257713e-06, 'beta_0': 0.8982562401915123, 'beta_1': 0.9957342561481672, 'epsilon': 7.182922603439017e-08, 'balanced_loss': False, 'epochs': 119, 'early_stopping_patience': 22, 'plateau_patience': 20, 'plateau_divider': 8}. Best is trial 61 with value: 0.9599624971991361.
[I 2024-12-03 10:37:28,035] Trial 133 finished with value: 0.957909646988031 and parameters: {'left_stride': 256, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.7352512815372313, 'batch_size': 135, 'attention_heads': 7, 'hidden_dimension': 149, 'number_of_hidden_layers': 2, 'dropout_rate': 0.42842428149215395, 'global_pooling': 'max', 'learning_rate': 0.0037111602371797305, 'weight_decay': 2.709501805653739e-06, 'beta_0': 0.8929928207323858, 'beta_1': 0.9943553540621819, 'epsilon': 1.0016287162941143e-08, 'balanced_loss': False, 'epochs': 86, 'early_stopping_patience': 25, 'plateau_patience': 21, 'plateau_divider': 8}. Best is trial 61 with value: 0.9599624971991361.
[I 2024-12-03 10:51:59,218] Trial 134 finished with value: 0.9362005066577777 and parameters: {'left_stride': 256, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.7367886824121573, 'batch_size': 134, 'attention_heads': 7, 'hidden_dimension': 161, 'number_of_hidden_layers': 2, 'dropout_rate': 0.389332530430484, 'global_pooling': 'max', 'learning_rate': 0.00033354104576037034, 'weight_decay': 2.0277832604807193e-06, 'beta_0': 0.8923563523013242, 'beta_1': 0.9974504929626943, 'epsilon': 2.046011230218047e-06, 'balanced_loss': False, 'epochs': 84, 'early_stopping_patience': 25, 'plateau_patience': 22, 'plateau_divider': 9}. Best is trial 61 with value: 0.9599624971991361.
[I 2024-12-03 11:07:20,758] Trial 135 finished with value: 0.9434571699936728 and parameters: {'left_stride': 256, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.674253627939643, 'batch_size': 83, 'attention_heads': 7, 'hidden_dimension': 151, 'number_of_hidden_layers': 3, 'dropout_rate': 0.42475160159436837, 'global_pooling': 'max', 'learning_rate': 0.001418387381914453, 'weight_decay': 2.7841050024424573e-06, 'beta_0': 0.8006453265052721, 'beta_1': 0.9943532790154133, 'epsilon': 1.0560425132378651e-08, 'balanced_loss': False, 'epochs': 84, 'early_stopping_patience': 24, 'plateau_patience': 21, 'plateau_divider': 8}. Best is trial 61 with value: 0.9599624971991361.
[I 2024-12-03 11:13:49,914] Trial 136 finished with value: 0.9556175176673531 and parameters: {'left_stride': 256, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.6860956800775285, 'batch_size': 89, 'attention_heads': 5, 'hidden_dimension': 89, 'number_of_hidden_layers': 0, 'dropout_rate': 0.43548786527165756, 'global_pooling': 'max', 'learning_rate': 0.0058177238244044045, 'weight_decay': 1.5663288022140088e-06, 'beta_0': 0.8898083449317188, 'beta_1': 0.9829457624206925, 'epsilon': 9.921050402181972e-07, 'balanced_loss': False, 'epochs': 76, 'early_stopping_patience': 25, 'plateau_patience': 14, 'plateau_divider': 8}. Best is trial 61 with value: 0.9599624971991361.
[I 2024-12-03 11:21:44,855] Trial 137 finished with value: 0.9467399391189418 and parameters: {'left_stride': 256, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.6922166183258824, 'batch_size': 90, 'attention_heads': 4, 'hidden_dimension': 89, 'number_of_hidden_layers': 2, 'dropout_rate': 0.43328125173047205, 'global_pooling': 'max', 'learning_rate': 0.007070820001461421, 'weight_decay': 1.6751378819395687e-06, 'beta_0': 0.8855381270466527, 'beta_1': 0.9834244938861227, 'epsilon': 1.3222708708608892e-08, 'balanced_loss': False, 'epochs': 76, 'early_stopping_patience': 25, 'plateau_patience': 14, 'plateau_divider': 8}. Best is trial 61 with value: 0.9599624971991361.
[I 2024-12-03 11:34:31,769] Trial 138 finished with value: 0.6925815999445908 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.7123415876399286, 'batch_size': 104, 'attention_heads': 8, 'hidden_dimension': 80, 'number_of_hidden_layers': 4, 'dropout_rate': 0.4324614448921613, 'global_pooling': 'max', 'learning_rate': 0.011768833910722167, 'weight_decay': 2.1312256988658064e-06, 'beta_0': 0.8894874392646918, 'beta_1': 0.9935260304924075, 'epsilon': 1.894157400189036e-08, 'balanced_loss': False, 'epochs': 71, 'early_stopping_patience': 25, 'plateau_patience': 12, 'plateau_divider': 8}. Best is trial 61 with value: 0.9599624971991361.
[I 2024-12-03 11:41:34,873] Trial 139 finished with value: 0.9435664554193302 and parameters: {'left_stride': 256, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.7217334395631697, 'batch_size': 74, 'attention_heads': 9, 'hidden_dimension': 94, 'number_of_hidden_layers': 0, 'dropout_rate': 0.4441726533841252, 'global_pooling': 'max', 'learning_rate': 0.005006362097441949, 'weight_decay': 3.8609218813804286e-06, 'beta_0': 0.8834608856760656, 'beta_1': 0.9886032951095411, 'epsilon': 2.5114192288314862e-08, 'balanced_loss': False, 'epochs': 79, 'early_stopping_patience': 24, 'plateau_patience': 14, 'plateau_divider': 9}. Best is trial 61 with value: 0.9599624971991361.
[I 2024-12-03 11:47:43,521] Trial 140 finished with value: 0.9440971042868058 and parameters: {'left_stride': 64, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.7330397592722343, 'batch_size': 62, 'attention_heads': 5, 'hidden_dimension': 76, 'number_of_hidden_layers': 0, 'dropout_rate': 0.4066461575907908, 'global_pooling': 'max', 'learning_rate': 0.009730662967313732, 'weight_decay': 0.00018517868757974396, 'beta_0': 0.8945868866188357, 'beta_1': 0.9847785279363757, 'epsilon': 1.2326309230354069e-08, 'balanced_loss': False, 'epochs': 63, 'early_stopping_patience': 25, 'plateau_patience': 15, 'plateau_divider': 8}. Best is trial 61 with value: 0.9599624971991361.
[I 2024-12-03 11:54:09,465] Trial 141 finished with value: 0.9336991602339966 and parameters: {'left_stride': 256, 'right_stride': 128, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.6826921084920122, 'batch_size': 68, 'attention_heads': 7, 'hidden_dimension': 87, 'number_of_hidden_layers': 0, 'dropout_rate': 0.4397159587008026, 'global_pooling': 'max', 'learning_rate': 0.003626238131727873, 'weight_decay': 6.737689881339106e-06, 'beta_0': 0.8814126955620433, 'beta_1': 0.9829846605101156, 'epsilon': 2.599231540161185e-06, 'balanced_loss': True, 'epochs': 100, 'early_stopping_patience': 24, 'plateau_patience': 18, 'plateau_divider': 7}. Best is trial 61 with value: 0.9599624971991361.
[I 2024-12-03 12:00:46,844] Trial 142 finished with value: 0.9394014638389221 and parameters: {'left_stride': 256, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.6555316514671317, 'batch_size': 86, 'attention_heads': 5, 'hidden_dimension': 101, 'number_of_hidden_layers': 0, 'dropout_rate': 0.3182845769412223, 'global_pooling': 'max', 'learning_rate': 0.0030903795775941378, 'weight_decay': 1.370789460672488e-06, 'beta_0': 0.8614394321741109, 'beta_1': 0.9817231420941569, 'epsilon': 1.762134810553658e-08, 'balanced_loss': False, 'epochs': 87, 'early_stopping_patience': 23, 'plateau_patience': 19, 'plateau_divider': 8}. Best is trial 61 with value: 0.9599624971991361.
[I 2024-12-03 12:10:36,397] Trial 143 finished with value: 0.9513915635514154 and parameters: {'left_stride': 256, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.6660971515927078, 'batch_size': 147, 'attention_heads': 5, 'hidden_dimension': 143, 'number_of_hidden_layers': 0, 'dropout_rate': 0.45342985675791303, 'global_pooling': 'max', 'learning_rate': 0.00021225359873507305, 'weight_decay': 1.1140268546472207e-06, 'beta_0': 0.8968601778652157, 'beta_1': 0.9823185337726628, 'epsilon': 1.0386336303283588e-06, 'balanced_loss': False, 'epochs': 116, 'early_stopping_patience': 25, 'plateau_patience': 21, 'plateau_divider': 8}. Best is trial 61 with value: 0.9599624971991361.
[I 2024-12-03 12:17:05,882] Trial 144 finished with value: 0.9463254406631227 and parameters: {'left_stride': 256, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.6577138354587181, 'batch_size': 139, 'attention_heads': 4, 'hidden_dimension': 133, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5093701039951517, 'global_pooling': 'max', 'learning_rate': 0.0018255925422624877, 'weight_decay': 1.5741981234673017e-06, 'beta_0': 0.8896300990235122, 'beta_1': 0.9967269152594854, 'epsilon': 5.878278639457417e-07, 'balanced_loss': False, 'epochs': 96, 'early_stopping_patience': 15, 'plateau_patience': 13, 'plateau_divider': 7}. Best is trial 61 with value: 0.9599624971991361.
[I 2024-12-03 12:23:08,597] Trial 145 finished with value: 0.9304891748034047 and parameters: {'left_stride': 256, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.7480092072431807, 'batch_size': 154, 'attention_heads': 6, 'hidden_dimension': 83, 'number_of_hidden_layers': 0, 'dropout_rate': 0.365231438830296, 'global_pooling': 'max', 'learning_rate': 0.006636981541166322, 'weight_decay': 1.896383960427391e-06, 'beta_0': 0.8871191385827428, 'beta_1': 0.9832811140275923, 'epsilon': 8.99056860938094e-07, 'balanced_loss': False, 'epochs': 109, 'early_stopping_patience': 16, 'plateau_patience': 19, 'plateau_divider': 8}. Best is trial 61 with value: 0.9599624971991361.
[I 2024-12-03 12:29:11,679] Trial 146 finished with value: 0.945140761453453 and parameters: {'left_stride': 256, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.676496161883829, 'batch_size': 130, 'attention_heads': 4, 'hidden_dimension': 107, 'number_of_hidden_layers': 0, 'dropout_rate': 0.47942326116434014, 'global_pooling': 'max', 'learning_rate': 0.003967527818386961, 'weight_decay': 5.132007219298044e-06, 'beta_0': 0.8922319738043059, 'beta_1': 0.9807269608856365, 'epsilon': 1.0003907809583366e-08, 'balanced_loss': False, 'epochs': 72, 'early_stopping_patience': 17, 'plateau_patience': 13, 'plateau_divider': 8}. Best is trial 61 with value: 0.9599624971991361.
[I 2024-12-03 12:37:26,370] Trial 147 finished with value: 0.9426383610812636 and parameters: {'left_stride': 64, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.6500213687265478, 'batch_size': 81, 'attention_heads': 5, 'hidden_dimension': 93, 'number_of_hidden_layers': 0, 'dropout_rate': 0.42597644844819044, 'global_pooling': 'max', 'learning_rate': 0.00012725152281956115, 'weight_decay': 2.5342862499756918e-06, 'beta_0': 0.8587734420568864, 'beta_1': 0.984198288139898, 'epsilon': 1.227355953537362e-06, 'balanced_loss': False, 'epochs': 190, 'early_stopping_patience': 25, 'plateau_patience': 19, 'plateau_divider': 8}. Best is trial 61 with value: 0.9599624971991361.
[I 2024-12-03 12:44:05,924] Trial 148 finished with value: 0.9488882484601777 and parameters: {'left_stride': 256, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.6693277418521191, 'batch_size': 71, 'attention_heads': 6, 'hidden_dimension': 138, 'number_of_hidden_layers': 0, 'dropout_rate': 0.300956320447139, 'global_pooling': 'max', 'learning_rate': 0.005925042782962398, 'weight_decay': 1.4142094361449057e-05, 'beta_0': 0.8639624375306445, 'beta_1': 0.9911080826885688, 'epsilon': 7.914899526537822e-07, 'balanced_loss': False, 'epochs': 91, 'early_stopping_patience': 16, 'plateau_patience': 21, 'plateau_divider': 9}. Best is trial 61 with value: 0.9599624971991361.
[I 2024-12-03 12:50:25,328] Trial 149 finished with value: 0.9390381905214144 and parameters: {'left_stride': 64, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.6861260533095137, 'batch_size': 56, 'attention_heads': 8, 'hidden_dimension': 32, 'number_of_hidden_layers': 0, 'dropout_rate': 0.4150895598929484, 'global_pooling': 'max', 'learning_rate': 0.0002785893586954219, 'weight_decay': 1.7469729060544752e-05, 'beta_0': 0.8669014819315476, 'beta_1': 0.9926053511404439, 'epsilon': 4.593685552046017e-07, 'balanced_loss': False, 'epochs': 137, 'early_stopping_patience': 13, 'plateau_patience': 20, 'plateau_divider': 7}. Best is trial 61 with value: 0.9599624971991361.
[I 2024-12-03 12:57:05,815] Trial 150 finished with value: 0.9459716033293792 and parameters: {'left_stride': 128, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.6635369841592619, 'batch_size': 92, 'attention_heads': 7, 'hidden_dimension': 69, 'number_of_hidden_layers': 0, 'dropout_rate': 0.4657826136989713, 'global_pooling': 'max', 'learning_rate': 0.0006302797204861166, 'weight_decay': 3.2444237940898972e-06, 'beta_0': 0.8995241845454768, 'beta_1': 0.9881132153794175, 'epsilon': 1.8792039943995755e-06, 'balanced_loss': False, 'epochs': 79, 'early_stopping_patience': 18, 'plateau_patience': 18, 'plateau_divider': 7}. Best is trial 61 with value: 0.9599624971991361.
[I 2024-12-03 13:10:13,302] Trial 151 finished with value: 0.9497879921678913 and parameters: {'left_stride': 256, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.6972367339840513, 'batch_size': 99, 'attention_heads': 5, 'hidden_dimension': 146, 'number_of_hidden_layers': 3, 'dropout_rate': 0.3806999384479228, 'global_pooling': 'mean', 'learning_rate': 0.00040161858850699505, 'weight_decay': 1.3558704775121574e-06, 'beta_0': 0.8568003718144134, 'beta_1': 0.9829213527769373, 'epsilon': 1.2050805260245172e-07, 'balanced_loss': False, 'epochs': 130, 'early_stopping_patience': 24, 'plateau_patience': 22, 'plateau_divider': 8}. Best is trial 61 with value: 0.9599624971991361.
[I 2024-12-03 13:21:00,632] Trial 152 finished with value: 0.9480173871935456 and parameters: {'left_stride': 256, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.7584011011339251, 'batch_size': 144, 'attention_heads': 6, 'hidden_dimension': 254, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4348298232948939, 'global_pooling': 'max', 'learning_rate': 0.0028000482893979885, 'weight_decay': 2.858712592310409e-06, 'beta_0': 0.8937072972867766, 'beta_1': 0.9954863279228667, 'epsilon': 1.6975926854533008e-07, 'balanced_loss': False, 'epochs': 68, 'early_stopping_patience': 21, 'plateau_patience': 20, 'plateau_divider': 8}. Best is trial 61 with value: 0.9599624971991361.
[I 2024-12-03 13:30:18,784] Trial 153 finished with value: 0.9456104049127234 and parameters: {'left_stride': 256, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.768198697386816, 'batch_size': 148, 'attention_heads': 7, 'hidden_dimension': 121, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4469413912005646, 'global_pooling': 'max', 'learning_rate': 0.001986908971810219, 'weight_decay': 4.127491705830261e-06, 'beta_0': 0.8947744349170804, 'beta_1': 0.9934709341490261, 'epsilon': 1.4527556320894368e-08, 'balanced_loss': False, 'epochs': 63, 'early_stopping_patience': 19, 'plateau_patience': 19, 'plateau_divider': 8}. Best is trial 61 with value: 0.9599624971991361.
[I 2024-12-03 13:36:08,673] Trial 154 finished with value: 0.9186925464323697 and parameters: {'left_stride': 256, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.9794980031214845, 'batch_size': 121, 'attention_heads': 6, 'hidden_dimension': 114, 'number_of_hidden_layers': 1, 'dropout_rate': 0.35120852986259393, 'global_pooling': 'max', 'learning_rate': 0.0022878840592458643, 'weight_decay': 2.4901355756152446e-06, 'beta_0': 0.8477784627981869, 'beta_1': 0.9836937934871633, 'epsilon': 8.054343884252544e-08, 'balanced_loss': False, 'epochs': 165, 'early_stopping_patience': 24, 'plateau_patience': 21, 'plateau_divider': 8}. Best is trial 61 with value: 0.9599624971991361.
[I 2024-12-03 13:42:44,693] Trial 155 finished with value: 0.9479955005120311 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.7747120466101513, 'batch_size': 135, 'attention_heads': 6, 'hidden_dimension': 124, 'number_of_hidden_layers': 0, 'dropout_rate': 0.3110051100515483, 'global_pooling': 'max', 'learning_rate': 0.004348386481537241, 'weight_decay': 2.1084586545693518e-06, 'beta_0': 0.8907313433967008, 'beta_1': 0.994760467390205, 'epsilon': 9.316005986723176e-08, 'balanced_loss': False, 'epochs': 59, 'early_stopping_patience': 23, 'plateau_patience': 19, 'plateau_divider': 6}. Best is trial 61 with value: 0.9599624971991361.
[I 2024-12-03 13:49:21,365] Trial 156 finished with value: 0.9449475837499828 and parameters: {'left_stride': 256, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.761363068983414, 'batch_size': 158, 'attention_heads': 5, 'hidden_dimension': 155, 'number_of_hidden_layers': 0, 'dropout_rate': 0.427009171722735, 'global_pooling': 'max', 'learning_rate': 0.005266295483673039, 'weight_decay': 3.5774150542571364e-06, 'beta_0': 0.8957872529067888, 'beta_1': 0.9904460003060004, 'epsilon': 2.191679083288687e-07, 'balanced_loss': False, 'epochs': 53, 'early_stopping_patience': 20, 'plateau_patience': 20, 'plateau_divider': 8}. Best is trial 61 with value: 0.9599624971991361.
The selected strides are greater or equal to the total chunk size.
[I 2024-12-03 13:49:23,090] Trial 157 finished with value: -1.0 and parameters: {'left_stride': 256, 'right_stride': 256, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.6604414571900923, 'batch_size': 151, 'attention_heads': 5, 'hidden_dimension': 117, 'number_of_hidden_layers': 2, 'dropout_rate': 0.33954806123827275, 'global_pooling': 'max', 'learning_rate': 0.00017463693286225333, 'weight_decay': 2.8749854137245295e-05, 'beta_0': 0.8780852601117363, 'beta_1': 0.994321566940897, 'epsilon': 5.872741344627906e-08, 'balanced_loss': True, 'epochs': 152, 'early_stopping_patience': 25, 'plateau_patience': 20, 'plateau_divider': 10}. Best is trial 61 with value: 0.9599624971991361.
[I 2024-12-03 13:56:25,206] Trial 158 finished with value: 0.9287713099852902 and parameters: {'left_stride': 0, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.7454239499869889, 'batch_size': 142, 'attention_heads': 7, 'hidden_dimension': 131, 'number_of_hidden_layers': 0, 'dropout_rate': 0.43839308151239215, 'global_pooling': 'sum', 'learning_rate': 0.00028957471865492237, 'weight_decay': 1.7323449005339399e-06, 'beta_0': 0.8879033680268279, 'beta_1': 0.9826028824205304, 'epsilon': 1.2958156079385743e-07, 'balanced_loss': False, 'epochs': 123, 'early_stopping_patience': 17, 'plateau_patience': 21, 'plateau_divider': 7}. Best is trial 61 with value: 0.9599624971991361.
[I 2024-12-03 14:03:02,788] Trial 159 finished with value: 0.9440690817636824 and parameters: {'left_stride': 64, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.6759827751973965, 'batch_size': 137, 'attention_heads': 4, 'hidden_dimension': 98, 'number_of_hidden_layers': 0, 'dropout_rate': 0.3281322269020585, 'global_pooling': 'max', 'learning_rate': 0.0009370091614054548, 'weight_decay': 3.018135212000468e-06, 'beta_0': 0.844717339232188, 'beta_1': 0.9820710178991873, 'epsilon': 3.720476882426208e-08, 'balanced_loss': False, 'epochs': 148, 'early_stopping_patience': 25, 'plateau_patience': 18, 'plateau_divider': 8}. Best is trial 61 with value: 0.9599624971991361.
[I 2024-12-03 14:09:00,726] Trial 160 finished with value: 0.9492100402913182 and parameters: {'left_stride': 256, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.8917031728004599, 'batch_size': 165, 'attention_heads': 6, 'hidden_dimension': 110, 'number_of_hidden_layers': 0, 'dropout_rate': 0.3624376185267275, 'global_pooling': 'max', 'learning_rate': 0.003226254423414269, 'weight_decay': 1.0118063569394756e-06, 'beta_0': 0.8619981725353018, 'beta_1': 0.9844105055245205, 'epsilon': 1.5509995265965685e-06, 'balanced_loss': False, 'epochs': 89, 'early_stopping_patience': 22, 'plateau_patience': 19, 'plateau_divider': 8}. Best is trial 61 with value: 0.9599624971991361.
[I 2024-12-03 14:15:56,823] Trial 161 finished with value: 0.9401846456964447 and parameters: {'left_stride': 64, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.668771019650665, 'batch_size': 153, 'attention_heads': 7, 'hidden_dimension': 104, 'number_of_hidden_layers': 0, 'dropout_rate': 0.39923991555115523, 'global_pooling': 'max', 'learning_rate': 0.0004920124062870506, 'weight_decay': 4.465403258084105e-06, 'beta_0': 0.8851009446794846, 'beta_1': 0.9920562567591239, 'epsilon': 6.090196823654628e-07, 'balanced_loss': False, 'epochs': 94, 'early_stopping_patience': 16, 'plateau_patience': 22, 'plateau_divider': 8}. Best is trial 61 with value: 0.9599624971991361.
[I 2024-12-03 14:23:00,224] Trial 162 finished with value: 0.9365571317162694 and parameters: {'left_stride': 64, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.8060615315338359, 'batch_size': 97, 'attention_heads': 5, 'hidden_dimension': 111, 'number_of_hidden_layers': 0, 'dropout_rate': 0.3744980456918891, 'global_pooling': 'max', 'learning_rate': 0.00013725321868764622, 'weight_decay': 7.245982412499973e-06, 'beta_0': 0.8544996318030086, 'beta_1': 0.9852295549004235, 'epsilon': 1.2194331326244503e-06, 'balanced_loss': False, 'epochs': 141, 'early_stopping_patience': 15, 'plateau_patience': 17, 'plateau_divider': 8}. Best is trial 61 with value: 0.9599624971991361.
[I 2024-12-03 14:31:22,024] Trial 163 finished with value: 0.9496265023610724 and parameters: {'left_stride': 64, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.6581239953920855, 'batch_size': 89, 'attention_heads': 9, 'hidden_dimension': 128, 'number_of_hidden_layers': 0, 'dropout_rate': 0.3710563246211414, 'global_pooling': 'max', 'learning_rate': 0.00018517815063470255, 'weight_decay': 6.427801301894657e-06, 'beta_0': 0.8605971096520373, 'beta_1': 0.9858843712837067, 'epsilon': 1.7545185016396193e-06, 'balanced_loss': False, 'epochs': 139, 'early_stopping_patience': 12, 'plateau_patience': 18, 'plateau_divider': 9}. Best is trial 61 with value: 0.9599624971991361.
[I 2024-12-03 14:38:44,037] Trial 164 finished with value: 0.9368021146188208 and parameters: {'left_stride': 64, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.8543264351897523, 'batch_size': 80, 'attention_heads': 8, 'hidden_dimension': 92, 'number_of_hidden_layers': 0, 'dropout_rate': 0.3694994064688536, 'global_pooling': 'max', 'learning_rate': 9.606102311926033e-05, 'weight_decay': 5.230908820497997e-06, 'beta_0': 0.8652954804638044, 'beta_1': 0.9850573018234564, 'epsilon': 9.385248701980363e-07, 'balanced_loss': False, 'epochs': 146, 'early_stopping_patience': 16, 'plateau_patience': 16, 'plateau_divider': 8}. Best is trial 61 with value: 0.9599624971991361.
