Some weights of RobertaModel were not initialized from the model checkpoint at FacebookAI/roberta-large and are newly initialized: ['roberta.pooler.dense.bias', 'roberta.pooler.dense.weight']
You should probably TRAIN this model on a down-stream task to be able to use it for predictions and inference.
[I 2024-12-10 05:17:06,438] Using an existing study with name 'R8-GATv2-FacebookAI-roberta-large-Grouped-No_Aggregation' instead of creating a new one.
Token indices sequence length is longer than the specified maximum sequence length for this model (655 > 512). Running this sequence through the model will result in indexing errors
[I 2024-12-10 05:25:19,086] Trial 105 finished with value: 0.9544417963614046 and parameters: {'left_stride': 256, 'right_stride': 32, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8467162819449895, 'batch_size': 152, 'attention_heads': 4, 'hidden_dimension': 227, 'number_of_hidden_layers': 0, 'dropout_rate': 0.4968858376589947, 'global_pooling': 'mean', 'learning_rate': 0.0007231094063471381, 'weight_decay': 0.0002956989619289392, 'beta_0': 0.8667705243041987, 'beta_1': 0.9864667645945536, 'epsilon': 2.3246016743975342e-08, 'balanced_loss': False, 'epochs': 156, 'early_stopping_patience': 14, 'plateau_patience': 17, 'plateau_divider': 5}. Best is trial 99 with value: 0.9644826268751922.
[I 2024-12-10 10:35:47,036] Trial 138 finished with value: 0.9431290853691406 and parameters: {'left_stride': 256, 'right_stride': 32, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.9435638815529164, 'batch_size': 146, 'attention_heads': 4, 'hidden_dimension': 196, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5157121863333797, 'global_pooling': 'mean', 'learning_rate': 0.0005136263638457997, 'weight_decay': 0.00040265037120167574, 'beta_0': 0.872076569325049, 'beta_1': 0.9868190742934215, 'epsilon': 4.8510922296360455e-08, 'balanced_loss': False, 'epochs': 160, 'early_stopping_patience': 15, 'plateau_patience': 18, 'plateau_divider': 4}. Best is trial 99 with value: 0.9644826268751922.
[I 2024-12-10 10:44:14,494] Trial 139 finished with value: 0.9451385338831791 and parameters: {'left_stride': 256, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.9660996351283302, 'batch_size': 110, 'attention_heads': 5, 'hidden_dimension': 216, 'number_of_hidden_layers': 0, 'dropout_rate': 0.504431054272717, 'global_pooling': 'mean', 'learning_rate': 0.00021497111557246986, 'weight_decay': 0.00021107622697262395, 'beta_0': 0.8752578574449009, 'beta_1': 0.9901000314218127, 'epsilon': 1.734604432053004e-08, 'balanced_loss': False, 'epochs': 193, 'early_stopping_patience': 12, 'plateau_patience': 14, 'plateau_divider': 5}. Best is trial 99 with value: 0.9644826268751922.
[I 2024-12-10 11:00:18,008] Trial 140 finished with value: 0.9424597840728662 and parameters: {'left_stride': 256, 'right_stride': 32, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.804396897079897, 'batch_size': 139, 'attention_heads': 6, 'hidden_dimension': 223, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5260726967826403, 'global_pooling': 'mean', 'learning_rate': 6.488172758586667e-05, 'weight_decay': 0.00046814893843742276, 'beta_0': 0.8637024777415936, 'beta_1': 0.9890010363998072, 'epsilon': 4.866321519468314e-07, 'balanced_loss': False, 'epochs': 198, 'early_stopping_patience': 16, 'plateau_patience': 16, 'plateau_divider': 6}. Best is trial 99 with value: 0.9644826268751922.
[I 2024-12-10 11:11:35,385] Trial 141 finished with value: 0.9551610809854529 and parameters: {'left_stride': 32, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8232921857153567, 'batch_size': 152, 'attention_heads': 5, 'hidden_dimension': 183, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5489675744939837, 'global_pooling': 'max', 'learning_rate': 0.0001480456174665914, 'weight_decay': 0.00014153205153329766, 'beta_0': 0.8708129005568485, 'beta_1': 0.9893591917943535, 'epsilon': 2.1149961190656742e-08, 'balanced_loss': False, 'epochs': 166, 'early_stopping_patience': 14, 'plateau_patience': 15, 'plateau_divider': 7}. Best is trial 99 with value: 0.9644826268751922.
[I 2024-12-10 11:20:29,450] Trial 142 finished with value: 0.9439220819124094 and parameters: {'left_stride': 32, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.9084952290832027, 'batch_size': 127, 'attention_heads': 5, 'hidden_dimension': 202, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5380684631518264, 'global_pooling': 'mean', 'learning_rate': 0.001401823758481016, 'weight_decay': 0.00010661365112348195, 'beta_0': 0.8797148538768117, 'beta_1': 0.9835907858779812, 'epsilon': 3.226141981391707e-08, 'balanced_loss': False, 'epochs': 126, 'early_stopping_patience': 16, 'plateau_patience': 12, 'plateau_divider': 5}. Best is trial 99 with value: 0.9644826268751922.
[I 2024-12-10 11:29:04,609] Trial 143 finished with value: 0.9480217492279512 and parameters: {'left_stride': 32, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.9135303626474122, 'batch_size': 127, 'attention_heads': 4, 'hidden_dimension': 192, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5444455012602263, 'global_pooling': 'mean', 'learning_rate': 0.0010879658605174932, 'weight_decay': 6.989781459461282e-05, 'beta_0': 0.878720461804041, 'beta_1': 0.984014286417048, 'epsilon': 1.1856292025827343e-06, 'balanced_loss': False, 'epochs': 160, 'early_stopping_patience': 17, 'plateau_patience': 12, 'plateau_divider': 5}. Best is trial 99 with value: 0.9644826268751922.
[I 2024-12-10 11:37:58,879] Trial 144 finished with value: 0.9563650960681125 and parameters: {'left_stride': 32, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.9267513555487917, 'batch_size': 132, 'attention_heads': 5, 'hidden_dimension': 209, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5215036404439414, 'global_pooling': 'mean', 'learning_rate': 0.0004213503569900969, 'weight_decay': 8.865415574531002e-05, 'beta_0': 0.8774633686178419, 'beta_1': 0.9825578745623733, 'epsilon': 4.201845628277799e-08, 'balanced_loss': False, 'epochs': 157, 'early_stopping_patience': 16, 'plateau_patience': 11, 'plateau_divider': 5}. Best is trial 99 with value: 0.9644826268751922.
[I 2024-12-10 11:46:35,464] Trial 145 finished with value: 0.9550261228467214 and parameters: {'left_stride': 32, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8734850937940433, 'batch_size': 140, 'attention_heads': 4, 'hidden_dimension': 199, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5110553463672193, 'global_pooling': 'mean', 'learning_rate': 0.002800847565090426, 'weight_decay': 0.00015933850779645668, 'beta_0': 0.8388060901626897, 'beta_1': 0.983104652715567, 'epsilon': 3.165064007673748e-08, 'balanced_loss': False, 'epochs': 163, 'early_stopping_patience': 15, 'plateau_patience': 12, 'plateau_divider': 5}. Best is trial 99 with value: 0.9644826268751922.
[I 2024-12-10 11:56:22,528] Trial 146 finished with value: 0.9343537672622337 and parameters: {'left_stride': 256, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.9017664403606188, 'batch_size': 147, 'attention_heads': 6, 'hidden_dimension': 162, 'number_of_hidden_layers': 1, 'dropout_rate': 0.528794099520434, 'global_pooling': 'mean', 'learning_rate': 0.0016610157785470682, 'weight_decay': 0.0003372835548122024, 'beta_0': 0.8739918353477547, 'beta_1': 0.9872932014661491, 'epsilon': 5.7671707165384855e-08, 'balanced_loss': False, 'epochs': 148, 'early_stopping_patience': 13, 'plateau_patience': 13, 'plateau_divider': 6}. Best is trial 99 with value: 0.9644826268751922.
[I 2024-12-10 12:06:43,383] Trial 147 finished with value: 0.9335510864227325 and parameters: {'left_stride': 32, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.9216477118337703, 'batch_size': 122, 'attention_heads': 5, 'hidden_dimension': 213, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5613097453062982, 'global_pooling': 'mean', 'learning_rate': 0.000767580643888088, 'weight_decay': 1.7271817327990628e-05, 'beta_0': 0.8838162948982978, 'beta_1': 0.9820622359195275, 'epsilon': 2.426728034975447e-08, 'balanced_loss': True, 'epochs': 169, 'early_stopping_patience': 16, 'plateau_patience': 17, 'plateau_divider': 6}. Best is trial 99 with value: 0.9644826268751922.
[I 2024-12-10 12:14:36,977] Trial 148 finished with value: 0.9420630117571394 and parameters: {'left_stride': 256, 'right_stride': 32, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.9349838750042929, 'batch_size': 94, 'attention_heads': 4, 'hidden_dimension': 175, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5501144523493979, 'global_pooling': 'mean', 'learning_rate': 0.0008422521775924059, 'weight_decay': 0.000126972944950378, 'beta_0': 0.8679973215393713, 'beta_1': 0.9885023232195786, 'epsilon': 2.7042818557201918e-08, 'balanced_loss': False, 'epochs': 174, 'early_stopping_patience': 17, 'plateau_patience': 17, 'plateau_divider': 3}. Best is trial 99 with value: 0.9644826268751922.
[I 2024-12-10 12:23:10,974] Trial 149 finished with value: 0.9554416159438865 and parameters: {'left_stride': 64, 'right_stride': 32, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8104164981469524, 'batch_size': 160, 'attention_heads': 4, 'hidden_dimension': 204, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5743622861770992, 'global_pooling': 'mean', 'learning_rate': 0.0012599028508279682, 'weight_decay': 0.0006072921363391833, 'beta_0': 0.8462817212647368, 'beta_1': 0.9843460641084039, 'epsilon': 3.490065138847372e-08, 'balanced_loss': False, 'epochs': 151, 'early_stopping_patience': 15, 'plateau_patience': 16, 'plateau_divider': 5}. Best is trial 99 with value: 0.9644826268751922.
The selected strides are greater or equal to the total chunk size.
[I 2024-12-10 12:23:12,697] Trial 150 finished with value: -1.0 and parameters: {'left_stride': 256, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.893690262420964, 'batch_size': 143, 'attention_heads': 5, 'hidden_dimension': 219, 'number_of_hidden_layers': 0, 'dropout_rate': 0.4776898633401584, 'global_pooling': 'mean', 'learning_rate': 0.00036072928248365025, 'weight_decay': 0.00038479852732075656, 'beta_0': 0.8803373819657934, 'beta_1': 0.9856566394302859, 'epsilon': 1.3856821676881289e-08, 'balanced_loss': False, 'epochs': 181, 'early_stopping_patience': 14, 'plateau_patience': 16, 'plateau_divider': 4}. Best is trial 99 with value: 0.9644826268751922.
[I 2024-12-10 12:34:57,264] Trial 151 finished with value: 0.9517059159929027 and parameters: {'left_stride': 256, 'right_stride': 32, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8356726952174425, 'batch_size': 135, 'attention_heads': 5, 'hidden_dimension': 236, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5430556733299755, 'global_pooling': 'mean', 'learning_rate': 0.0005750211611521372, 'weight_decay': 9.575238977934944e-05, 'beta_0': 0.871932116189519, 'beta_1': 0.9879244924675321, 'epsilon': 9.505520078819714e-08, 'balanced_loss': False, 'epochs': 188, 'early_stopping_patience': 13, 'plateau_patience': 15, 'plateau_divider': 5}. Best is trial 99 with value: 0.9644826268751922.
[I 2024-12-10 12:44:10,344] Trial 152 finished with value: 0.9589354012103253 and parameters: {'left_stride': 256, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8511688870195818, 'batch_size': 169, 'attention_heads': 4, 'hidden_dimension': 242, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5021566100264124, 'global_pooling': 'mean', 'learning_rate': 0.0004334281174901927, 'weight_decay': 0.0003018637154226684, 'beta_0': 0.8680766796009134, 'beta_1': 0.9889328539133444, 'epsilon': 2.0937476941799116e-08, 'balanced_loss': False, 'epochs': 185, 'early_stopping_patience': 14, 'plateau_patience': 16, 'plateau_divider': 6}. Best is trial 99 with value: 0.9644826268751922.
[I 2024-12-10 12:52:42,254] Trial 153 finished with value: 0.9601450759864031 and parameters: {'left_stride': 256, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.864628294384249, 'batch_size': 171, 'attention_heads': 4, 'hidden_dimension': 244, 'number_of_hidden_layers': 0, 'dropout_rate': 0.505377454700128, 'global_pooling': 'mean', 'learning_rate': 0.00048691502510463276, 'weight_decay': 0.00030666105240052013, 'beta_0': 0.8691359683260553, 'beta_1': 0.9886015289562272, 'epsilon': 1.8652830411776793e-08, 'balanced_loss': False, 'epochs': 195, 'early_stopping_patience': 14, 'plateau_patience': 17, 'plateau_divider': 6}. Best is trial 99 with value: 0.9644826268751922.
[I 2024-12-10 13:01:52,718] Trial 154 finished with value: 0.9468225995403758 and parameters: {'left_stride': 256, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8663239977786223, 'batch_size': 173, 'attention_heads': 4, 'hidden_dimension': 249, 'number_of_hidden_layers': 0, 'dropout_rate': 0.48942529540849666, 'global_pooling': 'mean', 'learning_rate': 0.00045520714361563166, 'weight_decay': 0.0003068384513829733, 'beta_0': 0.865445005966626, 'beta_1': 0.9888604036687283, 'epsilon': 1.845098560989742e-08, 'balanced_loss': False, 'epochs': 195, 'early_stopping_patience': 13, 'plateau_patience': 17, 'plateau_divider': 6}. Best is trial 99 with value: 0.9644826268751922.
[I 2024-12-10 13:11:10,050] Trial 155 finished with value: 0.9585646197456708 and parameters: {'left_stride': 256, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8540881135821965, 'batch_size': 166, 'attention_heads': 4, 'hidden_dimension': 240, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5051581918670268, 'global_pooling': 'mean', 'learning_rate': 0.000311899154431821, 'weight_decay': 0.00043645990727583995, 'beta_0': 0.8608810504193901, 'beta_1': 0.9884964461040491, 'epsilon': 1.4450812046454064e-08, 'balanced_loss': False, 'epochs': 185, 'early_stopping_patience': 14, 'plateau_patience': 16, 'plateau_divider': 6}. Best is trial 99 with value: 0.9644826268751922.
[I 2024-12-10 13:20:32,688] Trial 156 finished with value: 0.9480960804608263 and parameters: {'left_stride': 256, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.855017574540633, 'batch_size': 171, 'attention_heads': 4, 'hidden_dimension': 239, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5000790745183835, 'global_pooling': 'mean', 'learning_rate': 0.0002861627801061523, 'weight_decay': 0.0004329001552497288, 'beta_0': 0.8604351022167366, 'beta_1': 0.9884942937833711, 'epsilon': 1.5953361955116833e-08, 'balanced_loss': False, 'epochs': 190, 'early_stopping_patience': 14, 'plateau_patience': 18, 'plateau_divider': 6}. Best is trial 99 with value: 0.9644826268751922.
[I 2024-12-10 13:29:59,904] Trial 157 finished with value: 0.952421326905319 and parameters: {'left_stride': 256, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8439251167475164, 'batch_size': 177, 'attention_heads': 4, 'hidden_dimension': 246, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5082891649831122, 'global_pooling': 'mean', 'learning_rate': 0.00033859708635697067, 'weight_decay': 0.00034716834816411686, 'beta_0': 0.8630299305644817, 'beta_1': 0.9893172470149542, 'epsilon': 1.127512665050938e-08, 'balanced_loss': False, 'epochs': 200, 'early_stopping_patience': 14, 'plateau_patience': 16, 'plateau_divider': 6}. Best is trial 99 with value: 0.9644826268751922.
[I 2024-12-10 13:38:53,235] Trial 158 finished with value: 0.9598070008538236 and parameters: {'left_stride': 256, 'right_stride': 32, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8582321155472793, 'batch_size': 164, 'attention_heads': 4, 'hidden_dimension': 253, 'number_of_hidden_layers': 0, 'dropout_rate': 0.4947359559702155, 'global_pooling': 'mean', 'learning_rate': 0.0004832205070746942, 'weight_decay': 0.00028652595209557, 'beta_0': 0.8689867891119026, 'beta_1': 0.9895425589946697, 'epsilon': 1.3105308884557155e-08, 'balanced_loss': False, 'epochs': 186, 'early_stopping_patience': 15, 'plateau_patience': 17, 'plateau_divider': 6}. Best is trial 99 with value: 0.9644826268751922.
[I 2024-12-10 13:47:14,778] Trial 159 finished with value: 0.9119972453472612 and parameters: {'left_stride': 256, 'right_stride': 32, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'max', 'threshold': 0.8630211223570488, 'batch_size': 166, 'attention_heads': 4, 'hidden_dimension': 244, 'number_of_hidden_layers': 0, 'dropout_rate': 0.4970990235296375, 'global_pooling': 'sum', 'learning_rate': 0.0003942492484071193, 'weight_decay': 0.00026698039505512473, 'beta_0': 0.8684043024961033, 'beta_1': 0.9899790828225662, 'epsilon': 1.353728272915227e-08, 'balanced_loss': False, 'epochs': 184, 'early_stopping_patience': 15, 'plateau_patience': 16, 'plateau_divider': 6}. Best is trial 99 with value: 0.9644826268751922.
[I 2024-12-10 13:55:50,982] Trial 160 finished with value: 0.953998646219187 and parameters: {'left_stride': 256, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8814366818100564, 'batch_size': 183, 'attention_heads': 4, 'hidden_dimension': 232, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5044258067270012, 'global_pooling': 'mean', 'learning_rate': 0.00048308324918851697, 'weight_decay': 0.00025068104933648454, 'beta_0': 0.8670723955584966, 'beta_1': 0.9895616070216297, 'epsilon': 1.2333514656797191e-08, 'balanced_loss': False, 'epochs': 192, 'early_stopping_patience': 15, 'plateau_patience': 17, 'plateau_divider': 7}. Best is trial 99 with value: 0.9644826268751922.
[I 2024-12-10 14:04:20,169] Trial 161 finished with value: 0.9528217734628059 and parameters: {'left_stride': 256, 'right_stride': 32, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8556109139978006, 'batch_size': 161, 'attention_heads': 4, 'hidden_dimension': 253, 'number_of_hidden_layers': 0, 'dropout_rate': 0.4930923027480639, 'global_pooling': 'mean', 'learning_rate': 0.0006579829932100367, 'weight_decay': 0.0005016874899013142, 'beta_0': 0.869569521759861, 'beta_1': 0.9876303359079139, 'epsilon': 1.9852711295530377e-08, 'balanced_loss': False, 'epochs': 187, 'early_stopping_patience': 15, 'plateau_patience': 16, 'plateau_divider': 6}. Best is trial 99 with value: 0.9644826268751922.
[I 2024-12-10 14:13:31,293] Trial 162 finished with value: 0.9502214156018873 and parameters: {'left_stride': 256, 'right_stride': 32, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8484240507405638, 'batch_size': 169, 'attention_heads': 4, 'hidden_dimension': 250, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5154757705138474, 'global_pooling': 'mean', 'learning_rate': 0.0005427888818786144, 'weight_decay': 0.0003285193303903459, 'beta_0': 0.8614814060551091, 'beta_1': 0.988277398391373, 'epsilon': 2.309256537123255e-08, 'balanced_loss': False, 'epochs': 185, 'early_stopping_patience': 14, 'plateau_patience': 17, 'plateau_divider': 6}. Best is trial 99 with value: 0.9644826268751922.
[I 2024-12-10 14:22:37,862] Trial 163 finished with value: 0.958209211342321 and parameters: {'left_stride': 256, 'right_stride': 32, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8638190740925584, 'batch_size': 153, 'attention_heads': 4, 'hidden_dimension': 255, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5090920477079531, 'global_pooling': 'mean', 'learning_rate': 0.0003974858645405274, 'weight_decay': 0.00041047972924196586, 'beta_0': 0.8650202041137658, 'beta_1': 0.9890334572766587, 'epsilon': 1.6045055940062824e-08, 'balanced_loss': False, 'epochs': 195, 'early_stopping_patience': 13, 'plateau_patience': 18, 'plateau_divider': 6}. Best is trial 99 with value: 0.9644826268751922.
[I 2024-12-10 14:31:39,526] Trial 164 finished with value: 0.9428468669441892 and parameters: {'left_stride': 256, 'right_stride': 32, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8730041759029871, 'batch_size': 165, 'attention_heads': 4, 'hidden_dimension': 239, 'number_of_hidden_layers': 0, 'dropout_rate': 0.4860988296073263, 'global_pooling': 'mean', 'learning_rate': 0.0002445627475303914, 'weight_decay': 0.00028945404840610836, 'beta_0': 0.8703498489003373, 'beta_1': 0.9880424697787067, 'epsilon': 2.7374642987850014e-08, 'balanced_loss': False, 'epochs': 178, 'early_stopping_patience': 14, 'plateau_patience': 16, 'plateau_divider': 6}. Best is trial 99 with value: 0.9644826268751922.
[I 2024-12-10 14:39:48,655] Trial 165 finished with value: 0.9143235689980758 and parameters: {'left_stride': 256, 'right_stride': 32, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8382101109747471, 'batch_size': 158, 'attention_heads': 4, 'hidden_dimension': 256, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5177831745681382, 'global_pooling': 'mean', 'learning_rate': 0.040770296098192195, 'weight_decay': 0.00023099251014589416, 'beta_0': 0.8558436941384281, 'beta_1': 0.988738203349443, 'epsilon': 2.0468750913858155e-08, 'balanced_loss': False, 'epochs': 182, 'early_stopping_patience': 14, 'plateau_patience': 17, 'plateau_divider': 7}. Best is trial 99 with value: 0.9644826268751922.
CUDA out of memory. Tried to allocate 1.96 GiB. GPU 0 has a total capacity of 44.56 GiB of which 1.24 GiB is free. Including non-PyTorch memory, this process has 43.31 GiB memory in use. Of the allocated memory 38.72 GiB is allocated by PyTorch, and 3.44 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
[I 2024-12-10 14:47:02,159] Trial 166 finished with value: -1.0 and parameters: {'left_stride': 256, 'right_stride': 32, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.6536941901394503, 'batch_size': 177, 'attention_heads': 4, 'hidden_dimension': 244, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5023140894141183, 'global_pooling': 'mean', 'learning_rate': 0.00030813029462425673, 'weight_decay': 0.0005270454132541279, 'beta_0': 0.8592648771702668, 'beta_1': 0.9896617899287514, 'epsilon': 6.468710293975532e-07, 'balanced_loss': False, 'epochs': 188, 'early_stopping_patience': 14, 'plateau_patience': 15, 'plateau_divider': 6}. Best is trial 99 with value: 0.9644826268751922.
[I 2024-12-10 14:55:48,180] Trial 167 finished with value: 0.9587467881893282 and parameters: {'left_stride': 256, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8250271668122212, 'batch_size': 148, 'attention_heads': 4, 'hidden_dimension': 247, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5127130803752807, 'global_pooling': 'mean', 'learning_rate': 0.0006235526798726708, 'weight_decay': 0.00036040879744329233, 'beta_0': 0.8667980815258128, 'beta_1': 0.9884902369993697, 'epsilon': 1.0028368806340317e-08, 'balanced_loss': False, 'epochs': 191, 'early_stopping_patience': 15, 'plateau_patience': 17, 'plateau_divider': 6}. Best is trial 99 with value: 0.9644826268751922.
[I 2024-12-10 15:04:31,554] Trial 168 finished with value: 0.963112809769129 and parameters: {'left_stride': 256, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8284591651118989, 'batch_size': 149, 'attention_heads': 4, 'hidden_dimension': 229, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5208315420441139, 'global_pooling': 'mean', 'learning_rate': 0.0007054494041059863, 'weight_decay': 0.0003763962974616254, 'beta_0': 0.8666759785242989, 'beta_1': 0.9904248226126876, 'epsilon': 1.1091294684506185e-08, 'balanced_loss': False, 'epochs': 191, 'early_stopping_patience': 15, 'plateau_patience': 16, 'plateau_divider': 7}. Best is trial 99 with value: 0.9644826268751922.
[I 2024-12-10 15:13:18,627] Trial 169 finished with value: 0.9499233823839508 and parameters: {'left_stride': 256, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8276702856033691, 'batch_size': 149, 'attention_heads': 4, 'hidden_dimension': 228, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5210775664299421, 'global_pooling': 'max', 'learning_rate': 0.0006557886724960743, 'weight_decay': 0.0003151075002769361, 'beta_0': 0.8664106724605568, 'beta_1': 0.9904759623697077, 'epsilon': 1.161067765609563e-08, 'balanced_loss': False, 'epochs': 191, 'early_stopping_patience': 15, 'plateau_patience': 16, 'plateau_divider': 7}. Best is trial 99 with value: 0.9644826268751922.
[I 2024-12-10 15:22:12,637] Trial 170 finished with value: 0.9444577796958576 and parameters: {'left_stride': 256, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8435789225632501, 'batch_size': 150, 'attention_heads': 4, 'hidden_dimension': 224, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5129051028025664, 'global_pooling': 'mean', 'learning_rate': 0.0007998066044296803, 'weight_decay': 0.0004537137788817429, 'beta_0': 0.8728736158809799, 'beta_1': 0.9873982614496604, 'epsilon': 1.0595145121304993e-08, 'balanced_loss': True, 'epochs': 189, 'early_stopping_patience': 15, 'plateau_patience': 16, 'plateau_divider': 8}. Best is trial 99 with value: 0.9644826268751922.
[I 2024-12-10 15:31:07,758] Trial 171 finished with value: 0.9524539776964343 and parameters: {'left_stride': 256, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.8574910841205113, 'batch_size': 163, 'attention_heads': 4, 'hidden_dimension': 247, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5332491279966124, 'global_pooling': 'mean', 'learning_rate': 0.0005119838969647103, 'weight_decay': 0.00038563421890955274, 'beta_0': 0.871542881369394, 'beta_1': 0.9912413610999893, 'epsilon': 1.4866703411832024e-08, 'balanced_loss': False, 'epochs': 185, 'early_stopping_patience': 16, 'plateau_patience': 17, 'plateau_divider': 7}. Best is trial 99 with value: 0.9644826268751922.
CUDA out of memory. Tried to allocate 1.17 GiB. GPU 0 has a total capacity of 44.56 GiB of which 602.69 MiB is free. Including non-PyTorch memory, this process has 43.96 GiB memory in use. Of the allocated memory 40.34 GiB is allocated by PyTorch, and 2.47 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
[I 2024-12-10 15:38:41,388] Trial 172 finished with value: -1.0 and parameters: {'left_stride': 256, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8217558492767879, 'batch_size': 155, 'attention_heads': 4, 'hidden_dimension': 238, 'number_of_hidden_layers': 4, 'dropout_rate': 0.44628780258024925, 'global_pooling': 'mean', 'learning_rate': 0.0004663837014676167, 'weight_decay': 0.00035936606648618067, 'beta_0': 0.8687276381426244, 'beta_1': 0.9891921526740906, 'epsilon': 1.0302359255644751e-08, 'balanced_loss': False, 'epochs': 196, 'early_stopping_patience': 15, 'plateau_patience': 16, 'plateau_divider': 6}. Best is trial 99 with value: 0.9644826268751922.
