[I 2024-11-12 23:20:33,698] Using an existing study with name 'R8-GATv2-google-bert-bert-base-uncased-Grouped-No_Aggregation' instead of creating a new one.
Token indices sequence length is longer than the specified maximum sequence length for this model (639 > 512). Running this sequence through the model will result in indexing errors
[I 2024-11-12 23:30:10,126] Trial 190 finished with value: 0.9588916599075876 and parameters: {'left_stride': 32, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.661522669829073, 'batch_size': 104, 'attention_heads': 5, 'hidden_dimension': 49, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5255884230360474, 'global_pooling': 'max', 'learning_rate': 0.00019647073672562744, 'weight_decay': 0.00025919611039804515, 'beta_0': 0.8966139171100209, 'beta_1': 0.9894095940191547, 'epsilon': 3.556872822271594e-08, 'balanced_loss': False, 'epochs': 111, 'early_stopping_patience': 20, 'plateau_patience': 20, 'plateau_divider': 9}. Best is trial 28 with value: 0.9650227698207191.
[I 2024-11-13 05:22:23,050] Trial 226 finished with value: 0.9558904824761948 and parameters: {'left_stride': 0, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.67802307214691, 'batch_size': 80, 'attention_heads': 5, 'hidden_dimension': 135, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5465316556364478, 'global_pooling': 'max', 'learning_rate': 0.00023173617275898785, 'weight_decay': 1.7706780184050657e-05, 'beta_0': 0.8915970061690622, 'beta_1': 0.9874420303122856, 'epsilon': 7.729138380727118e-08, 'balanced_loss': False, 'epochs': 59, 'early_stopping_patience': 20, 'plateau_patience': 23, 'plateau_divider': 5}. Best is trial 220 with value: 0.9662937503535731.
[I 2024-11-13 05:33:36,252] Trial 227 finished with value: 0.9534735967086723 and parameters: {'left_stride': 0, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.6657326118737484, 'batch_size': 87, 'attention_heads': 5, 'hidden_dimension': 118, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5596035203689372, 'global_pooling': 'max', 'learning_rate': 0.0001996417971342415, 'weight_decay': 1.5731353902178886e-05, 'beta_0': 0.8942038003758083, 'beta_1': 0.9886036680158771, 'epsilon': 4.083124358027279e-08, 'balanced_loss': False, 'epochs': 71, 'early_stopping_patience': 19, 'plateau_patience': 15, 'plateau_divider': 9}. Best is trial 220 with value: 0.9662937503535731.
[I 2024-11-13 05:43:55,490] Trial 228 finished with value: 0.9508306555383086 and parameters: {'left_stride': 0, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.6776004889048619, 'batch_size': 94, 'attention_heads': 6, 'hidden_dimension': 124, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5354151901847587, 'global_pooling': 'max', 'learning_rate': 0.00032556191170927864, 'weight_decay': 1.2027880823634327e-05, 'beta_0': 0.8974889739082652, 'beta_1': 0.9877703216004596, 'epsilon': 5.907859238008249e-08, 'balanced_loss': False, 'epochs': 65, 'early_stopping_patience': 20, 'plateau_patience': 14, 'plateau_divider': 9}. Best is trial 220 with value: 0.9662937503535731.
[I 2024-11-13 05:54:32,962] Trial 229 finished with value: 0.955038958541256 and parameters: {'left_stride': 0, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.6719835854641104, 'batch_size': 81, 'attention_heads': 5, 'hidden_dimension': 138, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5395979495913753, 'global_pooling': 'max', 'learning_rate': 0.0002696486037842042, 'weight_decay': 2.3596070991403788e-05, 'beta_0': 0.8897568521014618, 'beta_1': 0.9868864984027161, 'epsilon': 7.547701598737325e-08, 'balanced_loss': False, 'epochs': 56, 'early_stopping_patience': 20, 'plateau_patience': 22, 'plateau_divider': 9}. Best is trial 220 with value: 0.9662937503535731.
[I 2024-11-13 06:06:20,902] Trial 230 finished with value: 0.9529620591522555 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.6607728901279613, 'batch_size': 89, 'attention_heads': 5, 'hidden_dimension': 112, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5437783533046038, 'global_pooling': 'max', 'learning_rate': 0.00019122056059031194, 'weight_decay': 1.7920048237413807e-05, 'beta_0': 0.8959159096947856, 'beta_1': 0.9882829705568325, 'epsilon': 3.1115893625138037e-08, 'balanced_loss': False, 'epochs': 62, 'early_stopping_patience': 20, 'plateau_patience': 11, 'plateau_divider': 9}. Best is trial 220 with value: 0.9662937503535731.
[I 2024-11-13 06:17:53,252] Trial 231 finished with value: 0.9480127976783331 and parameters: {'left_stride': 256, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.6674120575243397, 'batch_size': 95, 'attention_heads': 5, 'hidden_dimension': 140, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5524294081558739, 'global_pooling': 'max', 'learning_rate': 0.00023494131486592883, 'weight_decay': 2.3474510701441886e-05, 'beta_0': 0.8924963715598383, 'beta_1': 0.9871918691381292, 'epsilon': 9.068376075550014e-08, 'balanced_loss': False, 'epochs': 71, 'early_stopping_patience': 19, 'plateau_patience': 18, 'plateau_divider': 9}. Best is trial 220 with value: 0.9662937503535731.
[I 2024-11-13 06:26:13,966] Trial 232 finished with value: 0.8542511455202548 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.6838174156713606, 'batch_size': 98, 'attention_heads': 5, 'hidden_dimension': 111, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5345189664779963, 'global_pooling': 'max', 'learning_rate': 0.007070820001461421, 'weight_decay': 1.4015229222608351e-05, 'beta_0': 0.8858515120914864, 'beta_1': 0.9878637012157928, 'epsilon': 4.963050492054835e-08, 'balanced_loss': False, 'epochs': 75, 'early_stopping_patience': 20, 'plateau_patience': 23, 'plateau_divider': 9}. Best is trial 220 with value: 0.9662937503535731.
[I 2024-11-13 06:35:44,380] Trial 233 finished with value: 0.9415199084034789 and parameters: {'left_stride': 0, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.6580520610787117, 'batch_size': 76, 'attention_heads': 5, 'hidden_dimension': 120, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5452101589629464, 'global_pooling': 'max', 'learning_rate': 0.00019074666055681684, 'weight_decay': 2.1707249247263698e-05, 'beta_0': 0.8957371277858998, 'beta_1': 0.9887694450303809, 'epsilon': 4.215339404052179e-08, 'balanced_loss': True, 'epochs': 64, 'early_stopping_patience': 20, 'plateau_patience': 22, 'plateau_divider': 10}. Best is trial 220 with value: 0.9662937503535731.
[I 2024-11-13 06:45:50,295] Trial 234 finished with value: 0.956145114677857 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.6752197300630447, 'batch_size': 83, 'attention_heads': 5, 'hidden_dimension': 133, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5314320552999913, 'global_pooling': 'max', 'learning_rate': 0.00024100453612680561, 'weight_decay': 2.7683237497271167e-05, 'beta_0': 0.8981716266540386, 'beta_1': 0.9894763871677807, 'epsilon': 1.6958869873689345e-07, 'balanced_loss': False, 'epochs': 69, 'early_stopping_patience': 20, 'plateau_patience': 23, 'plateau_divider': 9}. Best is trial 220 with value: 0.9662937503535731.
[I 2024-11-13 06:55:37,348] Trial 235 finished with value: 0.9440200637952465 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.6644271647455235, 'batch_size': 92, 'attention_heads': 6, 'hidden_dimension': 126, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5873196399692485, 'global_pooling': 'max', 'learning_rate': 0.0007454928018376973, 'weight_decay': 1.8837226863730665e-05, 'beta_0': 0.8937129043019277, 'beta_1': 0.9875283402375552, 'epsilon': 3.780440629414758e-08, 'balanced_loss': False, 'epochs': 60, 'early_stopping_patience': 20, 'plateau_patience': 22, 'plateau_divider': 9}. Best is trial 220 with value: 0.9662937503535731.
[I 2024-11-13 07:06:19,242] Trial 236 finished with value: 0.9501728301408534 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.6984716844091142, 'batch_size': 87, 'attention_heads': 4, 'hidden_dimension': 146, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5277694708770635, 'global_pooling': 'max', 'learning_rate': 0.00015953432589687174, 'weight_decay': 2.438147346674236e-05, 'beta_0': 0.8976038766259509, 'beta_1': 0.9865292153746212, 'epsilon': 5.251268692909471e-08, 'balanced_loss': False, 'epochs': 70, 'early_stopping_patience': 14, 'plateau_patience': 18, 'plateau_divider': 9}. Best is trial 220 with value: 0.9662937503535731.
CUDA out of memory. Tried to allocate 2.45 GiB. GPU 0 has a total capacity of 44.56 GiB of which 1.98 GiB is free. Including non-PyTorch memory, this process has 42.57 GiB memory in use. Of the allocated memory 41.27 GiB is allocated by PyTorch, and 152.51 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
[I 2024-11-13 07:11:25,477] Trial 237 finished with value: -1.0 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.6503264518448866, 'batch_size': 100, 'attention_heads': 16, 'hidden_dimension': 131, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5356241022618767, 'global_pooling': 'max', 'learning_rate': 0.00011406845291214444, 'weight_decay': 0.0004489824008096254, 'beta_0': 0.8942653864093352, 'beta_1': 0.9881532063591303, 'epsilon': 2.778184475084676e-08, 'balanced_loss': False, 'epochs': 67, 'early_stopping_patience': 18, 'plateau_patience': 21, 'plateau_divider': 8}. Best is trial 220 with value: 0.9662937503535731.
[I 2024-11-13 07:25:37,712] Trial 238 finished with value: 0.9526065102205106 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.6552819734291035, 'batch_size': 176, 'attention_heads': 4, 'hidden_dimension': 126, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5402552130707347, 'global_pooling': 'max', 'learning_rate': 7.776478862329954e-05, 'weight_decay': 1.650740815869982e-05, 'beta_0': 0.8998520408401265, 'beta_1': 0.9883182359918159, 'epsilon': 6.693859742193597e-08, 'balanced_loss': False, 'epochs': 88, 'early_stopping_patience': 16, 'plateau_patience': 22, 'plateau_divider': 8}. Best is trial 220 with value: 0.9662937503535731.
[I 2024-11-13 07:34:53,004] Trial 239 finished with value: 0.9503224783341722 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.8401470506281447, 'batch_size': 100, 'attention_heads': 4, 'hidden_dimension': 115, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5467172971080254, 'global_pooling': 'max', 'learning_rate': 0.00014703546979295766, 'weight_decay': 0.0005726529589562334, 'beta_0': 0.8957807433291081, 'beta_1': 0.987931556533415, 'epsilon': 3.342468509768021e-07, 'balanced_loss': False, 'epochs': 81, 'early_stopping_patience': 21, 'plateau_patience': 21, 'plateau_divider': 8}. Best is trial 220 with value: 0.9662937503535731.
[I 2024-11-13 07:44:37,573] Trial 240 finished with value: 0.9509006014515443 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.6571938578300001, 'batch_size': 97, 'attention_heads': 4, 'hidden_dimension': 82, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5269154053249138, 'global_pooling': 'max', 'learning_rate': 0.00020364550891687947, 'weight_decay': 0.0003414187649121462, 'beta_0': 0.8923255157801662, 'beta_1': 0.9886960245323493, 'epsilon': 4.127908773928216e-08, 'balanced_loss': False, 'epochs': 65, 'early_stopping_patience': 24, 'plateau_patience': 22, 'plateau_divider': 8}. Best is trial 220 with value: 0.9662937503535731.
[I 2024-11-13 07:54:16,959] Trial 241 finished with value: 0.9459175816233998 and parameters: {'left_stride': 32, 'right_stride': 256, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.671177536299337, 'batch_size': 91, 'attention_heads': 4, 'hidden_dimension': 121, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5329465877148842, 'global_pooling': 'max', 'learning_rate': 0.0002962018892599494, 'weight_decay': 1.987137197981478e-05, 'beta_0': 0.8141842370030133, 'beta_1': 0.9892587525983724, 'epsilon': 1.120546916350741e-05, 'balanced_loss': False, 'epochs': 62, 'early_stopping_patience': 21, 'plateau_patience': 13, 'plateau_divider': 9}. Best is trial 220 with value: 0.9662937503535731.
[I 2024-11-13 08:03:42,281] Trial 242 finished with value: 0.9540138025823517 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.818668425910289, 'batch_size': 104, 'attention_heads': 5, 'hidden_dimension': 90, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5536212365253846, 'global_pooling': 'max', 'learning_rate': 0.00012263737412008676, 'weight_decay': 0.0008139596159886328, 'beta_0': 0.8948767977203543, 'beta_1': 0.9881409381523004, 'epsilon': 3.1668295934515795e-08, 'balanced_loss': False, 'epochs': 75, 'early_stopping_patience': 21, 'plateau_patience': 16, 'plateau_divider': 8}. Best is trial 220 with value: 0.9662937503535731.
[I 2024-11-13 08:13:24,175] Trial 243 finished with value: 0.9553634657799206 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.6631071477660573, 'batch_size': 95, 'attention_heads': 4, 'hidden_dimension': 138, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5393516325518977, 'global_pooling': 'max', 'learning_rate': 0.0003878602202494311, 'weight_decay': 1.434458724188181e-05, 'beta_0': 0.8979372511722441, 'beta_1': 0.9873348638600338, 'epsilon': 1.0831252751544071e-05, 'balanced_loss': False, 'epochs': 93, 'early_stopping_patience': 23, 'plateau_patience': 22, 'plateau_divider': 9}. Best is trial 220 with value: 0.9662937503535731.
[I 2024-11-13 08:24:41,006] Trial 244 finished with value: 0.9539408403063552 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.6778265685495859, 'batch_size': 84, 'attention_heads': 4, 'hidden_dimension': 96, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5976100981962993, 'global_pooling': 'max', 'learning_rate': 0.00017730706471034096, 'weight_decay': 3.834855779693379e-05, 'beta_0': 0.8979754403603784, 'beta_1': 0.9884325172903334, 'epsilon': 5.926705493027896e-05, 'balanced_loss': False, 'epochs': 110, 'early_stopping_patience': 20, 'plateau_patience': 21, 'plateau_divider': 8}. Best is trial 220 with value: 0.9662937503535731.
[I 2024-11-13 08:36:25,526] Trial 245 finished with value: 0.9449017181813069 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.6504559014606419, 'batch_size': 108, 'attention_heads': 4, 'hidden_dimension': 105, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5664158780103004, 'global_pooling': 'max', 'learning_rate': 9.91273098183341e-05, 'weight_decay': 2.856108021734186e-05, 'beta_0': 0.8900509759607736, 'beta_1': 0.9889237083539855, 'epsilon': 8.289235902080474e-05, 'balanced_loss': True, 'epochs': 74, 'early_stopping_patience': 20, 'plateau_patience': 15, 'plateau_divider': 5}. Best is trial 220 with value: 0.9662937503535731.
[I 2024-11-13 08:44:50,662] Trial 246 finished with value: 0.9509268880111605 and parameters: {'left_stride': 32, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.6700326807095488, 'batch_size': 89, 'attention_heads': 5, 'hidden_dimension': 54, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5207359007007734, 'global_pooling': 'max', 'learning_rate': 0.00021739574860825628, 'weight_decay': 0.0003011365625052828, 'beta_0': 0.8944800567502266, 'beta_1': 0.9877225322203187, 'epsilon': 5.664153101084113e-08, 'balanced_loss': False, 'epochs': 117, 'early_stopping_patience': 21, 'plateau_patience': 17, 'plateau_divider': 8}. Best is trial 220 with value: 0.9662937503535731.
[I 2024-11-13 08:53:31,704] Trial 247 finished with value: 0.9484497014748716 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.6733533377657523, 'batch_size': 100, 'attention_heads': 4, 'hidden_dimension': 64, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5285688106348391, 'global_pooling': 'max', 'learning_rate': 0.00014319825406020008, 'weight_decay': 4.7580960829912204e-05, 'beta_0': 0.8981582047249764, 'beta_1': 0.9889007480209866, 'epsilon': 1.6527620454080508e-05, 'balanced_loss': False, 'epochs': 120, 'early_stopping_patience': 22, 'plateau_patience': 22, 'plateau_divider': 9}. Best is trial 220 with value: 0.9662937503535731.
[I 2024-11-13 09:06:05,793] Trial 248 finished with value: 0.9461783235068043 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.6636785805596613, 'batch_size': 95, 'attention_heads': 4, 'hidden_dimension': 225, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5312266516185038, 'global_pooling': 'max', 'learning_rate': 0.00013137885898179772, 'weight_decay': 4.3467325393188525e-05, 'beta_0': 0.8999973116171406, 'beta_1': 0.988545405971963, 'epsilon': 1.2263662689554715e-05, 'balanced_loss': False, 'epochs': 57, 'early_stopping_patience': 22, 'plateau_patience': 22, 'plateau_divider': 9}. Best is trial 220 with value: 0.9662937503535731.
[I 2024-11-13 09:14:20,974] Trial 249 finished with value: 0.9476608449870731 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.6836356059078609, 'batch_size': 97, 'attention_heads': 4, 'hidden_dimension': 59, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5367937776770557, 'global_pooling': 'max', 'learning_rate': 0.00017092295684676117, 'weight_decay': 1.030836870212383e-05, 'beta_0': 0.8999832551574888, 'beta_1': 0.9898269145455424, 'epsilon': 7.176120309811279e-07, 'balanced_loss': False, 'epochs': 66, 'early_stopping_patience': 22, 'plateau_patience': 21, 'plateau_divider': 9}. Best is trial 220 with value: 0.9662937503535731.
[I 2024-11-13 09:27:49,304] Trial 250 finished with value: 0.2523127439117179 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.6566206888842544, 'batch_size': 103, 'attention_heads': 4, 'hidden_dimension': 68, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5251635614958834, 'global_pooling': 'max', 'learning_rate': 0.040770296098192195, 'weight_decay': 6.0920051954928965e-05, 'beta_0': 0.8961635765282573, 'beta_1': 0.9893125962291467, 'epsilon': 1.3850502829936571e-05, 'balanced_loss': False, 'epochs': 124, 'early_stopping_patience': 23, 'plateau_patience': 22, 'plateau_divider': 9}. Best is trial 220 with value: 0.9662937503535731.
[I 2024-11-13 09:38:18,370] Trial 251 finished with value: 0.9485366676128241 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.6706766946112201, 'batch_size': 93, 'attention_heads': 4, 'hidden_dimension': 80, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5457855641493237, 'global_pooling': 'max', 'learning_rate': 8.806664954551596e-05, 'weight_decay': 0.00043507351179709804, 'beta_0': 0.8967710108791015, 'beta_1': 0.9880221905843237, 'epsilon': 1.582173755254591e-05, 'balanced_loss': False, 'epochs': 119, 'early_stopping_patience': 21, 'plateau_patience': 22, 'plateau_divider': 9}. Best is trial 220 with value: 0.9662937503535731.
[I 2024-11-13 09:48:10,790] Trial 252 finished with value: 0.9536239891699493 and parameters: {'left_stride': 0, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.6640590517404978, 'batch_size': 79, 'attention_heads': 5, 'hidden_dimension': 86, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5318979201003954, 'global_pooling': 'max', 'learning_rate': 0.00011587727257627972, 'weight_decay': 7.240540121858297e-05, 'beta_0': 0.8921913437105035, 'beta_1': 0.988922123502562, 'epsilon': 4.525118962632101e-08, 'balanced_loss': False, 'epochs': 116, 'early_stopping_patience': 14, 'plateau_patience': 23, 'plateau_divider': 8}. Best is trial 220 with value: 0.9662937503535731.
[I 2024-11-13 09:58:19,617] Trial 253 finished with value: 0.9517384825176615 and parameters: {'left_stride': 32, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.6785544529149619, 'batch_size': 89, 'attention_heads': 4, 'hidden_dimension': 129, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5179614513213766, 'global_pooling': 'max', 'learning_rate': 0.0001434881122772638, 'weight_decay': 5.378155676612149e-05, 'beta_0': 0.8958388604279559, 'beta_1': 0.9883506722916909, 'epsilon': 1.9202760281210824e-05, 'balanced_loss': False, 'epochs': 115, 'early_stopping_patience': 21, 'plateau_patience': 21, 'plateau_divider': 10}. Best is trial 220 with value: 0.9662937503535731.
[I 2024-11-13 10:11:15,468] Trial 254 finished with value: 0.955311792084991 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.6884703264607334, 'batch_size': 99, 'attention_heads': 5, 'hidden_dimension': 74, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5387704599597847, 'global_pooling': 'max', 'learning_rate': 6.845431692869294e-05, 'weight_decay': 0.0007270895198648467, 'beta_0': 0.8988418799507167, 'beta_1': 0.9875260177155338, 'epsilon': 1.0759136826791627e-07, 'balanced_loss': False, 'epochs': 131, 'early_stopping_patience': 22, 'plateau_patience': 19, 'plateau_divider': 9}. Best is trial 220 with value: 0.9662937503535731.
[I 2024-11-13 10:21:34,218] Trial 255 finished with value: 0.9546173766992925 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.669765390780787, 'batch_size': 85, 'attention_heads': 4, 'hidden_dimension': 123, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5788895217580846, 'global_pooling': 'max', 'learning_rate': 0.0002597788712561222, 'weight_decay': 8.733564274861001e-05, 'beta_0': 0.8937883937481892, 'beta_1': 0.9870472875736733, 'epsilon': 9.762449316510692e-06, 'balanced_loss': False, 'epochs': 79, 'early_stopping_patience': 20, 'plateau_patience': 21, 'plateau_divider': 9}. Best is trial 220 with value: 0.9662937503535731.
[I 2024-11-13 10:30:03,073] Trial 256 finished with value: 0.9258985532835478 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.6567908885891577, 'batch_size': 94, 'attention_heads': 5, 'hidden_dimension': 64, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5243996978879302, 'global_pooling': 'sum', 'learning_rate': 0.00019865439943171187, 'weight_decay': 0.0004974603408133032, 'beta_0': 0.8562068854032849, 'beta_1': 0.9886329490590675, 'epsilon': 1.2765651715794008e-05, 'balanced_loss': False, 'epochs': 109, 'early_stopping_patience': 19, 'plateau_patience': 22, 'plateau_divider': 8}. Best is trial 220 with value: 0.9662937503535731.
[I 2024-11-13 10:37:08,613] Trial 257 finished with value: 0.927373588996532 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.7140453446466561, 'batch_size': 105, 'attention_heads': 4, 'hidden_dimension': 57, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5318824872801861, 'global_pooling': 'max', 'learning_rate': 0.001978739425012664, 'weight_decay': 1.6775728472581934e-05, 'beta_0': 0.8312347451381359, 'beta_1': 0.987974673673241, 'epsilon': 1.6770532433361913e-05, 'balanced_loss': False, 'epochs': 128, 'early_stopping_patience': 23, 'plateau_patience': 22, 'plateau_divider': 7}. Best is trial 220 with value: 0.9662937503535731.
[I 2024-11-13 10:45:53,093] Trial 258 finished with value: 0.9539186730301583 and parameters: {'left_stride': 64, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.6809369516659689, 'batch_size': 90, 'attention_heads': 4, 'hidden_dimension': 90, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5137035956290513, 'global_pooling': 'max', 'learning_rate': 0.00016578196420240313, 'weight_decay': 1.261999354299968e-05, 'beta_0': 0.8998665054315309, 'beta_1': 0.9891979040529479, 'epsilon': 1.3608973234103314e-05, 'balanced_loss': True, 'epochs': 123, 'early_stopping_patience': 21, 'plateau_patience': 23, 'plateau_divider': 9}. Best is trial 220 with value: 0.9662937503535731.
[I 2024-11-13 11:04:23,276] Trial 259 finished with value: 0.8936396045056145 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.6732843791198598, 'batch_size': 99, 'attention_heads': 5, 'hidden_dimension': 100, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5438240452682824, 'global_pooling': 'max', 'learning_rate': 1.127356562825626e-05, 'weight_decay': 0.0003685157115649456, 'beta_0': 0.8001909959818712, 'beta_1': 0.9883134280167067, 'epsilon': 1.3009121949888382e-06, 'balanced_loss': False, 'epochs': 120, 'early_stopping_patience': 21, 'plateau_patience': 22, 'plateau_divider': 9}. Best is trial 220 with value: 0.9662937503535731.
[I 2024-11-13 11:14:19,987] Trial 260 finished with value: 0.9495701933804765 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.6637791073619265, 'batch_size': 81, 'attention_heads': 4, 'hidden_dimension': 68, 'number_of_hidden_layers': 2, 'dropout_rate': 0.49331340428441783, 'global_pooling': 'max', 'learning_rate': 0.00010364664256367518, 'weight_decay': 3.948129191038645e-05, 'beta_0': 0.897099833075223, 'beta_1': 0.9876806038430946, 'epsilon': 1.4629768589720486e-08, 'balanced_loss': False, 'epochs': 105, 'early_stopping_patience': 22, 'plateau_patience': 20, 'plateau_divider': 8}. Best is trial 220 with value: 0.9662937503535731.
slurmstepd: error: *** JOB 13912053 ON gpu008 CANCELLED AT 2024-11-13T11:20:30 DUE TO TIME LIMIT ***
