Some weights of RobertaModel were not initialized from the model checkpoint at FacebookAI/roberta-large and are newly initialized: ['roberta.pooler.dense.bias', 'roberta.pooler.dense.weight']
You should probably TRAIN this model on a down-stream task to be able to use it for predictions and inference.
[I 2024-12-21 04:09:20,652] Using an existing study with name 'R8-GATv2-FacebookAI-roberta-large-Surrogate-No_Aggregation' instead of creating a new one.
Token indices sequence length is longer than the specified maximum sequence length for this model (655 > 512). Running this sequence through the model will result in indexing errors
[I 2024-12-21 04:34:51,337] Trial 200 finished with value: 0.9442525441875385 and parameters: {'left_stride': 256, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.9688028019137752, 'batch_size': 85, 'attention_heads': 14, 'hidden_dimension': 154, 'number_of_hidden_layers': 3, 'dropout_rate': 0.453977208704952, 'global_pooling': 'max', 'learning_rate': 0.0002566397533672739, 'weight_decay': 2.8602943574743687e-06, 'beta_0': 0.8950592027712595, 'beta_1': 0.9878729497512845, 'epsilon': 5.307784394474772e-08, 'balanced_loss': False, 'epochs': 107, 'early_stopping_patience': 19, 'plateau_patience': 10, 'plateau_divider': 8}. Best is trial 161 with value: 0.968159869773082.
[I 2024-12-21 13:05:57,606] Trial 234 finished with value: 0.9467797313259871 and parameters: {'left_stride': 256, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.9780706429718965, 'batch_size': 100, 'attention_heads': 11, 'hidden_dimension': 38, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5313800999553867, 'global_pooling': 'max', 'learning_rate': 0.0002743306002122217, 'weight_decay': 2.80452634702599e-06, 'beta_0': 0.8955105073416401, 'beta_1': 0.993329143172512, 'epsilon': 8.195938083243388e-07, 'balanced_loss': False, 'epochs': 152, 'early_stopping_patience': 14, 'plateau_patience': 11, 'plateau_divider': 4}. Best is trial 224 with value: 0.970986537146642.
[I 2024-12-21 13:21:18,303] Trial 235 finished with value: 0.9669220264210446 and parameters: {'left_stride': 256, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.9863968612554092, 'batch_size': 110, 'attention_heads': 10, 'hidden_dimension': 42, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5245821173122185, 'global_pooling': 'max', 'learning_rate': 0.0001984980235068932, 'weight_decay': 3.798059783108575e-06, 'beta_0': 0.8942086085610528, 'beta_1': 0.9930626709095918, 'epsilon': 5.724700857465529e-07, 'balanced_loss': False, 'epochs': 146, 'early_stopping_patience': 13, 'plateau_patience': 11, 'plateau_divider': 4}. Best is trial 224 with value: 0.970986537146642.
[I 2024-12-21 13:35:35,576] Trial 236 finished with value: 0.9450813256786348 and parameters: {'left_stride': 256, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.9942437984232313, 'batch_size': 111, 'attention_heads': 10, 'hidden_dimension': 44, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5241804339152507, 'global_pooling': 'max', 'learning_rate': 0.0002373103203550656, 'weight_decay': 3.94445981500098e-06, 'beta_0': 0.8910895349345644, 'beta_1': 0.9930684196210549, 'epsilon': 7.194251009560151e-07, 'balanced_loss': False, 'epochs': 144, 'early_stopping_patience': 13, 'plateau_patience': 11, 'plateau_divider': 4}. Best is trial 224 with value: 0.970986537146642.
[I 2024-12-21 13:51:53,847] Trial 237 finished with value: 0.955509815188848 and parameters: {'left_stride': 256, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.9855478055105157, 'batch_size': 116, 'attention_heads': 10, 'hidden_dimension': 50, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5171066692181124, 'global_pooling': 'max', 'learning_rate': 0.00018668251122548658, 'weight_decay': 5.605151802661155e-06, 'beta_0': 0.8981986141057396, 'beta_1': 0.9934995154519666, 'epsilon': 5.30638552218746e-07, 'balanced_loss': False, 'epochs': 158, 'early_stopping_patience': 13, 'plateau_patience': 12, 'plateau_divider': 4}. Best is trial 224 with value: 0.970986537146642.
[I 2024-12-21 14:07:12,455] Trial 238 finished with value: 0.9406689826212162 and parameters: {'left_stride': 256, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.9882226474718303, 'batch_size': 107, 'attention_heads': 10, 'hidden_dimension': 41, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5361142427675735, 'global_pooling': 'max', 'learning_rate': 0.00015700145143552745, 'weight_decay': 2.827096849674542e-05, 'beta_0': 0.8928238926955464, 'beta_1': 0.9925396619321774, 'epsilon': 9.753260662061434e-07, 'balanced_loss': False, 'epochs': 148, 'early_stopping_patience': 12, 'plateau_patience': 11, 'plateau_divider': 5}. Best is trial 224 with value: 0.970986537146642.
[I 2024-12-21 14:22:21,102] Trial 239 finished with value: 0.9618386175052314 and parameters: {'left_stride': 256, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.9725477592620155, 'batch_size': 100, 'attention_heads': 11, 'hidden_dimension': 46, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5114066046403957, 'global_pooling': 'max', 'learning_rate': 0.0003109816676477522, 'weight_decay': 3.2404546734344427e-06, 'beta_0': 0.8942316908698565, 'beta_1': 0.993112965775021, 'epsilon': 6.800690979769783e-07, 'balanced_loss': False, 'epochs': 154, 'early_stopping_patience': 13, 'plateau_patience': 11, 'plateau_divider': 4}. Best is trial 224 with value: 0.970986537146642.
[I 2024-12-21 14:36:24,401] Trial 240 finished with value: 0.9421117906014063 and parameters: {'left_stride': 256, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.982243443851844, 'batch_size': 111, 'attention_heads': 10, 'hidden_dimension': 37, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5235693516989739, 'global_pooling': 'max', 'learning_rate': 0.00041419185432441075, 'weight_decay': 1.9698189890030247e-06, 'beta_0': 0.8961241455041965, 'beta_1': 0.9939554979727941, 'epsilon': 1.543475401186903e-06, 'balanced_loss': False, 'epochs': 137, 'early_stopping_patience': 13, 'plateau_patience': 12, 'plateau_divider': 4}. Best is trial 224 with value: 0.970986537146642.
[I 2024-12-21 14:51:04,889] Trial 241 finished with value: 0.935908809327342 and parameters: {'left_stride': 256, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.9648935754077569, 'batch_size': 91, 'attention_heads': 10, 'hidden_dimension': 47, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5289779323398478, 'global_pooling': 'mean', 'learning_rate': 0.00021886582151204264, 'weight_decay': 2.253057668910968e-06, 'beta_0': 0.8981805906633538, 'beta_1': 0.9927244650881927, 'epsilon': 3.8123151070680194e-07, 'balanced_loss': True, 'epochs': 141, 'early_stopping_patience': 12, 'plateau_patience': 11, 'plateau_divider': 4}. Best is trial 224 with value: 0.970986537146642.
[I 2024-12-21 15:09:35,766] Trial 242 finished with value: 0.9440838185013574 and parameters: {'left_stride': 256, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.9928899036825877, 'batch_size': 105, 'attention_heads': 10, 'hidden_dimension': 108, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5400683437361804, 'global_pooling': 'max', 'learning_rate': 9.808088630094417e-05, 'weight_decay': 1.8005072467623836e-06, 'beta_0': 0.8895483761970401, 'beta_1': 0.9921507031906941, 'epsilon': 5.567073608812024e-07, 'balanced_loss': False, 'epochs': 146, 'early_stopping_patience': 14, 'plateau_patience': 16, 'plateau_divider': 4}. Best is trial 224 with value: 0.970986537146642.
[I 2024-12-21 15:24:15,282] Trial 243 finished with value: 0.9315936628796326 and parameters: {'left_stride': 256, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.9772651707875006, 'batch_size': 95, 'attention_heads': 9, 'hidden_dimension': 42, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5528498326355158, 'global_pooling': 'max', 'learning_rate': 0.0002730763603012791, 'weight_decay': 3.637293119080386e-06, 'beta_0': 0.8939353821046768, 'beta_1': 0.9947397747387849, 'epsilon': 8.477949218849451e-07, 'balanced_loss': False, 'epochs': 144, 'early_stopping_patience': 12, 'plateau_patience': 10, 'plateau_divider': 4}. Best is trial 224 with value: 0.970986537146642.
[I 2024-12-21 15:39:30,967] Trial 244 finished with value: 0.96009241371553 and parameters: {'left_stride': 256, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.9707625155105604, 'batch_size': 101, 'attention_heads': 11, 'hidden_dimension': 48, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5109933089579393, 'global_pooling': 'max', 'learning_rate': 0.00033238743601817243, 'weight_decay': 3.262662523039697e-06, 'beta_0': 0.894336906910639, 'beta_1': 0.9931187766322094, 'epsilon': 5.927263608782507e-07, 'balanced_loss': False, 'epochs': 155, 'early_stopping_patience': 13, 'plateau_patience': 11, 'plateau_divider': 4}. Best is trial 224 with value: 0.970986537146642.
[I 2024-12-21 15:55:59,012] Trial 245 finished with value: 0.9638083249307612 and parameters: {'left_stride': 256, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.9731763687199321, 'batch_size': 101, 'attention_heads': 10, 'hidden_dimension': 44, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5053873679963884, 'global_pooling': 'max', 'learning_rate': 0.0003127623812570088, 'weight_decay': 2.9347239084907734e-06, 'beta_0': 0.8961825478473083, 'beta_1': 0.9934862922870865, 'epsilon': 6.968525759014386e-07, 'balanced_loss': False, 'epochs': 151, 'early_stopping_patience': 13, 'plateau_patience': 11, 'plateau_divider': 4}. Best is trial 224 with value: 0.970986537146642.
[I 2024-12-21 16:11:10,465] Trial 246 finished with value: 0.954004814050191 and parameters: {'left_stride': 256, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.981658665369267, 'batch_size': 108, 'attention_heads': 7, 'hidden_dimension': 39, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5159640750883016, 'global_pooling': 'max', 'learning_rate': 0.00023749600847830843, 'weight_decay': 2.678481022296631e-06, 'beta_0': 0.8668631244882128, 'beta_1': 0.9935417667345907, 'epsilon': 1.0436166915017607e-06, 'balanced_loss': False, 'epochs': 150, 'early_stopping_patience': 13, 'plateau_patience': 11, 'plateau_divider': 4}. Best is trial 224 with value: 0.970986537146642.
[I 2024-12-21 16:28:44,169] Trial 247 finished with value: 0.9555817192514965 and parameters: {'left_stride': 256, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.9592531997892787, 'batch_size': 97, 'attention_heads': 10, 'hidden_dimension': 43, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5247508390402394, 'global_pooling': 'max', 'learning_rate': 0.00036343427136086123, 'weight_decay': 2.870705632777819e-06, 'beta_0': 0.8967705365978124, 'beta_1': 0.9955917932250666, 'epsilon': 8.159779608045046e-07, 'balanced_loss': False, 'epochs': 148, 'early_stopping_patience': 13, 'plateau_patience': 12, 'plateau_divider': 4}. Best is trial 224 with value: 0.970986537146642.
[I 2024-12-21 16:44:17,333] Trial 248 finished with value: 0.9380432507114049 and parameters: {'left_stride': 256, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.9737157577537403, 'batch_size': 103, 'attention_heads': 10, 'hidden_dimension': 50, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5057607468375989, 'global_pooling': 'max', 'learning_rate': 0.00019442988880834632, 'weight_decay': 4.21981578292294e-06, 'beta_0': 0.8999497082419312, 'beta_1': 0.9943323790187418, 'epsilon': 5.066200748658852e-07, 'balanced_loss': False, 'epochs': 151, 'early_stopping_patience': 14, 'plateau_patience': 11, 'plateau_divider': 4}. Best is trial 224 with value: 0.970986537146642.
[I 2024-12-21 16:58:08,615] Trial 249 finished with value: 0.9473724876803058 and parameters: {'left_stride': 256, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.986721107143041, 'batch_size': 91, 'attention_heads': 8, 'hidden_dimension': 38, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5186409839521536, 'global_pooling': 'max', 'learning_rate': 0.0002638071112008503, 'weight_decay': 2.1158573309154376e-06, 'beta_0': 0.8911837855034617, 'beta_1': 0.993785074300686, 'epsilon': 7.042951022161776e-07, 'balanced_loss': False, 'epochs': 159, 'early_stopping_patience': 12, 'plateau_patience': 10, 'plateau_divider': 5}. Best is trial 224 with value: 0.970986537146642.
[I 2024-12-21 17:13:20,400] Trial 250 finished with value: 0.9589903387488838 and parameters: {'left_stride': 128, 'right_stride': 32, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.9663483008546966, 'batch_size': 88, 'attention_heads': 9, 'hidden_dimension': 53, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5442313597602653, 'global_pooling': 'max', 'learning_rate': 0.0004913433438608915, 'weight_decay': 3.535248126889864e-05, 'beta_0': 0.8964676146739063, 'beta_1': 0.9927102478439492, 'epsilon': 6.482296519497795e-07, 'balanced_loss': False, 'epochs': 138, 'early_stopping_patience': 13, 'plateau_patience': 11, 'plateau_divider': 4}. Best is trial 224 with value: 0.970986537146642.
[I 2024-12-21 17:26:29,575] Trial 251 finished with value: 0.9441264849292228 and parameters: {'left_stride': 256, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.9943033578690151, 'batch_size': 95, 'attention_heads': 10, 'hidden_dimension': 45, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5331381052969351, 'global_pooling': 'max', 'learning_rate': 0.0003147454725212901, 'weight_decay': 1.5313487507835606e-06, 'beta_0': 0.8977121098220044, 'beta_1': 0.9923856706563284, 'epsilon': 4.688642784106611e-07, 'balanced_loss': False, 'epochs': 143, 'early_stopping_patience': 12, 'plateau_patience': 11, 'plateau_divider': 4}. Best is trial 224 with value: 0.970986537146642.
[I 2024-12-21 17:41:36,439] Trial 252 finished with value: 0.9380520493257324 and parameters: {'left_stride': 256, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.9803016091342384, 'batch_size': 103, 'attention_heads': 10, 'hidden_dimension': 36, 'number_of_hidden_layers': 4, 'dropout_rate': 0.5041590684490524, 'global_pooling': 'max', 'learning_rate': 0.0004097620903051701, 'weight_decay': 8.790793366572864e-06, 'beta_0': 0.8928455044635843, 'beta_1': 0.9934990097703311, 'epsilon': 9.759298827397723e-07, 'balanced_loss': False, 'epochs': 146, 'early_stopping_patience': 14, 'plateau_patience': 11, 'plateau_divider': 3}. Best is trial 224 with value: 0.970986537146642.
CUDA out of memory. Tried to allocate 382.00 MiB. GPU 0 has a total capacity of 44.56 GiB of which 168.69 MiB is free. Including non-PyTorch memory, this process has 44.39 GiB memory in use. Of the allocated memory 42.84 GiB is allocated by PyTorch, and 412.85 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
[I 2024-12-21 17:45:31,734] Trial 253 finished with value: -1.0 and parameters: {'left_stride': 64, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.6892414226451682, 'batch_size': 109, 'attention_heads': 9, 'hidden_dimension': 49, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5371784839784346, 'global_pooling': 'max', 'learning_rate': 0.0002163057368464015, 'weight_decay': 2.4862368800173896e-06, 'beta_0': 0.8507567789503049, 'beta_1': 0.9929262833363588, 'epsilon': 7.523357802940642e-07, 'balanced_loss': False, 'epochs': 152, 'early_stopping_patience': 12, 'plateau_patience': 12, 'plateau_divider': 3}. Best is trial 224 with value: 0.970986537146642.
[I 2024-12-21 18:10:20,197] Trial 254 finished with value: 0.8664465025875987 and parameters: {'left_stride': 256, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.9750357128751856, 'batch_size': 243, 'attention_heads': 10, 'hidden_dimension': 41, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5162363979580825, 'global_pooling': 'max', 'learning_rate': 0.00014447042159280136, 'weight_decay': 1.810095014186921e-06, 'beta_0': 0.8950824099077704, 'beta_1': 0.9941981411683212, 'epsilon': 5.868395585052839e-07, 'balanced_loss': False, 'epochs': 156, 'early_stopping_patience': 13, 'plateau_patience': 11, 'plateau_divider': 4}. Best is trial 224 with value: 0.970986537146642.
[I 2024-12-21 18:23:21,186] Trial 255 finished with value: 0.926619015497512 and parameters: {'left_stride': 256, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.9887263856952598, 'batch_size': 99, 'attention_heads': 10, 'hidden_dimension': 32, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5280891900935386, 'global_pooling': 'max', 'learning_rate': 0.00017167666677780585, 'weight_decay': 1.4482380637138729e-06, 'beta_0': 0.899941983879722, 'beta_1': 0.9918559512346098, 'epsilon': 8.558985715789357e-07, 'balanced_loss': False, 'epochs': 56, 'early_stopping_patience': 13, 'plateau_patience': 17, 'plateau_divider': 4}. Best is trial 224 with value: 0.970986537146642.
[I 2024-12-21 18:41:14,748] Trial 256 finished with value: 0.9562729203124889 and parameters: {'left_stride': 256, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.9498121599805858, 'batch_size': 116, 'attention_heads': 11, 'hidden_dimension': 54, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5106721280912194, 'global_pooling': 'max', 'learning_rate': 0.0002700774590054125, 'weight_decay': 2.3213486495122663e-06, 'beta_0': 0.8202963589372525, 'beta_1': 0.9932846706683891, 'epsilon': 1.0832145199770945e-06, 'balanced_loss': False, 'epochs': 140, 'early_stopping_patience': 12, 'plateau_patience': 19, 'plateau_divider': 4}. Best is trial 224 with value: 0.970986537146642.
[I 2024-12-21 18:57:27,823] Trial 257 finished with value: 0.9617752472307388 and parameters: {'left_stride': 256, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.9685006701866231, 'batch_size': 84, 'attention_heads': 9, 'hidden_dimension': 44, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5216373744618321, 'global_pooling': 'max', 'learning_rate': 0.0003291452813774439, 'weight_decay': 2.923018127622572e-06, 'beta_0': 0.8245974596685991, 'beta_1': 0.9914669491727295, 'epsilon': 3.522016636442191e-07, 'balanced_loss': False, 'epochs': 148, 'early_stopping_patience': 13, 'plateau_patience': 10, 'plateau_divider': 3}. Best is trial 224 with value: 0.970986537146642.
CUDA out of memory. Tried to allocate 1.30 GiB. GPU 0 has a total capacity of 44.56 GiB of which 816.69 MiB is free. Including non-PyTorch memory, this process has 43.76 GiB memory in use. Of the allocated memory 39.58 GiB is allocated by PyTorch, and 3.03 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
[I 2024-12-21 19:09:01,669] Trial 258 finished with value: -1.0 and parameters: {'left_stride': 256, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.958904943328355, 'batch_size': 103, 'attention_heads': 10, 'hidden_dimension': 142, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5344648316936716, 'global_pooling': 'max', 'learning_rate': 0.00011890047654327708, 'weight_decay': 3.4620529205128905e-06, 'beta_0': 0.8956684653008106, 'beta_1': 0.9938188691366012, 'epsilon': 1.3717674489155113e-06, 'balanced_loss': False, 'epochs': 132, 'early_stopping_patience': 12, 'plateau_patience': 16, 'plateau_divider': 5}. Best is trial 224 with value: 0.970986537146642.
CUDA out of memory. Tried to allocate 1.47 GiB. GPU 0 has a total capacity of 44.56 GiB of which 902.69 MiB is free. Including non-PyTorch memory, this process has 43.67 GiB memory in use. Of the allocated memory 40.44 GiB is allocated by PyTorch, and 2.08 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
[I 2024-12-21 19:15:25,715] Trial 259 finished with value: -1.0 and parameters: {'left_stride': 256, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.8282213105216747, 'batch_size': 96, 'attention_heads': 10, 'hidden_dimension': 49, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5275626198597217, 'global_pooling': 'max', 'learning_rate': 0.00023913601817356894, 'weight_decay': 2.019492651174843e-06, 'beta_0': 0.8914504374438986, 'beta_1': 0.994932504197004, 'epsilon': 6.33818875437449e-07, 'balanced_loss': False, 'epochs': 143, 'early_stopping_patience': 13, 'plateau_patience': 12, 'plateau_divider': 4}. Best is trial 224 with value: 0.970986537146642.
[I 2024-12-21 19:48:55,391] Trial 260 finished with value: 0.9482406101875719 and parameters: {'left_stride': 256, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.9995495731227494, 'batch_size': 173, 'attention_heads': 14, 'hidden_dimension': 251, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5134684262130041, 'global_pooling': 'max', 'learning_rate': 0.00019680856364595617, 'weight_decay': 1.7348190977998331e-06, 'beta_0': 0.8977561571286092, 'beta_1': 0.9925319536816819, 'epsilon': 7.360629274008206e-07, 'balanced_loss': False, 'epochs': 151, 'early_stopping_patience': 13, 'plateau_patience': 10, 'plateau_divider': 4}. Best is trial 224 with value: 0.970986537146642.
[I 2024-12-21 20:01:31,685] Trial 261 finished with value: 0.9489142736070859 and parameters: {'left_stride': 256, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.97917797605584, 'batch_size': 92, 'attention_heads': 9, 'hidden_dimension': 36, 'number_of_hidden_layers': 3, 'dropout_rate': 0.43320923960202595, 'global_pooling': 'max', 'learning_rate': 0.0005945468747152232, 'weight_decay': 2.4912477557765586e-06, 'beta_0': 0.8937457147869591, 'beta_1': 0.992970689613211, 'epsilon': 4.574823908261009e-07, 'balanced_loss': False, 'epochs': 146, 'early_stopping_patience': 12, 'plateau_patience': 11, 'plateau_divider': 6}. Best is trial 224 with value: 0.970986537146642.
slurmstepd: error: *** JOB 14130637 ON gpu003 CANCELLED AT 2024-12-21T20:09:26 DUE TO TIME LIMIT ***
