Some weights of RobertaModel were not initialized from the model checkpoint at FacebookAI/roberta-base and are newly initialized: ['roberta.pooler.dense.bias', 'roberta.pooler.dense.weight']
You should probably TRAIN this model on a down-stream task to be able to use it for predictions and inference.
[I 2024-12-03 17:07:25,672] Using an existing study with name 'R8-GATv2-FacebookAI-roberta-base-Grouped-No_Aggregation' instead of creating a new one.
Token indices sequence length is longer than the specified maximum sequence length for this model (655 > 512). Running this sequence through the model will result in indexing errors
[I 2024-12-03 17:15:29,236] Trial 183 finished with value: 0.9476184042144092 and parameters: {'left_stride': 64, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.6656745475620955, 'batch_size': 83, 'attention_heads': 8, 'hidden_dimension': 101, 'number_of_hidden_layers': 0, 'dropout_rate': 0.3622081103395467, 'global_pooling': 'max', 'learning_rate': 0.00019159786779450772, 'weight_decay': 2.4380003254969343e-05, 'beta_0': 0.8400042315724068, 'beta_1': 0.983492276959586, 'epsilon': 1.9138926143385058e-05, 'balanced_loss': True, 'epochs': 123, 'early_stopping_patience': 15, 'plateau_patience': 18, 'plateau_divider': 8}. Best is trial 61 with value: 0.9599624971991361.
[I 2024-12-03 20:54:49,918] Trial 218 finished with value: 0.9542274183930155 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.6627245225501706, 'batch_size': 70, 'attention_heads': 4, 'hidden_dimension': 75, 'number_of_hidden_layers': 0, 'dropout_rate': 0.3201355868317235, 'global_pooling': 'max', 'learning_rate': 0.0012034112242442295, 'weight_decay': 4.608081335075799e-06, 'beta_0': 0.8147069249375656, 'beta_1': 0.9808939971297365, 'epsilon': 7.829710117953614e-05, 'balanced_loss': False, 'epochs': 154, 'early_stopping_patience': 17, 'plateau_patience': 15, 'plateau_divider': 10}. Best is trial 61 with value: 0.9599624971991361.
[I 2024-12-03 21:00:43,718] Trial 219 finished with value: 0.9583632493421472 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.6601283201972385, 'batch_size': 73, 'attention_heads': 4, 'hidden_dimension': 76, 'number_of_hidden_layers': 0, 'dropout_rate': 0.3190777813491882, 'global_pooling': 'max', 'learning_rate': 0.001107151130730551, 'weight_decay': 4.1003966040021e-06, 'beta_0': 0.810580546308805, 'beta_1': 0.9807374257301893, 'epsilon': 7.932455029184145e-05, 'balanced_loss': False, 'epochs': 154, 'early_stopping_patience': 18, 'plateau_patience': 16, 'plateau_divider': 10}. Best is trial 61 with value: 0.9599624971991361.
[I 2024-12-03 21:06:45,887] Trial 220 finished with value: 0.9453315244029548 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.6566471449911156, 'batch_size': 71, 'attention_heads': 4, 'hidden_dimension': 77, 'number_of_hidden_layers': 0, 'dropout_rate': 0.3207220671861487, 'global_pooling': 'max', 'learning_rate': 0.0012626823210556762, 'weight_decay': 3.975604181916825e-06, 'beta_0': 0.8115031803908956, 'beta_1': 0.9811730838712898, 'epsilon': 7.842043182178497e-05, 'balanced_loss': False, 'epochs': 154, 'early_stopping_patience': 18, 'plateau_patience': 15, 'plateau_divider': 10}. Best is trial 61 with value: 0.9599624971991361.
[I 2024-12-03 21:12:39,249] Trial 221 finished with value: 0.939916466452479 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.6510995230583105, 'batch_size': 75, 'attention_heads': 4, 'hidden_dimension': 74, 'number_of_hidden_layers': 0, 'dropout_rate': 0.3313602519916849, 'global_pooling': 'max', 'learning_rate': 0.0010996881205634322, 'weight_decay': 4.365481931172156e-06, 'beta_0': 0.8063521151441366, 'beta_1': 0.9801741508158391, 'epsilon': 9.720804845393331e-05, 'balanced_loss': False, 'epochs': 158, 'early_stopping_patience': 18, 'plateau_patience': 15, 'plateau_divider': 10}. Best is trial 61 with value: 0.9599624971991361.
[I 2024-12-03 21:18:24,055] Trial 222 finished with value: 0.9437044647769142 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.6616893045620981, 'batch_size': 81, 'attention_heads': 4, 'hidden_dimension': 70, 'number_of_hidden_layers': 0, 'dropout_rate': 0.32562655800633644, 'global_pooling': 'mean', 'learning_rate': 0.0009037000588367332, 'weight_decay': 5.082842604028488e-06, 'beta_0': 0.8152447128134617, 'beta_1': 0.9808543818983523, 'epsilon': 1.1450380679127478e-05, 'balanced_loss': False, 'epochs': 155, 'early_stopping_patience': 17, 'plateau_patience': 14, 'plateau_divider': 10}. Best is trial 61 with value: 0.9599624971991361.
[I 2024-12-03 21:24:08,910] Trial 223 finished with value: 0.9448141349603258 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.6723854123659961, 'batch_size': 71, 'attention_heads': 4, 'hidden_dimension': 62, 'number_of_hidden_layers': 0, 'dropout_rate': 0.3126602336863043, 'global_pooling': 'max', 'learning_rate': 0.0007428210541139636, 'weight_decay': 4.635350900949053e-06, 'beta_0': 0.8134609362514492, 'beta_1': 0.9807434302956933, 'epsilon': 7.294865444517175e-05, 'balanced_loss': False, 'epochs': 149, 'early_stopping_patience': 17, 'plateau_patience': 16, 'plateau_divider': 10}. Best is trial 61 with value: 0.9599624971991361.
[I 2024-12-03 21:29:51,491] Trial 224 finished with value: 0.9430662171930558 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.6615961811160633, 'batch_size': 62, 'attention_heads': 4, 'hidden_dimension': 77, 'number_of_hidden_layers': 0, 'dropout_rate': 0.3065166264062233, 'global_pooling': 'max', 'learning_rate': 0.0012477293735978618, 'weight_decay': 3.610185947117876e-06, 'beta_0': 0.8107102987618904, 'beta_1': 0.9806108372644345, 'epsilon': 6.0422849017575765e-05, 'balanced_loss': False, 'epochs': 166, 'early_stopping_patience': 18, 'plateau_patience': 16, 'plateau_divider': 10}. Best is trial 61 with value: 0.9599624971991361.
[I 2024-12-03 21:35:45,240] Trial 225 finished with value: 0.952853605309383 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.6567685449569244, 'batch_size': 56, 'attention_heads': 5, 'hidden_dimension': 81, 'number_of_hidden_layers': 0, 'dropout_rate': 0.3168825682939153, 'global_pooling': 'max', 'learning_rate': 0.0017390415359510728, 'weight_decay': 5.719514129074249e-06, 'beta_0': 0.8200513643586091, 'beta_1': 0.9815645740930807, 'epsilon': 4.8936418720127825e-05, 'balanced_loss': False, 'epochs': 152, 'early_stopping_patience': 19, 'plateau_patience': 16, 'plateau_divider': 10}. Best is trial 61 with value: 0.9599624971991361.
[I 2024-12-03 21:41:24,282] Trial 226 finished with value: 0.9376500289598637 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.6503308710663861, 'batch_size': 79, 'attention_heads': 4, 'hidden_dimension': 73, 'number_of_hidden_layers': 0, 'dropout_rate': 0.3391445560390593, 'global_pooling': 'max', 'learning_rate': 0.0010222906714739445, 'weight_decay': 4.245937823817877e-06, 'beta_0': 0.8262856608234721, 'beta_1': 0.981318314199712, 'epsilon': 7.744506947054278e-05, 'balanced_loss': False, 'epochs': 147, 'early_stopping_patience': 17, 'plateau_patience': 15, 'plateau_divider': 10}. Best is trial 61 with value: 0.9599624971991361.
[I 2024-12-03 21:47:34,565] Trial 227 finished with value: 0.9570829259755627 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.6670587429268333, 'batch_size': 206, 'attention_heads': 5, 'hidden_dimension': 56, 'number_of_hidden_layers': 0, 'dropout_rate': 0.3100046301373591, 'global_pooling': 'max', 'learning_rate': 0.0006174377022336775, 'weight_decay': 6.965179591958135e-06, 'beta_0': 0.8156263451379252, 'beta_1': 0.9800806580719649, 'epsilon': 8.440235633902236e-05, 'balanced_loss': False, 'epochs': 159, 'early_stopping_patience': 17, 'plateau_patience': 15, 'plateau_divider': 9}. Best is trial 61 with value: 0.9599624971991361.
[I 2024-12-03 21:53:52,866] Trial 228 finished with value: 0.9471750509658151 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.6653401962756774, 'batch_size': 241, 'attention_heads': 5, 'hidden_dimension': 56, 'number_of_hidden_layers': 0, 'dropout_rate': 0.3210483581068039, 'global_pooling': 'max', 'learning_rate': 0.0006064153845158612, 'weight_decay': 6.9626584567640215e-06, 'beta_0': 0.8153703488207636, 'beta_1': 0.9800300863423352, 'epsilon': 9.04212625257287e-05, 'balanced_loss': False, 'epochs': 156, 'early_stopping_patience': 17, 'plateau_patience': 15, 'plateau_divider': 9}. Best is trial 61 with value: 0.9599624971991361.
[I 2024-12-03 21:59:37,956] Trial 229 finished with value: 0.945022966776786 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.6779182778703294, 'batch_size': 72, 'attention_heads': 5, 'hidden_dimension': 53, 'number_of_hidden_layers': 0, 'dropout_rate': 0.329283848586977, 'global_pooling': 'max', 'learning_rate': 0.000662281102878949, 'weight_decay': 5.829867506993468e-06, 'beta_0': 0.8123611751141838, 'beta_1': 0.9809062966921813, 'epsilon': 5.671929053888731e-05, 'balanced_loss': False, 'epochs': 153, 'early_stopping_patience': 17, 'plateau_patience': 14, 'plateau_divider': 9}. Best is trial 61 with value: 0.9599624971991361.
[I 2024-12-03 22:05:46,213] Trial 230 finished with value: 0.9453157001053918 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.6624620568473198, 'batch_size': 86, 'attention_heads': 5, 'hidden_dimension': 59, 'number_of_hidden_layers': 0, 'dropout_rate': 0.31149034098413214, 'global_pooling': 'max', 'learning_rate': 0.0005211748911111697, 'weight_decay': 5.121927709235038e-06, 'beta_0': 0.8152790349752554, 'beta_1': 0.9805386816099492, 'epsilon': 7.423803967544579e-05, 'balanced_loss': False, 'epochs': 161, 'early_stopping_patience': 18, 'plateau_patience': 15, 'plateau_divider': 10}. Best is trial 61 with value: 0.9599624971991361.
[I 2024-12-03 22:11:42,449] Trial 231 finished with value: 0.9322551589966762 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.6714420552061882, 'batch_size': 205, 'attention_heads': 5, 'hidden_dimension': 41, 'number_of_hidden_layers': 0, 'dropout_rate': 0.32003042766013545, 'global_pooling': 'max', 'learning_rate': 0.0006030391127291716, 'weight_decay': 9.30703241996021e-06, 'beta_0': 0.81805943375158, 'beta_1': 0.9819788107448946, 'epsilon': 6.400025342970391e-05, 'balanced_loss': False, 'epochs': 174, 'early_stopping_patience': 17, 'plateau_patience': 16, 'plateau_divider': 9}. Best is trial 61 with value: 0.9599624971991361.
[I 2024-12-03 22:19:00,247] Trial 232 finished with value: 0.9315904767409409 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.6571910910160996, 'batch_size': 195, 'attention_heads': 5, 'hidden_dimension': 68, 'number_of_hidden_layers': 0, 'dropout_rate': 0.3089614084992183, 'global_pooling': 'sum', 'learning_rate': 0.0007722347472163074, 'weight_decay': 6.969676654058677e-06, 'beta_0': 0.8245036745776306, 'beta_1': 0.9814465019849938, 'epsilon': 7.98323284069059e-05, 'balanced_loss': False, 'epochs': 159, 'early_stopping_patience': 17, 'plateau_patience': 13, 'plateau_divider': 10}. Best is trial 61 with value: 0.9599624971991361.
[I 2024-12-03 22:24:55,819] Trial 233 finished with value: 0.9459948766172579 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.6693864833654045, 'batch_size': 68, 'attention_heads': 4, 'hidden_dimension': 87, 'number_of_hidden_layers': 0, 'dropout_rate': 0.30222000687642503, 'global_pooling': 'max', 'learning_rate': 0.0009236044745010628, 'weight_decay': 8.309334536470941e-06, 'beta_0': 0.8284240087530927, 'beta_1': 0.9804015316958565, 'epsilon': 9.89329941347799e-05, 'balanced_loss': False, 'epochs': 150, 'early_stopping_patience': 17, 'plateau_patience': 16, 'plateau_divider': 9}. Best is trial 61 with value: 0.9599624971991361.
[I 2024-12-03 22:30:53,956] Trial 234 finished with value: 0.9596004665277111 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.650007393740736, 'batch_size': 252, 'attention_heads': 4, 'hidden_dimension': 79, 'number_of_hidden_layers': 0, 'dropout_rate': 0.3139583311999806, 'global_pooling': 'max', 'learning_rate': 0.0013757612169816606, 'weight_decay': 5.875878978259361e-06, 'beta_0': 0.8320613726117162, 'beta_1': 0.9830406642850074, 'epsilon': 8.452211710143658e-05, 'balanced_loss': False, 'epochs': 155, 'early_stopping_patience': 17, 'plateau_patience': 16, 'plateau_divider': 10}. Best is trial 61 with value: 0.9599624971991361.
[I 2024-12-03 22:36:52,666] Trial 235 finished with value: 0.9436834470254378 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.6500130819388605, 'batch_size': 226, 'attention_heads': 4, 'hidden_dimension': 81, 'number_of_hidden_layers': 0, 'dropout_rate': 0.314119035425795, 'global_pooling': 'max', 'learning_rate': 0.0013531146376592343, 'weight_decay': 6.017176540949866e-06, 'beta_0': 0.8310899230806937, 'beta_1': 0.9829760763988067, 'epsilon': 8.270111323451292e-05, 'balanced_loss': False, 'epochs': 158, 'early_stopping_patience': 17, 'plateau_patience': 16, 'plateau_divider': 10}. Best is trial 61 with value: 0.9599624971991361.
[I 2024-12-03 22:42:44,924] Trial 236 finished with value: 0.9423028322987284 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.659354042472429, 'batch_size': 76, 'attention_heads': 4, 'hidden_dimension': 74, 'number_of_hidden_layers': 0, 'dropout_rate': 0.33387203261235504, 'global_pooling': 'max', 'learning_rate': 0.0008409969363152067, 'weight_decay': 4.989152910912325e-06, 'beta_0': 0.8349816132670164, 'beta_1': 0.9828184306559156, 'epsilon': 6.689731040889419e-05, 'balanced_loss': False, 'epochs': 154, 'early_stopping_patience': 17, 'plateau_patience': 17, 'plateau_divider': 10}. Best is trial 61 with value: 0.9599624971991361.
[I 2024-12-03 22:48:48,462] Trial 237 finished with value: 0.9398181531280054 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.6562889942880428, 'batch_size': 248, 'attention_heads': 5, 'hidden_dimension': 64, 'number_of_hidden_layers': 0, 'dropout_rate': 0.32545075652031097, 'global_pooling': 'max', 'learning_rate': 0.00105202619692108, 'weight_decay': 7.021373507981665e-06, 'beta_0': 0.8320725590297122, 'beta_1': 0.9810616387875717, 'epsilon': 5.486215146818882e-05, 'balanced_loss': False, 'epochs': 162, 'early_stopping_patience': 18, 'plateau_patience': 14, 'plateau_divider': 10}. Best is trial 61 with value: 0.9599624971991361.
[I 2024-12-03 22:54:46,893] Trial 238 finished with value: 0.9458161562303906 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.6501511153366398, 'batch_size': 217, 'attention_heads': 5, 'hidden_dimension': 78, 'number_of_hidden_layers': 0, 'dropout_rate': 0.31526856261366626, 'global_pooling': 'max', 'learning_rate': 0.0013771923468276466, 'weight_decay': 4.008857060491182e-06, 'beta_0': 0.8220083927789005, 'beta_1': 0.9817545730630755, 'epsilon': 8.688876061305377e-05, 'balanced_loss': False, 'epochs': 147, 'early_stopping_patience': 18, 'plateau_patience': 15, 'plateau_divider': 10}. Best is trial 61 with value: 0.9599624971991361.
[I 2024-12-03 23:01:09,304] Trial 239 finished with value: 0.9608329457971938 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.6669835146661078, 'batch_size': 224, 'attention_heads': 4, 'hidden_dimension': 89, 'number_of_hidden_layers': 0, 'dropout_rate': 0.34377683957320226, 'global_pooling': 'max', 'learning_rate': 0.0006932565214632337, 'weight_decay': 6.42653439160184e-06, 'beta_0': 0.8174850937100129, 'beta_1': 0.9822571778525028, 'epsilon': 4.597520121093748e-05, 'balanced_loss': False, 'epochs': 156, 'early_stopping_patience': 19, 'plateau_patience': 16, 'plateau_divider': 10}. Best is trial 239 with value: 0.9608329457971938.
[I 2024-12-03 23:06:59,113] Trial 240 finished with value: 0.9489852176392173 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.6657466572308903, 'batch_size': 223, 'attention_heads': 4, 'hidden_dimension': 49, 'number_of_hidden_layers': 0, 'dropout_rate': 0.34318865868022574, 'global_pooling': 'max', 'learning_rate': 0.0007125288428790735, 'weight_decay': 7.566633770292741e-06, 'beta_0': 0.8094755623089719, 'beta_1': 0.9825135483314189, 'epsilon': 4.383581281020364e-05, 'balanced_loss': False, 'epochs': 157, 'early_stopping_patience': 17, 'plateau_patience': 16, 'plateau_divider': 10}. Best is trial 239 with value: 0.9608329457971938.
[I 2024-12-03 23:13:10,578] Trial 241 finished with value: 0.9529289234960756 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.6863091788517632, 'batch_size': 249, 'attention_heads': 4, 'hidden_dimension': 70, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5308704530311753, 'global_pooling': 'max', 'learning_rate': 0.0005217946815056554, 'weight_decay': 1.0191324366068923e-05, 'beta_0': 0.8173095916044115, 'beta_1': 0.9822094350901441, 'epsilon': 3.6928884135524595e-05, 'balanced_loss': False, 'epochs': 151, 'early_stopping_patience': 17, 'plateau_patience': 16, 'plateau_divider': 10}. Best is trial 239 with value: 0.9608329457971938.
[I 2024-12-03 23:18:47,824] Trial 242 finished with value: 0.9508590098816713 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.6741338642403127, 'batch_size': 238, 'attention_heads': 4, 'hidden_dimension': 85, 'number_of_hidden_layers': 0, 'dropout_rate': 0.34163293157563235, 'global_pooling': 'max', 'learning_rate': 0.0009603619002327495, 'weight_decay': 6.505801580695954e-06, 'beta_0': 0.8335322804955881, 'beta_1': 0.9800411901772599, 'epsilon': 5.097886641877281e-05, 'balanced_loss': False, 'epochs': 155, 'early_stopping_patience': 17, 'plateau_patience': 17, 'plateau_divider': 10}. Best is trial 239 with value: 0.9608329457971938.
[I 2024-12-03 23:24:52,693] Trial 243 finished with value: 0.9302085863164457 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.6617498654216806, 'batch_size': 187, 'attention_heads': 4, 'hidden_dimension': 90, 'number_of_hidden_layers': 0, 'dropout_rate': 0.33616935419802185, 'global_pooling': 'max', 'learning_rate': 0.0007101643857935731, 'weight_decay': 5.650620122869767e-06, 'beta_0': 0.8368221122605618, 'beta_1': 0.9819622640115963, 'epsilon': 9.958860317072885e-05, 'balanced_loss': False, 'epochs': 152, 'early_stopping_patience': 19, 'plateau_patience': 16, 'plateau_divider': 10}. Best is trial 239 with value: 0.9608329457971938.
[I 2024-12-03 23:31:14,070] Trial 244 finished with value: 0.9508835696111293 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.6582006945052135, 'batch_size': 223, 'attention_heads': 5, 'hidden_dimension': 81, 'number_of_hidden_layers': 0, 'dropout_rate': 0.32278347037154637, 'global_pooling': 'max', 'learning_rate': 0.0005684951432115154, 'weight_decay': 4.674370548371032e-06, 'beta_0': 0.8299553802533484, 'beta_1': 0.9815051951708672, 'epsilon': 6.744046839042973e-05, 'balanced_loss': False, 'epochs': 148, 'early_stopping_patience': 19, 'plateau_patience': 15, 'plateau_divider': 10}. Best is trial 239 with value: 0.9608329457971938.
[I 2024-12-03 23:36:35,283] Trial 245 finished with value: 0.9500687945669058 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9178820494686589, 'batch_size': 181, 'attention_heads': 4, 'hidden_dimension': 89, 'number_of_hidden_layers': 0, 'dropout_rate': 0.30677808271174456, 'global_pooling': 'max', 'learning_rate': 0.0015465989277444422, 'weight_decay': 5.665293248383179e-06, 'beta_0': 0.8160356353193333, 'beta_1': 0.983259872530626, 'epsilon': 5.916996612262229e-05, 'balanced_loss': False, 'epochs': 144, 'early_stopping_patience': 20, 'plateau_patience': 16, 'plateau_divider': 10}. Best is trial 239 with value: 0.9608329457971938.
[I 2024-12-03 23:44:10,930] Trial 246 finished with value: 0.9592153900517125 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.6674001540428551, 'batch_size': 211, 'attention_heads': 6, 'hidden_dimension': 76, 'number_of_hidden_layers': 0, 'dropout_rate': 0.3486157090866768, 'global_pooling': 'max', 'learning_rate': 0.0004481187712485725, 'weight_decay': 8.661317089223531e-06, 'beta_0': 0.813292630822656, 'beta_1': 0.9828337526264361, 'epsilon': 7.3937335625239e-05, 'balanced_loss': False, 'epochs': 159, 'early_stopping_patience': 18, 'plateau_patience': 17, 'plateau_divider': 10}. Best is trial 239 with value: 0.9608329457971938.
[I 2024-12-03 23:51:18,193] Trial 247 finished with value: 0.9526240697113564 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.6675004605010082, 'batch_size': 207, 'attention_heads': 6, 'hidden_dimension': 75, 'number_of_hidden_layers': 0, 'dropout_rate': 0.34917118224698823, 'global_pooling': 'max', 'learning_rate': 0.0004521787860757841, 'weight_decay': 8.489229483362154e-06, 'beta_0': 0.8131751696245546, 'beta_1': 0.98292199988229, 'epsilon': 8.206930395345656e-05, 'balanced_loss': False, 'epochs': 160, 'early_stopping_patience': 18, 'plateau_patience': 17, 'plateau_divider': 10}. Best is trial 239 with value: 0.9608329457971938.
[I 2024-12-03 23:58:47,733] Trial 248 finished with value: 0.9432420138587123 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.6789062925231841, 'batch_size': 254, 'attention_heads': 6, 'hidden_dimension': 75, 'number_of_hidden_layers': 0, 'dropout_rate': 0.34599742380441323, 'global_pooling': 'max', 'learning_rate': 0.0004349774947199999, 'weight_decay': 8.618839077590862e-06, 'beta_0': 0.8179996492215624, 'beta_1': 0.9825791542328937, 'epsilon': 7.45607588975448e-05, 'balanced_loss': False, 'epochs': 168, 'early_stopping_patience': 18, 'plateau_patience': 17, 'plateau_divider': 10}. Best is trial 239 with value: 0.9608329457971938.
[I 2024-12-04 00:05:29,931] Trial 249 finished with value: 0.9384975534792607 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.6656504027279686, 'batch_size': 227, 'attention_heads': 6, 'hidden_dimension': 69, 'number_of_hidden_layers': 0, 'dropout_rate': 0.32960861966641986, 'global_pooling': 'max', 'learning_rate': 0.0006145105369853076, 'weight_decay': 1.2589240595405414e-05, 'beta_0': 0.8090993580558211, 'beta_1': 0.9833358172454931, 'epsilon': 5.029983527033809e-05, 'balanced_loss': False, 'epochs': 157, 'early_stopping_patience': 17, 'plateau_patience': 17, 'plateau_divider': 10}. Best is trial 239 with value: 0.9608329457971938.
[I 2024-12-04 00:12:29,847] Trial 250 finished with value: 0.9488838164355673 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.6750531908191774, 'batch_size': 214, 'attention_heads': 6, 'hidden_dimension': 79, 'number_of_hidden_layers': 0, 'dropout_rate': 0.3375928802256219, 'global_pooling': 'max', 'learning_rate': 0.0003868867708760065, 'weight_decay': 7.434572963060094e-06, 'beta_0': 0.8275888143643617, 'beta_1': 0.9830127400469654, 'epsilon': 6.322953348983939e-06, 'balanced_loss': False, 'epochs': 164, 'early_stopping_patience': 17, 'plateau_patience': 17, 'plateau_divider': 10}. Best is trial 239 with value: 0.9608329457971938.
[I 2024-12-04 00:19:00,219] Trial 251 finished with value: 0.9461624459525034 and parameters: {'left_stride': 32, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.668519195348259, 'batch_size': 233, 'attention_heads': 4, 'hidden_dimension': 82, 'number_of_hidden_layers': 0, 'dropout_rate': 0.3512045387060428, 'global_pooling': 'max', 'learning_rate': 0.0008406571237964338, 'weight_decay': 6.919610141613781e-06, 'beta_0': 0.8120476476253868, 'beta_1': 0.9821057431836523, 'epsilon': 6.792734899472357e-05, 'balanced_loss': False, 'epochs': 154, 'early_stopping_patience': 18, 'plateau_patience': 16, 'plateau_divider': 10}. Best is trial 239 with value: 0.9608329457971938.
[I 2024-12-04 00:25:11,098] Trial 252 finished with value: 0.9184980091916097 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.6633930718146681, 'batch_size': 199, 'attention_heads': 6, 'hidden_dimension': 64, 'number_of_hidden_layers': 0, 'dropout_rate': 0.3195588704343723, 'global_pooling': 'max', 'learning_rate': 0.00113530592803199, 'weight_decay': 1.0651532437388509e-05, 'beta_0': 0.8298307732925976, 'beta_1': 0.9807013575161126, 'epsilon': 3.770029055350251e-05, 'balanced_loss': False, 'epochs': 158, 'early_stopping_patience': 25, 'plateau_patience': 17, 'plateau_divider': 9}. Best is trial 239 with value: 0.9608329457971938.
[I 2024-12-04 00:31:51,340] Trial 253 finished with value: 0.9346900796151004 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.6570141389821758, 'batch_size': 199, 'attention_heads': 4, 'hidden_dimension': 72, 'number_of_hidden_layers': 0, 'dropout_rate': 0.32942073072825556, 'global_pooling': 'max', 'learning_rate': 0.0005331858414292864, 'weight_decay': 6.336647073005894e-06, 'beta_0': 0.8145206096378945, 'beta_1': 0.982364087661562, 'epsilon': 8.520808120604548e-05, 'balanced_loss': False, 'epochs': 150, 'early_stopping_patience': 17, 'plateau_patience': 15, 'plateau_divider': 10}. Best is trial 239 with value: 0.9608329457971938.
