[I 2024-12-03 17:07:30,049] Using an existing study with name 'R8-GATv2-xlnet-xlnet-base-cased-Grouped-No_Aggregation' instead of creating a new one.
[I 2024-12-03 17:17:24,218] Trial 124 finished with value: 0.9439150432703614 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.7797585912720805, 'batch_size': 128, 'attention_heads': 6, 'hidden_dimension': 123, 'number_of_hidden_layers': 0, 'dropout_rate': 0.3283966195298372, 'global_pooling': 'max', 'learning_rate': 0.0005149059827268316, 'weight_decay': 1.2800199430164981e-06, 'beta_0': 0.8521407361763219, 'beta_1': 0.9878546125828463, 'epsilon': 1.7606316379859992e-08, 'balanced_loss': False, 'epochs': 77, 'early_stopping_patience': 21, 'plateau_patience': 16, 'plateau_divider': 3}. Best is trial 118 with value: 0.955876017992461.
[I 2024-12-03 23:39:12,000] Trial 162 finished with value: 0.9308282531453576 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.8079188489124843, 'batch_size': 149, 'attention_heads': 5, 'hidden_dimension': 144, 'number_of_hidden_layers': 0, 'dropout_rate': 0.3210119587730694, 'global_pooling': 'max', 'learning_rate': 0.0005263315121237784, 'weight_decay': 1.0108249039550586e-06, 'beta_0': 0.8487469453937593, 'beta_1': 0.9888483090599973, 'epsilon': 2.919134865027833e-08, 'balanced_loss': False, 'epochs': 105, 'early_stopping_patience': 16, 'plateau_patience': 18, 'plateau_divider': 3}. Best is trial 125 with value: 0.9564763717525835.
[I 2024-12-03 23:48:56,360] Trial 163 finished with value: 0.9338840943043714 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.7986009901598312, 'batch_size': 98, 'attention_heads': 6, 'hidden_dimension': 125, 'number_of_hidden_layers': 0, 'dropout_rate': 0.31421768734882943, 'global_pooling': 'max', 'learning_rate': 0.00030609821869057545, 'weight_decay': 1.2379305776541516e-06, 'beta_0': 0.8533689500232554, 'beta_1': 0.9884722439992845, 'epsilon': 1.1666642776819992e-08, 'balanced_loss': False, 'epochs': 65, 'early_stopping_patience': 21, 'plateau_patience': 17, 'plateau_divider': 3}. Best is trial 125 with value: 0.9564763717525835.
[I 2024-12-03 23:58:16,539] Trial 164 finished with value: 0.9399440843531471 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.8024385281358857, 'batch_size': 115, 'attention_heads': 6, 'hidden_dimension': 119, 'number_of_hidden_layers': 0, 'dropout_rate': 0.33084985656829013, 'global_pooling': 'max', 'learning_rate': 0.00044045541568457565, 'weight_decay': 1.415340899395724e-06, 'beta_0': 0.8588693011109584, 'beta_1': 0.9880877807763628, 'epsilon': 1.0427290357548536e-08, 'balanced_loss': False, 'epochs': 60, 'early_stopping_patience': 21, 'plateau_patience': 16, 'plateau_divider': 3}. Best is trial 125 with value: 0.9564763717525835.
[I 2024-12-04 00:07:48,007] Trial 165 finished with value: 0.9318347032120925 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.7842326359502091, 'batch_size': 126, 'attention_heads': 6, 'hidden_dimension': 111, 'number_of_hidden_layers': 0, 'dropout_rate': 0.3165337782050709, 'global_pooling': 'max', 'learning_rate': 0.0002795969352739479, 'weight_decay': 1.1801501323902718e-06, 'beta_0': 0.851251766185307, 'beta_1': 0.9887729363771367, 'epsilon': 1.5114632443768656e-08, 'balanced_loss': False, 'epochs': 77, 'early_stopping_patience': 21, 'plateau_patience': 17, 'plateau_divider': 3}. Best is trial 125 with value: 0.9564763717525835.
[I 2024-12-04 00:17:07,307] Trial 166 finished with value: 0.9506059005213243 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.7940666476162416, 'batch_size': 109, 'attention_heads': 5, 'hidden_dimension': 135, 'number_of_hidden_layers': 0, 'dropout_rate': 0.30935030450283374, 'global_pooling': 'max', 'learning_rate': 0.0003314134387027683, 'weight_decay': 1.6315671041395638e-06, 'beta_0': 0.8545678416250428, 'beta_1': 0.986127766162424, 'epsilon': 1.757302727698371e-08, 'balanced_loss': False, 'epochs': 68, 'early_stopping_patience': 21, 'plateau_patience': 18, 'plateau_divider': 3}. Best is trial 125 with value: 0.9564763717525835.
[I 2024-12-04 00:26:15,134] Trial 167 finished with value: 0.9360300471467785 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.7783199234114248, 'batch_size': 110, 'attention_heads': 4, 'hidden_dimension': 135, 'number_of_hidden_layers': 0, 'dropout_rate': 0.30752434215134905, 'global_pooling': 'max', 'learning_rate': 0.00033375989086254366, 'weight_decay': 1.6462050027873349e-06, 'beta_0': 0.8553130404187536, 'beta_1': 0.986143938488165, 'epsilon': 1.9809059407125064e-08, 'balanced_loss': False, 'epochs': 74, 'early_stopping_patience': 20, 'plateau_patience': 18, 'plateau_divider': 3}. Best is trial 125 with value: 0.9564763717525835.
[I 2024-12-04 00:35:36,574] Trial 168 finished with value: 0.9460878597895056 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.7876305148352538, 'batch_size': 118, 'attention_heads': 5, 'hidden_dimension': 91, 'number_of_hidden_layers': 0, 'dropout_rate': 0.32511932656112863, 'global_pooling': 'max', 'learning_rate': 0.000658978660807239, 'weight_decay': 1.935905577994575e-06, 'beta_0': 0.8469702064614578, 'beta_1': 0.986510742439274, 'epsilon': 3.771834776753551e-08, 'balanced_loss': False, 'epochs': 72, 'early_stopping_patience': 22, 'plateau_patience': 18, 'plateau_divider': 3}. Best is trial 125 with value: 0.9564763717525835.
[I 2024-12-04 00:45:06,321] Trial 169 finished with value: 0.9369636165711668 and parameters: {'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'max', 'threshold': 0.7893166544841587, 'batch_size': 119, 'attention_heads': 5, 'hidden_dimension': 116, 'number_of_hidden_layers': 0, 'dropout_rate': 0.32663168979544327, 'global_pooling': 'max', 'learning_rate': 0.0006956696643304168, 'weight_decay': 1.9049457239191296e-06, 'beta_0': 0.8464056306523361, 'beta_1': 0.9861876300521506, 'epsilon': 2.4001582224543783e-08, 'balanced_loss': False, 'epochs': 68, 'early_stopping_patience': 23, 'plateau_patience': 22, 'plateau_divider': 6}. Best is trial 125 with value: 0.9564763717525835.
[I 2024-12-04 00:54:32,838] Trial 170 finished with value: 0.9409404115737212 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.8132564239270522, 'batch_size': 135, 'attention_heads': 5, 'hidden_dimension': 78, 'number_of_hidden_layers': 0, 'dropout_rate': 0.33844569514934736, 'global_pooling': 'max', 'learning_rate': 0.0006089489762089703, 'weight_decay': 1.513823687426847e-06, 'beta_0': 0.8476643536908112, 'beta_1': 0.986840533928567, 'epsilon': 6.013761075422219e-08, 'balanced_loss': False, 'epochs': 80, 'early_stopping_patience': 22, 'plateau_patience': 18, 'plateau_divider': 3}. Best is trial 125 with value: 0.9564763717525835.
[I 2024-12-04 01:04:09,394] Trial 171 finished with value: 0.9393227764556917 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.7914635512495451, 'batch_size': 141, 'attention_heads': 4, 'hidden_dimension': 105, 'number_of_hidden_layers': 0, 'dropout_rate': 0.32108157856908826, 'global_pooling': 'max', 'learning_rate': 0.00019789907895582104, 'weight_decay': 2.244307755488416e-06, 'beta_0': 0.849987853746638, 'beta_1': 0.9864169339463897, 'epsilon': 3.2554950249244355e-08, 'balanced_loss': False, 'epochs': 54, 'early_stopping_patience': 22, 'plateau_patience': 18, 'plateau_divider': 4}. Best is trial 125 with value: 0.9564763717525835.
[I 2024-12-04 01:14:05,299] Trial 172 finished with value: 0.9393621464219849 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.8229280814939992, 'batch_size': 122, 'attention_heads': 6, 'hidden_dimension': 101, 'number_of_hidden_layers': 0, 'dropout_rate': 0.33217056979931714, 'global_pooling': 'max', 'learning_rate': 0.00036004947341166006, 'weight_decay': 1.007717461081239e-06, 'beta_0': 0.8608378599785795, 'beta_1': 0.9875989261118373, 'epsilon': 1.763705566867822e-08, 'balanced_loss': False, 'epochs': 59, 'early_stopping_patience': 22, 'plateau_patience': 19, 'plateau_divider': 3}. Best is trial 125 with value: 0.9564763717525835.
[I 2024-12-04 01:23:20,158] Trial 173 finished with value: 0.9316845603802668 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.7702557515728699, 'batch_size': 105, 'attention_heads': 5, 'hidden_dimension': 90, 'number_of_hidden_layers': 0, 'dropout_rate': 0.3109747404858474, 'global_pooling': 'max', 'learning_rate': 0.00045300765751892365, 'weight_decay': 2.5896202235755334e-06, 'beta_0': 0.8517518326709222, 'beta_1': 0.9873690936155878, 'epsilon': 4.042327850677902e-08, 'balanced_loss': False, 'epochs': 72, 'early_stopping_patience': 21, 'plateau_patience': 17, 'plateau_divider': 3}. Best is trial 125 with value: 0.9564763717525835.
[I 2024-12-04 01:33:16,288] Trial 174 finished with value: 0.9404076807976604 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.7830387577191884, 'batch_size': 118, 'attention_heads': 5, 'hidden_dimension': 130, 'number_of_hidden_layers': 0, 'dropout_rate': 0.3018623041323677, 'global_pooling': 'max', 'learning_rate': 0.0005625843922875388, 'weight_decay': 1.7598671219128865e-06, 'beta_0': 0.8575120065112438, 'beta_1': 0.9865623663496259, 'epsilon': 3.331215293986348e-08, 'balanced_loss': False, 'epochs': 68, 'early_stopping_patience': 19, 'plateau_patience': 18, 'plateau_divider': 3}. Best is trial 125 with value: 0.9564763717525835.
[I 2024-12-04 01:43:35,903] Trial 175 finished with value: 0.9432741996813103 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.7649986027623457, 'batch_size': 113, 'attention_heads': 9, 'hidden_dimension': 120, 'number_of_hidden_layers': 0, 'dropout_rate': 0.32379104836571576, 'global_pooling': 'max', 'learning_rate': 0.0007079589156857205, 'weight_decay': 2.062765231215847e-06, 'beta_0': 0.8541719168689423, 'beta_1': 0.9871576530008862, 'epsilon': 4.995108304514319e-08, 'balanced_loss': False, 'epochs': 119, 'early_stopping_patience': 20, 'plateau_patience': 16, 'plateau_divider': 7}. Best is trial 125 with value: 0.9564763717525835.
[I 2024-12-04 01:52:47,910] Trial 176 finished with value: 0.8364842167804983 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.7523781205309015, 'batch_size': 113, 'attention_heads': 6, 'hidden_dimension': 121, 'number_of_hidden_layers': 0, 'dropout_rate': 0.3239488943562573, 'global_pooling': 'max', 'learning_rate': 0.09835823218713399, 'weight_decay': 2.207730411589294e-06, 'beta_0': 0.8490818102774548, 'beta_1': 0.9869343034106429, 'epsilon': 5.434023622697134e-08, 'balanced_loss': False, 'epochs': 78, 'early_stopping_patience': 20, 'plateau_patience': 16, 'plateau_divider': 7}. Best is trial 125 with value: 0.9564763717525835.
[I 2024-12-04 02:02:57,294] Trial 177 finished with value: 0.9489937625064915 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.7632670714025531, 'batch_size': 125, 'attention_heads': 8, 'hidden_dimension': 122, 'number_of_hidden_layers': 0, 'dropout_rate': 0.33079789213091937, 'global_pooling': 'max', 'learning_rate': 0.0008416236154021653, 'weight_decay': 1.404830612561335e-06, 'beta_0': 0.85508797528012, 'beta_1': 0.9859003066957165, 'epsilon': 1.2834903230673908e-08, 'balanced_loss': False, 'epochs': 64, 'early_stopping_patience': 22, 'plateau_patience': 15, 'plateau_divider': 4}. Best is trial 125 with value: 0.9564763717525835.
[I 2024-12-04 02:12:56,404] Trial 178 finished with value: 0.9390036521117417 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.7611737809404174, 'batch_size': 131, 'attention_heads': 7, 'hidden_dimension': 112, 'number_of_hidden_layers': 0, 'dropout_rate': 0.34252227604658925, 'global_pooling': 'max', 'learning_rate': 0.0007004966347140851, 'weight_decay': 1.5619499086485784e-06, 'beta_0': 0.8450951967088122, 'beta_1': 0.9853134919847834, 'epsilon': 2.6534673308153227e-08, 'balanced_loss': False, 'epochs': 63, 'early_stopping_patience': 23, 'plateau_patience': 15, 'plateau_divider': 5}. Best is trial 125 with value: 0.9564763717525835.
[I 2024-12-04 02:22:56,628] Trial 179 finished with value: 0.9217333771419487 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.7800420568092785, 'batch_size': 115, 'attention_heads': 9, 'hidden_dimension': 125, 'number_of_hidden_layers': 0, 'dropout_rate': 0.33408953056904017, 'global_pooling': 'max', 'learning_rate': 0.0008102746280869477, 'weight_decay': 1.946973960349096e-06, 'beta_0': 0.8514722150137699, 'beta_1': 0.9860031888093521, 'epsilon': 6.96701284555955e-08, 'balanced_loss': False, 'epochs': 118, 'early_stopping_patience': 22, 'plateau_patience': 15, 'plateau_divider': 4}. Best is trial 125 with value: 0.9564763717525835.
[I 2024-12-04 02:34:46,754] Trial 180 finished with value: 0.9482634158629407 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.7477964691101385, 'batch_size': 125, 'attention_heads': 9, 'hidden_dimension': 167, 'number_of_hidden_layers': 0, 'dropout_rate': 0.3285693372047424, 'global_pooling': 'max', 'learning_rate': 0.0008316933744986989, 'weight_decay': 1.387632172368702e-06, 'beta_0': 0.8555093184690523, 'beta_1': 0.9858305954150416, 'epsilon': 4.490196003444793e-08, 'balanced_loss': False, 'epochs': 121, 'early_stopping_patience': 22, 'plateau_patience': 16, 'plateau_divider': 6}. Best is trial 125 with value: 0.9564763717525835.
[I 2024-12-04 02:47:41,988] Trial 181 finished with value: 0.9294648446100695 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.748556081236795, 'batch_size': 123, 'attention_heads': 9, 'hidden_dimension': 166, 'number_of_hidden_layers': 0, 'dropout_rate': 0.341220404180241, 'global_pooling': 'mean', 'learning_rate': 0.0009302116749792288, 'weight_decay': 1.3781768075024272e-06, 'beta_0': 0.8552450085166374, 'beta_1': 0.985709285343145, 'epsilon': 4.2665948556594094e-08, 'balanced_loss': False, 'epochs': 123, 'early_stopping_patience': 23, 'plateau_patience': 16, 'plateau_divider': 8}. Best is trial 125 with value: 0.9564763717525835.
[I 2024-12-04 03:00:10,022] Trial 182 finished with value: 0.9303379458423338 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.7348715027841922, 'batch_size': 125, 'attention_heads': 8, 'hidden_dimension': 176, 'number_of_hidden_layers': 0, 'dropout_rate': 0.32825086635854794, 'global_pooling': 'max', 'learning_rate': 0.000738620504558092, 'weight_decay': 1.614694607229297e-06, 'beta_0': 0.8541981536693087, 'beta_1': 0.9852325496277774, 'epsilon': 6.43078629499278e-08, 'balanced_loss': False, 'epochs': 75, 'early_stopping_patience': 22, 'plateau_patience': 15, 'plateau_divider': 7}. Best is trial 125 with value: 0.9564763717525835.
[I 2024-12-04 03:11:29,469] Trial 183 finished with value: 0.9459160094349288 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.7620248559741941, 'batch_size': 130, 'attention_heads': 8, 'hidden_dimension': 168, 'number_of_hidden_layers': 0, 'dropout_rate': 0.3213528924897399, 'global_pooling': 'max', 'learning_rate': 0.0005753829181398953, 'weight_decay': 1.9793610918098372e-06, 'beta_0': 0.852236886165314, 'beta_1': 0.9860004707959504, 'epsilon': 4.903187993002627e-08, 'balanced_loss': False, 'epochs': 111, 'early_stopping_patience': 22, 'plateau_patience': 16, 'plateau_divider': 5}. Best is trial 125 with value: 0.9564763717525835.
[I 2024-12-04 03:22:24,880] Trial 184 finished with value: 0.9483115970408662 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.7587923735199007, 'batch_size': 118, 'attention_heads': 9, 'hidden_dimension': 169, 'number_of_hidden_layers': 0, 'dropout_rate': 0.3231358001068837, 'global_pooling': 'max', 'learning_rate': 0.0007767500965677073, 'weight_decay': 2.449750558824961e-06, 'beta_0': 0.8564181409335887, 'beta_1': 0.9860916684714123, 'epsilon': 4.940033101440139e-08, 'balanced_loss': False, 'epochs': 113, 'early_stopping_patience': 24, 'plateau_patience': 16, 'plateau_divider': 6}. Best is trial 125 with value: 0.9564763717525835.
CUDA out of memory. Tried to allocate 2.00 GiB. GPU 0 has a total capacity of 44.56 GiB of which 86.69 MiB is free. Including non-PyTorch memory, this process has 44.47 GiB memory in use. Of the allocated memory 40.05 GiB is allocated by PyTorch, and 3.27 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
[I 2024-12-04 03:30:51,112] Trial 185 finished with value: -1.0 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.7438116242879086, 'batch_size': 118, 'attention_heads': 9, 'hidden_dimension': 173, 'number_of_hidden_layers': 3, 'dropout_rate': 0.3237464717509869, 'global_pooling': 'max', 'learning_rate': 0.0007862629642203252, 'weight_decay': 2.4324268053377844e-06, 'beta_0': 0.8523216544053194, 'beta_1': 0.9859584769200828, 'epsilon': 4.9105697078985335e-08, 'balanced_loss': False, 'epochs': 115, 'early_stopping_patience': 24, 'plateau_patience': 16, 'plateau_divider': 6}. Best is trial 125 with value: 0.9564763717525835.
[I 2024-12-04 03:41:52,342] Trial 186 finished with value: 0.9370054552457618 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.7638758605499222, 'batch_size': 111, 'attention_heads': 8, 'hidden_dimension': 185, 'number_of_hidden_layers': 0, 'dropout_rate': 0.33464193655160035, 'global_pooling': 'max', 'learning_rate': 0.0006340791476007806, 'weight_decay': 3.3629268463907213e-06, 'beta_0': 0.8559276952671435, 'beta_1': 0.9855664724050411, 'epsilon': 5.022867426115198e-08, 'balanced_loss': False, 'epochs': 120, 'early_stopping_patience': 24, 'plateau_patience': 16, 'plateau_divider': 6}. Best is trial 125 with value: 0.9564763717525835.
[I 2024-12-04 03:53:03,688] Trial 187 finished with value: 0.9340309546620793 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.7561718510768825, 'batch_size': 103, 'attention_heads': 8, 'hidden_dimension': 161, 'number_of_hidden_layers': 0, 'dropout_rate': 0.32856280371074176, 'global_pooling': 'max', 'learning_rate': 0.00043942190440047666, 'weight_decay': 2.4256707826753123e-06, 'beta_0': 0.8542024445997816, 'beta_1': 0.9847144817302823, 'epsilon': 3.841603390753942e-08, 'balanced_loss': False, 'epochs': 112, 'early_stopping_patience': 22, 'plateau_patience': 15, 'plateau_divider': 5}. Best is trial 125 with value: 0.9564763717525835.
[I 2024-12-04 04:04:15,219] Trial 188 finished with value: 0.9483858763670631 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.7736240657267283, 'batch_size': 132, 'attention_heads': 8, 'hidden_dimension': 169, 'number_of_hidden_layers': 0, 'dropout_rate': 0.3226793314526728, 'global_pooling': 'max', 'learning_rate': 0.0005313233552102965, 'weight_decay': 2.952049728967734e-06, 'beta_0': 0.8567798303545078, 'beta_1': 0.9861967442534096, 'epsilon': 2.638883522872944e-08, 'balanced_loss': False, 'epochs': 121, 'early_stopping_patience': 25, 'plateau_patience': 16, 'plateau_divider': 5}. Best is trial 125 with value: 0.9564763717525835.
[I 2024-12-04 04:18:35,717] Trial 189 finished with value: 0.9037632415489338 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.774488579713622, 'batch_size': 133, 'attention_heads': 9, 'hidden_dimension': 168, 'number_of_hidden_layers': 0, 'dropout_rate': 0.32067121769578966, 'global_pooling': 'sum', 'learning_rate': 0.0008557986907628748, 'weight_decay': 3.1872329687344783e-06, 'beta_0': 0.8568652687947197, 'beta_1': 0.9861984702383362, 'epsilon': 2.03231620013392e-08, 'balanced_loss': False, 'epochs': 127, 'early_stopping_patience': 23, 'plateau_patience': 16, 'plateau_divider': 6}. Best is trial 125 with value: 0.9564763717525835.
[I 2024-12-04 04:30:19,412] Trial 190 finished with value: 0.9401398917412135 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.7592701296657081, 'batch_size': 125, 'attention_heads': 9, 'hidden_dimension': 147, 'number_of_hidden_layers': 0, 'dropout_rate': 0.31837043354065053, 'global_pooling': 'max', 'learning_rate': 0.0005920268156431918, 'weight_decay': 3.7540941006438386e-06, 'beta_0': 0.8584252267973963, 'beta_1': 0.985883980253545, 'epsilon': 1.3475583634920099e-08, 'balanced_loss': False, 'epochs': 109, 'early_stopping_patience': 24, 'plateau_patience': 16, 'plateau_divider': 5}. Best is trial 125 with value: 0.9564763717525835.
[I 2024-12-04 04:40:39,979] Trial 191 finished with value: 0.8836608504624028 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.7504740155199493, 'batch_size': 130, 'attention_heads': 8, 'hidden_dimension': 155, 'number_of_hidden_layers': 0, 'dropout_rate': 0.3381693533280061, 'global_pooling': 'max', 'learning_rate': 0.05021760587943002, 'weight_decay': 1.3383580117198527e-06, 'beta_0': 0.8506297688999378, 'beta_1': 0.985260419064408, 'epsilon': 1.5713579029145883e-08, 'balanced_loss': False, 'epochs': 119, 'early_stopping_patience': 25, 'plateau_patience': 15, 'plateau_divider': 6}. Best is trial 125 with value: 0.9564763717525835.
[I 2024-12-04 04:51:55,374] Trial 192 finished with value: 0.9375643057404057 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.7745206180700064, 'batch_size': 121, 'attention_heads': 8, 'hidden_dimension': 170, 'number_of_hidden_layers': 0, 'dropout_rate': 0.32443711043337053, 'global_pooling': 'max', 'learning_rate': 0.0005324786193533382, 'weight_decay': 1.8469003718632204e-06, 'beta_0': 0.8553912580580285, 'beta_1': 0.9865504256156783, 'epsilon': 2.659872051247532e-08, 'balanced_loss': True, 'epochs': 122, 'early_stopping_patience': 25, 'plateau_patience': 16, 'plateau_divider': 6}. Best is trial 125 with value: 0.9564763717525835.
[I 2024-12-04 05:03:58,184] Trial 193 finished with value: 0.9431608493027284 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.7852235836567092, 'batch_size': 116, 'attention_heads': 9, 'hidden_dimension': 162, 'number_of_hidden_layers': 0, 'dropout_rate': 0.3312027742118428, 'global_pooling': 'max', 'learning_rate': 0.00038921206585971324, 'weight_decay': 2.181366281918132e-06, 'beta_0': 0.853545242814603, 'beta_1': 0.9870282732818255, 'epsilon': 4.228957802046538e-08, 'balanced_loss': False, 'epochs': 112, 'early_stopping_patience': 24, 'plateau_patience': 16, 'plateau_divider': 5}. Best is trial 125 with value: 0.9564763717525835.
slurmstepd: error: *** JOB 14054782 ON gpu032 CANCELLED AT 2024-12-04T05:07:19 DUE TO TIME LIMIT ***
