dataset,index,split,text
SST-2,1380,test,Most of Crush is a clever and captivating romantic comedy with a welcome pinch of tartness .
SST-2,921,test,"The only thing worse than your substandard , run-of-the-mill Hollywood picture is an angst-ridden attempt to be profound ."
Ohsumed,34,test,"Stercoral perforation of the colon.  Stercoral perforation of the colon is rare.  The 64 reported cases are reviewed to define the syndrome of stercoral perforation, and to facilitate accurate diagnosis and treatment.  Features of localized or generalized peritonitis were universal; however, only 11 per cent were correctly diagnosed before operation.  Recognition that the disease involves a segment of colon rather than only the focal point of perforation is essential to adequate surgical treatment.  It is postulated that this is the reason for the higher postoperative mortality following closure of the perforation and proximal colostomy (57 per cent) or exteriorization alone (43 per cent), compared with resection of the diseased segment and exteriorization (32 per cent).  Resection and exteriorization is therefore the treatment of choice is most situations."
Ohsumed,4021,test,"An application of probability theory to a group of breath-alcohol and blood-alcohol data.  Many jurisdictions have ""per se"" driving-while-intoxicated (DWI) status expressed in terms of a blood-alcohol concentration (BAC) standard (in grams per 100 mL or the equivalent).  Since breath-alcohol (BrAC) analysis is typically employed to determine BAC, there is often challenge to the use of an assumed 2100:1 conversion ratio.  This concern may be relevant in light of considerable data that show a low percentage of cases in which BrAC greater than BAC, and this concern increases when the BrAC is used to predict BAC in the context of ""per se"" legislation.  Probability theory provides a basis for estimating the likelihood of an individual having a BrAC greater than or equal to g/210 L with a corresponding BAC less than 0.10 g/100 mL.  Actual field data from the state of Wisconsin (n = 404) were evaluated to determine the probability of this occurrence.  The probability for this occurrence involves the multiplication law for independent events.  The computed probability from the data was 0.018.  The actual number of occurrences where BrAC greater than or equal to 0.10 g/210 L and BAC less than 0.10 g/100 mL was 5, resulting in a probability of 0.012.  The concern of having BrAC greater than BAC at the critical ""per se"" level has a very low probability of occurrence, which thus supports the reasonableness of ""per se"" DWI legislation based upon a blood-alcohol standard determined by breath-alcohol analysis."
R8,1346,test,magic years kids o to acquire three centers magic years child care and learning centers inc said it signed a letter of intent to acquire three profitable day care centers in south central pennsylvania for a total price of dlrs the three privately owned centers had aggregate revenues of dlrs in with profits of six thousand dlrs the company said the transaction is scheduled to close in early july the company said reuter
IMDb-top_1000,234,test,"First i will say that i am going to be as subjective as I can.<br /><br />There will be some potential spoilers ahead so beware.<br /><br />I hardly ever review movies, but this one in particular i felt i had to review. This movie Final Fantasy 7 Advent Children, based off the ultra popular rpg (Final Fantasy VII) for the ps1 has been in the works for quite some time. After the years of hype and the dozens of trailers (none of which i ever saw, i had only seen stills) this movie got the legions of fans really excited about seeing their favorite characters on the big screen. I myself had played and completed the game a few times like any good fan, and being such a movie freak i was pretty excited myself. So i had thought to myself, ""WHAT COULD GO WRONG?"".<br /><br />Well, the movie started out OK in the first 20 minutes, but then things get out of hand as the movie progressed. Without a doubt, this is the best looking CGI animation around, but that won't help a weak plot, undeveloped characters,and over indulgent action scenes. <br /><br />Here is the story basically. These three silver haired nancy boys in leather who have nothing to do with the game, are supposedly clones of Sephiroth (he's the villain of the game who had supposedly murdered all his supposed clones)are trying to kidnap all the children for some reason that was not really explained all that well, probably to make an army (of kids?) They also center some of the story on some kid named Denzel, i don't know who this kid is, or what his point is, he just seems depressed all the time. So the sephiroth clones also are involved in some kind of scheme involving some disease called geostigma, that only affects the children, this disease seems to cause boredom and small amounts of skin discoloration.<br /><br />So now Cloud must save the day from these guys. Apparently Cloud and his fellow team mates have learned the ability of flight, i felt a little insulted that these characters where flying around a city fighting a dragon and landing on there feet all the time. Maybe if the movie wasn't so over the top, then the view relax into it and then they can be amazed by something incredible. The real problem of this movie is logic. Now i know what you are gonna say, ""But it's called Final FANTASY! it should have those ideas in it!"" well that is a foolish way to think, the game based itself in some kind of reality and the movie should follow through in that CONTEXT. Context and logic in this movie is inconsistent, i could explain it all, but if i did, i would end up writing the screenplay.<br /><br />Also some scenes in this movie were extremely contrived and trite. like when all of the characters from the game show up just in the nick of time for their obligatory screen time so as not to upset the fans. They show up, do there bit and pretty much have no point in the story.<br /><br />If this is too long here is the simpler review-<br /><br />the pros- the first 20 minutes top-notch cgi animation decent action scenes visually stunning<br /><br />the cons- illogical over indulgent action/ unbalanced action (leaves the viewer jaded at the climax) weak plot super human characters=no suspense the j-rock soundtrack/score (what happened to the orchestra?) Horrible ending<br /><br />BIG TIME SPOILER-<br /><br />Now the ending of this movie really disappointed me. they could have had gone the really cool and sweet ending where cloud dies and meets up with aeris in the after life but after the great battle at the end cloud gets shot in the back, the kinda wound where the bullet blast out through the chest. then cloud has his 100th flashback in the movie and then wakes up in a pool of lifestream. (now i remember the lifestream in the game, but it did not have resurrecting properties, if it did, they could have brought aeris back to life, thus making a completely different story) so cloud is brought back to life and everyone has a party and dives into the pool and we have a ultra cheezy hallmark/ lifetime type moment.<br /><br />not that the movie doesn't have it's moments. its is worth seeing for its visuals. but thats all.<br /><br />other than that it's not really a good movie. it is strictly for blinded fans of the game. not for people who care about plot and character and story telling."
Ohsumed,1781,test,"Reducing unnecessary coronary care unit admissions: a comparison of three decision aids   OBJECTIVE: To determine whether published decision rules for ischemic heart disease have practical value in reducing unnecessary admissions to coronary care units.  DESIGN: Prospective cohort study.  SETTING: A community hospital emergency room.  PATIENTS: 235 consecutive patients presenting to an emergency room with a chief complaint of chest pain.  MEASUREMENTS: Clinical information, including observations needed to use previously published decision aids, was collected on special forms at the time of the emergency room visit.  Follow-up information was obtained from the medical records of patients who were admitted and by telephone interviews with patients who were discharged.  The authors compared the residents' actual decisions with the predictions of the decision aids regarding their ability to predict complications (that is, to identify patients who needed admission or intensive care).  MAIN RESULTS AND CONCLUSIONS: None of the decision aids could reduce unnecessary admissions without seriously increasing the rate of inappropriate discharges.  However, within the clinically relevant subgroup of patients for whom the decision to admit or discharge was not obvious on clinical grounds (those without complications on presentation whom the residents chose not to discharge), the decision aids examined, used in combination to verify the need for admission, might have safely averted some unnecessary admissions."
SST-2,218,validation,Worth watching for Dong Jie 's performance -- and for the way it documents a culture in the throes of rapid change .
Ohsumed,375,validation,"Treatment planning for internal radionuclide therapy: three-dimensional dosimetry for nonuniformly distributed radionuclides.  A calculational approach is described that provides the spatially varying radiation absorbed dose, presented as isodose contours superimposed on CT images, from nonuniform and/or irregular cumulated activity distributions.  CT images are read from magnetic tape and are displayed on a high-resolution color graphics display monitor.  Source tissue geometries are defined on a series of contiguous CT images automatically (by an edge detection algorithm) or manually (using a trackball), thereby obtaining a three-dimensional representation of the various source volumes of activity.  Dose calculations are performed using a radionuclide-specific absorbed dose point kernel in the form of a lookup table.  The method described yields the spatially varying dose delivered to tumor and normal tissue volumes from a patient-specific cumulated activity distribution in a clinically implementable manner.  This level of accuracy in determining normal tissue and tumor doses may prove valuable in the evaluation and implementation of radionuclides and radiolabeled compounds for therapeutic purposes."
Ohsumed,511,validation,"Angioplasty of occluded coronary arteries: use of thin shaft balloon over-the-wire system without pre-dilatation.  A retrospective review was done on 13 consecutive patients who underwent PTCA of totally occluded coronary arteries using a recently released thin shaft balloon over-the-wire angioplasty system.  Balloon size was determined by the closest fit to the arterial size and used without predilatation techniques.  This technique was initially successful in 12 patients with only 2 clinically insignificant episodes of distal embolization and one probable early reclosure.  Using thin shaft angioplasty systems, balloon dilatation of totally occluded coronary arteries can be done safely with a single balloon in many cases resulting in simplified procedures and economic benefits."
Ohsumed,3907,test,"Detection of myocardial infarction in the presence of Wolff-Parkinson-White syndrome by QRST isoarea map in dogs.  The possibility of detecting myocardial infarction (MI) in the presence of Wolff-Parkinson-White (WPW) syndrome by means of body surface QRST isoarea maps was studied in eight dogs.  Eighty-seven body surface ECGs were recorded simultaneously.  Recordings were taken during right atrial (RA) and right atrial and right ventricular (RA + RV) sequential pacing, which simulated WPW syndrome, during control periods and at 1-hour intervals for up to 5 hours after occlusion of the left anterior descending coronary artery.  In ECGs during the RA drive, diagnostic findings of MI such as abnormal Q waves were observed but became obscure during the RA + RV drive.  On the contrary, the QRST values over the anterior chest during both drives were positive soon after coronary occlusion, decreased gradually as time passed, and became abnormally negative after 5 hours.  The QRST isoarea maps during RA and RA + RV pacing showed quite similar patterns and were highly correlated with each other throughout this study (r greater than 0.95).  These findings demonstrate that localized abnormalities resulting from MI are evident in QRST isoarea maps even in the presence of preexcitation and fusion."
SST-2,11,test,"Ana is a vivid , vibrant individual and the movie 's focus upon her makes it successful and accessible ."
R8,132,test,wtc shareholders approve pittston pco buyout pittston co said wtc international n v shareholders approved the acquisition of the company by pittston terms of the transaction call for pittston to exchange of its own common shares for each outstanding wtc share pittston said wtc is engaged in domestic international air freight ocean and surface freight forwarding and consolidation and distribution services reuter
Ohsumed,2150,test,"Six epitopes reacting with human cytotoxic CD8+ T cells in the central region of the HIV-1 NEF protein.  In order to identify the target epitopes recognized by specific CTL in the NEF protein of HIV-1, 33 peptides derived from the HIV-BRU sequence were tested with NEF-specific CTL generated from HIV-seropositive donors.  Six different epitopes were identified and several points were remarkable: 1) They were all located in two regions of the central part of the NEF protein corresponding to residues 73 to 94 and 113 to 147, respectively.  2) The CTL issued from a single donor could recognize several peptides of the NEF protein.  3) Some of these peptides could be recognized in association with at least two or three different HLA class I molecules.  4) Two different overlapping epitopes were present in a relatively short sequence of 15 amino acids.  These results suggest that multiple epitopes corresponding to different HLA restrictions could coexist in a relatively small region of the NEF protein.  The implications of these results in vaccine strategies using synthetic peptides bearing CTL epitopes are discussed."
Ohsumed,3062,test,"HLA-D region antigens in patients with rheumatoid arthritis.  We studied the distribution of HLA-D region antigens in 2 groups of rheumatoid arthritis (RA) patients: those with mild, nonprogressive disease, and those with severe disease.  The results demonstrate that DR4 was significantly increased in both RA patient populations.  The frequencies of DR1 and DR4-associated DQw7 alleles, however, were different in these 2 groups of patients.  DR1 was significantly increased only in patients with mild RA, and DR4-associated DQw7 was significantly increased only in patients with severe disease.  The results of the present study, together with previous data from our laboratory and from other investigators on the incidence of HLA-D region antigens in RA, suggest that both DR and DQ (A and B) genes may be important in conferring susceptibility to RA; DR in the mild forms of the disease, and DQ in severe RA."
SST-2,251,validation,"Sustains its dreamlike glide through a succession of cheesy coincidences and voluptuous cheap effects , not the least of which is Rebecca Romijn-Stamos ."
R8,634,test,national mutual cuts australian prime to pct national mutual royal bank ltd said it would cut its prime rate to pct from effective april the cut follows a trend toward lower rates started last month and accelerated by westpac banking corp which yesterday cut its prime to pct from pct westpac s pct is the lowest prevailing rate reuter
R8,979,validation,dynamic homes inc dyhm th qtr net shr profit cts vs loss cts net profit vs loss sales vs year shr loss cts vs loss cts net loss vs sales vs reuter
SST-2,101,validation,"This is a shameless sham , calculated to cash in on the popularity of its stars ."
IMDb-top_1000,90,test,"Oh, where the hell should I begin? Give a brief summary of the story? No. either you've already heard it, or don't want to. Either way, it sucks. Much like the movie. I happen to be a semi-large horror movie aficionado, and I must say this is one of the dumbest and most clumsily-executed movies I've ever had the displeasure of viewing. <br /><br />The script is horrendously stupid. The story starts too fast with absolutely no suspense or build-up in the slightest. All of those torture scenes would have been A LOT more effective if we gave even the tiniest bit of crap for the characters. Since the first scene in the film is when the teenage girls meet Capt. Howdy, how the hell are we supposed to sympathize with them? First off, they seem stupid for going to a party with a guy they don't even know, and second, we don't even know their damn names! Why the hell should I care if they live or die? Not to mention the fact that they actually have the guts to try and make us feel sympathetic towards Capt. Howdy after he's been ""reformed""? PLEASE! I was cheering when he got his just deserts! He deserved them! Hell, he deserved worse! Also, we're forced to sit through a pointless misdirect sequence lifted directly from ""The Silence of the Lambs"" (and here it's done HORRIBLY! Of course he's gonna give them a false address! And even if he had given them the real one, don't you think he'd be waiting and not piercing some guy's Johnson upstairs? RETARDED!)<br /><br />Then there's the dialogue. Everything Captain Howdy says is either laughable or just plain stupid. ""The dead are so dreadfully dead, when they're dead""?? What the hell kind of crap is that?! Dee Snider at one point says ""knowledge is power"". Well, if that's true, this film has absolutely no power whatsoever. <br /><br />Then, there's the plot holes. Yes, I know this is a horror film (well, wannabe horror film), but damn! You could drive a semi truck into these holes! First off, these have got to be the DUMBEST cops I have EVER SEEN! EVER!! I mean, DEAR GOD, these guys are morons! Call for backup, idiots! Second, how the hell did that humungous septum ring fall out of Captain Howdy's nose?! Evidentially this piercing expert guy says ""that's the biggest one I've ever seen"", but if it's so damn big, how the hell could it have fallen out so easily? Did Capt. Howdy just LEAVE it at the crime scene because he WANTED to get caught? They sure didn't make it seem like he did. Also, they would NEVER release Capt. Howdy, and I know that for a damn fact. He would be in jail for the rest of his life, and there's no getting around this. Much less let him return to his old house where he killed/tortured everybody. IMPOSSIBLE AND IMPLAUSIBLE. <br /><br />And now the acting. Dear God did these people suck. Linda Cardellini is the only thing good in this film. She's poised and amazing. Too bad she hardly gets a good chance to act in this piece of crap. Amy Smart shows up for about 10 minutes and then drops out of existence. Even the usually entertaining Robert Englund is underused and ineffective here. Dee Snider plays the crazy guy with no talent whatsoever. I never felt threatened, scared or intimidated. I'd rather have seen Dee Snider in Alexis Arquette's role in ""Bride of Chucky"". It would have been so much more fun to see this talent-less hack get it by that lovable psycho doll. <br /><br />Dee Snider just plain sucks. He can't act (one of the least scary villains I have ever seen), he can't write (did he write this damn movie in his sleep?), and he's obviously dumber than freaking Jessica Simpson! This film is just a way for Dee Snider to show off all the weird crap he knows about self-mutilation and modern primitives and blah-blah-blah. Either it's been done before or it just didn't need to be done. I was bored throughout the whole damn thing. <br /><br />The acting sucks, the music sucks, the script sucks, the pacing sucks, the special FX suck, the directing sucks... basically, this movie sucks. This film tries to be a serious and sophisticated thriller/horror flick and it fails miserably. It doesn't manage to scare, shock, or disturb in any shape, way or form. This is probably one of the least effective and utterly unoriginal films I have ever seen in my entire life. A piece of cinematic garbage captured on celluloid. <br /><br />""Strangeland"" gets a 0 out of 10. Avoid at any and all costs. Not enjoyable in the slightest."
Ohsumed,791,test,"Effect of endodontic access preparation on resistance to crown-root fracture.  This investigation involved the creation of coronal-radicular fractures in vitro and compared the fracture resistance of intact human mandibular molars, with molars after varied tooth preparation.  Forty freshly extracted, non-carious, nonrestored human mandibular molars were randomly divided into four treatment groups.  The molars were subjected to constantly increasing occlusal load until coronal-radicular fracture occurred.  Tooth preparations significantly diminished resistance to coronal-radicular fracture."
Ohsumed,2315,test,"Molecular characterization of a major nephritogenic domain in the autoantigen of anti-tubular basement membrane disease.  Anti-tubular basement membrane (alpha TBM) disease is a form of primary interstitial nephritis mediated by autoimmune T cells and alpha TBM antibodies.  In mice and humans the nephritogenic immune response is directed to a glycoprotein (3M-1) found along the proximal tubule of the kidney.  We have isolated cDNAs from an expression library that encodes for the common framework domain of the 3M-1 antigen.  This common domain was once related evolutionarily to a family of intermediate filament-associated proteins.  Northern hybridization revealed that all isoforms of 3M-1 range between 1700 and 1900 base pairs and in situ hybridization studies indicate that transcripts are found in tubular epithelium.  Candidate peptide fragments were deduced and synthesized from the sequence encoding this common framework domain, and one of the peptide residues was able to bind a monoclonal 3M-1-reactive alpha TBM antibody, stimulate the growth of 3M-1-reactive helper T cells, and induce nephritogenic effector T cells capable of producing interstitial nephritis.  Our results indicate that a unique, immunodominant region of the 3M-1 antigen is an informative participant in the emergence of autoimmune injury to certain basement membranes."
IMDb-top_1000,191,test,"I'm surprised with the questions and issues this documentary has brought up in the reviews here, specially because they're indeed interesting questions. Surely, the ones who could best address it would be the makers of the film themselves. Nevertheless, I think I can shed some light upon something that I think has been overlooked, which is, in my opinion, the purpose of the film, what it is about and what it's trying to convey. What's its message after all? At the risk of pointing out the very obvious, I'll start saying the filmmakers have an intention. They're trying to tell a story, extract meaning out of it and get a point across. With this in mind, we can shoot down many of the criticized points, particularly the ones involving what people expected in contrast with what the filmmakers were really trying to show. Causes and consequences of violence? The film is not about that. It's not ""enlightening Non-Brazilian audiences"" about the Brazilian favelas' issue? Well, who wanted to do that? Is AfroReggae this or that and supported by whom? It doesn't matter in this context. Not enough women in the film for your tastes? It's not about equality or the feminist cause. Every little detail about Anderson's life, mother, son, family and all the aspects and the workings of the AfroReggae movement? Well, don't be so picky because it doesn't matter. There's just so much length a story can have before it can't become a film anymore. If the authors were to show everything everyone is expecting, they'd have to make a 6 months TV series instead. If you are expecting all that, you approach the film the wrong way.<br /><br />The film is actually about two individuals who started a movement. Two individuals full of ideals. Two individuals who thirst for change. Two individuals trying to do something about all the wrongdoing going around them. Individuals who went rock bottom and wanted to get up again. It's all about finding purpose in life, drawing inspiration from misery, changing the destiny and becoming something else than what they were destined to be -- criminals and drug dealers for that matter. It's about achievement and hope and not about the cruel reality of violence in Rio de Janeiro, though it's an integral part of the film given that's what the characters are constantly surrounded by. Unexpectedly and not without a reason, the film ends up centered much more on Anderson's course through difficulties in life. This is because they were faced with Anderson's accident while they were shooting the film. I'm not sure about this, but they may have even seriously considered ending the filming right there, leaving behind all effort spent. But Anderson wanted to keep going. And so they did, risking to lose in having a film with a bit of an identity crisis, considering the sudden change of course, but gaining in showing someone overcoming such a devastating happening. It's very evident for who watches it that the film begins about AfroReggae and winds up about Anderson. It's very unique in this sense (the shift of the story line). Maybe their only sin is not making it evident upfront, which may initially rise expectations that will go unfulfilled.<br /><br />As for the importance or ordinariness of Anderson, I'd say not everybody wants to change the whole world, end all violence, feed all the hungry, be like Mahatma Ghandi, be as known as Mother Teresa or whoever other known personalities there are. It's much easier to relate to and draw inspiration from someone who is, such as everybody else in fact, trying to transform his or her own harsh life, raising problematic kids, coping with permanent injuries or diseases and even managing to pay the bills by the end of the month. To understand the movie you have to see that's about leaving behind a past of involvement with drugs and crime, making up for it, and trying to persuade others not to go down the same troublesome path. Though you can criticize if the way they chose to do it is effective and doubt the ideology of the method, you cannot deny their intentions.<br /><br />Also, the perception that Anderson is special or a chosen one may have partially something to do with the fact that the filmmakers became very involved in the lives of the characters they were depicting. As much as becoming friends with them. There's no way it wouldn't tint the whole movie with a more favorable light over Anderson. If a dear friend becomes paralyzed in an accident, it's not just a fact, you make a big deal out of it. And this is not necessarily bad. It's not much that they treat him like ""a chosen one"" as much as they go to great lengths trying to show him as a seed for transformation and source of inspiration.<br /><br />In conclusion, don't watch this documentary for the scenes of the reality of poverty and crime it contains, watch it for what it is much more, an inspirational story.<br /><br />Nike-Ad-like? Seems just damn good and professionally made to me and doesn't affect or detract from the intentions of the film. Romanticized? Speculate on its credential as a documentary if you will, but why not when it's supposed to cause reaction and inspire? Isn't trying to better people's lives through music and dance -- the essence of what the subjects are trying to do -- romanticizing the very own reality? Pardon me, but showing just the plain facts is what reporters do and you can watch it on TV every night.<br /><br />If I wanted to become a filmmaker, I wish my first film would also be this great."
SST-2,304,validation,"A pleasant enough romance with intellectual underpinnings , the kind of movie that entertains even as it turns maddeningly predictable ."
Ohsumed,1729,test,"Carbon tetrachloride-induced alterations of hepatic calmodulin and free calcium levels in rats pretreated with chlordecone.  Calmodulin, a low molecular weight Ca2+ binding protein, regulates a large number of cell activities including cell division.  Previous studies from our laboratory indicated excessive accumulation of Ca2+ in hepatocytes succeeded by rapid glycogen breakdown and suppressed cell division in rats receiving CCl4 after previous dietary exposure to 10 ppm chlordecone.  Since calmodulin plays a major role in Ca2(+)-regulated events and has been reported to be localized in mitotic apparatus during cell division, we have assessed subcellular distribution of calmodulin and estimated cytosolic phosphorylase a to indicate cytosolic free Ca2+ levels in livers of rats fed 0 ppm or 10 ppm (chlordecone) in the diet for 15 days before CCl4 (100 microliters/kg) administration to understand the role of Ca2(+)-calmodulin in chlordecone + CCl4 toxicity.  Hepatotoxicity was assessed by determining serum AST and ALT succeeded by histopathological observations of liver sections.  Serum aminotransferases were significantly elevated 6 hr after CCl4 administration to normal rats and returned to control level by 24 hr.  However, serum AST and ALT elevations were severalfold higher, and progressive increase was observed starting 4 hr after CCl4 administration to chlordecone rats.  Histopathological observations of liver sections for necrotic, swollen and lipid-laden cells provided findings commensurate with the serum enzyme data.  These data indicate that normal rats do recover from CCl4 hepatotoxicity.  However, the CCl4 hepatotoxicity is progressive in chlordecone rats without recovery.  In normal rats, CCl4 administration resulted in a slight increase in phosphorylase a starting at 6 hr."
Ohsumed,2660,test,"The epidemiology and clinical aspects of the hemolytic uremic syndrome in Minnesota   BACKGROUND.  The frequency of the hemolytic uremic syndrome, characterized by microangiopathic hemolytic anemia, thrombocytopenia, and renal failure, is increasing.  Although Escherichia coli serotype 0157:H7 has been implicated as a causative agent, more information is needed about the basic epidemiology and clinical aspects of this syndrome.  METHODS.  We conducted a retrospective population-based study of hemolytic uremic syndrome in Minnesota residents less than 18 years of age from 1979 through 1988 to assess trends in disease occurrence, describe the clinical illness, and identify predictors of disease severity and outcome.  We also conducted a case-control study of patients with onsets of illness from 1986 through 1988 to examine risk factors.  RESULTS.  One hundred seventeen patients were identified.  The mean annual incidence increased from 0.5 case per 100,000 child-years among children less than 18 in 1979 (6 cases) to 2.0 cases per 100,000 in 1988 (26 cases) (P = 0.000004).  E.  coli 0157:H7 was isolated from 13 of 28 patients (46 percent) who had stool specimens submitted for testing.  For those who presented with typical hemolytic uremic syndrome, an elevated polymorphonuclear-leukocyte count on hospital admission, a shorter duration of prodrome, and the presence of bloody diarrhea were predictive of severe disease.  In the case-control study, the patients were more likely to attend large daycare centers (more than 50 children) than were the controls (odds ratio, 10.2; P = 0.03), suggesting that day-care attendance may be a risk factor.  On the basis of the population-attributable risk, however, this factor could account for no more than 16 percent of the cases.  CONCLUSIONS.  This study provides evidence for an increase in the incidence of hemolytic uremic syndrome, which is probably related to an increased incidence of E.  coli 0157:H7 infections.  Hemolytic uremic syndrome has become an important pediatric and public health problem."
Ohsumed,636,validation,Relation between intraventricular pressure and volume in diastole.  The pressure-volume curves for 10 patients with various types of heart disease were studied throughout mid to late diastole when both pressure and volume were increasing.  The results were used to test a currently held theory that the form of this relation is exponential.  It was found that for the patients examined this hypothesis was not valid.
R8,384,validation,genstar sale boosts belgian societe generale net societe generale de belgique belb br said the near doubling of net profits in was due in large part to the sale of shares in genstar corp the company which announced a net non consolidated profit of billion francs compared with billion in said its current profits rose by pct last year without giving further figures however it added in a statement that the company made major capital gains on sales during the year in particular from the sale of genstar shares societe generale governor rene lamy told last november s annual meeting that asset disposals would total around billion francs including the sale of genstar shares to imasco limited ims to he predicted a profit on extraordinary items of two billion francs after a rough balance in in today s statement societe generale gave no figures for extraordinary gains reuter
SST-2,629,test,Hayek is stunning as Frida and ... a star-making project .
R8,1831,test,bell group confirms standard chartered stake the bell group ltd blla s said it now holds pct of the issued capital of standard chartered plc stch l after acquiring further shares the one sentence statement from bell s headquarters confirmed what its brokers warburg securities told reuters in london yesterday bell previously held pct of standard bell chairman robert holmes a court who is also a director of standard was not available for comment on his company s intentions in boosting its holding and other company officials contacted here by reuters declined to comment reuter
Ohsumed,1624,test,"Reflex sympathetic dystrophy syndrome: consensus report of an ad hoc committee of the American Association for Hand Surgery on the definition of reflex sympathetic dystrophy syndrome.  This report proposes that reflex sympathetic dystrophy be defined as a pain syndrome in which the pain is accompanied by loss of function and evidence of autonomic dysfunction.  In the clinical setting, this diagnosis is usually associated with other anatomic and psychological diagnoses and may be associated with a variety of systemic illnesses and medicolegal factors.  All components should be assessed before a treatment plan is established.  Priorities should go to emergency care, acute injuries, and systemic illness, psychiatric problems, and chronic anatomic problems, in that order.  Early, accurate diagnosis improves prognosis."
R8,1684,test,washington water power wwp rd qtr loss shr loss cts vs profit two cts net loss vs profit revs mln vs mln nine mths shr profit cts vs profit dlrs net profit mln vs profit mln revs mln vs mln reuter
Ohsumed,994,test,"Intratumoral oxygen pressure in malignant brain tumor.  Oxygen pressure (pO2) in brain tumors, pO2 in brain cortex surrounding the tumors, and PaO2 were measured simultaneously during total resection in 16 patients with previously untreated brain tumors in order to detect hypoxic regions within the tumors.  When the inhaled O2:N2O ratio was 1:3 under enflurane anesthesia, mean PaO2 was 109.2 +/- 5.8 mm Hg, a rather high value when compared with that obtained when air is inhaled under atmospheric pressure.  The simultaneously measured intratumoral pO2 and pO2 in brain cortex surrounding the tumor were 15.3 +/- 2.3 and 59.8 +/- 6.5 mm Hg, respectively.  Each intratumoral pO2 value was significantly lower than that of pO2 in brain cortex surrounding the tumor (mean less than 30 mm Hg, Wilcoxon signed rank test, p less than 0.005) and influenced the oxygen effects on radiation.  These results appear to confirm that there are hypoxic regions within human brain tumors.  A comparison between intratumoral pO2 and either the angiographic or contrast-enhanced computerized tomography scans of the tumor vasculature disclosed no correlation."
Ohsumed,236,validation,"The spectrum of emergency care of agricultural trauma in central Wisconsin.  Agriculture is among the most dangerous occupations in the United States.  When injuries do occur, the emergency department (ED) is the primary source of care.  Over a 2-year period, the emergency medicine section of the Marshfield Clinic/St Joseph's Hospital, cared for 913 victims of agricultural trauma.  Although 11% were initially admitted and 4% were later treated, the remainder received their care solely in the ED.  Unlike most occupational injuries, people of any age may be involved in agricultural injuries; 27% in this series were less than 18 years of age and 5% were 65 years or older.  Just over half of all injuries were from mechanical devices, including tractor and farm machinery.  The remainder were from animals, falls, or exposure.  Although several different types of injuries occurred, the most common diagnoses were soft tissue injuries and fractures and the most common procedure was diagnostic radiography followed by wound and fracture care.  An ED in a rural setting should be prepared to deal with agricultural trauma."
SST-2,747,validation,"Velocity represents everything wrong with '' independent film '' as a commodified , sold-out concept on the American filmmaking scene ."
Ohsumed,3835,test,"Precapsular film on the aging human lens: precursor of pseudoexfoliation?  In many older patients we observed a layer of subtle opacification on the anterior lens capsule, appearing as a ground glass film biomicroscopically.  This precapsular film (PCF) could be uniform but often had radial grey lines in the mid zone, holes in the paracentral region, and was occasionally rolled up in strings.  Lens capsular material obtained at cataract extraction was studied in patients with and without the film.  By scanning electron microscopy the PCF appeared as a friable, incomplete fibrillar layer, with rolling of the edges suggesting loose attachment.  Ultrastructurally its component fibrils were from 3-6 nm in diameter, similar to the finer fibrils in pseudoexfoliation (PSX) material.  Life PSX material the layer stained positively for the elastic microfibril-associated protein, fibrillin, in a lens with radial striations.  These similarities suggested that the two conditions have some relationship and that the PCF may be a precursor of PSX.  Finding patches of the fibrillar network in some control patients implies that the PCF is common in patients of cataract age, though seldom detected clinically."
Ohsumed,326,test,"Enhancement of antibiotic concentrations in gastric mucosa by H2-receptor antagonist. Implications for treatment of Helicobacter pylori infections.  We measured the effects of cimetidine on antibiotic concentrations in the luminal portion of gastric mucosa.  Guinea pigs were premedicated with cimetidine 4 mg/kg intramuscularly.  Clindamycin, an antibiotic previously characterized under physiologic pH conditions, was administered intramuscularly and levels measured in serum and tissue using a high-pressure liquid chromatography (HPLC) technique.  The luminal mucosa concentration of clindamycin at 1 hr (pH 5.9) was fivefold greater compared to the concentrations seen under physiologic (pH 2.0) conditions (81.5 micrograms/g vs 15.9 micrograms/g; P less than 0.05) and 10-fold greater at 2 hr (82.7 micrograms/g vs 8.09 micrograms/g; P less than 0.05).  There was no difference in peak serum levels between the groups.  The finding that an antibiotic with characteristics of a base is thus affected by a nonconservative acid inhibitor such as cimetidine supports the presence of an acidic storage pool as proposed by other investigators.  H2-receptor antagonists may be useful therapeutic adjuncts in H.  pylori infections by virtue of increasing gastric concentrations of antibiotics that behave as weak bases."
SST-2,318,validation,"The acting , costumes , music , cinematography and sound are all astounding given the production 's austere locales ."
