[I 2024-12-10 05:16:07,583] Using an existing study with name 'SST-2-GATv2-facebook-bart-large-Grouped-No_Aggregation' instead of creating a new one.
[I 2024-12-10 05:22:28,353] Trial 114 finished with value: 0.9518348623853211 and parameters: {'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.6055097156637782, 'batch_size': 219, 'attention_heads': 8, 'hidden_dimension': 56, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5844834650718685, 'global_pooling': 'max', 'learning_rate': 0.0019718889933175786, 'weight_decay': 4.6474207434727335e-06, 'beta_0': 0.8378043406276168, 'beta_1': 0.9932841423776535, 'epsilon': 2.5379523954348334e-07, 'balanced_loss': False, 'epochs': 61, 'early_stopping_patience': 14, 'plateau_patience': 19, 'plateau_divider': 4}. Best is trial 111 with value: 0.9529816513761468.
[I 2024-12-10 09:19:25,439] Trial 152 finished with value: 0.9472477064220184 and parameters: {'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.6059574331274907, 'batch_size': 207, 'attention_heads': 7, 'hidden_dimension': 68, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5849449533917958, 'global_pooling': 'max', 'learning_rate': 0.0012178370092664672, 'weight_decay': 2.56180083482758e-06, 'beta_0': 0.8329632195396048, 'beta_1': 0.9939876309588399, 'epsilon': 1.3271387227306383e-07, 'balanced_loss': False, 'epochs': 54, 'early_stopping_patience': 13, 'plateau_patience': 20, 'plateau_divider': 5}. Best is trial 111 with value: 0.9529816513761468.
[I 2024-12-10 09:25:52,726] Trial 153 finished with value: 0.9461009174311926 and parameters: {'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.5908103055064184, 'batch_size': 209, 'attention_heads': 8, 'hidden_dimension': 84, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5900128430462522, 'global_pooling': 'max', 'learning_rate': 0.0005179487606128844, 'weight_decay': 3.2495119776864593e-06, 'beta_0': 0.8298156985243867, 'beta_1': 0.9937421858798079, 'epsilon': 1.6407031275000988e-07, 'balanced_loss': False, 'epochs': 52, 'early_stopping_patience': 14, 'plateau_patience': 20, 'plateau_divider': 4}. Best is trial 111 with value: 0.9529816513761468.
[I 2024-12-10 09:32:10,494] Trial 154 finished with value: 0.9472477064220184 and parameters: {'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.6179550317807756, 'batch_size': 197, 'attention_heads': 7, 'hidden_dimension': 64, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5781708003720215, 'global_pooling': 'max', 'learning_rate': 0.002303504841309178, 'weight_decay': 3.8069802431858858e-06, 'beta_0': 0.83448825356894, 'beta_1': 0.9945200483822654, 'epsilon': 2.2758838410532214e-07, 'balanced_loss': False, 'epochs': 61, 'early_stopping_patience': 13, 'plateau_patience': 21, 'plateau_divider': 4}. Best is trial 111 with value: 0.9529816513761468.
[I 2024-12-10 09:38:09,044] Trial 155 finished with value: 0.944954128440367 and parameters: {'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.6092897371458723, 'batch_size': 203, 'attention_heads': 8, 'hidden_dimension': 59, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5645259774840932, 'global_pooling': 'max', 'learning_rate': 0.0013646260325669176, 'weight_decay': 2.081858856385686e-05, 'beta_0': 0.8230353417695022, 'beta_1': 0.9927981284612717, 'epsilon': 9.983682890951138e-08, 'balanced_loss': False, 'epochs': 56, 'early_stopping_patience': 11, 'plateau_patience': 19, 'plateau_divider': 4}. Best is trial 111 with value: 0.9529816513761468.
[I 2024-12-10 09:44:31,656] Trial 156 finished with value: 0.9461009174311926 and parameters: {'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.6333888364438188, 'batch_size': 182, 'attention_heads': 7, 'hidden_dimension': 72, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5943294468883198, 'global_pooling': 'max', 'learning_rate': 0.0017398193036676074, 'weight_decay': 4.423789477288197e-06, 'beta_0': 0.8382151841333256, 'beta_1': 0.9934059005877933, 'epsilon': 1.4515614718534575e-07, 'balanced_loss': False, 'epochs': 128, 'early_stopping_patience': 14, 'plateau_patience': 20, 'plateau_divider': 3}. Best is trial 111 with value: 0.9529816513761468.
[I 2024-12-10 09:50:28,617] Trial 157 finished with value: 0.9346330275229358 and parameters: {'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.8624494116346262, 'batch_size': 189, 'attention_heads': 5, 'hidden_dimension': 40, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5836334078331701, 'global_pooling': 'max', 'learning_rate': 0.0007020977305252451, 'weight_decay': 7.1893416675564e-06, 'beta_0': 0.8432129903297018, 'beta_1': 0.9948197492814276, 'epsilon': 1.184199911561066e-07, 'balanced_loss': False, 'epochs': 78, 'early_stopping_patience': 12, 'plateau_patience': 19, 'plateau_divider': 5}. Best is trial 111 with value: 0.9529816513761468.
[I 2024-12-10 09:56:26,958] Trial 158 finished with value: 0.9438073394495413 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.7174150596189031, 'batch_size': 205, 'attention_heads': 4, 'hidden_dimension': 46, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5754367905294792, 'global_pooling': 'sum', 'learning_rate': 0.0009365481875714044, 'weight_decay': 1.1454342638770571e-05, 'beta_0': 0.8369858415560871, 'beta_1': 0.9942532734088096, 'epsilon': 6.53710422457233e-08, 'balanced_loss': False, 'epochs': 72, 'early_stopping_patience': 19, 'plateau_patience': 21, 'plateau_divider': 8}. Best is trial 111 with value: 0.9529816513761468.
[I 2024-12-10 10:02:49,831] Trial 159 finished with value: 0.948394495412844 and parameters: {'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.5887297867295586, 'batch_size': 212, 'attention_heads': 6, 'hidden_dimension': 56, 'number_of_hidden_layers': 3, 'dropout_rate': 0.590511712292748, 'global_pooling': 'max', 'learning_rate': 0.0012226835620813361, 'weight_decay': 4.952031774029789e-06, 'beta_0': 0.8577038881455303, 'beta_1': 0.9930597670492473, 'epsilon': 3.27568715654406e-07, 'balanced_loss': False, 'epochs': 50, 'early_stopping_patience': 15, 'plateau_patience': 20, 'plateau_divider': 2}. Best is trial 111 with value: 0.9529816513761468.
[I 2024-12-10 10:08:43,102] Trial 160 finished with value: 0.948394495412844 and parameters: {'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.5970727277283566, 'batch_size': 228, 'attention_heads': 7, 'hidden_dimension': 50, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5825334623284314, 'global_pooling': 'sum', 'learning_rate': 0.004491682580179415, 'weight_decay': 2.8915802507395713e-06, 'beta_0': 0.8775855297458405, 'beta_1': 0.9925229429228787, 'epsilon': 8.412539951031616e-08, 'balanced_loss': False, 'epochs': 84, 'early_stopping_patience': 13, 'plateau_patience': 18, 'plateau_divider': 3}. Best is trial 111 with value: 0.9529816513761468.
[I 2024-12-10 10:14:43,976] Trial 161 finished with value: 0.9415137614678899 and parameters: {'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.6305995108848726, 'batch_size': 198, 'attention_heads': 8, 'hidden_dimension': 36, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5669622651631453, 'global_pooling': 'max', 'learning_rate': 0.0055534146517135915, 'weight_decay': 1.2203824734779454e-06, 'beta_0': 0.8323610946665336, 'beta_1': 0.9936003157612159, 'epsilon': 1.9389722429691827e-07, 'balanced_loss': True, 'epochs': 63, 'early_stopping_patience': 13, 'plateau_patience': 19, 'plateau_divider': 3}. Best is trial 111 with value: 0.9529816513761468.
[I 2024-12-10 10:20:59,356] Trial 162 finished with value: 0.9461009174311926 and parameters: {'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.6290135673050741, 'batch_size': 201, 'attention_heads': 7, 'hidden_dimension': 59, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5968930207556564, 'global_pooling': 'max', 'learning_rate': 0.0011682172325772472, 'weight_decay': 3.473748294439683e-06, 'beta_0': 0.8287307381281711, 'beta_1': 0.9911098252810601, 'epsilon': 2.4542003009435263e-07, 'balanced_loss': False, 'epochs': 60, 'early_stopping_patience': 13, 'plateau_patience': 20, 'plateau_divider': 6}. Best is trial 111 with value: 0.9529816513761468.
[I 2024-12-10 10:27:04,760] Trial 163 finished with value: 0.9461009174311926 and parameters: {'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.6213905799914369, 'batch_size': 192, 'attention_heads': 7, 'hidden_dimension': 66, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5951806725922659, 'global_pooling': 'max', 'learning_rate': 0.0016709428682123303, 'weight_decay': 2.2630058418982116e-06, 'beta_0': 0.8254478398248393, 'beta_1': 0.9914885660583302, 'epsilon': 5.078395029978415e-07, 'balanced_loss': False, 'epochs': 57, 'early_stopping_patience': 12, 'plateau_patience': 20, 'plateau_divider': 7}. Best is trial 111 with value: 0.9529816513761468.
[I 2024-12-10 10:33:31,482] Trial 164 finished with value: 0.9472477064220184 and parameters: {'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.6056664978411702, 'batch_size': 208, 'attention_heads': 7, 'hidden_dimension': 76, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5872472595848224, 'global_pooling': 'max', 'learning_rate': 0.0008740039149225329, 'weight_decay': 3.263482854629004e-06, 'beta_0': 0.830066096941086, 'beta_1': 0.9899710120410384, 'epsilon': 4.16186870621425e-07, 'balanced_loss': False, 'epochs': 67, 'early_stopping_patience': 14, 'plateau_patience': 21, 'plateau_divider': 5}. Best is trial 111 with value: 0.9529816513761468.
[I 2024-12-10 10:39:30,231] Trial 165 finished with value: 0.944954128440367 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.6443256234439306, 'batch_size': 199, 'attention_heads': 4, 'hidden_dimension': 61, 'number_of_hidden_layers': 3, 'dropout_rate': 0.573174027897748, 'global_pooling': 'max', 'learning_rate': 0.0019562401526358702, 'weight_decay': 2.0651252558756887e-06, 'beta_0': 0.8279620349896569, 'beta_1': 0.9928101301233643, 'epsilon': 1.4119168410668552e-07, 'balanced_loss': False, 'epochs': 74, 'early_stopping_patience': 13, 'plateau_patience': 20, 'plateau_divider': 6}. Best is trial 111 with value: 0.9529816513761468.
[I 2024-12-10 10:47:30,116] Trial 166 finished with value: 0.9461009174311926 and parameters: {'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.6107220297295527, 'batch_size': 216, 'attention_heads': 9, 'hidden_dimension': 244, 'number_of_hidden_layers': 3, 'dropout_rate': 0.588810496525736, 'global_pooling': 'max', 'learning_rate': 0.002652707844155129, 'weight_decay': 1.4697689409411857e-05, 'beta_0': 0.8449968064114267, 'beta_1': 0.9920692581489422, 'epsilon': 2.807645128600265e-07, 'balanced_loss': False, 'epochs': 61, 'early_stopping_patience': 14, 'plateau_patience': 19, 'plateau_divider': 5}. Best is trial 111 with value: 0.9529816513761468.
[I 2024-12-10 10:53:37,392] Trial 167 finished with value: 0.948394495412844 and parameters: {'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.6241358154721974, 'batch_size': 188, 'attention_heads': 8, 'hidden_dimension': 53, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5793672690341098, 'global_pooling': 'max', 'learning_rate': 0.0013252631741410865, 'weight_decay': 5.339939423338821e-06, 'beta_0': 0.8205780209999908, 'beta_1': 0.9913732436490084, 'epsilon': 1.6410772442300336e-07, 'balanced_loss': False, 'epochs': 105, 'early_stopping_patience': 12, 'plateau_patience': 19, 'plateau_divider': 4}. Best is trial 111 with value: 0.9529816513761468.
[I 2024-12-10 10:59:37,329] Trial 168 finished with value: 0.9461009174311926 and parameters: {'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.6563852911160907, 'batch_size': 194, 'attention_heads': 4, 'hidden_dimension': 46, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5930018689469966, 'global_pooling': 'sum', 'learning_rate': 0.0022546615258108985, 'weight_decay': 6.50564235199008e-06, 'beta_0': 0.8243409221620089, 'beta_1': 0.994112332686857, 'epsilon': 1.0336345015922676e-07, 'balanced_loss': False, 'epochs': 55, 'early_stopping_patience': 13, 'plateau_patience': 21, 'plateau_divider': 3}. Best is trial 111 with value: 0.9529816513761468.
[I 2024-12-10 11:06:31,217] Trial 169 finished with value: 0.9461009174311926 and parameters: {'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.7329449333746756, 'batch_size': 205, 'attention_heads': 6, 'hidden_dimension': 57, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5994790968308248, 'global_pooling': 'max', 'learning_rate': 0.0011224302211421313, 'weight_decay': 2.7165397700612424e-05, 'beta_0': 0.8355012208813553, 'beta_1': 0.9917439999673741, 'epsilon': 2.2341547682279687e-07, 'balanced_loss': False, 'epochs': 69, 'early_stopping_patience': 14, 'plateau_patience': 20, 'plateau_divider': 2}. Best is trial 111 with value: 0.9529816513761468.
[I 2024-12-10 11:13:27,819] Trial 170 finished with value: 0.9461009174311926 and parameters: {'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.5778117097181458, 'batch_size': 183, 'attention_heads': 7, 'hidden_dimension': 181, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5807915208270954, 'global_pooling': 'sum', 'learning_rate': 0.0014840845668274794, 'weight_decay': 3.719555879255337e-06, 'beta_0': 0.8396788148703285, 'beta_1': 0.9922890201542252, 'epsilon': 3.3560589559205465e-07, 'balanced_loss': False, 'epochs': 121, 'early_stopping_patience': 12, 'plateau_patience': 20, 'plateau_divider': 3}. Best is trial 111 with value: 0.9529816513761468.
[I 2024-12-10 11:19:22,341] Trial 171 finished with value: 0.944954128440367 and parameters: {'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.5956510275790099, 'batch_size': 221, 'attention_heads': 4, 'hidden_dimension': 69, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5860607750631256, 'global_pooling': 'mean', 'learning_rate': 0.0031965313777557176, 'weight_decay': 2.7618724497186466e-06, 'beta_0': 0.8405420258928404, 'beta_1': 0.9931213168959627, 'epsilon': 1.2647652470389592e-07, 'balanced_loss': False, 'epochs': 59, 'early_stopping_patience': 13, 'plateau_patience': 18, 'plateau_divider': 4}. Best is trial 111 with value: 0.9529816513761468.
[I 2024-12-10 11:25:35,672] Trial 172 finished with value: 0.9472477064220184 and parameters: {'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.6011230085710905, 'batch_size': 208, 'attention_heads': 8, 'hidden_dimension': 67, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5870717889648219, 'global_pooling': 'max', 'learning_rate': 0.0017394293792733675, 'weight_decay': 4.133996736998682e-06, 'beta_0': 0.8434812780261646, 'beta_1': 0.9938513200769905, 'epsilon': 1.549897611912081e-07, 'balanced_loss': False, 'epochs': 54, 'early_stopping_patience': 13, 'plateau_patience': 19, 'plateau_divider': 5}. Best is trial 111 with value: 0.9529816513761468.
[I 2024-12-10 11:32:00,761] Trial 173 finished with value: 0.948394495412844 and parameters: {'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.6156095379601485, 'batch_size': 213, 'attention_heads': 8, 'hidden_dimension': 63, 'number_of_hidden_layers': 3, 'dropout_rate': 0.572392521038505, 'global_pooling': 'max', 'learning_rate': 0.001756952798854691, 'weight_decay': 4.375612002917002e-06, 'beta_0': 0.8465274288647868, 'beta_1': 0.9934119553408362, 'epsilon': 1.7977282366108613e-07, 'balanced_loss': False, 'epochs': 53, 'early_stopping_patience': 13, 'plateau_patience': 19, 'plateau_divider': 6}. Best is trial 111 with value: 0.9529816513761468.
[I 2024-12-10 11:38:15,293] Trial 174 finished with value: 0.944954128440367 and parameters: {'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.6384991571242933, 'batch_size': 196, 'attention_heads': 8, 'hidden_dimension': 71, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5936480804532551, 'global_pooling': 'max', 'learning_rate': 0.0020675997317232955, 'weight_decay': 5.508366807472887e-06, 'beta_0': 0.8439405892240703, 'beta_1': 0.9938182769641667, 'epsilon': 1.3602728668309648e-07, 'balanced_loss': False, 'epochs': 64, 'early_stopping_patience': 14, 'plateau_patience': 20, 'plateau_divider': 5}. Best is trial 111 with value: 0.9529816513761468.
[I 2024-12-10 11:44:22,275] Trial 175 finished with value: 0.9461009174311926 and parameters: {'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.5859758602035504, 'batch_size': 201, 'attention_heads': 7, 'hidden_dimension': 41, 'number_of_hidden_layers': 3, 'dropout_rate': 0.581751699587204, 'global_pooling': 'max', 'learning_rate': 0.0011415223485664269, 'weight_decay': 3.2447552957410776e-06, 'beta_0': 0.8508835616344974, 'beta_1': 0.9926617522509061, 'epsilon': 8.568925138814388e-07, 'balanced_loss': False, 'epochs': 59, 'early_stopping_patience': 12, 'plateau_patience': 18, 'plateau_divider': 5}. Best is trial 111 with value: 0.9529816513761468.
[I 2024-12-10 11:50:24,720] Trial 176 finished with value: 0.944954128440367 and parameters: {'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.6082945510955851, 'batch_size': 206, 'attention_heads': 7, 'hidden_dimension': 49, 'number_of_hidden_layers': 3, 'dropout_rate': 0.45920158883965806, 'global_pooling': 'max', 'learning_rate': 0.0026264473860847268, 'weight_decay': 3.841708079472365e-06, 'beta_0': 0.8418174349421989, 'beta_1': 0.9978288241351144, 'epsilon': 8.345055854067124e-08, 'balanced_loss': False, 'epochs': 57, 'early_stopping_patience': 13, 'plateau_patience': 17, 'plateau_divider': 5}. Best is trial 111 with value: 0.9529816513761468.
[I 2024-12-10 11:56:38,099] Trial 177 finished with value: 0.944954128440367 and parameters: {'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.5536014373688155, 'batch_size': 211, 'attention_heads': 9, 'hidden_dimension': 55, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5880398509277002, 'global_pooling': 'max', 'learning_rate': 0.0008088842476585665, 'weight_decay': 1.721940364995423e-05, 'beta_0': 0.8169586930376815, 'beta_1': 0.981089074089875, 'epsilon': 2.067171201584785e-07, 'balanced_loss': False, 'epochs': 66, 'early_stopping_patience': 13, 'plateau_patience': 19, 'plateau_divider': 5}. Best is trial 111 with value: 0.9529816513761468.
[I 2024-12-10 12:03:19,632] Trial 178 finished with value: 0.9461009174311926 and parameters: {'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.6002175897955088, 'batch_size': 202, 'attention_heads': 12, 'hidden_dimension': 64, 'number_of_hidden_layers': 3, 'dropout_rate': 0.577286522205858, 'global_pooling': 'max', 'learning_rate': 0.0014685763369944116, 'weight_decay': 3.163504247700738e-05, 'beta_0': 0.8479114409731515, 'beta_1': 0.9944705746302644, 'epsilon': 1.108915799608381e-07, 'balanced_loss': False, 'epochs': 52, 'early_stopping_patience': 12, 'plateau_patience': 20, 'plateau_divider': 4}. Best is trial 111 with value: 0.9529816513761468.
[I 2024-12-10 12:09:18,252] Trial 179 finished with value: 0.9506880733944955 and parameters: {'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.6237197334517411, 'batch_size': 253, 'attention_heads': 4, 'hidden_dimension': 58, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5625980479169785, 'global_pooling': 'sum', 'learning_rate': 0.001008866263415303, 'weight_decay': 2.947574175125484e-06, 'beta_0': 0.8374097567222399, 'beta_1': 0.9934882099633159, 'epsilon': 1.3992585125314153e-07, 'balanced_loss': False, 'epochs': 72, 'early_stopping_patience': 11, 'plateau_patience': 21, 'plateau_divider': 3}. Best is trial 111 with value: 0.9529816513761468.
[I 2024-12-10 12:15:11,818] Trial 180 finished with value: 0.944954128440367 and parameters: {'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.6284188461085056, 'batch_size': 239, 'attention_heads': 4, 'hidden_dimension': 43, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5606731975670035, 'global_pooling': 'sum', 'learning_rate': 0.0006506997442587949, 'weight_decay': 2.9105742817496135e-06, 'beta_0': 0.8328967309123846, 'beta_1': 0.9929774466159099, 'epsilon': 7.277908348687749e-08, 'balanced_loss': False, 'epochs': 75, 'early_stopping_patience': 11, 'plateau_patience': 22, 'plateau_divider': 3}. Best is trial 111 with value: 0.9529816513761468.
[I 2024-12-10 12:21:07,850] Trial 181 finished with value: 0.9438073394495413 and parameters: {'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'max', 'threshold': 0.6445563532981177, 'batch_size': 254, 'attention_heads': 4, 'hidden_dimension': 58, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5525713252753256, 'global_pooling': 'sum', 'learning_rate': 0.0009739393088610825, 'weight_decay': 1.7756495933429895e-06, 'beta_0': 0.8737969955837667, 'beta_1': 0.9924767577108451, 'epsilon': 2.716843773758317e-07, 'balanced_loss': False, 'epochs': 81, 'early_stopping_patience': 11, 'plateau_patience': 21, 'plateau_divider': 3}. Best is trial 111 with value: 0.9529816513761468.
[I 2024-12-10 12:26:54,125] Trial 182 finished with value: 0.944954128440367 and parameters: {'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.6172152006370406, 'batch_size': 243, 'attention_heads': 4, 'hidden_dimension': 52, 'number_of_hidden_layers': 3, 'dropout_rate': 0.41236625379520336, 'global_pooling': 'sum', 'learning_rate': 0.001305715078031138, 'weight_decay': 3.677052001182989e-05, 'beta_0': 0.8376915623807082, 'beta_1': 0.9936536014054933, 'epsilon': 1.4187791655213687e-07, 'balanced_loss': False, 'epochs': 71, 'early_stopping_patience': 11, 'plateau_patience': 20, 'plateau_divider': 3}. Best is trial 111 with value: 0.9529816513761468.
[I 2024-12-10 12:33:04,158] Trial 183 finished with value: 0.9438073394495413 and parameters: {'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.6225098255853324, 'batch_size': 251, 'attention_heads': 4, 'hidden_dimension': 75, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5685624009345869, 'global_pooling': 'sum', 'learning_rate': 0.0017033373263902148, 'weight_decay': 2.4994146358506726e-06, 'beta_0': 0.8361088481436798, 'beta_1': 0.9940461887999689, 'epsilon': 1.0063951707538997e-07, 'balanced_loss': False, 'epochs': 62, 'early_stopping_patience': 14, 'plateau_patience': 20, 'plateau_divider': 3}. Best is trial 111 with value: 0.9529816513761468.
[I 2024-12-10 12:39:21,942] Trial 184 finished with value: 0.944954128440367 and parameters: {'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.6000383391279418, 'batch_size': 250, 'attention_heads': 4, 'hidden_dimension': 61, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5942362380183568, 'global_pooling': 'sum', 'learning_rate': 0.0010137874633947865, 'weight_decay': 4.4285320788922625e-06, 'beta_0': 0.8402477152302776, 'beta_1': 0.9932996428607697, 'epsilon': 1.7825187058157095e-07, 'balanced_loss': False, 'epochs': 78, 'early_stopping_patience': 25, 'plateau_patience': 21, 'plateau_divider': 4}. Best is trial 111 with value: 0.9529816513761468.
[I 2024-12-10 12:45:32,359] Trial 185 finished with value: 0.9506880733944955 and parameters: {'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.6354655085975058, 'batch_size': 193, 'attention_heads': 5, 'hidden_dimension': 69, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5996758111130872, 'global_pooling': 'max', 'learning_rate': 0.0022321447467708935, 'weight_decay': 3.546689421640664e-06, 'beta_0': 0.8343980726256944, 'beta_1': 0.993402830682919, 'epsilon': 1.2231342431819726e-07, 'balanced_loss': False, 'epochs': 154, 'early_stopping_patience': 12, 'plateau_patience': 18, 'plateau_divider': 7}. Best is trial 111 with value: 0.9529816513761468.
[I 2024-12-10 12:51:19,757] Trial 186 finished with value: 0.944954128440367 and parameters: {'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.6357961466847903, 'batch_size': 255, 'attention_heads': 5, 'hidden_dimension': 49, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5987273166861077, 'global_pooling': 'sum', 'learning_rate': 0.0023097644488901847, 'weight_decay': 3.243524735863727e-06, 'beta_0': 0.8345360484427875, 'beta_1': 0.99325877622164, 'epsilon': 1.1895235393604818e-07, 'balanced_loss': False, 'epochs': 68, 'early_stopping_patience': 12, 'plateau_patience': 18, 'plateau_divider': 3}. Best is trial 111 with value: 0.9529816513761468.
[I 2024-12-10 12:57:04,056] Trial 187 finished with value: 0.944954128440367 and parameters: {'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.6690133805364792, 'batch_size': 191, 'attention_heads': 6, 'hidden_dimension': 56, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5917891492557464, 'global_pooling': 'max', 'learning_rate': 0.003147389538714895, 'weight_decay': 7.92786088534561e-06, 'beta_0': 0.8308220822014328, 'beta_1': 0.9919702521193032, 'epsilon': 2.0841974923766262e-07, 'balanced_loss': False, 'epochs': 72, 'early_stopping_patience': 10, 'plateau_patience': 17, 'plateau_divider': 7}. Best is trial 111 with value: 0.9529816513761468.
[I 2024-12-10 13:02:43,651] Trial 188 finished with value: 0.9426605504587156 and parameters: {'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.647949697805847, 'batch_size': 179, 'attention_heads': 5, 'hidden_dimension': 36, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5828521262535143, 'global_pooling': 'sum', 'learning_rate': 0.004212668510173757, 'weight_decay': 2.2067919062895982e-05, 'beta_0': 0.827423407227858, 'beta_1': 0.9986380949565646, 'epsilon': 5.997475820698211e-08, 'balanced_loss': False, 'epochs': 149, 'early_stopping_patience': 12, 'plateau_patience': 18, 'plateau_divider': 7}. Best is trial 111 with value: 0.9529816513761468.
[I 2024-12-10 13:08:41,183] Trial 189 finished with value: 0.944954128440367 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.6275132064923028, 'batch_size': 187, 'attention_heads': 4, 'hidden_dimension': 70, 'number_of_hidden_layers': 3, 'dropout_rate': 0.599951716692542, 'global_pooling': 'max', 'learning_rate': 0.002049755632810057, 'weight_decay': 1.2632607816297477e-05, 'beta_0': 0.8340621729069612, 'beta_1': 0.9926690372267732, 'epsilon': 1.667605508236913e-07, 'balanced_loss': False, 'epochs': 65, 'early_stopping_patience': 19, 'plateau_patience': 22, 'plateau_divider': 8}. Best is trial 111 with value: 0.9529816513761468.
[I 2024-12-10 13:14:22,264] Trial 190 finished with value: 0.944954128440367 and parameters: {'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.6128755108306628, 'batch_size': 194, 'attention_heads': 6, 'hidden_dimension': 64, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5746640604998345, 'global_pooling': 'max', 'learning_rate': 0.0008162214195408099, 'weight_decay': 4.562580127138909e-05, 'beta_0': 0.831330930536849, 'beta_1': 0.9952522802558056, 'epsilon': 9.162011643437874e-08, 'balanced_loss': True, 'epochs': 156, 'early_stopping_patience': 11, 'plateau_patience': 18, 'plateau_divider': 3}. Best is trial 111 with value: 0.9529816513761468.
