Some weights of RobertaModel were not initialized from the model checkpoint at FacebookAI/roberta-large and are newly initialized: ['roberta.pooler.dense.bias', 'roberta.pooler.dense.weight']
You should probably TRAIN this model on a down-stream task to be able to use it for predictions and inference.
[I 2024-12-19 04:55:17,165] Using an existing study with name 'SST-2-GATv2-FacebookAI-roberta-large-Surrogate-No_Aggregation' instead of creating a new one.
[I 2024-12-19 05:02:07,095] Trial 83 finished with value: 0.9243119266055045 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.7889278332259337, 'batch_size': 241, 'attention_heads': 9, 'hidden_dimension': 212, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5799884908645114, 'global_pooling': 'mean', 'learning_rate': 0.0007641915825754855, 'weight_decay': 0.0005779105615620598, 'beta_0': 0.8407104878617423, 'beta_1': 0.9851331033706553, 'epsilon': 6.111404134400725e-06, 'balanced_loss': True, 'epochs': 63, 'early_stopping_patience': 21, 'plateau_patience': 21, 'plateau_divider': 6}. Best is trial 3 with value: 0.9311926605504587.
[I 2024-12-19 10:33:51,454] Trial 121 finished with value: 0.9243119266055045 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.5600954027840517, 'batch_size': 231, 'attention_heads': 5, 'hidden_dimension': 255, 'number_of_hidden_layers': 4, 'dropout_rate': 0.42724742837884067, 'global_pooling': 'sum', 'learning_rate': 0.0034447731525650057, 'weight_decay': 0.0007078701199173087, 'beta_0': 0.8675773494183524, 'beta_1': 0.9908468761311652, 'epsilon': 1.49586074719934e-07, 'balanced_loss': False, 'epochs': 122, 'early_stopping_patience': 18, 'plateau_patience': 12, 'plateau_divider': 8}. Best is trial 114 with value: 0.9357798165137615.
[I 2024-12-19 10:43:07,583] Trial 122 finished with value: 0.9346330275229358 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.5746552512001512, 'batch_size': 238, 'attention_heads': 5, 'hidden_dimension': 249, 'number_of_hidden_layers': 4, 'dropout_rate': 0.4107158407782991, 'global_pooling': 'sum', 'learning_rate': 0.002044404853816482, 'weight_decay': 0.0005497170917251013, 'beta_0': 0.8805753644525498, 'beta_1': 0.98941781504025, 'epsilon': 1.1904676507350373e-07, 'balanced_loss': False, 'epochs': 128, 'early_stopping_patience': 17, 'plateau_patience': 13, 'plateau_divider': 8}. Best is trial 114 with value: 0.9357798165137615.
[I 2024-12-19 10:50:58,617] Trial 123 finished with value: 0.9231651376146789 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.5354632511221369, 'batch_size': 54, 'attention_heads': 5, 'hidden_dimension': 239, 'number_of_hidden_layers': 4, 'dropout_rate': 0.4140975474791816, 'global_pooling': 'sum', 'learning_rate': 0.0020284380878834983, 'weight_decay': 0.0005387029024135149, 'beta_0': 0.8804927479832761, 'beta_1': 0.9902191990827276, 'epsilon': 2.2767950441656285e-07, 'balanced_loss': False, 'epochs': 125, 'early_stopping_patience': 17, 'plateau_patience': 13, 'plateau_divider': 8}. Best is trial 114 with value: 0.9357798165137615.
[I 2024-12-19 11:01:24,767] Trial 124 finished with value: 0.9334862385321101 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.5227977313853911, 'batch_size': 222, 'attention_heads': 6, 'hidden_dimension': 256, 'number_of_hidden_layers': 4, 'dropout_rate': 0.4066026306808083, 'global_pooling': 'sum', 'learning_rate': 0.001550681395550458, 'weight_decay': 0.0004182064224697824, 'beta_0': 0.8754520527524497, 'beta_1': 0.9894836397537196, 'epsilon': 1.1858698743261714e-07, 'balanced_loss': False, 'epochs': 141, 'early_stopping_patience': 16, 'plateau_patience': 12, 'plateau_divider': 8}. Best is trial 114 with value: 0.9357798165137615.
[I 2024-12-19 11:11:11,533] Trial 125 finished with value: 0.9323394495412844 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.5261600121153475, 'batch_size': 222, 'attention_heads': 6, 'hidden_dimension': 256, 'number_of_hidden_layers': 4, 'dropout_rate': 0.4207585528102204, 'global_pooling': 'sum', 'learning_rate': 0.0011482087656294996, 'weight_decay': 0.00042883658362557683, 'beta_0': 0.8759509723108002, 'beta_1': 0.9880244366497473, 'epsilon': 5.328216056983683e-08, 'balanced_loss': False, 'epochs': 142, 'early_stopping_patience': 16, 'plateau_patience': 12, 'plateau_divider': 8}. Best is trial 114 with value: 0.9357798165137615.
[I 2024-12-19 11:20:34,629] Trial 126 finished with value: 0.9346330275229358 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.5243846838741817, 'batch_size': 221, 'attention_heads': 6, 'hidden_dimension': 256, 'number_of_hidden_layers': 4, 'dropout_rate': 0.39078570418125214, 'global_pooling': 'sum', 'learning_rate': 0.0010912561535468298, 'weight_decay': 0.0006507825897261057, 'beta_0': 0.8766499363410925, 'beta_1': 0.9880452552389314, 'epsilon': 5.531549156013898e-08, 'balanced_loss': False, 'epochs': 143, 'early_stopping_patience': 16, 'plateau_patience': 11, 'plateau_divider': 8}. Best is trial 114 with value: 0.9357798165137615.
[I 2024-12-19 11:30:41,759] Trial 127 finished with value: 0.9277522935779816 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.5522401032635648, 'batch_size': 219, 'attention_heads': 6, 'hidden_dimension': 249, 'number_of_hidden_layers': 4, 'dropout_rate': 0.40641365871313245, 'global_pooling': 'sum', 'learning_rate': 0.001421991659616406, 'weight_decay': 0.0007451465404285652, 'beta_0': 0.8780893479072382, 'beta_1': 0.9874778661848215, 'epsilon': 2.9541509157941353e-08, 'balanced_loss': False, 'epochs': 138, 'early_stopping_patience': 16, 'plateau_patience': 11, 'plateau_divider': 8}. Best is trial 114 with value: 0.9357798165137615.
[I 2024-12-19 11:38:33,900] Trial 128 finished with value: 0.930045871559633 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.522039005660349, 'batch_size': 213, 'attention_heads': 4, 'hidden_dimension': 247, 'number_of_hidden_layers': 4, 'dropout_rate': 0.3924787993336009, 'global_pooling': 'sum', 'learning_rate': 0.0006693881519934917, 'weight_decay': 0.0006264272417643671, 'beta_0': 0.8738708998667838, 'beta_1': 0.9896116256504086, 'epsilon': 1.1548952914348867e-07, 'balanced_loss': False, 'epochs': 133, 'early_stopping_patience': 16, 'plateau_patience': 12, 'plateau_divider': 8}. Best is trial 114 with value: 0.9357798165137615.
[I 2024-12-19 11:46:41,153] Trial 129 finished with value: 0.9254587155963303 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.5687279633296428, 'batch_size': 225, 'attention_heads': 5, 'hidden_dimension': 243, 'number_of_hidden_layers': 4, 'dropout_rate': 0.39184288859153193, 'global_pooling': 'sum', 'learning_rate': 0.004211608232382624, 'weight_decay': 0.0009892273218981321, 'beta_0': 0.8858253705008264, 'beta_1': 0.9869323573238732, 'epsilon': 8.489598261931025e-08, 'balanced_loss': False, 'epochs': 148, 'early_stopping_patience': 17, 'plateau_patience': 11, 'plateau_divider': 8}. Best is trial 114 with value: 0.9357798165137615.
[I 2024-12-19 11:57:10,509] Trial 130 finished with value: 0.9369266055045872 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.5093029163752338, 'batch_size': 205, 'attention_heads': 6, 'hidden_dimension': 251, 'number_of_hidden_layers': 4, 'dropout_rate': 0.40409836597237925, 'global_pooling': 'sum', 'learning_rate': 0.0008070167397054481, 'weight_decay': 0.0005652778494403167, 'beta_0': 0.8834752295274064, 'beta_1': 0.9886576399428791, 'epsilon': 7.07147038382288e-08, 'balanced_loss': False, 'epochs': 154, 'early_stopping_patience': 18, 'plateau_patience': 13, 'plateau_divider': 8}. Best is trial 130 with value: 0.9369266055045872.
[I 2024-12-19 12:06:43,677] Trial 131 finished with value: 0.9369266055045872 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.5102647247780391, 'batch_size': 195, 'attention_heads': 6, 'hidden_dimension': 239, 'number_of_hidden_layers': 4, 'dropout_rate': 0.4003922347455263, 'global_pooling': 'sum', 'learning_rate': 0.0007929388122201131, 'weight_decay': 0.0005133987195467619, 'beta_0': 0.8831741599335107, 'beta_1': 0.9878414124460478, 'epsilon': 6.477421604136312e-08, 'balanced_loss': False, 'epochs': 161, 'early_stopping_patience': 18, 'plateau_patience': 13, 'plateau_divider': 8}. Best is trial 130 with value: 0.9369266055045872.
[I 2024-12-19 12:17:29,346] Trial 132 finished with value: 0.9323394495412844 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.5072869587107974, 'batch_size': 203, 'attention_heads': 6, 'hidden_dimension': 237, 'number_of_hidden_layers': 4, 'dropout_rate': 0.40651462469201066, 'global_pooling': 'sum', 'learning_rate': 0.0008984044841856627, 'weight_decay': 0.0005284091007139611, 'beta_0': 0.8819504273679768, 'beta_1': 0.988184408930427, 'epsilon': 6.708750761616431e-08, 'balanced_loss': False, 'epochs': 156, 'early_stopping_patience': 18, 'plateau_patience': 10, 'plateau_divider': 8}. Best is trial 130 with value: 0.9369266055045872.
[I 2024-12-19 12:28:10,196] Trial 133 finished with value: 0.9346330275229358 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.47977488553329445, 'batch_size': 194, 'attention_heads': 6, 'hidden_dimension': 254, 'number_of_hidden_layers': 4, 'dropout_rate': 0.3990629945645033, 'global_pooling': 'sum', 'learning_rate': 0.0011003894360765987, 'weight_decay': 0.00044890891782346575, 'beta_0': 0.8838840462548835, 'beta_1': 0.9875979326849899, 'epsilon': 3.6579968653523576e-08, 'balanced_loss': False, 'epochs': 171, 'early_stopping_patience': 18, 'plateau_patience': 13, 'plateau_divider': 8}. Best is trial 130 with value: 0.9369266055045872.
[I 2024-12-19 12:39:01,606] Trial 134 finished with value: 0.9334862385321101 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.49551748595094725, 'batch_size': 193, 'attention_heads': 6, 'hidden_dimension': 255, 'number_of_hidden_layers': 4, 'dropout_rate': 0.40002886116538017, 'global_pooling': 'sum', 'learning_rate': 0.0011749355352868901, 'weight_decay': 0.0004383101568804894, 'beta_0': 0.8833270146572716, 'beta_1': 0.9877633463598098, 'epsilon': 4.367726886981335e-08, 'balanced_loss': False, 'epochs': 174, 'early_stopping_patience': 18, 'plateau_patience': 13, 'plateau_divider': 8}. Best is trial 130 with value: 0.9369266055045872.
[I 2024-12-19 12:49:26,391] Trial 135 finished with value: 0.9254587155963303 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.4960186542399751, 'batch_size': 187, 'attention_heads': 6, 'hidden_dimension': 255, 'number_of_hidden_layers': 4, 'dropout_rate': 0.3752611190143574, 'global_pooling': 'sum', 'learning_rate': 0.001104470800844083, 'weight_decay': 0.0006253033992436013, 'beta_0': 0.8837229991901798, 'beta_1': 0.9877444997231855, 'epsilon': 3.415742205300511e-08, 'balanced_loss': False, 'epochs': 168, 'early_stopping_patience': 18, 'plateau_patience': 13, 'plateau_divider': 8}. Best is trial 130 with value: 0.9369266055045872.
[I 2024-12-19 12:59:39,109] Trial 136 finished with value: 0.9334862385321101 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.4773115141925877, 'batch_size': 181, 'attention_heads': 6, 'hidden_dimension': 256, 'number_of_hidden_layers': 4, 'dropout_rate': 0.40130751881011595, 'global_pooling': 'sum', 'learning_rate': 0.0015310987972958845, 'weight_decay': 0.0004822243590003613, 'beta_0': 0.887974154778209, 'beta_1': 0.9872765039511062, 'epsilon': 2.0849351358784422e-08, 'balanced_loss': False, 'epochs': 183, 'early_stopping_patience': 18, 'plateau_patience': 12, 'plateau_divider': 8}. Best is trial 130 with value: 0.9369266055045872.
[I 2024-12-19 13:10:23,978] Trial 137 finished with value: 0.9277522935779816 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.4527455133372425, 'batch_size': 181, 'attention_heads': 6, 'hidden_dimension': 252, 'number_of_hidden_layers': 4, 'dropout_rate': 0.40142782374330954, 'global_pooling': 'sum', 'learning_rate': 0.001431412969549179, 'weight_decay': 0.0007512478391930826, 'beta_0': 0.8928686981859572, 'beta_1': 0.9871490879397015, 'epsilon': 1.1843696649412361e-08, 'balanced_loss': False, 'epochs': 177, 'early_stopping_patience': 18, 'plateau_patience': 11, 'plateau_divider': 8}. Best is trial 130 with value: 0.9369266055045872.
[I 2024-12-19 13:20:45,462] Trial 138 finished with value: 0.9277522935779816 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.48157274946120304, 'batch_size': 182, 'attention_heads': 6, 'hidden_dimension': 256, 'number_of_hidden_layers': 4, 'dropout_rate': 0.392274287837651, 'global_pooling': 'sum', 'learning_rate': 0.0016847633875957044, 'weight_decay': 0.00046543896303781365, 'beta_0': 0.8866914370863758, 'beta_1': 0.9862884148888024, 'epsilon': 2.099620228537699e-08, 'balanced_loss': False, 'epochs': 184, 'early_stopping_patience': 19, 'plateau_patience': 12, 'plateau_divider': 8}. Best is trial 130 with value: 0.9369266055045872.
[I 2024-12-19 13:33:19,190] Trial 139 finished with value: 0.930045871559633 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.47274214098011114, 'batch_size': 199, 'attention_heads': 7, 'hidden_dimension': 251, 'number_of_hidden_layers': 4, 'dropout_rate': 0.38725524863581273, 'global_pooling': 'sum', 'learning_rate': 0.0012421156851644436, 'weight_decay': 0.0006490932437016693, 'beta_0': 0.8893424958576132, 'beta_1': 0.9868037863692835, 'epsilon': 4.165299976362772e-08, 'balanced_loss': False, 'epochs': 175, 'early_stopping_patience': 18, 'plateau_patience': 13, 'plateau_divider': 8}. Best is trial 130 with value: 0.9369266055045872.
[I 2024-12-19 13:43:20,459] Trial 140 finished with value: 0.930045871559633 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.4886556898062464, 'batch_size': 191, 'attention_heads': 6, 'hidden_dimension': 244, 'number_of_hidden_layers': 4, 'dropout_rate': 0.41601645515816527, 'global_pooling': 'sum', 'learning_rate': 0.001989993066571939, 'weight_decay': 0.0003809002794810777, 'beta_0': 0.8835818808010764, 'beta_1': 0.9873291738947626, 'epsilon': 2.555205439998177e-08, 'balanced_loss': False, 'epochs': 180, 'early_stopping_patience': 18, 'plateau_patience': 12, 'plateau_divider': 8}. Best is trial 130 with value: 0.9369266055045872.
[I 2024-12-19 13:54:55,208] Trial 141 finished with value: 0.9323394495412844 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.5164894138850976, 'batch_size': 177, 'attention_heads': 7, 'hidden_dimension': 233, 'number_of_hidden_layers': 4, 'dropout_rate': 0.3987619294199705, 'global_pooling': 'sum', 'learning_rate': 0.0005443193543094711, 'weight_decay': 0.00046921623060600207, 'beta_0': 0.8959418500322467, 'beta_1': 0.9877477159009517, 'epsilon': 4.91544402767526e-08, 'balanced_loss': False, 'epochs': 156, 'early_stopping_patience': 19, 'plateau_patience': 13, 'plateau_divider': 8}. Best is trial 130 with value: 0.9369266055045872.
[I 2024-12-19 14:05:00,732] Trial 142 finished with value: 0.9277522935779816 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.49534747921564654, 'batch_size': 194, 'attention_heads': 6, 'hidden_dimension': 256, 'number_of_hidden_layers': 4, 'dropout_rate': 0.36693014789980466, 'global_pooling': 'sum', 'learning_rate': 0.0007743470326512165, 'weight_decay': 0.0005667487200566621, 'beta_0': 0.8772165615862669, 'beta_1': 0.988589202953729, 'epsilon': 5.904929684195628e-08, 'balanced_loss': False, 'epochs': 170, 'early_stopping_patience': 18, 'plateau_patience': 12, 'plateau_divider': 8}. Best is trial 130 with value: 0.9369266055045872.
[I 2024-12-19 14:15:33,880] Trial 143 finished with value: 0.9311926605504587 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.5129835578569061, 'batch_size': 169, 'attention_heads': 6, 'hidden_dimension': 248, 'number_of_hidden_layers': 4, 'dropout_rate': 0.4038876821447163, 'global_pooling': 'sum', 'learning_rate': 0.0010812553154223665, 'weight_decay': 0.0007230999041511304, 'beta_0': 0.8820361960518777, 'beta_1': 0.9880864907124721, 'epsilon': 1.353143208684946e-07, 'balanced_loss': False, 'epochs': 162, 'early_stopping_patience': 18, 'plateau_patience': 13, 'plateau_divider': 8}. Best is trial 130 with value: 0.9369266055045872.
[I 2024-12-19 14:25:37,976] Trial 144 finished with value: 0.926605504587156 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.49971930579159457, 'batch_size': 163, 'attention_heads': 6, 'hidden_dimension': 238, 'number_of_hidden_layers': 4, 'dropout_rate': 0.4107184501465411, 'global_pooling': 'sum', 'learning_rate': 0.0014827656101004225, 'weight_decay': 0.00032668343699027884, 'beta_0': 0.887053153946476, 'beta_1': 0.9891006505122822, 'epsilon': 7.519359925712433e-08, 'balanced_loss': False, 'epochs': 189, 'early_stopping_patience': 17, 'plateau_patience': 12, 'plateau_divider': 8}. Best is trial 130 with value: 0.9369266055045872.
[I 2024-12-19 14:35:57,453] Trial 145 finished with value: 0.9334862385321101 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.4564572442873927, 'batch_size': 191, 'attention_heads': 6, 'hidden_dimension': 243, 'number_of_hidden_layers': 4, 'dropout_rate': 0.38322882051966456, 'global_pooling': 'sum', 'learning_rate': 0.0008958164453285961, 'weight_decay': 0.0008077156380864708, 'beta_0': 0.8910951069753283, 'beta_1': 0.9883351545074831, 'epsilon': 4.345695631170307e-08, 'balanced_loss': False, 'epochs': 153, 'early_stopping_patience': 18, 'plateau_patience': 13, 'plateau_divider': 7}. Best is trial 130 with value: 0.9369266055045872.
[I 2024-12-19 14:43:55,052] Trial 146 finished with value: 0.9346330275229358 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.45911126052315765, 'batch_size': 191, 'attention_heads': 7, 'hidden_dimension': 113, 'number_of_hidden_layers': 4, 'dropout_rate': 0.38198446037620476, 'global_pooling': 'sum', 'learning_rate': 0.0011868362678053176, 'weight_decay': 0.0007550118551515899, 'beta_0': 0.8918679269167492, 'beta_1': 0.9883176969198008, 'epsilon': 4.5440170850878235e-08, 'balanced_loss': False, 'epochs': 160, 'early_stopping_patience': 19, 'plateau_patience': 11, 'plateau_divider': 7}. Best is trial 130 with value: 0.9369266055045872.
[I 2024-12-19 14:51:47,482] Trial 147 finished with value: 0.9357798165137615 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.46658297681805977, 'batch_size': 187, 'attention_heads': 7, 'hidden_dimension': 113, 'number_of_hidden_layers': 4, 'dropout_rate': 0.37627523293256676, 'global_pooling': 'sum', 'learning_rate': 0.0012302725983328044, 'weight_decay': 0.0006012107456928823, 'beta_0': 0.8851642409862672, 'beta_1': 0.9866487694706142, 'epsilon': 1.8660890195326786e-08, 'balanced_loss': False, 'epochs': 161, 'early_stopping_patience': 19, 'plateau_patience': 11, 'plateau_divider': 7}. Best is trial 130 with value: 0.9369266055045872.
[I 2024-12-19 14:59:11,369] Trial 148 finished with value: 0.926605504587156 and parameters: {'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'max', 'threshold': 0.4398796743290166, 'batch_size': 202, 'attention_heads': 7, 'hidden_dimension': 103, 'number_of_hidden_layers': 4, 'dropout_rate': 0.3678443660369585, 'global_pooling': 'sum', 'learning_rate': 0.0013111943961453747, 'weight_decay': 0.0006373245177900869, 'beta_0': 0.8638024325285442, 'beta_1': 0.9866090359032373, 'epsilon': 1.5108792112661897e-08, 'balanced_loss': False, 'epochs': 161, 'early_stopping_patience': 19, 'plateau_patience': 11, 'plateau_divider': 7}. Best is trial 130 with value: 0.9369266055045872.
[I 2024-12-19 15:07:03,111] Trial 149 finished with value: 0.9277522935779816 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.4646609159780007, 'batch_size': 187, 'attention_heads': 7, 'hidden_dimension': 114, 'number_of_hidden_layers': 4, 'dropout_rate': 0.3771645139847997, 'global_pooling': 'sum', 'learning_rate': 0.0021880143319990986, 'weight_decay': 0.0007816111760752506, 'beta_0': 0.8847523517038985, 'beta_1': 0.987798711962946, 'epsilon': 3.459298049539996e-08, 'balanced_loss': False, 'epochs': 149, 'early_stopping_patience': 19, 'plateau_patience': 10, 'plateau_divider': 7}. Best is trial 130 with value: 0.9369266055045872.
[I 2024-12-19 15:15:15,404] Trial 150 finished with value: 0.926605504587156 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.48673506747323714, 'batch_size': 199, 'attention_heads': 7, 'hidden_dimension': 121, 'number_of_hidden_layers': 4, 'dropout_rate': 0.38847253320000247, 'global_pooling': 'sum', 'learning_rate': 0.00065492036486484, 'weight_decay': 0.0005686552446477109, 'beta_0': 0.8792337056739313, 'beta_1': 0.9894264621684321, 'epsilon': 5.061574879258885e-08, 'balanced_loss': False, 'epochs': 172, 'early_stopping_patience': 19, 'plateau_patience': 11, 'plateau_divider': 9}. Best is trial 130 with value: 0.9369266055045872.
[I 2024-12-19 15:22:40,453] Trial 151 finished with value: 0.9277522935779816 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.5334854190386166, 'batch_size': 193, 'attention_heads': 6, 'hidden_dimension': 111, 'number_of_hidden_layers': 4, 'dropout_rate': 0.3632430504974066, 'global_pooling': 'sum', 'learning_rate': 0.0017666705751270939, 'weight_decay': 0.0009790279466003636, 'beta_0': 0.881941991810348, 'beta_1': 0.9816796404124067, 'epsilon': 2.635665430847338e-08, 'balanced_loss': False, 'epochs': 166, 'early_stopping_patience': 19, 'plateau_patience': 11, 'plateau_divider': 7}. Best is trial 130 with value: 0.9369266055045872.
[I 2024-12-19 15:29:30,760] Trial 152 finished with value: 0.9288990825688074 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.47731357032346866, 'batch_size': 180, 'attention_heads': 6, 'hidden_dimension': 77, 'number_of_hidden_layers': 4, 'dropout_rate': 0.39781937174305626, 'global_pooling': 'sum', 'learning_rate': 0.0011663185143253407, 'weight_decay': 0.0004799115430588495, 'beta_0': 0.8884075846758608, 'beta_1': 0.9875755491546727, 'epsilon': 6.862787746329555e-08, 'balanced_loss': False, 'epochs': 160, 'early_stopping_patience': 18, 'plateau_patience': 12, 'plateau_divider': 8}. Best is trial 130 with value: 0.9369266055045872.
[I 2024-12-19 15:36:31,419] Trial 153 finished with value: 0.9288990825688074 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.5070587887645607, 'batch_size': 172, 'attention_heads': 6, 'hidden_dimension': 89, 'number_of_hidden_layers': 4, 'dropout_rate': 0.4021881500260096, 'global_pooling': 'sum', 'learning_rate': 0.0015673632881475295, 'weight_decay': 0.0006706127876828649, 'beta_0': 0.8924127402966124, 'beta_1': 0.9861750408267782, 'epsilon': 1.888899629289745e-08, 'balanced_loss': False, 'epochs': 153, 'early_stopping_patience': 18, 'plateau_patience': 13, 'plateau_divider': 8}. Best is trial 130 with value: 0.9369266055045872.
[I 2024-12-19 15:45:46,140] Trial 154 finished with value: 0.9323394495412844 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.4589562778165852, 'batch_size': 187, 'attention_heads': 5, 'hidden_dimension': 252, 'number_of_hidden_layers': 4, 'dropout_rate': 0.39042861883661256, 'global_pooling': 'sum', 'learning_rate': 0.0008174267435138849, 'weight_decay': 0.0004290768717214394, 'beta_0': 0.8865718570919122, 'beta_1': 0.9873099871604843, 'epsilon': 2.9695411741181716e-08, 'balanced_loss': False, 'epochs': 182, 'early_stopping_patience': 18, 'plateau_patience': 12, 'plateau_divider': 8}. Best is trial 130 with value: 0.9369266055045872.
[I 2024-12-19 15:57:29,647] Trial 155 finished with value: 0.9277522935779816 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.4691458332678016, 'batch_size': 206, 'attention_heads': 7, 'hidden_dimension': 247, 'number_of_hidden_layers': 4, 'dropout_rate': 0.3831107534741386, 'global_pooling': 'sum', 'learning_rate': 0.001057978843788232, 'weight_decay': 0.0005249519700905514, 'beta_0': 0.8969529586538776, 'beta_1': 0.9883350856022736, 'epsilon': 3.907896327993402e-08, 'balanced_loss': False, 'epochs': 145, 'early_stopping_patience': 17, 'plateau_patience': 11, 'plateau_divider': 8}. Best is trial 130 with value: 0.9369266055045872.
[I 2024-12-19 16:04:51,886] Trial 156 finished with value: 0.930045871559633 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.5258650636879055, 'batch_size': 195, 'attention_heads': 5, 'hidden_dimension': 130, 'number_of_hidden_layers': 4, 'dropout_rate': 0.39724489449509837, 'global_pooling': 'sum', 'learning_rate': 0.0012837711906974933, 'weight_decay': 0.000835048399585518, 'beta_0': 0.8796070164728659, 'beta_1': 0.9888884800338301, 'epsilon': 1.4858882206823116e-08, 'balanced_loss': False, 'epochs': 166, 'early_stopping_patience': 19, 'plateau_patience': 10, 'plateau_divider': 8}. Best is trial 130 with value: 0.9369266055045872.
[I 2024-12-19 16:15:19,352] Trial 157 finished with value: 0.9277522935779816 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.44190665555698383, 'batch_size': 198, 'attention_heads': 6, 'hidden_dimension': 252, 'number_of_hidden_layers': 4, 'dropout_rate': 0.4187105066802071, 'global_pooling': 'sum', 'learning_rate': 0.0022290763895625823, 'weight_decay': 0.0003812778564147971, 'beta_0': 0.8834719529473464, 'beta_1': 0.9869208484772583, 'epsilon': 8.16935621313531e-08, 'balanced_loss': False, 'epochs': 171, 'early_stopping_patience': 18, 'plateau_patience': 13, 'plateau_divider': 7}. Best is trial 130 with value: 0.9369266055045872.
[I 2024-12-19 16:22:03,112] Trial 158 finished with value: 0.930045871559633 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.4869485444590953, 'batch_size': 177, 'attention_heads': 5, 'hidden_dimension': 256, 'number_of_hidden_layers': 2, 'dropout_rate': 0.40916426466006356, 'global_pooling': 'sum', 'learning_rate': 0.0017504430147685455, 'weight_decay': 0.000612808519563282, 'beta_0': 0.8899700132448487, 'beta_1': 0.988059490691677, 'epsilon': 1.8365553769781184e-07, 'balanced_loss': False, 'epochs': 188, 'early_stopping_patience': 16, 'plateau_patience': 12, 'plateau_divider': 9}. Best is trial 130 with value: 0.9369266055045872.
