[I 2024-11-29 03:47:57,995] Using an existing study with name 'IMDb-top_1000-GATv2-google-bert-bert-base-uncased-Grouped-Global_Aggregation' instead of creating a new one.
Token indices sequence length is longer than the specified maximum sequence length for this model (1147 > 512). Running this sequence through the model will result in indexing errors
[I 2024-11-29 03:55:23,022] Trial 144 finished with value: 0.9030303030303031 and parameters: {'left_stride': 64, 'right_stride': 64, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.920590000766377, 'batch_size': 26, 'attention_heads': 7, 'hidden_dimension': 151, 'number_of_hidden_layers': 1, 'dropout_rate': 0.48710745390677607, 'global_pooling': 'mean', 'learning_rate': 0.0007739562508316864, 'weight_decay': 5.428311921884808e-06, 'beta_0': 0.8513535384727559, 'beta_1': 0.9824587528009517, 'epsilon': 6.96323730419582e-08, 'balanced_loss': True, 'epochs': 162, 'early_stopping_patience': 12, 'plateau_patience': 16, 'plateau_divider': 6}. Best is trial 56 with value: 0.9151515151515152.
[I 2024-11-29 07:15:32,946] Trial 180 finished with value: 0.8909090909090909 and parameters: {'left_stride': 128, 'right_stride': 256, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'max', 'threshold': 0.9110100759031361, 'batch_size': 38, 'attention_heads': 13, 'hidden_dimension': 105, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5089004613913076, 'global_pooling': 'mean', 'learning_rate': 0.0011716003357212404, 'weight_decay': 2.5851128988028995e-05, 'beta_0': 0.8732380785684815, 'beta_1': 0.9827288289954013, 'epsilon': 1.681319570030544e-08, 'balanced_loss': True, 'epochs': 142, 'early_stopping_patience': 16, 'plateau_patience': 17, 'plateau_divider': 8}. Best is trial 149 with value: 0.9212121212121213.
[I 2024-11-29 07:24:08,218] Trial 181 finished with value: 0.8545454545454545 and parameters: {'left_stride': 256, 'right_stride': 128, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'max', 'threshold': 0.9028512908767098, 'batch_size': 21, 'attention_heads': 5, 'hidden_dimension': 115, 'number_of_hidden_layers': 4, 'dropout_rate': 0.48387474381384604, 'global_pooling': 'mean', 'learning_rate': 0.002510297676667418, 'weight_decay': 1.6081603983644583e-05, 'beta_0': 0.8764754304029405, 'beta_1': 0.9889053118789382, 'epsilon': 2.735788574735704e-08, 'balanced_loss': True, 'epochs': 117, 'early_stopping_patience': 11, 'plateau_patience': 15, 'plateau_divider': 8}. Best is trial 149 with value: 0.9212121212121213.
[I 2024-11-29 07:29:48,396] Trial 182 finished with value: 0.9090909090909091 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'max', 'threshold': 0.907598291105162, 'batch_size': 34, 'attention_heads': 5, 'hidden_dimension': 108, 'number_of_hidden_layers': 0, 'dropout_rate': 0.4710468222958911, 'global_pooling': 'mean', 'learning_rate': 0.0007750034361038709, 'weight_decay': 9.961622777349168e-06, 'beta_0': 0.8548917122210921, 'beta_1': 0.9818965804102794, 'epsilon': 5.5245151439472776e-08, 'balanced_loss': True, 'epochs': 176, 'early_stopping_patience': 17, 'plateau_patience': 16, 'plateau_divider': 9}. Best is trial 149 with value: 0.9212121212121213.
[I 2024-11-29 07:34:47,648] Trial 183 finished with value: 0.8909090909090909 and parameters: {'left_stride': 0, 'right_stride': 64, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'max', 'threshold': 0.9346744148655443, 'batch_size': 35, 'attention_heads': 4, 'hidden_dimension': 97, 'number_of_hidden_layers': 0, 'dropout_rate': 0.493202351477099, 'global_pooling': 'mean', 'learning_rate': 0.0009675968451018398, 'weight_decay': 1.3736130001234175e-05, 'beta_0': 0.857356435315799, 'beta_1': 0.9813295913288498, 'epsilon': 3.912531616050213e-08, 'balanced_loss': True, 'epochs': 169, 'early_stopping_patience': 10, 'plateau_patience': 10, 'plateau_divider': 7}. Best is trial 149 with value: 0.9212121212121213.
[I 2024-11-29 07:40:21,080] Trial 184 finished with value: 0.9030303030303031 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'max', 'threshold': 0.9092393246593382, 'batch_size': 36, 'attention_heads': 5, 'hidden_dimension': 113, 'number_of_hidden_layers': 0, 'dropout_rate': 0.47988454183975915, 'global_pooling': 'mean', 'learning_rate': 0.0012221331884661917, 'weight_decay': 9.80824726318104e-06, 'beta_0': 0.8599568511725657, 'beta_1': 0.9821226029069032, 'epsilon': 4.9524491289694766e-08, 'balanced_loss': True, 'epochs': 131, 'early_stopping_patience': 11, 'plateau_patience': 18, 'plateau_divider': 7}. Best is trial 149 with value: 0.9212121212121213.
[I 2024-11-29 07:45:42,073] Trial 185 finished with value: 0.896969696969697 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'max', 'threshold': 0.9047523176387173, 'batch_size': 38, 'attention_heads': 4, 'hidden_dimension': 75, 'number_of_hidden_layers': 0, 'dropout_rate': 0.37993029406060763, 'global_pooling': 'mean', 'learning_rate': 0.0015847633287676447, 'weight_decay': 1.881281513294115e-05, 'beta_0': 0.8666418592137672, 'beta_1': 0.9830413570889347, 'epsilon': 6.214709415234821e-08, 'balanced_loss': True, 'epochs': 114, 'early_stopping_patience': 12, 'plateau_patience': 16, 'plateau_divider': 8}. Best is trial 149 with value: 0.9212121212121213.
[I 2024-11-29 07:50:51,322] Trial 186 finished with value: 0.896969696969697 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'max', 'threshold': 0.9822739972858019, 'batch_size': 19, 'attention_heads': 5, 'hidden_dimension': 122, 'number_of_hidden_layers': 0, 'dropout_rate': 0.4621943156181618, 'global_pooling': 'mean', 'learning_rate': 0.0009019469056884082, 'weight_decay': 1.2074707965577989e-05, 'beta_0': 0.8621830100493042, 'beta_1': 0.982476291828651, 'epsilon': 4.1517057438987585e-08, 'balanced_loss': True, 'epochs': 137, 'early_stopping_patience': 10, 'plateau_patience': 17, 'plateau_divider': 7}. Best is trial 149 with value: 0.9212121212121213.
[I 2024-11-29 07:56:09,169] Trial 187 finished with value: 0.896969696969697 and parameters: {'left_stride': 0, 'right_stride': 64, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'max', 'threshold': 0.9426956767648687, 'batch_size': 35, 'attention_heads': 6, 'hidden_dimension': 102, 'number_of_hidden_layers': 0, 'dropout_rate': 0.44816249756618676, 'global_pooling': 'mean', 'learning_rate': 0.0005168513471796547, 'weight_decay': 1.557153112751781e-05, 'beta_0': 0.8531885715347233, 'beta_1': 0.9808818291898215, 'epsilon': 3.1789817035704967e-08, 'balanced_loss': True, 'epochs': 179, 'early_stopping_patience': 16, 'plateau_patience': 15, 'plateau_divider': 8}. Best is trial 149 with value: 0.9212121212121213.
[I 2024-11-29 08:01:16,418] Trial 188 finished with value: 0.8303030303030303 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'max', 'threshold': 0.9997010942065306, 'batch_size': 31, 'attention_heads': 4, 'hidden_dimension': 118, 'number_of_hidden_layers': 0, 'dropout_rate': 0.47312965849405186, 'global_pooling': 'mean', 'learning_rate': 0.0013671752649583825, 'weight_decay': 8.319891717983322e-06, 'beta_0': 0.8578192627089084, 'beta_1': 0.9845459472888904, 'epsilon': 1.812690232666309e-07, 'balanced_loss': True, 'epochs': 173, 'early_stopping_patience': 15, 'plateau_patience': 10, 'plateau_divider': 8}. Best is trial 149 with value: 0.9212121212121213.
[I 2024-11-29 08:06:44,622] Trial 189 finished with value: 0.896969696969697 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'max', 'threshold': 0.9065885756555162, 'batch_size': 18, 'attention_heads': 6, 'hidden_dimension': 90, 'number_of_hidden_layers': 0, 'dropout_rate': 0.4679131211902971, 'global_pooling': 'mean', 'learning_rate': 0.0006891343240854524, 'weight_decay': 1.437242631724092e-05, 'beta_0': 0.8712229211567157, 'beta_1': 0.9876572748353222, 'epsilon': 1.0468421695695023e-08, 'balanced_loss': True, 'epochs': 127, 'early_stopping_patience': 12, 'plateau_patience': 11, 'plateau_divider': 7}. Best is trial 149 with value: 0.9212121212121213.
[I 2024-11-29 08:12:26,251] Trial 190 finished with value: 0.8848484848484849 and parameters: {'left_stride': 128, 'right_stride': 128, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'max', 'threshold': 0.9124572737036771, 'batch_size': 28, 'attention_heads': 5, 'hidden_dimension': 110, 'number_of_hidden_layers': 0, 'dropout_rate': 0.31203507445141454, 'global_pooling': 'mean', 'learning_rate': 0.001808073186438664, 'weight_decay': 2.4360956477495355e-05, 'beta_0': 0.8685097452670113, 'beta_1': 0.9816452229975069, 'epsilon': 1.104280967659426e-05, 'balanced_loss': False, 'epochs': 166, 'early_stopping_patience': 15, 'plateau_patience': 16, 'plateau_divider': 8}. Best is trial 149 with value: 0.9212121212121213.
[I 2024-11-29 08:19:58,846] Trial 191 finished with value: 0.8606060606060606 and parameters: {'left_stride': 256, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.9152868721459334, 'batch_size': 32, 'attention_heads': 5, 'hidden_dimension': 83, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5060117248944449, 'global_pooling': 'sum', 'learning_rate': 0.001068734350086107, 'weight_decay': 1.1374458569427095e-05, 'beta_0': 0.8603953231892901, 'beta_1': 0.9805112257369747, 'epsilon': 1.2447068589016982e-07, 'balanced_loss': True, 'epochs': 164, 'early_stopping_patience': 11, 'plateau_patience': 15, 'plateau_divider': 8}. Best is trial 149 with value: 0.9212121212121213.
[I 2024-11-29 08:25:23,117] Trial 192 finished with value: 0.8909090909090909 and parameters: {'left_stride': 64, 'right_stride': 64, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.9321360846063066, 'batch_size': 23, 'attention_heads': 6, 'hidden_dimension': 130, 'number_of_hidden_layers': 0, 'dropout_rate': 0.4768611920738508, 'global_pooling': 'mean', 'learning_rate': 0.001276069588088005, 'weight_decay': 6.085751176477023e-06, 'beta_0': 0.8589684486813713, 'beta_1': 0.9815131486116558, 'epsilon': 6.454455538179307e-08, 'balanced_loss': True, 'epochs': 151, 'early_stopping_patience': 11, 'plateau_patience': 15, 'plateau_divider': 6}. Best is trial 149 with value: 0.9212121212121213.
[I 2024-11-29 08:30:47,463] Trial 193 finished with value: 0.9030303030303031 and parameters: {'left_stride': 64, 'right_stride': 64, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.9278211091351594, 'batch_size': 22, 'attention_heads': 6, 'hidden_dimension': 123, 'number_of_hidden_layers': 0, 'dropout_rate': 0.45744378387675494, 'global_pooling': 'mean', 'learning_rate': 0.0011932117097092348, 'weight_decay': 7.135146702433593e-05, 'beta_0': 0.8654295171031373, 'beta_1': 0.9818058647303264, 'epsilon': 7.561502391657314e-08, 'balanced_loss': True, 'epochs': 147, 'early_stopping_patience': 10, 'plateau_patience': 15, 'plateau_divider': 6}. Best is trial 149 with value: 0.9212121212121213.
[I 2024-11-29 08:36:23,497] Trial 194 finished with value: 0.9090909090909091 and parameters: {'left_stride': 64, 'right_stride': 64, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.9258170822583572, 'batch_size': 20, 'attention_heads': 6, 'hidden_dimension': 114, 'number_of_hidden_layers': 0, 'dropout_rate': 0.4850601952335423, 'global_pooling': 'mean', 'learning_rate': 0.0008522394140449382, 'weight_decay': 8.85170006976469e-06, 'beta_0': 0.8562060302831933, 'beta_1': 0.9810900748724939, 'epsilon': 1.5767794165977335e-07, 'balanced_loss': True, 'epochs': 158, 'early_stopping_patience': 11, 'plateau_patience': 14, 'plateau_divider': 6}. Best is trial 149 with value: 0.9212121212121213.
[I 2024-11-29 08:44:28,171] Trial 195 finished with value: 0.8606060606060606 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.9000085331517386, 'batch_size': 25, 'attention_heads': 6, 'hidden_dimension': 61, 'number_of_hidden_layers': 0, 'dropout_rate': 0.47252752311749296, 'global_pooling': 'mean', 'learning_rate': 1.0942290680543605e-05, 'weight_decay': 7.977841443184965e-06, 'beta_0': 0.8629341710168194, 'beta_1': 0.9861903864758979, 'epsilon': 4.371556650785991e-06, 'balanced_loss': True, 'epochs': 161, 'early_stopping_patience': 11, 'plateau_patience': 15, 'plateau_divider': 7}. Best is trial 149 with value: 0.9212121212121213.
[I 2024-11-29 08:49:36,371] Trial 196 finished with value: 0.9030303030303031 and parameters: {'left_stride': 0, 'right_stride': 64, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.92923351733056, 'batch_size': 27, 'attention_heads': 4, 'hidden_dimension': 141, 'number_of_hidden_layers': 0, 'dropout_rate': 0.46393329188465393, 'global_pooling': 'mean', 'learning_rate': 0.0015061630037971588, 'weight_decay': 6.7552319656959646e-06, 'beta_0': 0.8589543832903908, 'beta_1': 0.9819610240826181, 'epsilon': 3.442279675454194e-05, 'balanced_loss': True, 'epochs': 134, 'early_stopping_patience': 10, 'plateau_patience': 16, 'plateau_divider': 7}. Best is trial 149 with value: 0.9212121212121213.
[I 2024-11-29 08:55:35,996] Trial 197 finished with value: 0.896969696969697 and parameters: {'left_stride': 64, 'right_stride': 64, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'max', 'threshold': 0.9373740259359182, 'batch_size': 33, 'attention_heads': 5, 'hidden_dimension': 107, 'number_of_hidden_layers': 1, 'dropout_rate': 0.49063330907474967, 'global_pooling': 'mean', 'learning_rate': 0.0022194956827531935, 'weight_decay': 9.698271814420335e-06, 'beta_0': 0.8742481355969277, 'beta_1': 0.9881312267914869, 'epsilon': 3.813246410800861e-08, 'balanced_loss': True, 'epochs': 156, 'early_stopping_patience': 16, 'plateau_patience': 14, 'plateau_divider': 6}. Best is trial 149 with value: 0.9212121212121213.
[I 2024-11-29 09:00:47,880] Trial 198 finished with value: 0.8727272727272727 and parameters: {'left_stride': 64, 'right_stride': 64, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.9342843410016493, 'batch_size': 21, 'attention_heads': 5, 'hidden_dimension': 96, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5154528467609357, 'global_pooling': 'mean', 'learning_rate': 0.0154033431805622, 'weight_decay': 1.9962056822074613e-05, 'beta_0': 0.8609204286323636, 'beta_1': 0.9815182266904963, 'epsilon': 4.663695928434454e-08, 'balanced_loss': True, 'epochs': 153, 'early_stopping_patience': 12, 'plateau_patience': 17, 'plateau_divider': 8}. Best is trial 149 with value: 0.9212121212121213.
[I 2024-11-29 09:06:25,930] Trial 199 finished with value: 0.896969696969697 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.9033699192695266, 'batch_size': 23, 'attention_heads': 4, 'hidden_dimension': 118, 'number_of_hidden_layers': 1, 'dropout_rate': 0.47860181167287325, 'global_pooling': 'mean', 'learning_rate': 0.0010629540137776755, 'weight_decay': 1.6813082507412106e-05, 'beta_0': 0.8693319328818828, 'beta_1': 0.9868640870953033, 'epsilon': 2.3866220352718347e-08, 'balanced_loss': True, 'epochs': 141, 'early_stopping_patience': 10, 'plateau_patience': 10, 'plateau_divider': 5}. Best is trial 149 with value: 0.9212121212121213.
[I 2024-11-29 09:11:51,278] Trial 200 finished with value: 0.8848484848484849 and parameters: {'left_stride': 64, 'right_stride': 32, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'max', 'threshold': 0.9304583114456181, 'batch_size': 25, 'attention_heads': 6, 'hidden_dimension': 147, 'number_of_hidden_layers': 0, 'dropout_rate': 0.4543413392164365, 'global_pooling': 'mean', 'learning_rate': 0.0006362048866448197, 'weight_decay': 5.42768600807372e-06, 'beta_0': 0.8649471901281789, 'beta_1': 0.9824054356778441, 'epsilon': 1.336801396262445e-07, 'balanced_loss': True, 'epochs': 170, 'early_stopping_patience': 11, 'plateau_patience': 18, 'plateau_divider': 8}. Best is trial 149 with value: 0.9212121212121213.
[I 2024-11-29 09:19:19,191] Trial 201 finished with value: 0.9030303030303031 and parameters: {'left_stride': 128, 'right_stride': 128, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.9264455291838204, 'batch_size': 20, 'attention_heads': 6, 'hidden_dimension': 222, 'number_of_hidden_layers': 1, 'dropout_rate': 0.49743694792376025, 'global_pooling': 'mean', 'learning_rate': 0.0008531357487730271, 'weight_decay': 1.2603212904456426e-05, 'beta_0': 0.8245974596685991, 'beta_1': 0.982805800804757, 'epsilon': 3.0928013708461214e-08, 'balanced_loss': True, 'epochs': 144, 'early_stopping_patience': 13, 'plateau_patience': 16, 'plateau_divider': 7}. Best is trial 149 with value: 0.9212121212121213.
[I 2024-11-29 09:24:58,339] Trial 202 finished with value: 0.896969696969697 and parameters: {'left_stride': 64, 'right_stride': 64, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.9315181500068676, 'batch_size': 23, 'attention_heads': 6, 'hidden_dimension': 120, 'number_of_hidden_layers': 1, 'dropout_rate': 0.47367178904296786, 'global_pooling': 'mean', 'learning_rate': 0.0011911095282466494, 'weight_decay': 1.2294591192186634e-05, 'beta_0': 0.8703314343246455, 'beta_1': 0.9854841221365265, 'epsilon': 4.73542069207843e-08, 'balanced_loss': True, 'epochs': 151, 'early_stopping_patience': 11, 'plateau_patience': 15, 'plateau_divider': 8}. Best is trial 149 with value: 0.9212121212121213.
[I 2024-11-29 09:30:39,227] Trial 203 finished with value: 0.896969696969697 and parameters: {'left_stride': 64, 'right_stride': 64, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.928625086222601, 'batch_size': 24, 'attention_heads': 6, 'hidden_dimension': 125, 'number_of_hidden_layers': 1, 'dropout_rate': 0.47957495989202154, 'global_pooling': 'mean', 'learning_rate': 0.001289124970364523, 'weight_decay': 1.0748970647279808e-05, 'beta_0': 0.8670460002057272, 'beta_1': 0.9859872244585268, 'epsilon': 3.598304915632156e-08, 'balanced_loss': True, 'epochs': 149, 'early_stopping_patience': 11, 'plateau_patience': 15, 'plateau_divider': 8}. Best is trial 149 with value: 0.9212121212121213.
[I 2024-11-29 09:36:22,851] Trial 204 finished with value: 0.8848484848484849 and parameters: {'left_stride': 64, 'right_stride': 64, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.9230631718300889, 'batch_size': 22, 'attention_heads': 6, 'hidden_dimension': 116, 'number_of_hidden_layers': 1, 'dropout_rate': 0.466100950817405, 'global_pooling': 'mean', 'learning_rate': 0.0018019897673921717, 'weight_decay': 8.888303606160412e-06, 'beta_0': 0.8721419642459431, 'beta_1': 0.9852602816104197, 'epsilon': 6.000451612978503e-08, 'balanced_loss': True, 'epochs': 154, 'early_stopping_patience': 12, 'plateau_patience': 15, 'plateau_divider': 8}. Best is trial 149 with value: 0.9212121212121213.
[I 2024-11-29 09:41:49,329] Trial 205 finished with value: 0.8909090909090909 and parameters: {'left_stride': 64, 'right_stride': 64, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.9337771888997012, 'batch_size': 26, 'attention_heads': 5, 'hidden_dimension': 111, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4755726842818538, 'global_pooling': 'mean', 'learning_rate': 0.0009930807436224023, 'weight_decay': 1.4248191419594475e-05, 'beta_0': 0.8545402002269011, 'beta_1': 0.9846717606470475, 'epsilon': 4.251021272730964e-08, 'balanced_loss': True, 'epochs': 146, 'early_stopping_patience': 10, 'plateau_patience': 15, 'plateau_divider': 8}. Best is trial 149 with value: 0.9212121212121213.
[I 2024-11-29 09:47:44,530] Trial 206 finished with value: 0.8787878787878788 and parameters: {'left_stride': 64, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.9355254693032378, 'batch_size': 28, 'attention_heads': 6, 'hidden_dimension': 103, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4855103556196266, 'global_pooling': 'max', 'learning_rate': 0.0013675447621181547, 'weight_decay': 3.428980734046672e-05, 'beta_0': 0.8685207834459379, 'beta_1': 0.9850052303351782, 'epsilon': 1.0425471108605603e-07, 'balanced_loss': True, 'epochs': 183, 'early_stopping_patience': 11, 'plateau_patience': 14, 'plateau_divider': 8}. Best is trial 149 with value: 0.9212121212121213.
[I 2024-11-29 09:53:20,144] Trial 207 finished with value: 0.9090909090909091 and parameters: {'left_stride': 64, 'right_stride': 64, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.9310811434391657, 'batch_size': 24, 'attention_heads': 4, 'hidden_dimension': 132, 'number_of_hidden_layers': 1, 'dropout_rate': 0.46919573762057293, 'global_pooling': 'mean', 'learning_rate': 0.0016242846297213195, 'weight_decay': 7.2604009639656635e-06, 'beta_0': 0.8628787429142517, 'beta_1': 0.9864063706486524, 'epsilon': 8.564424497626224e-08, 'balanced_loss': True, 'epochs': 136, 'early_stopping_patience': 15, 'plateau_patience': 15, 'plateau_divider': 8}. Best is trial 149 with value: 0.9212121212121213.
[I 2024-11-29 09:59:28,150] Trial 208 finished with value: 0.8909090909090909 and parameters: {'left_stride': 64, 'right_stride': 64, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'max', 'threshold': 0.938848073986953, 'batch_size': 36, 'attention_heads': 10, 'hidden_dimension': 106, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5236124670751121, 'global_pooling': 'mean', 'learning_rate': 0.0007451926276715892, 'weight_decay': 1.774837865122392e-05, 'beta_0': 0.8706523375778272, 'beta_1': 0.9811112607988097, 'epsilon': 2.746921433764192e-08, 'balanced_loss': True, 'epochs': 176, 'early_stopping_patience': 10, 'plateau_patience': 16, 'plateau_divider': 8}. Best is trial 149 with value: 0.9212121212121213.
[I 2024-11-29 10:05:10,119] Trial 209 finished with value: 0.9151515151515152 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.9054810965300937, 'batch_size': 21, 'attention_heads': 6, 'hidden_dimension': 128, 'number_of_hidden_layers': 0, 'dropout_rate': 0.46017941429540754, 'global_pooling': 'mean', 'learning_rate': 0.00111542074495815, 'weight_decay': 4.754203207751946e-06, 'beta_0': 0.8577438720789247, 'beta_1': 0.983786062960525, 'epsilon': 4.374334269713848e-08, 'balanced_loss': False, 'epochs': 163, 'early_stopping_patience': 12, 'plateau_patience': 10, 'plateau_divider': 9}. Best is trial 149 with value: 0.9212121212121213.
[I 2024-11-29 10:10:28,050] Trial 210 finished with value: 0.896969696969697 and parameters: {'left_stride': 128, 'right_stride': 0, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.9065637657326713, 'batch_size': 21, 'attention_heads': 4, 'hidden_dimension': 128, 'number_of_hidden_layers': 0, 'dropout_rate': 0.45144000364449616, 'global_pooling': 'mean', 'learning_rate': 0.0010014895339153088, 'weight_decay': 4.9479544641010645e-06, 'beta_0': 0.8572599175440921, 'beta_1': 0.9840178235094843, 'epsilon': 5.8989052298276336e-08, 'balanced_loss': True, 'epochs': 165, 'early_stopping_patience': 13, 'plateau_patience': 10, 'plateau_divider': 9}. Best is trial 149 with value: 0.9212121212121213.
[I 2024-11-29 10:17:02,850] Trial 211 finished with value: 0.8666666666666667 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.9040220241604359, 'batch_size': 19, 'attention_heads': 6, 'hidden_dimension': 80, 'number_of_hidden_layers': 0, 'dropout_rate': 0.4572382693018804, 'global_pooling': 'mean', 'learning_rate': 0.04440540239698851, 'weight_decay': 6.0951638759502024e-06, 'beta_0': 0.8590919603102233, 'beta_1': 0.9836851443807868, 'epsilon': 1.4254401267505163e-08, 'balanced_loss': False, 'epochs': 162, 'early_stopping_patience': 12, 'plateau_patience': 10, 'plateau_divider': 7}. Best is trial 149 with value: 0.9212121212121213.
[I 2024-11-29 10:22:49,039] Trial 212 finished with value: 0.9151515151515152 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.9023538742686407, 'batch_size': 22, 'attention_heads': 6, 'hidden_dimension': 121, 'number_of_hidden_layers': 0, 'dropout_rate': 0.44206015506991936, 'global_pooling': 'mean', 'learning_rate': 0.001122220531044263, 'weight_decay': 2.1367758411611223e-05, 'beta_0': 0.8606023588631911, 'beta_1': 0.9831215698133915, 'epsilon': 4.3733520922462335e-08, 'balanced_loss': False, 'epochs': 159, 'early_stopping_patience': 12, 'plateau_patience': 11, 'plateau_divider': 9}. Best is trial 149 with value: 0.9212121212121213.
[I 2024-11-29 10:28:37,017] Trial 213 finished with value: 0.9212121212121213 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.901469394500475, 'batch_size': 20, 'attention_heads': 6, 'hidden_dimension': 123, 'number_of_hidden_layers': 0, 'dropout_rate': 0.44572687916131026, 'global_pooling': 'mean', 'learning_rate': 0.0008795366731095878, 'weight_decay': 4.3710906418085215e-06, 'beta_0': 0.8553819446902113, 'beta_1': 0.9830982117390794, 'epsilon': 4.797811758680115e-08, 'balanced_loss': False, 'epochs': 159, 'early_stopping_patience': 12, 'plateau_patience': 11, 'plateau_divider': 6}. Best is trial 149 with value: 0.9212121212121213.
[I 2024-11-29 10:34:19,996] Trial 214 finished with value: 0.9272727272727272 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.9016598929800189, 'batch_size': 20, 'attention_heads': 5, 'hidden_dimension': 123, 'number_of_hidden_layers': 0, 'dropout_rate': 0.4394563513274399, 'global_pooling': 'mean', 'learning_rate': 0.0008139719444327858, 'weight_decay': 4.448875392808283e-06, 'beta_0': 0.8550171565103089, 'beta_1': 0.98311625321631, 'epsilon': 3.5716235760573104e-08, 'balanced_loss': False, 'epochs': 159, 'early_stopping_patience': 13, 'plateau_patience': 11, 'plateau_divider': 9}. Best is trial 214 with value: 0.9272727272727272.
[I 2024-11-29 10:39:57,273] Trial 215 finished with value: 0.9030303030303031 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.9010769156251621, 'batch_size': 20, 'attention_heads': 5, 'hidden_dimension': 124, 'number_of_hidden_layers': 0, 'dropout_rate': 0.4458556608413708, 'global_pooling': 'mean', 'learning_rate': 0.00085461532092588, 'weight_decay': 4.117204485006254e-06, 'beta_0': 0.8526269850208376, 'beta_1': 0.9834556218973033, 'epsilon': 3.48572318763732e-08, 'balanced_loss': False, 'epochs': 159, 'early_stopping_patience': 12, 'plateau_patience': 11, 'plateau_divider': 9}. Best is trial 214 with value: 0.9272727272727272.
