[I 2024-12-03 05:07:58,032] Using an existing study with name 'IMDb-top_1000-GATv2-facebook-bart-base-Grouped-No_Aggregation' instead of creating a new one.
[I 2024-12-03 05:17:23,774] Trial 117 finished with value: 0.8787878787878788 and parameters: {'left_stride': 32, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.930286879069627, 'batch_size': 29, 'attention_heads': 6, 'hidden_dimension': 166, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5451948869983394, 'global_pooling': 'mean', 'learning_rate': 0.0039694708835641915, 'weight_decay': 1.1870087422017486e-06, 'beta_0': 0.8307767898251949, 'beta_1': 0.9813072812413489, 'epsilon': 5.522109503341595e-06, 'balanced_loss': True, 'epochs': 198, 'early_stopping_patience': 21, 'plateau_patience': 10, 'plateau_divider': 8}. Best is trial 63 with value: 0.9272727272727272.
[I 2024-12-03 10:57:21,700] Trial 152 finished with value: 0.9212121212121213 and parameters: {'left_stride': 64, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9472685424391749, 'batch_size': 25, 'attention_heads': 8, 'hidden_dimension': 131, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5094148901549022, 'global_pooling': 'sum', 'learning_rate': 0.003616669044465516, 'weight_decay': 4.29253794519398e-05, 'beta_0': 0.8523997646523224, 'beta_1': 0.9816861375062808, 'epsilon': 2.221723145835775e-06, 'balanced_loss': True, 'epochs': 109, 'early_stopping_patience': 24, 'plateau_patience': 21, 'plateau_divider': 5}. Best is trial 126 with value: 0.9333333333333333.
[I 2024-12-03 11:08:20,430] Trial 153 finished with value: 0.9151515151515152 and parameters: {'left_stride': 64, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9513338398851596, 'batch_size': 27, 'attention_heads': 8, 'hidden_dimension': 145, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4992364092625417, 'global_pooling': 'sum', 'learning_rate': 0.002946587721117052, 'weight_decay': 3.704782305746058e-05, 'beta_0': 0.8590565817849839, 'beta_1': 0.9820001827678633, 'epsilon': 1.3346632520341147e-06, 'balanced_loss': True, 'epochs': 103, 'early_stopping_patience': 24, 'plateau_patience': 21, 'plateau_divider': 5}. Best is trial 126 with value: 0.9333333333333333.
CUDA out of memory. Tried to allocate 2.95 GiB. GPU 0 has a total capacity of 44.56 GiB of which 2.89 GiB is free. Including non-PyTorch memory, this process has 41.66 GiB memory in use. Of the allocated memory 39.64 GiB is allocated by PyTorch, and 894.46 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
[I 2024-12-03 11:15:12,409] Trial 154 finished with value: -1.0 and parameters: {'left_stride': 64, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.949529822054133, 'batch_size': 38, 'attention_heads': 10, 'hidden_dimension': 156, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5151798404062238, 'global_pooling': 'sum', 'learning_rate': 0.00268432702903206, 'weight_decay': 4.6038790382693676e-05, 'beta_0': 0.8559309701042047, 'beta_1': 0.9811165250398153, 'epsilon': 4.647775060981808e-07, 'balanced_loss': True, 'epochs': 98, 'early_stopping_patience': 25, 'plateau_patience': 20, 'plateau_divider': 5}. Best is trial 126 with value: 0.9333333333333333.
[I 2024-12-03 11:28:06,191] Trial 155 finished with value: 0.9212121212121213 and parameters: {'left_stride': 64, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9269467335929121, 'batch_size': 35, 'attention_heads': 8, 'hidden_dimension': 121, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5074496831033087, 'global_pooling': 'sum', 'learning_rate': 0.0020329528338557316, 'weight_decay': 2.9622322008273323e-06, 'beta_0': 0.848729910595182, 'beta_1': 0.9820416575830095, 'epsilon': 7.016941350866122e-07, 'balanced_loss': True, 'epochs': 92, 'early_stopping_patience': 23, 'plateau_patience': 22, 'plateau_divider': 3}. Best is trial 126 with value: 0.9333333333333333.
[I 2024-12-03 11:35:51,046] Trial 156 finished with value: 0.9212121212121213 and parameters: {'left_stride': 64, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9547854061895907, 'batch_size': 30, 'attention_heads': 4, 'hidden_dimension': 133, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5394428335316853, 'global_pooling': 'sum', 'learning_rate': 0.001513826830324664, 'weight_decay': 1.2728504153542846e-05, 'beta_0': 0.8514653204456851, 'beta_1': 0.9806421809588203, 'epsilon': 3.0636044827606315e-06, 'balanced_loss': True, 'epochs': 123, 'early_stopping_patience': 20, 'plateau_patience': 21, 'plateau_divider': 6}. Best is trial 126 with value: 0.9333333333333333.
[I 2024-12-03 11:46:24,952] Trial 157 finished with value: 0.896969696969697 and parameters: {'left_stride': 64, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.9373395447258739, 'batch_size': 37, 'attention_heads': 5, 'hidden_dimension': 140, 'number_of_hidden_layers': 2, 'dropout_rate': 0.475637057170215, 'global_pooling': 'mean', 'learning_rate': 0.005087891504379133, 'weight_decay': 6.578085218267044e-05, 'beta_0': 0.8006453265052721, 'beta_1': 0.9817373308462778, 'epsilon': 1.6532449929430346e-05, 'balanced_loss': True, 'epochs': 117, 'early_stopping_patience': 24, 'plateau_patience': 21, 'plateau_divider': 4}. Best is trial 126 with value: 0.9333333333333333.
[I 2024-12-03 11:55:39,218] Trial 158 finished with value: 0.8666666666666667 and parameters: {'left_stride': 64, 'right_stride': 0, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.9701195028824293, 'batch_size': 25, 'attention_heads': 9, 'hidden_dimension': 148, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5280412036165404, 'global_pooling': 'sum', 'learning_rate': 0.003628935828426405, 'weight_decay': 2.421873641798675e-06, 'beta_0': 0.8541971620906956, 'beta_1': 0.9836782916926522, 'epsilon': 1.9467970467312713e-06, 'balanced_loss': False, 'epochs': 194, 'early_stopping_patience': 23, 'plateau_patience': 20, 'plateau_divider': 6}. Best is trial 126 with value: 0.9333333333333333.
[I 2024-12-03 12:01:57,119] Trial 159 finished with value: 0.9212121212121213 and parameters: {'left_stride': 64, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9589115623251254, 'batch_size': 28, 'attention_heads': 4, 'hidden_dimension': 105, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5876076788112612, 'global_pooling': 'mean', 'learning_rate': 0.004261668551799755, 'weight_decay': 5.3189090010179996e-05, 'beta_0': 0.8417708911458082, 'beta_1': 0.996570264882017, 'epsilon': 1.014304808613013e-06, 'balanced_loss': False, 'epochs': 105, 'early_stopping_patience': 23, 'plateau_patience': 10, 'plateau_divider': 5}. Best is trial 126 with value: 0.9333333333333333.
[I 2024-12-03 12:09:15,537] Trial 160 finished with value: 0.9030303030303031 and parameters: {'left_stride': 256, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9426950371229376, 'batch_size': 40, 'attention_heads': 7, 'hidden_dimension': 196, 'number_of_hidden_layers': 0, 'dropout_rate': 0.495547126890977, 'global_pooling': 'mean', 'learning_rate': 0.0029902476640192503, 'weight_decay': 5.757172054412972e-06, 'beta_0': 0.8380551471319688, 'beta_1': 0.9916177785197583, 'epsilon': 6.34086327095116e-05, 'balanced_loss': True, 'epochs': 113, 'early_stopping_patience': 24, 'plateau_patience': 22, 'plateau_divider': 5}. Best is trial 126 with value: 0.9333333333333333.
[I 2024-12-03 12:20:10,711] Trial 161 finished with value: 0.8787878787878788 and parameters: {'left_stride': 128, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.9479902138447832, 'batch_size': 34, 'attention_heads': 8, 'hidden_dimension': 126, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5211793392716417, 'global_pooling': 'sum', 'learning_rate': 0.000107695642083241, 'weight_decay': 4.043059806100147e-05, 'beta_0': 0.8462817212647368, 'beta_1': 0.9801742328749574, 'epsilon': 2.1466753242827135e-05, 'balanced_loss': False, 'epochs': 193, 'early_stopping_patience': 17, 'plateau_patience': 17, 'plateau_divider': 3}. Best is trial 126 with value: 0.9333333333333333.
[I 2024-12-03 12:32:00,101] Trial 162 finished with value: 0.9151515151515152 and parameters: {'left_stride': 64, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9545920655111995, 'batch_size': 23, 'attention_heads': 9, 'hidden_dimension': 135, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5143303381469513, 'global_pooling': 'sum', 'learning_rate': 0.003156445732334398, 'weight_decay': 4.800578870465952e-05, 'beta_0': 0.8512036978157748, 'beta_1': 0.9830068613240808, 'epsilon': 1.6220687417312754e-06, 'balanced_loss': True, 'epochs': 101, 'early_stopping_patience': 24, 'plateau_patience': 21, 'plateau_divider': 5}. Best is trial 126 with value: 0.9333333333333333.
[I 2024-12-03 12:40:43,138] Trial 163 finished with value: 0.9333333333333333 and parameters: {'left_stride': 64, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9526948192775693, 'batch_size': 21, 'attention_heads': 9, 'hidden_dimension': 134, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5111235817359389, 'global_pooling': 'sum', 'learning_rate': 0.0022529970504322704, 'weight_decay': 7.38007944599959e-05, 'beta_0': 0.857738832402667, 'beta_1': 0.9815593210570087, 'epsilon': 1.931786894902134e-06, 'balanced_loss': True, 'epochs': 104, 'early_stopping_patience': 25, 'plateau_patience': 21, 'plateau_divider': 5}. Best is trial 126 with value: 0.9333333333333333.
[I 2024-12-03 12:48:56,068] Trial 164 finished with value: 0.9090909090909091 and parameters: {'left_stride': 64, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9504929383411281, 'batch_size': 21, 'attention_heads': 9, 'hidden_dimension': 115, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5054109753701393, 'global_pooling': 'sum', 'learning_rate': 0.002272925328118061, 'weight_decay': 7.05357521227283e-05, 'beta_0': 0.8607931352235031, 'beta_1': 0.9812298011629733, 'epsilon': 1.5524755423693755e-07, 'balanced_loss': True, 'epochs': 95, 'early_stopping_patience': 25, 'plateau_patience': 20, 'plateau_divider': 5}. Best is trial 126 with value: 0.9333333333333333.
[I 2024-12-03 12:55:22,655] Trial 165 finished with value: 0.8909090909090909 and parameters: {'left_stride': 64, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.956978693807452, 'batch_size': 19, 'attention_heads': 8, 'hidden_dimension': 122, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5112259261678201, 'global_pooling': 'sum', 'learning_rate': 0.0013119794788389566, 'weight_decay': 7.74339732676411e-05, 'beta_0': 0.8580026779792058, 'beta_1': 0.982374273059393, 'epsilon': 2.2355847909328703e-06, 'balanced_loss': True, 'epochs': 89, 'early_stopping_patience': 22, 'plateau_patience': 21, 'plateau_divider': 5}. Best is trial 126 with value: 0.9333333333333333.
[I 2024-12-03 13:01:52,797] Trial 166 finished with value: 0.9151515151515152 and parameters: {'left_stride': 64, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9852267113001896, 'batch_size': 22, 'attention_heads': 10, 'hidden_dimension': 139, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5001148066664501, 'global_pooling': 'mean', 'learning_rate': 0.001754942990364144, 'weight_decay': 9.339684387569703e-05, 'beta_0': 0.8635574657979687, 'beta_1': 0.9814689045082328, 'epsilon': 3.4952992083390003e-06, 'balanced_loss': True, 'epochs': 197, 'early_stopping_patience': 25, 'plateau_patience': 22, 'plateau_divider': 9}. Best is trial 126 with value: 0.9333333333333333.
[I 2024-12-03 13:09:19,741] Trial 167 finished with value: 0.9212121212121213 and parameters: {'left_stride': 64, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9451615542907547, 'batch_size': 35, 'attention_heads': 4, 'hidden_dimension': 145, 'number_of_hidden_layers': 1, 'dropout_rate': 0.49188382454381785, 'global_pooling': 'sum', 'learning_rate': 0.0025020747780657715, 'weight_decay': 3.4234182269448174e-06, 'beta_0': 0.8357415365678, 'beta_1': 0.9956495060660251, 'epsilon': 1.1986692843440887e-06, 'balanced_loss': True, 'epochs': 81, 'early_stopping_patience': 25, 'plateau_patience': 10, 'plateau_divider': 6}. Best is trial 126 with value: 0.9333333333333333.
[I 2024-12-03 13:24:34,593] Trial 168 finished with value: 0.8787878787878788 and parameters: {'left_stride': 128, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9529463847241331, 'batch_size': 36, 'attention_heads': 9, 'hidden_dimension': 131, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5184959609648541, 'global_pooling': 'max', 'learning_rate': 0.006044032673413898, 'weight_decay': 6.195899415330741e-05, 'beta_0': 0.8295726390273916, 'beta_1': 0.9819630615957818, 'epsilon': 1.3510679885345328e-05, 'balanced_loss': False, 'epochs': 108, 'early_stopping_patience': 24, 'plateau_patience': 21, 'plateau_divider': 5}. Best is trial 126 with value: 0.9333333333333333.
[I 2024-12-03 13:31:08,987] Trial 169 finished with value: 0.9212121212121213 and parameters: {'left_stride': 64, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.9334276852980951, 'batch_size': 21, 'attention_heads': 6, 'hidden_dimension': 153, 'number_of_hidden_layers': 0, 'dropout_rate': 0.4868858859427479, 'global_pooling': 'mean', 'learning_rate': 0.001998490037184468, 'weight_decay': 3.4784054461012256e-05, 'beta_0': 0.8394772708299565, 'beta_1': 0.9851665039697132, 'epsilon': 8.010993010333554e-05, 'balanced_loss': False, 'epochs': 190, 'early_stopping_patience': 21, 'plateau_patience': 16, 'plateau_divider': 3}. Best is trial 126 with value: 0.9333333333333333.
CUDA out of memory. Tried to allocate 4.68 GiB. GPU 0 has a total capacity of 44.56 GiB of which 1.42 GiB is free. Including non-PyTorch memory, this process has 43.13 GiB memory in use. Of the allocated memory 41.06 GiB is allocated by PyTorch, and 935.67 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
[I 2024-12-03 13:36:21,002] Trial 170 finished with value: -1.0 and parameters: {'left_stride': 128, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9307535927684548, 'batch_size': 26, 'attention_heads': 12, 'hidden_dimension': 229, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5249095722885357, 'global_pooling': 'mean', 'learning_rate': 0.001170081140837172, 'weight_decay': 0.0005171008844415729, 'beta_0': 0.8616678110304328, 'beta_1': 0.9808753760384743, 'epsilon': 2.472527731638179e-06, 'balanced_loss': True, 'epochs': 104, 'early_stopping_patience': 22, 'plateau_patience': 19, 'plateau_divider': 6}. Best is trial 126 with value: 0.9333333333333333.
[I 2024-12-03 13:41:50,968] Trial 171 finished with value: 0.9151515151515152 and parameters: {'left_stride': 64, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9803395048207738, 'batch_size': 24, 'attention_heads': 5, 'hidden_dimension': 32, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5311938074768697, 'global_pooling': 'sum', 'learning_rate': 0.0015929028911786066, 'weight_decay': 1.783025867073627e-06, 'beta_0': 0.8554987809098022, 'beta_1': 0.9974389230921301, 'epsilon': 1.53042004974464e-06, 'balanced_loss': False, 'epochs': 91, 'early_stopping_patience': 11, 'plateau_patience': 22, 'plateau_divider': 4}. Best is trial 126 with value: 0.9333333333333333.
[I 2024-12-03 13:49:26,676] Trial 172 finished with value: 0.896969696969697 and parameters: {'left_stride': 64, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9904841217023193, 'batch_size': 24, 'attention_heads': 9, 'hidden_dimension': 135, 'number_of_hidden_layers': 2, 'dropout_rate': 0.50858094594594, 'global_pooling': 'sum', 'learning_rate': 0.0031999866594824753, 'weight_decay': 4.4376886368487976e-05, 'beta_0': 0.8581217533315832, 'beta_1': 0.9812431424377168, 'epsilon': 1.8366883311195022e-06, 'balanced_loss': True, 'epochs': 110, 'early_stopping_patience': 24, 'plateau_patience': 20, 'plateau_divider': 5}. Best is trial 126 with value: 0.9333333333333333.
[I 2024-12-03 13:55:51,492] Trial 173 finished with value: 0.896969696969697 and parameters: {'left_stride': 64, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9956656388348921, 'batch_size': 23, 'attention_heads': 10, 'hidden_dimension': 135, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5037654536038453, 'global_pooling': 'sum', 'learning_rate': 0.0028159219640786636, 'weight_decay': 5.1042103318626126e-05, 'beta_0': 0.8540669036124794, 'beta_1': 0.9815532840826591, 'epsilon': 1.7765413264012849e-06, 'balanced_loss': True, 'epochs': 105, 'early_stopping_patience': 24, 'plateau_patience': 21, 'plateau_divider': 5}. Best is trial 126 with value: 0.9333333333333333.
[I 2024-12-03 14:06:33,644] Trial 174 finished with value: 0.9090909090909091 and parameters: {'left_stride': 64, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9535974497821571, 'batch_size': 24, 'attention_heads': 9, 'hidden_dimension': 129, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5151268218440048, 'global_pooling': 'sum', 'learning_rate': 0.004593000626102537, 'weight_decay': 3.214434793971619e-05, 'beta_0': 0.8440402298004279, 'beta_1': 0.9822086337267986, 'epsilon': 1.8690898597059723e-05, 'balanced_loss': True, 'epochs': 98, 'early_stopping_patience': 25, 'plateau_patience': 21, 'plateau_divider': 5}. Best is trial 126 with value: 0.9333333333333333.
[I 2024-12-03 14:18:01,152] Trial 175 finished with value: 0.9030303030303031 and parameters: {'left_stride': 64, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9500998683152007, 'batch_size': 27, 'attention_heads': 9, 'hidden_dimension': 142, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5430714859943896, 'global_pooling': 'sum', 'learning_rate': 0.003642620472500672, 'weight_decay': 4.03500895990383e-05, 'beta_0': 0.8654448065742046, 'beta_1': 0.983030205670039, 'epsilon': 2.8245133115989297e-06, 'balanced_loss': True, 'epochs': 113, 'early_stopping_patience': 24, 'plateau_patience': 20, 'plateau_divider': 5}. Best is trial 126 with value: 0.9333333333333333.
[I 2024-12-03 14:28:40,447] Trial 176 finished with value: 0.9151515151515152 and parameters: {'left_stride': 64, 'right_stride': 256, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9525541468553946, 'batch_size': 20, 'attention_heads': 9, 'hidden_dimension': 122, 'number_of_hidden_layers': 2, 'dropout_rate': 0.49833277096090906, 'global_pooling': 'sum', 'learning_rate': 0.002157588586565628, 'weight_decay': 0.0002686269134664768, 'beta_0': 0.8480801894721454, 'beta_1': 0.9895510839200664, 'epsilon': 2.4839158513037786e-05, 'balanced_loss': True, 'epochs': 100, 'early_stopping_patience': 25, 'plateau_patience': 11, 'plateau_divider': 5}. Best is trial 126 with value: 0.9333333333333333.
[I 2024-12-03 14:36:13,405] Trial 177 finished with value: 0.9030303030303031 and parameters: {'left_stride': 64, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.9479614634190773, 'batch_size': 26, 'attention_heads': 4, 'hidden_dimension': 161, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5075233755489011, 'global_pooling': 'mean', 'learning_rate': 0.0025264989791328233, 'weight_decay': 5.589265412484359e-05, 'beta_0': 0.8514809059903823, 'beta_1': 0.9817383314587192, 'epsilon': 1.9661001907092043e-06, 'balanced_loss': True, 'epochs': 108, 'early_stopping_patience': 23, 'plateau_patience': 22, 'plateau_divider': 3}. Best is trial 126 with value: 0.9333333333333333.
[I 2024-12-03 14:45:31,851] Trial 178 finished with value: 0.9030303030303031 and parameters: {'left_stride': 128, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9562187161670564, 'batch_size': 39, 'attention_heads': 8, 'hidden_dimension': 111, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5114860332430918, 'global_pooling': 'sum', 'learning_rate': 0.0015463037145401733, 'weight_decay': 2.862234942291788e-05, 'beta_0': 0.8330233572111274, 'beta_1': 0.9863712255001891, 'epsilon': 3.8723886140508426e-05, 'balanced_loss': False, 'epochs': 200, 'early_stopping_patience': 25, 'plateau_patience': 18, 'plateau_divider': 4}. Best is trial 126 with value: 0.9333333333333333.
[I 2024-12-03 14:53:04,159] Trial 179 finished with value: 0.5393939393939394 and parameters: {'left_stride': 256, 'right_stride': 64, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.9510908395232218, 'batch_size': 22, 'attention_heads': 4, 'hidden_dimension': 148, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5208389025165334, 'global_pooling': 'mean', 'learning_rate': 0.008568028720515698, 'weight_decay': 2.1792538090742645e-06, 'beta_0': 0.859834847215601, 'beta_1': 0.9805560960995333, 'epsilon': 1.3496737711719121e-06, 'balanced_loss': True, 'epochs': 127, 'early_stopping_patience': 21, 'plateau_patience': 21, 'plateau_divider': 8}. Best is trial 126 with value: 0.9333333333333333.
[I 2024-12-03 15:00:38,605] Trial 180 finished with value: 0.9151515151515152 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.93567121774197, 'batch_size': 33, 'attention_heads': 5, 'hidden_dimension': 116, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5513761394708614, 'global_pooling': 'mean', 'learning_rate': 0.0008245178290260264, 'weight_decay': 8.39887463982792e-05, 'beta_0': 0.8574606076228003, 'beta_1': 0.9826735209861464, 'epsilon': 9.73238226797443e-07, 'balanced_loss': False, 'epochs': 94, 'early_stopping_patience': 24, 'plateau_patience': 10, 'plateau_divider': 5}. Best is trial 126 with value: 0.9333333333333333.
[I 2024-12-03 15:09:11,560] Trial 181 finished with value: 0.896969696969697 and parameters: {'left_stride': 32, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.9597041620784673, 'batch_size': 37, 'attention_heads': 10, 'hidden_dimension': 95, 'number_of_hidden_layers': 2, 'dropout_rate': 0.49361620730449574, 'global_pooling': 'sum', 'learning_rate': 0.0018840956250165436, 'weight_decay': 4.464767236235738e-05, 'beta_0': 0.8493247491407151, 'beta_1': 0.9855038165241532, 'epsilon': 3.066201799745359e-06, 'balanced_loss': True, 'epochs': 196, 'early_stopping_patience': 23, 'plateau_patience': 21, 'plateau_divider': 4}. Best is trial 126 with value: 0.9333333333333333.
[I 2024-12-03 15:19:04,216] Trial 182 finished with value: 0.9151515151515152 and parameters: {'left_stride': 64, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.9574191895380043, 'batch_size': 36, 'attention_heads': 8, 'hidden_dimension': 111, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4879284971002495, 'global_pooling': 'sum', 'learning_rate': 0.0007527653327890583, 'weight_decay': 9.067221578439939e-06, 'beta_0': 0.8624016819678406, 'beta_1': 0.9822605542895445, 'epsilon': 2.299260636551633e-06, 'balanced_loss': True, 'epochs': 71, 'early_stopping_patience': 25, 'plateau_patience': 21, 'plateau_divider': 5}. Best is trial 126 with value: 0.9333333333333333.
[I 2024-12-03 15:27:58,427] Trial 183 finished with value: 0.896969696969697 and parameters: {'left_stride': 64, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.9536910246439853, 'batch_size': 35, 'attention_heads': 8, 'hidden_dimension': 103, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4801343011984326, 'global_pooling': 'sum', 'learning_rate': 0.0005887107640872681, 'weight_decay': 3.7397521448330744e-05, 'beta_0': 0.8602021578188904, 'beta_1': 0.9825904544854785, 'epsilon': 3.991843331856273e-06, 'balanced_loss': True, 'epochs': 104, 'early_stopping_patience': 25, 'plateau_patience': 21, 'plateau_divider': 5}. Best is trial 126 with value: 0.9333333333333333.
[I 2024-12-03 15:36:57,706] Trial 184 finished with value: 0.9212121212121213 and parameters: {'left_stride': 64, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.9625376588639292, 'batch_size': 34, 'attention_heads': 8, 'hidden_dimension': 125, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4995542140265739, 'global_pooling': 'sum', 'learning_rate': 0.0010851388882438748, 'weight_decay': 2.7528407860695936e-06, 'beta_0': 0.8561873379535971, 'beta_1': 0.9961759790403083, 'epsilon': 2.458123139652505e-06, 'balanced_loss': True, 'epochs': 120, 'early_stopping_patience': 25, 'plateau_patience': 21, 'plateau_divider': 5}. Best is trial 126 with value: 0.9333333333333333.
[I 2024-12-03 15:44:42,552] Trial 185 finished with value: 0.8848484848484849 and parameters: {'left_stride': 64, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.9659717502141769, 'batch_size': 46, 'attention_heads': 7, 'hidden_dimension': 118, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5070672621912683, 'global_pooling': 'sum', 'learning_rate': 0.0032457787207391454, 'weight_decay': 7.733483156882345e-06, 'beta_0': 0.868283632400726, 'beta_1': 0.9820819046546498, 'epsilon': 2.513053153691712e-06, 'balanced_loss': True, 'epochs': 61, 'early_stopping_patience': 24, 'plateau_patience': 22, 'plateau_divider': 5}. Best is trial 126 with value: 0.9333333333333333.
[I 2024-12-03 15:53:33,760] Trial 186 finished with value: 0.9030303030303031 and parameters: {'left_stride': 64, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.9553482342994319, 'batch_size': 36, 'attention_heads': 8, 'hidden_dimension': 107, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4956068939024775, 'global_pooling': 'sum', 'learning_rate': 0.001456842302995936, 'weight_decay': 6.24906243617864e-05, 'beta_0': 0.8616286319065065, 'beta_1': 0.9813682605965913, 'epsilon': 1.5998944921321287e-06, 'balanced_loss': True, 'epochs': 192, 'early_stopping_patience': 22, 'plateau_patience': 20, 'plateau_divider': 6}. Best is trial 126 with value: 0.9333333333333333.
