[I 2024-11-23 03:14:46,105] Using an existing study with name 'IMDb-top_1000-GAT-google-bert-bert-base-uncased-Grouped-No_Aggregation' instead of creating a new one.
Token indices sequence length is longer than the specified maximum sequence length for this model (1147 > 512). Running this sequence through the model will result in indexing errors
[I 2024-11-23 03:21:50,270] Trial 150 finished with value: 0.8727272727272727 and parameters: {'left_stride': 64, 'right_stride': 128, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.9226759646604559, 'batch_size': 45, 'attention_heads': 7, 'hidden_dimension': 208, 'number_of_hidden_layers': 0, 'dropout_rate': 0.4453193742840852, 'global_pooling': 'sum', 'learning_rate': 0.001272323368716927, 'weight_decay': 0.0003572203663915397, 'beta_0': 0.8698324915964912, 'beta_1': 0.9881141992631104, 'epsilon': 7.545743072208948e-08, 'balanced_loss': True, 'epochs': 158, 'early_stopping_patience': 23, 'plateau_patience': 10, 'plateau_divider': 3}. Best is trial 87 with value: 0.9272727272727272.
[I 2024-11-23 07:10:07,616] Trial 186 finished with value: 0.8909090909090909 and parameters: {'left_stride': 128, 'right_stride': 128, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.9191226953775808, 'batch_size': 46, 'attention_heads': 12, 'hidden_dimension': 57, 'number_of_hidden_layers': 0, 'dropout_rate': 0.48609967215327515, 'global_pooling': 'mean', 'learning_rate': 0.002464056064244491, 'weight_decay': 0.0001669773392034352, 'beta_0': 0.8814672183929768, 'beta_1': 0.9899513395931386, 'epsilon': 1.1366424251454844e-07, 'balanced_loss': True, 'epochs': 79, 'early_stopping_patience': 24, 'plateau_patience': 11, 'plateau_divider': 2}. Best is trial 87 with value: 0.9272727272727272.
[I 2024-11-23 07:19:11,900] Trial 187 finished with value: 0.9151515151515152 and parameters: {'left_stride': 64, 'right_stride': 128, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.9158413707589795, 'batch_size': 42, 'attention_heads': 6, 'hidden_dimension': 202, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4644095270889577, 'global_pooling': 'mean', 'learning_rate': 0.0007626690804528498, 'weight_decay': 0.00011257406278695845, 'beta_0': 0.8787967240990361, 'beta_1': 0.9933131321351504, 'epsilon': 6.021573195460768e-08, 'balanced_loss': True, 'epochs': 95, 'early_stopping_patience': 25, 'plateau_patience': 14, 'plateau_divider': 4}. Best is trial 87 with value: 0.9272727272727272.
[I 2024-11-23 07:25:04,282] Trial 188 finished with value: 0.896969696969697 and parameters: {'left_stride': 64, 'right_stride': 0, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.9355520694032976, 'batch_size': 44, 'attention_heads': 6, 'hidden_dimension': 194, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5020684050360744, 'global_pooling': 'mean', 'learning_rate': 0.0011589904437777445, 'weight_decay': 0.00013584278007789137, 'beta_0': 0.8692891292408996, 'beta_1': 0.9928123349965975, 'epsilon': 1.9632561853423956e-05, 'balanced_loss': True, 'epochs': 90, 'early_stopping_patience': 25, 'plateau_patience': 10, 'plateau_divider': 2}. Best is trial 87 with value: 0.9272727272727272.
[I 2024-11-23 07:30:40,143] Trial 189 finished with value: 0.9090909090909091 and parameters: {'left_stride': 64, 'right_stride': 128, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.9075343102078606, 'batch_size': 30, 'attention_heads': 8, 'hidden_dimension': 67, 'number_of_hidden_layers': 0, 'dropout_rate': 0.47477530390899236, 'global_pooling': 'mean', 'learning_rate': 0.0020367052616438704, 'weight_decay': 0.00022763340286553909, 'beta_0': 0.8618725532692759, 'beta_1': 0.9906035506037082, 'epsilon': 8.873073467470152e-08, 'balanced_loss': True, 'epochs': 100, 'early_stopping_patience': 24, 'plateau_patience': 10, 'plateau_divider': 2}. Best is trial 87 with value: 0.9272727272727272.
[I 2024-11-23 07:36:41,301] Trial 190 finished with value: 0.9030303030303031 and parameters: {'left_stride': 64, 'right_stride': 128, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.9330855182723686, 'batch_size': 36, 'attention_heads': 6, 'hidden_dimension': 211, 'number_of_hidden_layers': 0, 'dropout_rate': 0.49268344051671176, 'global_pooling': 'mean', 'learning_rate': 0.0028409908342660255, 'weight_decay': 0.0007829570106867034, 'beta_0': 0.8749523128649275, 'beta_1': 0.991250640487774, 'epsilon': 3.372860782785217e-08, 'balanced_loss': True, 'epochs': 87, 'early_stopping_patience': 25, 'plateau_patience': 12, 'plateau_divider': 4}. Best is trial 87 with value: 0.9272727272727272.
[I 2024-11-23 07:43:47,303] Trial 191 finished with value: 0.896969696969697 and parameters: {'left_stride': 256, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.9209530007339591, 'batch_size': 45, 'attention_heads': 5, 'hidden_dimension': 182, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5071400584465987, 'global_pooling': 'mean', 'learning_rate': 0.0016174579627135216, 'weight_decay': 0.0005008759094669372, 'beta_0': 0.872144746689852, 'beta_1': 0.9877987284811793, 'epsilon': 7.414424683484455e-08, 'balanced_loss': True, 'epochs': 140, 'early_stopping_patience': 24, 'plateau_patience': 10, 'plateau_divider': 4}. Best is trial 87 with value: 0.9272727272727272.
[I 2024-11-23 07:49:57,857] Trial 192 finished with value: 0.9090909090909091 and parameters: {'left_stride': 64, 'right_stride': 128, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.9240400172987935, 'batch_size': 42, 'attention_heads': 7, 'hidden_dimension': 201, 'number_of_hidden_layers': 0, 'dropout_rate': 0.4808670415879555, 'global_pooling': 'mean', 'learning_rate': 0.0022672703413648713, 'weight_decay': 6.242009621894048e-05, 'beta_0': 0.8776093513897545, 'beta_1': 0.9948881657970472, 'epsilon': 6.739287198219087e-08, 'balanced_loss': True, 'epochs': 57, 'early_stopping_patience': 24, 'plateau_patience': 13, 'plateau_divider': 3}. Best is trial 87 with value: 0.9272727272727272.
[I 2024-11-23 07:56:01,181] Trial 193 finished with value: 0.9030303030303031 and parameters: {'left_stride': 64, 'right_stride': 128, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.9299960134370086, 'batch_size': 40, 'attention_heads': 7, 'hidden_dimension': 199, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5211978353721738, 'global_pooling': 'mean', 'learning_rate': 0.003577990477671197, 'weight_decay': 0.00010262158972638103, 'beta_0': 0.8780918066315456, 'beta_1': 0.9936782783248992, 'epsilon': 4.765054673169622e-08, 'balanced_loss': True, 'epochs': 68, 'early_stopping_patience': 23, 'plateau_patience': 13, 'plateau_divider': 3}. Best is trial 87 with value: 0.9272727272727272.
[I 2024-11-23 08:02:07,410] Trial 194 finished with value: 0.9090909090909091 and parameters: {'left_stride': 64, 'right_stride': 128, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.9284860105976652, 'batch_size': 39, 'attention_heads': 7, 'hidden_dimension': 188, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5398529970720097, 'global_pooling': 'mean', 'learning_rate': 0.0026443979393592663, 'weight_decay': 0.00012279257539247486, 'beta_0': 0.8671162267708928, 'beta_1': 0.9956090769954412, 'epsilon': 1.2528825733873519e-08, 'balanced_loss': True, 'epochs': 98, 'early_stopping_patience': 22, 'plateau_patience': 14, 'plateau_divider': 3}. Best is trial 87 with value: 0.9272727272727272.
[I 2024-11-23 08:08:30,425] Trial 195 finished with value: 0.9151515151515152 and parameters: {'left_stride': 64, 'right_stride': 128, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.9228589379708034, 'batch_size': 42, 'attention_heads': 8, 'hidden_dimension': 207, 'number_of_hidden_layers': 0, 'dropout_rate': 0.4981315133085395, 'global_pooling': 'mean', 'learning_rate': 0.002131138836979967, 'weight_decay': 0.000152757763401793, 'beta_0': 0.8800419769922748, 'beta_1': 0.9894836772615733, 'epsilon': 9.688055297098458e-08, 'balanced_loss': True, 'epochs': 75, 'early_stopping_patience': 25, 'plateau_patience': 11, 'plateau_divider': 3}. Best is trial 87 with value: 0.9272727272727272.
[I 2024-11-23 08:14:38,417] Trial 196 finished with value: 0.9030303030303031 and parameters: {'left_stride': 64, 'right_stride': 128, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.931604350153486, 'batch_size': 44, 'attention_heads': 7, 'hidden_dimension': 196, 'number_of_hidden_layers': 0, 'dropout_rate': 0.3087754452466251, 'global_pooling': 'mean', 'learning_rate': 0.0006762980495088037, 'weight_decay': 0.00011451541146792824, 'beta_0': 0.8761116740090304, 'beta_1': 0.9986182957283527, 'epsilon': 1.5859375697745158e-08, 'balanced_loss': True, 'epochs': 93, 'early_stopping_patience': 25, 'plateau_patience': 23, 'plateau_divider': 2}. Best is trial 87 with value: 0.9272727272727272.
[I 2024-11-23 08:20:48,316] Trial 197 finished with value: 0.9090909090909091 and parameters: {'left_stride': 64, 'right_stride': 128, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.918122070061696, 'batch_size': 41, 'attention_heads': 7, 'hidden_dimension': 191, 'number_of_hidden_layers': 0, 'dropout_rate': 0.4885013109894828, 'global_pooling': 'mean', 'learning_rate': 0.0012705314116679552, 'weight_decay': 0.0009950390133082298, 'beta_0': 0.8709200340162189, 'beta_1': 0.988860769937961, 'epsilon': 7.473621492624778e-08, 'balanced_loss': True, 'epochs': 83, 'early_stopping_patience': 20, 'plateau_patience': 12, 'plateau_divider': 3}. Best is trial 87 with value: 0.9272727272727272.
[I 2024-11-23 08:27:12,043] Trial 198 finished with value: 0.896969696969697 and parameters: {'left_stride': 64, 'right_stride': 128, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.9250678112176425, 'batch_size': 43, 'attention_heads': 8, 'hidden_dimension': 205, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5119154670664003, 'global_pooling': 'mean', 'learning_rate': 0.003267984068819846, 'weight_decay': 0.0002977205343638168, 'beta_0': 0.8735402700836818, 'beta_1': 0.9920736766300887, 'epsilon': 1.7166277876519795e-07, 'balanced_loss': True, 'epochs': 179, 'early_stopping_patience': 23, 'plateau_patience': 13, 'plateau_divider': 4}. Best is trial 87 with value: 0.9272727272727272.
[I 2024-11-23 08:34:02,620] Trial 199 finished with value: 0.896969696969697 and parameters: {'left_stride': 64, 'right_stride': 256, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.9208502388225942, 'batch_size': 46, 'attention_heads': 6, 'hidden_dimension': 186, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5283895239470658, 'global_pooling': 'mean', 'learning_rate': 0.00033642980803896225, 'weight_decay': 0.0007163955511218374, 'beta_0': 0.8639522110503179, 'beta_1': 0.9916427586450041, 'epsilon': 5.6561775877750946e-08, 'balanced_loss': True, 'epochs': 96, 'early_stopping_patience': 25, 'plateau_patience': 21, 'plateau_divider': 4}. Best is trial 87 with value: 0.9272727272727272.
[I 2024-11-23 08:40:19,144] Trial 200 finished with value: 0.8787878787878788 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'max', 'threshold': 0.9051697238918152, 'batch_size': 48, 'attention_heads': 6, 'hidden_dimension': 198, 'number_of_hidden_layers': 0, 'dropout_rate': 0.47153050683360875, 'global_pooling': 'mean', 'learning_rate': 0.002299643587310101, 'weight_decay': 0.00017973259788494126, 'beta_0': 0.8824751828799893, 'beta_1': 0.9927570540445505, 'epsilon': 6.110847668866701e-05, 'balanced_loss': True, 'epochs': 90, 'early_stopping_patience': 22, 'plateau_patience': 12, 'plateau_divider': 2}. Best is trial 87 with value: 0.9272727272727272.
[I 2024-11-23 08:45:55,853] Trial 201 finished with value: 0.8909090909090909 and parameters: {'left_stride': 64, 'right_stride': 128, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.9368665266948926, 'batch_size': 39, 'attention_heads': 5, 'hidden_dimension': 176, 'number_of_hidden_layers': 0, 'dropout_rate': 0.4834455460264865, 'global_pooling': 'mean', 'learning_rate': 0.004349660912639857, 'weight_decay': 0.0008624289693964899, 'beta_0': 0.8594056060520862, 'beta_1': 0.9951979925909741, 'epsilon': 1.3306925280298686e-07, 'balanced_loss': True, 'epochs': 170, 'early_stopping_patience': 24, 'plateau_patience': 15, 'plateau_divider': 3}. Best is trial 87 with value: 0.9272727272727272.
[I 2024-11-23 08:51:50,083] Trial 202 finished with value: 0.9090909090909091 and parameters: {'left_stride': 64, 'right_stride': 128, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.9259517317070715, 'batch_size': 42, 'attention_heads': 6, 'hidden_dimension': 194, 'number_of_hidden_layers': 0, 'dropout_rate': 0.4790291880232078, 'global_pooling': 'mean', 'learning_rate': 0.002792453230178373, 'weight_decay': 0.0006168066529930418, 'beta_0': 0.8697280005738641, 'beta_1': 0.9941082768917064, 'epsilon': 2.717481160222142e-07, 'balanced_loss': True, 'epochs': 101, 'early_stopping_patience': 23, 'plateau_patience': 10, 'plateau_divider': 3}. Best is trial 87 with value: 0.9272727272727272.
[I 2024-11-23 08:57:52,237] Trial 203 finished with value: 0.9090909090909091 and parameters: {'left_stride': 64, 'right_stride': 128, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.9280803888337069, 'batch_size': 44, 'attention_heads': 6, 'hidden_dimension': 191, 'number_of_hidden_layers': 0, 'dropout_rate': 0.49437995072615515, 'global_pooling': 'mean', 'learning_rate': 0.0017856713636483967, 'weight_decay': 0.0007879170668770441, 'beta_0': 0.8662596158341417, 'beta_1': 0.9947998559599582, 'epsilon': 1.829038302670767e-07, 'balanced_loss': True, 'epochs': 93, 'early_stopping_patience': 23, 'plateau_patience': 10, 'plateau_divider': 3}. Best is trial 87 with value: 0.9272727272727272.
[I 2024-11-23 09:03:44,252] Trial 204 finished with value: 0.9151515151515152 and parameters: {'left_stride': 64, 'right_stride': 128, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.9317359697298456, 'batch_size': 47, 'attention_heads': 6, 'hidden_dimension': 180, 'number_of_hidden_layers': 0, 'dropout_rate': 0.4831510840385137, 'global_pooling': 'mean', 'learning_rate': 0.0031134970564015703, 'weight_decay': 0.0005522171679853428, 'beta_0': 0.8743282238848172, 'beta_1': 0.9945256936246059, 'epsilon': 3.6993659744438814e-07, 'balanced_loss': True, 'epochs': 97, 'early_stopping_patience': 23, 'plateau_patience': 10, 'plateau_divider': 3}. Best is trial 87 with value: 0.9272727272727272.
[I 2024-11-23 09:09:31,985] Trial 205 finished with value: 0.9151515151515152 and parameters: {'left_stride': 64, 'right_stride': 128, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.9275168382012114, 'batch_size': 45, 'attention_heads': 5, 'hidden_dimension': 201, 'number_of_hidden_layers': 0, 'dropout_rate': 0.502865886857736, 'global_pooling': 'mean', 'learning_rate': 0.0009755473411789585, 'weight_decay': 0.0006355575344821454, 'beta_0': 0.8772781166668405, 'beta_1': 0.9937702718929298, 'epsilon': 2.2671531637151504e-07, 'balanced_loss': True, 'epochs': 104, 'early_stopping_patience': 18, 'plateau_patience': 10, 'plateau_divider': 3}. Best is trial 87 with value: 0.9272727272727272.
[I 2024-11-23 09:15:27,174] Trial 206 finished with value: 0.8909090909090909 and parameters: {'left_stride': 64, 'right_stride': 32, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.9260911028688318, 'batch_size': 40, 'attention_heads': 7, 'hidden_dimension': 196, 'number_of_hidden_layers': 0, 'dropout_rate': 0.4897162053931269, 'global_pooling': 'mean', 'learning_rate': 0.0024331775821225567, 'weight_decay': 0.0007339419230127479, 'beta_0': 0.862879503661574, 'beta_1': 0.9931966391499507, 'epsilon': 1.1357085236582095e-07, 'balanced_loss': True, 'epochs': 88, 'early_stopping_patience': 25, 'plateau_patience': 11, 'plateau_divider': 3}. Best is trial 87 with value: 0.9272727272727272.
[I 2024-11-23 09:21:41,999] Trial 207 finished with value: 0.9212121212121213 and parameters: {'left_stride': 64, 'right_stride': 128, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.9235442455932702, 'batch_size': 18, 'attention_heads': 6, 'hidden_dimension': 254, 'number_of_hidden_layers': 0, 'dropout_rate': 0.4758026155724239, 'global_pooling': 'mean', 'learning_rate': 0.0005013087607365433, 'weight_decay': 0.00012197343228521224, 'beta_0': 0.8724273597966181, 'beta_1': 0.995316386471503, 'epsilon': 8.2990572015438e-08, 'balanced_loss': True, 'epochs': 100, 'early_stopping_patience': 22, 'plateau_patience': 10, 'plateau_divider': 4}. Best is trial 87 with value: 0.9272727272727272.
[I 2024-11-23 09:28:32,727] Trial 208 finished with value: 0.8424242424242424 and parameters: {'left_stride': 64, 'right_stride': 128, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.9234449789542034, 'batch_size': 38, 'attention_heads': 7, 'hidden_dimension': 244, 'number_of_hidden_layers': 0, 'dropout_rate': 0.46248206246665946, 'global_pooling': 'max', 'learning_rate': 0.0004143874820039108, 'weight_decay': 8.860014008057398e-05, 'beta_0': 0.8721827511296145, 'beta_1': 0.9959314179690228, 'epsilon': 9.19046535363262e-08, 'balanced_loss': True, 'epochs': 95, 'early_stopping_patience': 22, 'plateau_patience': 11, 'plateau_divider': 4}. Best is trial 87 with value: 0.9272727272727272.
[I 2024-11-23 09:34:38,152] Trial 209 finished with value: 0.896969696969697 and parameters: {'left_stride': 64, 'right_stride': 128, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.9197578079553478, 'batch_size': 42, 'attention_heads': 6, 'hidden_dimension': 185, 'number_of_hidden_layers': 0, 'dropout_rate': 0.46810281442350715, 'global_pooling': 'mean', 'learning_rate': 0.0006322401510091817, 'weight_decay': 0.0001293376296498918, 'beta_0': 0.8516642909619475, 'beta_1': 0.9957455680686355, 'epsilon': 6.307514629490854e-08, 'balanced_loss': True, 'epochs': 99, 'early_stopping_patience': 22, 'plateau_patience': 10, 'plateau_divider': 4}. Best is trial 87 with value: 0.9272727272727272.
[I 2024-11-23 09:41:23,963] Trial 210 finished with value: 0.9090909090909091 and parameters: {'left_stride': 64, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9155272415477627, 'batch_size': 46, 'attention_heads': 5, 'hidden_dimension': 104, 'number_of_hidden_layers': 0, 'dropout_rate': 0.45168164359184804, 'global_pooling': 'mean', 'learning_rate': 0.0005305716064928628, 'weight_decay': 0.00010209468865685957, 'beta_0': 0.8703869858683647, 'beta_1': 0.9886766672007121, 'epsilon': 8.045337714068922e-08, 'balanced_loss': True, 'epochs': 91, 'early_stopping_patience': 25, 'plateau_patience': 10, 'plateau_divider': 4}. Best is trial 87 with value: 0.9272727272727272.
[I 2024-11-23 09:46:54,649] Trial 211 finished with value: 0.896969696969697 and parameters: {'left_stride': 0, 'right_stride': 128, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.9132234420723245, 'batch_size': 43, 'attention_heads': 6, 'hidden_dimension': 84, 'number_of_hidden_layers': 0, 'dropout_rate': 0.4757033393181582, 'global_pooling': 'mean', 'learning_rate': 0.0004637235283377456, 'weight_decay': 0.0001629495120935265, 'beta_0': 0.8674599564953708, 'beta_1': 0.9954753342372437, 'epsilon': 5.31238509255962e-08, 'balanced_loss': False, 'epochs': 176, 'early_stopping_patience': 24, 'plateau_patience': 11, 'plateau_divider': 4}. Best is trial 87 with value: 0.9272727272727272.
[I 2024-11-23 09:52:47,808] Trial 212 finished with value: 0.9151515151515152 and parameters: {'left_stride': 64, 'right_stride': 128, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.9225317827762877, 'batch_size': 19, 'attention_heads': 6, 'hidden_dimension': 191, 'number_of_hidden_layers': 0, 'dropout_rate': 0.4835036594757453, 'global_pooling': 'mean', 'learning_rate': 0.001959040611877304, 'weight_decay': 0.00014855383236373108, 'beta_0': 0.86484867806468, 'beta_1': 0.995100195404774, 'epsilon': 1.4566558212796777e-07, 'balanced_loss': True, 'epochs': 102, 'early_stopping_patience': 23, 'plateau_patience': 10, 'plateau_divider': 4}. Best is trial 87 with value: 0.9272727272727272.
[I 2024-11-23 09:59:02,413] Trial 213 finished with value: 0.9212121212121213 and parameters: {'left_stride': 64, 'right_stride': 128, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.9292810267323561, 'batch_size': 41, 'attention_heads': 6, 'hidden_dimension': 251, 'number_of_hidden_layers': 0, 'dropout_rate': 0.47602817730976904, 'global_pooling': 'mean', 'learning_rate': 0.000768846170031027, 'weight_decay': 0.00011947855451035469, 'beta_0': 0.8754497140953003, 'beta_1': 0.9943898461108825, 'epsilon': 1.0968326994555355e-07, 'balanced_loss': True, 'epochs': 95, 'early_stopping_patience': 23, 'plateau_patience': 10, 'plateau_divider': 3}. Best is trial 87 with value: 0.9272727272727272.
[I 2024-11-23 10:05:04,907] Trial 214 finished with value: 0.9090909090909091 and parameters: {'left_stride': 64, 'right_stride': 128, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.9301010783944132, 'batch_size': 41, 'attention_heads': 7, 'hidden_dimension': 180, 'number_of_hidden_layers': 0, 'dropout_rate': 0.4747553456366649, 'global_pooling': 'mean', 'learning_rate': 0.0007001215095468034, 'weight_decay': 0.00011828554042399501, 'beta_0': 0.8760963153460227, 'beta_1': 0.9946041726764834, 'epsilon': 1.0347979882599522e-07, 'balanced_loss': True, 'epochs': 94, 'early_stopping_patience': 23, 'plateau_patience': 22, 'plateau_divider': 3}. Best is trial 87 with value: 0.9272727272727272.
[I 2024-11-23 10:11:05,216] Trial 215 finished with value: 0.9090909090909091 and parameters: {'left_stride': 64, 'right_stride': 128, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.9340010212785606, 'batch_size': 40, 'attention_heads': 6, 'hidden_dimension': 243, 'number_of_hidden_layers': 0, 'dropout_rate': 0.49738165445685284, 'global_pooling': 'mean', 'learning_rate': 0.0008394352585789298, 'weight_decay': 0.00013978651913958305, 'beta_0': 0.8801258211721887, 'beta_1': 0.9939781457683313, 'epsilon': 7.717156813153743e-08, 'balanced_loss': True, 'epochs': 85, 'early_stopping_patience': 22, 'plateau_patience': 10, 'plateau_divider': 2}. Best is trial 87 with value: 0.9272727272727272.
[I 2024-11-23 10:17:32,610] Trial 216 finished with value: 0.9151515151515152 and parameters: {'left_stride': 64, 'right_stride': 128, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.9181942964626312, 'batch_size': 44, 'attention_heads': 6, 'hidden_dimension': 253, 'number_of_hidden_layers': 0, 'dropout_rate': 0.4676332234991614, 'global_pooling': 'mean', 'learning_rate': 0.0005887107640872681, 'weight_decay': 0.00010781406617370075, 'beta_0': 0.8736882672069827, 'beta_1': 0.9951272045653079, 'epsilon': 1.2357217156742563e-07, 'balanced_loss': True, 'epochs': 98, 'early_stopping_patience': 25, 'plateau_patience': 10, 'plateau_divider': 4}. Best is trial 87 with value: 0.9272727272727272.
[I 2024-11-23 10:23:35,146] Trial 217 finished with value: 0.8909090909090909 and parameters: {'left_stride': 64, 'right_stride': 128, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.9251886540195357, 'batch_size': 41, 'attention_heads': 5, 'hidden_dimension': 249, 'number_of_hidden_layers': 0, 'dropout_rate': 0.48996226834784157, 'global_pooling': 'mean', 'learning_rate': 0.0010862453708313537, 'weight_decay': 9.224056150470151e-05, 'beta_0': 0.8749134650053859, 'beta_1': 0.9921970999258443, 'epsilon': 8.872466593841417e-08, 'balanced_loss': True, 'epochs': 50, 'early_stopping_patience': 24, 'plateau_patience': 11, 'plateau_divider': 3}. Best is trial 87 with value: 0.9272727272727272.
[I 2024-11-23 10:30:28,971] Trial 218 finished with value: 0.8424242424242424 and parameters: {'left_stride': 64, 'right_stride': 128, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.9203059800526304, 'batch_size': 43, 'attention_heads': 8, 'hidden_dimension': 233, 'number_of_hidden_layers': 0, 'dropout_rate': 0.4772131324021652, 'global_pooling': 'sum', 'learning_rate': 0.0014898498191432026, 'weight_decay': 0.0001413188425161032, 'beta_0': 0.8772242202277191, 'beta_1': 0.9910187482999556, 'epsilon': 6.80992978499773e-08, 'balanced_loss': True, 'epochs': 164, 'early_stopping_patience': 25, 'plateau_patience': 24, 'plateau_divider': 4}. Best is trial 87 with value: 0.9272727272727272.
[I 2024-11-23 10:36:32,920] Trial 219 finished with value: 0.9272727272727272 and parameters: {'left_stride': 64, 'right_stride': 128, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.9294813643080522, 'batch_size': 45, 'attention_heads': 6, 'hidden_dimension': 209, 'number_of_hidden_layers': 0, 'dropout_rate': 0.45797840778642884, 'global_pooling': 'mean', 'learning_rate': 0.0007958967401463854, 'weight_decay': 0.0002078992838309997, 'beta_0': 0.8726162048538235, 'beta_1': 0.9964040696860463, 'epsilon': 3.117483083483336e-06, 'balanced_loss': True, 'epochs': 92, 'early_stopping_patience': 24, 'plateau_patience': 10, 'plateau_divider': 3}. Best is trial 87 with value: 0.9272727272727272.
[I 2024-11-23 10:43:23,227] Trial 220 finished with value: 0.896969696969697 and parameters: {'left_stride': 64, 'right_stride': 256, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.9290764492056723, 'batch_size': 45, 'attention_heads': 6, 'hidden_dimension': 252, 'number_of_hidden_layers': 0, 'dropout_rate': 0.46156598622280287, 'global_pooling': 'mean', 'learning_rate': 0.0008175165898874078, 'weight_decay': 0.00019149537361711657, 'beta_0': 0.8718790007086035, 'beta_1': 0.9964634850731318, 'epsilon': 8.606628609359604e-07, 'balanced_loss': True, 'epochs': 91, 'early_stopping_patience': 24, 'plateau_patience': 10, 'plateau_divider': 5}. Best is trial 87 with value: 0.9272727272727272.
[I 2024-11-23 10:49:38,594] Trial 221 finished with value: 0.9090909090909091 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.9166474239000737, 'batch_size': 46, 'attention_heads': 6, 'hidden_dimension': 212, 'number_of_hidden_layers': 0, 'dropout_rate': 0.45667599583306956, 'global_pooling': 'mean', 'learning_rate': 0.0005032784205303007, 'weight_decay': 0.0002289535450293962, 'beta_0': 0.8673296101145288, 'beta_1': 0.9971167110443132, 'epsilon': 5.23329524521524e-07, 'balanced_loss': True, 'epochs': 134, 'early_stopping_patience': 24, 'plateau_patience': 10, 'plateau_divider': 2}. Best is trial 87 with value: 0.9272727272727272.
