Some weights of RobertaModel were not initialized from the model checkpoint at FacebookAI/roberta-large and are newly initialized: ['roberta.pooler.dense.bias', 'roberta.pooler.dense.weight']
You should probably TRAIN this model on a down-stream task to be able to use it for predictions and inference.
[I 2024-12-10 05:17:42,271] Using an existing study with name 'IMDb-top_1000-GATv2-FacebookAI-roberta-large-Grouped-No_Aggregation' instead of creating a new one.
Token indices sequence length is longer than the specified maximum sequence length for this model (1113 > 512). Running this sequence through the model will result in indexing errors
[I 2024-12-10 05:35:33,358] Trial 92 finished with value: 0.8909090909090909 and parameters: {'left_stride': 128, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9685611727326353, 'batch_size': 43, 'attention_heads': 11, 'hidden_dimension': 43, 'number_of_hidden_layers': 4, 'dropout_rate': 0.4444170702940206, 'global_pooling': 'max', 'learning_rate': 0.004588723754919075, 'weight_decay': 7.203821205189772e-06, 'beta_0': 0.8292291896419847, 'beta_1': 0.9811001250608548, 'epsilon': 1.3250791030197805e-06, 'balanced_loss': False, 'epochs': 165, 'early_stopping_patience': 13, 'plateau_patience': 19, 'plateau_divider': 8}. Best is trial 89 with value: 0.9454545454545454.
[I 2024-12-10 13:44:24,126] Trial 125 finished with value: 0.9454545454545454 and parameters: {'left_stride': 0, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.9443698595241774, 'batch_size': 22, 'attention_heads': 6, 'hidden_dimension': 32, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4827329537829972, 'global_pooling': 'mean', 'learning_rate': 0.003205560932083446, 'weight_decay': 3.3649204106596813e-05, 'beta_0': 0.8552267717904458, 'beta_1': 0.9849306240661497, 'epsilon': 1.0824921204198762e-06, 'balanced_loss': False, 'epochs': 194, 'early_stopping_patience': 20, 'plateau_patience': 16, 'plateau_divider': 3}. Best is trial 106 with value: 0.9575757575757575.
[I 2024-12-10 13:57:41,159] Trial 126 finished with value: 0.9454545454545454 and parameters: {'left_stride': 0, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.9440647114545906, 'batch_size': 24, 'attention_heads': 7, 'hidden_dimension': 68, 'number_of_hidden_layers': 1, 'dropout_rate': 0.49538679198301516, 'global_pooling': 'mean', 'learning_rate': 0.0031087467918428035, 'weight_decay': 4.403471060773053e-05, 'beta_0': 0.8532388573461822, 'beta_1': 0.9871446431816402, 'epsilon': 7.569995394084216e-07, 'balanced_loss': False, 'epochs': 193, 'early_stopping_patience': 20, 'plateau_patience': 16, 'plateau_divider': 3}. Best is trial 106 with value: 0.9575757575757575.
[I 2024-12-10 14:10:13,949] Trial 127 finished with value: 0.9393939393939394 and parameters: {'left_stride': 0, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.9441594083141179, 'batch_size': 23, 'attention_heads': 5, 'hidden_dimension': 32, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4964833434493432, 'global_pooling': 'mean', 'learning_rate': 0.0026549907882378386, 'weight_decay': 4.259619127130268e-05, 'beta_0': 0.8571542502446323, 'beta_1': 0.9878475652723367, 'epsilon': 7.265418169380935e-07, 'balanced_loss': False, 'epochs': 197, 'early_stopping_patience': 20, 'plateau_patience': 16, 'plateau_divider': 3}. Best is trial 106 with value: 0.9575757575757575.
[I 2024-12-10 14:23:07,912] Trial 128 finished with value: 0.9333333333333333 and parameters: {'left_stride': 0, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.9499296134346314, 'batch_size': 22, 'attention_heads': 6, 'hidden_dimension': 68, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4814873840149303, 'global_pooling': 'mean', 'learning_rate': 0.0033289806158823165, 'weight_decay': 3.447516898668563e-05, 'beta_0': 0.8414485198714728, 'beta_1': 0.9893067625959681, 'epsilon': 1.0766550889272418e-06, 'balanced_loss': False, 'epochs': 193, 'early_stopping_patience': 19, 'plateau_patience': 16, 'plateau_divider': 3}. Best is trial 106 with value: 0.9575757575757575.
[I 2024-12-10 14:36:32,894] Trial 129 finished with value: 0.9393939393939394 and parameters: {'left_stride': 0, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.9391504156051182, 'batch_size': 25, 'attention_heads': 7, 'hidden_dimension': 46, 'number_of_hidden_layers': 1, 'dropout_rate': 0.511356066770557, 'global_pooling': 'mean', 'learning_rate': 0.00401027377579767, 'weight_decay': 6.355486206467187e-05, 'beta_0': 0.852723226219647, 'beta_1': 0.9870636554003962, 'epsilon': 5.499181499810984e-07, 'balanced_loss': False, 'epochs': 190, 'early_stopping_patience': 21, 'plateau_patience': 15, 'plateau_divider': 2}. Best is trial 106 with value: 0.9575757575757575.
[I 2024-12-10 14:51:45,475] Trial 130 finished with value: 0.9333333333333333 and parameters: {'left_stride': 0, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.9362446434146178, 'batch_size': 17, 'attention_heads': 6, 'hidden_dimension': 49, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4891436373968113, 'global_pooling': 'sum', 'learning_rate': 0.0017177413159283664, 'weight_decay': 4.9643625879722546e-05, 'beta_0': 0.8542204830282291, 'beta_1': 0.9874158609504046, 'epsilon': 8.067705850361545e-07, 'balanced_loss': False, 'epochs': 188, 'early_stopping_patience': 20, 'plateau_patience': 18, 'plateau_divider': 3}. Best is trial 106 with value: 0.9575757575757575.
[I 2024-12-10 15:04:32,484] Trial 131 finished with value: 0.9272727272727272 and parameters: {'left_stride': 0, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.9412413334213886, 'batch_size': 20, 'attention_heads': 6, 'hidden_dimension': 56, 'number_of_hidden_layers': 1, 'dropout_rate': 0.49968722432027035, 'global_pooling': 'mean', 'learning_rate': 0.002088216347700035, 'weight_decay': 3.053949247785344e-05, 'beta_0': 0.8601959989365958, 'beta_1': 0.9860076048144476, 'epsilon': 6.125933752552757e-07, 'balanced_loss': False, 'epochs': 198, 'early_stopping_patience': 16, 'plateau_patience': 16, 'plateau_divider': 3}. Best is trial 106 with value: 0.9575757575757575.
[I 2024-12-10 15:16:52,620] Trial 132 finished with value: 0.9333333333333333 and parameters: {'left_stride': 0, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.9447753337377977, 'batch_size': 23, 'attention_heads': 5, 'hidden_dimension': 32, 'number_of_hidden_layers': 1, 'dropout_rate': 0.48332928311366535, 'global_pooling': 'mean', 'learning_rate': 0.0027243181994699053, 'weight_decay': 4.3531074260695345e-05, 'beta_0': 0.8557905078725027, 'beta_1': 0.9878436641464327, 'epsilon': 3.176284245801347e-07, 'balanced_loss': False, 'epochs': 196, 'early_stopping_patience': 20, 'plateau_patience': 16, 'plateau_divider': 3}. Best is trial 106 with value: 0.9575757575757575.
[I 2024-12-10 15:29:33,861] Trial 133 finished with value: 0.9272727272727272 and parameters: {'left_stride': 0, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.9442273737816572, 'batch_size': 19, 'attention_heads': 5, 'hidden_dimension': 43, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4940806856953783, 'global_pooling': 'mean', 'learning_rate': 0.003174702209723772, 'weight_decay': 4.263982395295355e-05, 'beta_0': 0.8484083271596023, 'beta_1': 0.9882453970215058, 'epsilon': 9.475987070781639e-07, 'balanced_loss': False, 'epochs': 194, 'early_stopping_patience': 20, 'plateau_patience': 16, 'plateau_divider': 3}. Best is trial 106 with value: 0.9575757575757575.
[I 2024-12-10 15:41:59,685] Trial 134 finished with value: 0.9212121212121213 and parameters: {'left_stride': 0, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.947431373345808, 'batch_size': 25, 'attention_heads': 4, 'hidden_dimension': 37, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4902797157676522, 'global_pooling': 'mean', 'learning_rate': 0.0013762283635344805, 'weight_decay': 3.598274789815398e-05, 'beta_0': 0.8564934288412532, 'beta_1': 0.988709187890725, 'epsilon': 7.621021284573268e-07, 'balanced_loss': False, 'epochs': 200, 'early_stopping_patience': 19, 'plateau_patience': 17, 'plateau_divider': 2}. Best is trial 106 with value: 0.9575757575757575.
[I 2024-12-10 15:54:06,120] Trial 135 finished with value: 0.9272727272727272 and parameters: {'left_stride': 0, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.998552305635108, 'batch_size': 22, 'attention_heads': 5, 'hidden_dimension': 32, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4749963493390198, 'global_pooling': 'mean', 'learning_rate': 0.002453569541595517, 'weight_decay': 2.3927551892915662e-05, 'beta_0': 0.852254432905312, 'beta_1': 0.98698314298623, 'epsilon': 6.873174989063091e-07, 'balanced_loss': False, 'epochs': 181, 'early_stopping_patience': 21, 'plateau_patience': 15, 'plateau_divider': 4}. Best is trial 106 with value: 0.9575757575757575.
[I 2024-12-10 16:05:29,299] Trial 136 finished with value: 0.9212121212121213 and parameters: {'left_stride': 0, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.9509373611387322, 'batch_size': 19, 'attention_heads': 6, 'hidden_dimension': 76, 'number_of_hidden_layers': 1, 'dropout_rate': 0.49974032866267115, 'global_pooling': 'mean', 'learning_rate': 0.0040592912209233625, 'weight_decay': 1.3708656771451312e-06, 'beta_0': 0.857711787616368, 'beta_1': 0.9875876715659765, 'epsilon': 4.4080174044166483e-07, 'balanced_loss': False, 'epochs': 185, 'early_stopping_patience': 20, 'plateau_patience': 16, 'plateau_divider': 3}. Best is trial 106 with value: 0.9575757575757575.
[I 2024-12-10 16:18:57,100] Trial 137 finished with value: 0.9393939393939394 and parameters: {'left_stride': 0, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.9430550772521116, 'batch_size': 27, 'attention_heads': 7, 'hidden_dimension': 66, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5092060238621109, 'global_pooling': 'mean', 'learning_rate': 0.005255860402699925, 'weight_decay': 2.8705488167802057e-05, 'beta_0': 0.8458275224020234, 'beta_1': 0.9862862314454507, 'epsilon': 1.0215072169003795e-06, 'balanced_loss': False, 'epochs': 189, 'early_stopping_patience': 20, 'plateau_patience': 17, 'plateau_divider': 3}. Best is trial 106 with value: 0.9575757575757575.
[I 2024-12-10 16:31:43,575] Trial 138 finished with value: 0.9090909090909091 and parameters: {'left_stride': 0, 'right_stride': 256, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'max', 'threshold': 0.9456635269024171, 'batch_size': 17, 'attention_heads': 7, 'hidden_dimension': 49, 'number_of_hidden_layers': 1, 'dropout_rate': 0.46809929346534174, 'global_pooling': 'mean', 'learning_rate': 0.002171056889516665, 'weight_decay': 4.900513941798484e-05, 'beta_0': 0.8398836703598377, 'beta_1': 0.9868049604917737, 'epsilon': 1.1305427793006839e-06, 'balanced_loss': False, 'epochs': 196, 'early_stopping_patience': 18, 'plateau_patience': 18, 'plateau_divider': 3}. Best is trial 106 with value: 0.9575757575757575.
[I 2024-12-10 16:42:35,609] Trial 139 finished with value: 0.9393939393939394 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.9394589406406821, 'batch_size': 16, 'attention_heads': 6, 'hidden_dimension': 40, 'number_of_hidden_layers': 1, 'dropout_rate': 0.40654341682801964, 'global_pooling': 'mean', 'learning_rate': 0.0032319892366385636, 'weight_decay': 2.159830666501836e-05, 'beta_0': 0.8343799667066766, 'beta_1': 0.9853107887507948, 'epsilon': 2.1264490332169396e-07, 'balanced_loss': False, 'epochs': 192, 'early_stopping_patience': 19, 'plateau_patience': 17, 'plateau_divider': 4}. Best is trial 106 with value: 0.9575757575757575.
[I 2024-12-10 16:55:52,027] Trial 140 finished with value: 0.9272727272727272 and parameters: {'left_stride': 0, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.9487255827978033, 'batch_size': 24, 'attention_heads': 5, 'hidden_dimension': 58, 'number_of_hidden_layers': 3, 'dropout_rate': 0.4531641878221589, 'global_pooling': 'mean', 'learning_rate': 0.006997977879355015, 'weight_decay': 3.792553743660029e-05, 'beta_0': 0.8256216624287392, 'beta_1': 0.984816458779131, 'epsilon': 1.7541561088466921e-06, 'balanced_loss': False, 'epochs': 185, 'early_stopping_patience': 19, 'plateau_patience': 15, 'plateau_divider': 2}. Best is trial 106 with value: 0.9575757575757575.
[I 2024-12-10 17:09:54,285] Trial 141 finished with value: 0.9333333333333333 and parameters: {'left_stride': 64, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.9375802915526632, 'batch_size': 22, 'attention_heads': 6, 'hidden_dimension': 51, 'number_of_hidden_layers': 1, 'dropout_rate': 0.49626671481797474, 'global_pooling': 'mean', 'learning_rate': 0.004335932448478935, 'weight_decay': 3.074102480940253e-05, 'beta_0': 0.8366089988244592, 'beta_1': 0.9857253661758321, 'epsilon': 7.031920302647736e-07, 'balanced_loss': False, 'epochs': 176, 'early_stopping_patience': 17, 'plateau_patience': 18, 'plateau_divider': 3}. Best is trial 106 with value: 0.9575757575757575.
[I 2024-12-10 17:22:45,635] Trial 142 finished with value: 0.9333333333333333 and parameters: {'left_stride': 0, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.9394519108780466, 'batch_size': 27, 'attention_heads': 7, 'hidden_dimension': 44, 'number_of_hidden_layers': 1, 'dropout_rate': 0.48924977199371444, 'global_pooling': 'mean', 'learning_rate': 0.004438592854226466, 'weight_decay': 6.604684987444617e-05, 'beta_0': 0.8518383026555567, 'beta_1': 0.9872957092954312, 'epsilon': 4.47295035605068e-07, 'balanced_loss': False, 'epochs': 190, 'early_stopping_patience': 21, 'plateau_patience': 16, 'plateau_divider': 2}. Best is trial 106 with value: 0.9575757575757575.
[I 2024-12-10 17:35:58,878] Trial 143 finished with value: 0.9454545454545454 and parameters: {'left_stride': 0, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.9333233718224514, 'batch_size': 30, 'attention_heads': 7, 'hidden_dimension': 45, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5070903951102668, 'global_pooling': 'mean', 'learning_rate': 0.003754764074307959, 'weight_decay': 6.049354161290861e-05, 'beta_0': 0.8442313984736569, 'beta_1': 0.987847879108216, 'epsilon': 6.024997870661715e-07, 'balanced_loss': False, 'epochs': 181, 'early_stopping_patience': 21, 'plateau_patience': 15, 'plateau_divider': 2}. Best is trial 106 with value: 0.9575757575757575.
[I 2024-12-10 17:48:43,866] Trial 144 finished with value: 0.9393939393939394 and parameters: {'left_stride': 0, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.9324007339159411, 'batch_size': 30, 'attention_heads': 7, 'hidden_dimension': 32, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5166525745660334, 'global_pooling': 'mean', 'learning_rate': 0.0027436927532983515, 'weight_decay': 3.2295990661370433e-06, 'beta_0': 0.8426999734708092, 'beta_1': 0.9881018426537649, 'epsilon': 5.782626847415836e-07, 'balanced_loss': False, 'epochs': 180, 'early_stopping_patience': 20, 'plateau_patience': 15, 'plateau_divider': 3}. Best is trial 106 with value: 0.9575757575757575.
[I 2024-12-10 18:02:21,448] Trial 145 finished with value: 0.9272727272727272 and parameters: {'left_stride': 0, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.9342306752950663, 'batch_size': 32, 'attention_heads': 14, 'hidden_dimension': 39, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5051325389778416, 'global_pooling': 'mean', 'learning_rate': 0.005671894216496333, 'weight_decay': 5.9016606560187465e-05, 'beta_0': 0.8491255113279668, 'beta_1': 0.9865998785839613, 'epsilon': 3.055601019097937e-07, 'balanced_loss': False, 'epochs': 183, 'early_stopping_patience': 21, 'plateau_patience': 25, 'plateau_divider': 4}. Best is trial 106 with value: 0.9575757575757575.
[I 2024-12-10 18:18:15,435] Trial 146 finished with value: 0.9454545454545454 and parameters: {'left_stride': 0, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.9302286830146447, 'batch_size': 19, 'attention_heads': 6, 'hidden_dimension': 130, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5818740977307005, 'global_pooling': 'mean', 'learning_rate': 0.003735361024062776, 'weight_decay': 4.652864328486883e-05, 'beta_0': 0.8442456834293063, 'beta_1': 0.9877316071118974, 'epsilon': 1.283342499229924e-06, 'balanced_loss': False, 'epochs': 193, 'early_stopping_patience': 22, 'plateau_patience': 14, 'plateau_divider': 2}. Best is trial 106 with value: 0.9575757575757575.
[I 2024-12-10 18:33:57,849] Trial 147 finished with value: 0.9333333333333333 and parameters: {'left_stride': 0, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.9244940532440232, 'batch_size': 21, 'attention_heads': 6, 'hidden_dimension': 150, 'number_of_hidden_layers': 1, 'dropout_rate': 0.589608843924821, 'global_pooling': 'mean', 'learning_rate': 0.0036318407463599763, 'weight_decay': 4.96145835518607e-05, 'beta_0': 0.8446171158586309, 'beta_1': 0.9891016110862956, 'epsilon': 1.2880606464005383e-06, 'balanced_loss': False, 'epochs': 148, 'early_stopping_patience': 22, 'plateau_patience': 14, 'plateau_divider': 2}. Best is trial 106 with value: 0.9575757575757575.
[I 2024-12-10 18:46:24,251] Trial 148 finished with value: 0.8666666666666667 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'max', 'threshold': 0.92990519863265, 'batch_size': 19, 'attention_heads': 6, 'hidden_dimension': 144, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5686606037665961, 'global_pooling': 'mean', 'learning_rate': 0.013023160257578641, 'weight_decay': 2.4564730504892654e-05, 'beta_0': 0.8328025030654117, 'beta_1': 0.9843280107192205, 'epsilon': 9.899376219838964e-07, 'balanced_loss': False, 'epochs': 186, 'early_stopping_patience': 22, 'plateau_patience': 14, 'plateau_divider': 2}. Best is trial 106 with value: 0.9575757575757575.
[I 2024-12-10 19:01:50,361] Trial 149 finished with value: 0.9333333333333333 and parameters: {'left_stride': 0, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.9301563021959678, 'batch_size': 18, 'attention_heads': 7, 'hidden_dimension': 129, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5567932774254651, 'global_pooling': 'mean', 'learning_rate': 0.00696552918004313, 'weight_decay': 3.468786675102746e-05, 'beta_0': 0.8222219856421776, 'beta_1': 0.9883248443264901, 'epsilon': 1.2856477724803019e-06, 'balanced_loss': False, 'epochs': 178, 'early_stopping_patience': 18, 'plateau_patience': 14, 'plateau_divider': 2}. Best is trial 106 with value: 0.9575757575757575.
CUDA out of memory. Tried to allocate 1.75 GiB. GPU 0 has a total capacity of 44.56 GiB of which 1.22 GiB is free. Including non-PyTorch memory, this process has 43.33 GiB memory in use. Of the allocated memory 36.77 GiB is allocated by PyTorch, and 5.41 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
[I 2024-12-10 19:13:59,502] Trial 150 finished with value: -1.0 and parameters: {'left_stride': 0, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.9357959582446747, 'batch_size': 20, 'attention_heads': 12, 'hidden_dimension': 133, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4799875698196209, 'global_pooling': 'mean', 'learning_rate': 0.0051221788909852455, 'weight_decay': 7.753677344235839e-05, 'beta_0': 0.8472631025407037, 'beta_1': 0.9896650486723262, 'epsilon': 1.5749746949222478e-06, 'balanced_loss': False, 'epochs': 194, 'early_stopping_patience': 19, 'plateau_patience': 17, 'plateau_divider': 2}. Best is trial 106 with value: 0.9575757575757575.
[I 2024-12-10 19:30:37,341] Trial 151 finished with value: 0.8303030303030303 and parameters: {'left_stride': 64, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.941397753271661, 'batch_size': 19, 'attention_heads': 6, 'hidden_dimension': 124, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5793871303267306, 'global_pooling': 'mean', 'learning_rate': 0.010676085196457654, 'weight_decay': 1.3385982496780427e-05, 'beta_0': 0.8375455661291201, 'beta_1': 0.9978054031132998, 'epsilon': 5.188068668462232e-08, 'balanced_loss': False, 'epochs': 181, 'early_stopping_patience': 22, 'plateau_patience': 13, 'plateau_divider': 6}. Best is trial 106 with value: 0.9575757575757575.
[I 2024-12-10 19:43:12,598] Trial 152 finished with value: 0.9333333333333333 and parameters: {'left_stride': 0, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.9447122900499351, 'batch_size': 21, 'attention_heads': 5, 'hidden_dimension': 47, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5446076338897609, 'global_pooling': 'mean', 'learning_rate': 0.0019637617931716686, 'weight_decay': 4.146523736695264e-05, 'beta_0': 0.8437986870275764, 'beta_1': 0.9876685868757813, 'epsilon': 6.644892941289293e-07, 'balanced_loss': False, 'epochs': 197, 'early_stopping_patience': 20, 'plateau_patience': 16, 'plateau_divider': 3}. Best is trial 106 with value: 0.9575757575757575.
[I 2024-12-10 19:56:07,883] Trial 153 finished with value: 0.9515151515151515 and parameters: {'left_stride': 0, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.9330093189272911, 'batch_size': 24, 'attention_heads': 6, 'hidden_dimension': 41, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4758840451511232, 'global_pooling': 'mean', 'learning_rate': 0.0032100077375783395, 'weight_decay': 4.430890887704778e-05, 'beta_0': 0.8406263588591991, 'beta_1': 0.9878572320814669, 'epsilon': 9.445411853402635e-07, 'balanced_loss': False, 'epochs': 200, 'early_stopping_patience': 21, 'plateau_patience': 15, 'plateau_divider': 3}. Best is trial 106 with value: 0.9575757575757575.
[I 2024-12-10 20:09:17,920] Trial 154 finished with value: 0.9575757575757575 and parameters: {'left_stride': 0, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.9191949934589382, 'batch_size': 18, 'attention_heads': 6, 'hidden_dimension': 54, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4760280817199836, 'global_pooling': 'mean', 'learning_rate': 0.0034811683671973634, 'weight_decay': 5.8854457691147395e-05, 'beta_0': 0.8405686787404245, 'beta_1': 0.9869943836957326, 'epsilon': 1.1482369892008422e-06, 'balanced_loss': False, 'epochs': 192, 'early_stopping_patience': 21, 'plateau_patience': 15, 'plateau_divider': 2}. Best is trial 106 with value: 0.9575757575757575.
[I 2024-12-10 20:22:34,019] Trial 155 finished with value: 0.9393939393939394 and parameters: {'left_stride': 0, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.9122094235934036, 'batch_size': 17, 'attention_heads': 7, 'hidden_dimension': 53, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4763288307031094, 'global_pooling': 'mean', 'learning_rate': 0.0035726123444934327, 'weight_decay': 5.7254854512546244e-05, 'beta_0': 0.8394444457442041, 'beta_1': 0.9872062533035433, 'epsilon': 2.0724779538422625e-06, 'balanced_loss': False, 'epochs': 193, 'early_stopping_patience': 21, 'plateau_patience': 15, 'plateau_divider': 2}. Best is trial 106 with value: 0.9575757575757575.
[I 2024-12-10 20:35:06,143] Trial 156 finished with value: 0.4666666666666667 and parameters: {'left_stride': 0, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.9285022460943941, 'batch_size': 24, 'attention_heads': 6, 'hidden_dimension': 41, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4838621222454066, 'global_pooling': 'sum', 'learning_rate': 0.006005829972006671, 'weight_decay': 4.8496074648700034e-05, 'beta_0': 0.8411140934388083, 'beta_1': 0.9887419121922092, 'epsilon': 8.842178710397955e-07, 'balanced_loss': False, 'epochs': 189, 'early_stopping_patience': 21, 'plateau_patience': 14, 'plateau_divider': 2}. Best is trial 106 with value: 0.9575757575757575.
[I 2024-12-10 20:48:26,053] Trial 157 finished with value: 0.9272727272727272 and parameters: {'left_stride': 0, 'right_stride': 256, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'max', 'threshold': 0.9248192791334483, 'batch_size': 29, 'attention_heads': 7, 'hidden_dimension': 45, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5845379868322933, 'global_pooling': 'mean', 'learning_rate': 0.0045932934000350225, 'weight_decay': 6.66406304068139e-05, 'beta_0': 0.8347383367912817, 'beta_1': 0.9869450543597146, 'epsilon': 1.519150038608653e-06, 'balanced_loss': False, 'epochs': 200, 'early_stopping_patience': 22, 'plateau_patience': 15, 'plateau_divider': 2}. Best is trial 106 with value: 0.9575757575757575.
[I 2024-12-10 21:00:13,370] Trial 158 finished with value: 0.9454545454545454 and parameters: {'left_stride': 0, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.9173300814044362, 'batch_size': 32, 'attention_heads': 6, 'hidden_dimension': 56, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4700699698017229, 'global_pooling': 'mean', 'learning_rate': 0.008222655027970312, 'weight_decay': 3.962618708507963e-06, 'beta_0': 0.8178671191989434, 'beta_1': 0.9876998333127711, 'epsilon': 1.1518503106810237e-06, 'balanced_loss': False, 'epochs': 192, 'early_stopping_patience': 22, 'plateau_patience': 15, 'plateau_divider': 6}. Best is trial 106 with value: 0.9575757575757575.
[I 2024-12-10 21:11:49,811] Trial 159 finished with value: 0.9333333333333333 and parameters: {'left_stride': 0, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.9184766359509325, 'batch_size': 35, 'attention_heads': 6, 'hidden_dimension': 57, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4706082151634485, 'global_pooling': 'mean', 'learning_rate': 0.003120977273285788, 'weight_decay': 1.0265950548883416e-06, 'beta_0': 0.8246168645891961, 'beta_1': 0.9877731405054264, 'epsilon': 2.5632619517904387e-06, 'balanced_loss': False, 'epochs': 191, 'early_stopping_patience': 22, 'plateau_patience': 15, 'plateau_divider': 6}. Best is trial 106 with value: 0.9575757575757575.
slurmstepd: error: *** JOB 14071093 ON gpu041 CANCELLED AT 2024-12-10T21:17:27 DUE TO TIME LIMIT ***
