[I 2025-02-19 23:50:00,569] Using an existing study with name 'Ohsumed-GATv2-google-bert-bert-base-uncased-Surrogate-No_Aggregation-Single_Unitary_Weight-0.0-0.0' instead of creating a new one.
Token indices sequence length is longer than the specified maximum sequence length for this model (611 > 512). Running this sequence through the model will result in indexing errors
[I 2025-02-20 00:07:06,400] Trial 109 finished with value: 0.6013413447364191 and parameters: {'left_stride': 0, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.9501530773235681, 'batch_size': 79, 'attention_heads': 16, 'hidden_dimension': 57, 'number_of_hidden_layers': 1, 'dropout_rate': 0.41388127302606703, 'global_pooling': 'max', 'learning_rate': 0.0016672184889731045, 'weight_decay': 0.00035201335912130824, 'beta_0': 0.8901694609158225, 'beta_1': 0.9887320318447872, 'epsilon': 6.516404007487742e-07, 'balanced_loss': True, 'epochs': 56, 'early_stopping_patience': 22, 'plateau_patience': 12, 'plateau_divider': 9}. Best is trial 102 with value: 0.6343103523725215.
[I 2025-02-20 11:43:28,180] Trial 144 finished with value: 0.5866093312264229 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.9256516080843961, 'batch_size': 70, 'attention_heads': 16, 'hidden_dimension': 74, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4497960175949615, 'global_pooling': 'max', 'learning_rate': 0.00022080443542259022, 'weight_decay': 0.00032251511094030495, 'beta_0': 0.8812134560200211, 'beta_1': 0.9808939971297365, 'epsilon': 4.218673111065767e-05, 'balanced_loss': False, 'epochs': 64, 'early_stopping_patience': 21, 'plateau_patience': 10, 'plateau_divider': 10}. Best is trial 143 with value: 0.6451110429177566.
[I 2025-02-20 12:05:45,166] Trial 145 finished with value: 0.6021013100517993 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.9309495993766969, 'batch_size': 68, 'attention_heads': 16, 'hidden_dimension': 82, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4479911965405725, 'global_pooling': 'max', 'learning_rate': 0.0004191581473734486, 'weight_decay': 0.00040935597489880917, 'beta_0': 0.8860837485588156, 'beta_1': 0.9906341732588592, 'epsilon': 1.0210204146614288e-07, 'balanced_loss': False, 'epochs': 58, 'early_stopping_patience': 21, 'plateau_patience': 11, 'plateau_divider': 10}. Best is trial 143 with value: 0.6451110429177566.
[I 2025-02-20 12:26:08,774] Trial 146 finished with value: 0.6283540215636547 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.9190483293163827, 'batch_size': 73, 'attention_heads': 15, 'hidden_dimension': 71, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4355679386931015, 'global_pooling': 'max', 'learning_rate': 0.0009277313654413285, 'weight_decay': 0.0005018631175098036, 'beta_0': 0.8959218232448645, 'beta_1': 0.9897951675641884, 'epsilon': 8.846840089309536e-08, 'balanced_loss': False, 'epochs': 60, 'early_stopping_patience': 21, 'plateau_patience': 11, 'plateau_divider': 10}. Best is trial 143 with value: 0.6451110429177566.
[I 2025-02-20 12:48:34,711] Trial 147 finished with value: 0.608742076511009 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.9196672368472849, 'batch_size': 72, 'attention_heads': 15, 'hidden_dimension': 72, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4322919070529648, 'global_pooling': 'max', 'learning_rate': 0.0003170546074085186, 'weight_decay': 0.00037156600582083176, 'beta_0': 0.8960474119757605, 'beta_1': 0.9881685815708209, 'epsilon': 1.3588153198969176e-07, 'balanced_loss': False, 'epochs': 54, 'early_stopping_patience': 20, 'plateau_patience': 10, 'plateau_divider': 10}. Best is trial 143 with value: 0.6451110429177566.
[I 2025-02-20 13:07:48,808] Trial 148 finished with value: 0.6150975182099198 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.9273268027748587, 'batch_size': 73, 'attention_heads': 16, 'hidden_dimension': 49, 'number_of_hidden_layers': 1, 'dropout_rate': 0.41792710093246577, 'global_pooling': 'max', 'learning_rate': 0.0004776653084447682, 'weight_decay': 0.0005063088897978239, 'beta_0': 0.8911850088631884, 'beta_1': 0.9886449092542288, 'epsilon': 7.932638442469403e-08, 'balanced_loss': False, 'epochs': 62, 'early_stopping_patience': 20, 'plateau_patience': 11, 'plateau_divider': 10}. Best is trial 143 with value: 0.6451110429177566.
[I 2025-02-20 13:28:15,502] Trial 149 finished with value: 0.6321158238725789 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.9148874379789419, 'batch_size': 66, 'attention_heads': 15, 'hidden_dimension': 65, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4427758294788079, 'global_pooling': 'max', 'learning_rate': 0.0008714962363935858, 'weight_decay': 0.00028588742069128104, 'beta_0': 0.8006453265052721, 'beta_1': 0.990050897544653, 'epsilon': 6.642290799702725e-08, 'balanced_loss': False, 'epochs': 60, 'early_stopping_patience': 21, 'plateau_patience': 11, 'plateau_divider': 10}. Best is trial 143 with value: 0.6451110429177566.
[I 2025-02-20 13:52:12,246] Trial 150 finished with value: 0.5556142025062486 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.9144837870504796, 'batch_size': 67, 'attention_heads': 15, 'hidden_dimension': 67, 'number_of_hidden_layers': 1, 'dropout_rate': 0.42707700833660434, 'global_pooling': 'sum', 'learning_rate': 0.0006788357298914292, 'weight_decay': 0.00032845521627144445, 'beta_0': 0.8215936678287554, 'beta_1': 0.9898796494129398, 'epsilon': 6.380750353835929e-08, 'balanced_loss': False, 'epochs': 60, 'early_stopping_patience': 21, 'plateau_patience': 10, 'plateau_divider': 10}. Best is trial 143 with value: 0.6451110429177566.
[I 2025-02-20 14:12:44,161] Trial 151 finished with value: 0.6043538046079198 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.9205517446819661, 'batch_size': 65, 'attention_heads': 15, 'hidden_dimension': 59, 'number_of_hidden_layers': 1, 'dropout_rate': 0.408990371753457, 'global_pooling': 'max', 'learning_rate': 0.0003868592111867933, 'weight_decay': 0.0002317075180741841, 'beta_0': 0.898259152657959, 'beta_1': 0.9909465728282048, 'epsilon': 1.0919387911814335e-07, 'balanced_loss': False, 'epochs': 116, 'early_stopping_patience': 20, 'plateau_patience': 11, 'plateau_divider': 10}. Best is trial 143 with value: 0.6451110429177566.
[I 2025-02-20 14:33:12,922] Trial 152 finished with value: 0.6343756360549129 and parameters: {'left_stride': 32, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.9251531996521445, 'batch_size': 74, 'attention_heads': 15, 'hidden_dimension': 63, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4398360466583024, 'global_pooling': 'max', 'learning_rate': 0.0009203978616057845, 'weight_decay': 0.00041163113064248823, 'beta_0': 0.8935271371380284, 'beta_1': 0.9902396290304446, 'epsilon': 2.1135075991111827e-07, 'balanced_loss': False, 'epochs': 58, 'early_stopping_patience': 21, 'plateau_patience': 11, 'plateau_divider': 10}. Best is trial 143 with value: 0.6451110429177566.
[I 2025-02-20 14:52:12,574] Trial 153 finished with value: 0.6004651101274047 and parameters: {'left_stride': 32, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.9169615799722125, 'batch_size': 74, 'attention_heads': 15, 'hidden_dimension': 45, 'number_of_hidden_layers': 1, 'dropout_rate': 0.44188618703002397, 'global_pooling': 'max', 'learning_rate': 0.0002740916222384335, 'weight_decay': 0.0002744471244627703, 'beta_0': 0.8131173898039046, 'beta_1': 0.989405218490533, 'epsilon': 2.1969023892260787e-07, 'balanced_loss': False, 'epochs': 56, 'early_stopping_patience': 20, 'plateau_patience': 24, 'plateau_divider': 10}. Best is trial 143 with value: 0.6451110429177566.
CUDA out of memory. Tried to allocate 4.37 GiB. GPU 0 has a total capacity of 44.56 GiB of which 2.86 GiB is free. Including non-PyTorch memory, this process has 41.69 GiB memory in use. Of the allocated memory 40.13 GiB is allocated by PyTorch, and 426.03 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
[I 2025-02-20 15:04:46,967] Trial 154 finished with value: -1.0 and parameters: {'left_stride': 32, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8584266388248009, 'batch_size': 81, 'attention_heads': 15, 'hidden_dimension': 74, 'number_of_hidden_layers': 1, 'dropout_rate': 0.45619675173453544, 'global_pooling': 'max', 'learning_rate': 0.0011199149328863201, 'weight_decay': 0.00018517868757974396, 'beta_0': 0.8029955274664196, 'beta_1': 0.9905840386188667, 'epsilon': 1.4559101971454163e-07, 'balanced_loss': False, 'epochs': 50, 'early_stopping_patience': 19, 'plateau_patience': 10, 'plateau_divider': 10}. Best is trial 143 with value: 0.6451110429177566.
[I 2025-02-20 15:24:39,482] Trial 155 finished with value: 0.6217150405420988 and parameters: {'left_stride': 32, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.9249556433050531, 'batch_size': 68, 'attention_heads': 15, 'hidden_dimension': 65, 'number_of_hidden_layers': 1, 'dropout_rate': 0.43583853585205357, 'global_pooling': 'max', 'learning_rate': 0.0008897476054513747, 'weight_decay': 0.0002942317621584889, 'beta_0': 0.8949967031918639, 'beta_1': 0.9899070535668313, 'epsilon': 1.7309081449334503e-07, 'balanced_loss': False, 'epochs': 58, 'early_stopping_patience': 21, 'plateau_patience': 11, 'plateau_divider': 10}. Best is trial 143 with value: 0.6451110429177566.
[I 2025-02-20 15:45:08,169] Trial 156 finished with value: 0.6270268348623351 and parameters: {'left_stride': 32, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.922539211409693, 'batch_size': 71, 'attention_heads': 15, 'hidden_dimension': 69, 'number_of_hidden_layers': 1, 'dropout_rate': 0.44508263697795186, 'global_pooling': 'max', 'learning_rate': 0.0006198663693623087, 'weight_decay': 0.00040695743141925785, 'beta_0': 0.8937372722961875, 'beta_1': 0.9903417365036837, 'epsilon': 7.379404886129489e-08, 'balanced_loss': False, 'epochs': 64, 'early_stopping_patience': 21, 'plateau_patience': 11, 'plateau_divider': 2}. Best is trial 143 with value: 0.6451110429177566.
slurmstepd: error: *** JOB 14932822 ON gpu012 CANCELLED AT 2025-02-20T15:49:34 DUE TO TIME LIMIT ***
