[I 2025-02-28 06:42:23,779] Using an existing study with name 'Ohsumed-GATv2-google-bert-bert-base-uncased-Surrogate-No_Aggregation-No_Ablation-1.0-0.75' instead of creating a new one.
Token indices sequence length is longer than the specified maximum sequence length for this model (611 > 512). Running this sequence through the model will result in indexing errors
[I 2025-02-28 07:01:28,715] Trial 138 finished with value: 0.4521502872664994 and parameters: {'left_stride': 128, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.9587202581740613, 'batch_size': 38, 'attention_heads': 16, 'hidden_dimension': 91, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5290518266998102, 'global_pooling': 'mean', 'learning_rate': 0.000992610082673091, 'weight_decay': 3.849253049421895e-05, 'beta_0': 0.8447669834535882, 'beta_1': 0.9918800615068335, 'epsilon': 8.337176884712846e-07, 'balanced_loss': True, 'epochs': 127, 'early_stopping_patience': 20, 'plateau_patience': 24, 'plateau_divider': 3}. Best is trial 122 with value: 0.524460856220211.
[I 2025-02-28 18:15:15,005] Trial 173 finished with value: 0.5161512412598076 and parameters: {'left_stride': 128, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.9744373813742654, 'batch_size': 49, 'attention_heads': 12, 'hidden_dimension': 156, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5458572492504373, 'global_pooling': 'max', 'learning_rate': 0.0005559185286530792, 'weight_decay': 3.0031115412038807e-05, 'beta_0': 0.8459078977743639, 'beta_1': 0.9924694742070705, 'epsilon': 1.6209661440568912e-06, 'balanced_loss': True, 'epochs': 116, 'early_stopping_patience': 18, 'plateau_patience': 25, 'plateau_divider': 2}. Best is trial 144 with value: 0.5379792613443007.
[I 2025-02-28 18:35:07,799] Trial 174 finished with value: 0.46579712875422175 and parameters: {'left_stride': 128, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.9759814037209007, 'batch_size': 49, 'attention_heads': 12, 'hidden_dimension': 153, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5480030148521287, 'global_pooling': 'max', 'learning_rate': 0.0017479371391717932, 'weight_decay': 2.9694562084787596e-05, 'beta_0': 0.8502693566555356, 'beta_1': 0.9915444901938278, 'epsilon': 2.41485002438316e-06, 'balanced_loss': True, 'epochs': 147, 'early_stopping_patience': 18, 'plateau_patience': 25, 'plateau_divider': 2}. Best is trial 144 with value: 0.5379792613443007.
[I 2025-02-28 18:54:03,405] Trial 175 finished with value: 0.46197698231406764 and parameters: {'left_stride': 128, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.9836563505477458, 'batch_size': 47, 'attention_heads': 13, 'hidden_dimension': 145, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5442987959519064, 'global_pooling': 'max', 'learning_rate': 0.000554941071819259, 'weight_decay': 3.315979504833892e-05, 'beta_0': 0.8465877528764172, 'beta_1': 0.9917875079854707, 'epsilon': 1.5212519166300608e-06, 'balanced_loss': True, 'epochs': 116, 'early_stopping_patience': 18, 'plateau_patience': 25, 'plateau_divider': 2}. Best is trial 144 with value: 0.5379792613443007.
[I 2025-02-28 19:11:19,290] Trial 176 finished with value: 0.4542322852067208 and parameters: {'left_stride': 128, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.987163209511184, 'batch_size': 51, 'attention_heads': 11, 'hidden_dimension': 155, 'number_of_hidden_layers': 1, 'dropout_rate': 0.55637166725444, 'global_pooling': 'max', 'learning_rate': 0.0009609033868937784, 'weight_decay': 1.7690381704017025e-05, 'beta_0': 0.8566300584361116, 'beta_1': 0.9920985441174581, 'epsilon': 2.1486380896244882e-06, 'balanced_loss': True, 'epochs': 124, 'early_stopping_patience': 18, 'plateau_patience': 25, 'plateau_divider': 3}. Best is trial 144 with value: 0.5379792613443007.
[I 2025-02-28 19:32:11,726] Trial 177 finished with value: 0.5340435221224397 and parameters: {'left_stride': 128, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.9727272668313371, 'batch_size': 49, 'attention_heads': 14, 'hidden_dimension': 138, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5375995607230054, 'global_pooling': 'max', 'learning_rate': 0.0004166623581579, 'weight_decay': 5.1784998010374115e-05, 'beta_0': 0.8457550686007826, 'beta_1': 0.9925246592647062, 'epsilon': 8.769171140084684e-07, 'balanced_loss': True, 'epochs': 132, 'early_stopping_patience': 19, 'plateau_patience': 24, 'plateau_divider': 2}. Best is trial 144 with value: 0.5379792613443007.
[I 2025-02-28 19:52:47,685] Trial 178 finished with value: 0.5187611287351481 and parameters: {'left_stride': 128, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.9736693240765719, 'batch_size': 53, 'attention_heads': 14, 'hidden_dimension': 137, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5397178716478062, 'global_pooling': 'max', 'learning_rate': 0.000574623571273003, 'weight_decay': 4.789388222828846e-05, 'beta_0': 0.8483118495304254, 'beta_1': 0.9926907091448721, 'epsilon': 9.307076472252806e-07, 'balanced_loss': True, 'epochs': 121, 'early_stopping_patience': 19, 'plateau_patience': 24, 'plateau_divider': 2}. Best is trial 144 with value: 0.5379792613443007.
[I 2025-02-28 20:14:22,129] Trial 179 finished with value: 0.5284620952132137 and parameters: {'left_stride': 128, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.9735408960932118, 'batch_size': 53, 'attention_heads': 14, 'hidden_dimension': 139, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5378461521413745, 'global_pooling': 'max', 'learning_rate': 0.0007393773272882106, 'weight_decay': 5.1583679214815756e-05, 'beta_0': 0.8432278556568363, 'beta_1': 0.9927764153134961, 'epsilon': 8.09594996118863e-07, 'balanced_loss': True, 'epochs': 121, 'early_stopping_patience': 19, 'plateau_patience': 23, 'plateau_divider': 2}. Best is trial 144 with value: 0.5379792613443007.
[I 2025-02-28 20:35:38,053] Trial 180 finished with value: 0.510110997889894 and parameters: {'left_stride': 128, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.9686848118522227, 'batch_size': 53, 'attention_heads': 14, 'hidden_dimension': 134, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5374373840064274, 'global_pooling': 'max', 'learning_rate': 0.0005645419057161982, 'weight_decay': 5.045272803980141e-05, 'beta_0': 0.8435024741897246, 'beta_1': 0.9925633195747916, 'epsilon': 8.182962126517569e-07, 'balanced_loss': True, 'epochs': 122, 'early_stopping_patience': 19, 'plateau_patience': 23, 'plateau_divider': 2}. Best is trial 144 with value: 0.5379792613443007.
[I 2025-02-28 20:55:06,303] Trial 181 finished with value: 0.5171872910429363 and parameters: {'left_stride': 128, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.9733909253112034, 'batch_size': 46, 'attention_heads': 14, 'hidden_dimension': 139, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5508002401329881, 'global_pooling': 'max', 'learning_rate': 0.0006812313785881281, 'weight_decay': 4.04211682847789e-05, 'beta_0': 0.8426758794574153, 'beta_1': 0.9929034805670462, 'epsilon': 6.356823633282471e-07, 'balanced_loss': True, 'epochs': 116, 'early_stopping_patience': 18, 'plateau_patience': 23, 'plateau_divider': 2}. Best is trial 144 with value: 0.5379792613443007.
[I 2025-02-28 21:15:25,263] Trial 182 finished with value: 0.5055304309290573 and parameters: {'left_stride': 128, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.9703947158591911, 'batch_size': 59, 'attention_heads': 14, 'hidden_dimension': 137, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5512047224526246, 'global_pooling': 'max', 'learning_rate': 0.000604101688596555, 'weight_decay': 4.112013050756467e-05, 'beta_0': 0.8424075075612631, 'beta_1': 0.9926234560018568, 'epsilon': 6.502400820769704e-07, 'balanced_loss': True, 'epochs': 116, 'early_stopping_patience': 17, 'plateau_patience': 23, 'plateau_divider': 4}. Best is trial 144 with value: 0.5379792613443007.
[I 2025-02-28 21:34:31,316] Trial 183 finished with value: 0.5476273104865623 and parameters: {'left_stride': 128, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.9758879921825978, 'batch_size': 54, 'attention_heads': 14, 'hidden_dimension': 138, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5413429491334861, 'global_pooling': 'max', 'learning_rate': 0.0008468621005566715, 'weight_decay': 4.602756755756408e-05, 'beta_0': 0.8459539745767849, 'beta_1': 0.9935501794383641, 'epsilon': 8.49129952911151e-07, 'balanced_loss': True, 'epochs': 120, 'early_stopping_patience': 18, 'plateau_patience': 24, 'plateau_divider': 2}. Best is trial 183 with value: 0.5476273104865623.
[I 2025-02-28 21:54:29,133] Trial 184 finished with value: 0.5069083489824923 and parameters: {'left_stride': 128, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.9729889542437554, 'batch_size': 55, 'attention_heads': 14, 'hidden_dimension': 148, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5331775197384802, 'global_pooling': 'max', 'learning_rate': 0.0009241408075138593, 'weight_decay': 4.905165107952005e-05, 'beta_0': 0.8457434477309501, 'beta_1': 0.9937381355307205, 'epsilon': 8.481117767430727e-07, 'balanced_loss': True, 'epochs': 114, 'early_stopping_patience': 18, 'plateau_patience': 24, 'plateau_divider': 2}. Best is trial 183 with value: 0.5476273104865623.
[I 2025-02-28 22:15:48,162] Trial 185 finished with value: 0.5223305756129941 and parameters: {'left_stride': 128, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.967406374724096, 'batch_size': 52, 'attention_heads': 14, 'hidden_dimension': 140, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5406166039903665, 'global_pooling': 'max', 'learning_rate': 0.00043585257480091365, 'weight_decay': 4.431570759014191e-05, 'beta_0': 0.8438768968116447, 'beta_1': 0.993027187682988, 'epsilon': 6.81739520770108e-07, 'balanced_loss': True, 'epochs': 120, 'early_stopping_patience': 18, 'plateau_patience': 24, 'plateau_divider': 2}. Best is trial 183 with value: 0.5476273104865623.
[I 2025-02-28 22:36:43,610] Trial 186 finished with value: 0.49609932272771196 and parameters: {'left_stride': 128, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.967402328185234, 'batch_size': 62, 'attention_heads': 14, 'hidden_dimension': 140, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5427259137282611, 'global_pooling': 'max', 'learning_rate': 0.0012760461222173143, 'weight_decay': 5.419460229732059e-05, 'beta_0': 0.8371269029550079, 'beta_1': 0.9922451351414604, 'epsilon': 4.8323811587924e-07, 'balanced_loss': True, 'epochs': 120, 'early_stopping_patience': 17, 'plateau_patience': 24, 'plateau_divider': 2}. Best is trial 183 with value: 0.5476273104865623.
slurmstepd: error: *** JOB 15051892 ON gpu043 CANCELLED AT 2025-02-28T22:42:13 DUE TO TIME LIMIT ***
