[I 2025-03-24 20:21:44,041] Using an existing study with name 'Ohsumed-GATv2-google-bert-bert-base-uncased-Grouped-No_Aggregation-Random_Weights-0.0-0.0' instead of creating a new one.
Token indices sequence length is longer than the specified maximum sequence length for this model (611 > 512). Running this sequence through the model will result in indexing errors
[I 2025-03-24 20:36:25,921] Trial 209 finished with value: 0.6027611884854839 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8774550873786, 'batch_size': 70, 'attention_heads': 11, 'hidden_dimension': 216, 'number_of_hidden_layers': 1, 'dropout_rate': 0.551350730784173, 'global_pooling': 'mean', 'learning_rate': 0.0008024497023673036, 'weight_decay': 2.290513141515367e-05, 'beta_0': 0.8321955105756308, 'beta_1': 0.9977228351425997, 'epsilon': 1.7430109462234172e-05, 'balanced_loss': False, 'epochs': 143, 'early_stopping_patience': 20, 'plateau_patience': 14, 'plateau_divider': 10}. Best is trial 102 with value: 0.6360819998585139.
[I 2025-03-25 05:51:39,818] Trial 245 finished with value: 0.6003337637103716 and parameters: {'left_stride': 128, 'right_stride': 32, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.867706307288954, 'batch_size': 72, 'attention_heads': 13, 'hidden_dimension': 218, 'number_of_hidden_layers': 1, 'dropout_rate': 0.44869532183745436, 'global_pooling': 'mean', 'learning_rate': 0.0007155532670560266, 'weight_decay': 4.0671366217537785e-05, 'beta_0': 0.8060075374191569, 'beta_1': 0.9976502023240708, 'epsilon': 2.7414670260895428e-06, 'balanced_loss': False, 'epochs': 167, 'early_stopping_patience': 22, 'plateau_patience': 15, 'plateau_divider': 10}. Best is trial 102 with value: 0.6360819998585139.
[I 2025-03-25 06:26:27,757] Trial 246 finished with value: 0.4974108424398888 and parameters: {'left_stride': 128, 'right_stride': 32, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8707445101750322, 'batch_size': 76, 'attention_heads': 13, 'hidden_dimension': 195, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4743409091839343, 'global_pooling': 'mean', 'learning_rate': 0.009506064190222313, 'weight_decay': 2.840721448913277e-05, 'beta_0': 0.8015023168336238, 'beta_1': 0.9970841332068109, 'epsilon': 3.5221317619179356e-06, 'balanced_loss': False, 'epochs': 151, 'early_stopping_patience': 21, 'plateau_patience': 15, 'plateau_divider': 10}. Best is trial 102 with value: 0.6360819998585139.
[I 2025-03-25 06:36:25,058] Trial 247 finished with value: 0.5915903747645883 and parameters: {'left_stride': 128, 'right_stride': 32, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8956220031562009, 'batch_size': 74, 'attention_heads': 13, 'hidden_dimension': 34, 'number_of_hidden_layers': 1, 'dropout_rate': 0.46749880911499087, 'global_pooling': 'mean', 'learning_rate': 0.000391648680223716, 'weight_decay': 3.38541085634686e-05, 'beta_0': 0.8056611485791821, 'beta_1': 0.9969590374242631, 'epsilon': 5.4552177390450714e-06, 'balanced_loss': False, 'epochs': 156, 'early_stopping_patience': 21, 'plateau_patience': 15, 'plateau_divider': 10}. Best is trial 102 with value: 0.6360819998585139.
[I 2025-03-25 06:51:48,775] Trial 248 finished with value: 0.6116652765378333 and parameters: {'left_stride': 128, 'right_stride': 32, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8747036893240827, 'batch_size': 72, 'attention_heads': 13, 'hidden_dimension': 206, 'number_of_hidden_layers': 1, 'dropout_rate': 0.47836871822465193, 'global_pooling': 'mean', 'learning_rate': 0.00045087876964864504, 'weight_decay': 4.2512643761078606e-05, 'beta_0': 0.810750432283101, 'beta_1': 0.9973860532115684, 'epsilon': 1.9794727594166613e-06, 'balanced_loss': False, 'epochs': 161, 'early_stopping_patience': 21, 'plateau_patience': 14, 'plateau_divider': 10}. Best is trial 102 with value: 0.6360819998585139.
[I 2025-03-25 07:06:28,340] Trial 249 finished with value: 0.5989691286712817 and parameters: {'left_stride': 128, 'right_stride': 32, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8691426294939014, 'batch_size': 75, 'attention_heads': 12, 'hidden_dimension': 200, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4606654928786364, 'global_pooling': 'mean', 'learning_rate': 0.00035096037507742874, 'weight_decay': 3.588047180335879e-05, 'beta_0': 0.8071209675833347, 'beta_1': 0.9984026727452063, 'epsilon': 4.322246546588317e-06, 'balanced_loss': False, 'epochs': 149, 'early_stopping_patience': 21, 'plateau_patience': 25, 'plateau_divider': 10}. Best is trial 102 with value: 0.6360819998585139.
[I 2025-03-25 07:22:36,972] Trial 250 finished with value: 0.6293815000404033 and parameters: {'left_stride': 128, 'right_stride': 32, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8787062697029492, 'batch_size': 69, 'attention_heads': 13, 'hidden_dimension': 210, 'number_of_hidden_layers': 1, 'dropout_rate': 0.47348018879393994, 'global_pooling': 'mean', 'learning_rate': 0.000574004131408248, 'weight_decay': 1.1209862857296918e-05, 'beta_0': 0.8118892297560196, 'beta_1': 0.9980328116476281, 'epsilon': 5.77731827779953e-06, 'balanced_loss': False, 'epochs': 154, 'early_stopping_patience': 22, 'plateau_patience': 15, 'plateau_divider': 10}. Best is trial 102 with value: 0.6360819998585139.
[I 2025-03-25 07:38:38,699] Trial 251 finished with value: 0.6108666123642511 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8822872150406265, 'batch_size': 68, 'attention_heads': 13, 'hidden_dimension': 211, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4704778189372977, 'global_pooling': 'mean', 'learning_rate': 0.0005714256113798787, 'weight_decay': 9.313190344702038e-06, 'beta_0': 0.8121276334874837, 'beta_1': 0.9980377241826749, 'epsilon': 6.075769335391135e-06, 'balanced_loss': False, 'epochs': 156, 'early_stopping_patience': 23, 'plateau_patience': 15, 'plateau_divider': 10}. Best is trial 102 with value: 0.6360819998585139.
[I 2025-03-25 07:53:57,522] Trial 252 finished with value: 0.605686261259694 and parameters: {'left_stride': 128, 'right_stride': 32, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.878192795590707, 'batch_size': 70, 'attention_heads': 13, 'hidden_dimension': 215, 'number_of_hidden_layers': 1, 'dropout_rate': 0.45536556985042587, 'global_pooling': 'mean', 'learning_rate': 0.0006426261579756916, 'weight_decay': 1.0828936527079629e-05, 'beta_0': 0.8121922960761397, 'beta_1': 0.9978544929745087, 'epsilon': 2.5362450892416606e-06, 'balanced_loss': False, 'epochs': 153, 'early_stopping_patience': 22, 'plateau_patience': 16, 'plateau_divider': 10}. Best is trial 102 with value: 0.6360819998585139.
[I 2025-03-25 08:10:32,775] Trial 253 finished with value: 0.6199726676310503 and parameters: {'left_stride': 128, 'right_stride': 32, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8880938526123989, 'batch_size': 69, 'attention_heads': 14, 'hidden_dimension': 207, 'number_of_hidden_layers': 1, 'dropout_rate': 0.47377499915537047, 'global_pooling': 'mean', 'learning_rate': 0.0004982266586969044, 'weight_decay': 1.1603326223654236e-05, 'beta_0': 0.8116747415231, 'beta_1': 0.9985477177893438, 'epsilon': 6.569082275764902e-06, 'balanced_loss': False, 'epochs': 147, 'early_stopping_patience': 22, 'plateau_patience': 15, 'plateau_divider': 10}. Best is trial 102 with value: 0.6360819998585139.
[I 2025-03-25 08:24:41,756] Trial 254 finished with value: 0.5913080444066756 and parameters: {'left_stride': 128, 'right_stride': 32, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8850345825648313, 'batch_size': 72, 'attention_heads': 13, 'hidden_dimension': 164, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4493145804965977, 'global_pooling': 'mean', 'learning_rate': 0.00025247724606218617, 'weight_decay': 1.6141314956467397e-05, 'beta_0': 0.8146021057940711, 'beta_1': 0.9982572997763792, 'epsilon': 5.285442920940972e-06, 'balanced_loss': False, 'epochs': 161, 'early_stopping_patience': 22, 'plateau_patience': 15, 'plateau_divider': 10}. Best is trial 102 with value: 0.6360819998585139.
[I 2025-03-25 08:39:25,161] Trial 255 finished with value: 0.6205129103180141 and parameters: {'left_stride': 128, 'right_stride': 32, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8745897213571939, 'batch_size': 73, 'attention_heads': 13, 'hidden_dimension': 203, 'number_of_hidden_layers': 1, 'dropout_rate': 0.46345528902815997, 'global_pooling': 'mean', 'learning_rate': 0.0009574658286440991, 'weight_decay': 2.8147090087353518e-05, 'beta_0': 0.8234690611664021, 'beta_1': 0.9976205647273934, 'epsilon': 3.7360239793679364e-06, 'balanced_loss': False, 'epochs': 171, 'early_stopping_patience': 21, 'plateau_patience': 14, 'plateau_divider': 10}. Best is trial 102 with value: 0.6360819998585139.
[I 2025-03-25 08:53:46,104] Trial 256 finished with value: 0.6315375166140051 and parameters: {'left_stride': 128, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.878752245294927, 'batch_size': 71, 'attention_heads': 12, 'hidden_dimension': 194, 'number_of_hidden_layers': 1, 'dropout_rate': 0.47697791567370623, 'global_pooling': 'mean', 'learning_rate': 0.0007780060307330578, 'weight_decay': 2.1715540677553816e-05, 'beta_0': 0.8095261693479058, 'beta_1': 0.9989554805612668, 'epsilon': 3.095395803777298e-06, 'balanced_loss': True, 'epochs': 153, 'early_stopping_patience': 23, 'plateau_patience': 15, 'plateau_divider': 10}. Best is trial 102 with value: 0.6360819998585139.
[I 2025-03-25 09:08:15,831] Trial 257 finished with value: 0.5899655424599258 and parameters: {'left_stride': 128, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8805083700637971, 'batch_size': 74, 'attention_heads': 12, 'hidden_dimension': 194, 'number_of_hidden_layers': 1, 'dropout_rate': 0.47648283848006007, 'global_pooling': 'mean', 'learning_rate': 0.0006773218043227078, 'weight_decay': 2.343688668205383e-05, 'beta_0': 0.8097155648659186, 'beta_1': 0.9972192375196312, 'epsilon': 4.5534765242765246e-06, 'balanced_loss': True, 'epochs': 153, 'early_stopping_patience': 23, 'plateau_patience': 16, 'plateau_divider': 10}. Best is trial 102 with value: 0.6360819998585139.
[I 2025-03-25 09:21:56,191] Trial 258 finished with value: 0.5828668050298634 and parameters: {'left_stride': 128, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.877128176392216, 'batch_size': 71, 'attention_heads': 12, 'hidden_dimension': 188, 'number_of_hidden_layers': 1, 'dropout_rate': 0.46015198800471113, 'global_pooling': 'mean', 'learning_rate': 0.0007668628033442734, 'weight_decay': 2.1698746691063165e-05, 'beta_0': 0.804462204400675, 'beta_1': 0.9980937977905371, 'epsilon': 8.536972741099058e-06, 'balanced_loss': True, 'epochs': 159, 'early_stopping_patience': 23, 'plateau_patience': 15, 'plateau_divider': 9}. Best is trial 102 with value: 0.6360819998585139.
[I 2025-03-25 09:36:23,023] Trial 259 finished with value: 0.6055490810356394 and parameters: {'left_stride': 128, 'right_stride': 256, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.8923378648373431, 'batch_size': 76, 'attention_heads': 12, 'hidden_dimension': 195, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4672484019059093, 'global_pooling': 'mean', 'learning_rate': 0.0008461753837806178, 'weight_decay': 1.3258300703560672e-05, 'beta_0': 0.8315519058935408, 'beta_1': 0.9984984557864521, 'epsilon': 3.1507539406215445e-06, 'balanced_loss': True, 'epochs': 166, 'early_stopping_patience': 22, 'plateau_patience': 15, 'plateau_divider': 10}. Best is trial 102 with value: 0.6360819998585139.
[I 2025-03-25 09:45:37,321] Trial 260 finished with value: 0.6175377043713842 and parameters: {'left_stride': 128, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8819673161895708, 'batch_size': 69, 'attention_heads': 12, 'hidden_dimension': 63, 'number_of_hidden_layers': 1, 'dropout_rate': 0.47285754684200265, 'global_pooling': 'mean', 'learning_rate': 0.0013841351487459649, 'weight_decay': 2.5108260279737932e-05, 'beta_0': 0.806441182977096, 'beta_1': 0.9977586333221542, 'epsilon': 6.625261631498252e-06, 'balanced_loss': False, 'epochs': 156, 'early_stopping_patience': 11, 'plateau_patience': 15, 'plateau_divider': 10}. Best is trial 102 with value: 0.6360819998585139.
[I 2025-03-25 09:59:49,908] Trial 261 finished with value: 0.5875752629578763 and parameters: {'left_stride': 128, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8863732456167598, 'batch_size': 73, 'attention_heads': 12, 'hidden_dimension': 202, 'number_of_hidden_layers': 1, 'dropout_rate': 0.47891974154156647, 'global_pooling': 'mean', 'learning_rate': 0.0005723657171460141, 'weight_decay': 3.0751739259610224e-05, 'beta_0': 0.8283524032768667, 'beta_1': 0.998735019885184, 'epsilon': 2.3214368432714303e-06, 'balanced_loss': True, 'epochs': 152, 'early_stopping_patience': 22, 'plateau_patience': 14, 'plateau_divider': 10}. Best is trial 102 with value: 0.6360819998585139.
[I 2025-03-25 10:15:10,344] Trial 262 finished with value: 0.6067916156211107 and parameters: {'left_stride': 128, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8729830830682732, 'batch_size': 71, 'attention_heads': 12, 'hidden_dimension': 222, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4523952557079835, 'global_pooling': 'mean', 'learning_rate': 0.0004997360317647529, 'weight_decay': 1.8694008238780996e-05, 'beta_0': 0.8975012299571447, 'beta_1': 0.9973826006891395, 'epsilon': 4.000635130406652e-06, 'balanced_loss': True, 'epochs': 144, 'early_stopping_patience': 21, 'plateau_patience': 16, 'plateau_divider': 10}. Best is trial 102 with value: 0.6360819998585139.
[I 2025-03-25 10:30:58,370] Trial 263 finished with value: 0.549759472065379 and parameters: {'left_stride': 128, 'right_stride': 32, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.877504427011735, 'batch_size': 74, 'attention_heads': 12, 'hidden_dimension': 210, 'number_of_hidden_layers': 1, 'dropout_rate': 0.43951758032339755, 'global_pooling': 'sum', 'learning_rate': 0.0004443105809573215, 'weight_decay': 1.0315019859991856e-05, 'beta_0': 0.8683809640718347, 'beta_1': 0.9982154892409305, 'epsilon': 5.382756970431552e-06, 'balanced_loss': True, 'epochs': 147, 'early_stopping_patience': 22, 'plateau_patience': 15, 'plateau_divider': 8}. Best is trial 102 with value: 0.6360819998585139.
CUDA out of memory. Tried to allocate 3.19 GiB. GPU 0 has a total capacity of 44.56 GiB of which 2.37 GiB is free. Including non-PyTorch memory, this process has 42.19 GiB memory in use. Of the allocated memory 38.60 GiB is allocated by PyTorch, and 2.43 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
[I 2025-03-25 10:38:48,280] Trial 264 finished with value: -1.0 and parameters: {'left_stride': 128, 'right_stride': 32, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8673489229801402, 'batch_size': 112, 'attention_heads': 13, 'hidden_dimension': 198, 'number_of_hidden_layers': 1, 'dropout_rate': 0.545417998843913, 'global_pooling': 'mean', 'learning_rate': 0.0007371899738507309, 'weight_decay': 2.9604522375417102e-05, 'beta_0': 0.8226947224921959, 'beta_1': 0.9967562786947333, 'epsilon': 3.0900149965108954e-06, 'balanced_loss': False, 'epochs': 160, 'early_stopping_patience': 21, 'plateau_patience': 15, 'plateau_divider': 10}. Best is trial 102 with value: 0.6360819998585139.
[I 2025-03-25 10:56:09,657] Trial 265 finished with value: 0.5925252162288601 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.9076538426991552, 'batch_size': 77, 'attention_heads': 11, 'hidden_dimension': 186, 'number_of_hidden_layers': 3, 'dropout_rate': 0.46649471404500753, 'global_pooling': 'mean', 'learning_rate': 0.0005469846930527179, 'weight_decay': 2.5730098970331668e-05, 'beta_0': 0.8080786481957117, 'beta_1': 0.9977475024010894, 'epsilon': 8.989190466809577e-06, 'balanced_loss': False, 'epochs': 164, 'early_stopping_patience': 21, 'plateau_patience': 14, 'plateau_divider': 9}. Best is trial 102 with value: 0.6360819998585139.
[I 2025-03-25 11:10:47,237] Trial 266 finished with value: 0.6212823776633781 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8892948175746117, 'batch_size': 68, 'attention_heads': 12, 'hidden_dimension': 191, 'number_of_hidden_layers': 1, 'dropout_rate': 0.47994327874397746, 'global_pooling': 'mean', 'learning_rate': 0.00034301485092217283, 'weight_decay': 1.4378118145646002e-05, 'beta_0': 0.8245974596685991, 'beta_1': 0.998680914208725, 'epsilon': 2.059065900609498e-06, 'balanced_loss': False, 'epochs': 154, 'early_stopping_patience': 23, 'plateau_patience': 15, 'plateau_divider': 10}. Best is trial 102 with value: 0.6360819998585139.
[I 2025-03-25 11:25:48,080] Trial 267 finished with value: 0.5984861403862888 and parameters: {'left_stride': 128, 'right_stride': 32, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.872060055196727, 'batch_size': 75, 'attention_heads': 13, 'hidden_dimension': 206, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4585063178624792, 'global_pooling': 'mean', 'learning_rate': 0.0010652392184118363, 'weight_decay': 3.960400856269476e-05, 'beta_0': 0.8345471570744821, 'beta_1': 0.9973111314504657, 'epsilon': 6.842677164521773e-06, 'balanced_loss': False, 'epochs': 150, 'early_stopping_patience': 22, 'plateau_patience': 16, 'plateau_divider': 10}. Best is trial 102 with value: 0.6360819998585139.
[I 2025-03-25 11:36:54,848] Trial 268 finished with value: 0.5020213434102494 and parameters: {'left_stride': 128, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.9882805384275714, 'batch_size': 72, 'attention_heads': 14, 'hidden_dimension': 197, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5382031951303031, 'global_pooling': 'mean', 'learning_rate': 0.00040990241396836796, 'weight_decay': 2.129355729631286e-05, 'beta_0': 0.8301551626416781, 'beta_1': 0.9989865321009459, 'epsilon': 4.387342060301192e-06, 'balanced_loss': False, 'epochs': 137, 'early_stopping_patience': 21, 'plateau_patience': 15, 'plateau_divider': 10}. Best is trial 102 with value: 0.6360819998585139.
[I 2025-03-25 11:51:32,437] Trial 269 finished with value: 0.5519420484397022 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.8803170499318683, 'batch_size': 71, 'attention_heads': 12, 'hidden_dimension': 215, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4454084293853307, 'global_pooling': 'mean', 'learning_rate': 0.0006248462522421087, 'weight_decay': 3.233331018654451e-05, 'beta_0': 0.8268721156207416, 'beta_1': 0.99805444698364, 'epsilon': 1.0171171531856696e-05, 'balanced_loss': False, 'epochs': 131, 'early_stopping_patience': 21, 'plateau_patience': 15, 'plateau_divider': 10}. Best is trial 102 with value: 0.6360819998585139.
[I 2025-03-25 12:07:04,769] Trial 270 finished with value: 0.6203931854201084 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8846225521209535, 'batch_size': 78, 'attention_heads': 13, 'hidden_dimension': 200, 'number_of_hidden_layers': 1, 'dropout_rate': 0.47181536358017173, 'global_pooling': 'mean', 'learning_rate': 0.0009112899829602569, 'weight_decay': 8.91765350940879e-06, 'beta_0': 0.8378002793600065, 'beta_1': 0.9984048924091162, 'epsilon': 5.4265237960724425e-06, 'balanced_loss': False, 'epochs': 169, 'early_stopping_patience': 23, 'plateau_patience': 14, 'plateau_divider': 10}. Best is trial 102 with value: 0.6360819998585139.
[I 2025-03-25 12:19:29,638] Trial 271 finished with value: 0.5750097906403705 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.9530721765571505, 'batch_size': 69, 'attention_heads': 12, 'hidden_dimension': 209, 'number_of_hidden_layers': 1, 'dropout_rate': 0.48560807505516884, 'global_pooling': 'mean', 'learning_rate': 0.0003016223080234225, 'weight_decay': 7.264788096979998e-06, 'beta_0': 0.8004923738914893, 'beta_1': 0.9976261511816514, 'epsilon': 1.5792799046085953e-06, 'balanced_loss': False, 'epochs': 157, 'early_stopping_patience': 22, 'plateau_patience': 15, 'plateau_divider': 10}. Best is trial 102 with value: 0.6360819998585139.
slurmstepd: error: *** JOB 15459385 ON gpu030 CANCELLED AT 2025-03-25T12:21:29 DUE TO TIME LIMIT ***
