[I 2025-03-31 09:04:49,334] Using an existing study with name 'Ohsumed-GATv2-google-bert-bert-base-uncased-Grouped-No_Aggregation-No_Ablation-1.0-0.25' instead of creating a new one.
Token indices sequence length is longer than the specified maximum sequence length for this model (611 > 512). Running this sequence through the model will result in indexing errors
[I 2025-03-31 09:27:57,521] Trial 151 finished with value: 0.5266184571016004 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.8754249836061104, 'batch_size': 59, 'attention_heads': 9, 'hidden_dimension': 165, 'number_of_hidden_layers': 1, 'dropout_rate': 0.43240722222676925, 'global_pooling': 'mean', 'learning_rate': 3.669591461834728e-05, 'weight_decay': 0.0003055769204551954, 'beta_0': 0.8333121524725766, 'beta_1': 0.9911222408032522, 'epsilon': 8.251626469991404e-05, 'balanced_loss': False, 'epochs': 128, 'early_stopping_patience': 22, 'plateau_patience': 19, 'plateau_divider': 6}. Best is trial 105 with value: 0.5873065616004729.
[I 2025-03-31 18:15:01,097] Trial 187 finished with value: 0.5381475694871655 and parameters: {'left_stride': 32, 'right_stride': 32, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.9019818797364633, 'batch_size': 54, 'attention_heads': 11, 'hidden_dimension': 163, 'number_of_hidden_layers': 2, 'dropout_rate': 0.38701595967365987, 'global_pooling': 'mean', 'learning_rate': 0.001082204970091299, 'weight_decay': 0.0007298857429401576, 'beta_0': 0.8551795782962339, 'beta_1': 0.9923941358734374, 'epsilon': 6.670982394163794e-05, 'balanced_loss': True, 'epochs': 173, 'early_stopping_patience': 23, 'plateau_patience': 17, 'plateau_divider': 8}. Best is trial 159 with value: 0.5933114785827998.
[I 2025-03-31 18:27:48,617] Trial 188 finished with value: 0.5684019790289816 and parameters: {'left_stride': 32, 'right_stride': 32, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.9132241128819314, 'batch_size': 51, 'attention_heads': 9, 'hidden_dimension': 158, 'number_of_hidden_layers': 2, 'dropout_rate': 0.37048177590844017, 'global_pooling': 'mean', 'learning_rate': 0.000645985692064516, 'weight_decay': 1.0187506766687732e-05, 'beta_0': 0.8540444079660612, 'beta_1': 0.993064165632145, 'epsilon': 5.4034549225531135e-05, 'balanced_loss': True, 'epochs': 164, 'early_stopping_patience': 24, 'plateau_patience': 16, 'plateau_divider': 8}. Best is trial 159 with value: 0.5933114785827998.
[I 2025-03-31 18:42:25,462] Trial 189 finished with value: 0.552770474554979 and parameters: {'left_stride': 32, 'right_stride': 32, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8650260389268135, 'batch_size': 48, 'attention_heads': 9, 'hidden_dimension': 159, 'number_of_hidden_layers': 2, 'dropout_rate': 0.42664522694875956, 'global_pooling': 'mean', 'learning_rate': 0.0006322698246349333, 'weight_decay': 7.52326623035563e-05, 'beta_0': 0.8579977321615826, 'beta_1': 0.9870983927340145, 'epsilon': 5.390789472529624e-05, 'balanced_loss': True, 'epochs': 170, 'early_stopping_patience': 25, 'plateau_patience': 15, 'plateau_divider': 9}. Best is trial 159 with value: 0.5933114785827998.
[I 2025-03-31 18:58:59,429] Trial 190 finished with value: 0.5390967204209928 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.9303447862657568, 'batch_size': 53, 'attention_heads': 14, 'hidden_dimension': 167, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4778793695596564, 'global_pooling': 'mean', 'learning_rate': 0.0004221818077823214, 'weight_decay': 7.159911003456905e-06, 'beta_0': 0.8194396584218876, 'beta_1': 0.9893003731196588, 'epsilon': 3.734287015033354e-05, 'balanced_loss': True, 'epochs': 160, 'early_stopping_patience': 24, 'plateau_patience': 20, 'plateau_divider': 8}. Best is trial 159 with value: 0.5933114785827998.
[I 2025-03-31 19:12:01,249] Trial 191 finished with value: 0.5219507836080431 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.9141627128408267, 'batch_size': 56, 'attention_heads': 9, 'hidden_dimension': 141, 'number_of_hidden_layers': 2, 'dropout_rate': 0.36563025498835916, 'global_pooling': 'mean', 'learning_rate': 0.00031394563910705525, 'weight_decay': 2.4575743221758976e-06, 'beta_0': 0.8534685149954281, 'beta_1': 0.9830450762032037, 'epsilon': 3.2478643940148524e-07, 'balanced_loss': False, 'epochs': 151, 'early_stopping_patience': 24, 'plateau_patience': 17, 'plateau_divider': 9}. Best is trial 159 with value: 0.5933114785827998.
[I 2025-03-31 19:26:06,607] Trial 192 finished with value: 0.5621822199624992 and parameters: {'left_stride': 256, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.8944202601045601, 'batch_size': 78, 'attention_heads': 12, 'hidden_dimension': 171, 'number_of_hidden_layers': 1, 'dropout_rate': 0.37615011766876594, 'global_pooling': 'mean', 'learning_rate': 0.0007584734607042046, 'weight_decay': 1.6841449554861482e-06, 'beta_0': 0.8410458654624086, 'beta_1': 0.9918558899603139, 'epsilon': 5.632049931245564e-05, 'balanced_loss': False, 'epochs': 154, 'early_stopping_patience': 22, 'plateau_patience': 10, 'plateau_divider': 10}. Best is trial 159 with value: 0.5933114785827998.
[I 2025-03-31 19:36:59,798] Trial 193 finished with value: 0.43278442162887254 and parameters: {'left_stride': 32, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.919699008998325, 'batch_size': 41, 'attention_heads': 8, 'hidden_dimension': 147, 'number_of_hidden_layers': 1, 'dropout_rate': 0.44881704635176994, 'global_pooling': 'sum', 'learning_rate': 0.0005001481710997786, 'weight_decay': 0.00046334947758425827, 'beta_0': 0.8255805359692172, 'beta_1': 0.9930501416084596, 'epsilon': 2.933684943865458e-05, 'balanced_loss': True, 'epochs': 144, 'early_stopping_patience': 24, 'plateau_patience': 25, 'plateau_divider': 6}. Best is trial 159 with value: 0.5933114785827998.
[I 2025-03-31 20:18:27,585] Trial 194 finished with value: 0.493154979751475 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.8798161966946377, 'batch_size': 44, 'attention_heads': 14, 'hidden_dimension': 153, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4154887457447163, 'global_pooling': 'mean', 'learning_rate': 1.908281558507995e-05, 'weight_decay': 1.0132676469130985e-05, 'beta_0': 0.8461206659307731, 'beta_1': 0.9877297444874155, 'epsilon': 4.5252932280163394e-05, 'balanced_loss': False, 'epochs': 168, 'early_stopping_patience': 21, 'plateau_patience': 18, 'plateau_divider': 9}. Best is trial 159 with value: 0.5933114785827998.
[I 2025-03-31 20:31:34,388] Trial 195 finished with value: 0.536490923953096 and parameters: {'left_stride': 32, 'right_stride': 32, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.9105359914774048, 'batch_size': 51, 'attention_heads': 10, 'hidden_dimension': 156, 'number_of_hidden_layers': 2, 'dropout_rate': 0.3568147069730595, 'global_pooling': 'mean', 'learning_rate': 0.0009152575761364961, 'weight_decay': 0.0008349277904865892, 'beta_0': 0.8505008238643315, 'beta_1': 0.99288966298055, 'epsilon': 7.322024997264592e-05, 'balanced_loss': True, 'epochs': 164, 'early_stopping_patience': 23, 'plateau_patience': 16, 'plateau_divider': 8}. Best is trial 159 with value: 0.5933114785827998.
[I 2025-03-31 20:44:59,110] Trial 196 finished with value: 0.5727020612643203 and parameters: {'left_stride': 32, 'right_stride': 32, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.9163074506085216, 'batch_size': 52, 'attention_heads': 11, 'hidden_dimension': 160, 'number_of_hidden_layers': 2, 'dropout_rate': 0.3711733198726389, 'global_pooling': 'mean', 'learning_rate': 0.0005771618065758505, 'weight_decay': 0.0007036616580202434, 'beta_0': 0.8274613051731875, 'beta_1': 0.9935223361340225, 'epsilon': 7.630612581021728e-05, 'balanced_loss': True, 'epochs': 165, 'early_stopping_patience': 24, 'plateau_patience': 16, 'plateau_divider': 8}. Best is trial 159 with value: 0.5933114785827998.
[I 2025-03-31 20:59:19,148] Trial 197 finished with value: 0.5926884067339676 and parameters: {'left_stride': 32, 'right_stride': 32, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.9230300916457947, 'batch_size': 54, 'attention_heads': 11, 'hidden_dimension': 161, 'number_of_hidden_layers': 2, 'dropout_rate': 0.42036347570428984, 'global_pooling': 'mean', 'learning_rate': 0.000579163175483678, 'weight_decay': 5.141183827058605e-06, 'beta_0': 0.8283459813728999, 'beta_1': 0.9937735749082139, 'epsilon': 6.570554630407578e-05, 'balanced_loss': True, 'epochs': 173, 'early_stopping_patience': 25, 'plateau_patience': 16, 'plateau_divider': 8}. Best is trial 159 with value: 0.5933114785827998.
[I 2025-03-31 21:13:35,097] Trial 198 finished with value: 0.5521250286268412 and parameters: {'left_stride': 32, 'right_stride': 32, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.9160802891400968, 'batch_size': 59, 'attention_heads': 11, 'hidden_dimension': 164, 'number_of_hidden_layers': 2, 'dropout_rate': 0.43658923187981197, 'global_pooling': 'mean', 'learning_rate': 0.0005529771704826967, 'weight_decay': 5.203508406114821e-06, 'beta_0': 0.8291113542181604, 'beta_1': 0.9939157172234807, 'epsilon': 6.22120420649815e-05, 'balanced_loss': True, 'epochs': 175, 'early_stopping_patience': 25, 'plateau_patience': 16, 'plateau_divider': 8}. Best is trial 159 with value: 0.5933114785827998.
[I 2025-03-31 21:23:30,140] Trial 199 finished with value: 0.5316358057188387 and parameters: {'left_stride': 32, 'right_stride': 32, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.9214801734198801, 'batch_size': 55, 'attention_heads': 11, 'hidden_dimension': 51, 'number_of_hidden_layers': 2, 'dropout_rate': 0.42281232551687664, 'global_pooling': 'mean', 'learning_rate': 0.0003797112409476074, 'weight_decay': 1.0069686246705737e-06, 'beta_0': 0.8317480164554953, 'beta_1': 0.9934921395157548, 'epsilon': 5.093616861043366e-05, 'balanced_loss': True, 'epochs': 172, 'early_stopping_patience': 25, 'plateau_patience': 16, 'plateau_divider': 8}. Best is trial 159 with value: 0.5933114785827998.
[I 2025-03-31 21:37:14,999] Trial 200 finished with value: 0.5636198250171114 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.9261523177009943, 'batch_size': 47, 'attention_heads': 11, 'hidden_dimension': 160, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4318591731522483, 'global_pooling': 'mean', 'learning_rate': 0.00045210642635596564, 'weight_decay': 4.88594137068447e-06, 'beta_0': 0.827207522121465, 'beta_1': 0.9942295715016262, 'epsilon': 3.9802527623338015e-05, 'balanced_loss': True, 'epochs': 135, 'early_stopping_patience': 25, 'plateau_patience': 15, 'plateau_divider': 8}. Best is trial 159 with value: 0.5933114785827998.
[I 2025-03-31 21:51:49,528] Trial 201 finished with value: 0.5320449626869082 and parameters: {'left_stride': 128, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.9179810325635622, 'batch_size': 50, 'attention_heads': 11, 'hidden_dimension': 175, 'number_of_hidden_layers': 2, 'dropout_rate': 0.34475492717462664, 'global_pooling': 'mean', 'learning_rate': 0.00026220075295585563, 'weight_decay': 2.1107999862638706e-06, 'beta_0': 0.8267976800250211, 'beta_1': 0.9925434419409412, 'epsilon': 6.230629376495638e-05, 'balanced_loss': True, 'epochs': 140, 'early_stopping_patience': 22, 'plateau_patience': 17, 'plateau_divider': 7}. Best is trial 159 with value: 0.5933114785827998.
[I 2025-03-31 22:05:27,308] Trial 202 finished with value: 0.5106099671376327 and parameters: {'left_stride': 0, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.9345848958367087, 'batch_size': 57, 'attention_heads': 8, 'hidden_dimension': 167, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4207048110210177, 'global_pooling': 'mean', 'learning_rate': 4.9986411003841345e-05, 'weight_decay': 2.199554539619878e-05, 'beta_0': 0.8302276634186859, 'beta_1': 0.9937655542661412, 'epsilon': 1.9657024520879818e-05, 'balanced_loss': True, 'epochs': 181, 'early_stopping_patience': 24, 'plateau_patience': 15, 'plateau_divider': 5}. Best is trial 159 with value: 0.5933114785827998.
[I 2025-03-31 22:17:11,259] Trial 203 finished with value: 0.5420313846197461 and parameters: {'left_stride': 128, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.9257169210481982, 'batch_size': 54, 'attention_heads': 14, 'hidden_dimension': 161, 'number_of_hidden_layers': 1, 'dropout_rate': 0.3496006791755766, 'global_pooling': 'mean', 'learning_rate': 0.0005806652337425242, 'weight_decay': 0.0006133775849839505, 'beta_0': 0.823040593734071, 'beta_1': 0.9921653659690931, 'epsilon': 3.4390714728782975e-05, 'balanced_loss': True, 'epochs': 158, 'early_stopping_patience': 21, 'plateau_patience': 16, 'plateau_divider': 6}. Best is trial 159 with value: 0.5933114785827998.
[I 2025-03-31 22:31:30,561] Trial 204 finished with value: 0.5468009156545663 and parameters: {'left_stride': 32, 'right_stride': 32, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8748643986082134, 'batch_size': 82, 'attention_heads': 10, 'hidden_dimension': 135, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4129043559237691, 'global_pooling': 'max', 'learning_rate': 0.0003078968841756922, 'weight_decay': 1.3470144136379677e-05, 'beta_0': 0.843208034845943, 'beta_1': 0.9931705131858342, 'epsilon': 4.671437564655368e-05, 'balanced_loss': True, 'epochs': 162, 'early_stopping_patience': 21, 'plateau_patience': 17, 'plateau_divider': 8}. Best is trial 159 with value: 0.5933114785827998.
[I 2025-03-31 22:45:24,082] Trial 205 finished with value: 0.5619815303702456 and parameters: {'left_stride': 32, 'right_stride': 32, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.9121612631635578, 'batch_size': 52, 'attention_heads': 12, 'hidden_dimension': 150, 'number_of_hidden_layers': 2, 'dropout_rate': 0.37400767749957065, 'global_pooling': 'mean', 'learning_rate': 0.0006817968544832419, 'weight_decay': 1.662203850899856e-05, 'beta_0': 0.8253749848861931, 'beta_1': 0.9896734370171275, 'epsilon': 8.092878661266698e-05, 'balanced_loss': True, 'epochs': 170, 'early_stopping_patience': 24, 'plateau_patience': 16, 'plateau_divider': 8}. Best is trial 159 with value: 0.5933114785827998.
[I 2025-03-31 23:03:02,134] Trial 206 finished with value: 0.5733062564883555 and parameters: {'left_stride': 32, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.8847543850722436, 'batch_size': 54, 'attention_heads': 12, 'hidden_dimension': 158, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5118694115816782, 'global_pooling': 'mean', 'learning_rate': 0.0006957465298307693, 'weight_decay': 0.000748121785296869, 'beta_0': 0.8479096676688224, 'beta_1': 0.9888461011043541, 'epsilon': 7.729432991566533e-05, 'balanced_loss': False, 'epochs': 168, 'early_stopping_patience': 24, 'plateau_patience': 21, 'plateau_divider': 8}. Best is trial 159 with value: 0.5933114785827998.
[I 2025-03-31 23:19:45,759] Trial 207 finished with value: 0.46144387492064803 and parameters: {'left_stride': 32, 'right_stride': 32, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.8847664019735085, 'batch_size': 49, 'attention_heads': 11, 'hidden_dimension': 158, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5425584430860141, 'global_pooling': 'mean', 'learning_rate': 0.0005286159378181111, 'weight_decay': 0.0005321328083924053, 'beta_0': 0.8478550613605615, 'beta_1': 0.9891928526600501, 'epsilon': 6.717043932041492e-05, 'balanced_loss': False, 'epochs': 174, 'early_stopping_patience': 25, 'plateau_patience': 22, 'plateau_divider': 8}. Best is trial 159 with value: 0.5933114785827998.
[I 2025-03-31 23:33:32,381] Trial 208 finished with value: 0.5702387113475055 and parameters: {'left_stride': 32, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.8763168128044571, 'batch_size': 56, 'attention_heads': 7, 'hidden_dimension': 164, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5210350921383389, 'global_pooling': 'mean', 'learning_rate': 0.0007658726017963889, 'weight_decay': 3.5749593809266203e-06, 'beta_0': 0.8491443048014503, 'beta_1': 0.9885644350051439, 'epsilon': 5.3298311593256483e-05, 'balanced_loss': True, 'epochs': 178, 'early_stopping_patience': 24, 'plateau_patience': 21, 'plateau_divider': 8}. Best is trial 159 with value: 0.5933114785827998.
[I 2025-03-31 23:49:07,380] Trial 209 finished with value: 0.5698384972118666 and parameters: {'left_stride': 32, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.8359630127465859, 'batch_size': 55, 'attention_heads': 7, 'hidden_dimension': 170, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5308704530311753, 'global_pooling': 'mean', 'learning_rate': 0.0007797172470312595, 'weight_decay': 6.509201974900262e-06, 'beta_0': 0.8488906118593832, 'beta_1': 0.9882424755579792, 'epsilon': 5.885551871772794e-05, 'balanced_loss': False, 'epochs': 171, 'early_stopping_patience': 24, 'plateau_patience': 21, 'plateau_divider': 8}. Best is trial 159 with value: 0.5933114785827998.
[I 2025-04-01 00:05:54,537] Trial 210 finished with value: 0.5652314512504906 and parameters: {'left_stride': 32, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.8151734751315052, 'batch_size': 55, 'attention_heads': 7, 'hidden_dimension': 181, 'number_of_hidden_layers': 2, 'dropout_rate': 0.527778404185212, 'global_pooling': 'mean', 'learning_rate': 0.0007827180398200351, 'weight_decay': 6.155984686072906e-06, 'beta_0': 0.8502917089374213, 'beta_1': 0.9884709295436287, 'epsilon': 5.506916530692941e-05, 'balanced_loss': False, 'epochs': 170, 'early_stopping_patience': 24, 'plateau_patience': 21, 'plateau_divider': 8}. Best is trial 159 with value: 0.5933114785827998.
[I 2025-04-01 00:20:16,237] Trial 211 finished with value: 0.5496724544774821 and parameters: {'left_stride': 32, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.8772593394886042, 'batch_size': 58, 'attention_heads': 7, 'hidden_dimension': 170, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5133644010878746, 'global_pooling': 'mean', 'learning_rate': 0.0008252316032932457, 'weight_decay': 5.363075073580046e-06, 'beta_0': 0.8487489436782659, 'beta_1': 0.9879442700044865, 'epsilon': 6.969383233582126e-05, 'balanced_loss': True, 'epochs': 176, 'early_stopping_patience': 24, 'plateau_patience': 21, 'plateau_divider': 8}. Best is trial 159 with value: 0.5933114785827998.
[I 2025-04-01 00:33:19,534] Trial 212 finished with value: 0.5589422126133103 and parameters: {'left_stride': 32, 'right_stride': 32, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8105092030900917, 'batch_size': 56, 'attention_heads': 7, 'hidden_dimension': 171, 'number_of_hidden_layers': 1, 'dropout_rate': 0.532650960021987, 'global_pooling': 'mean', 'learning_rate': 0.000620086727517295, 'weight_decay': 3.527841610612597e-06, 'beta_0': 0.8455191146444807, 'beta_1': 0.9886373255031197, 'epsilon': 5.709501401580943e-05, 'balanced_loss': False, 'epochs': 177, 'early_stopping_patience': 25, 'plateau_patience': 21, 'plateau_divider': 8}. Best is trial 159 with value: 0.5933114785827998.
[I 2025-04-01 00:46:49,898] Trial 213 finished with value: 0.5466163547064528 and parameters: {'left_stride': 32, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.8707177585223039, 'batch_size': 53, 'attention_heads': 7, 'hidden_dimension': 165, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5123950123574947, 'global_pooling': 'mean', 'learning_rate': 0.0009254750583112362, 'weight_decay': 7.359384512647047e-06, 'beta_0': 0.8471239751192349, 'beta_1': 0.9888198117298135, 'epsilon': 4.261841084326012e-08, 'balanced_loss': False, 'epochs': 164, 'early_stopping_patience': 20, 'plateau_patience': 20, 'plateau_divider': 8}. Best is trial 159 with value: 0.5933114785827998.
[I 2025-04-01 00:59:37,523] Trial 214 finished with value: 0.5246681532143326 and parameters: {'left_stride': 32, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.8811546845605758, 'batch_size': 52, 'attention_heads': 6, 'hidden_dimension': 160, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5365503778531174, 'global_pooling': 'mean', 'learning_rate': 0.000742472447327039, 'weight_decay': 4.086456692212835e-06, 'beta_0': 0.8513363822447986, 'beta_1': 0.988083645073737, 'epsilon': 7.880329022385806e-05, 'balanced_loss': False, 'epochs': 168, 'early_stopping_patience': 24, 'plateau_patience': 21, 'plateau_divider': 8}. Best is trial 159 with value: 0.5933114785827998.
[I 2025-04-01 01:13:51,949] Trial 215 finished with value: 0.5554921217254749 and parameters: {'left_stride': 32, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.8736866002969077, 'batch_size': 54, 'attention_heads': 7, 'hidden_dimension': 163, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5216958172351861, 'global_pooling': 'mean', 'learning_rate': 0.0004534478259450445, 'weight_decay': 1.0597261951856789e-05, 'beta_0': 0.8524442160728162, 'beta_1': 0.9882339096859526, 'epsilon': 6.286581167441418e-05, 'balanced_loss': False, 'epochs': 171, 'early_stopping_patience': 23, 'plateau_patience': 21, 'plateau_divider': 8}. Best is trial 159 with value: 0.5933114785827998.
[I 2025-04-01 01:28:24,566] Trial 216 finished with value: 0.5363455800251223 and parameters: {'left_stride': 32, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.8240686541001839, 'batch_size': 51, 'attention_heads': 7, 'hidden_dimension': 156, 'number_of_hidden_layers': 2, 'dropout_rate': 0.36532594299675153, 'global_pooling': 'mean', 'learning_rate': 0.0005939072141434948, 'weight_decay': 4.704010038984816e-06, 'beta_0': 0.8494552422703585, 'beta_1': 0.988915167912427, 'epsilon': 4.7412651605679725e-05, 'balanced_loss': False, 'epochs': 174, 'early_stopping_patience': 24, 'plateau_patience': 21, 'plateau_divider': 8}. Best is trial 159 with value: 0.5933114785827998.
[I 2025-04-01 01:50:00,228] Trial 217 finished with value: 0.5361522915271348 and parameters: {'left_stride': 32, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.8678431073358781, 'batch_size': 56, 'attention_heads': 15, 'hidden_dimension': 167, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4991468176818163, 'global_pooling': 'mean', 'learning_rate': 0.0007209514734080654, 'weight_decay': 6.9744456776482784e-06, 'beta_0': 0.8633022898038637, 'beta_1': 0.992657326568978, 'epsilon': 7.50868404624724e-05, 'balanced_loss': False, 'epochs': 167, 'early_stopping_patience': 22, 'plateau_patience': 20, 'plateau_divider': 8}. Best is trial 159 with value: 0.5933114785827998.
[I 2025-04-01 02:08:35,295] Trial 218 finished with value: 0.5408967166146514 and parameters: {'left_stride': 32, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.838785524659225, 'batch_size': 58, 'attention_heads': 9, 'hidden_dimension': 176, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5242032574278803, 'global_pooling': 'mean', 'learning_rate': 0.00040697429436339276, 'weight_decay': 3.1714531111929815e-06, 'beta_0': 0.8323417224430425, 'beta_1': 0.9934449650526218, 'epsilon': 5.4295381381525035e-05, 'balanced_loss': False, 'epochs': 178, 'early_stopping_patience': 24, 'plateau_patience': 21, 'plateau_divider': 2}. Best is trial 159 with value: 0.5933114785827998.
[I 2025-04-01 02:21:48,793] Trial 219 finished with value: 0.5453998785872062 and parameters: {'left_stride': 64, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.8786238827949322, 'batch_size': 49, 'attention_heads': 7, 'hidden_dimension': 161, 'number_of_hidden_layers': 2, 'dropout_rate': 0.42688967134994793, 'global_pooling': 'mean', 'learning_rate': 0.0011950774162653426, 'weight_decay': 0.0007117910279900153, 'beta_0': 0.8287753882853198, 'beta_1': 0.9960538980801095, 'epsilon': 4.3472899430491985e-05, 'balanced_loss': False, 'epochs': 172, 'early_stopping_patience': 21, 'plateau_patience': 16, 'plateau_divider': 8}. Best is trial 159 with value: 0.5933114785827998.
[I 2025-04-01 02:34:32,337] Trial 220 finished with value: 0.5666825516543864 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.8831513220488814, 'batch_size': 54, 'attention_heads': 6, 'hidden_dimension': 152, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5197878175040019, 'global_pooling': 'mean', 'learning_rate': 0.0005198536409767251, 'weight_decay': 1.1702950337851194e-06, 'beta_0': 0.8459893275975446, 'beta_1': 0.991491515904237, 'epsilon': 9.813340650161841e-05, 'balanced_loss': True, 'epochs': 148, 'early_stopping_patience': 23, 'plateau_patience': 22, 'plateau_divider': 8}. Best is trial 159 with value: 0.5933114785827998.
[I 2025-04-01 02:48:41,851] Trial 221 finished with value: 0.5559198295819224 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.8846575876083655, 'batch_size': 54, 'attention_heads': 8, 'hidden_dimension': 150, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5279233536115265, 'global_pooling': 'mean', 'learning_rate': 0.0005508490497750576, 'weight_decay': 1.6584162895917853e-06, 'beta_0': 0.8450449014356304, 'beta_1': 0.9919231597942308, 'epsilon': 9.848061175650325e-05, 'balanced_loss': True, 'epochs': 148, 'early_stopping_patience': 23, 'plateau_patience': 22, 'plateau_divider': 8}. Best is trial 159 with value: 0.5933114785827998.
[I 2025-04-01 03:00:45,206] Trial 222 finished with value: 0.5522743135699296 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.8322724735912724, 'batch_size': 60, 'attention_heads': 6, 'hidden_dimension': 153, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5166566276687206, 'global_pooling': 'mean', 'learning_rate': 0.0008776238644417474, 'weight_decay': 1.1222394363662451e-06, 'beta_0': 0.8388280697776649, 'beta_1': 0.9921818993426827, 'epsilon': 7.906208001949382e-05, 'balanced_loss': True, 'epochs': 144, 'early_stopping_patience': 22, 'plateau_patience': 22, 'plateau_divider': 8}. Best is trial 159 with value: 0.5933114785827998.
