[I 2025-02-22 04:47:39,982] Using an existing study with name 'Ohsumed-GATv2-google-bert-bert-base-uncased-Surrogate-No_Aggregation-Single_Unitary_Weight-0.0-0.0' instead of creating a new one.
Token indices sequence length is longer than the specified maximum sequence length for this model (611 > 512). Running this sequence through the model will result in indexing errors
[I 2025-02-22 05:03:40,063] Trial 214 finished with value: 0.5470196933817312 and parameters: {'left_stride': 0, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.9177796836678671, 'batch_size': 58, 'attention_heads': 6, 'hidden_dimension': 65, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4513488142230209, 'global_pooling': 'sum', 'learning_rate': 0.0010307288450776765, 'weight_decay': 0.0005888394257496521, 'beta_0': 0.8185713241314859, 'beta_1': 0.9878839461151293, 'epsilon': 1.6074108719666707e-07, 'balanced_loss': False, 'epochs': 55, 'early_stopping_patience': 21, 'plateau_patience': 13, 'plateau_divider': 10}. Best is trial 201 with value: 0.64818182684936.
[I 2025-02-22 18:01:08,878] Trial 249 finished with value: 0.6270190183120787 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.9218410558707707, 'batch_size': 65, 'attention_heads': 16, 'hidden_dimension': 77, 'number_of_hidden_layers': 1, 'dropout_rate': 0.42509357611333887, 'global_pooling': 'max', 'learning_rate': 0.0004998523281122819, 'weight_decay': 1.4783931894385886e-05, 'beta_0': 0.8153225705657796, 'beta_1': 0.9879557328393662, 'epsilon': 7.675241541303962e-08, 'balanced_loss': False, 'epochs': 55, 'early_stopping_patience': 20, 'plateau_patience': 13, 'plateau_divider': 10}. Best is trial 222 with value: 0.6575405977059186.
CUDA out of memory. Tried to allocate 3.44 GiB. GPU 0 has a total capacity of 44.56 GiB of which 3.21 GiB is free. Including non-PyTorch memory, this process has 41.34 GiB memory in use. Of the allocated memory 36.33 GiB is allocated by PyTorch, and 3.86 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
[I 2025-02-22 18:20:40,822] Trial 250 finished with value: -1.0 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.9173576147136705, 'batch_size': 67, 'attention_heads': 16, 'hidden_dimension': 85, 'number_of_hidden_layers': 1, 'dropout_rate': 0.40661241258218184, 'global_pooling': 'max', 'learning_rate': 0.0010594230231240646, 'weight_decay': 2.4235776802458817e-06, 'beta_0': 0.8225073932039686, 'beta_1': 0.9876767508727471, 'epsilon': 5.4926632193053805e-08, 'balanced_loss': False, 'epochs': 58, 'early_stopping_patience': 19, 'plateau_patience': 13, 'plateau_divider': 10}. Best is trial 222 with value: 0.6575405977059186.
CUDA out of memory. Tried to allocate 7.21 GiB. GPU 0 has a total capacity of 44.56 GiB of which 5.15 GiB is free. Including non-PyTorch memory, this process has 39.40 GiB memory in use. Of the allocated memory 37.70 GiB is allocated by PyTorch, and 564.17 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
[I 2025-02-22 18:33:38,932] Trial 251 finished with value: -1.0 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.9126096099497509, 'batch_size': 64, 'attention_heads': 16, 'hidden_dimension': 243, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4197898326926068, 'global_pooling': 'max', 'learning_rate': 0.0007726053730689185, 'weight_decay': 1.201802528648565e-05, 'beta_0': 0.8112335049713525, 'beta_1': 0.9892334747216158, 'epsilon': 7.831194026038003e-08, 'balanced_loss': False, 'epochs': 52, 'early_stopping_patience': 20, 'plateau_patience': 13, 'plateau_divider': 10}. Best is trial 222 with value: 0.6575405977059186.
[I 2025-02-22 18:54:52,106] Trial 252 finished with value: 0.6037979437439064 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.926669963683505, 'batch_size': 61, 'attention_heads': 16, 'hidden_dimension': 74, 'number_of_hidden_layers': 1, 'dropout_rate': 0.42664522694875956, 'global_pooling': 'max', 'learning_rate': 0.000611617264362554, 'weight_decay': 7.853464294948861e-06, 'beta_0': 0.8148654371471394, 'beta_1': 0.9883492367192138, 'epsilon': 1.0392633164468265e-07, 'balanced_loss': False, 'epochs': 50, 'early_stopping_patience': 20, 'plateau_patience': 12, 'plateau_divider': 10}. Best is trial 222 with value: 0.6575405977059186.
[I 2025-02-22 19:21:47,779] Trial 253 finished with value: 0.6139592818562043 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.9226303028317743, 'batch_size': 69, 'attention_heads': 16, 'hidden_dimension': 82, 'number_of_hidden_layers': 1, 'dropout_rate': 0.41233023531296575, 'global_pooling': 'max', 'learning_rate': 0.00043069669399822694, 'weight_decay': 6.282459843356561e-06, 'beta_0': 0.8130394060448207, 'beta_1': 0.9873187004122993, 'epsilon': 5.94286458532427e-08, 'balanced_loss': False, 'epochs': 56, 'early_stopping_patience': 20, 'plateau_patience': 13, 'plateau_divider': 10}. Best is trial 222 with value: 0.6575405977059186.
[I 2025-02-22 19:43:02,659] Trial 254 finished with value: 0.600988106718609 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.9095785114230658, 'batch_size': 65, 'attention_heads': 16, 'hidden_dimension': 69, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4188753792909842, 'global_pooling': 'max', 'learning_rate': 0.0010539061935999797, 'weight_decay': 1.0894848761373192e-05, 'beta_0': 0.8095642716082769, 'beta_1': 0.9886852074981447, 'epsilon': 4.331270902641938e-08, 'balanced_loss': False, 'epochs': 61, 'early_stopping_patience': 20, 'plateau_patience': 22, 'plateau_divider': 10}. Best is trial 222 with value: 0.6575405977059186.
[I 2025-02-22 20:05:27,764] Trial 255 finished with value: 0.6418213380597411 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.9190067931999797, 'batch_size': 67, 'attention_heads': 16, 'hidden_dimension': 78, 'number_of_hidden_layers': 1, 'dropout_rate': 0.40246925116726023, 'global_pooling': 'max', 'learning_rate': 0.0007313815198612056, 'weight_decay': 1.2221645778904138e-06, 'beta_0': 0.8112088473836002, 'beta_1': 0.9880174284254275, 'epsilon': 8.989560663163392e-08, 'balanced_loss': False, 'epochs': 53, 'early_stopping_patience': 20, 'plateau_patience': 12, 'plateau_divider': 10}. Best is trial 222 with value: 0.6575405977059186.
[I 2025-02-22 20:21:29,916] Trial 256 finished with value: 0.6190704232856932 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.9246729138516043, 'batch_size': 70, 'attention_heads': 5, 'hidden_dimension': 77, 'number_of_hidden_layers': 1, 'dropout_rate': 0.3947525701147858, 'global_pooling': 'max', 'learning_rate': 0.0008652749434387937, 'weight_decay': 1.3889800900388476e-06, 'beta_0': 0.8077332935326914, 'beta_1': 0.9878081623197973, 'epsilon': 9.453953268773881e-08, 'balanced_loss': False, 'epochs': 54, 'early_stopping_patience': 18, 'plateau_patience': 12, 'plateau_divider': 10}. Best is trial 222 with value: 0.6575405977059186.
slurmstepd: error: *** JOB 14982945 ON gpu046 CANCELLED AT 2025-02-22T20:47:43 DUE TO TIME LIMIT ***
