[I 2025-04-02 05:20:10,662] Using an existing study with name 'SST-2-GATv2-facebook-bart-large-Grouped-Sliding_Windows' instead of creating a new one.
[I 2025-04-02 05:26:18,044] Trial 45 finished with value: 0.9472477064220184 and parameters: {'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'min', 'window_size': 8, 'batch_size': 99, 'attention_heads': 12, 'hidden_dimension': 43, 'number_of_hidden_layers': 4, 'dropout_rate': 0.5783235673893313, 'global_pooling': 'max', 'learning_rate': 0.0017404079915057443, 'weight_decay': 4.005745168633896e-06, 'beta_0': 0.8370061709044418, 'beta_1': 0.9815213717834694, 'epsilon': 3.6437159475175004e-07, 'balanced_loss': True, 'epochs': 99, 'early_stopping_patience': 20, 'plateau_patience': 11, 'plateau_divider': 6}. Best is trial 42 with value: 0.9495412844036697.
[I 2025-04-02 09:31:26,500] Trial 84 finished with value: 0.9461009174311926 and parameters: {'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'min', 'window_size': 8, 'batch_size': 221, 'attention_heads': 15, 'hidden_dimension': 85, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5801040748743701, 'global_pooling': 'max', 'learning_rate': 0.0025271479355876867, 'weight_decay': 3.2670885250405665e-05, 'beta_0': 0.8420927718942616, 'beta_1': 0.982976684718097, 'epsilon': 1.977350990605284e-06, 'balanced_loss': False, 'epochs': 64, 'early_stopping_patience': 20, 'plateau_patience': 14, 'plateau_divider': 4}. Best is trial 61 with value: 0.9518348623853211.
[I 2025-04-02 09:37:44,603] Trial 85 finished with value: 0.9461009174311926 and parameters: {'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'min', 'window_size': 7, 'batch_size': 195, 'attention_heads': 14, 'hidden_dimension': 108, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5691274206728035, 'global_pooling': 'max', 'learning_rate': 0.002024544250582675, 'weight_decay': 2.133517741362846e-06, 'beta_0': 0.8478212754615946, 'beta_1': 0.9923494137525556, 'epsilon': 2.57460978553638e-06, 'balanced_loss': False, 'epochs': 58, 'early_stopping_patience': 19, 'plateau_patience': 11, 'plateau_divider': 5}. Best is trial 61 with value: 0.9518348623853211.
[I 2025-04-02 09:44:30,269] Trial 86 finished with value: 0.9495412844036697 and parameters: {'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'min', 'window_size': 9, 'batch_size': 212, 'attention_heads': 10, 'hidden_dimension': 96, 'number_of_hidden_layers': 4, 'dropout_rate': 0.5363234018447783, 'global_pooling': 'max', 'learning_rate': 0.003942852960452266, 'weight_decay': 1.8619199397562663e-05, 'beta_0': 0.858226090904883, 'beta_1': 0.9903827814865431, 'epsilon': 8.557801016057071e-07, 'balanced_loss': False, 'epochs': 82, 'early_stopping_patience': 18, 'plateau_patience': 12, 'plateau_divider': 4}. Best is trial 61 with value: 0.9518348623853211.
[I 2025-04-02 09:51:34,904] Trial 87 finished with value: 0.944954128440367 and parameters: {'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'mean', 'window_size': 8, 'batch_size': 184, 'attention_heads': 16, 'hidden_dimension': 98, 'number_of_hidden_layers': 4, 'dropout_rate': 0.5329286921735733, 'global_pooling': 'max', 'learning_rate': 0.005315431887235918, 'weight_decay': 2.6393069395662773e-05, 'beta_0': 0.8590947630342396, 'beta_1': 0.9919932945173169, 'epsilon': 9.253281217547627e-07, 'balanced_loss': False, 'epochs': 72, 'early_stopping_patience': 17, 'plateau_patience': 12, 'plateau_divider': 4}. Best is trial 61 with value: 0.9518348623853211.
[I 2025-04-02 09:58:17,403] Trial 88 finished with value: 0.944954128440367 and parameters: {'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'min', 'window_size': 7, 'batch_size': 165, 'attention_heads': 10, 'hidden_dimension': 119, 'number_of_hidden_layers': 4, 'dropout_rate': 0.5214259515458797, 'global_pooling': 'max', 'learning_rate': 0.00390743347408499, 'weight_decay': 2.057913594850832e-05, 'beta_0': 0.8392141248450027, 'beta_1': 0.993383773633271, 'epsilon': 7.072347925584962e-07, 'balanced_loss': True, 'epochs': 90, 'early_stopping_patience': 16, 'plateau_patience': 11, 'plateau_divider': 4}. Best is trial 61 with value: 0.9518348623853211.
[I 2025-04-02 10:04:28,092] Trial 89 finished with value: 0.7190366972477065 and parameters: {'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'min', 'window_size': 2, 'batch_size': 212, 'attention_heads': 10, 'hidden_dimension': 130, 'number_of_hidden_layers': 4, 'dropout_rate': 0.55036804281342, 'global_pooling': 'max', 'learning_rate': 0.008665601789481444, 'weight_decay': 5.589698932304167e-05, 'beta_0': 0.8348570444162425, 'beta_1': 0.9902882457864487, 'epsilon': 3.1318350367986136e-07, 'balanced_loss': False, 'epochs': 84, 'early_stopping_patience': 18, 'plateau_patience': 10, 'plateau_divider': 5}. Best is trial 61 with value: 0.9518348623853211.
[I 2025-04-02 10:10:47,032] Trial 90 finished with value: 0.8360091743119266 and parameters: {'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'min', 'window_size': 8, 'batch_size': 206, 'attention_heads': 9, 'hidden_dimension': 95, 'number_of_hidden_layers': 4, 'dropout_rate': 0.5388457179478306, 'global_pooling': 'max', 'learning_rate': 0.010489555599293892, 'weight_decay': 3.972711162046946e-05, 'beta_0': 0.8523038293017687, 'beta_1': 0.994474960558247, 'epsilon': 4.239564280750262e-06, 'balanced_loss': True, 'epochs': 68, 'early_stopping_patience': 18, 'plateau_patience': 12, 'plateau_divider': 6}. Best is trial 61 with value: 0.9518348623853211.
[I 2025-04-02 10:17:04,883] Trial 91 finished with value: 0.9472477064220184 and parameters: {'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'min', 'window_size': 6, 'batch_size': 89, 'attention_heads': 8, 'hidden_dimension': 106, 'number_of_hidden_layers': 4, 'dropout_rate': 0.564464757045427, 'global_pooling': 'max', 'learning_rate': 0.0033778207678188685, 'weight_decay': 1.447033926461261e-05, 'beta_0': 0.8466234920070665, 'beta_1': 0.9910271548334295, 'epsilon': 3.14443279143347e-06, 'balanced_loss': False, 'epochs': 76, 'early_stopping_patience': 19, 'plateau_patience': 13, 'plateau_divider': 4}. Best is trial 61 with value: 0.9518348623853211.
[I 2025-04-02 10:23:18,021] Trial 92 finished with value: 0.9415137614678899 and parameters: {'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'min', 'window_size': 9, 'batch_size': 71, 'attention_heads': 11, 'hidden_dimension': 46, 'number_of_hidden_layers': 4, 'dropout_rate': 0.48587780445297374, 'global_pooling': 'sum', 'learning_rate': 0.005661334456463845, 'weight_decay': 8.726809373649268e-06, 'beta_0': 0.8312506171677241, 'beta_1': 0.9814365302352775, 'epsilon': 1.2952374197430555e-07, 'balanced_loss': True, 'epochs': 83, 'early_stopping_patience': 19, 'plateau_patience': 11, 'plateau_divider': 3}. Best is trial 61 with value: 0.9518348623853211.
[I 2025-04-02 10:29:38,164] Trial 93 finished with value: 0.9461009174311926 and parameters: {'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'min', 'window_size': 10, 'batch_size': 243, 'attention_heads': 10, 'hidden_dimension': 60, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5742948858104152, 'global_pooling': 'max', 'learning_rate': 0.0009647812406575159, 'weight_decay': 2.2336447794964663e-05, 'beta_0': 0.8561849779023435, 'beta_1': 0.9884094954146364, 'epsilon': 1.2068571695349597e-06, 'balanced_loss': False, 'epochs': 151, 'early_stopping_patience': 17, 'plateau_patience': 13, 'plateau_divider': 3}. Best is trial 61 with value: 0.9518348623853211.
[I 2025-04-02 10:36:23,083] Trial 94 finished with value: 0.948394495412844 and parameters: {'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'min', 'window_size': 9, 'batch_size': 217, 'attention_heads': 12, 'hidden_dimension': 82, 'number_of_hidden_layers': 4, 'dropout_rate': 0.5913026896690535, 'global_pooling': 'max', 'learning_rate': 0.001472650928819571, 'weight_decay': 1.738883805389552e-06, 'beta_0': 0.804013716657965, 'beta_1': 0.9900519048736354, 'epsilon': 1.717269969819348e-06, 'balanced_loss': False, 'epochs': 56, 'early_stopping_patience': 18, 'plateau_patience': 13, 'plateau_divider': 5}. Best is trial 61 with value: 0.9518348623853211.
[I 2025-04-02 10:42:54,265] Trial 95 finished with value: 0.9495412844036697 and parameters: {'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'min', 'window_size': 9, 'batch_size': 224, 'attention_heads': 14, 'hidden_dimension': 53, 'number_of_hidden_layers': 4, 'dropout_rate': 0.5589881293164284, 'global_pooling': 'max', 'learning_rate': 0.002908583640456337, 'weight_decay': 1.3942677916506146e-06, 'beta_0': 0.8434929347089305, 'beta_1': 0.9891521750100137, 'epsilon': 2.2126815389394885e-06, 'balanced_loss': False, 'epochs': 79, 'early_stopping_patience': 20, 'plateau_patience': 12, 'plateau_divider': 2}. Best is trial 61 with value: 0.9518348623853211.
[I 2025-04-02 10:49:06,106] Trial 96 finished with value: 0.948394495412844 and parameters: {'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'min', 'window_size': 8, 'batch_size': 206, 'attention_heads': 14, 'hidden_dimension': 36, 'number_of_hidden_layers': 4, 'dropout_rate': 0.5453706267189354, 'global_pooling': 'max', 'learning_rate': 0.0028222061430054654, 'weight_decay': 1.3713396263362688e-06, 'beta_0': 0.8386303429612793, 'beta_1': 0.98666835509634, 'epsilon': 2.184749896138942e-06, 'balanced_loss': False, 'epochs': 79, 'early_stopping_patience': 20, 'plateau_patience': 23, 'plateau_divider': 3}. Best is trial 61 with value: 0.9518348623853211.
[I 2025-04-02 10:55:42,752] Trial 97 finished with value: 0.944954128440367 and parameters: {'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'min', 'window_size': 9, 'batch_size': 186, 'attention_heads': 15, 'hidden_dimension': 53, 'number_of_hidden_layers': 4, 'dropout_rate': 0.5594877484266292, 'global_pooling': 'max', 'learning_rate': 0.002118408061847618, 'weight_decay': 1.233988327493718e-06, 'beta_0': 0.8428828151137866, 'beta_1': 0.9916611408236901, 'epsilon': 6.731673640405267e-06, 'balanced_loss': False, 'epochs': 90, 'early_stopping_patience': 20, 'plateau_patience': 12, 'plateau_divider': 5}. Best is trial 61 with value: 0.9518348623853211.
[I 2025-04-02 11:01:37,246] Trial 98 finished with value: 0.944954128440367 and parameters: {'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'min', 'window_size': 8, 'batch_size': 194, 'attention_heads': 9, 'hidden_dimension': 46, 'number_of_hidden_layers': 4, 'dropout_rate': 0.42440201251770077, 'global_pooling': 'max', 'learning_rate': 0.003825704363936269, 'weight_decay': 2.6918996623159008e-06, 'beta_0': 0.8512997870374803, 'beta_1': 0.9892626361008432, 'epsilon': 6.764425368952198e-08, 'balanced_loss': True, 'epochs': 94, 'early_stopping_patience': 19, 'plateau_patience': 11, 'plateau_divider': 2}. Best is trial 61 with value: 0.9518348623853211.
[I 2025-04-02 11:07:32,232] Trial 99 finished with value: 0.9438073394495413 and parameters: {'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'mean', 'window_size': 7, 'batch_size': 224, 'attention_heads': 8, 'hidden_dimension': 66, 'number_of_hidden_layers': 4, 'dropout_rate': 0.3602204621343139, 'global_pooling': 'max', 'learning_rate': 0.0017778642920622584, 'weight_decay': 7.304779028639532e-05, 'beta_0': 0.848608734399904, 'beta_1': 0.985688040150345, 'epsilon': 1.2542230836810658e-05, 'balanced_loss': False, 'epochs': 65, 'early_stopping_patience': 19, 'plateau_patience': 12, 'plateau_divider': 6}. Best is trial 61 with value: 0.9518348623853211.
[I 2025-04-02 11:15:42,284] Trial 100 finished with value: 0.9472477064220184 and parameters: {'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'min', 'window_size': 10, 'batch_size': 226, 'attention_heads': 11, 'hidden_dimension': 157, 'number_of_hidden_layers': 4, 'dropout_rate': 0.49583741795856157, 'global_pooling': 'max', 'learning_rate': 0.0012419451530769614, 'weight_decay': 1.115360074928396e-06, 'beta_0': 0.8370970821929935, 'beta_1': 0.9878496821904442, 'epsilon': 4.672332326552967e-07, 'balanced_loss': True, 'epochs': 76, 'early_stopping_patience': 18, 'plateau_patience': 14, 'plateau_divider': 4}. Best is trial 61 with value: 0.9518348623853211.
[I 2025-04-02 11:25:34,373] Trial 101 finished with value: 0.9461009174311926 and parameters: {'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'min', 'window_size': 9, 'batch_size': 148, 'attention_heads': 16, 'hidden_dimension': 93, 'number_of_hidden_layers': 4, 'dropout_rate': 0.5519392803188204, 'global_pooling': 'max', 'learning_rate': 0.004629952588422094, 'weight_decay': 4.035798667204962e-05, 'beta_0': 0.8271511492906564, 'beta_1': 0.9842711192402283, 'epsilon': 8.756467838710331e-07, 'balanced_loss': False, 'epochs': 81, 'early_stopping_patience': 20, 'plateau_patience': 11, 'plateau_divider': 2}. Best is trial 61 with value: 0.9518348623853211.
[I 2025-04-02 11:32:45,664] Trial 102 finished with value: 0.9461009174311926 and parameters: {'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'min', 'window_size': 8, 'batch_size': 41, 'attention_heads': 10, 'hidden_dimension': 39, 'number_of_hidden_layers': 4, 'dropout_rate': 0.5153413460431299, 'global_pooling': 'max', 'learning_rate': 0.0031069875513286406, 'weight_decay': 1.1871669574327428e-05, 'beta_0': 0.8640324510404443, 'beta_1': 0.9926310025739422, 'epsilon': 9.456202740028627e-08, 'balanced_loss': False, 'epochs': 98, 'early_stopping_patience': 19, 'plateau_patience': 12, 'plateau_divider': 4}. Best is trial 61 with value: 0.9518348623853211.
[I 2025-04-02 11:39:16,997] Trial 103 finished with value: 0.9461009174311926 and parameters: {'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'min', 'window_size': 9, 'batch_size': 215, 'attention_heads': 14, 'hidden_dimension': 50, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5797755388964917, 'global_pooling': 'max', 'learning_rate': 0.00039634457104500357, 'weight_decay': 2.1553873853830516e-06, 'beta_0': 0.8245453427214886, 'beta_1': 0.9837304334346793, 'epsilon': 1.5119038979772312e-06, 'balanced_loss': False, 'epochs': 51, 'early_stopping_patience': 21, 'plateau_patience': 13, 'plateau_divider': 2}. Best is trial 61 with value: 0.9518348623853211.
[I 2025-04-02 11:46:07,935] Trial 104 finished with value: 0.9461009174311926 and parameters: {'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'min', 'window_size': 9, 'batch_size': 202, 'attention_heads': 14, 'hidden_dimension': 58, 'number_of_hidden_layers': 4, 'dropout_rate': 0.5634207575473719, 'global_pooling': 'max', 'learning_rate': 0.007130977141942731, 'weight_decay': 3.134673315590188e-06, 'beta_0': 0.8572896957507942, 'beta_1': 0.9906907123154995, 'epsilon': 1.3385798318020237e-06, 'balanced_loss': False, 'epochs': 134, 'early_stopping_patience': 12, 'plateau_patience': 15, 'plateau_divider': 2}. Best is trial 61 with value: 0.9518348623853211.
[I 2025-04-02 11:53:12,844] Trial 105 finished with value: 0.948394495412844 and parameters: {'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'min', 'window_size': 9, 'batch_size': 174, 'attention_heads': 13, 'hidden_dimension': 85, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5737781790078043, 'global_pooling': 'max', 'learning_rate': 0.0008250658888428993, 'weight_decay': 1.6076717711153291e-06, 'beta_0': 0.8438604818600662, 'beta_1': 0.9809344260646291, 'epsilon': 6.409933219807774e-07, 'balanced_loss': False, 'epochs': 191, 'early_stopping_patience': 21, 'plateau_patience': 13, 'plateau_divider': 2}. Best is trial 61 with value: 0.9518348623853211.
