[I 2025-03-08 05:46:56,344] Using an existing study with name 'R8-GATv2-google-bert-bert-base-uncased-Surrogate-No_Aggregation-Random_Attentions-0.0-0.0' instead of creating a new one.
Token indices sequence length is longer than the specified maximum sequence length for this model (639 > 512). Running this sequence through the model will result in indexing errors
[I 2025-03-08 05:56:41,623] Trial 205 finished with value: 0.9551208053488776 and parameters: {'left_stride': 64, 'right_stride': 256, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.8123894423605966, 'batch_size': 106, 'attention_heads': 4, 'hidden_dimension': 89, 'number_of_hidden_layers': 1, 'dropout_rate': 0.55817699683856, 'global_pooling': 'max', 'learning_rate': 0.0006404848848522196, 'weight_decay': 0.00039818822146132823, 'beta_0': 0.8102388153176246, 'beta_1': 0.989110490436202, 'epsilon': 7.388008239728212e-07, 'balanced_loss': False, 'epochs': 131, 'early_stopping_patience': 15, 'plateau_patience': 21, 'plateau_divider': 9}. Best is trial 75 with value: 0.9678401438557276.
[I 2025-03-08 11:05:34,297] Trial 238 finished with value: 0.9565164316670847 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.9201314886957754, 'batch_size': 174, 'attention_heads': 13, 'hidden_dimension': 45, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5878997198370179, 'global_pooling': 'max', 'learning_rate': 0.0006637491871357691, 'weight_decay': 0.0005381220380098656, 'beta_0': 0.802088735932635, 'beta_1': 0.9856793360342232, 'epsilon': 4.806938894881807e-06, 'balanced_loss': False, 'epochs': 166, 'early_stopping_patience': 14, 'plateau_patience': 20, 'plateau_divider': 10}. Best is trial 75 with value: 0.9678401438557276.
[I 2025-03-08 11:14:24,999] Trial 239 finished with value: 0.9465063838468192 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.906812338027261, 'batch_size': 193, 'attention_heads': 12, 'hidden_dimension': 40, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5890777268542624, 'global_pooling': 'max', 'learning_rate': 0.0007938484815954457, 'weight_decay': 0.000677053764218802, 'beta_0': 0.8029148912467055, 'beta_1': 0.9857563606450201, 'epsilon': 4.402496159310445e-06, 'balanced_loss': False, 'epochs': 102, 'early_stopping_patience': 14, 'plateau_patience': 20, 'plateau_divider': 5}. Best is trial 75 with value: 0.9678401438557276.
[I 2025-03-08 11:22:57,383] Trial 240 finished with value: 0.9484289232359778 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.931017641924157, 'batch_size': 220, 'attention_heads': 12, 'hidden_dimension': 47, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5858887933138507, 'global_pooling': 'max', 'learning_rate': 0.0011938997234857628, 'weight_decay': 0.000564613230581668, 'beta_0': 0.8013050025311543, 'beta_1': 0.9846059829618029, 'epsilon': 6.682541172751849e-06, 'balanced_loss': False, 'epochs': 158, 'early_stopping_patience': 14, 'plateau_patience': 20, 'plateau_divider': 10}. Best is trial 75 with value: 0.9678401438557276.
[I 2025-03-08 11:33:31,408] Trial 241 finished with value: 0.9559321047003536 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.9121494137832404, 'batch_size': 183, 'attention_heads': 14, 'hidden_dimension': 51, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5946341557845587, 'global_pooling': 'max', 'learning_rate': 0.0007210736487702913, 'weight_decay': 0.0007587244271035805, 'beta_0': 0.8015445619739067, 'beta_1': 0.9860980512116582, 'epsilon': 7.752322345763261e-06, 'balanced_loss': False, 'epochs': 96, 'early_stopping_patience': 14, 'plateau_patience': 19, 'plateau_divider': 10}. Best is trial 75 with value: 0.9678401438557276.
[I 2025-03-08 11:42:44,237] Trial 242 finished with value: 0.9496290980969053 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.9107731637594537, 'batch_size': 173, 'attention_heads': 14, 'hidden_dimension': 44, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5963760565519474, 'global_pooling': 'max', 'learning_rate': 0.0007317121845045112, 'weight_decay': 0.0008110152832726025, 'beta_0': 0.8003351693314583, 'beta_1': 0.9855516326206148, 'epsilon': 4.515271556323001e-06, 'balanced_loss': False, 'epochs': 94, 'early_stopping_patience': 14, 'plateau_patience': 19, 'plateau_divider': 10}. Best is trial 75 with value: 0.9678401438557276.
[I 2025-03-08 11:51:50,818] Trial 243 finished with value: 0.9236875323294267 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'max', 'threshold': 0.9219422004008047, 'batch_size': 179, 'attention_heads': 14, 'hidden_dimension': 56, 'number_of_hidden_layers': 1, 'dropout_rate': 0.42664522694875956, 'global_pooling': 'sum', 'learning_rate': 0.0009484792147828709, 'weight_decay': 0.0007206523859439732, 'beta_0': 0.8000423218155642, 'beta_1': 0.985963191653561, 'epsilon': 5.679305780645326e-06, 'balanced_loss': False, 'epochs': 169, 'early_stopping_patience': 14, 'plateau_patience': 20, 'plateau_divider': 10}. Best is trial 75 with value: 0.9678401438557276.
[I 2025-03-08 12:00:53,041] Trial 244 finished with value: 0.9456840210222068 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.9206493748004011, 'batch_size': 177, 'attention_heads': 15, 'hidden_dimension': 51, 'number_of_hidden_layers': 1, 'dropout_rate': 0.587046750588111, 'global_pooling': 'max', 'learning_rate': 0.0005864149663072581, 'weight_decay': 0.000632204683984853, 'beta_0': 0.8027981380541317, 'beta_1': 0.9850489379446712, 'epsilon': 1.9011356597682536e-05, 'balanced_loss': False, 'epochs': 166, 'early_stopping_patience': 14, 'plateau_patience': 19, 'plateau_divider': 10}. Best is trial 75 with value: 0.9678401438557276.
[I 2025-03-08 12:09:43,628] Trial 245 finished with value: 0.9563154415767751 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.9134269799932738, 'batch_size': 188, 'attention_heads': 14, 'hidden_dimension': 38, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5953088308734498, 'global_pooling': 'max', 'learning_rate': 0.0007538651991162878, 'weight_decay': 0.0005312542513883949, 'beta_0': 0.8023001488391006, 'beta_1': 0.9854033326953616, 'epsilon': 8.309228367680993e-06, 'balanced_loss': False, 'epochs': 104, 'early_stopping_patience': 14, 'plateau_patience': 18, 'plateau_divider': 10}. Best is trial 75 with value: 0.9678401438557276.
[I 2025-03-08 12:19:02,984] Trial 246 finished with value: 0.9605313587944078 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.9141153689631211, 'batch_size': 182, 'attention_heads': 13, 'hidden_dimension': 43, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5933560634773417, 'global_pooling': 'max', 'learning_rate': 0.0007107285225316882, 'weight_decay': 0.0005072275673717577, 'beta_0': 0.8017072838923637, 'beta_1': 0.9864083210609906, 'epsilon': 7.908602760242527e-06, 'balanced_loss': False, 'epochs': 86, 'early_stopping_patience': 14, 'plateau_patience': 18, 'plateau_divider': 10}. Best is trial 75 with value: 0.9678401438557276.
[I 2025-03-08 12:28:19,803] Trial 247 finished with value: 0.9561746980190728 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.9137680165343447, 'batch_size': 185, 'attention_heads': 14, 'hidden_dimension': 43, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5936332410236453, 'global_pooling': 'max', 'learning_rate': 0.0006961324506348121, 'weight_decay': 0.0004946577536605633, 'beta_0': 0.8020439452057097, 'beta_1': 0.9859645350926178, 'epsilon': 8.317154054176791e-06, 'balanced_loss': False, 'epochs': 91, 'early_stopping_patience': 14, 'plateau_patience': 18, 'plateau_divider': 10}. Best is trial 75 with value: 0.9678401438557276.
[I 2025-03-08 12:39:06,145] Trial 248 finished with value: 0.9628095067704254 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.9132432561013626, 'batch_size': 190, 'attention_heads': 14, 'hidden_dimension': 47, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5998326447519081, 'global_pooling': 'max', 'learning_rate': 0.0007063030872663663, 'weight_decay': 0.00048761548937850717, 'beta_0': 0.8017978963722455, 'beta_1': 0.9863768288501192, 'epsilon': 8.496080384060758e-06, 'balanced_loss': False, 'epochs': 83, 'early_stopping_patience': 14, 'plateau_patience': 18, 'plateau_divider': 10}. Best is trial 75 with value: 0.9678401438557276.
[I 2025-03-08 12:48:53,367] Trial 249 finished with value: 0.9563932323102795 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.9133692678140877, 'batch_size': 188, 'attention_heads': 14, 'hidden_dimension': 44, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5988688588320045, 'global_pooling': 'max', 'learning_rate': 0.000757579729690625, 'weight_decay': 0.0004715124518656899, 'beta_0': 0.8023166083729489, 'beta_1': 0.9862871659648834, 'epsilon': 8.365132431185654e-06, 'balanced_loss': False, 'epochs': 82, 'early_stopping_patience': 14, 'plateau_patience': 18, 'plateau_divider': 10}. Best is trial 75 with value: 0.9678401438557276.
[I 2025-03-08 12:59:31,978] Trial 250 finished with value: 0.9482032218401777 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.9242973268769742, 'batch_size': 189, 'attention_heads': 14, 'hidden_dimension': 38, 'number_of_hidden_layers': 1, 'dropout_rate': 0.598650827737936, 'global_pooling': 'max', 'learning_rate': 0.0008171944361242031, 'weight_decay': 0.00046479622847846294, 'beta_0': 0.8038706945257545, 'beta_1': 0.9864902106008043, 'epsilon': 1.2192468350160891e-05, 'balanced_loss': False, 'epochs': 85, 'early_stopping_patience': 14, 'plateau_patience': 17, 'plateau_divider': 10}. Best is trial 75 with value: 0.9678401438557276.
[I 2025-03-08 13:07:40,438] Trial 251 finished with value: 0.9503235860642878 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.9174316675175608, 'batch_size': 185, 'attention_heads': 13, 'hidden_dimension': 42, 'number_of_hidden_layers': 1, 'dropout_rate': 0.31420403896794724, 'global_pooling': 'max', 'learning_rate': 0.0005096649668440191, 'weight_decay': 0.00047290725038385845, 'beta_0': 0.8027478664985023, 'beta_1': 0.9863911811670931, 'epsilon': 5.333084706901224e-06, 'balanced_loss': False, 'epochs': 88, 'early_stopping_patience': 14, 'plateau_patience': 18, 'plateau_divider': 10}. Best is trial 75 with value: 0.9678401438557276.
[I 2025-03-08 13:18:59,465] Trial 252 finished with value: 0.9514161878935683 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.9181881520146994, 'batch_size': 196, 'attention_heads': 14, 'hidden_dimension': 46, 'number_of_hidden_layers': 1, 'dropout_rate': 0.594196366000496, 'global_pooling': 'max', 'learning_rate': 0.0008478036024742255, 'weight_decay': 0.0005049879452730209, 'beta_0': 0.8048258158795583, 'beta_1': 0.9872112235619344, 'epsilon': 1.0321433062272e-05, 'balanced_loss': False, 'epochs': 81, 'early_stopping_patience': 14, 'plateau_patience': 19, 'plateau_divider': 10}. Best is trial 75 with value: 0.9678401438557276.
[I 2025-03-08 13:27:21,668] Trial 253 finished with value: 0.9430980422882321 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.9308680541449565, 'batch_size': 181, 'attention_heads': 15, 'hidden_dimension': 36, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5923800963326069, 'global_pooling': 'mean', 'learning_rate': 0.0006943189245502096, 'weight_decay': 0.00040888811052757005, 'beta_0': 0.8035152834092243, 'beta_1': 0.986643076545559, 'epsilon': 8.335946568352779e-06, 'balanced_loss': False, 'epochs': 79, 'early_stopping_patience': 13, 'plateau_patience': 18, 'plateau_divider': 10}. Best is trial 75 with value: 0.9678401438557276.
[I 2025-03-08 13:36:40,195] Trial 254 finished with value: 0.9601014821652651 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.9150825246009803, 'batch_size': 186, 'attention_heads': 14, 'hidden_dimension': 46, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5980195025918913, 'global_pooling': 'max', 'learning_rate': 0.0005463318468887666, 'weight_decay': 0.0005222125870039218, 'beta_0': 0.8015168801237567, 'beta_1': 0.9857625042798914, 'epsilon': 8.454473735785684e-06, 'balanced_loss': False, 'epochs': 83, 'early_stopping_patience': 14, 'plateau_patience': 17, 'plateau_divider': 10}. Best is trial 75 with value: 0.9678401438557276.
[I 2025-03-08 13:47:35,889] Trial 255 finished with value: 0.9567403154305631 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.9028685854971374, 'batch_size': 188, 'attention_heads': 14, 'hidden_dimension': 43, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5962522491230611, 'global_pooling': 'max', 'learning_rate': 0.0004653050938634067, 'weight_decay': 0.0005068303004744704, 'beta_0': 0.8018045720016419, 'beta_1': 0.9857672845706167, 'epsilon': 1.4918352898429651e-05, 'balanced_loss': False, 'epochs': 72, 'early_stopping_patience': 14, 'plateau_patience': 20, 'plateau_divider': 10}. Best is trial 75 with value: 0.9678401438557276.
[I 2025-03-08 13:58:52,034] Trial 256 finished with value: 0.9548361609093755 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.9006041370458011, 'batch_size': 187, 'attention_heads': 14, 'hidden_dimension': 43, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5995712033888718, 'global_pooling': 'max', 'learning_rate': 0.0004407621998316892, 'weight_decay': 0.0005054105581655039, 'beta_0': 0.8019793677118515, 'beta_1': 0.9857669934572694, 'epsilon': 2.948810224120871e-05, 'balanced_loss': False, 'epochs': 86, 'early_stopping_patience': 14, 'plateau_patience': 17, 'plateau_divider': 10}. Best is trial 75 with value: 0.9678401438557276.
[I 2025-03-08 14:08:18,318] Trial 257 finished with value: 0.9555829491575718 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.9150936837366707, 'batch_size': 197, 'attention_heads': 14, 'hidden_dimension': 49, 'number_of_hidden_layers': 1, 'dropout_rate': 0.598189655082603, 'global_pooling': 'max', 'learning_rate': 0.0005368890152477514, 'weight_decay': 0.0004318307834737006, 'beta_0': 0.8016311765732329, 'beta_1': 0.9855053862288164, 'epsilon': 8.359705381824193e-06, 'balanced_loss': False, 'epochs': 77, 'early_stopping_patience': 14, 'plateau_patience': 17, 'plateau_divider': 10}. Best is trial 75 with value: 0.9678401438557276.
[I 2025-03-08 14:23:08,279] Trial 258 finished with value: 0.8218037271054838 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.9047940700315439, 'batch_size': 190, 'attention_heads': 14, 'hidden_dimension': 46, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5924792040395633, 'global_pooling': 'max', 'learning_rate': 1.7549203848008e-05, 'weight_decay': 0.0005077275908465337, 'beta_0': 0.8041756173969277, 'beta_1': 0.9860254170621946, 'epsilon': 9.1150570275063e-06, 'balanced_loss': False, 'epochs': 83, 'early_stopping_patience': 14, 'plateau_patience': 18, 'plateau_divider': 10}. Best is trial 75 with value: 0.9678401438557276.
[I 2025-03-08 14:30:35,125] Trial 259 finished with value: 0.887674280958548 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.9366705152910063, 'batch_size': 184, 'attention_heads': 14, 'hidden_dimension': 38, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5997718442885724, 'global_pooling': 'max', 'learning_rate': 0.0154033431805622, 'weight_decay': 0.0005343580867212459, 'beta_0': 0.8000309391164372, 'beta_1': 0.9869517456203118, 'epsilon': 6.80294371703742e-06, 'balanced_loss': False, 'epochs': 100, 'early_stopping_patience': 13, 'plateau_patience': 18, 'plateau_divider': 10}. Best is trial 75 with value: 0.9678401438557276.
[I 2025-03-08 14:39:36,694] Trial 260 finished with value: 0.959883263402874 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.9129202910737918, 'batch_size': 193, 'attention_heads': 13, 'hidden_dimension': 32, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5999075542713255, 'global_pooling': 'max', 'learning_rate': 0.00047251065159935465, 'weight_decay': 0.00043227607439448064, 'beta_0': 0.8024612332023657, 'beta_1': 0.9855944233109988, 'epsilon': 1.2640262214699924e-05, 'balanced_loss': False, 'epochs': 91, 'early_stopping_patience': 14, 'plateau_patience': 17, 'plateau_divider': 10}. Best is trial 75 with value: 0.9678401438557276.
[I 2025-03-08 14:55:25,158] Trial 261 finished with value: 0.9406335018324903 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.9006537593320968, 'batch_size': 194, 'attention_heads': 13, 'hidden_dimension': 38, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5993528158614213, 'global_pooling': 'max', 'learning_rate': 0.00036071071976576856, 'weight_decay': 0.00043774893083458634, 'beta_0': 0.8046456265066612, 'beta_1': 0.9854250149353092, 'epsilon': 1.7721064932713478e-05, 'balanced_loss': True, 'epochs': 64, 'early_stopping_patience': 14, 'plateau_patience': 17, 'plateau_divider': 10}. Best is trial 75 with value: 0.9678401438557276.
[I 2025-03-08 15:04:48,278] Trial 262 finished with value: 0.94845688267039 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.9246503023270526, 'batch_size': 190, 'attention_heads': 13, 'hidden_dimension': 47, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5899779814133973, 'global_pooling': 'max', 'learning_rate': 0.0002901927453059045, 'weight_decay': 5.9732339695299494e-05, 'beta_0': 0.8029073806740922, 'beta_1': 0.9861312049204737, 'epsilon': 1.2059730149517493e-05, 'balanced_loss': False, 'epochs': 74, 'early_stopping_patience': 13, 'plateau_patience': 17, 'plateau_divider': 10}. Best is trial 75 with value: 0.9678401438557276.
[I 2025-03-08 15:15:07,241] Trial 263 finished with value: 0.9628390051139175 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.907066110410958, 'batch_size': 205, 'attention_heads': 15, 'hidden_dimension': 42, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5892155798550526, 'global_pooling': 'max', 'learning_rate': 0.0004228680960270923, 'weight_decay': 0.0004223995566623755, 'beta_0': 0.8060348626947614, 'beta_1': 0.9855746920083004, 'epsilon': 1.3685503745206186e-05, 'balanced_loss': False, 'epochs': 81, 'early_stopping_patience': 14, 'plateau_patience': 17, 'plateau_divider': 10}. Best is trial 75 with value: 0.9678401438557276.
[I 2025-03-08 15:24:56,772] Trial 264 finished with value: 0.9586358574816827 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.9075652595281247, 'batch_size': 202, 'attention_heads': 15, 'hidden_dimension': 32, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5898209808620429, 'global_pooling': 'max', 'learning_rate': 0.0004041988242660179, 'weight_decay': 0.00034049904865242786, 'beta_0': 0.8050988665225927, 'beta_1': 0.9856439103131329, 'epsilon': 1.199505619476447e-05, 'balanced_loss': False, 'epochs': 70, 'early_stopping_patience': 14, 'plateau_patience': 17, 'plateau_divider': 10}. Best is trial 75 with value: 0.9678401438557276.
[I 2025-03-08 15:35:19,294] Trial 265 finished with value: 0.9544621559842296 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'max', 'threshold': 0.9080629111758654, 'batch_size': 211, 'attention_heads': 15, 'hidden_dimension': 36, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5899581781573995, 'global_pooling': 'max', 'learning_rate': 0.00042568763193454663, 'weight_decay': 0.00033878960547061, 'beta_0': 0.8061112464915102, 'beta_1': 0.9863019091193638, 'epsilon': 1.5342368848890504e-05, 'balanced_loss': False, 'epochs': 67, 'early_stopping_patience': 15, 'plateau_patience': 17, 'plateau_divider': 10}. Best is trial 75 with value: 0.9678401438557276.
[I 2025-03-08 15:45:39,921] Trial 266 finished with value: 0.9561501006014579 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.9031074770315206, 'batch_size': 206, 'attention_heads': 16, 'hidden_dimension': 33, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5870619689559284, 'global_pooling': 'max', 'learning_rate': 0.00031448971544131545, 'weight_decay': 0.00038391685653522587, 'beta_0': 0.8058538028555967, 'beta_1': 0.9857254859921859, 'epsilon': 1.4963540027895564e-05, 'balanced_loss': False, 'epochs': 67, 'early_stopping_patience': 13, 'plateau_patience': 16, 'plateau_divider': 10}. Best is trial 75 with value: 0.9678401438557276.
[I 2025-03-08 15:57:05,593] Trial 267 finished with value: 0.9605381878965054 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.8975170081257055, 'batch_size': 203, 'attention_heads': 15, 'hidden_dimension': 33, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5993691020863765, 'global_pooling': 'max', 'learning_rate': 0.0003925900842006689, 'weight_decay': 0.0003282321877053133, 'beta_0': 0.8000917813955211, 'beta_1': 0.9857316498058735, 'epsilon': 1.2854853637417303e-05, 'balanced_loss': False, 'epochs': 71, 'early_stopping_patience': 15, 'plateau_patience': 17, 'plateau_divider': 10}. Best is trial 75 with value: 0.9678401438557276.
[I 2025-03-08 16:08:33,575] Trial 268 finished with value: 0.9596070365240523 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.8975666787113581, 'batch_size': 200, 'attention_heads': 15, 'hidden_dimension': 34, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5861523367082315, 'global_pooling': 'max', 'learning_rate': 0.00035092603716247107, 'weight_decay': 0.00027040995063458645, 'beta_0': 0.8044325434579075, 'beta_1': 0.9852853903185638, 'epsilon': 1.2535084967035057e-05, 'balanced_loss': False, 'epochs': 69, 'early_stopping_patience': 15, 'plateau_patience': 17, 'plateau_divider': 10}. Best is trial 75 with value: 0.9678401438557276.
[I 2025-03-08 16:19:16,162] Trial 269 finished with value: 0.9594630191657806 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.8961897995333947, 'batch_size': 206, 'attention_heads': 15, 'hidden_dimension': 34, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5848101985991828, 'global_pooling': 'max', 'learning_rate': 0.00038391201995715467, 'weight_decay': 0.0002676311457348317, 'beta_0': 0.800083718061147, 'beta_1': 0.9852697984277607, 'epsilon': 1.1938177155212852e-05, 'balanced_loss': False, 'epochs': 74, 'early_stopping_patience': 15, 'plateau_patience': 16, 'plateau_divider': 10}. Best is trial 75 with value: 0.9678401438557276.
[I 2025-03-08 16:30:41,552] Trial 270 finished with value: 0.9593034172502681 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.8968899420157219, 'batch_size': 203, 'attention_heads': 15, 'hidden_dimension': 34, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5843320253990203, 'global_pooling': 'max', 'learning_rate': 0.0002688129326690772, 'weight_decay': 0.00024892111471442067, 'beta_0': 0.8005492153617593, 'beta_1': 0.9852430216735848, 'epsilon': 1.4204651437821573e-05, 'balanced_loss': False, 'epochs': 72, 'early_stopping_patience': 14, 'plateau_patience': 17, 'plateau_divider': 10}. Best is trial 75 with value: 0.9678401438557276.
[I 2025-03-08 16:43:43,486] Trial 271 finished with value: 0.9442089208307931 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.8983238203419568, 'batch_size': 199, 'attention_heads': 15, 'hidden_dimension': 34, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5827855666344034, 'global_pooling': 'max', 'learning_rate': 0.0002526649601379526, 'weight_decay': 0.0002076013655770839, 'beta_0': 0.8001462616660118, 'beta_1': 0.9851542692001266, 'epsilon': 1.356707854048574e-05, 'balanced_loss': False, 'epochs': 71, 'early_stopping_patience': 15, 'plateau_patience': 16, 'plateau_divider': 10}. Best is trial 75 with value: 0.9678401438557276.
[I 2025-03-08 16:54:35,213] Trial 272 finished with value: 0.936286875695157 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.8948126287851562, 'batch_size': 205, 'attention_heads': 15, 'hidden_dimension': 32, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5844070499862132, 'global_pooling': 'sum', 'learning_rate': 0.0003495969763369553, 'weight_decay': 0.00023358351326795094, 'beta_0': 0.8054082621814622, 'beta_1': 0.984584797215442, 'epsilon': 1.2112294819566382e-05, 'balanced_loss': False, 'epochs': 78, 'early_stopping_patience': 15, 'plateau_patience': 15, 'plateau_divider': 10}. Best is trial 75 with value: 0.9678401438557276.
[I 2025-03-08 17:06:05,600] Trial 273 finished with value: 0.9625783280369928 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.8968853061951125, 'batch_size': 203, 'attention_heads': 16, 'hidden_dimension': 32, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5902939928131072, 'global_pooling': 'max', 'learning_rate': 0.0003473572245814476, 'weight_decay': 0.00024196046937917251, 'beta_0': 0.8000284586593899, 'beta_1': 0.9852570900116796, 'epsilon': 2.1537629384355438e-05, 'balanced_loss': False, 'epochs': 73, 'early_stopping_patience': 15, 'plateau_patience': 16, 'plateau_divider': 10}. Best is trial 75 with value: 0.9678401438557276.
