[I 2025-03-27 23:45:19,473] Using an existing study with name 'R8-GATv2-google-bert-bert-base-uncased-Grouped-No_Aggregation-No_Ablation-1.0-0.25' instead of creating a new one.
Token indices sequence length is longer than the specified maximum sequence length for this model (639 > 512). Running this sequence through the model will result in indexing errors
[I 2025-03-27 23:54:50,243] Trial 53 finished with value: 0.9338759873450622 and parameters: {'left_stride': 0, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8054046887506502, 'batch_size': 84, 'attention_heads': 6, 'hidden_dimension': 122, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4955871320392273, 'global_pooling': 'mean', 'learning_rate': 0.001542100756152561, 'weight_decay': 1.9943186517847257e-05, 'beta_0': 0.8687819896324543, 'beta_1': 0.9866507380166897, 'epsilon': 3.3178865230070793e-08, 'balanced_loss': False, 'epochs': 74, 'early_stopping_patience': 19, 'plateau_patience': 24, 'plateau_divider': 7}. Best is trial 33 with value: 0.9452885420275031.
[I 2025-03-28 04:56:32,736] Trial 89 finished with value: 0.9409405246733977 and parameters: {'left_stride': 0, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.83058774505207, 'batch_size': 83, 'attention_heads': 4, 'hidden_dimension': 74, 'number_of_hidden_layers': 2, 'dropout_rate': 0.3788756712891915, 'global_pooling': 'mean', 'learning_rate': 0.00171131679878858, 'weight_decay': 1.1087441648572378e-05, 'beta_0': 0.8983038312599777, 'beta_1': 0.9863927594303872, 'epsilon': 3.956885381490375e-08, 'balanced_loss': False, 'epochs': 73, 'early_stopping_patience': 16, 'plateau_patience': 22, 'plateau_divider': 7}. Best is trial 83 with value: 0.948570623104103.
[I 2025-03-28 05:04:23,997] Trial 90 finished with value: 0.9297187137662268 and parameters: {'left_stride': 256, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8248829500498033, 'batch_size': 135, 'attention_heads': 9, 'hidden_dimension': 68, 'number_of_hidden_layers': 1, 'dropout_rate': 0.37334440747861547, 'global_pooling': 'mean', 'learning_rate': 0.001789074721138297, 'weight_decay': 4.201326791704664e-06, 'beta_0': 0.8984708178702795, 'beta_1': 0.9862826295131414, 'epsilon': 1.6379942060182828e-07, 'balanced_loss': False, 'epochs': 64, 'early_stopping_patience': 15, 'plateau_patience': 22, 'plateau_divider': 7}. Best is trial 83 with value: 0.948570623104103.
[I 2025-03-28 05:12:10,422] Trial 91 finished with value: 0.9227688910412578 and parameters: {'left_stride': 0, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.8348676071385167, 'batch_size': 165, 'attention_heads': 4, 'hidden_dimension': 77, 'number_of_hidden_layers': 2, 'dropout_rate': 0.42664522694875956, 'global_pooling': 'mean', 'learning_rate': 0.0006745273304303805, 'weight_decay': 1.1063296907301495e-05, 'beta_0': 0.8884049674909885, 'beta_1': 0.9868514249568372, 'epsilon': 4.258699951058413e-08, 'balanced_loss': False, 'epochs': 87, 'early_stopping_patience': 14, 'plateau_patience': 22, 'plateau_divider': 8}. Best is trial 83 with value: 0.948570623104103.
[I 2025-03-28 05:19:07,002] Trial 92 finished with value: 0.892784504470834 and parameters: {'left_stride': 0, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8855607392667327, 'batch_size': 82, 'attention_heads': 4, 'hidden_dimension': 73, 'number_of_hidden_layers': 2, 'dropout_rate': 0.3826685959601441, 'global_pooling': 'max', 'learning_rate': 0.006038657260378748, 'weight_decay': 6.0950866979442865e-06, 'beta_0': 0.8964296338808356, 'beta_1': 0.9879137955322383, 'epsilon': 9.181863812203084e-07, 'balanced_loss': False, 'epochs': 74, 'early_stopping_patience': 16, 'plateau_patience': 20, 'plateau_divider': 10}. Best is trial 83 with value: 0.948570623104103.
[I 2025-03-28 05:26:48,948] Trial 93 finished with value: 0.9413406545868293 and parameters: {'left_stride': 0, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8011170614299905, 'batch_size': 70, 'attention_heads': 5, 'hidden_dimension': 85, 'number_of_hidden_layers': 2, 'dropout_rate': 0.35263224178942426, 'global_pooling': 'mean', 'learning_rate': 0.0012097874266681944, 'weight_decay': 1.5250156189645237e-05, 'beta_0': 0.8843944855119353, 'beta_1': 0.9873673131342655, 'epsilon': 3.0069203315775654e-08, 'balanced_loss': False, 'epochs': 72, 'early_stopping_patience': 17, 'plateau_patience': 23, 'plateau_divider': 7}. Best is trial 83 with value: 0.948570623104103.
[I 2025-03-28 05:34:30,564] Trial 94 finished with value: 0.9267484786976811 and parameters: {'left_stride': 0, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8109675864122401, 'batch_size': 72, 'attention_heads': 5, 'hidden_dimension': 84, 'number_of_hidden_layers': 2, 'dropout_rate': 0.3495250246064396, 'global_pooling': 'mean', 'learning_rate': 0.0009272878181328054, 'weight_decay': 1.563074611583736e-05, 'beta_0': 0.891901421154747, 'beta_1': 0.9852530620737003, 'epsilon': 9.000622682864081e-08, 'balanced_loss': False, 'epochs': 82, 'early_stopping_patience': 17, 'plateau_patience': 23, 'plateau_divider': 7}. Best is trial 83 with value: 0.948570623104103.
[I 2025-03-28 05:41:50,989] Trial 95 finished with value: 0.9178959609713979 and parameters: {'left_stride': 0, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8288891036019582, 'batch_size': 78, 'attention_heads': 4, 'hidden_dimension': 90, 'number_of_hidden_layers': 2, 'dropout_rate': 0.3924770922469824, 'global_pooling': 'mean', 'learning_rate': 0.0016858963689031802, 'weight_decay': 9.298770372335563e-06, 'beta_0': 0.8991419296603641, 'beta_1': 0.9885919715178987, 'epsilon': 2.080867170414183e-08, 'balanced_loss': False, 'epochs': 68, 'early_stopping_patience': 16, 'plateau_patience': 24, 'plateau_divider': 7}. Best is trial 83 with value: 0.948570623104103.
[I 2025-03-28 05:49:39,760] Trial 96 finished with value: 0.9267299874765147 and parameters: {'left_stride': 0, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8000247468332108, 'batch_size': 88, 'attention_heads': 5, 'hidden_dimension': 62, 'number_of_hidden_layers': 2, 'dropout_rate': 0.3382619739237598, 'global_pooling': 'mean', 'learning_rate': 0.001227756500323819, 'weight_decay': 1.3369714271274058e-05, 'beta_0': 0.852591527500785, 'beta_1': 0.9875194415087467, 'epsilon': 2.8728196600156685e-08, 'balanced_loss': False, 'epochs': 72, 'early_stopping_patience': 17, 'plateau_patience': 22, 'plateau_divider': 7}. Best is trial 83 with value: 0.948570623104103.
[I 2025-03-28 05:57:11,348] Trial 97 finished with value: 0.9203145556386622 and parameters: {'left_stride': 0, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8452104195851124, 'batch_size': 97, 'attention_heads': 4, 'hidden_dimension': 96, 'number_of_hidden_layers': 2, 'dropout_rate': 0.3778235503888551, 'global_pooling': 'mean', 'learning_rate': 0.004341622691113049, 'weight_decay': 1.1562311643243306e-05, 'beta_0': 0.8873803251167279, 'beta_1': 0.986118973363915, 'epsilon': 5.3789386396695304e-08, 'balanced_loss': False, 'epochs': 64, 'early_stopping_patience': 15, 'plateau_patience': 21, 'plateau_divider': 5}. Best is trial 83 with value: 0.948570623104103.
[I 2025-03-28 06:05:41,368] Trial 98 finished with value: 0.9273381250257583 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8190933930759244, 'batch_size': 60, 'attention_heads': 10, 'hidden_dimension': 83, 'number_of_hidden_layers': 2, 'dropout_rate': 0.3669350121231463, 'global_pooling': 'mean', 'learning_rate': 0.002401938569018889, 'weight_decay': 8.115621201499526e-06, 'beta_0': 0.8839109141264296, 'beta_1': 0.9837322547897691, 'epsilon': 3.8627360031139646e-08, 'balanced_loss': False, 'epochs': 58, 'early_stopping_patience': 16, 'plateau_patience': 23, 'plateau_divider': 8}. Best is trial 83 with value: 0.948570623104103.
[I 2025-03-28 06:13:29,853] Trial 99 finished with value: 0.9150157035698105 and parameters: {'left_stride': 0, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.9505434194167819, 'batch_size': 41, 'attention_heads': 5, 'hidden_dimension': 197, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4123855056453839, 'global_pooling': 'mean', 'learning_rate': 0.0002976881660738593, 'weight_decay': 2.5403028308104264e-05, 'beta_0': 0.8904216823575055, 'beta_1': 0.9985344457428665, 'epsilon': 1.02987723055579e-08, 'balanced_loss': False, 'epochs': 50, 'early_stopping_patience': 17, 'plateau_patience': 24, 'plateau_divider': 2}. Best is trial 83 with value: 0.948570623104103.
[I 2025-03-28 06:23:14,986] Trial 100 finished with value: 0.9304478956472525 and parameters: {'left_stride': 64, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.7507504722286938, 'batch_size': 67, 'attention_heads': 4, 'hidden_dimension': 108, 'number_of_hidden_layers': 3, 'dropout_rate': 0.35686629353904087, 'global_pooling': 'sum', 'learning_rate': 0.0005843477763553754, 'weight_decay': 2.0950140587650585e-05, 'beta_0': 0.8945043724927743, 'beta_1': 0.9889373666087979, 'epsilon': 5.6700115374784505e-06, 'balanced_loss': False, 'epochs': 79, 'early_stopping_patience': 14, 'plateau_patience': 25, 'plateau_divider': 6}. Best is trial 83 with value: 0.948570623104103.
[I 2025-03-28 06:32:25,821] Trial 101 finished with value: 0.9257908790291121 and parameters: {'left_stride': 0, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.865163383272281, 'batch_size': 83, 'attention_heads': 14, 'hidden_dimension': 72, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5300122310732261, 'global_pooling': 'mean', 'learning_rate': 0.00016150608688000746, 'weight_decay': 3.555463385823271e-05, 'beta_0': 0.8087055533808114, 'beta_1': 0.9978105736785073, 'epsilon': 1.997548664297798e-08, 'balanced_loss': True, 'epochs': 129, 'early_stopping_patience': 18, 'plateau_patience': 15, 'plateau_divider': 6}. Best is trial 83 with value: 0.948570623104103.
[I 2025-03-28 06:40:15,339] Trial 102 finished with value: 0.9508712460719986 and parameters: {'left_stride': 0, 'right_stride': 256, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'max', 'threshold': 0.7293141831745409, 'batch_size': 53, 'attention_heads': 5, 'hidden_dimension': 88, 'number_of_hidden_layers': 1, 'dropout_rate': 0.42068745359516446, 'global_pooling': 'mean', 'learning_rate': 0.0007232316609520405, 'weight_decay': 1.6666629169371607e-05, 'beta_0': 0.8344762156686324, 'beta_1': 0.9829327310775012, 'epsilon': 6.68331941652701e-08, 'balanced_loss': False, 'epochs': 61, 'early_stopping_patience': 17, 'plateau_patience': 22, 'plateau_divider': 7}. Best is trial 102 with value: 0.9508712460719986.
[I 2025-03-28 06:47:31,164] Trial 103 finished with value: 0.921595517543536 and parameters: {'left_stride': 0, 'right_stride': 256, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'max', 'threshold': 0.7026479758377893, 'batch_size': 51, 'attention_heads': 5, 'hidden_dimension': 88, 'number_of_hidden_layers': 0, 'dropout_rate': 0.4167421595985563, 'global_pooling': 'mean', 'learning_rate': 0.0008488173031670102, 'weight_decay': 1.6992020140395366e-05, 'beta_0': 0.8340746103152719, 'beta_1': 0.9809187599403527, 'epsilon': 6.055648997981005e-08, 'balanced_loss': False, 'epochs': 59, 'early_stopping_patience': 17, 'plateau_patience': 22, 'plateau_divider': 7}. Best is trial 102 with value: 0.9508712460719986.
[I 2025-03-28 06:55:52,864] Trial 104 finished with value: 0.9436283588174477 and parameters: {'left_stride': 0, 'right_stride': 256, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'max', 'threshold': 0.723996436444327, 'batch_size': 70, 'attention_heads': 6, 'hidden_dimension': 101, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4047285678058082, 'global_pooling': 'mean', 'learning_rate': 0.0011470438231771154, 'weight_decay': 1.3745532147857824e-05, 'beta_0': 0.8399091175673047, 'beta_1': 0.981868738113416, 'epsilon': 7.204677255352245e-07, 'balanced_loss': False, 'epochs': 68, 'early_stopping_patience': 17, 'plateau_patience': 23, 'plateau_divider': 7}. Best is trial 102 with value: 0.9508712460719986.
[I 2025-03-28 07:04:08,891] Trial 105 finished with value: 0.9313569450743949 and parameters: {'left_stride': 0, 'right_stride': 256, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'max', 'threshold': 0.7185841915211784, 'batch_size': 61, 'attention_heads': 6, 'hidden_dimension': 102, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4015318917792722, 'global_pooling': 'mean', 'learning_rate': 0.0007149857383198639, 'weight_decay': 1.377560774792099e-05, 'beta_0': 0.8393703131590372, 'beta_1': 0.9824622299012723, 'epsilon': 1.03948598809452e-06, 'balanced_loss': False, 'epochs': 68, 'early_stopping_patience': 18, 'plateau_patience': 23, 'plateau_divider': 7}. Best is trial 102 with value: 0.9508712460719986.
[I 2025-03-28 07:11:34,899] Trial 106 finished with value: 0.9229150797016408 and parameters: {'left_stride': 0, 'right_stride': 256, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'max', 'threshold': 0.7282390924046266, 'batch_size': 69, 'attention_heads': 6, 'hidden_dimension': 92, 'number_of_hidden_layers': 0, 'dropout_rate': 0.4277848344980928, 'global_pooling': 'mean', 'learning_rate': 0.0004005620773913258, 'weight_decay': 1.8499799526549896e-05, 'beta_0': 0.828679274619611, 'beta_1': 0.9805830829807192, 'epsilon': 4.4328241973922426e-07, 'balanced_loss': False, 'epochs': 55, 'early_stopping_patience': 17, 'plateau_patience': 24, 'plateau_divider': 8}. Best is trial 102 with value: 0.9508712460719986.
[I 2025-03-28 07:18:19,142] Trial 107 finished with value: 0.9212058502784277 and parameters: {'left_stride': 0, 'right_stride': 256, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'max', 'threshold': 0.7654714450731264, 'batch_size': 54, 'attention_heads': 6, 'hidden_dimension': 32, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4067284014777055, 'global_pooling': 'mean', 'learning_rate': 0.0010356650095971062, 'weight_decay': 1.510579081899918e-05, 'beta_0': 0.8344199447766036, 'beta_1': 0.9834754477906738, 'epsilon': 5.403034293500691e-07, 'balanced_loss': False, 'epochs': 64, 'early_stopping_patience': 11, 'plateau_patience': 23, 'plateau_divider': 7}. Best is trial 102 with value: 0.9508712460719986.
[I 2025-03-28 07:27:30,039] Trial 108 finished with value: 0.9211845615941289 and parameters: {'left_stride': 0, 'right_stride': 256, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'max', 'threshold': 0.6701927096852974, 'batch_size': 65, 'attention_heads': 7, 'hidden_dimension': 120, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4221020167712115, 'global_pooling': 'mean', 'learning_rate': 0.0012506418233497686, 'weight_decay': 2.1736922828800755e-05, 'beta_0': 0.8386103905279583, 'beta_1': 0.9813787961578666, 'epsilon': 7.226581708781246e-07, 'balanced_loss': False, 'epochs': 60, 'early_stopping_patience': 18, 'plateau_patience': 24, 'plateau_divider': 9}. Best is trial 102 with value: 0.9508712460719986.
[I 2025-03-28 07:35:23,050] Trial 109 finished with value: 0.9338210494358257 and parameters: {'left_stride': 128, 'right_stride': 256, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'max', 'threshold': 0.7257141274339548, 'batch_size': 76, 'attention_heads': 5, 'hidden_dimension': 97, 'number_of_hidden_layers': 1, 'dropout_rate': 0.39278367920121715, 'global_pooling': 'mean', 'learning_rate': 0.00048430174986186756, 'weight_decay': 9.233612576789236e-06, 'beta_0': 0.8447449487599816, 'beta_1': 0.9829334010276946, 'epsilon': 2.787051685794397e-07, 'balanced_loss': False, 'epochs': 92, 'early_stopping_patience': 17, 'plateau_patience': 23, 'plateau_divider': 6}. Best is trial 102 with value: 0.9508712460719986.
[I 2025-03-28 07:47:41,911] Trial 110 finished with value: 0.9262157014574404 and parameters: {'left_stride': 32, 'right_stride': 256, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'max', 'threshold': 0.7368318438133143, 'batch_size': 47, 'attention_heads': 5, 'hidden_dimension': 110, 'number_of_hidden_layers': 1, 'dropout_rate': 0.3215761536740981, 'global_pooling': 'mean', 'learning_rate': 2.120143938752933e-05, 'weight_decay': 2.7563839870384323e-05, 'beta_0': 0.8245974596685991, 'beta_1': 0.9821952050149694, 'epsilon': 3.0928013708461214e-08, 'balanced_loss': False, 'epochs': 76, 'early_stopping_patience': 23, 'plateau_patience': 21, 'plateau_divider': 9}. Best is trial 102 with value: 0.9508712460719986.
[I 2025-03-28 07:56:00,532] Trial 111 finished with value: 0.9210793346752719 and parameters: {'left_stride': 0, 'right_stride': 256, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'max', 'threshold': 0.7109818708687966, 'batch_size': 238, 'attention_heads': 6, 'hidden_dimension': 79, 'number_of_hidden_layers': 1, 'dropout_rate': 0.40445852604183863, 'global_pooling': 'max', 'learning_rate': 0.0020225657143248667, 'weight_decay': 4.537213613055076e-05, 'beta_0': 0.8314755966168471, 'beta_1': 0.9844527455268928, 'epsilon': 1.3090728675125157e-07, 'balanced_loss': False, 'epochs': 70, 'early_stopping_patience': 22, 'plateau_patience': 25, 'plateau_divider': 7}. Best is trial 102 with value: 0.9508712460719986.
[I 2025-03-28 08:04:41,277] Trial 112 finished with value: 0.9211332656217398 and parameters: {'left_stride': 256, 'right_stride': 128, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'max', 'threshold': 0.7729564730725466, 'batch_size': 122, 'attention_heads': 15, 'hidden_dimension': 103, 'number_of_hidden_layers': 0, 'dropout_rate': 0.503795138118365, 'global_pooling': 'mean', 'learning_rate': 0.000737607653984339, 'weight_decay': 3.345314307612635e-05, 'beta_0': 0.842079986185536, 'beta_1': 0.9814685836371916, 'epsilon': 1.179389884158538e-06, 'balanced_loss': False, 'epochs': 82, 'early_stopping_patience': 21, 'plateau_patience': 22, 'plateau_divider': 8}. Best is trial 102 with value: 0.9508712460719986.
[I 2025-03-28 08:11:46,150] Trial 113 finished with value: 0.9234570989049763 and parameters: {'left_stride': 0, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8040313733015189, 'batch_size': 93, 'attention_heads': 4, 'hidden_dimension': 65, 'number_of_hidden_layers': 2, 'dropout_rate': 0.3954594401191155, 'global_pooling': 'mean', 'learning_rate': 0.0014765406569597734, 'weight_decay': 1.0439251706892223e-05, 'beta_0': 0.8156399775808564, 'beta_1': 0.9867402555134192, 'epsilon': 4.891004856647718e-08, 'balanced_loss': False, 'epochs': 73, 'early_stopping_patience': 16, 'plateau_patience': 22, 'plateau_divider': 7}. Best is trial 102 with value: 0.9508712460719986.
[I 2025-03-28 08:20:38,902] Trial 114 finished with value: 0.9171289136397377 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.7900861831924944, 'batch_size': 83, 'attention_heads': 5, 'hidden_dimension': 87, 'number_of_hidden_layers': 4, 'dropout_rate': 0.3862681047820501, 'global_pooling': 'mean', 'learning_rate': 0.003190666499588504, 'weight_decay': 1.2266516612008125e-05, 'beta_0': 0.819607616671238, 'beta_1': 0.9871956631157156, 'epsilon': 4.0712175077355886e-08, 'balanced_loss': False, 'epochs': 114, 'early_stopping_patience': 16, 'plateau_patience': 22, 'plateau_divider': 7}. Best is trial 102 with value: 0.9508712460719986.
[I 2025-03-28 08:29:18,869] Trial 115 finished with value: 0.9263132881406853 and parameters: {'left_stride': 0, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8124611527853837, 'batch_size': 73, 'attention_heads': 11, 'hidden_dimension': 57, 'number_of_hidden_layers': 2, 'dropout_rate': 0.3686480590024816, 'global_pooling': 'mean', 'learning_rate': 0.001035890122561895, 'weight_decay': 7.270813058169682e-06, 'beta_0': 0.879946734143463, 'beta_1': 0.9854473240432589, 'epsilon': 7.012473495421109e-08, 'balanced_loss': False, 'epochs': 106, 'early_stopping_patience': 17, 'plateau_patience': 23, 'plateau_divider': 7}. Best is trial 102 with value: 0.9508712460719986.
[I 2025-03-28 08:37:21,599] Trial 116 finished with value: 0.91330420026391 and parameters: {'left_stride': 0, 'right_stride': 256, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.8396516658161345, 'batch_size': 89, 'attention_heads': 5, 'hidden_dimension': 96, 'number_of_hidden_layers': 2, 'dropout_rate': 0.35953532994745274, 'global_pooling': 'mean', 'learning_rate': 0.0020363633500889915, 'weight_decay': 1.4408670680643238e-05, 'beta_0': 0.8849498716753756, 'beta_1': 0.9800849943875048, 'epsilon': 3.5563724943626384e-07, 'balanced_loss': False, 'epochs': 66, 'early_stopping_patience': 18, 'plateau_patience': 21, 'plateau_divider': 7}. Best is trial 102 with value: 0.9508712460719986.
[I 2025-03-28 08:44:52,768] Trial 117 finished with value: 0.9288612701165254 and parameters: {'left_stride': 0, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.7437236780819535, 'batch_size': 111, 'attention_heads': 4, 'hidden_dimension': 75, 'number_of_hidden_layers': 2, 'dropout_rate': 0.38278590813971325, 'global_pooling': 'mean', 'learning_rate': 0.000599236243443992, 'weight_decay': 8.319287260545201e-06, 'beta_0': 0.844717339232188, 'beta_1': 0.9881790389016278, 'epsilon': 3.9056656103038656e-06, 'balanced_loss': False, 'epochs': 70, 'early_stopping_patience': 16, 'plateau_patience': 24, 'plateau_divider': 6}. Best is trial 102 with value: 0.9508712460719986.
[I 2025-03-28 08:52:25,153] Trial 118 finished with value: 0.8900391563111854 and parameters: {'left_stride': 0, 'right_stride': 256, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'max', 'threshold': 0.9050710446388548, 'batch_size': 149, 'attention_heads': 7, 'hidden_dimension': 92, 'number_of_hidden_layers': 2, 'dropout_rate': 0.43466914993826766, 'global_pooling': 'mean', 'learning_rate': 0.0015521875424534617, 'weight_decay': 5.8702684614709336e-06, 'beta_0': 0.8619243955341308, 'beta_1': 0.9878075350578654, 'epsilon': 2.2013081188830576e-08, 'balanced_loss': False, 'epochs': 77, 'early_stopping_patience': 15, 'plateau_patience': 23, 'plateau_divider': 7}. Best is trial 102 with value: 0.9508712460719986.
[I 2025-03-28 09:01:50,548] Trial 119 finished with value: 0.9362787685579637 and parameters: {'left_stride': 0, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.7010747216656634, 'batch_size': 57, 'attention_heads': 4, 'hidden_dimension': 114, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4554725622957575, 'global_pooling': 'mean', 'learning_rate': 0.0028430727580864893, 'weight_decay': 1.6917553137161773e-05, 'beta_0': 0.8999505947481883, 'beta_1': 0.9915780150724872, 'epsilon': 1.683325686742855e-06, 'balanced_loss': False, 'epochs': 64, 'early_stopping_patience': 17, 'plateau_patience': 22, 'plateau_divider': 8}. Best is trial 102 with value: 0.9508712460719986.
[I 2025-03-28 09:10:02,826] Trial 120 finished with value: 0.9098618411611947 and parameters: {'left_stride': 0, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.9300299292150529, 'batch_size': 101, 'attention_heads': 6, 'hidden_dimension': 81, 'number_of_hidden_layers': 3, 'dropout_rate': 0.510302564454553, 'global_pooling': 'mean', 'learning_rate': 0.0002614172792193829, 'weight_decay': 1.0741726133787297e-05, 'beta_0': 0.8372778542258488, 'beta_1': 0.9866190876773824, 'epsilon': 1.4615304496914257e-05, 'balanced_loss': False, 'epochs': 54, 'early_stopping_patience': 21, 'plateau_patience': 20, 'plateau_divider': 6}. Best is trial 102 with value: 0.9508712460719986.
[I 2025-03-28 09:18:21,209] Trial 121 finished with value: 0.9198547783669171 and parameters: {'left_stride': 0, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.7814826533494371, 'batch_size': 78, 'attention_heads': 5, 'hidden_dimension': 106, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5176442777733704, 'global_pooling': 'sum', 'learning_rate': 0.0012426290365350127, 'weight_decay': 2.199351597941858e-05, 'beta_0': 0.8331768606679865, 'beta_1': 0.990026393137147, 'epsilon': 3.231219228537229e-08, 'balanced_loss': True, 'epochs': 73, 'early_stopping_patience': 18, 'plateau_patience': 23, 'plateau_divider': 8}. Best is trial 102 with value: 0.9508712460719986.
[I 2025-03-28 09:27:16,240] Trial 122 finished with value: 0.9347226576670713 and parameters: {'left_stride': 0, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.7586081182191218, 'batch_size': 194, 'attention_heads': 6, 'hidden_dimension': 100, 'number_of_hidden_layers': 2, 'dropout_rate': 0.49718554747122556, 'global_pooling': 'mean', 'learning_rate': 0.0008725136838874262, 'weight_decay': 0.0003490619648645305, 'beta_0': 0.8404743377920161, 'beta_1': 0.9849458965353025, 'epsilon': 1.5631320633823868e-08, 'balanced_loss': False, 'epochs': 60, 'early_stopping_patience': 16, 'plateau_patience': 23, 'plateau_divider': 7}. Best is trial 102 with value: 0.9508712460719986.
[I 2025-03-28 09:36:20,340] Trial 123 finished with value: 0.9342962139086022 and parameters: {'left_stride': 0, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.7961505371970823, 'batch_size': 70, 'attention_heads': 6, 'hidden_dimension': 123, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4887433233977283, 'global_pooling': 'mean', 'learning_rate': 0.0010973446447405655, 'weight_decay': 1.9370054647489132e-05, 'beta_0': 0.8833749404747753, 'beta_1': 0.986255335846592, 'epsilon': 2.589216374951201e-08, 'balanced_loss': False, 'epochs': 68, 'early_stopping_patience': 19, 'plateau_patience': 22, 'plateau_divider': 7}. Best is trial 102 with value: 0.9508712460719986.
[I 2025-03-28 09:44:44,555] Trial 124 finished with value: 0.9325606877540686 and parameters: {'left_stride': 0, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8171608437640364, 'batch_size': 82, 'attention_heads': 5, 'hidden_dimension': 115, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4640308827931686, 'global_pooling': 'mean', 'learning_rate': 0.0017238017006538805, 'weight_decay': 1.2626254318970758e-05, 'beta_0': 0.8741731875888908, 'beta_1': 0.9869669499534995, 'epsilon': 7.803091272374598e-07, 'balanced_loss': False, 'epochs': 81, 'early_stopping_patience': 19, 'plateau_patience': 24, 'plateau_divider': 7}. Best is trial 102 with value: 0.9508712460719986.
