[I 2025-03-28 19:53:26,081] Using an existing study with name 'R8-GATv2-google-bert-bert-base-uncased-Grouped-No_Aggregation-No_Ablation-1.0-0.25' instead of creating a new one.
The selected strides are greater or equal to the total chunk size.
[I 2025-03-28 19:53:27,077] Trial 139 finished with value: -1.0 and parameters: {'left_stride': 256, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.7990021578109946, 'batch_size': 38, 'attention_heads': 5, 'hidden_dimension': 129, 'number_of_hidden_layers': 2, 'dropout_rate': 0.49884054429170144, 'global_pooling': 'mean', 'learning_rate': 0.0015631002456989547, 'weight_decay': 1.9964715753745763e-05, 'beta_0': 0.8700692367995946, 'beta_1': 0.9861867996806907, 'epsilon': 2.870196664926035e-08, 'balanced_loss': False, 'epochs': 64, 'early_stopping_patience': 20, 'plateau_patience': 18, 'plateau_divider': 8}. Best is trial 102 with value: 0.9508712460719986.
[I 2025-03-29 00:18:56,471] Trial 175 finished with value: 0.9297712679748519 and parameters: {'left_stride': 0, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.7780654569650615, 'batch_size': 113, 'attention_heads': 6, 'hidden_dimension': 119, 'number_of_hidden_layers': 2, 'dropout_rate': 0.3556325156614351, 'global_pooling': 'mean', 'learning_rate': 0.0008816832245727172, 'weight_decay': 4.190489032910466e-05, 'beta_0': 0.87484733050017, 'beta_1': 0.9858705858584436, 'epsilon': 3.2751482198176396e-08, 'balanced_loss': False, 'epochs': 80, 'early_stopping_patience': 18, 'plateau_patience': 25, 'plateau_divider': 7}. Best is trial 102 with value: 0.9508712460719986.
[I 2025-03-29 00:25:38,612] Trial 176 finished with value: 0.9405183740546552 and parameters: {'left_stride': 0, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.9084952290832027, 'batch_size': 65, 'attention_heads': 8, 'hidden_dimension': 101, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4706117154542374, 'global_pooling': 'mean', 'learning_rate': 0.001581620495550015, 'weight_decay': 1.9447209482917194e-05, 'beta_0': 0.87822979582958, 'beta_1': 0.9853004906443054, 'epsilon': 5.2600420878523186e-08, 'balanced_loss': False, 'epochs': 75, 'early_stopping_patience': 19, 'plateau_patience': 24, 'plateau_divider': 7}. Best is trial 102 with value: 0.9508712460719986.
[I 2025-03-29 00:32:06,783] Trial 177 finished with value: 0.9254717496793905 and parameters: {'left_stride': 0, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.9254309791024367, 'batch_size': 75, 'attention_heads': 8, 'hidden_dimension': 98, 'number_of_hidden_layers': 2, 'dropout_rate': 0.489959784019907, 'global_pooling': 'mean', 'learning_rate': 0.0023904517114445045, 'weight_decay': 1.9099228917156706e-05, 'beta_0': 0.8579977321615826, 'beta_1': 0.9852243379783795, 'epsilon': 5.014365513270941e-08, 'balanced_loss': False, 'epochs': 69, 'early_stopping_patience': 20, 'plateau_patience': 24, 'plateau_divider': 7}. Best is trial 102 with value: 0.9508712460719986.
[I 2025-03-29 00:39:00,655] Trial 178 finished with value: 0.9000534539475942 and parameters: {'left_stride': 0, 'right_stride': 256, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'max', 'threshold': 0.899981024835455, 'batch_size': 94, 'attention_heads': 9, 'hidden_dimension': 87, 'number_of_hidden_layers': 2, 'dropout_rate': 0.46831189333780193, 'global_pooling': 'mean', 'learning_rate': 0.0016182214665281687, 'weight_decay': 1.5930814110063558e-05, 'beta_0': 0.8720617487970749, 'beta_1': 0.990444622693016, 'epsilon': 5.93504341915202e-08, 'balanced_loss': False, 'epochs': 74, 'early_stopping_patience': 18, 'plateau_patience': 21, 'plateau_divider': 7}. Best is trial 102 with value: 0.9508712460719986.
[I 2025-03-29 00:45:09,750] Trial 179 finished with value: 0.9097442612151723 and parameters: {'left_stride': 0, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.9102199414350458, 'batch_size': 65, 'attention_heads': 8, 'hidden_dimension': 94, 'number_of_hidden_layers': 2, 'dropout_rate': 0.46220702249493056, 'global_pooling': 'mean', 'learning_rate': 0.003531419614426242, 'weight_decay': 2.188354693110988e-05, 'beta_0': 0.8811174765957654, 'beta_1': 0.997744973362237, 'epsilon': 4.739827862795507e-08, 'balanced_loss': True, 'epochs': 71, 'early_stopping_patience': 16, 'plateau_patience': 24, 'plateau_divider': 7}. Best is trial 102 with value: 0.9508712460719986.
[I 2025-03-29 00:52:11,565] Trial 180 finished with value: 0.9370240346396463 and parameters: {'left_stride': 0, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.840069679552255, 'batch_size': 83, 'attention_heads': 7, 'hidden_dimension': 103, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4027336395845457, 'global_pooling': 'mean', 'learning_rate': 0.002028558763117784, 'weight_decay': 1.708125135162481e-05, 'beta_0': 0.8779200405081674, 'beta_1': 0.9848141922314682, 'epsilon': 3.9653098768636206e-08, 'balanced_loss': False, 'epochs': 65, 'early_stopping_patience': 19, 'plateau_patience': 23, 'plateau_divider': 7}. Best is trial 102 with value: 0.9508712460719986.
[I 2025-03-29 00:58:25,203] Trial 181 finished with value: 0.9257367290223935 and parameters: {'left_stride': 0, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.9081370516462819, 'batch_size': 88, 'attention_heads': 8, 'hidden_dimension': 71, 'number_of_hidden_layers': 2, 'dropout_rate': 0.48471410675586213, 'global_pooling': 'max', 'learning_rate': 0.001279855010113602, 'weight_decay': 2.41280031450137e-05, 'beta_0': 0.8235231198745184, 'beta_1': 0.987708259714306, 'epsilon': 7.210139654824759e-08, 'balanced_loss': False, 'epochs': 75, 'early_stopping_patience': 20, 'plateau_patience': 22, 'plateau_divider': 8}. Best is trial 102 with value: 0.9508712460719986.
[I 2025-03-29 01:04:34,875] Trial 182 finished with value: 0.9257325846769722 and parameters: {'left_stride': 0, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.7591202700453279, 'batch_size': 72, 'attention_heads': 4, 'hidden_dimension': 78, 'number_of_hidden_layers': 2, 'dropout_rate': 0.3926844974473448, 'global_pooling': 'mean', 'learning_rate': 0.001470006078760481, 'weight_decay': 1.0553747023115182e-05, 'beta_0': 0.8532518786443356, 'beta_1': 0.9935260304924075, 'epsilon': 1.0989552994408212e-07, 'balanced_loss': False, 'epochs': 60, 'early_stopping_patience': 17, 'plateau_patience': 12, 'plateau_divider': 9}. Best is trial 102 with value: 0.9508712460719986.
[I 2025-03-29 01:15:11,058] Trial 183 finished with value: 0.9203337867303072 and parameters: {'left_stride': 0, 'right_stride': 256, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.6920096161766184, 'batch_size': 78, 'attention_heads': 9, 'hidden_dimension': 101, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5068691867051441, 'global_pooling': 'mean', 'learning_rate': 0.0004637097594650588, 'weight_decay': 1.3627796519594067e-05, 'beta_0': 0.8999508730721959, 'beta_1': 0.9861790539670401, 'epsilon': 2.006519466364212e-08, 'balanced_loss': False, 'epochs': 68, 'early_stopping_patience': 19, 'plateau_patience': 22, 'plateau_divider': 7}. Best is trial 102 with value: 0.9508712460719986.
[I 2025-03-29 01:23:05,469] Trial 184 finished with value: 0.9380143831274327 and parameters: {'left_stride': 0, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.7892975346653924, 'batch_size': 60, 'attention_heads': 7, 'hidden_dimension': 112, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4743853605422623, 'global_pooling': 'mean', 'learning_rate': 0.0011790348251374575, 'weight_decay': 3.166672756192208e-05, 'beta_0': 0.8766011432175627, 'beta_1': 0.9856895396167775, 'epsilon': 2.991652477180858e-08, 'balanced_loss': False, 'epochs': 78, 'early_stopping_patience': 19, 'plateau_patience': 25, 'plateau_divider': 7}. Best is trial 102 with value: 0.9508712460719986.
[I 2025-03-29 01:31:05,617] Trial 185 finished with value: 0.9329549304647333 and parameters: {'left_stride': 0, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8171793325098153, 'batch_size': 64, 'attention_heads': 8, 'hidden_dimension': 124, 'number_of_hidden_layers': 2, 'dropout_rate': 0.49913768858742996, 'global_pooling': 'mean', 'learning_rate': 0.0009222163207227846, 'weight_decay': 2.7231014911649678e-05, 'beta_0': 0.8824366929349938, 'beta_1': 0.9864887452480735, 'epsilon': 2.3809691526596803e-08, 'balanced_loss': False, 'epochs': 72, 'early_stopping_patience': 19, 'plateau_patience': 24, 'plateau_divider': 7}. Best is trial 102 with value: 0.9508712460719986.
[I 2025-03-29 01:40:32,086] Trial 186 finished with value: 0.9271831382279565 and parameters: {'left_stride': 0, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.7085377917660788, 'batch_size': 70, 'attention_heads': 6, 'hidden_dimension': 159, 'number_of_hidden_layers': 2, 'dropout_rate': 0.47241070443971206, 'global_pooling': 'mean', 'learning_rate': 0.001712895670012513, 'weight_decay': 1.9980522648962885e-05, 'beta_0': 0.8793921164656283, 'beta_1': 0.9857658134473472, 'epsilon': 3.477830341978034e-08, 'balanced_loss': False, 'epochs': 81, 'early_stopping_patience': 17, 'plateau_patience': 25, 'plateau_divider': 7}. Best is trial 102 with value: 0.9508712460719986.
[I 2025-03-29 01:47:01,866] Trial 187 finished with value: 0.9348860659330547 and parameters: {'left_stride': 0, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.9222067292648952, 'batch_size': 53, 'attention_heads': 5, 'hidden_dimension': 107, 'number_of_hidden_layers': 2, 'dropout_rate': 0.45342985675791303, 'global_pooling': 'mean', 'learning_rate': 0.0007220944045022723, 'weight_decay': 3.7658877140190346e-05, 'beta_0': 0.8838628811997249, 'beta_1': 0.9852525008187258, 'epsilon': 1.5959917085928368e-08, 'balanced_loss': False, 'epochs': 105, 'early_stopping_patience': 20, 'plateau_patience': 23, 'plateau_divider': 7}. Best is trial 102 with value: 0.9508712460719986.
[I 2025-03-29 01:54:02,077] Trial 188 finished with value: 0.9314046474051839 and parameters: {'left_stride': 0, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.7988533183880084, 'batch_size': 82, 'attention_heads': 5, 'hidden_dimension': 115, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4805520393281421, 'global_pooling': 'mean', 'learning_rate': 0.001101199027152134, 'weight_decay': 8.720951816871362e-06, 'beta_0': 0.8868787546319303, 'beta_1': 0.9870600616751285, 'epsilon': 4.413264177386758e-07, 'balanced_loss': False, 'epochs': 76, 'early_stopping_patience': 18, 'plateau_patience': 21, 'plateau_divider': 7}. Best is trial 102 with value: 0.9508712460719986.
[I 2025-03-29 01:59:46,701] Trial 189 finished with value: 0.930373630062705 and parameters: {'left_stride': 0, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8113248403917718, 'batch_size': 67, 'attention_heads': 6, 'hidden_dimension': 96, 'number_of_hidden_layers': 0, 'dropout_rate': 0.4877067849745487, 'global_pooling': 'mean', 'learning_rate': 0.0006127961660996179, 'weight_decay': 2.4463822844743368e-05, 'beta_0': 0.8551287189078065, 'beta_1': 0.9867351566652728, 'epsilon': 2.585689783562629e-08, 'balanced_loss': False, 'epochs': 79, 'early_stopping_patience': 17, 'plateau_patience': 24, 'plateau_divider': 10}. Best is trial 102 with value: 0.9508712460719986.
[I 2025-03-29 02:05:40,530] Trial 190 finished with value: 0.9216154564825576 and parameters: {'left_stride': 64, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.783690965199736, 'batch_size': 93, 'attention_heads': 4, 'hidden_dimension': 85, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4932350408703867, 'global_pooling': 'mean', 'learning_rate': 0.0008242013056095817, 'weight_decay': 1.7748583175097487e-05, 'beta_0': 0.8906513220574617, 'beta_1': 0.9861388834334115, 'epsilon': 4.35459056999503e-08, 'balanced_loss': False, 'epochs': 83, 'early_stopping_patience': 18, 'plateau_patience': 25, 'plateau_divider': 7}. Best is trial 102 with value: 0.9508712460719986.
[I 2025-03-29 02:13:18,896] Trial 191 finished with value: 0.9425780125603036 and parameters: {'left_stride': 0, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.804324865961827, 'batch_size': 87, 'attention_heads': 7, 'hidden_dimension': 90, 'number_of_hidden_layers': 2, 'dropout_rate': 0.3789718452145278, 'global_pooling': 'mean', 'learning_rate': 0.0014640567598558395, 'weight_decay': 1.238809189066177e-05, 'beta_0': 0.8976056837962959, 'beta_1': 0.9821086481237679, 'epsilon': 6.179107256926887e-07, 'balanced_loss': False, 'epochs': 89, 'early_stopping_patience': 21, 'plateau_patience': 23, 'plateau_divider': 7}. Best is trial 102 with value: 0.9508712460719986.
[I 2025-03-29 02:20:21,478] Trial 192 finished with value: 0.930908958249782 and parameters: {'left_stride': 0, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8017034949760468, 'batch_size': 100, 'attention_heads': 7, 'hidden_dimension': 90, 'number_of_hidden_layers': 2, 'dropout_rate': 0.37621113324633526, 'global_pooling': 'mean', 'learning_rate': 0.002032421204343826, 'weight_decay': 1.1952637464486269e-05, 'beta_0': 0.8979247156605655, 'beta_1': 0.9824510432167667, 'epsilon': 5.627329022923264e-07, 'balanced_loss': True, 'epochs': 98, 'early_stopping_patience': 21, 'plateau_patience': 23, 'plateau_divider': 6}. Best is trial 102 with value: 0.9508712460719986.
[I 2025-03-29 02:28:29,654] Trial 193 finished with value: 0.9355304523504875 and parameters: {'left_stride': 0, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.7246599787186161, 'batch_size': 88, 'attention_heads': 7, 'hidden_dimension': 82, 'number_of_hidden_layers': 2, 'dropout_rate': 0.3637091023724798, 'global_pooling': 'mean', 'learning_rate': 0.0015921608839578488, 'weight_decay': 1.4418548782148894e-05, 'beta_0': 0.8950121385334376, 'beta_1': 0.9813844836823522, 'epsilon': 6.925442796032866e-07, 'balanced_loss': False, 'epochs': 91, 'early_stopping_patience': 22, 'plateau_patience': 23, 'plateau_divider': 7}. Best is trial 102 with value: 0.9508712460719986.
[I 2025-03-29 02:36:11,740] Trial 194 finished with value: 0.9352285858338363 and parameters: {'left_stride': 0, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8070473154726365, 'batch_size': 75, 'attention_heads': 7, 'hidden_dimension': 99, 'number_of_hidden_layers': 2, 'dropout_rate': 0.38066596138768294, 'global_pooling': 'mean', 'learning_rate': 0.0013235153434588464, 'weight_decay': 9.307897420070486e-06, 'beta_0': 0.892112616269781, 'beta_1': 0.9873357558422288, 'epsilon': 9.760897901537078e-07, 'balanced_loss': False, 'epochs': 86, 'early_stopping_patience': 21, 'plateau_patience': 24, 'plateau_divider': 7}. Best is trial 102 with value: 0.9508712460719986.
[I 2025-03-29 02:42:53,714] Trial 195 finished with value: 0.9372496642005482 and parameters: {'left_stride': 0, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.820552720368493, 'batch_size': 81, 'attention_heads': 5, 'hidden_dimension': 106, 'number_of_hidden_layers': 2, 'dropout_rate': 0.3945227595631895, 'global_pooling': 'mean', 'learning_rate': 0.0010199162244416975, 'weight_decay': 1.5672017579441183e-05, 'beta_0': 0.8980028945692823, 'beta_1': 0.982495527312416, 'epsilon': 4.944654033578809e-07, 'balanced_loss': False, 'epochs': 88, 'early_stopping_patience': 19, 'plateau_patience': 22, 'plateau_divider': 7}. Best is trial 102 with value: 0.9508712460719986.
[I 2025-03-29 02:50:00,912] Trial 196 finished with value: 0.9311790455911287 and parameters: {'left_stride': 0, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.7918659822522207, 'batch_size': 86, 'attention_heads': 7, 'hidden_dimension': 76, 'number_of_hidden_layers': 2, 'dropout_rate': 0.38372959253155803, 'global_pooling': 'mean', 'learning_rate': 0.0023259977607936037, 'weight_decay': 1.4911601232263379e-06, 'beta_0': 0.8744660339775041, 'beta_1': 0.9816270640056446, 'epsilon': 3.0928013708461214e-08, 'balanced_loss': False, 'epochs': 76, 'early_stopping_patience': 21, 'plateau_patience': 23, 'plateau_divider': 7}. Best is trial 102 with value: 0.9508712460719986.
[I 2025-03-29 02:56:17,420] Trial 197 finished with value: 0.9266279690576835 and parameters: {'left_stride': 0, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8924740751128907, 'batch_size': 78, 'attention_heads': 6, 'hidden_dimension': 92, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4825746211828623, 'global_pooling': 'mean', 'learning_rate': 0.0012200842796747415, 'weight_decay': 1.322654754574734e-05, 'beta_0': 0.8801692156699648, 'beta_1': 0.9819152571003398, 'epsilon': 1.2337668784121104e-06, 'balanced_loss': False, 'epochs': 72, 'early_stopping_patience': 20, 'plateau_patience': 23, 'plateau_divider': 7}. Best is trial 102 with value: 0.9508712460719986.
[I 2025-03-29 03:03:35,720] Trial 198 finished with value: 0.9256930624741222 and parameters: {'left_stride': 0, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.7160151026568609, 'batch_size': 94, 'attention_heads': 5, 'hidden_dimension': 87, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4072953555550957, 'global_pooling': 'mean', 'learning_rate': 0.0017216031603635822, 'weight_decay': 6.6399434863807194e-06, 'beta_0': 0.893428067555254, 'beta_1': 0.9888384022868485, 'epsilon': 3.2769667912363994e-07, 'balanced_loss': False, 'epochs': 68, 'early_stopping_patience': 16, 'plateau_patience': 22, 'plateau_divider': 7}. Best is trial 102 with value: 0.9508712460719986.
[I 2025-03-29 03:12:36,920] Trial 199 finished with value: 0.9329743903117937 and parameters: {'left_stride': 0, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8112450905388673, 'batch_size': 56, 'attention_heads': 6, 'hidden_dimension': 181, 'number_of_hidden_layers': 2, 'dropout_rate': 0.38856503825270233, 'global_pooling': 'mean', 'learning_rate': 0.0009218997146397937, 'weight_decay': 2.0673554869033553e-05, 'beta_0': 0.8964553634386204, 'beta_1': 0.9809307616033721, 'epsilon': 6.278805551362564e-07, 'balanced_loss': False, 'epochs': 95, 'early_stopping_patience': 22, 'plateau_patience': 24, 'plateau_divider': 9}. Best is trial 102 with value: 0.9508712460719986.
[I 2025-03-29 03:19:41,644] Trial 200 finished with value: 0.9149562307222769 and parameters: {'left_stride': 128, 'right_stride': 0, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'max', 'threshold': 0.8268334151109074, 'batch_size': 69, 'attention_heads': 10, 'hidden_dimension': 112, 'number_of_hidden_layers': 1, 'dropout_rate': 0.498894522120847, 'global_pooling': 'mean', 'learning_rate': 0.001436486851165659, 'weight_decay': 1.1522385299217234e-05, 'beta_0': 0.8843256192401774, 'beta_1': 0.9822176052312864, 'epsilon': 3.69479228629098e-08, 'balanced_loss': False, 'epochs': 82, 'early_stopping_patience': 17, 'plateau_patience': 23, 'plateau_divider': 6}. Best is trial 102 with value: 0.9508712460719986.
[I 2025-03-29 03:26:49,692] Trial 201 finished with value: 0.9292261480688595 and parameters: {'left_stride': 0, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.7981677778376616, 'batch_size': 89, 'attention_heads': 4, 'hidden_dimension': 103, 'number_of_hidden_layers': 2, 'dropout_rate': 0.47029990505314634, 'global_pooling': 'mean', 'learning_rate': 0.0005339565185006462, 'weight_decay': 2.93824825894958e-05, 'beta_0': 0.81787069675313, 'beta_1': 0.9864025951197694, 'epsilon': 2.028385723698739e-08, 'balanced_loss': False, 'epochs': 70, 'early_stopping_patience': 20, 'plateau_patience': 24, 'plateau_divider': 7}. Best is trial 102 with value: 0.9508712460719986.
[I 2025-03-29 03:32:59,199] Trial 202 finished with value: 0.9261858836925886 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.9156782618172512, 'batch_size': 83, 'attention_heads': 6, 'hidden_dimension': 97, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4182572634387551, 'global_pooling': 'mean', 'learning_rate': 0.0007447297421785409, 'weight_decay': 1.7113384784545583e-05, 'beta_0': 0.8786924235332428, 'beta_1': 0.9830997751951448, 'epsilon': 5.326191961686464e-08, 'balanced_loss': False, 'epochs': 63, 'early_stopping_patience': 21, 'plateau_patience': 25, 'plateau_divider': 7}. Best is trial 102 with value: 0.9508712460719986.
[I 2025-03-29 03:39:40,710] Trial 203 finished with value: 0.9314267289630958 and parameters: {'left_stride': 0, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.901712121638965, 'batch_size': 73, 'attention_heads': 5, 'hidden_dimension': 107, 'number_of_hidden_layers': 2, 'dropout_rate': 0.47768397955734765, 'global_pooling': 'max', 'learning_rate': 0.0011074102480469665, 'weight_decay': 1.0501435578763794e-05, 'beta_0': 0.8887601509347137, 'beta_1': 0.9883699431913435, 'epsilon': 3.8697973177221857e-07, 'balanced_loss': False, 'epochs': 79, 'early_stopping_patience': 19, 'plateau_patience': 22, 'plateau_divider': 6}. Best is trial 102 with value: 0.9508712460719986.
[I 2025-03-29 03:46:22,793] Trial 204 finished with value: 0.9380370603188426 and parameters: {'left_stride': 0, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.815047249567768, 'batch_size': 104, 'attention_heads': 4, 'hidden_dimension': 82, 'number_of_hidden_layers': 2, 'dropout_rate': 0.488308710558215, 'global_pooling': 'max', 'learning_rate': 0.0003620329618466346, 'weight_decay': 9.970193260358206e-06, 'beta_0': 0.8874469879439839, 'beta_1': 0.9879075512311631, 'epsilon': 2.0933177556952634e-08, 'balanced_loss': False, 'epochs': 67, 'early_stopping_patience': 19, 'plateau_patience': 25, 'plateau_divider': 6}. Best is trial 102 with value: 0.9508712460719986.
[I 2025-03-29 03:53:39,763] Trial 205 finished with value: 0.9321169693488075 and parameters: {'left_stride': 0, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8029260530750266, 'batch_size': 99, 'attention_heads': 4, 'hidden_dimension': 74, 'number_of_hidden_layers': 2, 'dropout_rate': 0.48682175421579843, 'global_pooling': 'max', 'learning_rate': 0.00026667004273790603, 'weight_decay': 7.758241550805727e-06, 'beta_0': 0.8858588420653698, 'beta_1': 0.98766635445968, 'epsilon': 2.6577389229488653e-08, 'balanced_loss': False, 'epochs': 65, 'early_stopping_patience': 19, 'plateau_patience': 25, 'plateau_divider': 4}. Best is trial 102 with value: 0.9508712460719986.
[I 2025-03-29 04:00:23,606] Trial 206 finished with value: 0.9439383117020592 and parameters: {'left_stride': 0, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8138332235452375, 'batch_size': 90, 'attention_heads': 4, 'hidden_dimension': 83, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4925712475558872, 'global_pooling': 'max', 'learning_rate': 0.00033130694963774996, 'weight_decay': 1.3316545333883752e-05, 'beta_0': 0.8813442903673375, 'beta_1': 0.9891683413419644, 'epsilon': 1.768124316498709e-08, 'balanced_loss': False, 'epochs': 75, 'early_stopping_patience': 18, 'plateau_patience': 25, 'plateau_divider': 5}. Best is trial 102 with value: 0.9508712460719986.
[I 2025-03-29 04:07:08,465] Trial 207 finished with value: 0.9361817243320953 and parameters: {'left_stride': 0, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8306614850181703, 'batch_size': 92, 'attention_heads': 4, 'hidden_dimension': 87, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5052854158676424, 'global_pooling': 'max', 'learning_rate': 0.000405150508808093, 'weight_decay': 1.3415429505843609e-05, 'beta_0': 0.8824792722980309, 'beta_1': 0.9896872884803347, 'epsilon': 1.385832710558886e-08, 'balanced_loss': False, 'epochs': 75, 'early_stopping_patience': 18, 'plateau_patience': 24, 'plateau_divider': 5}. Best is trial 102 with value: 0.9508712460719986.
[I 2025-03-29 04:19:24,291] Trial 208 finished with value: 0.947110655850179 and parameters: {'left_stride': 32, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.7877059003705675, 'batch_size': 86, 'attention_heads': 5, 'hidden_dimension': 117, 'number_of_hidden_layers': 4, 'dropout_rate': 0.4930924784257819, 'global_pooling': 'max', 'learning_rate': 0.0003079054892082534, 'weight_decay': 1.6110978765016318e-05, 'beta_0': 0.8768098319113541, 'beta_1': 0.9859281295838503, 'epsilon': 1.6811320906206626e-08, 'balanced_loss': False, 'epochs': 73, 'early_stopping_patience': 18, 'plateau_patience': 25, 'plateau_divider': 7}. Best is trial 102 with value: 0.9508712460719986.
[I 2025-03-29 04:27:02,817] Trial 209 finished with value: 0.9054884011374639 and parameters: {'left_stride': 0, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8081215267294732, 'batch_size': 87, 'attention_heads': 5, 'hidden_dimension': 78, 'number_of_hidden_layers': 4, 'dropout_rate': 0.34315265293848723, 'global_pooling': 'max', 'learning_rate': 0.00025720311524218224, 'weight_decay': 1.579521518482585e-05, 'beta_0': 0.8807969622529424, 'beta_1': 0.9891943423544906, 'epsilon': 1.7430190956669724e-08, 'balanced_loss': False, 'epochs': 72, 'early_stopping_patience': 18, 'plateau_patience': 25, 'plateau_divider': 4}. Best is trial 102 with value: 0.9508712460719986.
[I 2025-03-29 04:36:04,946] Trial 210 finished with value: 0.915520435446906 and parameters: {'left_stride': 32, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.7874100294254405, 'batch_size': 96, 'attention_heads': 5, 'hidden_dimension': 92, 'number_of_hidden_layers': 4, 'dropout_rate': 0.49270562843942867, 'global_pooling': 'max', 'learning_rate': 0.00030571010878763, 'weight_decay': 1.222137569597214e-05, 'beta_0': 0.8365640285460564, 'beta_1': 0.9854812733886907, 'epsilon': 1.0771819190016366e-08, 'balanced_loss': False, 'epochs': 74, 'early_stopping_patience': 17, 'plateau_patience': 23, 'plateau_divider': 5}. Best is trial 102 with value: 0.9508712460719986.
