[I 2025-02-20 05:36:23,417] Using an existing study with name 'R8-GATv2-google-bert-bert-base-uncased-Surrogate-No_Aggregation-Unitary_Weights-0.0-0.0' instead of creating a new one.
Token indices sequence length is longer than the specified maximum sequence length for this model (639 > 512). Running this sequence through the model will result in indexing errors
[I 2025-02-20 05:48:12,205] Trial 136 finished with value: 0.9387419661137021 and parameters: {'left_stride': 256, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.864388817966036, 'batch_size': 49, 'attention_heads': 5, 'hidden_dimension': 42, 'number_of_hidden_layers': 4, 'dropout_rate': 0.38677044013889006, 'global_pooling': 'max', 'learning_rate': 0.0008719768473927641, 'weight_decay': 2.4380003254969343e-05, 'beta_0': 0.8672099932947285, 'beta_1': 0.9944091944342683, 'epsilon': 3.15288734158203e-05, 'balanced_loss': False, 'epochs': 179, 'early_stopping_patience': 24, 'plateau_patience': 12, 'plateau_divider': 6}. Best is trial 22 with value: 0.9581019307014222.
[I 2025-02-20 12:26:45,049] Trial 170 finished with value: 0.9507928558787104 and parameters: {'left_stride': 0, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8199270693529199, 'batch_size': 77, 'attention_heads': 5, 'hidden_dimension': 74, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4442219133201264, 'global_pooling': 'max', 'learning_rate': 0.0002806154965609062, 'weight_decay': 0.00022319689906706588, 'beta_0': 0.8946447816059437, 'beta_1': 0.9909104976699193, 'epsilon': 6.372545968045417e-05, 'balanced_loss': False, 'epochs': 60, 'early_stopping_patience': 17, 'plateau_patience': 10, 'plateau_divider': 5}. Best is trial 153 with value: 0.9619266520969999.
[I 2025-02-20 12:38:09,440] Trial 171 finished with value: 0.9388598328706463 and parameters: {'left_stride': 0, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8494730556184513, 'batch_size': 65, 'attention_heads': 6, 'hidden_dimension': 49, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5181975306489702, 'global_pooling': 'max', 'learning_rate': 0.0003775553554362028, 'weight_decay': 0.00016321847301708182, 'beta_0': 0.8902745049081425, 'beta_1': 0.9898303680913947, 'epsilon': 8.207905109399122e-05, 'balanced_loss': False, 'epochs': 55, 'early_stopping_patience': 24, 'plateau_patience': 15, 'plateau_divider': 5}. Best is trial 153 with value: 0.9619266520969999.
[I 2025-02-20 12:48:19,632] Trial 172 finished with value: 0.9432202606475992 and parameters: {'left_stride': 0, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.828065843785807, 'batch_size': 47, 'attention_heads': 4, 'hidden_dimension': 57, 'number_of_hidden_layers': 2, 'dropout_rate': 0.3788756712891915, 'global_pooling': 'max', 'learning_rate': 0.0001470085202257802, 'weight_decay': 0.00012011627045022514, 'beta_0': 0.887767834382832, 'beta_1': 0.987830810008324, 'epsilon': 7.419154190818682e-05, 'balanced_loss': False, 'epochs': 71, 'early_stopping_patience': 23, 'plateau_patience': 12, 'plateau_divider': 5}. Best is trial 153 with value: 0.9619266520969999.
[I 2025-02-20 12:59:36,716] Trial 173 finished with value: 0.9546920588290211 and parameters: {'left_stride': 0, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8217393696217635, 'batch_size': 77, 'attention_heads': 5, 'hidden_dimension': 76, 'number_of_hidden_layers': 2, 'dropout_rate': 0.44495067960904244, 'global_pooling': 'max', 'learning_rate': 0.0002342301199932894, 'weight_decay': 0.00023458535463983073, 'beta_0': 0.89458472444923, 'beta_1': 0.993429456741722, 'epsilon': 6.18312258203719e-05, 'balanced_loss': False, 'epochs': 60, 'early_stopping_patience': 17, 'plateau_patience': 10, 'plateau_divider': 5}. Best is trial 153 with value: 0.9619266520969999.
[I 2025-02-20 13:11:34,284] Trial 174 finished with value: 0.9385588539848359 and parameters: {'left_stride': 0, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8366778475018936, 'batch_size': 70, 'attention_heads': 5, 'hidden_dimension': 86, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4526369489599726, 'global_pooling': 'max', 'learning_rate': 0.00019036852513026954, 'weight_decay': 0.0001906750427618919, 'beta_0': 0.8980249042563128, 'beta_1': 0.9938856861747343, 'epsilon': 9.979690995824823e-05, 'balanced_loss': False, 'epochs': 52, 'early_stopping_patience': 17, 'plateau_patience': 10, 'plateau_divider': 5}. Best is trial 153 with value: 0.9619266520969999.
[I 2025-02-20 13:24:03,633] Trial 175 finished with value: 0.9557937128836373 and parameters: {'left_stride': 0, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8132251666963477, 'batch_size': 87, 'attention_heads': 5, 'hidden_dimension': 73, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5347835496307705, 'global_pooling': 'max', 'learning_rate': 0.00024130771200929688, 'weight_decay': 0.00014980435503893612, 'beta_0': 0.8812418373842301, 'beta_1': 0.9933707184730559, 'epsilon': 4.8614481039005645e-05, 'balanced_loss': False, 'epochs': 56, 'early_stopping_patience': 16, 'plateau_patience': 11, 'plateau_divider': 5}. Best is trial 153 with value: 0.9619266520969999.
[I 2025-02-20 13:37:49,655] Trial 176 finished with value: 0.9440793793421685 and parameters: {'left_stride': 0, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8128183412608215, 'batch_size': 75, 'attention_heads': 5, 'hidden_dimension': 70, 'number_of_hidden_layers': 2, 'dropout_rate': 0.544206895330344, 'global_pooling': 'max', 'learning_rate': 0.00022403425299635004, 'weight_decay': 0.00024093922475905202, 'beta_0': 0.8876000704676056, 'beta_1': 0.9942310052932154, 'epsilon': 5.003846957825173e-05, 'balanced_loss': False, 'epochs': 58, 'early_stopping_patience': 16, 'plateau_patience': 11, 'plateau_divider': 5}. Best is trial 153 with value: 0.9619266520969999.
[I 2025-02-20 13:48:40,792] Trial 177 finished with value: 0.9529859675428084 and parameters: {'left_stride': 0, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.824197345424526, 'batch_size': 81, 'attention_heads': 5, 'hidden_dimension': 79, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4720959099358027, 'global_pooling': 'max', 'learning_rate': 0.000331807033837463, 'weight_decay': 0.00014291607623907464, 'beta_0': 0.8813373968401115, 'beta_1': 0.9934191011018304, 'epsilon': 6.281042821448137e-05, 'balanced_loss': False, 'epochs': 55, 'early_stopping_patience': 18, 'plateau_patience': 11, 'plateau_divider': 5}. Best is trial 153 with value: 0.9619266520969999.
[I 2025-02-20 14:02:26,046] Trial 178 finished with value: 0.9489132191351562 and parameters: {'left_stride': 0, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8215550383453978, 'batch_size': 86, 'attention_heads': 4, 'hidden_dimension': 83, 'number_of_hidden_layers': 2, 'dropout_rate': 0.532950107371245, 'global_pooling': 'max', 'learning_rate': 0.00011239502554902672, 'weight_decay': 0.00014785613636343506, 'beta_0': 0.8801447606636249, 'beta_1': 0.9935696189573386, 'epsilon': 6.0767320684080666e-05, 'balanced_loss': False, 'epochs': 52, 'early_stopping_patience': 15, 'plateau_patience': 11, 'plateau_divider': 5}. Best is trial 153 with value: 0.9619266520969999.
[I 2025-02-20 14:15:28,656] Trial 179 finished with value: 0.9364893158488391 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'max', 'threshold': 0.8097572190972989, 'batch_size': 85, 'attention_heads': 5, 'hidden_dimension': 75, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4733385504410224, 'global_pooling': 'max', 'learning_rate': 0.00025570126809094836, 'weight_decay': 0.00016660681264752368, 'beta_0': 0.881183300105519, 'beta_1': 0.9932860607465936, 'epsilon': 8.083826358383878e-05, 'balanced_loss': False, 'epochs': 56, 'early_stopping_patience': 17, 'plateau_patience': 11, 'plateau_divider': 5}. Best is trial 153 with value: 0.9619266520969999.
[I 2025-02-20 14:26:10,164] Trial 180 finished with value: 0.9439376467566251 and parameters: {'left_stride': 0, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8010724427308188, 'batch_size': 78, 'attention_heads': 4, 'hidden_dimension': 80, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4582781022326244, 'global_pooling': 'mean', 'learning_rate': 0.00031737139561000764, 'weight_decay': 0.00012732684537913042, 'beta_0': 0.8780649924726651, 'beta_1': 0.9927145804125451, 'epsilon': 5.1680164061930145e-05, 'balanced_loss': False, 'epochs': 63, 'early_stopping_patience': 15, 'plateau_patience': 10, 'plateau_divider': 5}. Best is trial 153 with value: 0.9619266520969999.
[I 2025-02-20 14:41:05,069] Trial 181 finished with value: 0.9449418498239277 and parameters: {'left_stride': 0, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8304521380993076, 'batch_size': 96, 'attention_heads': 5, 'hidden_dimension': 93, 'number_of_hidden_layers': 2, 'dropout_rate': 0.48640130849642566, 'global_pooling': 'max', 'learning_rate': 0.0001563470591218239, 'weight_decay': 0.00020402608713101554, 'beta_0': 0.8847636306617663, 'beta_1': 0.9934606609305545, 'epsilon': 1.43278327938687e-06, 'balanced_loss': False, 'epochs': 60, 'early_stopping_patience': 18, 'plateau_patience': 11, 'plateau_divider': 5}. Best is trial 153 with value: 0.9619266520969999.
[I 2025-02-20 14:51:50,834] Trial 182 finished with value: 0.9483894407717783 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8389253926361057, 'batch_size': 39, 'attention_heads': 5, 'hidden_dimension': 68, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5084438046644537, 'global_pooling': 'max', 'learning_rate': 0.0001910980234947715, 'weight_decay': 0.00010591130410030189, 'beta_0': 0.8829294141040069, 'beta_1': 0.9919292004325782, 'epsilon': 6.362798468830943e-05, 'balanced_loss': False, 'epochs': 55, 'early_stopping_patience': 16, 'plateau_patience': 10, 'plateau_divider': 5}. Best is trial 153 with value: 0.9619266520969999.
[I 2025-02-20 15:02:39,107] Trial 183 finished with value: 0.9493424712507605 and parameters: {'left_stride': 0, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8207774628515774, 'batch_size': 89, 'attention_heads': 5, 'hidden_dimension': 63, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4369400085691686, 'global_pooling': 'max', 'learning_rate': 0.0003414950614575151, 'weight_decay': 0.00013891952271917493, 'beta_0': 0.8863767631688564, 'beta_1': 0.9939083809476095, 'epsilon': 4.551458308131799e-05, 'balanced_loss': False, 'epochs': 50, 'early_stopping_patience': 18, 'plateau_patience': 11, 'plateau_divider': 5}. Best is trial 153 with value: 0.9619266520969999.
[I 2025-02-20 15:16:04,170] Trial 184 finished with value: 0.9519574739990451 and parameters: {'left_stride': 64, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8238749512706944, 'batch_size': 66, 'attention_heads': 5, 'hidden_dimension': 72, 'number_of_hidden_layers': 2, 'dropout_rate': 0.527650377808895, 'global_pooling': 'max', 'learning_rate': 0.00023009382464857545, 'weight_decay': 0.0001723483236840364, 'beta_0': 0.8746219273902243, 'beta_1': 0.9875613929759808, 'epsilon': 4.0150019813675176e-05, 'balanced_loss': False, 'epochs': 53, 'early_stopping_patience': 17, 'plateau_patience': 10, 'plateau_divider': 5}. Best is trial 153 with value: 0.9619266520969999.
[I 2025-02-20 15:28:21,291] Trial 185 finished with value: 0.9542485622596746 and parameters: {'left_stride': 0, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8242223394364899, 'batch_size': 58, 'attention_heads': 5, 'hidden_dimension': 73, 'number_of_hidden_layers': 2, 'dropout_rate': 0.527408958558554, 'global_pooling': 'max', 'learning_rate': 0.00022830912199867912, 'weight_decay': 0.00019036949137551563, 'beta_0': 0.8810536668451607, 'beta_1': 0.9876532723500866, 'epsilon': 7.118109081762997e-05, 'balanced_loss': False, 'epochs': 53, 'early_stopping_patience': 17, 'plateau_patience': 10, 'plateau_divider': 5}. Best is trial 153 with value: 0.9619266520969999.
[I 2025-02-20 15:40:46,992] Trial 186 finished with value: 0.9538100955509052 and parameters: {'left_stride': 64, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8149655327532528, 'batch_size': 59, 'attention_heads': 5, 'hidden_dimension': 77, 'number_of_hidden_layers': 2, 'dropout_rate': 0.528282709141275, 'global_pooling': 'max', 'learning_rate': 0.0002559905427783691, 'weight_decay': 0.00017920762647848697, 'beta_0': 0.8773156476052505, 'beta_1': 0.9864080837563215, 'epsilon': 7.257541303565531e-05, 'balanced_loss': False, 'epochs': 53, 'early_stopping_patience': 17, 'plateau_patience': 10, 'plateau_divider': 5}. Best is trial 153 with value: 0.9619266520969999.
[I 2025-02-20 15:52:24,196] Trial 187 finished with value: 0.9534563038801322 and parameters: {'left_stride': 64, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.809103710010731, 'batch_size': 64, 'attention_heads': 4, 'hidden_dimension': 76, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5389379496604136, 'global_pooling': 'max', 'learning_rate': 0.0002815501791603025, 'weight_decay': 0.00018407924235900184, 'beta_0': 0.8742609162464064, 'beta_1': 0.9873909186758485, 'epsilon': 7.953482376018146e-05, 'balanced_loss': False, 'epochs': 54, 'early_stopping_patience': 17, 'plateau_patience': 10, 'plateau_divider': 5}. Best is trial 153 with value: 0.9619266520969999.
CUDA out of memory. Tried to allocate 1.21 GiB. GPU 0 has a total capacity of 44.56 GiB of which 888.69 MiB is free. Including non-PyTorch memory, this process has 43.69 GiB memory in use. Of the allocated memory 41.83 GiB is allocated by PyTorch, and 725.87 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
[I 2025-02-20 16:00:58,325] Trial 188 finished with value: -1.0 and parameters: {'left_stride': 64, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.7886315323663986, 'batch_size': 61, 'attention_heads': 5, 'hidden_dimension': 78, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5380235424964473, 'global_pooling': 'max', 'learning_rate': 0.0002675264727919937, 'weight_decay': 0.00019467655801948602, 'beta_0': 0.872551312475892, 'beta_1': 0.9871488425561405, 'epsilon': 8.095908442220299e-05, 'balanced_loss': False, 'epochs': 53, 'early_stopping_patience': 17, 'plateau_patience': 10, 'plateau_divider': 5}. Best is trial 153 with value: 0.9619266520969999.
[I 2025-02-20 16:13:47,393] Trial 189 finished with value: 0.9460189724569436 and parameters: {'left_stride': 64, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8024346035374033, 'batch_size': 65, 'attention_heads': 4, 'hidden_dimension': 89, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5266186571122606, 'global_pooling': 'max', 'learning_rate': 0.00023560732094239713, 'weight_decay': 0.00015032909885465413, 'beta_0': 0.8736312914743108, 'beta_1': 0.98615194464529, 'epsilon': 5.881074642671763e-05, 'balanced_loss': False, 'epochs': 60, 'early_stopping_patience': 17, 'plateau_patience': 10, 'plateau_divider': 5}. Best is trial 153 with value: 0.9619266520969999.
CUDA out of memory. Tried to allocate 1.35 GiB. GPU 0 has a total capacity of 44.56 GiB of which 1.29 GiB is free. Including non-PyTorch memory, this process has 43.27 GiB memory in use. Of the allocated memory 40.71 GiB is allocated by PyTorch, and 1.41 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
[I 2025-02-20 16:20:09,154] Trial 190 finished with value: -1.0 and parameters: {'left_stride': 64, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8102529035123581, 'batch_size': 60, 'attention_heads': 9, 'hidden_dimension': 84, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5347775627162735, 'global_pooling': 'max', 'learning_rate': 0.0002928841876829884, 'weight_decay': 0.00018686367310607715, 'beta_0': 0.8773723598608015, 'beta_1': 0.9864329387569554, 'epsilon': 8.228001182616883e-05, 'balanced_loss': False, 'epochs': 54, 'early_stopping_patience': 17, 'plateau_patience': 10, 'plateau_divider': 5}. Best is trial 153 with value: 0.9619266520969999.
[I 2025-02-20 16:33:40,516] Trial 191 finished with value: 0.9448496302925817 and parameters: {'left_stride': 64, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.824493927460436, 'batch_size': 57, 'attention_heads': 6, 'hidden_dimension': 73, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5286186268276728, 'global_pooling': 'max', 'learning_rate': 0.0001830807327853441, 'weight_decay': 0.0002696256976036631, 'beta_0': 0.8751585399550799, 'beta_1': 0.9929547980290087, 'epsilon': 9.925982912639747e-05, 'balanced_loss': False, 'epochs': 67, 'early_stopping_patience': 16, 'plateau_patience': 10, 'plateau_divider': 5}. Best is trial 153 with value: 0.9619266520969999.
[I 2025-02-20 16:46:36,469] Trial 192 finished with value: 0.9528827558847826 and parameters: {'left_stride': 64, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8149835729934274, 'batch_size': 81, 'attention_heads': 5, 'hidden_dimension': 76, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5407932388930179, 'global_pooling': 'max', 'learning_rate': 0.0004421711905824411, 'weight_decay': 5.627577673286051e-06, 'beta_0': 0.870998987214733, 'beta_1': 0.9874252781888102, 'epsilon': 6.312399419979954e-05, 'balanced_loss': False, 'epochs': 58, 'early_stopping_patience': 19, 'plateau_patience': 10, 'plateau_divider': 5}. Best is trial 153 with value: 0.9619266520969999.
[I 2025-02-20 16:58:27,894] Trial 193 finished with value: 0.9460113872972192 and parameters: {'left_stride': 64, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8161802304101902, 'batch_size': 81, 'attention_heads': 5, 'hidden_dimension': 77, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5221842825763474, 'global_pooling': 'max', 'learning_rate': 0.0004169124468273312, 'weight_decay': 5.343297397585393e-06, 'beta_0': 0.8688800809045407, 'beta_1': 0.9885853199962152, 'epsilon': 6.754104187432833e-05, 'balanced_loss': False, 'epochs': 58, 'early_stopping_patience': 19, 'plateau_patience': 10, 'plateau_divider': 5}. Best is trial 153 with value: 0.9619266520969999.
[I 2025-02-20 17:10:21,374] Trial 194 finished with value: 0.9452030305297028 and parameters: {'left_stride': 64, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8071507740281455, 'batch_size': 70, 'attention_heads': 5, 'hidden_dimension': 82, 'number_of_hidden_layers': 2, 'dropout_rate': 0.539761065599428, 'global_pooling': 'max', 'learning_rate': 0.0003044054912005483, 'weight_decay': 1.7931573697667964e-06, 'beta_0': 0.8709041558437848, 'beta_1': 0.9876481566045507, 'epsilon': 5.5230777647768294e-05, 'balanced_loss': False, 'epochs': 53, 'early_stopping_patience': 18, 'plateau_patience': 10, 'plateau_divider': 5}. Best is trial 153 with value: 0.9619266520969999.
[I 2025-02-20 17:24:06,924] Trial 195 finished with value: 0.945188860142247 and parameters: {'left_stride': 64, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.7951504755414239, 'batch_size': 65, 'attention_heads': 5, 'hidden_dimension': 73, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5450402686967337, 'global_pooling': 'max', 'learning_rate': 0.00023179248955922436, 'weight_decay': 4.215643118974798e-06, 'beta_0': 0.8754451221859694, 'beta_1': 0.9874152329569797, 'epsilon': 6.99388141982082e-05, 'balanced_loss': False, 'epochs': 57, 'early_stopping_patience': 19, 'plateau_patience': 11, 'plateau_divider': 5}. Best is trial 153 with value: 0.9619266520969999.
[I 2025-02-20 17:34:41,057] Trial 196 finished with value: 0.9452305747557028 and parameters: {'left_stride': 64, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8227199261504625, 'batch_size': 78, 'attention_heads': 4, 'hidden_dimension': 79, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5309185482273829, 'global_pooling': 'max', 'learning_rate': 0.00041019339399176065, 'weight_decay': 3.328273592929746e-06, 'beta_0': 0.8792932104746591, 'beta_1': 0.9866917927207193, 'epsilon': 8.124453093096392e-05, 'balanced_loss': False, 'epochs': 62, 'early_stopping_patience': 17, 'plateau_patience': 10, 'plateau_divider': 5}. Best is trial 153 with value: 0.9619266520969999.
slurmstepd: error: *** JOB 14947749 ON gpu054 CANCELLED AT 2025-02-20T17:35:58 DUE TO TIME LIMIT ***
