Some weights of RobertaModel were not initialized from the model checkpoint at FacebookAI/roberta-large and are newly initialized: ['roberta.pooler.dense.bias', 'roberta.pooler.dense.weight']
You should probably TRAIN this model on a down-stream task to be able to use it for predictions and inference.
[I 2025-01-08 09:47:52,035] A new study created in RDB with name: RTSP-GATv2-FacebookAI-roberta-large-Surrogate-No_Aggregation
[I 2025-01-08 09:57:40,374] Trial 0 finished with value: 0.869198312236287 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.4319459866925097, 'batch_size': 226, 'attention_heads': 11, 'hidden_dimension': 191, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5909729556485983, 'global_pooling': 'mean', 'learning_rate': 5.415244119402538e-05, 'weight_decay': 8.179499475211674e-06, 'beta_0': 0.8510059609290175, 'beta_1': 0.9881622148267181, 'epsilon': 1.4618962793704927e-07, 'balanced_loss': True, 'epochs': 94, 'early_stopping_patience': 15, 'plateau_patience': 17, 'plateau_divider': 9}. Best is trial 0 with value: 0.869198312236287.
[I 2025-01-08 15:44:57,993] Trial 38 finished with value: 0.8769338959212377 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.6503000620835407, 'batch_size': 98, 'attention_heads': 15, 'hidden_dimension': 243, 'number_of_hidden_layers': 0, 'dropout_rate': 0.4638947825394397, 'global_pooling': 'max', 'learning_rate': 0.0003879601352719722, 'weight_decay': 0.00034605244704626775, 'beta_0': 0.8842096519733125, 'beta_1': 0.9888005557566624, 'epsilon': 2.4690447481293857e-06, 'balanced_loss': False, 'epochs': 90, 'early_stopping_patience': 12, 'plateau_patience': 15, 'plateau_divider': 6}. Best is trial 1 with value: 0.8888888888888888.
[I 2025-01-08 15:51:38,671] Trial 39 finished with value: 0.770042194092827 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.5814593815982028, 'batch_size': 123, 'attention_heads': 13, 'hidden_dimension': 140, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5980786655155135, 'global_pooling': 'mean', 'learning_rate': 0.012900094548628506, 'weight_decay': 4.888333141101515e-05, 'beta_0': 0.8713130423788505, 'beta_1': 0.9853205090080615, 'epsilon': 5.212221227307167e-05, 'balanced_loss': False, 'epochs': 51, 'early_stopping_patience': 10, 'plateau_patience': 18, 'plateau_divider': 7}. Best is trial 1 with value: 0.8888888888888888.
[I 2025-01-08 16:00:09,867] Trial 40 finished with value: 0.8804500703234881 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.7030247360823887, 'batch_size': 53, 'attention_heads': 11, 'hidden_dimension': 102, 'number_of_hidden_layers': 4, 'dropout_rate': 0.49845594524999415, 'global_pooling': 'max', 'learning_rate': 0.0007528136208880959, 'weight_decay': 1.6677465899974294e-06, 'beta_0': 0.8494132812902245, 'beta_1': 0.9803152616678605, 'epsilon': 2.83819133863357e-07, 'balanced_loss': True, 'epochs': 151, 'early_stopping_patience': 24, 'plateau_patience': 12, 'plateau_divider': 4}. Best is trial 1 with value: 0.8888888888888888.
[I 2025-01-08 16:08:03,987] Trial 41 finished with value: 0.8776371308016878 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.5701156573617353, 'batch_size': 50, 'attention_heads': 16, 'hidden_dimension': 141, 'number_of_hidden_layers': 1, 'dropout_rate': 0.36273806067462855, 'global_pooling': 'max', 'learning_rate': 0.0007853274415090805, 'weight_decay': 1.1385899459539388e-05, 'beta_0': 0.8819314829266548, 'beta_1': 0.9899850090829747, 'epsilon': 1.4234286855268172e-06, 'balanced_loss': False, 'epochs': 61, 'early_stopping_patience': 24, 'plateau_patience': 15, 'plateau_divider': 9}. Best is trial 1 with value: 0.8888888888888888.
[I 2025-01-08 16:15:38,200] Trial 42 finished with value: 0.8783403656821378 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.6007683215484076, 'batch_size': 43, 'attention_heads': 16, 'hidden_dimension': 125, 'number_of_hidden_layers': 1, 'dropout_rate': 0.3395809299860316, 'global_pooling': 'max', 'learning_rate': 0.0010344879845809213, 'weight_decay': 2.470569456642956e-05, 'beta_0': 0.8533405183367277, 'beta_1': 0.9910756302403141, 'epsilon': 7.973177568376002e-08, 'balanced_loss': False, 'epochs': 68, 'early_stopping_patience': 25, 'plateau_patience': 15, 'plateau_divider': 10}. Best is trial 1 with value: 0.8888888888888888.
[I 2025-01-08 16:22:07,137] Trial 43 finished with value: 0.8818565400843882 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.6671940715993117, 'batch_size': 79, 'attention_heads': 15, 'hidden_dimension': 62, 'number_of_hidden_layers': 1, 'dropout_rate': 0.313885464512693, 'global_pooling': 'max', 'learning_rate': 0.0001936461594325834, 'weight_decay': 1.450778404047436e-05, 'beta_0': 0.894131154788937, 'beta_1': 0.989202900398533, 'epsilon': 8.973802572671142e-07, 'balanced_loss': False, 'epochs': 61, 'early_stopping_patience': 23, 'plateau_patience': 14, 'plateau_divider': 8}. Best is trial 1 with value: 0.8888888888888888.
[I 2025-01-08 16:28:34,424] Trial 44 finished with value: 0.870604781997187 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.5266330861777657, 'batch_size': 32, 'attention_heads': 14, 'hidden_dimension': 151, 'number_of_hidden_layers': 0, 'dropout_rate': 0.3779327700205889, 'global_pooling': 'max', 'learning_rate': 0.0014263489807091782, 'weight_decay': 6.1353548613414095e-06, 'beta_0': 0.8400443431039266, 'beta_1': 0.9927929813004641, 'epsilon': 5.620623098968072e-07, 'balanced_loss': False, 'epochs': 75, 'early_stopping_patience': 20, 'plateau_patience': 16, 'plateau_divider': 9}. Best is trial 1 with value: 0.8888888888888888.
[I 2025-01-08 16:35:07,175] Trial 45 finished with value: 0.8839662447257384 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.5516713661006735, 'batch_size': 68, 'attention_heads': 15, 'hidden_dimension': 102, 'number_of_hidden_layers': 1, 'dropout_rate': 0.3010500095022076, 'global_pooling': 'max', 'learning_rate': 0.0005010277980234502, 'weight_decay': 0.00010000084968435414, 'beta_0': 0.8859119823564038, 'beta_1': 0.98773022798544, 'epsilon': 1.0615450276872943e-05, 'balanced_loss': False, 'epochs': 164, 'early_stopping_patience': 16, 'plateau_patience': 11, 'plateau_divider': 9}. Best is trial 1 with value: 0.8888888888888888.
[I 2025-01-08 16:42:27,527] Trial 46 finished with value: 0.8727144866385372 and parameters: {'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'max', 'threshold': 0.5566246877614051, 'batch_size': 70, 'attention_heads': 15, 'hidden_dimension': 99, 'number_of_hidden_layers': 2, 'dropout_rate': 0.3002382565398938, 'global_pooling': 'mean', 'learning_rate': 0.00043600870274979064, 'weight_decay': 9.331852409453043e-05, 'beta_0': 0.8844980572478502, 'beta_1': 0.9882027541413294, 'epsilon': 2.0927173448157565e-05, 'balanced_loss': False, 'epochs': 172, 'early_stopping_patience': 16, 'plateau_patience': 10, 'plateau_divider': 6}. Best is trial 1 with value: 0.8888888888888888.
[I 2025-01-08 16:48:46,596] Trial 47 finished with value: 0.8839662447257384 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.508948956171252, 'batch_size': 98, 'attention_heads': 13, 'hidden_dimension': 86, 'number_of_hidden_layers': 1, 'dropout_rate': 0.31677609566495524, 'global_pooling': 'max', 'learning_rate': 0.002012140913574072, 'weight_decay': 0.00017623615497874568, 'beta_0': 0.8961511458117101, 'beta_1': 0.9854076547552197, 'epsilon': 9.342319840182159e-06, 'balanced_loss': False, 'epochs': 195, 'early_stopping_patience': 14, 'plateau_patience': 11, 'plateau_divider': 8}. Best is trial 1 with value: 0.8888888888888888.
[I 2025-01-08 16:59:10,358] Trial 48 finished with value: 0.8720112517580872 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.46714617420242077, 'batch_size': 153, 'attention_heads': 14, 'hidden_dimension': 112, 'number_of_hidden_layers': 3, 'dropout_rate': 0.34507188837152464, 'global_pooling': 'sum', 'learning_rate': 0.0002488017533940937, 'weight_decay': 0.00023432733798629094, 'beta_0': 0.8871180639715173, 'beta_1': 0.9814582881978827, 'epsilon': 2.1212884763421814e-05, 'balanced_loss': False, 'epochs': 164, 'early_stopping_patience': 12, 'plateau_patience': 12, 'plateau_divider': 10}. Best is trial 1 with value: 0.8888888888888888.
[I 2025-01-08 17:18:50,857] Trial 49 finished with value: 0.8663853727144867 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.41771532530352484, 'batch_size': 241, 'attention_heads': 10, 'hidden_dimension': 242, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5484462197176722, 'global_pooling': 'mean', 'learning_rate': 2.3464175219482272e-05, 'weight_decay': 0.00012183936547379207, 'beta_0': 0.8753983453139668, 'beta_1': 0.9869936038709247, 'epsilon': 1.0090398643826352e-05, 'balanced_loss': False, 'epochs': 142, 'early_stopping_patience': 18, 'plateau_patience': 13, 'plateau_divider': 7}. Best is trial 1 with value: 0.8888888888888888.
[I 2025-01-08 17:32:05,025] Trial 50 finished with value: 0.8748241912798875 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.5474328761421967, 'batch_size': 134, 'attention_heads': 15, 'hidden_dimension': 220, 'number_of_hidden_layers': 2, 'dropout_rate': 0.32745033568699006, 'global_pooling': 'max', 'learning_rate': 8.990665170506362e-05, 'weight_decay': 4.791618738893551e-05, 'beta_0': 0.8696102051766126, 'beta_1': 0.9831395983767363, 'epsilon': 5.788571202434906e-05, 'balanced_loss': True, 'epochs': 181, 'early_stopping_patience': 16, 'plateau_patience': 11, 'plateau_divider': 5}. Best is trial 1 with value: 0.8888888888888888.
[I 2025-01-08 17:38:23,986] Trial 51 finished with value: 0.8748241912798875 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.5111065690894313, 'batch_size': 93, 'attention_heads': 13, 'hidden_dimension': 84, 'number_of_hidden_layers': 1, 'dropout_rate': 0.3154426050683139, 'global_pooling': 'max', 'learning_rate': 0.002086263807379, 'weight_decay': 0.00017195969043479445, 'beta_0': 0.8941456335197839, 'beta_1': 0.9851381773215327, 'epsilon': 7.930210337700435e-06, 'balanced_loss': False, 'epochs': 195, 'early_stopping_patience': 14, 'plateau_patience': 11, 'plateau_divider': 8}. Best is trial 1 with value: 0.8888888888888888.
[I 2025-01-08 17:44:29,381] Trial 52 finished with value: 0.8734177215189873 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.455108071210554, 'batch_size': 101, 'attention_heads': 12, 'hidden_dimension': 67, 'number_of_hidden_layers': 1, 'dropout_rate': 0.30969065502165455, 'global_pooling': 'max', 'learning_rate': 0.0006095489388259806, 'weight_decay': 0.00035811570813512736, 'beta_0': 0.8990774990150635, 'beta_1': 0.9847968149596086, 'epsilon': 5.082667921880627e-06, 'balanced_loss': False, 'epochs': 182, 'early_stopping_patience': 13, 'plateau_patience': 10, 'plateau_divider': 8}. Best is trial 1 with value: 0.8888888888888888.
[I 2025-01-08 17:50:15,931] Trial 53 finished with value: 0.8825597749648383 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.4929973516377642, 'batch_size': 70, 'attention_heads': 14, 'hidden_dimension': 52, 'number_of_hidden_layers': 0, 'dropout_rate': 0.33082002392572923, 'global_pooling': 'max', 'learning_rate': 0.003867476850294301, 'weight_decay': 0.00010835088361825543, 'beta_0': 0.8934792097600965, 'beta_1': 0.9862703432440493, 'epsilon': 1.6096713862051607e-05, 'balanced_loss': False, 'epochs': 181, 'early_stopping_patience': 13, 'plateau_patience': 11, 'plateau_divider': 9}. Best is trial 1 with value: 0.8888888888888888.
[I 2025-01-08 17:56:58,109] Trial 54 finished with value: 0.8790436005625879 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.6162827028183364, 'batch_size': 83, 'attention_heads': 13, 'hidden_dimension': 118, 'number_of_hidden_layers': 1, 'dropout_rate': 0.35318419884634034, 'global_pooling': 'max', 'learning_rate': 0.00036483746573054925, 'weight_decay': 6.241344238142607e-05, 'beta_0': 0.8315356723607984, 'beta_1': 0.98784530145163, 'epsilon': 2.7400242818627944e-06, 'balanced_loss': False, 'epochs': 200, 'early_stopping_patience': 14, 'plateau_patience': 13, 'plateau_divider': 7}. Best is trial 1 with value: 0.8888888888888888.
[I 2025-01-08 18:03:10,882] Trial 55 finished with value: 0.8846694796061885 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.5154216020695107, 'batch_size': 119, 'attention_heads': 9, 'hidden_dimension': 96, 'number_of_hidden_layers': 1, 'dropout_rate': 0.410403100177381, 'global_pooling': 'max', 'learning_rate': 0.0013909939691311164, 'weight_decay': 0.00014900097580361902, 'beta_0': 0.8795221406895058, 'beta_1': 0.9854891787722803, 'epsilon': 9.252182412006289e-06, 'balanced_loss': False, 'epochs': 132, 'early_stopping_patience': 11, 'plateau_patience': 12, 'plateau_divider': 8}. Best is trial 1 with value: 0.8888888888888888.
[I 2025-01-08 18:10:20,672] Trial 56 finished with value: 0.8825597749648383 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.7729794384723959, 'batch_size': 143, 'attention_heads': 9, 'hidden_dimension': 184, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4106293303042471, 'global_pooling': 'max', 'learning_rate': 0.0005287701606952761, 'weight_decay': 6.0905476174315494e-05, 'beta_0': 0.8796130422723191, 'beta_1': 0.9837084863325838, 'epsilon': 3.9434757716949035e-05, 'balanced_loss': False, 'epochs': 132, 'early_stopping_patience': 11, 'plateau_patience': 12, 'plateau_divider': 9}. Best is trial 1 with value: 0.8888888888888888.
[I 2025-01-08 18:16:31,025] Trial 57 finished with value: 0.8804500703234881 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.4822866756121197, 'batch_size': 123, 'attention_heads': 8, 'hidden_dimension': 96, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4454818371064677, 'global_pooling': 'mean', 'learning_rate': 0.0013126422886505678, 'weight_decay': 0.00014522281899899116, 'beta_0': 0.8897107024175962, 'beta_1': 0.98202429948488, 'epsilon': 2.8915973294865337e-05, 'balanced_loss': False, 'epochs': 118, 'early_stopping_patience': 11, 'plateau_patience': 14, 'plateau_divider': 10}. Best is trial 1 with value: 0.8888888888888888.
[I 2025-01-08 18:23:05,598] Trial 58 finished with value: 0.870604781997187 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.4201686349763861, 'batch_size': 111, 'attention_heads': 9, 'hidden_dimension': 204, 'number_of_hidden_layers': 0, 'dropout_rate': 0.4314026788614984, 'global_pooling': 'max', 'learning_rate': 0.00017218713777091024, 'weight_decay': 0.00027275799406010755, 'beta_0': 0.8859970981372581, 'beta_1': 0.9844885394035504, 'epsilon': 1.87037049887078e-06, 'balanced_loss': False, 'epochs': 145, 'early_stopping_patience': 10, 'plateau_patience': 25, 'plateau_divider': 5}. Best is trial 1 with value: 0.8888888888888888.
[I 2025-01-08 18:30:44,362] Trial 59 finished with value: 0.8790436005625879 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.6312250260659734, 'batch_size': 176, 'attention_heads': 7, 'hidden_dimension': 169, 'number_of_hidden_layers': 2, 'dropout_rate': 0.40058759919090964, 'global_pooling': 'sum', 'learning_rate': 0.0062446193608149785, 'weight_decay': 1.8773857244640156e-05, 'beta_0': 0.8454275208172074, 'beta_1': 0.9865089358818312, 'epsilon': 3.493354181242138e-06, 'balanced_loss': False, 'epochs': 103, 'early_stopping_patience': 19, 'plateau_patience': 12, 'plateau_divider': 6}. Best is trial 1 with value: 0.8888888888888888.
[I 2025-01-08 18:40:55,060] Trial 60 finished with value: 0.8762306610407876 and parameters: {'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'max', 'threshold': 0.5546513251913535, 'batch_size': 122, 'attention_heads': 11, 'hidden_dimension': 194, 'number_of_hidden_layers': 3, 'dropout_rate': 0.47897564007893545, 'global_pooling': 'max', 'learning_rate': 0.002742167048078558, 'weight_decay': 3.219103591013896e-06, 'beta_0': 0.8196641868210217, 'beta_1': 0.9826735377889739, 'epsilon': 1.722209436445907e-05, 'balanced_loss': False, 'epochs': 129, 'early_stopping_patience': 17, 'plateau_patience': 24, 'plateau_divider': 4}. Best is trial 1 with value: 0.8888888888888888.
[I 2025-01-08 18:47:35,433] Trial 61 finished with value: 0.8783403656821378 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.5118862469069725, 'batch_size': 92, 'attention_heads': 15, 'hidden_dimension': 87, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4164638661722935, 'global_pooling': 'max', 'learning_rate': 0.0020332648144625832, 'weight_decay': 0.00018757632073910664, 'beta_0': 0.880649134980989, 'beta_1': 0.9855697710507613, 'epsilon': 9.115553935408805e-06, 'balanced_loss': False, 'epochs': 160, 'early_stopping_patience': 15, 'plateau_patience': 10, 'plateau_divider': 8}. Best is trial 1 with value: 0.8888888888888888.
[I 2025-01-08 18:53:50,035] Trial 62 finished with value: 0.8804500703234881 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.5223935273619905, 'batch_size': 109, 'attention_heads': 14, 'hidden_dimension': 78, 'number_of_hidden_layers': 1, 'dropout_rate': 0.3208430364070546, 'global_pooling': 'max', 'learning_rate': 0.0009147827571183815, 'weight_decay': 3.789626432178411e-05, 'beta_0': 0.8913918351002527, 'beta_1': 0.9880174888495523, 'epsilon': 1.0186880668795142e-05, 'balanced_loss': False, 'epochs': 135, 'early_stopping_patience': 12, 'plateau_patience': 11, 'plateau_divider': 8}. Best is trial 1 with value: 0.8888888888888888.
[I 2025-01-08 18:59:52,090] Trial 63 finished with value: 0.8832630098452883 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.9126444494917612, 'batch_size': 203, 'attention_heads': 8, 'hidden_dimension': 107, 'number_of_hidden_layers': 1, 'dropout_rate': 0.38425018588406556, 'global_pooling': 'max', 'learning_rate': 0.00032583923150024776, 'weight_decay': 9.803501033745487e-05, 'beta_0': 0.8970065789242166, 'beta_1': 0.9894524983560274, 'epsilon': 6.287189692488446e-06, 'balanced_loss': False, 'epochs': 187, 'early_stopping_patience': 13, 'plateau_patience': 11, 'plateau_divider': 8}. Best is trial 1 with value: 0.8888888888888888.
[I 2025-01-08 19:06:31,313] Trial 64 finished with value: 0.8769338959212377 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.45591414397451535, 'batch_size': 62, 'attention_heads': 12, 'hidden_dimension': 95, 'number_of_hidden_layers': 1, 'dropout_rate': 0.45503770550285405, 'global_pooling': 'max', 'learning_rate': 0.000624965112459793, 'weight_decay': 0.00014133737428129528, 'beta_0': 0.876991197007316, 'beta_1': 0.9905229680293388, 'epsilon': 4.555452160104006e-06, 'balanced_loss': False, 'epochs': 150, 'early_stopping_patience': 14, 'plateau_patience': 13, 'plateau_divider': 9}. Best is trial 1 with value: 0.8888888888888888.
[I 2025-01-08 19:14:03,513] Trial 65 finished with value: 0.8734177215189873 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.49482603977920026, 'batch_size': 228, 'attention_heads': 16, 'hidden_dimension': 134, 'number_of_hidden_layers': 1, 'dropout_rate': 0.43854398664798816, 'global_pooling': 'max', 'learning_rate': 0.004389293837345475, 'weight_decay': 7.54332980335846e-05, 'beta_0': 0.8402915446177385, 'beta_1': 0.9867286796421988, 'epsilon': 1.1543836567971368e-05, 'balanced_loss': False, 'epochs': 167, 'early_stopping_patience': 15, 'plateau_patience': 12, 'plateau_divider': 7}. Best is trial 1 with value: 0.8888888888888888.
[I 2025-01-08 19:20:13,448] Trial 66 finished with value: 0.8776371308016878 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.6025932888991978, 'batch_size': 143, 'attention_heads': 13, 'hidden_dimension': 74, 'number_of_hidden_layers': 1, 'dropout_rate': 0.46838112549458527, 'global_pooling': 'mean', 'learning_rate': 0.0014034111076437616, 'weight_decay': 0.0004974697025558444, 'beta_0': 0.8963465307905456, 'beta_1': 0.9842363926300732, 'epsilon': 3.220882034371139e-06, 'balanced_loss': False, 'epochs': 116, 'early_stopping_patience': 11, 'plateau_patience': 20, 'plateau_divider': 9}. Best is trial 1 with value: 0.8888888888888888.
[I 2025-01-08 19:29:09,488] Trial 67 finished with value: 0.8790436005625879 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.5426458357408955, 'batch_size': 102, 'attention_heads': 9, 'hidden_dimension': 256, 'number_of_hidden_layers': 2, 'dropout_rate': 0.3076462776369854, 'global_pooling': 'max', 'learning_rate': 0.0025299816908396734, 'weight_decay': 0.00022009439780586884, 'beta_0': 0.8617564740275158, 'beta_1': 0.9857452728953768, 'epsilon': 6.815160120020773e-06, 'balanced_loss': True, 'epochs': 107, 'early_stopping_patience': 21, 'plateau_patience': 13, 'plateau_divider': 8}. Best is trial 1 with value: 0.8888888888888888.
[I 2025-01-08 19:35:08,909] Trial 68 finished with value: 0.8818565400843882 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.5709548261806149, 'batch_size': 249, 'attention_heads': 14, 'hidden_dimension': 54, 'number_of_hidden_layers': 0, 'dropout_rate': 0.4201846374962598, 'global_pooling': 'max', 'learning_rate': 0.001070928393704741, 'weight_decay': 0.00012235219073624488, 'beta_0': 0.8531523118619979, 'beta_1': 0.9914458679713031, 'epsilon': 1.8638270954269027e-06, 'balanced_loss': False, 'epochs': 57, 'early_stopping_patience': 18, 'plateau_patience': 10, 'plateau_divider': 5}. Best is trial 1 with value: 0.8888888888888888.
[I 2025-01-08 19:41:34,212] Trial 69 finished with value: 0.8783403656821378 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.5218793343141733, 'batch_size': 117, 'attention_heads': 15, 'hidden_dimension': 91, 'number_of_hidden_layers': 1, 'dropout_rate': 0.3369775247345539, 'global_pooling': 'mean', 'learning_rate': 0.0005272279600158689, 'weight_decay': 3.274067486086115e-05, 'beta_0': 0.8349747449626126, 'beta_1': 0.9834212447878536, 'epsilon': 6.709725539829092e-05, 'balanced_loss': False, 'epochs': 120, 'early_stopping_patience': 10, 'plateau_patience': 12, 'plateau_divider': 6}. Best is trial 1 with value: 0.8888888888888888.
[I 2025-01-08 19:51:06,662] Trial 70 finished with value: 0.8713080168776371 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.4751812586595926, 'batch_size': 214, 'attention_heads': 10, 'hidden_dimension': 211, 'number_of_hidden_layers': 4, 'dropout_rate': 0.3465717281934278, 'global_pooling': 'max', 'learning_rate': 0.0007908699183056157, 'weight_decay': 0.00029700172864119564, 'beta_0': 0.8272948896045264, 'beta_1': 0.984930269484649, 'epsilon': 3.845561039071322e-05, 'balanced_loss': False, 'epochs': 96, 'early_stopping_patience': 12, 'plateau_patience': 18, 'plateau_divider': 8}. Best is trial 1 with value: 0.8888888888888888.
[I 2025-01-08 19:57:07,691] Trial 71 finished with value: 0.8846694796061885 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.812456164090775, 'batch_size': 199, 'attention_heads': 8, 'hidden_dimension': 105, 'number_of_hidden_layers': 1, 'dropout_rate': 0.38516272296948345, 'global_pooling': 'max', 'learning_rate': 0.00037036120075440777, 'weight_decay': 9.746786261635136e-05, 'beta_0': 0.896153029291703, 'beta_1': 0.9896035508299098, 'epsilon': 1.4809739204780366e-05, 'balanced_loss': False, 'epochs': 188, 'early_stopping_patience': 13, 'plateau_patience': 11, 'plateau_divider': 8}. Best is trial 1 with value: 0.8888888888888888.
[I 2025-01-08 20:03:21,536] Trial 72 finished with value: 0.8762306610407876 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.49196961183849114, 'batch_size': 156, 'attention_heads': 7, 'hidden_dimension': 107, 'number_of_hidden_layers': 1, 'dropout_rate': 0.40568616271144353, 'global_pooling': 'max', 'learning_rate': 0.0018557720719024682, 'weight_decay': 5.6561610073861976e-05, 'beta_0': 0.8873387751815565, 'beta_1': 0.9904186743456589, 'epsilon': 1.5378715495933633e-05, 'balanced_loss': False, 'epochs': 200, 'early_stopping_patience': 13, 'plateau_patience': 11, 'plateau_divider': 8}. Best is trial 1 with value: 0.8888888888888888.
[I 2025-01-08 20:09:30,530] Trial 73 finished with value: 0.879746835443038 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.8946032156227708, 'batch_size': 44, 'attention_heads': 8, 'hidden_dimension': 158, 'number_of_hidden_layers': 1, 'dropout_rate': 0.39281217379681954, 'global_pooling': 'max', 'learning_rate': 0.00027293332542494654, 'weight_decay': 7.826418760590452e-05, 'beta_0': 0.8918544491805122, 'beta_1': 0.9919141920787012, 'epsilon': 2.17261273937902e-05, 'balanced_loss': False, 'epochs': 189, 'early_stopping_patience': 14, 'plateau_patience': 17, 'plateau_divider': 7}. Best is trial 1 with value: 0.8888888888888888.
[I 2025-01-08 20:15:46,947] Trial 74 finished with value: 0.8776371308016878 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.8261522702265076, 'batch_size': 196, 'attention_heads': 11, 'hidden_dimension': 115, 'number_of_hidden_layers': 1, 'dropout_rate': 0.42759612708315936, 'global_pooling': 'max', 'learning_rate': 0.0005105282929336423, 'weight_decay': 0.0001547791661245056, 'beta_0': 0.8830355113572067, 'beta_1': 0.9894397043893496, 'epsilon': 2.932112552998857e-05, 'balanced_loss': False, 'epochs': 176, 'early_stopping_patience': 16, 'plateau_patience': 14, 'plateau_divider': 10}. Best is trial 1 with value: 0.8888888888888888.
[I 2025-01-08 20:21:49,155] Trial 75 finished with value: 0.8783403656821378 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.8433215333516164, 'batch_size': 179, 'attention_heads': 16, 'hidden_dimension': 103, 'number_of_hidden_layers': 1, 'dropout_rate': 0.36248241716480434, 'global_pooling': 'max', 'learning_rate': 0.0011670534983947007, 'weight_decay': 9.008203209423067e-05, 'beta_0': 0.8975802552897276, 'beta_1': 0.9885260128411479, 'epsilon': 8.283982059358674e-06, 'balanced_loss': False, 'epochs': 176, 'early_stopping_patience': 11, 'plateau_patience': 12, 'plateau_divider': 9}. Best is trial 1 with value: 0.8888888888888888.
