Some weights of RobertaModel were not initialized from the model checkpoint at FacebookAI/roberta-large and are newly initialized: ['roberta.pooler.dense.bias', 'roberta.pooler.dense.weight']
You should probably TRAIN this model on a down-stream task to be able to use it for predictions and inference.
[I 2025-01-09 11:27:36,765] Using an existing study with name 'RTSP-GATv2-FacebookAI-roberta-large-Surrogate-No_Aggregation' instead of creating a new one.
[I 2025-01-09 11:36:22,803] Trial 91 finished with value: 0.8762306610407876 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.5592169400856513, 'batch_size': 241, 'attention_heads': 6, 'hidden_dimension': 225, 'number_of_hidden_layers': 2, 'dropout_rate': 0.39012445022419606, 'global_pooling': 'max', 'learning_rate': 0.0008222575598484658, 'weight_decay': 5.517741939890411e-05, 'beta_0': 0.8601743537063061, 'beta_1': 0.990798152343551, 'epsilon': 4.275960740862204e-07, 'balanced_loss': False, 'epochs': 128, 'early_stopping_patience': 24, 'plateau_patience': 21, 'plateau_divider': 6}. Best is trial 1 with value: 0.8888888888888888.
[I 2025-01-09 16:11:50,771] Trial 129 finished with value: 0.8811533052039381 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.583375258325448, 'batch_size': 55, 'attention_heads': 7, 'hidden_dimension': 185, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4097447179958048, 'global_pooling': 'max', 'learning_rate': 0.0006880002673035783, 'weight_decay': 3.5906934038542963e-06, 'beta_0': 0.8998070725937488, 'beta_1': 0.9886528820433104, 'epsilon': 3.5920516317442205e-05, 'balanced_loss': True, 'epochs': 123, 'early_stopping_patience': 13, 'plateau_patience': 14, 'plateau_divider': 8}. Best is trial 1 with value: 0.8888888888888888.
[I 2025-01-09 16:18:47,159] Trial 130 finished with value: 0.8783403656821378 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.5255925402765019, 'batch_size': 69, 'attention_heads': 11, 'hidden_dimension': 128, 'number_of_hidden_layers': 1, 'dropout_rate': 0.3338155312065453, 'global_pooling': 'max', 'learning_rate': 0.0008924266359172989, 'weight_decay': 0.00025445812714678165, 'beta_0': 0.8587732243406107, 'beta_1': 0.9952568112381072, 'epsilon': 4.025936957051624e-06, 'balanced_loss': False, 'epochs': 172, 'early_stopping_patience': 21, 'plateau_patience': 24, 'plateau_divider': 8}. Best is trial 1 with value: 0.8888888888888888.
[I 2025-01-09 16:27:24,915] Trial 131 finished with value: 0.8804500703234881 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.5394104873932055, 'batch_size': 220, 'attention_heads': 10, 'hidden_dimension': 190, 'number_of_hidden_layers': 1, 'dropout_rate': 0.43324948096250954, 'global_pooling': 'sum', 'learning_rate': 0.0016080106535234285, 'weight_decay': 9.525904091404981e-05, 'beta_0': 0.8924702525790604, 'beta_1': 0.9833199146861793, 'epsilon': 1.531081634530577e-06, 'balanced_loss': False, 'epochs': 200, 'early_stopping_patience': 24, 'plateau_patience': 17, 'plateau_divider': 2}. Best is trial 1 with value: 0.8888888888888888.
[I 2025-01-09 16:41:22,618] Trial 132 finished with value: 0.8832630098452883 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.4429736870333137, 'batch_size': 76, 'attention_heads': 15, 'hidden_dimension': 250, 'number_of_hidden_layers': 3, 'dropout_rate': 0.4555085055903537, 'global_pooling': 'mean', 'learning_rate': 0.001523284936286315, 'weight_decay': 1.044850522910157e-06, 'beta_0': 0.8777038609980632, 'beta_1': 0.985827923934076, 'epsilon': 1.94772648941275e-05, 'balanced_loss': False, 'epochs': 188, 'early_stopping_patience': 15, 'plateau_patience': 12, 'plateau_divider': 2}. Best is trial 1 with value: 0.8888888888888888.
[I 2025-01-09 16:56:56,846] Trial 133 finished with value: 0.8748241912798875 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.4675970295304327, 'batch_size': 90, 'attention_heads': 15, 'hidden_dimension': 255, 'number_of_hidden_layers': 3, 'dropout_rate': 0.4774827055141345, 'global_pooling': 'mean', 'learning_rate': 0.0012148449414733156, 'weight_decay': 1.0015874049732694e-06, 'beta_0': 0.8816520280697823, 'beta_1': 0.9873211645633471, 'epsilon': 1.8390949507305387e-05, 'balanced_loss': False, 'epochs': 183, 'early_stopping_patience': 14, 'plateau_patience': 13, 'plateau_divider': 2}. Best is trial 1 with value: 0.8888888888888888.
[I 2025-01-09 17:12:17,224] Trial 134 finished with value: 0.5014064697609001 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.4020652967090989, 'batch_size': 60, 'attention_heads': 16, 'hidden_dimension': 236, 'number_of_hidden_layers': 3, 'dropout_rate': 0.48811905963079677, 'global_pooling': 'mean', 'learning_rate': 0.014131881770738665, 'weight_decay': 6.300823606676639e-05, 'beta_0': 0.8941826959482775, 'beta_1': 0.9847586182156202, 'epsilon': 1.4502921560330998e-05, 'balanced_loss': False, 'epochs': 185, 'early_stopping_patience': 15, 'plateau_patience': 11, 'plateau_divider': 5}. Best is trial 1 with value: 0.8888888888888888.
[I 2025-01-09 17:26:39,168] Trial 135 finished with value: 0.879746835443038 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.4185747241497036, 'batch_size': 78, 'attention_heads': 14, 'hidden_dimension': 252, 'number_of_hidden_layers': 3, 'dropout_rate': 0.4608726373202082, 'global_pooling': 'mean', 'learning_rate': 0.0025102389526816217, 'weight_decay': 1.2627977746864927e-06, 'beta_0': 0.8874345092927427, 'beta_1': 0.9855532365367194, 'epsilon': 2.5750957676296574e-05, 'balanced_loss': False, 'epochs': 193, 'early_stopping_patience': 14, 'plateau_patience': 12, 'plateau_divider': 2}. Best is trial 1 with value: 0.8888888888888888.
[I 2025-01-09 17:37:28,414] Trial 136 finished with value: 0.8762306610407876 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.42825648347481615, 'batch_size': 71, 'attention_heads': 9, 'hidden_dimension': 247, 'number_of_hidden_layers': 4, 'dropout_rate': 0.4476434811365681, 'global_pooling': 'mean', 'learning_rate': 0.0005436276864391831, 'weight_decay': 0.0001291534805402355, 'beta_0': 0.87541056249409, 'beta_1': 0.9896161076409066, 'epsilon': 4.597839722740843e-05, 'balanced_loss': False, 'epochs': 107, 'early_stopping_patience': 15, 'plateau_patience': 11, 'plateau_divider': 4}. Best is trial 1 with value: 0.8888888888888888.
[I 2025-01-09 17:45:41,154] Trial 137 finished with value: 0.869901547116737 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.48962810453089806, 'batch_size': 94, 'attention_heads': 15, 'hidden_dimension': 94, 'number_of_hidden_layers': 3, 'dropout_rate': 0.37514954688506486, 'global_pooling': 'max', 'learning_rate': 0.0003173130900786597, 'weight_decay': 5.000536802828785e-06, 'beta_0': 0.8623784166047274, 'beta_1': 0.9809460465716565, 'epsilon': 1.1461405064652843e-05, 'balanced_loss': False, 'epochs': 179, 'early_stopping_patience': 16, 'plateau_patience': 23, 'plateau_divider': 5}. Best is trial 1 with value: 0.8888888888888888.
[I 2025-01-09 17:52:35,849] Trial 138 finished with value: 0.8783403656821378 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.447722568142417, 'batch_size': 101, 'attention_heads': 8, 'hidden_dimension': 104, 'number_of_hidden_layers': 3, 'dropout_rate': 0.42326482783526354, 'global_pooling': 'mean', 'learning_rate': 0.0009905973662528774, 'weight_decay': 1.7598590352593162e-06, 'beta_0': 0.884049677890825, 'beta_1': 0.9859712908924542, 'epsilon': 1.8508207184704804e-07, 'balanced_loss': False, 'epochs': 64, 'early_stopping_patience': 15, 'plateau_patience': 25, 'plateau_divider': 3}. Best is trial 1 with value: 0.8888888888888888.
[I 2025-01-09 17:59:01,109] Trial 139 finished with value: 0.8769338959212377 and parameters: {'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.5778189365654665, 'batch_size': 250, 'attention_heads': 16, 'hidden_dimension': 82, 'number_of_hidden_layers': 1, 'dropout_rate': 0.31327011619964185, 'global_pooling': 'max', 'learning_rate': 0.0019342234404004781, 'weight_decay': 2.579632551212174e-06, 'beta_0': 0.8557307593684924, 'beta_1': 0.9842427529154775, 'epsilon': 4.675587601670664e-08, 'balanced_loss': False, 'epochs': 54, 'early_stopping_patience': 13, 'plateau_patience': 12, 'plateau_divider': 9}. Best is trial 1 with value: 0.8888888888888888.
[I 2025-01-09 18:09:55,277] Trial 140 finished with value: 0.8818565400843882 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.5504878499362308, 'batch_size': 242, 'attention_heads': 15, 'hidden_dimension': 239, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4004487265993146, 'global_pooling': 'max', 'learning_rate': 0.0008021507895174573, 'weight_decay': 0.00032647550440156816, 'beta_0': 0.8444482306886655, 'beta_1': 0.9852066998462797, 'epsilon': 9.41292317323429e-06, 'balanced_loss': False, 'epochs': 187, 'early_stopping_patience': 22, 'plateau_patience': 15, 'plateau_divider': 6}. Best is trial 1 with value: 0.8888888888888888.
[I 2025-01-09 18:16:14,001] Trial 141 finished with value: 0.8790436005625879 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.6202750990134938, 'batch_size': 84, 'attention_heads': 9, 'hidden_dimension': 112, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4405753930081074, 'global_pooling': 'max', 'learning_rate': 0.0013118546496990585, 'weight_decay': 1.479835152189124e-06, 'beta_0': 0.8464771372624703, 'beta_1': 0.9837234386474418, 'epsilon': 3.326618476121093e-05, 'balanced_loss': False, 'epochs': 197, 'early_stopping_patience': 17, 'plateau_patience': 11, 'plateau_divider': 2}. Best is trial 1 with value: 0.8888888888888888.
[I 2025-01-09 18:24:09,321] Trial 142 finished with value: 0.8804500703234881 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.5150120870220295, 'batch_size': 233, 'attention_heads': 9, 'hidden_dimension': 169, 'number_of_hidden_layers': 1, 'dropout_rate': 0.43047605249732623, 'global_pooling': 'max', 'learning_rate': 0.0006723893131371488, 'weight_decay': 7.999777202957882e-05, 'beta_0': 0.8508542787283055, 'beta_1': 0.9870203849018953, 'epsilon': 4.6108503901497645e-07, 'balanced_loss': False, 'epochs': 143, 'early_stopping_patience': 23, 'plateau_patience': 21, 'plateau_divider': 5}. Best is trial 1 with value: 0.8888888888888888.
[I 2025-01-09 18:32:44,956] Trial 143 finished with value: 0.8790436005625879 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.5403116181623386, 'batch_size': 209, 'attention_heads': 8, 'hidden_dimension': 180, 'number_of_hidden_layers': 2, 'dropout_rate': 0.408823943892431, 'global_pooling': 'max', 'learning_rate': 0.0006961600070792544, 'weight_decay': 6.855310680200389e-05, 'beta_0': 0.8530534687118174, 'beta_1': 0.9868250761862818, 'epsilon': 1.5392910740499675e-07, 'balanced_loss': False, 'epochs': 133, 'early_stopping_patience': 23, 'plateau_patience': 20, 'plateau_divider': 5}. Best is trial 1 with value: 0.8888888888888888.
[I 2025-01-09 18:43:07,380] Trial 144 finished with value: 0.8839662447257384 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.5662534498065621, 'batch_size': 224, 'attention_heads': 10, 'hidden_dimension': 175, 'number_of_hidden_layers': 3, 'dropout_rate': 0.41703923994577324, 'global_pooling': 'max', 'learning_rate': 0.0015157681638063867, 'weight_decay': 3.9551362796303316e-05, 'beta_0': 0.8699748553932458, 'beta_1': 0.9864347934171656, 'epsilon': 2.7549855402715967e-08, 'balanced_loss': False, 'epochs': 127, 'early_stopping_patience': 25, 'plateau_patience': 22, 'plateau_divider': 5}. Best is trial 1 with value: 0.8888888888888888.
[I 2025-01-09 18:56:18,313] Trial 145 finished with value: 0.8713080168776371 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.4703052723300394, 'batch_size': 231, 'attention_heads': 12, 'hidden_dimension': 200, 'number_of_hidden_layers': 2, 'dropout_rate': 0.45115823999483756, 'global_pooling': 'max', 'learning_rate': 0.0004041940293461812, 'weight_decay': 0.00010918883710268528, 'beta_0': 0.8482695868455558, 'beta_1': 0.9878966873965979, 'epsilon': 1.0503670300705455e-07, 'balanced_loss': False, 'epochs': 138, 'early_stopping_patience': 20, 'plateau_patience': 13, 'plateau_divider': 4}. Best is trial 1 with value: 0.8888888888888888.
[I 2025-01-09 19:03:27,536] Trial 146 finished with value: 0.8804500703234881 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.7511733341414965, 'batch_size': 66, 'attention_heads': 9, 'hidden_dimension': 229, 'number_of_hidden_layers': 1, 'dropout_rate': 0.3537439730715711, 'global_pooling': 'max', 'learning_rate': 0.0005780163392416288, 'weight_decay': 0.00016165737064621487, 'beta_0': 0.8416449359639646, 'beta_1': 0.9874766742023694, 'epsilon': 2.0596542925629006e-06, 'balanced_loss': False, 'epochs': 142, 'early_stopping_patience': 23, 'plateau_patience': 24, 'plateau_divider': 5}. Best is trial 1 with value: 0.8888888888888888.
[I 2025-01-09 19:10:35,401] Trial 147 finished with value: 0.8811533052039381 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.5536845567318386, 'batch_size': 226, 'attention_heads': 9, 'hidden_dimension': 164, 'number_of_hidden_layers': 1, 'dropout_rate': 0.39371927759494046, 'global_pooling': 'max', 'learning_rate': 0.006318161136734689, 'weight_decay': 0.0001898205375748905, 'beta_0': 0.8388791936459182, 'beta_1': 0.9865805765186046, 'epsilon': 7.402314350394088e-06, 'balanced_loss': False, 'epochs': 131, 'early_stopping_patience': 24, 'plateau_patience': 23, 'plateau_divider': 5}. Best is trial 1 with value: 0.8888888888888888.
[I 2025-01-09 19:20:46,544] Trial 148 finished with value: 0.8783403656821378 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.5001171580932839, 'batch_size': 216, 'attention_heads': 10, 'hidden_dimension': 213, 'number_of_hidden_layers': 2, 'dropout_rate': 0.43666045212210475, 'global_pooling': 'max', 'learning_rate': 0.0010456924695741233, 'weight_decay': 5.759234556679021e-05, 'beta_0': 0.8508536597640217, 'beta_1': 0.9861454605637292, 'epsilon': 2.0171494673018687e-05, 'balanced_loss': False, 'epochs': 136, 'early_stopping_patience': 21, 'plateau_patience': 21, 'plateau_divider': 6}. Best is trial 1 with value: 0.8888888888888888.
[I 2025-01-09 19:27:28,353] Trial 149 finished with value: 0.8811533052039381 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.587799909340217, 'batch_size': 200, 'attention_heads': 14, 'hidden_dimension': 101, 'number_of_hidden_layers': 1, 'dropout_rate': 0.36517907315593257, 'global_pooling': 'max', 'learning_rate': 0.0008292970857550737, 'weight_decay': 1.1821685806596513e-06, 'beta_0': 0.8366057567660182, 'beta_1': 0.984870764274132, 'epsilon': 2.439406869663467e-06, 'balanced_loss': False, 'epochs': 72, 'early_stopping_patience': 12, 'plateau_patience': 23, 'plateau_divider': 8}. Best is trial 1 with value: 0.8888888888888888.
[I 2025-01-09 19:34:23,638] Trial 150 finished with value: 0.8811533052039381 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.5341018637369835, 'batch_size': 49, 'attention_heads': 8, 'hidden_dimension': 244, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4221302855431858, 'global_pooling': 'mean', 'learning_rate': 0.0017229752116283466, 'weight_decay': 1.0577408288314408e-05, 'beta_0': 0.895539816070852, 'beta_1': 0.9855447296441787, 'epsilon': 2.9157103147969995e-07, 'balanced_loss': True, 'epochs': 125, 'early_stopping_patience': 14, 'plateau_patience': 19, 'plateau_divider': 5}. Best is trial 1 with value: 0.8888888888888888.
[I 2025-01-09 19:41:36,071] Trial 151 finished with value: 0.8846694796061885 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.5166778855127973, 'batch_size': 139, 'attention_heads': 9, 'hidden_dimension': 120, 'number_of_hidden_layers': 2, 'dropout_rate': 0.3791930164671389, 'global_pooling': 'max', 'learning_rate': 0.004582259307371433, 'weight_decay': 9.350716462730786e-05, 'beta_0': 0.890730507379488, 'beta_1': 0.9934652734860101, 'epsilon': 2.3033515294099692e-05, 'balanced_loss': False, 'epochs': 168, 'early_stopping_patience': 22, 'plateau_patience': 16, 'plateau_divider': 4}. Best is trial 1 with value: 0.8888888888888888.
[I 2025-01-09 19:48:35,450] Trial 152 finished with value: 0.8832630098452883 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.5196475268455669, 'batch_size': 239, 'attention_heads': 9, 'hidden_dimension': 122, 'number_of_hidden_layers': 2, 'dropout_rate': 0.3773455132312483, 'global_pooling': 'max', 'learning_rate': 0.004604528053254772, 'weight_decay': 8.769400447070532e-05, 'beta_0': 0.8891714469153118, 'beta_1': 0.9941715336060408, 'epsilon': 1.2582950384247794e-05, 'balanced_loss': False, 'epochs': 161, 'early_stopping_patience': 22, 'plateau_patience': 16, 'plateau_divider': 4}. Best is trial 1 with value: 0.8888888888888888.
[I 2025-01-09 19:55:49,292] Trial 153 finished with value: 0.8860759493670886 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.4919420910288137, 'batch_size': 117, 'attention_heads': 9, 'hidden_dimension': 116, 'number_of_hidden_layers': 2, 'dropout_rate': 0.3808117577323867, 'global_pooling': 'max', 'learning_rate': 0.003225722312466501, 'weight_decay': 0.00011922130352649784, 'beta_0': 0.8909568448592124, 'beta_1': 0.9936367338060431, 'epsilon': 2.2717529349371072e-05, 'balanced_loss': False, 'epochs': 170, 'early_stopping_patience': 22, 'plateau_patience': 17, 'plateau_divider': 4}. Best is trial 1 with value: 0.8888888888888888.
[I 2025-01-09 20:02:59,323] Trial 154 finished with value: 0.8769338959212377 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.4830417578212429, 'batch_size': 137, 'attention_heads': 9, 'hidden_dimension': 116, 'number_of_hidden_layers': 2, 'dropout_rate': 0.3818466716842839, 'global_pooling': 'max', 'learning_rate': 0.002915561083231891, 'weight_decay': 0.0001176674109204035, 'beta_0': 0.8907572227488071, 'beta_1': 0.9936201573377155, 'epsilon': 2.2271239393540307e-05, 'balanced_loss': False, 'epochs': 175, 'early_stopping_patience': 22, 'plateau_patience': 17, 'plateau_divider': 4}. Best is trial 1 with value: 0.8888888888888888.
[I 2025-01-09 20:10:25,137] Trial 155 finished with value: 0.8804500703234881 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.49460698544715753, 'batch_size': 114, 'attention_heads': 8, 'hidden_dimension': 133, 'number_of_hidden_layers': 2, 'dropout_rate': 0.3882146308239799, 'global_pooling': 'max', 'learning_rate': 0.005511204914845844, 'weight_decay': 0.00014250419194614868, 'beta_0': 0.893384061245752, 'beta_1': 0.9929450864540146, 'epsilon': 2.3894740828531155e-05, 'balanced_loss': False, 'epochs': 169, 'early_stopping_patience': 21, 'plateau_patience': 17, 'plateau_divider': 4}. Best is trial 1 with value: 0.8888888888888888.
[I 2025-01-09 20:17:35,083] Trial 156 finished with value: 0.8874824191279888 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.45914777922521127, 'batch_size': 107, 'attention_heads': 10, 'hidden_dimension': 109, 'number_of_hidden_layers': 2, 'dropout_rate': 0.36077304947366357, 'global_pooling': 'max', 'learning_rate': 0.0034257504731481656, 'weight_decay': 0.00012379744358565053, 'beta_0': 0.8870009236876891, 'beta_1': 0.9948197384804116, 'epsilon': 2.99456782902975e-05, 'balanced_loss': False, 'epochs': 168, 'early_stopping_patience': 21, 'plateau_patience': 16, 'plateau_divider': 3}. Best is trial 1 with value: 0.8888888888888888.
[I 2025-01-09 20:24:45,417] Trial 157 finished with value: 0.8839662447257384 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.45760524596282287, 'batch_size': 121, 'attention_heads': 10, 'hidden_dimension': 107, 'number_of_hidden_layers': 2, 'dropout_rate': 0.3709616796395251, 'global_pooling': 'max', 'learning_rate': 0.003519329848016554, 'weight_decay': 0.00010094216942147073, 'beta_0': 0.8976851533669843, 'beta_1': 0.9944791132301695, 'epsilon': 2.9280069348390512e-05, 'balanced_loss': False, 'epochs': 163, 'early_stopping_patience': 21, 'plateau_patience': 16, 'plateau_divider': 3}. Best is trial 1 with value: 0.8888888888888888.
[I 2025-01-09 20:32:03,612] Trial 158 finished with value: 0.8776371308016878 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.47548878709515685, 'batch_size': 112, 'attention_heads': 10, 'hidden_dimension': 112, 'number_of_hidden_layers': 2, 'dropout_rate': 0.3676868727591737, 'global_pooling': 'max', 'learning_rate': 0.004193859240009773, 'weight_decay': 0.00013565538336329723, 'beta_0': 0.8868221604744282, 'beta_1': 0.9948843889460368, 'epsilon': 7.643144789681096e-05, 'balanced_loss': False, 'epochs': 166, 'early_stopping_patience': 22, 'plateau_patience': 16, 'plateau_divider': 3}. Best is trial 1 with value: 0.8888888888888888.
[I 2025-01-09 20:39:29,461] Trial 159 finished with value: 0.879746835443038 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.5086775121853457, 'batch_size': 108, 'attention_heads': 11, 'hidden_dimension': 120, 'number_of_hidden_layers': 2, 'dropout_rate': 0.35675651195786995, 'global_pooling': 'max', 'learning_rate': 0.007305189832965786, 'weight_decay': 0.0001202713356496914, 'beta_0': 0.8923683153500089, 'beta_1': 0.995633690293909, 'epsilon': 5.5990534986912603e-05, 'balanced_loss': False, 'epochs': 169, 'early_stopping_patience': 21, 'plateau_patience': 16, 'plateau_divider': 3}. Best is trial 1 with value: 0.8888888888888888.
[I 2025-01-09 20:46:45,488] Trial 160 finished with value: 0.8811533052039381 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.4819888317454497, 'batch_size': 128, 'attention_heads': 9, 'hidden_dimension': 116, 'number_of_hidden_layers': 2, 'dropout_rate': 0.3780753613359489, 'global_pooling': 'max', 'learning_rate': 0.003582300199148372, 'weight_decay': 0.0002141564469350171, 'beta_0': 0.8851694628197865, 'beta_1': 0.996994667899903, 'epsilon': 4.305601053313785e-05, 'balanced_loss': False, 'epochs': 172, 'early_stopping_patience': 22, 'plateau_patience': 18, 'plateau_divider': 3}. Best is trial 1 with value: 0.8888888888888888.
[I 2025-01-09 20:53:20,833] Trial 161 finished with value: 0.8755274261603375 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8072293065881554, 'batch_size': 106, 'attention_heads': 10, 'hidden_dimension': 127, 'number_of_hidden_layers': 2, 'dropout_rate': 0.34076579354249253, 'global_pooling': 'max', 'learning_rate': 0.004933447187693905, 'weight_decay': 0.00016432790756407882, 'beta_0': 0.8902390482911461, 'beta_1': 0.9917911202039339, 'epsilon': 3.109106601874613e-05, 'balanced_loss': False, 'epochs': 50, 'early_stopping_patience': 21, 'plateau_patience': 15, 'plateau_divider': 4}. Best is trial 1 with value: 0.8888888888888888.
[I 2025-01-09 20:59:29,152] Trial 162 finished with value: 0.8818565400843882 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.6638262199528484, 'batch_size': 148, 'attention_heads': 9, 'hidden_dimension': 98, 'number_of_hidden_layers': 1, 'dropout_rate': 0.34935605367664757, 'global_pooling': 'max', 'learning_rate': 0.0023850554752993746, 'weight_decay': 9.2226323697906e-05, 'beta_0': 0.881372187588574, 'beta_1': 0.9926533523033493, 'epsilon': 1.741548756988444e-05, 'balanced_loss': False, 'epochs': 159, 'early_stopping_patience': 20, 'plateau_patience': 17, 'plateau_divider': 3}. Best is trial 1 with value: 0.8888888888888888.
[I 2025-01-09 21:05:58,051] Trial 163 finished with value: 0.879746835443038 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.43402327597459783, 'batch_size': 138, 'attention_heads': 8, 'hidden_dimension': 111, 'number_of_hidden_layers': 1, 'dropout_rate': 0.3597609737208011, 'global_pooling': 'max', 'learning_rate': 0.002866406612537466, 'weight_decay': 0.00010892598548934351, 'beta_0': 0.8879995136223482, 'beta_1': 0.9938199812677082, 'epsilon': 1.4708000658109137e-05, 'balanced_loss': False, 'epochs': 194, 'early_stopping_patience': 20, 'plateau_patience': 16, 'plateau_divider': 4}. Best is trial 1 with value: 0.8888888888888888.
[I 2025-01-09 21:12:32,389] Trial 164 finished with value: 0.8748241912798875 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.4615013098748217, 'batch_size': 117, 'attention_heads': 9, 'hidden_dimension': 106, 'number_of_hidden_layers': 1, 'dropout_rate': 0.3825617032963828, 'global_pooling': 'sum', 'learning_rate': 0.0020594098703139215, 'weight_decay': 0.00014154647704166823, 'beta_0': 0.8949373832432942, 'beta_1': 0.9941625486295436, 'epsilon': 2.3303213587139376e-05, 'balanced_loss': False, 'epochs': 191, 'early_stopping_patience': 23, 'plateau_patience': 15, 'plateau_divider': 3}. Best is trial 1 with value: 0.8888888888888888.
[I 2025-01-09 21:19:39,344] Trial 165 finished with value: 0.8755274261603375 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.4485711725408957, 'batch_size': 99, 'attention_heads': 10, 'hidden_dimension': 88, 'number_of_hidden_layers': 1, 'dropout_rate': 0.39612991953132937, 'global_pooling': 'max', 'learning_rate': 0.01040055397922463, 'weight_decay': 7.79149826450107e-05, 'beta_0': 0.8919931766532382, 'beta_1': 0.9934866785605984, 'epsilon': 1.1179648512394735e-05, 'balanced_loss': False, 'epochs': 178, 'early_stopping_patience': 22, 'plateau_patience': 17, 'plateau_divider': 10}. Best is trial 1 with value: 0.8888888888888888.
[I 2025-01-09 21:26:09,927] Trial 166 finished with value: 0.8853727144866386 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.4961654578412551, 'batch_size': 122, 'attention_heads': 4, 'hidden_dimension': 123, 'number_of_hidden_layers': 3, 'dropout_rate': 0.47016042351590637, 'global_pooling': 'max', 'learning_rate': 0.0012368116877075263, 'weight_decay': 0.0001797120128059791, 'beta_0': 0.8780582539522485, 'beta_1': 0.9928881130013671, 'epsilon': 1.712495919767891e-05, 'balanced_loss': False, 'epochs': 168, 'early_stopping_patience': 16, 'plateau_patience': 16, 'plateau_divider': 4}. Best is trial 1 with value: 0.8888888888888888.
