[I 2025-03-06 18:45:32,835] Using an existing study with name 'SST-2-GATv2-google-bert-bert-base-uncased-Surrogate-No_Aggregation-Random_Attentions-0.0-0.0' instead of creating a new one.
[I 2025-03-06 18:54:14,484] Trial 71 finished with value: 0.8944954128440367 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.4744626709387133, 'batch_size': 103, 'attention_heads': 16, 'hidden_dimension': 205, 'number_of_hidden_layers': 3, 'dropout_rate': 0.4358562046694647, 'global_pooling': 'max', 'learning_rate': 0.0001765175778200187, 'weight_decay': 0.0006084591488841319, 'beta_0': 0.8710296346215669, 'beta_1': 0.9897197388969209, 'epsilon': 1.4755497674806805e-07, 'balanced_loss': True, 'epochs': 188, 'early_stopping_patience': 16, 'plateau_patience': 21, 'plateau_divider': 6}. Best is trial 45 with value: 0.911697247706422.
[I 2025-03-07 00:46:39,172] Trial 109 finished with value: 0.9048165137614679 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.6515416302532968, 'batch_size': 81, 'attention_heads': 15, 'hidden_dimension': 185, 'number_of_hidden_layers': 3, 'dropout_rate': 0.3957932835447684, 'global_pooling': 'mean', 'learning_rate': 0.0008899108164118147, 'weight_decay': 4.257119523221021e-06, 'beta_0': 0.862310492815436, 'beta_1': 0.9872749266542308, 'epsilon': 1.9432906631399604e-05, 'balanced_loss': True, 'epochs': 137, 'early_stopping_patience': 20, 'plateau_patience': 20, 'plateau_divider': 9}. Best is trial 45 with value: 0.911697247706422.
[I 2025-03-07 00:56:37,340] Trial 110 finished with value: 0.9013761467889908 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.4653690312345479, 'batch_size': 32, 'attention_heads': 12, 'hidden_dimension': 193, 'number_of_hidden_layers': 4, 'dropout_rate': 0.43617114057248035, 'global_pooling': 'max', 'learning_rate': 0.00019308592691289633, 'weight_decay': 1.0011268722088153e-06, 'beta_0': 0.8843375924310294, 'beta_1': 0.9856564483230641, 'epsilon': 3.5941970070804453e-05, 'balanced_loss': True, 'epochs': 169, 'early_stopping_patience': 21, 'plateau_patience': 22, 'plateau_divider': 6}. Best is trial 45 with value: 0.911697247706422.
[I 2025-03-07 01:03:19,163] Trial 111 finished with value: 0.8956422018348624 and parameters: {'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.6305603817809714, 'batch_size': 42, 'attention_heads': 16, 'hidden_dimension': 145, 'number_of_hidden_layers': 2, 'dropout_rate': 0.3818425293233984, 'global_pooling': 'sum', 'learning_rate': 0.0006654394015561653, 'weight_decay': 9.889688411059541e-05, 'beta_0': 0.850665208419222, 'beta_1': 0.9912883672108529, 'epsilon': 4.959219553696432e-05, 'balanced_loss': False, 'epochs': 72, 'early_stopping_patience': 23, 'plateau_patience': 19, 'plateau_divider': 8}. Best is trial 45 with value: 0.911697247706422.
[I 2025-03-07 01:09:33,725] Trial 112 finished with value: 0.8979357798165137 and parameters: {'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.8062183947991699, 'batch_size': 50, 'attention_heads': 15, 'hidden_dimension': 213, 'number_of_hidden_layers': 1, 'dropout_rate': 0.46012133651620557, 'global_pooling': 'max', 'learning_rate': 0.0032995526170147824, 'weight_decay': 1.9814059697315075e-06, 'beta_0': 0.8972081151700221, 'beta_1': 0.986826662685868, 'epsilon': 3.350259459123093e-05, 'balanced_loss': True, 'epochs': 144, 'early_stopping_patience': 24, 'plateau_patience': 16, 'plateau_divider': 8}. Best is trial 45 with value: 0.911697247706422.
[I 2025-03-07 01:14:11,848] Trial 113 finished with value: 0.9002293577981652 and parameters: {'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.716634144175717, 'batch_size': 45, 'attention_heads': 15, 'hidden_dimension': 209, 'number_of_hidden_layers': 0, 'dropout_rate': 0.43080811758864745, 'global_pooling': 'max', 'learning_rate': 0.001776189929651886, 'weight_decay': 2.233696944695288e-06, 'beta_0': 0.8943816529372338, 'beta_1': 0.9860493117902549, 'epsilon': 2.2032602712704257e-05, 'balanced_loss': True, 'epochs': 187, 'early_stopping_patience': 24, 'plateau_patience': 18, 'plateau_divider': 3}. Best is trial 45 with value: 0.911697247706422.
[I 2025-03-07 01:20:08,718] Trial 114 finished with value: 0.9013761467889908 and parameters: {'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.7127150587666111, 'batch_size': 57, 'attention_heads': 14, 'hidden_dimension': 197, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4476021660711916, 'global_pooling': 'max', 'learning_rate': 0.0010547032967176025, 'weight_decay': 1.8007968529771603e-06, 'beta_0': 0.898093426256402, 'beta_1': 0.9879669775949785, 'epsilon': 1.3262714072372237e-05, 'balanced_loss': True, 'epochs': 150, 'early_stopping_patience': 25, 'plateau_patience': 17, 'plateau_divider': 8}. Best is trial 45 with value: 0.911697247706422.
[I 2025-03-07 01:32:33,286] Trial 115 finished with value: 0.8910550458715596 and parameters: {'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.7707549968736512, 'batch_size': 65, 'attention_heads': 16, 'hidden_dimension': 252, 'number_of_hidden_layers': 3, 'dropout_rate': 0.4699227416309914, 'global_pooling': 'max', 'learning_rate': 0.002695819757438558, 'weight_decay': 1.2137827107493134e-06, 'beta_0': 0.899950073558052, 'beta_1': 0.9905314069799145, 'epsilon': 5.5746727280368746e-05, 'balanced_loss': True, 'epochs': 147, 'early_stopping_patience': 24, 'plateau_patience': 10, 'plateau_divider': 7}. Best is trial 45 with value: 0.911697247706422.
[I 2025-03-07 01:37:28,224] Trial 116 finished with value: 0.8967889908256881 and parameters: {'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.5772742513742517, 'batch_size': 38, 'attention_heads': 14, 'hidden_dimension': 223, 'number_of_hidden_layers': 0, 'dropout_rate': 0.4120202439414309, 'global_pooling': 'max', 'learning_rate': 0.002308839826155942, 'weight_decay': 2.51809205898746e-06, 'beta_0': 0.8883674900338449, 'beta_1': 0.9871011574605308, 'epsilon': 1.7431883665284425e-05, 'balanced_loss': True, 'epochs': 194, 'early_stopping_patience': 25, 'plateau_patience': 16, 'plateau_divider': 8}. Best is trial 45 with value: 0.911697247706422.
[I 2025-03-07 01:44:55,478] Trial 117 finished with value: 0.8979357798165137 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.7606897504645777, 'batch_size': 73, 'attention_heads': 15, 'hidden_dimension': 219, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4206169893120072, 'global_pooling': 'max', 'learning_rate': 0.001535065169098881, 'weight_decay': 1.6330159997772048e-06, 'beta_0': 0.8133441945280916, 'beta_1': 0.9898055191038884, 'epsilon': 6.268662217432272e-08, 'balanced_loss': True, 'epochs': 139, 'early_stopping_patience': 23, 'plateau_patience': 19, 'plateau_divider': 5}. Best is trial 45 with value: 0.911697247706422.
[I 2025-03-07 01:57:22,605] Trial 118 finished with value: 0.8922018348623854 and parameters: {'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.5925086322154801, 'batch_size': 108, 'attention_heads': 16, 'hidden_dimension': 245, 'number_of_hidden_layers': 3, 'dropout_rate': 0.4396788044496265, 'global_pooling': 'max', 'learning_rate': 0.003630990212037254, 'weight_decay': 3.674043016848114e-05, 'beta_0': 0.8744488294965435, 'beta_1': 0.9888769970647632, 'epsilon': 3.1142490326231156e-05, 'balanced_loss': False, 'epochs': 120, 'early_stopping_patience': 25, 'plateau_patience': 14, 'plateau_divider': 6}. Best is trial 45 with value: 0.911697247706422.
[I 2025-03-07 02:05:07,330] Trial 119 finished with value: 0.8944954128440367 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.6980063804635327, 'batch_size': 117, 'attention_heads': 14, 'hidden_dimension': 203, 'number_of_hidden_layers': 3, 'dropout_rate': 0.4535171763196877, 'global_pooling': 'max', 'learning_rate': 0.0011797667770088182, 'weight_decay': 5.78714545341381e-06, 'beta_0': 0.8818775767483467, 'beta_1': 0.9908305533811474, 'epsilon': 6.628288839238049e-06, 'balanced_loss': True, 'epochs': 177, 'early_stopping_patience': 24, 'plateau_patience': 18, 'plateau_divider': 7}. Best is trial 45 with value: 0.911697247706422.
[I 2025-03-07 02:15:56,112] Trial 120 finished with value: 0.8635321100917431 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.5361921987552329, 'batch_size': 51, 'attention_heads': 15, 'hidden_dimension': 227, 'number_of_hidden_layers': 3, 'dropout_rate': 0.4067428848297413, 'global_pooling': 'max', 'learning_rate': 0.004825101575209171, 'weight_decay': 9.003878243739663e-06, 'beta_0': 0.8346123215956277, 'beta_1': 0.987489247297816, 'epsilon': 2.037580904702686e-07, 'balanced_loss': True, 'epochs': 56, 'early_stopping_patience': 25, 'plateau_patience': 14, 'plateau_divider': 9}. Best is trial 45 with value: 0.911697247706422.
[I 2025-03-07 02:21:58,082] Trial 121 finished with value: 0.8990825688073395 and parameters: {'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.7344665349926209, 'batch_size': 98, 'attention_heads': 14, 'hidden_dimension': 133, 'number_of_hidden_layers': 3, 'dropout_rate': 0.42777717178697183, 'global_pooling': 'max', 'learning_rate': 0.0008386603065937433, 'weight_decay': 2.1258048255675025e-05, 'beta_0': 0.8464771372624703, 'beta_1': 0.990300194513524, 'epsilon': 7.449478025858553e-05, 'balanced_loss': False, 'epochs': 197, 'early_stopping_patience': 23, 'plateau_patience': 15, 'plateau_divider': 5}. Best is trial 45 with value: 0.911697247706422.
[I 2025-03-07 02:31:02,915] Trial 122 finished with value: 0.9048165137614679 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.609184983928351, 'batch_size': 40, 'attention_heads': 13, 'hidden_dimension': 214, 'number_of_hidden_layers': 3, 'dropout_rate': 0.3901394418126386, 'global_pooling': 'max', 'learning_rate': 0.0005407708494713128, 'weight_decay': 1.3429059896266192e-06, 'beta_0': 0.8734222284770873, 'beta_1': 0.9928126692319679, 'epsilon': 2.458368924748362e-07, 'balanced_loss': True, 'epochs': 200, 'early_stopping_patience': 23, 'plateau_patience': 24, 'plateau_divider': 5}. Best is trial 45 with value: 0.911697247706422.
[I 2025-03-07 02:42:07,327] Trial 123 finished with value: 0.9036697247706422 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.45673880348544504, 'batch_size': 32, 'attention_heads': 14, 'hidden_dimension': 236, 'number_of_hidden_layers': 3, 'dropout_rate': 0.3957418110221796, 'global_pooling': 'max', 'learning_rate': 0.0003727645259446556, 'weight_decay': 1.5711808069811641e-06, 'beta_0': 0.8766246454496744, 'beta_1': 0.9930652266007113, 'epsilon': 1.7739360270607067e-07, 'balanced_loss': True, 'epochs': 155, 'early_stopping_patience': 22, 'plateau_patience': 23, 'plateau_divider': 6}. Best is trial 45 with value: 0.911697247706422.
[I 2025-03-07 02:52:58,179] Trial 124 finished with value: 0.8979357798165137 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.44309829313393423, 'batch_size': 45, 'attention_heads': 13, 'hidden_dimension': 241, 'number_of_hidden_layers': 3, 'dropout_rate': 0.41756323990741095, 'global_pooling': 'max', 'learning_rate': 0.0002661091164545687, 'weight_decay': 1.0573198809815277e-06, 'beta_0': 0.8426134213227175, 'beta_1': 0.9923585080265243, 'epsilon': 3.062753485364669e-07, 'balanced_loss': True, 'epochs': 189, 'early_stopping_patience': 24, 'plateau_patience': 25, 'plateau_divider': 4}. Best is trial 45 with value: 0.911697247706422.
[I 2025-03-07 03:04:46,705] Trial 125 finished with value: 0.9013761467889908 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.5548676926207304, 'batch_size': 38, 'attention_heads': 15, 'hidden_dimension': 229, 'number_of_hidden_layers': 3, 'dropout_rate': 0.4335574154255229, 'global_pooling': 'max', 'learning_rate': 0.0005876547718925459, 'weight_decay': 3.3598121675237283e-06, 'beta_0': 0.8659068520834676, 'beta_1': 0.9949051676484146, 'epsilon': 1.394600841945151e-07, 'balanced_loss': True, 'epochs': 195, 'early_stopping_patience': 23, 'plateau_patience': 20, 'plateau_divider': 6}. Best is trial 45 with value: 0.911697247706422.
[I 2025-03-07 03:11:22,529] Trial 126 finished with value: 0.9036697247706422 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.5114640966652408, 'batch_size': 53, 'attention_heads': 14, 'hidden_dimension': 219, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4450428578174395, 'global_pooling': 'max', 'learning_rate': 0.0007494304641756128, 'weight_decay': 1.2181424600696427e-06, 'beta_0': 0.8684086313946041, 'beta_1': 0.991929934949318, 'epsilon': 5.023836345301245e-07, 'balanced_loss': True, 'epochs': 200, 'early_stopping_patience': 22, 'plateau_patience': 12, 'plateau_divider': 6}. Best is trial 45 with value: 0.911697247706422.
[I 2025-03-07 03:20:59,642] Trial 127 finished with value: 0.8967889908256881 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.41960081140469085, 'batch_size': 60, 'attention_heads': 16, 'hidden_dimension': 209, 'number_of_hidden_layers': 3, 'dropout_rate': 0.3687472814121736, 'global_pooling': 'max', 'learning_rate': 0.001341772001459408, 'weight_decay': 1.9827657887735743e-06, 'beta_0': 0.8721359785651068, 'beta_1': 0.9937098215467725, 'epsilon': 3.8358621668809176e-07, 'balanced_loss': True, 'epochs': 184, 'early_stopping_patience': 17, 'plateau_patience': 25, 'plateau_divider': 5}. Best is trial 45 with value: 0.911697247706422.
[I 2025-03-07 03:29:23,848] Trial 128 finished with value: 0.8956422018348624 and parameters: {'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.4822974314822806, 'batch_size': 227, 'attention_heads': 15, 'hidden_dimension': 197, 'number_of_hidden_layers': 3, 'dropout_rate': 0.4028323118820097, 'global_pooling': 'mean', 'learning_rate': 0.00048301708375483307, 'weight_decay': 0.00036093868049897314, 'beta_0': 0.8706522529468815, 'beta_1': 0.9913826412872699, 'epsilon': 1.1240791617499868e-07, 'balanced_loss': True, 'epochs': 63, 'early_stopping_patience': 18, 'plateau_patience': 19, 'plateau_divider': 10}. Best is trial 45 with value: 0.911697247706422.
[I 2025-03-07 03:34:59,295] Trial 129 finished with value: 0.8990825688073395 and parameters: {'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.4976980527546138, 'batch_size': 48, 'attention_heads': 8, 'hidden_dimension': 226, 'number_of_hidden_layers': 1, 'dropout_rate': 0.38626430785078714, 'global_pooling': 'max', 'learning_rate': 0.0010137994483843255, 'weight_decay': 0.0005350502329833895, 'beta_0': 0.8925972193995535, 'beta_1': 0.9881752842299585, 'epsilon': 5.974524474696907e-07, 'balanced_loss': False, 'epochs': 52, 'early_stopping_patience': 25, 'plateau_patience': 24, 'plateau_divider': 9}. Best is trial 45 with value: 0.911697247706422.
[I 2025-03-07 03:45:26,459] Trial 130 finished with value: 0.9059633027522935 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.4430865219478506, 'batch_size': 35, 'attention_heads': 14, 'hidden_dimension': 201, 'number_of_hidden_layers': 3, 'dropout_rate': 0.42236669539880906, 'global_pooling': 'max', 'learning_rate': 0.0003089791196537831, 'weight_decay': 0.0008092068534764308, 'beta_0': 0.8876290111083431, 'beta_1': 0.9895012770736132, 'epsilon': 9.134379872022127e-07, 'balanced_loss': True, 'epochs': 132, 'early_stopping_patience': 24, 'plateau_patience': 21, 'plateau_divider': 7}. Best is trial 45 with value: 0.911697247706422.
[I 2025-03-07 03:54:50,804] Trial 131 finished with value: 0.8944954128440367 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.408179237487339, 'batch_size': 43, 'attention_heads': 13, 'hidden_dimension': 191, 'number_of_hidden_layers': 3, 'dropout_rate': 0.4241150504182314, 'global_pooling': 'max', 'learning_rate': 0.0002927091320172657, 'weight_decay': 0.0006298789476657841, 'beta_0': 0.8880134022380834, 'beta_1': 0.989414716008033, 'epsilon': 1.0463716299702478e-06, 'balanced_loss': True, 'epochs': 128, 'early_stopping_patience': 24, 'plateau_patience': 21, 'plateau_divider': 8}. Best is trial 45 with value: 0.911697247706422.
[I 2025-03-07 04:05:12,784] Trial 132 finished with value: 0.9002293577981652 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.5690293845644829, 'batch_size': 36, 'attention_heads': 14, 'hidden_dimension': 205, 'number_of_hidden_layers': 3, 'dropout_rate': 0.4111552460754177, 'global_pooling': 'max', 'learning_rate': 0.0004107466432257628, 'weight_decay': 0.0007688781863517786, 'beta_0': 0.8894383746771077, 'beta_1': 0.9866137344181728, 'epsilon': 1.2885580104951936e-06, 'balanced_loss': True, 'epochs': 181, 'early_stopping_patience': 24, 'plateau_patience': 20, 'plateau_divider': 7}. Best is trial 45 with value: 0.911697247706422.
[I 2025-03-07 04:16:53,202] Trial 133 finished with value: 0.9002293577981652 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.47482377958548844, 'batch_size': 32, 'attention_heads': 14, 'hidden_dimension': 213, 'number_of_hidden_layers': 3, 'dropout_rate': 0.43882367209144857, 'global_pooling': 'max', 'learning_rate': 0.0002303100794053585, 'weight_decay': 4.8036065382518077e-05, 'beta_0': 0.8847142407407871, 'beta_1': 0.9900298256790693, 'epsilon': 9.297204490757868e-07, 'balanced_loss': True, 'epochs': 130, 'early_stopping_patience': 24, 'plateau_patience': 23, 'plateau_divider': 7}. Best is trial 45 with value: 0.911697247706422.
[I 2025-03-07 04:27:51,954] Trial 134 finished with value: 0.9105504587155964 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.4491357061765629, 'batch_size': 40, 'attention_heads': 14, 'hidden_dimension': 202, 'number_of_hidden_layers': 3, 'dropout_rate': 0.43059853839241063, 'global_pooling': 'max', 'learning_rate': 0.0006410170775603192, 'weight_decay': 0.0006729374280230026, 'beta_0': 0.8965638641218979, 'beta_1': 0.9886433649823925, 'epsilon': 2.5043751379501445e-05, 'balanced_loss': True, 'epochs': 124, 'early_stopping_patience': 25, 'plateau_patience': 21, 'plateau_divider': 8}. Best is trial 45 with value: 0.911697247706422.
[I 2025-03-07 04:38:33,832] Trial 135 finished with value: 0.8979357798165137 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.42737745704011465, 'batch_size': 56, 'attention_heads': 15, 'hidden_dimension': 200, 'number_of_hidden_layers': 3, 'dropout_rate': 0.4282471747075745, 'global_pooling': 'max', 'learning_rate': 0.0007225708018184339, 'weight_decay': 0.0009297327841559515, 'beta_0': 0.8959115583236066, 'beta_1': 0.9889790031682701, 'epsilon': 2.4399434035394578e-05, 'balanced_loss': True, 'epochs': 122, 'early_stopping_patience': 25, 'plateau_patience': 21, 'plateau_divider': 8}. Best is trial 45 with value: 0.911697247706422.
[I 2025-03-07 04:45:49,989] Trial 136 finished with value: 0.9036697247706422 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.5226552994492732, 'batch_size': 40, 'attention_heads': 9, 'hidden_dimension': 186, 'number_of_hidden_layers': 3, 'dropout_rate': 0.4598061175600301, 'global_pooling': 'max', 'learning_rate': 0.001983531774354082, 'weight_decay': 0.0004798912535511077, 'beta_0': 0.8906589169844726, 'beta_1': 0.9886456359582655, 'epsilon': 2.9611368199460225e-05, 'balanced_loss': True, 'epochs': 133, 'early_stopping_patience': 25, 'plateau_patience': 20, 'plateau_divider': 8}. Best is trial 45 with value: 0.911697247706422.
[I 2025-03-07 04:56:04,748] Trial 137 finished with value: 0.9002293577981652 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.4425492781608027, 'batch_size': 218, 'attention_heads': 14, 'hidden_dimension': 207, 'number_of_hidden_layers': 3, 'dropout_rate': 0.4456282250012272, 'global_pooling': 'max', 'learning_rate': 0.0003487401826654529, 'weight_decay': 0.0006532166781998063, 'beta_0': 0.8934368957884313, 'beta_1': 0.9893724559324407, 'epsilon': 7.822660230128831e-07, 'balanced_loss': True, 'epochs': 136, 'early_stopping_patience': 25, 'plateau_patience': 21, 'plateau_divider': 8}. Best is trial 45 with value: 0.911697247706422.
[I 2025-03-07 05:03:06,962] Trial 138 finished with value: 0.8268348623853211 and parameters: {'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.9375966936453226, 'batch_size': 47, 'attention_heads': 16, 'hidden_dimension': 175, 'number_of_hidden_layers': 3, 'dropout_rate': 0.41893295377697953, 'global_pooling': 'max', 'learning_rate': 0.0006303220076009083, 'weight_decay': 0.0007847863152085687, 'beta_0': 0.8868221604744282, 'beta_1': 0.9973944849696597, 'epsilon': 4.416346950765178e-05, 'balanced_loss': False, 'epochs': 114, 'early_stopping_patience': 24, 'plateau_patience': 19, 'plateau_divider': 9}. Best is trial 45 with value: 0.911697247706422.
[I 2025-03-07 05:12:09,577] Trial 139 finished with value: 0.8967889908256881 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.5858527822959344, 'batch_size': 64, 'attention_heads': 13, 'hidden_dimension': 196, 'number_of_hidden_layers': 3, 'dropout_rate': 0.45248908802555965, 'global_pooling': 'sum', 'learning_rate': 0.0009575916178204233, 'weight_decay': 0.0001437595777109047, 'beta_0': 0.8973961998602653, 'beta_1': 0.9906573297138472, 'epsilon': 1.7286799202138653e-06, 'balanced_loss': True, 'epochs': 125, 'early_stopping_patience': 25, 'plateau_patience': 22, 'plateau_divider': 7}. Best is trial 45 with value: 0.911697247706422.
[I 2025-03-07 05:22:40,589] Trial 140 finished with value: 0.9013761467889908 and parameters: {'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.6000001088659842, 'batch_size': 53, 'attention_heads': 14, 'hidden_dimension': 201, 'number_of_hidden_layers': 4, 'dropout_rate': 0.5001254594902647, 'global_pooling': 'max', 'learning_rate': 0.0004869516913040385, 'weight_decay': 0.00026052319875509265, 'beta_0': 0.8791709309913489, 'beta_1': 0.9883498124086386, 'epsilon': 1.0064568434286478e-05, 'balanced_loss': True, 'epochs': 146, 'early_stopping_patience': 24, 'plateau_patience': 20, 'plateau_divider': 6}. Best is trial 45 with value: 0.911697247706422.
[I 2025-03-07 05:28:18,834] Trial 141 finished with value: 0.9013761467889908 and parameters: {'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'max', 'threshold': 0.5447653014004207, 'batch_size': 42, 'attention_heads': 5, 'hidden_dimension': 190, 'number_of_hidden_layers': 3, 'dropout_rate': 0.43325543787470505, 'global_pooling': 'max', 'learning_rate': 0.0015671193943862763, 'weight_decay': 0.0009240929592783741, 'beta_0': 0.8570946163197145, 'beta_1': 0.9898389001529315, 'epsilon': 3.660069910198767e-05, 'balanced_loss': True, 'epochs': 110, 'early_stopping_patience': 25, 'plateau_patience': 21, 'plateau_divider': 8}. Best is trial 45 with value: 0.911697247706422.
[I 2025-03-07 05:38:13,176] Trial 142 finished with value: 0.9048165137614679 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.46783483373337864, 'batch_size': 36, 'attention_heads': 13, 'hidden_dimension': 216, 'number_of_hidden_layers': 3, 'dropout_rate': 0.4148538770871711, 'global_pooling': 'max', 'learning_rate': 0.0008173743251001166, 'weight_decay': 2.813223292070225e-06, 'beta_0': 0.8766996788004157, 'beta_1': 0.9876514302293685, 'epsilon': 4.339849889246102e-07, 'balanced_loss': True, 'epochs': 191, 'early_stopping_patience': 23, 'plateau_patience': 18, 'plateau_divider': 6}. Best is trial 45 with value: 0.911697247706422.
[I 2025-03-07 05:49:46,045] Trial 143 finished with value: 0.9048165137614679 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.4510278089644454, 'batch_size': 46, 'attention_heads': 14, 'hidden_dimension': 212, 'number_of_hidden_layers': 3, 'dropout_rate': 0.4245916020618924, 'global_pooling': 'max', 'learning_rate': 0.000598106757280117, 'weight_decay': 0.000724976398596713, 'beta_0': 0.883042308004796, 'beta_1': 0.9879982312502857, 'epsilon': 1.302865734301498e-05, 'balanced_loss': True, 'epochs': 142, 'early_stopping_patience': 24, 'plateau_patience': 23, 'plateau_divider': 6}. Best is trial 45 with value: 0.911697247706422.
[I 2025-03-07 06:00:51,734] Trial 144 finished with value: 0.9105504587155964 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.4423237715783679, 'batch_size': 36, 'attention_heads': 14, 'hidden_dimension': 222, 'number_of_hidden_layers': 3, 'dropout_rate': 0.40499749627574, 'global_pooling': 'max', 'learning_rate': 0.0005065608948526747, 'weight_decay': 1.4534546086906226e-06, 'beta_0': 0.8637516361143052, 'beta_1': 0.9911287541422152, 'epsilon': 2.5801639898067594e-05, 'balanced_loss': True, 'epochs': 193, 'early_stopping_patience': 23, 'plateau_patience': 20, 'plateau_divider': 3}. Best is trial 45 with value: 0.911697247706422.
[I 2025-03-07 06:12:14,774] Trial 145 finished with value: 0.7935779816513762 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.42873951333920596, 'batch_size': 38, 'attention_heads': 14, 'hidden_dimension': 221, 'number_of_hidden_layers': 3, 'dropout_rate': 0.40798545295426497, 'global_pooling': 'max', 'learning_rate': 0.09382058251783607, 'weight_decay': 0.000550845587894298, 'beta_0': 0.8606353241253424, 'beta_1': 0.9902101687203928, 'epsilon': 2.2614422161462418e-05, 'balanced_loss': True, 'epochs': 186, 'early_stopping_patience': 23, 'plateau_patience': 19, 'plateau_divider': 2}. Best is trial 45 with value: 0.911697247706422.
[I 2025-03-07 06:17:31,113] Trial 146 finished with value: 0.8956422018348624 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.41043216926423587, 'batch_size': 170, 'attention_heads': 4, 'hidden_dimension': 206, 'number_of_hidden_layers': 3, 'dropout_rate': 0.43538511835596916, 'global_pooling': 'max', 'learning_rate': 0.0012812694203865123, 'weight_decay': 2.317877064176726e-06, 'beta_0': 0.8633125400003652, 'beta_1': 0.990989145360415, 'epsilon': 2.7382507577824857e-05, 'balanced_loss': True, 'epochs': 93, 'early_stopping_patience': 24, 'plateau_patience': 20, 'plateau_divider': 3}. Best is trial 45 with value: 0.911697247706422.
[I 2025-03-07 06:29:43,948] Trial 147 finished with value: 0.8979357798165137 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.5097363968794115, 'batch_size': 50, 'attention_heads': 15, 'hidden_dimension': 201, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5114596583390686, 'global_pooling': 'max', 'learning_rate': 0.0001660691134518823, 'weight_decay': 1.6533380582012738e-06, 'beta_0': 0.8671335874944652, 'beta_1': 0.9897062742472829, 'epsilon': 1.7607629205510213e-05, 'balanced_loss': False, 'epochs': 140, 'early_stopping_patience': 25, 'plateau_patience': 20, 'plateau_divider': 2}. Best is trial 45 with value: 0.911697247706422.
