[I 2025-02-19 04:52:43,566] Using an existing study with name 'SST-2-GATv2-google-bert-bert-base-uncased-Surrogate-No_Aggregation-Unitary_Weights-0.0-0.0' instead of creating a new one.
[I 2025-02-19 04:59:45,224] Trial 146 finished with value: 0.8864678899082569 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.5078282717510482, 'batch_size': 137, 'attention_heads': 12, 'hidden_dimension': 212, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5087236597865502, 'global_pooling': 'max', 'learning_rate': 0.0055936368496989205, 'weight_decay': 2.492006154690286e-05, 'beta_0': 0.8081731365544853, 'beta_1': 0.9865844079550945, 'epsilon': 1.1772155161377315e-06, 'balanced_loss': False, 'epochs': 146, 'early_stopping_patience': 25, 'plateau_patience': 13, 'plateau_divider': 6}. Best is trial 106 with value: 0.911697247706422.
[I 2025-02-19 09:16:25,551] Trial 184 finished with value: 0.9025229357798165 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.6334524774339881, 'batch_size': 245, 'attention_heads': 13, 'hidden_dimension': 227, 'number_of_hidden_layers': 2, 'dropout_rate': 0.48242146095144306, 'global_pooling': 'max', 'learning_rate': 0.004323802248608361, 'weight_decay': 1.6863758616349207e-05, 'beta_0': 0.8096212055883688, 'beta_1': 0.9852254563854684, 'epsilon': 8.767985791077313e-07, 'balanced_loss': False, 'epochs': 136, 'early_stopping_patience': 25, 'plateau_patience': 15, 'plateau_divider': 10}. Best is trial 106 with value: 0.911697247706422.
[I 2025-02-19 09:23:43,342] Trial 185 finished with value: 0.9059633027522935 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.6383407824463391, 'batch_size': 252, 'attention_heads': 13, 'hidden_dimension': 224, 'number_of_hidden_layers': 2, 'dropout_rate': 0.374279976891739, 'global_pooling': 'max', 'learning_rate': 0.003229410905386941, 'weight_decay': 1.9013067697930008e-05, 'beta_0': 0.8115336063675395, 'beta_1': 0.9952568112381072, 'epsilon': 5.9968355481541e-07, 'balanced_loss': False, 'epochs': 137, 'early_stopping_patience': 25, 'plateau_patience': 15, 'plateau_divider': 10}. Best is trial 106 with value: 0.911697247706422.
[I 2025-02-19 09:30:46,996] Trial 186 finished with value: 0.8956422018348624 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.6433672836311756, 'batch_size': 252, 'attention_heads': 14, 'hidden_dimension': 215, 'number_of_hidden_layers': 2, 'dropout_rate': 0.3900411570618051, 'global_pooling': 'max', 'learning_rate': 0.0024135479768241292, 'weight_decay': 2.2299746477211e-05, 'beta_0': 0.8145519064489579, 'beta_1': 0.9952843838619282, 'epsilon': 6.281865203664678e-07, 'balanced_loss': False, 'epochs': 130, 'early_stopping_patience': 25, 'plateau_patience': 15, 'plateau_divider': 10}. Best is trial 106 with value: 0.911697247706422.
[I 2025-02-19 09:37:30,075] Trial 187 finished with value: 0.9025229357798165 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.6556217321390165, 'batch_size': 237, 'attention_heads': 13, 'hidden_dimension': 219, 'number_of_hidden_layers': 2, 'dropout_rate': 0.37287497167416456, 'global_pooling': 'max', 'learning_rate': 0.0030879913375577717, 'weight_decay': 1.9734432146386202e-05, 'beta_0': 0.8119127301211607, 'beta_1': 0.9976842698645807, 'epsilon': 4.5454076656917365e-07, 'balanced_loss': False, 'epochs': 144, 'early_stopping_patience': 25, 'plateau_patience': 17, 'plateau_divider': 10}. Best is trial 106 with value: 0.911697247706422.
[I 2025-02-19 09:41:35,067] Trial 188 finished with value: 0.8956422018348624 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.6070393032605796, 'batch_size': 256, 'attention_heads': 12, 'hidden_dimension': 50, 'number_of_hidden_layers': 2, 'dropout_rate': 0.38470190187141745, 'global_pooling': 'max', 'learning_rate': 0.0020236696603331697, 'weight_decay': 3.784186001793439e-05, 'beta_0': 0.818348066539472, 'beta_1': 0.993002859409212, 'epsilon': 3.7874924580588873e-07, 'balanced_loss': False, 'epochs': 140, 'early_stopping_patience': 25, 'plateau_patience': 15, 'plateau_divider': 3}. Best is trial 106 with value: 0.911697247706422.
[I 2025-02-19 09:48:33,910] Trial 189 finished with value: 0.8887614678899083 and parameters: {'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.6253017303804814, 'batch_size': 250, 'attention_heads': 13, 'hidden_dimension': 230, 'number_of_hidden_layers': 2, 'dropout_rate': 0.3720235250829744, 'global_pooling': 'max', 'learning_rate': 0.0032285846339483145, 'weight_decay': 1.800364326618145e-05, 'beta_0': 0.8263171623043944, 'beta_1': 0.9801029423919948, 'epsilon': 5.380684351585766e-07, 'balanced_loss': False, 'epochs': 135, 'early_stopping_patience': 24, 'plateau_patience': 15, 'plateau_divider': 10}. Best is trial 106 with value: 0.911697247706422.
[I 2025-02-19 09:56:01,245] Trial 190 finished with value: 0.8990825688073395 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.5890180515198553, 'batch_size': 207, 'attention_heads': 15, 'hidden_dimension': 223, 'number_of_hidden_layers': 2, 'dropout_rate': 0.38160927998109384, 'global_pooling': 'max', 'learning_rate': 0.000662460174385677, 'weight_decay': 2.7150088916077608e-05, 'beta_0': 0.8160498612887356, 'beta_1': 0.9937319631680395, 'epsilon': 7.139859775971572e-07, 'balanced_loss': False, 'epochs': 150, 'early_stopping_patience': 23, 'plateau_patience': 18, 'plateau_divider': 9}. Best is trial 106 with value: 0.911697247706422.
[I 2025-02-19 10:00:48,010] Trial 191 finished with value: 0.9036697247706422 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.6869361771294484, 'batch_size': 230, 'attention_heads': 14, 'hidden_dimension': 107, 'number_of_hidden_layers': 2, 'dropout_rate': 0.35084407850851196, 'global_pooling': 'max', 'learning_rate': 0.005084009788135188, 'weight_decay': 2.2393194441649072e-05, 'beta_0': 0.8128465583658692, 'beta_1': 0.9919145920117615, 'epsilon': 1.965671967096479e-05, 'balanced_loss': False, 'epochs': 126, 'early_stopping_patience': 25, 'plateau_patience': 14, 'plateau_divider': 8}. Best is trial 106 with value: 0.911697247706422.
[I 2025-02-19 10:06:44,646] Trial 192 finished with value: 0.9025229357798165 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.545361298543008, 'batch_size': 242, 'attention_heads': 13, 'hidden_dimension': 235, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4648966589517826, 'global_pooling': 'max', 'learning_rate': 0.0008590591390033816, 'weight_decay': 3.230515422641883e-05, 'beta_0': 0.8203489209628778, 'beta_1': 0.9965426780390976, 'epsilon': 1.5552757496003697e-06, 'balanced_loss': False, 'epochs': 138, 'early_stopping_patience': 24, 'plateau_patience': 17, 'plateau_divider': 10}. Best is trial 106 with value: 0.911697247706422.
[I 2025-02-19 10:11:55,037] Trial 193 finished with value: 0.9036697247706422 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.6411684892722744, 'batch_size': 222, 'attention_heads': 14, 'hidden_dimension': 123, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4463443170156974, 'global_pooling': 'max', 'learning_rate': 0.0015553788945581659, 'weight_decay': 1.5004943949743497e-05, 'beta_0': 0.8440405540697378, 'beta_1': 0.9912915015514959, 'epsilon': 5.051237365408012e-06, 'balanced_loss': False, 'epochs': 143, 'early_stopping_patience': 25, 'plateau_patience': 16, 'plateau_divider': 10}. Best is trial 106 with value: 0.911697247706422.
[I 2025-02-19 10:19:58,410] Trial 194 finished with value: 0.8944954128440367 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.629109260386623, 'batch_size': 245, 'attention_heads': 13, 'hidden_dimension': 222, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4757325219289564, 'global_pooling': 'max', 'learning_rate': 0.004332613895478545, 'weight_decay': 1.6676528402967727e-05, 'beta_0': 0.8089579089484197, 'beta_1': 0.984627514070301, 'epsilon': 1.0120308383293555e-06, 'balanced_loss': False, 'epochs': 136, 'early_stopping_patience': 25, 'plateau_patience': 15, 'plateau_divider': 10}. Best is trial 106 with value: 0.911697247706422.
[I 2025-02-19 10:27:41,445] Trial 195 finished with value: 0.8956422018348624 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.6178970017093883, 'batch_size': 250, 'attention_heads': 12, 'hidden_dimension': 225, 'number_of_hidden_layers': 2, 'dropout_rate': 0.494165957198303, 'global_pooling': 'max', 'learning_rate': 0.00017881364331533142, 'weight_decay': 1.2571892453238923e-05, 'beta_0': 0.8108820195216311, 'beta_1': 0.9853926227138758, 'epsilon': 9.516223893800347e-07, 'balanced_loss': False, 'epochs': 132, 'early_stopping_patience': 25, 'plateau_patience': 15, 'plateau_divider': 10}. Best is trial 106 with value: 0.911697247706422.
[I 2025-02-19 10:35:01,718] Trial 196 finished with value: 0.9036697247706422 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.6008008648756571, 'batch_size': 235, 'attention_heads': 13, 'hidden_dimension': 230, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4881220297838354, 'global_pooling': 'max', 'learning_rate': 0.0036454274540045975, 'weight_decay': 1.9004849611112444e-05, 'beta_0': 0.8098913395423344, 'beta_1': 0.995909102061166, 'epsilon': 1.2686217404359843e-06, 'balanced_loss': False, 'epochs': 139, 'early_stopping_patience': 25, 'plateau_patience': 24, 'plateau_divider': 10}. Best is trial 106 with value: 0.911697247706422.
[I 2025-02-19 10:42:52,305] Trial 197 finished with value: 0.9036697247706422 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.6580585976186172, 'batch_size': 243, 'attention_heads': 13, 'hidden_dimension': 238, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4782742880248054, 'global_pooling': 'max', 'learning_rate': 0.0026573741457625913, 'weight_decay': 2.5814442274106522e-05, 'beta_0': 0.8078066270349581, 'beta_1': 0.9860104331596862, 'epsilon': 2.525736446159523e-06, 'balanced_loss': False, 'epochs': 146, 'early_stopping_patience': 24, 'plateau_patience': 16, 'plateau_divider': 10}. Best is trial 106 with value: 0.911697247706422.
[I 2025-02-19 10:54:55,196] Trial 198 finished with value: 0.8784403669724771 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.6381854587085671, 'batch_size': 141, 'attention_heads': 13, 'hidden_dimension': 208, 'number_of_hidden_layers': 2, 'dropout_rate': 0.48584292352997166, 'global_pooling': 'mean', 'learning_rate': 0.006223951780717632, 'weight_decay': 2.1831904538269022e-05, 'beta_0': 0.8234593424051925, 'beta_1': 0.9864145250496605, 'epsilon': 7.680272850856629e-07, 'balanced_loss': False, 'epochs': 152, 'early_stopping_patience': 25, 'plateau_patience': 15, 'plateau_divider': 8}. Best is trial 106 with value: 0.911697247706422.
[I 2025-02-19 10:59:33,143] Trial 199 finished with value: 0.9036697247706422 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.6720312663129342, 'batch_size': 204, 'attention_heads': 12, 'hidden_dimension': 95, 'number_of_hidden_layers': 2, 'dropout_rate': 0.48081493459034663, 'global_pooling': 'max', 'learning_rate': 0.0037511485477431123, 'weight_decay': 1.699819623708858e-05, 'beta_0': 0.8126552375415852, 'beta_1': 0.9848581470641027, 'epsilon': 3.085561112309371e-05, 'balanced_loss': False, 'epochs': 148, 'early_stopping_patience': 24, 'plateau_patience': 14, 'plateau_divider': 9}. Best is trial 106 with value: 0.911697247706422.
[I 2025-02-19 11:03:48,178] Trial 200 finished with value: 0.8922018348623854 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.6134463621633489, 'batch_size': 193, 'attention_heads': 15, 'hidden_dimension': 55, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4715552571784173, 'global_pooling': 'sum', 'learning_rate': 0.0023155832570084314, 'weight_decay': 1.4079010580161937e-05, 'beta_0': 0.8533245322274015, 'beta_1': 0.9857226860149169, 'epsilon': 1.945175338948195e-06, 'balanced_loss': False, 'epochs': 142, 'early_stopping_patience': 22, 'plateau_patience': 13, 'plateau_divider': 10}. Best is trial 106 with value: 0.911697247706422.
[I 2025-02-19 11:07:40,612] Trial 201 finished with value: 0.9002293577981652 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.6298900547953078, 'batch_size': 226, 'attention_heads': 14, 'hidden_dimension': 36, 'number_of_hidden_layers': 2, 'dropout_rate': 0.39890980986482627, 'global_pooling': 'max', 'learning_rate': 0.002972566293512936, 'weight_decay': 1.998774546746976e-05, 'beta_0': 0.803622269273675, 'beta_1': 0.9884921664848954, 'epsilon': 1.0830842523814809e-06, 'balanced_loss': False, 'epochs': 160, 'early_stopping_patience': 25, 'plateau_patience': 15, 'plateau_divider': 10}. Best is trial 106 with value: 0.911697247706422.
[I 2025-02-19 11:14:14,465] Trial 202 finished with value: 0.8887614678899083 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.48550945222734476, 'batch_size': 239, 'attention_heads': 13, 'hidden_dimension': 139, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4664937180520228, 'global_pooling': 'max', 'learning_rate': 0.007972876111627796, 'weight_decay': 2.9789404492653807e-05, 'beta_0': 0.8294577611327898, 'beta_1': 0.9839302326279602, 'epsilon': 3.4350468025664725e-08, 'balanced_loss': True, 'epochs': 132, 'early_stopping_patience': 25, 'plateau_patience': 16, 'plateau_divider': 10}. Best is trial 106 with value: 0.911697247706422.
[I 2025-02-19 11:20:23,342] Trial 203 finished with value: 0.9002293577981652 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.5779759582441507, 'batch_size': 219, 'attention_heads': 11, 'hidden_dimension': 191, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4519926068164872, 'global_pooling': 'max', 'learning_rate': 0.0010753400471451454, 'weight_decay': 3.6734678993133336e-05, 'beta_0': 0.8276632050637474, 'beta_1': 0.9867576391230399, 'epsilon': 1.4574381135277753e-06, 'balanced_loss': False, 'epochs': 138, 'early_stopping_patience': 24, 'plateau_patience': 14, 'plateau_divider': 9}. Best is trial 106 with value: 0.911697247706422.
[I 2025-02-19 11:27:26,881] Trial 204 finished with value: 0.9059633027522935 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.5548982483905741, 'batch_size': 227, 'attention_heads': 14, 'hidden_dimension': 201, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4577443452616714, 'global_pooling': 'max', 'learning_rate': 0.0017098542509151572, 'weight_decay': 1.861826421763744e-05, 'beta_0': 0.8065818098644916, 'beta_1': 0.9852509104039943, 'epsilon': 1.74723683224721e-06, 'balanced_loss': False, 'epochs': 149, 'early_stopping_patience': 22, 'plateau_patience': 17, 'plateau_divider': 10}. Best is trial 106 with value: 0.911697247706422.
[I 2025-02-19 11:33:54,043] Trial 205 finished with value: 0.8979357798165137 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.5567773685786304, 'batch_size': 232, 'attention_heads': 14, 'hidden_dimension': 183, 'number_of_hidden_layers': 2, 'dropout_rate': 0.45391202914169637, 'global_pooling': 'max', 'learning_rate': 0.00165838880678397, 'weight_decay': 2.269228824399164e-05, 'beta_0': 0.8000619089273632, 'beta_1': 0.9850273469004501, 'epsilon': 1.74542380289838e-06, 'balanced_loss': False, 'epochs': 154, 'early_stopping_patience': 22, 'plateau_patience': 18, 'plateau_divider': 6}. Best is trial 106 with value: 0.911697247706422.
[I 2025-02-19 11:40:41,720] Trial 206 finished with value: 0.9002293577981652 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.5288150530216408, 'batch_size': 227, 'attention_heads': 13, 'hidden_dimension': 201, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4595492378948775, 'global_pooling': 'max', 'learning_rate': 0.001329956116942339, 'weight_decay': 1.5741413144268986e-05, 'beta_0': 0.8071427563022566, 'beta_1': 0.9858985365532111, 'epsilon': 1.1905143108849626e-06, 'balanced_loss': False, 'epochs': 150, 'early_stopping_patience': 22, 'plateau_patience': 17, 'plateau_divider': 10}. Best is trial 106 with value: 0.911697247706422.
[I 2025-02-19 11:47:50,431] Trial 207 finished with value: 0.908256880733945 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.5109063214636799, 'batch_size': 212, 'attention_heads': 14, 'hidden_dimension': 173, 'number_of_hidden_layers': 2, 'dropout_rate': 0.47253738266149947, 'global_pooling': 'max', 'learning_rate': 0.0021351156036077765, 'weight_decay': 1.8253677094271133e-05, 'beta_0': 0.8058750696287893, 'beta_1': 0.984446974427749, 'epsilon': 8.718486341670804e-07, 'balanced_loss': False, 'epochs': 146, 'early_stopping_patience': 21, 'plateau_patience': 17, 'plateau_divider': 10}. Best is trial 106 with value: 0.911697247706422.
[I 2025-02-19 11:55:55,489] Trial 208 finished with value: 0.9036697247706422 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.49945774229636386, 'batch_size': 210, 'attention_heads': 14, 'hidden_dimension': 193, 'number_of_hidden_layers': 2, 'dropout_rate': 0.3768906683940256, 'global_pooling': 'max', 'learning_rate': 0.001949040606865178, 'weight_decay': 1.921839248424278e-05, 'beta_0': 0.8058823325339701, 'beta_1': 0.9879303913121172, 'epsilon': 8.34943822931488e-07, 'balanced_loss': False, 'epochs': 145, 'early_stopping_patience': 21, 'plateau_patience': 17, 'plateau_divider': 10}. Best is trial 106 with value: 0.911697247706422.
[I 2025-02-19 12:02:56,166] Trial 209 finished with value: 0.911697247706422 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.5079597128057095, 'batch_size': 215, 'attention_heads': 14, 'hidden_dimension': 176, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4705793723367166, 'global_pooling': 'max', 'learning_rate': 0.0022814561599321806, 'weight_decay': 2.570061028249658e-05, 'beta_0': 0.8038290135087621, 'beta_1': 0.9844341217573641, 'epsilon': 6.274341794881627e-07, 'balanced_loss': False, 'epochs': 148, 'early_stopping_patience': 21, 'plateau_patience': 17, 'plateau_divider': 10}. Best is trial 106 with value: 0.911697247706422.
[I 2025-02-19 12:10:30,930] Trial 210 finished with value: 0.9059633027522935 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.5110111709901172, 'batch_size': 213, 'attention_heads': 14, 'hidden_dimension': 176, 'number_of_hidden_layers': 2, 'dropout_rate': 0.46666163583602394, 'global_pooling': 'max', 'learning_rate': 0.0022423820149847476, 'weight_decay': 2.5629180853229614e-05, 'beta_0': 0.8048913239274849, 'beta_1': 0.9843805034893204, 'epsilon': 2.395393577389611e-06, 'balanced_loss': False, 'epochs': 148, 'early_stopping_patience': 21, 'plateau_patience': 17, 'plateau_divider': 10}. Best is trial 106 with value: 0.911697247706422.
[I 2025-02-19 12:17:41,552] Trial 211 finished with value: 0.9048165137614679 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.5200282683080761, 'batch_size': 202, 'attention_heads': 14, 'hidden_dimension': 170, 'number_of_hidden_layers': 2, 'dropout_rate': 0.46884185683066487, 'global_pooling': 'max', 'learning_rate': 0.002303115694542902, 'weight_decay': 2.5389108949347703e-05, 'beta_0': 0.8027185453108211, 'beta_1': 0.9844356948728382, 'epsilon': 2.3992908705348934e-06, 'balanced_loss': False, 'epochs': 151, 'early_stopping_patience': 21, 'plateau_patience': 17, 'plateau_divider': 10}. Best is trial 106 with value: 0.911697247706422.
[I 2025-02-19 12:24:20,708] Trial 212 finished with value: 0.9105504587155964 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.5089549839271326, 'batch_size': 214, 'attention_heads': 14, 'hidden_dimension': 163, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4722833659785748, 'global_pooling': 'max', 'learning_rate': 0.001958859188555034, 'weight_decay': 2.1696225926690164e-05, 'beta_0': 0.8041867089714435, 'beta_1': 0.9841799504159673, 'epsilon': 1.9901239866529364e-06, 'balanced_loss': False, 'epochs': 148, 'early_stopping_patience': 21, 'plateau_patience': 17, 'plateau_divider': 10}. Best is trial 106 with value: 0.911697247706422.
[I 2025-02-19 12:30:38,748] Trial 213 finished with value: 0.9002293577981652 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.5082795127429147, 'batch_size': 216, 'attention_heads': 14, 'hidden_dimension': 180, 'number_of_hidden_layers': 2, 'dropout_rate': 0.47264060315828665, 'global_pooling': 'max', 'learning_rate': 0.0017226511485101041, 'weight_decay': 2.3932905117789902e-05, 'beta_0': 0.8046807773154532, 'beta_1': 0.9844081012768278, 'epsilon': 2.9140562953443517e-06, 'balanced_loss': False, 'epochs': 156, 'early_stopping_patience': 21, 'plateau_patience': 18, 'plateau_divider': 10}. Best is trial 106 with value: 0.911697247706422.
[I 2025-02-19 12:36:48,817] Trial 214 finished with value: 0.893348623853211 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.493232481671877, 'batch_size': 214, 'attention_heads': 14, 'hidden_dimension': 174, 'number_of_hidden_layers': 2, 'dropout_rate': 0.46370027384532475, 'global_pooling': 'max', 'learning_rate': 0.0025598255849840932, 'weight_decay': 1.981044190644582e-05, 'beta_0': 0.8022351142104747, 'beta_1': 0.9839148508809454, 'epsilon': 2.1098264754079867e-06, 'balanced_loss': False, 'epochs': 149, 'early_stopping_patience': 20, 'plateau_patience': 17, 'plateau_divider': 10}. Best is trial 106 with value: 0.911697247706422.
[I 2025-02-19 12:42:46,531] Trial 215 finished with value: 0.9059633027522935 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.5139616966125425, 'batch_size': 222, 'attention_heads': 14, 'hidden_dimension': 159, 'number_of_hidden_layers': 2, 'dropout_rate': 0.47056677896436905, 'global_pooling': 'max', 'learning_rate': 0.00220774246932137, 'weight_decay': 2.1954868079883706e-05, 'beta_0': 0.8046592054344501, 'beta_1': 0.9847903348244095, 'epsilon': 8.358153957557678e-06, 'balanced_loss': False, 'epochs': 147, 'early_stopping_patience': 21, 'plateau_patience': 17, 'plateau_divider': 10}. Best is trial 106 with value: 0.911697247706422.
[I 2025-02-19 12:48:51,676] Trial 216 finished with value: 0.8979357798165137 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.5088013890061374, 'batch_size': 219, 'attention_heads': 14, 'hidden_dimension': 164, 'number_of_hidden_layers': 2, 'dropout_rate': 0.474798370346575, 'global_pooling': 'max', 'learning_rate': 0.0020218412236643665, 'weight_decay': 2.2182193956115626e-05, 'beta_0': 0.8041338331605975, 'beta_1': 0.9841234153941076, 'epsilon': 4.008280398386775e-06, 'balanced_loss': False, 'epochs': 147, 'early_stopping_patience': 21, 'plateau_patience': 17, 'plateau_divider': 10}. Best is trial 106 with value: 0.911697247706422.
[I 2025-02-19 12:55:00,817] Trial 217 finished with value: 0.9002293577981652 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.47137501452450414, 'batch_size': 222, 'attention_heads': 14, 'hidden_dimension': 161, 'number_of_hidden_layers': 2, 'dropout_rate': 0.46825847122988756, 'global_pooling': 'max', 'learning_rate': 0.0027215410875058906, 'weight_decay': 1.7390452479651886e-05, 'beta_0': 0.8062344567905368, 'beta_1': 0.984646936375943, 'epsilon': 7.229280556288753e-06, 'balanced_loss': False, 'epochs': 153, 'early_stopping_patience': 21, 'plateau_patience': 17, 'plateau_divider': 10}. Best is trial 106 with value: 0.911697247706422.
[I 2025-02-19 13:01:02,480] Trial 218 finished with value: 0.8979357798165137 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.4963293707993417, 'batch_size': 213, 'attention_heads': 14, 'hidden_dimension': 157, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4765758139118, 'global_pooling': 'max', 'learning_rate': 0.0020571891830248237, 'weight_decay': 2.6824788903569057e-05, 'beta_0': 0.8032981335043123, 'beta_1': 0.9850474245568744, 'epsilon': 1.3984895521413069e-05, 'balanced_loss': False, 'epochs': 148, 'early_stopping_patience': 21, 'plateau_patience': 18, 'plateau_divider': 10}. Best is trial 106 with value: 0.911697247706422.
[I 2025-02-19 13:07:07,642] Trial 219 finished with value: 0.9036697247706422 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.510145253769575, 'batch_size': 207, 'attention_heads': 14, 'hidden_dimension': 176, 'number_of_hidden_layers': 2, 'dropout_rate': 0.36696160804519223, 'global_pooling': 'max', 'learning_rate': 0.0015074460095781076, 'weight_decay': 2.1253305379237825e-05, 'beta_0': 0.8011899643386885, 'beta_1': 0.9834205052263738, 'epsilon': 1.6616610470572551e-06, 'balanced_loss': False, 'epochs': 152, 'early_stopping_patience': 20, 'plateau_patience': 17, 'plateau_divider': 10}. Best is trial 106 with value: 0.911697247706422.
[I 2025-02-19 13:13:29,870] Trial 220 finished with value: 0.9002293577981652 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.4821710466232225, 'batch_size': 222, 'attention_heads': 14, 'hidden_dimension': 170, 'number_of_hidden_layers': 2, 'dropout_rate': 0.46465150801739413, 'global_pooling': 'max', 'learning_rate': 0.0031139344616815732, 'weight_decay': 1.79049808071063e-05, 'beta_0': 0.8054196766740936, 'beta_1': 0.9844177207192364, 'epsilon': 9.961558051422943e-06, 'balanced_loss': False, 'epochs': 144, 'early_stopping_patience': 21, 'plateau_patience': 17, 'plateau_divider': 10}. Best is trial 106 with value: 0.911697247706422.
[I 2025-02-19 13:20:15,825] Trial 221 finished with value: 0.9071100917431193 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.5187307243509507, 'batch_size': 213, 'attention_heads': 14, 'hidden_dimension': 167, 'number_of_hidden_layers': 2, 'dropout_rate': 0.48215375557714274, 'global_pooling': 'max', 'learning_rate': 0.0024588548230560134, 'weight_decay': 2.4910748286958845e-05, 'beta_0': 0.8078160199181956, 'beta_1': 0.9852409157339576, 'epsilon': 8.439801691529685e-05, 'balanced_loss': False, 'epochs': 150, 'early_stopping_patience': 21, 'plateau_patience': 17, 'plateau_divider': 10}. Best is trial 106 with value: 0.911697247706422.
[I 2025-02-19 13:26:16,546] Trial 222 finished with value: 0.8979357798165137 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.5248123271303203, 'batch_size': 211, 'attention_heads': 14, 'hidden_dimension': 168, 'number_of_hidden_layers': 2, 'dropout_rate': 0.38883771764938596, 'global_pooling': 'mean', 'learning_rate': 0.002313472854955, 'weight_decay': 2.52849708957426e-05, 'beta_0': 0.8077518668253032, 'beta_1': 0.9847378308666008, 'epsilon': 3.584473053993649e-05, 'balanced_loss': False, 'epochs': 157, 'early_stopping_patience': 21, 'plateau_patience': 17, 'plateau_divider': 10}. Best is trial 106 with value: 0.911697247706422.
