[I 2025-03-21 00:56:21,201] Using an existing study with name 'SST-2-GATv2-google-bert-bert-base-uncased-Grouped-No_Aggregation-Random_Weights-0.0-0.0' instead of creating a new one.
[I 2025-03-21 01:05:01,986] Trial 103 finished with value: 0.893348623853211 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.6849204404719833, 'batch_size': 106, 'attention_heads': 10, 'hidden_dimension': 227, 'number_of_hidden_layers': 4, 'dropout_rate': 0.5621877147322808, 'global_pooling': 'max', 'learning_rate': 0.00038454256899817977, 'weight_decay': 0.0005012631587081072, 'beta_0': 0.8968061524877028, 'beta_1': 0.9839437143098397, 'epsilon': 1.9098673886438716e-05, 'balanced_loss': False, 'epochs': 160, 'early_stopping_patience': 24, 'plateau_patience': 13, 'plateau_divider': 3}. Best is trial 48 with value: 0.908256880733945.
[I 2025-03-21 05:40:12,613] Trial 141 finished with value: 0.9025229357798165 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.4911517383275073, 'batch_size': 125, 'attention_heads': 15, 'hidden_dimension': 184, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5858669505812868, 'global_pooling': 'mean', 'learning_rate': 0.0022935071375219966, 'weight_decay': 6.001058814616152e-05, 'beta_0': 0.8127728466783941, 'beta_1': 0.9881682326760095, 'epsilon': 1.218044936442772e-06, 'balanced_loss': False, 'epochs': 154, 'early_stopping_patience': 24, 'plateau_patience': 21, 'plateau_divider': 7}. Best is trial 119 with value: 0.9151376146788991.
[I 2025-03-21 05:47:37,516] Trial 142 finished with value: 0.9094036697247706 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.5412864964749197, 'batch_size': 140, 'attention_heads': 12, 'hidden_dimension': 158, 'number_of_hidden_layers': 4, 'dropout_rate': 0.42586059295770906, 'global_pooling': 'max', 'learning_rate': 0.001318646322725589, 'weight_decay': 0.00011043592531329587, 'beta_0': 0.8448983479280672, 'beta_1': 0.9853900034209186, 'epsilon': 5.531928752258403e-06, 'balanced_loss': False, 'epochs': 163, 'early_stopping_patience': 23, 'plateau_patience': 25, 'plateau_divider': 9}. Best is trial 119 with value: 0.9151376146788991.
[I 2025-03-21 05:54:32,915] Trial 143 finished with value: 0.9025229357798165 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.543619218237332, 'batch_size': 130, 'attention_heads': 12, 'hidden_dimension': 137, 'number_of_hidden_layers': 4, 'dropout_rate': 0.4108464178298502, 'global_pooling': 'max', 'learning_rate': 0.0004378850603415705, 'weight_decay': 0.0009938500885293548, 'beta_0': 0.8926528511165707, 'beta_1': 0.9875489165641169, 'epsilon': 6.163075750863526e-06, 'balanced_loss': False, 'epochs': 161, 'early_stopping_patience': 23, 'plateau_patience': 25, 'plateau_divider': 9}. Best is trial 119 with value: 0.9151376146788991.
[I 2025-03-21 06:01:03,964] Trial 144 finished with value: 0.9002293577981652 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.530845126521783, 'batch_size': 139, 'attention_heads': 12, 'hidden_dimension': 147, 'number_of_hidden_layers': 4, 'dropout_rate': 0.4254823240086343, 'global_pooling': 'max', 'learning_rate': 0.0012166977728843785, 'weight_decay': 3.9981043951601495e-05, 'beta_0': 0.8429053535454022, 'beta_1': 0.9852610274090831, 'epsilon': 4.828818931173107e-06, 'balanced_loss': False, 'epochs': 149, 'early_stopping_patience': 18, 'plateau_patience': 25, 'plateau_divider': 9}. Best is trial 119 with value: 0.9151376146788991.
[I 2025-03-21 06:08:36,794] Trial 145 finished with value: 0.9071100917431193 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.5699907636445344, 'batch_size': 143, 'attention_heads': 13, 'hidden_dimension': 156, 'number_of_hidden_layers': 4, 'dropout_rate': 0.42475781034391547, 'global_pooling': 'max', 'learning_rate': 0.0008946527625389303, 'weight_decay': 0.00011808356611534651, 'beta_0': 0.8711966118324417, 'beta_1': 0.9856764758117211, 'epsilon': 3.826152980869606e-05, 'balanced_loss': False, 'epochs': 164, 'early_stopping_patience': 23, 'plateau_patience': 24, 'plateau_divider': 8}. Best is trial 119 with value: 0.9151376146788991.
[I 2025-03-21 06:16:19,779] Trial 146 finished with value: 0.8990825688073395 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.5694245430753424, 'batch_size': 147, 'attention_heads': 13, 'hidden_dimension': 160, 'number_of_hidden_layers': 4, 'dropout_rate': 0.4229742365295744, 'global_pooling': 'max', 'learning_rate': 0.000633461748178614, 'weight_decay': 0.00013665314466022838, 'beta_0': 0.8797685237037559, 'beta_1': 0.9857277897584718, 'epsilon': 3.144569206520224e-06, 'balanced_loss': False, 'epochs': 165, 'early_stopping_patience': 23, 'plateau_patience': 24, 'plateau_divider': 8}. Best is trial 119 with value: 0.9151376146788991.
[I 2025-03-21 06:24:07,946] Trial 147 finished with value: 0.9048165137614679 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.552978859332546, 'batch_size': 133, 'attention_heads': 12, 'hidden_dimension': 153, 'number_of_hidden_layers': 4, 'dropout_rate': 0.3970662478238303, 'global_pooling': 'max', 'learning_rate': 0.000874210298663291, 'weight_decay': 0.00011292529265741983, 'beta_0': 0.8712323848595933, 'beta_1': 0.984511078389331, 'epsilon': 8.38591644789502e-07, 'balanced_loss': False, 'epochs': 170, 'early_stopping_patience': 24, 'plateau_patience': 25, 'plateau_divider': 10}. Best is trial 119 with value: 0.9151376146788991.
[I 2025-03-21 06:32:37,608] Trial 148 finished with value: 0.9048165137614679 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.5549670380887368, 'batch_size': 32, 'attention_heads': 13, 'hidden_dimension': 153, 'number_of_hidden_layers': 4, 'dropout_rate': 0.3850146673472435, 'global_pooling': 'max', 'learning_rate': 0.0008807739190655732, 'weight_decay': 8.001887564981608e-05, 'beta_0': 0.8702148643838683, 'beta_1': 0.9844149003934798, 'epsilon': 8.154891002621817e-07, 'balanced_loss': False, 'epochs': 163, 'early_stopping_patience': 24, 'plateau_patience': 25, 'plateau_divider': 9}. Best is trial 119 with value: 0.9151376146788991.
[I 2025-03-21 06:40:39,702] Trial 149 finished with value: 0.9013761467889908 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.5868799620423352, 'batch_size': 139, 'attention_heads': 12, 'hidden_dimension': 149, 'number_of_hidden_layers': 4, 'dropout_rate': 0.41410584671674466, 'global_pooling': 'max', 'learning_rate': 0.0018965207792524983, 'weight_decay': 0.00016738937237478353, 'beta_0': 0.8747481489669493, 'beta_1': 0.9852811644448312, 'epsilon': 3.9434757716949035e-05, 'balanced_loss': False, 'epochs': 158, 'early_stopping_patience': 24, 'plateau_patience': 24, 'plateau_divider': 10}. Best is trial 119 with value: 0.9151376146788991.
[I 2025-03-21 06:48:12,827] Trial 150 finished with value: 0.9071100917431193 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.5764087306768428, 'batch_size': 145, 'attention_heads': 12, 'hidden_dimension': 154, 'number_of_hidden_layers': 4, 'dropout_rate': 0.400106879512635, 'global_pooling': 'sum', 'learning_rate': 0.0014257716056774812, 'weight_decay': 0.00011427860000232646, 'beta_0': 0.871840455676281, 'beta_1': 0.9846641611894251, 'epsilon': 4.2718281230151284e-07, 'balanced_loss': False, 'epochs': 170, 'early_stopping_patience': 25, 'plateau_patience': 25, 'plateau_divider': 10}. Best is trial 119 with value: 0.9151376146788991.
[I 2025-03-21 06:53:33,315] Trial 151 finished with value: 0.893348623853211 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.6043222838598337, 'batch_size': 143, 'attention_heads': 14, 'hidden_dimension': 59, 'number_of_hidden_layers': 4, 'dropout_rate': 0.4314026788614984, 'global_pooling': 'sum', 'learning_rate': 0.0014385390518088796, 'weight_decay': 9.445538278176951e-05, 'beta_0': 0.8662840858539834, 'beta_1': 0.9860544463096687, 'epsilon': 4.6532844899167455e-07, 'balanced_loss': True, 'epochs': 167, 'early_stopping_patience': 25, 'plateau_patience': 24, 'plateau_divider': 8}. Best is trial 119 with value: 0.9151376146788991.
[I 2025-03-21 07:00:35,848] Trial 152 finished with value: 0.8899082568807339 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.5742880051543936, 'batch_size': 153, 'attention_heads': 13, 'hidden_dimension': 130, 'number_of_hidden_layers': 4, 'dropout_rate': 0.369131971073515, 'global_pooling': 'sum', 'learning_rate': 0.0011797569621371789, 'weight_decay': 0.00011158408625306626, 'beta_0': 0.8772147027998137, 'beta_1': 0.9848612570082808, 'epsilon': 3.266430941813859e-07, 'balanced_loss': False, 'epochs': 174, 'early_stopping_patience': 25, 'plateau_patience': 25, 'plateau_divider': 9}. Best is trial 119 with value: 0.9151376146788991.
[I 2025-03-21 07:10:14,170] Trial 153 finished with value: 0.8979357798165137 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.6110534915134709, 'batch_size': 161, 'attention_heads': 13, 'hidden_dimension': 158, 'number_of_hidden_layers': 4, 'dropout_rate': 0.391621305002063, 'global_pooling': 'sum', 'learning_rate': 0.002742167048078558, 'weight_decay': 0.0001802351156631721, 'beta_0': 0.8735341626264513, 'beta_1': 0.984011596881669, 'epsilon': 5.402046166247259e-05, 'balanced_loss': False, 'epochs': 169, 'early_stopping_patience': 25, 'plateau_patience': 25, 'plateau_divider': 10}. Best is trial 119 with value: 0.9151376146788991.
[I 2025-03-21 07:17:47,628] Trial 154 finished with value: 0.8956422018348624 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.5650492626784248, 'batch_size': 132, 'attention_heads': 12, 'hidden_dimension': 153, 'number_of_hidden_layers': 4, 'dropout_rate': 0.3937464994524651, 'global_pooling': 'sum', 'learning_rate': 0.0006916771732187952, 'weight_decay': 0.00010685267595513674, 'beta_0': 0.8702505173858031, 'beta_1': 0.9844165063322542, 'epsilon': 7.137006948328408e-07, 'balanced_loss': False, 'epochs': 176, 'early_stopping_patience': 24, 'plateau_patience': 25, 'plateau_divider': 10}. Best is trial 119 with value: 0.9151376146788991.
[I 2025-03-21 07:25:23,584] Trial 155 finished with value: 0.8910550458715596 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.5457780653214722, 'batch_size': 144, 'attention_heads': 12, 'hidden_dimension': 155, 'number_of_hidden_layers': 4, 'dropout_rate': 0.37491471709129304, 'global_pooling': 'sum', 'learning_rate': 0.0008092291568027883, 'weight_decay': 0.00013813086223429745, 'beta_0': 0.868052489325058, 'beta_1': 0.9855853080653146, 'epsilon': 6.0217848993826e-07, 'balanced_loss': False, 'epochs': 170, 'early_stopping_patience': 25, 'plateau_patience': 24, 'plateau_divider': 7}. Best is trial 119 with value: 0.9151376146788991.
[I 2025-03-21 07:33:02,294] Trial 156 finished with value: 0.8956422018348624 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.5814147634999072, 'batch_size': 150, 'attention_heads': 12, 'hidden_dimension': 164, 'number_of_hidden_layers': 4, 'dropout_rate': 0.4079273318281161, 'global_pooling': 'max', 'learning_rate': 0.0017213079186221482, 'weight_decay': 0.0002169174043326818, 'beta_0': 0.8868529089756089, 'beta_1': 0.9865638577034352, 'epsilon': 8.903531940532411e-07, 'balanced_loss': False, 'epochs': 155, 'early_stopping_patience': 23, 'plateau_patience': 25, 'plateau_divider': 10}. Best is trial 119 with value: 0.9151376146788991.
[I 2025-03-21 07:39:45,112] Trial 157 finished with value: 0.8979357798165137 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.5964710229784933, 'batch_size': 136, 'attention_heads': 11, 'hidden_dimension': 143, 'number_of_hidden_layers': 4, 'dropout_rate': 0.4005016937831946, 'global_pooling': 'max', 'learning_rate': 0.0010335034053965597, 'weight_decay': 0.00011923970338575798, 'beta_0': 0.8900381758805117, 'beta_1': 0.9846769498912933, 'epsilon': 4.5371286422040275e-07, 'balanced_loss': False, 'epochs': 160, 'early_stopping_patience': 24, 'plateau_patience': 25, 'plateau_divider': 10}. Best is trial 119 with value: 0.9151376146788991.
[I 2025-03-21 07:49:10,024] Trial 158 finished with value: 0.9036697247706422 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.5621339795953689, 'batch_size': 43, 'attention_heads': 13, 'hidden_dimension': 171, 'number_of_hidden_layers': 4, 'dropout_rate': 0.4064565681702932, 'global_pooling': 'max', 'learning_rate': 0.0005655900938900543, 'weight_decay': 0.0008016637463455183, 'beta_0': 0.8402972495350458, 'beta_1': 0.985113020424801, 'epsilon': 4.18372336667994e-06, 'balanced_loss': False, 'epochs': 183, 'early_stopping_patience': 25, 'plateau_patience': 24, 'plateau_divider': 10}. Best is trial 119 with value: 0.9151376146788991.
[I 2025-03-21 07:57:05,893] Trial 159 finished with value: 0.893348623853211 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.5372321106327623, 'batch_size': 175, 'attention_heads': 12, 'hidden_dimension': 166, 'number_of_hidden_layers': 4, 'dropout_rate': 0.40185826585639206, 'global_pooling': 'max', 'learning_rate': 0.0014340848832450153, 'weight_decay': 7.013811804030878e-05, 'beta_0': 0.8722497219755561, 'beta_1': 0.9860426360850472, 'epsilon': 7.577204349590681e-06, 'balanced_loss': False, 'epochs': 174, 'early_stopping_patience': 25, 'plateau_patience': 23, 'plateau_divider': 10}. Best is trial 119 with value: 0.9151376146788991.
[I 2025-03-21 08:04:50,200] Trial 160 finished with value: 0.8979357798165137 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.5250897886057091, 'batch_size': 165, 'attention_heads': 13, 'hidden_dimension': 149, 'number_of_hidden_layers': 4, 'dropout_rate': 0.5633336022875363, 'global_pooling': 'mean', 'learning_rate': 0.0009105875671275849, 'weight_decay': 0.00010076435500076102, 'beta_0': 0.8596040267848443, 'beta_1': 0.9867760435963917, 'epsilon': 7.759263182865243e-05, 'balanced_loss': False, 'epochs': 163, 'early_stopping_patience': 24, 'plateau_patience': 25, 'plateau_divider': 8}. Best is trial 119 with value: 0.9151376146788991.
[I 2025-03-21 08:12:25,511] Trial 161 finished with value: 0.9013761467889908 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.5513728832866305, 'batch_size': 158, 'attention_heads': 11, 'hidden_dimension': 160, 'number_of_hidden_layers': 4, 'dropout_rate': 0.4150353111797055, 'global_pooling': 'max', 'learning_rate': 0.00047410957406649856, 'weight_decay': 0.00012322005440399298, 'beta_0': 0.8786751990424911, 'beta_1': 0.9838192450929311, 'epsilon': 8.762985320815158e-06, 'balanced_loss': False, 'epochs': 56, 'early_stopping_patience': 25, 'plateau_patience': 24, 'plateau_divider': 10}. Best is trial 119 with value: 0.9151376146788991.
[I 2025-03-21 08:20:59,034] Trial 162 finished with value: 0.8979357798165137 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.5774257083990042, 'batch_size': 124, 'attention_heads': 12, 'hidden_dimension': 138, 'number_of_hidden_layers': 4, 'dropout_rate': 0.5695822969539175, 'global_pooling': 'max', 'learning_rate': 0.0007582958490457833, 'weight_decay': 0.0006025959078761779, 'beta_0': 0.8553126734494307, 'beta_1': 0.9856076988733586, 'epsilon': 5.076668680123463e-06, 'balanced_loss': False, 'epochs': 93, 'early_stopping_patience': 19, 'plateau_patience': 25, 'plateau_divider': 7}. Best is trial 119 with value: 0.9151376146788991.
[I 2025-03-21 08:28:26,516] Trial 163 finished with value: 0.9013761467889908 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.62513673887158, 'batch_size': 37, 'attention_heads': 14, 'hidden_dimension': 147, 'number_of_hidden_layers': 3, 'dropout_rate': 0.4398244360039787, 'global_pooling': 'max', 'learning_rate': 0.0011948460769632303, 'weight_decay': 8.227013981440378e-05, 'beta_0': 0.8687512220391632, 'beta_1': 0.9863494463289783, 'epsilon': 6.673017240286653e-07, 'balanced_loss': False, 'epochs': 152, 'early_stopping_patience': 24, 'plateau_patience': 24, 'plateau_divider': 9}. Best is trial 119 with value: 0.9151376146788991.
[I 2025-03-21 08:36:27,654] Trial 164 finished with value: 0.9036697247706422 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.5576800047595929, 'batch_size': 34, 'attention_heads': 13, 'hidden_dimension': 131, 'number_of_hidden_layers': 4, 'dropout_rate': 0.3896176965286091, 'global_pooling': 'max', 'learning_rate': 0.0006381729557227328, 'weight_decay': 8.043273083047116e-05, 'beta_0': 0.8635092673446226, 'beta_1': 0.9843964497725796, 'epsilon': 8.451549210035787e-07, 'balanced_loss': False, 'epochs': 164, 'early_stopping_patience': 24, 'plateau_patience': 25, 'plateau_divider': 9}. Best is trial 119 with value: 0.9151376146788991.
[I 2025-03-21 08:45:29,420] Trial 165 finished with value: 0.9025229357798165 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.5509597749934473, 'batch_size': 32, 'attention_heads': 13, 'hidden_dimension': 150, 'number_of_hidden_layers': 4, 'dropout_rate': 0.3820346321571354, 'global_pooling': 'max', 'learning_rate': 0.0009196858135783499, 'weight_decay': 0.00014952115079623653, 'beta_0': 0.871596416230388, 'beta_1': 0.9846324399030167, 'epsilon': 1.0661008800022729e-06, 'balanced_loss': False, 'epochs': 159, 'early_stopping_patience': 23, 'plateau_patience': 25, 'plateau_divider': 10}. Best is trial 119 with value: 0.9151376146788991.
[I 2025-03-21 08:54:36,161] Trial 166 finished with value: 0.9013761467889908 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.5359815237292173, 'batch_size': 47, 'attention_heads': 13, 'hidden_dimension': 154, 'number_of_hidden_layers': 4, 'dropout_rate': 0.38390126808167435, 'global_pooling': 'max', 'learning_rate': 0.0008921203145660413, 'weight_decay': 6.753386271375985e-05, 'beta_0': 0.8817743590591998, 'beta_1': 0.9850609765106212, 'epsilon': 7.60208755928412e-07, 'balanced_loss': False, 'epochs': 170, 'early_stopping_patience': 24, 'plateau_patience': 25, 'plateau_divider': 8}. Best is trial 119 with value: 0.9151376146788991.
[I 2025-03-21 09:03:30,863] Trial 167 finished with value: 0.9002293577981652 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.5682921896368199, 'batch_size': 39, 'attention_heads': 12, 'hidden_dimension': 154, 'number_of_hidden_layers': 4, 'dropout_rate': 0.4268508532220424, 'global_pooling': 'max', 'learning_rate': 0.001090227405356873, 'weight_decay': 0.0001838536246117236, 'beta_0': 0.8750887504212053, 'beta_1': 0.9833917004211921, 'epsilon': 6.365748579200922e-06, 'balanced_loss': False, 'epochs': 165, 'early_stopping_patience': 25, 'plateau_patience': 24, 'plateau_divider': 9}. Best is trial 119 with value: 0.9151376146788991.
[I 2025-03-21 09:10:20,211] Trial 168 finished with value: 0.9048165137614679 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.5904241671753836, 'batch_size': 44, 'attention_heads': 13, 'hidden_dimension': 103, 'number_of_hidden_layers': 4, 'dropout_rate': 0.5777360020863429, 'global_pooling': 'max', 'learning_rate': 0.0007109211561546983, 'weight_decay': 9.359643658195207e-05, 'beta_0': 0.8699351070511735, 'beta_1': 0.9871249020360076, 'epsilon': 5.3443184993443e-07, 'balanced_loss': False, 'epochs': 157, 'early_stopping_patience': 25, 'plateau_patience': 25, 'plateau_divider': 8}. Best is trial 119 with value: 0.9151376146788991.
[I 2025-03-21 09:18:08,523] Trial 169 finished with value: 0.9013761467889908 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.5525981947456234, 'batch_size': 145, 'attention_heads': 12, 'hidden_dimension': 175, 'number_of_hidden_layers': 4, 'dropout_rate': 0.3771645139847997, 'global_pooling': 'max', 'learning_rate': 0.0014168699773566865, 'weight_decay': 0.000723120766983963, 'beta_0': 0.8644450686320357, 'beta_1': 0.9841795376670258, 'epsilon': 1.2534676294823212e-05, 'balanced_loss': True, 'epochs': 179, 'early_stopping_patience': 24, 'plateau_patience': 24, 'plateau_divider': 8}. Best is trial 119 with value: 0.9151376146788991.
[I 2025-03-21 09:25:47,580] Trial 170 finished with value: 0.893348623853211 and parameters: {'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.5433365487101895, 'batch_size': 139, 'attention_heads': 14, 'hidden_dimension': 143, 'number_of_hidden_layers': 3, 'dropout_rate': 0.39540632631679296, 'global_pooling': 'sum', 'learning_rate': 0.0020473772686133824, 'weight_decay': 1.4185669029297246e-05, 'beta_0': 0.8071959890150785, 'beta_1': 0.9854647013890824, 'epsilon': 1.0571212845254183e-06, 'balanced_loss': False, 'epochs': 151, 'early_stopping_patience': 24, 'plateau_patience': 25, 'plateau_divider': 7}. Best is trial 119 with value: 0.9151376146788991.
[I 2025-03-21 09:31:24,654] Trial 171 finished with value: 0.9025229357798165 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.5175169683570633, 'batch_size': 50, 'attention_heads': 4, 'hidden_dimension': 162, 'number_of_hidden_layers': 4, 'dropout_rate': 0.3551442005929417, 'global_pooling': 'max', 'learning_rate': 0.0003879618044616436, 'weight_decay': 0.0002533805041438727, 'beta_0': 0.8829110499891865, 'beta_1': 0.9859074980953447, 'epsilon': 1.3737977418631431e-06, 'balanced_loss': False, 'epochs': 147, 'early_stopping_patience': 23, 'plateau_patience': 25, 'plateau_divider': 7}. Best is trial 119 with value: 0.9151376146788991.
[I 2025-03-21 09:41:18,505] Trial 172 finished with value: 0.9002293577981652 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.5656167037214658, 'batch_size': 39, 'attention_heads': 13, 'hidden_dimension': 189, 'number_of_hidden_layers': 4, 'dropout_rate': 0.561048730257673, 'global_pooling': 'max', 'learning_rate': 0.000866342099488192, 'weight_decay': 0.00041837497404247526, 'beta_0': 0.8266575412251099, 'beta_1': 0.9863686799087645, 'epsilon': 5.593938365655753e-06, 'balanced_loss': False, 'epochs': 162, 'early_stopping_patience': 25, 'plateau_patience': 23, 'plateau_divider': 9}. Best is trial 119 with value: 0.9151376146788991.
[I 2025-03-21 09:51:11,224] Trial 173 finished with value: 0.9059633027522935 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.6483261727064875, 'batch_size': 32, 'attention_heads': 13, 'hidden_dimension': 179, 'number_of_hidden_layers': 4, 'dropout_rate': 0.4050673029038112, 'global_pooling': 'max', 'learning_rate': 0.000516405308680661, 'weight_decay': 0.00012641188241600685, 'beta_0': 0.8085080846410805, 'beta_1': 0.9957894415364169, 'epsilon': 4.025595125622523e-07, 'balanced_loss': False, 'epochs': 143, 'early_stopping_patience': 24, 'plateau_patience': 24, 'plateau_divider': 8}. Best is trial 119 with value: 0.9151376146788991.
[I 2025-03-21 09:59:58,935] Trial 174 finished with value: 0.8922018348623854 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.6861442166918544, 'batch_size': 33, 'attention_heads': 13, 'hidden_dimension': 179, 'number_of_hidden_layers': 4, 'dropout_rate': 0.40655284928639907, 'global_pooling': 'max', 'learning_rate': 0.0005111407016299699, 'weight_decay': 0.0001276050041448483, 'beta_0': 0.8045029542195684, 'beta_1': 0.9849991693475824, 'epsilon': 2.231735692944242e-07, 'balanced_loss': False, 'epochs': 143, 'early_stopping_patience': 24, 'plateau_patience': 24, 'plateau_divider': 8}. Best is trial 119 with value: 0.9151376146788991.
[I 2025-03-21 10:08:48,872] Trial 175 finished with value: 0.9048165137614679 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.6499832967214054, 'batch_size': 41, 'attention_heads': 13, 'hidden_dimension': 169, 'number_of_hidden_layers': 4, 'dropout_rate': 0.4199414605824548, 'global_pooling': 'max', 'learning_rate': 0.0005767672862650508, 'weight_decay': 0.00016109181494722313, 'beta_0': 0.8086221134577403, 'beta_1': 0.9950804952746449, 'epsilon': 3.793964964470573e-07, 'balanced_loss': False, 'epochs': 155, 'early_stopping_patience': 24, 'plateau_patience': 24, 'plateau_divider': 8}. Best is trial 119 with value: 0.9151376146788991.
[I 2025-03-21 10:19:20,713] Trial 176 finished with value: 0.9048165137614679 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.6366046117736508, 'batch_size': 37, 'attention_heads': 13, 'hidden_dimension': 182, 'number_of_hidden_layers': 4, 'dropout_rate': 0.3882149157247682, 'global_pooling': 'max', 'learning_rate': 0.0007199511602875188, 'weight_decay': 0.0008723107253972067, 'beta_0': 0.8060811282672884, 'beta_1': 0.9868944823064504, 'epsilon': 6.233268003726671e-07, 'balanced_loss': False, 'epochs': 149, 'early_stopping_patience': 25, 'plateau_patience': 25, 'plateau_divider': 8}. Best is trial 119 with value: 0.9151376146788991.
[I 2025-03-21 10:29:48,900] Trial 177 finished with value: 0.9025229357798165 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.5790938459833652, 'batch_size': 32, 'attention_heads': 14, 'hidden_dimension': 186, 'number_of_hidden_layers': 4, 'dropout_rate': 0.4019373165994561, 'global_pooling': 'max', 'learning_rate': 0.0003342411038667224, 'weight_decay': 0.0001021377090220771, 'beta_0': 0.8096569429192657, 'beta_1': 0.9973106199079084, 'epsilon': 3.8154248321216674e-07, 'balanced_loss': False, 'epochs': 153, 'early_stopping_patience': 23, 'plateau_patience': 24, 'plateau_divider': 8}. Best is trial 119 with value: 0.9151376146788991.
[I 2025-03-21 10:38:17,044] Trial 178 finished with value: 0.8967889908256881 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.6705705286637852, 'batch_size': 45, 'attention_heads': 12, 'hidden_dimension': 193, 'number_of_hidden_layers': 4, 'dropout_rate': 0.3281822979914401, 'global_pooling': 'max', 'learning_rate': 0.00103340238297465, 'weight_decay': 0.00011806743909480126, 'beta_0': 0.89573520613505, 'beta_1': 0.9986717429556577, 'epsilon': 4.771685047156158e-07, 'balanced_loss': False, 'epochs': 145, 'early_stopping_patience': 25, 'plateau_patience': 25, 'plateau_divider': 7}. Best is trial 119 with value: 0.9151376146788991.
[I 2025-03-21 10:44:25,701] Trial 179 finished with value: 0.9059633027522935 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.5277106267006223, 'batch_size': 142, 'attention_heads': 12, 'hidden_dimension': 157, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4880640122568502, 'global_pooling': 'mean', 'learning_rate': 0.001259885308464837, 'weight_decay': 0.0002100496277395267, 'beta_0': 0.8733023060354818, 'beta_1': 0.992263973386032, 'epsilon': 3.058980437493921e-07, 'balanced_loss': False, 'epochs': 167, 'early_stopping_patience': 24, 'plateau_patience': 24, 'plateau_divider': 8}. Best is trial 119 with value: 0.9151376146788991.
