[I 2025-02-19 06:31:36,104] Using an existing study with name 'SST-2-GATv2-google-bert-bert-base-uncased-Surrogate-No_Aggregation-Single_Unitary_Weight-0.0-0.0' instead of creating a new one.
[I 2025-02-19 06:38:08,877] Trial 152 finished with value: 0.9002293577981652 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.40078707383840806, 'batch_size': 81, 'attention_heads': 9, 'hidden_dimension': 131, 'number_of_hidden_layers': 4, 'dropout_rate': 0.5010586476361087, 'global_pooling': 'mean', 'learning_rate': 0.0023039299524780284, 'weight_decay': 2.201133589023736e-05, 'beta_0': 0.8559734559936043, 'beta_1': 0.9856624722636111, 'epsilon': 2.576303039897108e-07, 'balanced_loss': True, 'epochs': 105, 'early_stopping_patience': 22, 'plateau_patience': 15, 'plateau_divider': 3}. Best is trial 39 with value: 0.9105504587155964.
[I 2025-02-19 11:14:31,175] Trial 190 finished with value: 0.8922018348623854 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.44279444442759514, 'batch_size': 49, 'attention_heads': 14, 'hidden_dimension': 172, 'number_of_hidden_layers': 4, 'dropout_rate': 0.5206571426625772, 'global_pooling': 'mean', 'learning_rate': 0.0025641909318548334, 'weight_decay': 3.152208307924364e-05, 'beta_0': 0.8920013226029824, 'beta_1': 0.98544304391555, 'epsilon': 2.5229961095986482e-05, 'balanced_loss': True, 'epochs': 117, 'early_stopping_patience': 16, 'plateau_patience': 11, 'plateau_divider': 6}. Best is trial 39 with value: 0.9105504587155964.
[I 2025-02-19 11:20:37,763] Trial 191 finished with value: 0.9002293577981652 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.5885705954904659, 'batch_size': 40, 'attention_heads': 15, 'hidden_dimension': 145, 'number_of_hidden_layers': 2, 'dropout_rate': 0.42567531208236636, 'global_pooling': 'mean', 'learning_rate': 0.0017121001913448766, 'weight_decay': 1.0006371013672694e-05, 'beta_0': 0.8719424395387324, 'beta_1': 0.9875993452763567, 'epsilon': 5.745273106419572e-07, 'balanced_loss': True, 'epochs': 134, 'early_stopping_patience': 21, 'plateau_patience': 23, 'plateau_divider': 4}. Best is trial 39 with value: 0.9105504587155964.
[I 2025-02-19 11:28:11,068] Trial 192 finished with value: 0.8979357798165137 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.559416845130661, 'batch_size': 71, 'attention_heads': 13, 'hidden_dimension': 164, 'number_of_hidden_layers': 3, 'dropout_rate': 0.4345531154116406, 'global_pooling': 'mean', 'learning_rate': 0.0009972850929629616, 'weight_decay': 4.255324688442036e-05, 'beta_0': 0.8798371204749812, 'beta_1': 0.9848101727376377, 'epsilon': 4.015661529104232e-08, 'balanced_loss': False, 'epochs': 94, 'early_stopping_patience': 22, 'plateau_patience': 12, 'plateau_divider': 2}. Best is trial 39 with value: 0.9105504587155964.
[I 2025-02-19 11:38:34,157] Trial 193 finished with value: 0.9013761467889908 and parameters: {'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.5253974948484769, 'batch_size': 59, 'attention_heads': 14, 'hidden_dimension': 187, 'number_of_hidden_layers': 4, 'dropout_rate': 0.5092862157650486, 'global_pooling': 'max', 'learning_rate': 0.0004058629947372189, 'weight_decay': 2.3102118240791246e-05, 'beta_0': 0.8457525104450424, 'beta_1': 0.9880833566645066, 'epsilon': 2.8395007611832543e-07, 'balanced_loss': True, 'epochs': 113, 'early_stopping_patience': 23, 'plateau_patience': 13, 'plateau_divider': 3}. Best is trial 39 with value: 0.9105504587155964.
[I 2025-02-19 11:46:19,002] Trial 194 finished with value: 0.9002293577981652 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.5515268114948981, 'batch_size': 75, 'attention_heads': 14, 'hidden_dimension': 175, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5257405049479895, 'global_pooling': 'mean', 'learning_rate': 0.0013275990449927817, 'weight_decay': 0.0001232967196450751, 'beta_0': 0.8352804054646389, 'beta_1': 0.9867549630747583, 'epsilon': 1.748015332557809e-06, 'balanced_loss': True, 'epochs': 104, 'early_stopping_patience': 24, 'plateau_patience': 14, 'plateau_divider': 3}. Best is trial 39 with value: 0.9105504587155964.
[I 2025-02-19 11:51:57,555] Trial 195 finished with value: 0.9013761467889908 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.559267607417439, 'batch_size': 80, 'attention_heads': 14, 'hidden_dimension': 174, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5345094004730919, 'global_pooling': 'mean', 'learning_rate': 0.001476697534587266, 'weight_decay': 0.0002289747384906581, 'beta_0': 0.8382238044606286, 'beta_1': 0.9871142468117245, 'epsilon': 1.2015671705124435e-06, 'balanced_loss': True, 'epochs': 101, 'early_stopping_patience': 13, 'plateau_patience': 13, 'plateau_divider': 3}. Best is trial 39 with value: 0.9105504587155964.
[I 2025-02-19 11:58:58,867] Trial 196 finished with value: 0.8979357798165137 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.5427336011240141, 'batch_size': 72, 'attention_heads': 14, 'hidden_dimension': 180, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5281404455341452, 'global_pooling': 'mean', 'learning_rate': 0.0019888018575774783, 'weight_decay': 3.579777599805735e-05, 'beta_0': 0.8428178174062031, 'beta_1': 0.9865520117224827, 'epsilon': 9.967763085317545e-07, 'balanced_loss': True, 'epochs': 99, 'early_stopping_patience': 24, 'plateau_patience': 13, 'plateau_divider': 3}. Best is trial 39 with value: 0.9105504587155964.
[I 2025-02-19 12:06:04,492] Trial 197 finished with value: 0.9036697247706422 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.5748490034722417, 'batch_size': 65, 'attention_heads': 13, 'hidden_dimension': 159, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5230417961052014, 'global_pooling': 'mean', 'learning_rate': 0.0010912529743603407, 'weight_decay': 1.2613784421653419e-05, 'beta_0': 0.838639982785702, 'beta_1': 0.9816845202370423, 'epsilon': 4.5669722834092196e-05, 'balanced_loss': True, 'epochs': 106, 'early_stopping_patience': 25, 'plateau_patience': 11, 'plateau_divider': 3}. Best is trial 39 with value: 0.9105504587155964.
[I 2025-02-19 12:12:11,099] Trial 198 finished with value: 0.893348623853211 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.7729794384723959, 'batch_size': 68, 'attention_heads': 15, 'hidden_dimension': 169, 'number_of_hidden_layers': 2, 'dropout_rate': 0.49796643815885017, 'global_pooling': 'mean', 'learning_rate': 0.0015872650655638137, 'weight_decay': 0.0002901186812199553, 'beta_0': 0.839335283296047, 'beta_1': 0.9860073679952255, 'epsilon': 7.238380538585958e-07, 'balanced_loss': True, 'epochs': 92, 'early_stopping_patience': 14, 'plateau_patience': 21, 'plateau_divider': 7}. Best is trial 39 with value: 0.9105504587155964.
[I 2025-02-19 12:17:39,963] Trial 199 finished with value: 0.819954128440367 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.587623532611396, 'batch_size': 167, 'attention_heads': 11, 'hidden_dimension': 152, 'number_of_hidden_layers': 2, 'dropout_rate': 0.475724851454499, 'global_pooling': 'mean', 'learning_rate': 0.03449046652964069, 'weight_decay': 2.8628491320402014e-05, 'beta_0': 0.8408171036782685, 'beta_1': 0.9875351889929157, 'epsilon': 3.463379127932425e-07, 'balanced_loss': True, 'epochs': 97, 'early_stopping_patience': 24, 'plateau_patience': 10, 'plateau_divider': 5}. Best is trial 39 with value: 0.9105504587155964.
[I 2025-02-19 12:26:27,287] Trial 200 finished with value: 0.9036697247706422 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.41732110683071594, 'batch_size': 53, 'attention_heads': 14, 'hidden_dimension': 162, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5391953430824737, 'global_pooling': 'mean', 'learning_rate': 0.0013433445792382405, 'weight_decay': 8.097382170844142e-06, 'beta_0': 0.8873101545864348, 'beta_1': 0.9851756396683437, 'epsilon': 5.000579448524437e-07, 'balanced_loss': True, 'epochs': 119, 'early_stopping_patience': 23, 'plateau_patience': 12, 'plateau_divider': 6}. Best is trial 39 with value: 0.9105504587155964.
[I 2025-02-19 12:31:26,445] Trial 201 finished with value: 0.9013761467889908 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.6070216582471538, 'batch_size': 44, 'attention_heads': 8, 'hidden_dimension': 121, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4119306507881668, 'global_pooling': 'mean', 'learning_rate': 0.0022513518879951375, 'weight_decay': 2.1511812626802764e-05, 'beta_0': 0.8524401218204302, 'beta_1': 0.9856238210985022, 'epsilon': 5.487686674919787e-05, 'balanced_loss': True, 'epochs': 126, 'early_stopping_patience': 25, 'plateau_patience': 24, 'plateau_divider': 8}. Best is trial 39 with value: 0.9105504587155964.
[I 2025-02-19 12:37:51,452] Trial 202 finished with value: 0.9048165137614679 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.55363405840448, 'batch_size': 74, 'attention_heads': 13, 'hidden_dimension': 167, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5159836082263128, 'global_pooling': 'mean', 'learning_rate': 0.0009235468891260333, 'weight_decay': 0.00014816920366164722, 'beta_0': 0.8823176957370442, 'beta_1': 0.98403144415043, 'epsilon': 1.0686230384713264e-06, 'balanced_loss': True, 'epochs': 110, 'early_stopping_patience': 23, 'plateau_patience': 25, 'plateau_divider': 3}. Best is trial 39 with value: 0.9105504587155964.
[I 2025-02-19 12:46:03,103] Trial 203 finished with value: 0.8967889908256881 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.5139077089808881, 'batch_size': 83, 'attention_heads': 13, 'hidden_dimension': 167, 'number_of_hidden_layers': 4, 'dropout_rate': 0.5058000865453776, 'global_pooling': 'mean', 'learning_rate': 0.0005913770490920317, 'weight_decay': 0.0002552084328184682, 'beta_0': 0.88241371178873, 'beta_1': 0.984090334623609, 'epsilon': 8.367641719570164e-07, 'balanced_loss': True, 'epochs': 111, 'early_stopping_patience': 23, 'plateau_patience': 25, 'plateau_divider': 4}. Best is trial 39 with value: 0.9105504587155964.
[I 2025-02-19 12:52:29,916] Trial 204 finished with value: 0.9013761467889908 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.5585187065033252, 'batch_size': 76, 'attention_heads': 12, 'hidden_dimension': 174, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5179033231464871, 'global_pooling': 'mean', 'learning_rate': 0.000793363366435672, 'weight_decay': 0.00015950932307534635, 'beta_0': 0.8846288215549918, 'beta_1': 0.983791744491021, 'epsilon': 9.508449805189122e-07, 'balanced_loss': True, 'epochs': 103, 'early_stopping_patience': 23, 'plateau_patience': 25, 'plateau_divider': 3}. Best is trial 39 with value: 0.9105504587155964.
[I 2025-02-19 12:59:05,169] Trial 205 finished with value: 0.9036697247706422 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.5683162513856619, 'batch_size': 74, 'attention_heads': 13, 'hidden_dimension': 157, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5141685135709055, 'global_pooling': 'mean', 'learning_rate': 0.0012007283663591354, 'weight_decay': 1.5685360915753646e-05, 'beta_0': 0.8822529473289306, 'beta_1': 0.9844348708369702, 'epsilon': 1.4968151421200835e-06, 'balanced_loss': True, 'epochs': 108, 'early_stopping_patience': 24, 'plateau_patience': 25, 'plateau_divider': 3}. Best is trial 39 with value: 0.9105504587155964.
[I 2025-02-19 13:06:02,105] Trial 206 finished with value: 0.9048165137614679 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.5374662132436747, 'batch_size': 64, 'attention_heads': 13, 'hidden_dimension': 169, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5309765346160935, 'global_pooling': 'mean', 'learning_rate': 0.0009537804680316691, 'weight_decay': 0.00020020946501320496, 'beta_0': 0.846810019246816, 'beta_1': 0.9869971440937881, 'epsilon': 1.1036732762823067e-06, 'balanced_loss': True, 'epochs': 116, 'early_stopping_patience': 23, 'plateau_patience': 25, 'plateau_divider': 3}. Best is trial 39 with value: 0.9105504587155964.
[I 2025-02-19 13:12:44,267] Trial 207 finished with value: 0.9013761467889908 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.5382440275231299, 'batch_size': 64, 'attention_heads': 13, 'hidden_dimension': 163, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5530743756608636, 'global_pooling': 'mean', 'learning_rate': 0.0010193957649959845, 'weight_decay': 0.0001443369079793363, 'beta_0': 0.8784450243840011, 'beta_1': 0.9847691511927793, 'epsilon': 4.054790991610816e-05, 'balanced_loss': True, 'epochs': 116, 'early_stopping_patience': 23, 'plateau_patience': 25, 'plateau_divider': 3}. Best is trial 39 with value: 0.9105504587155964.
[I 2025-02-19 13:19:29,379] Trial 208 finished with value: 0.9036697247706422 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.5308459784028342, 'batch_size': 59, 'attention_heads': 13, 'hidden_dimension': 169, 'number_of_hidden_layers': 2, 'dropout_rate': 0.49027492188181193, 'global_pooling': 'mean', 'learning_rate': 0.0008147566581017914, 'weight_decay': 0.00017819026455161713, 'beta_0': 0.8894254547780694, 'beta_1': 0.9831102509012651, 'epsilon': 1.1222619713845558e-06, 'balanced_loss': True, 'epochs': 121, 'early_stopping_patience': 22, 'plateau_patience': 25, 'plateau_divider': 3}. Best is trial 39 with value: 0.9105504587155964.
[I 2025-02-19 13:26:10,716] Trial 209 finished with value: 0.9071100917431193 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.4757980250995032, 'batch_size': 57, 'attention_heads': 13, 'hidden_dimension': 154, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5304013164946336, 'global_pooling': 'mean', 'learning_rate': 0.0009779683933736898, 'weight_decay': 0.0001913610964136808, 'beta_0': 0.8466173672613392, 'beta_1': 0.9908619554622007, 'epsilon': 2.099881364065051e-06, 'balanced_loss': True, 'epochs': 113, 'early_stopping_patience': 22, 'plateau_patience': 24, 'plateau_divider': 2}. Best is trial 39 with value: 0.9105504587155964.
[I 2025-02-19 13:32:42,799] Trial 210 finished with value: 0.9094036697247706 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.4758727350130303, 'batch_size': 49, 'attention_heads': 12, 'hidden_dimension': 152, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5316286955027575, 'global_pooling': 'mean', 'learning_rate': 0.0006746276957089207, 'weight_decay': 0.0002143570519935157, 'beta_0': 0.8473119347812893, 'beta_1': 0.9910906593870433, 'epsilon': 1.9085635753735944e-06, 'balanced_loss': False, 'epochs': 112, 'early_stopping_patience': 23, 'plateau_patience': 24, 'plateau_divider': 2}. Best is trial 39 with value: 0.9105504587155964.
[I 2025-02-19 13:38:45,992] Trial 211 finished with value: 0.9059633027522935 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.4870554963662611, 'batch_size': 53, 'attention_heads': 12, 'hidden_dimension': 151, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5003178974713165, 'global_pooling': 'mean', 'learning_rate': 0.00048543118675945207, 'weight_decay': 0.00019552229956063363, 'beta_0': 0.8474624888257462, 'beta_1': 0.9908276920181873, 'epsilon': 1.990457773620009e-06, 'balanced_loss': False, 'epochs': 113, 'early_stopping_patience': 23, 'plateau_patience': 24, 'plateau_divider': 2}. Best is trial 39 with value: 0.9105504587155964.
[I 2025-02-19 13:45:24,120] Trial 212 finished with value: 0.9025229357798165 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.48643784668244044, 'batch_size': 49, 'attention_heads': 12, 'hidden_dimension': 154, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5325439706213028, 'global_pooling': 'mean', 'learning_rate': 0.0005068795910753631, 'weight_decay': 0.0003099435346056202, 'beta_0': 0.849108516430527, 'beta_1': 0.9915811152866106, 'epsilon': 1.4809024525178464e-06, 'balanced_loss': False, 'epochs': 112, 'early_stopping_patience': 23, 'plateau_patience': 24, 'plateau_divider': 2}. Best is trial 39 with value: 0.9105504587155964.
[I 2025-02-19 13:51:17,781] Trial 213 finished with value: 0.9048165137614679 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.4746285392754111, 'batch_size': 55, 'attention_heads': 12, 'hidden_dimension': 137, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5306565948965086, 'global_pooling': 'mean', 'learning_rate': 0.0006090875102870154, 'weight_decay': 0.00023524734808962478, 'beta_0': 0.8445915654965324, 'beta_1': 0.9907846915867822, 'epsilon': 1.9167651531721354e-06, 'balanced_loss': False, 'epochs': 110, 'early_stopping_patience': 23, 'plateau_patience': 24, 'plateau_divider': 2}. Best is trial 39 with value: 0.9105504587155964.
[I 2025-02-19 13:57:42,758] Trial 214 finished with value: 0.9013761467889908 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.4771805876306955, 'batch_size': 50, 'attention_heads': 12, 'hidden_dimension': 135, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5508388776817256, 'global_pooling': 'mean', 'learning_rate': 0.0003565227691808183, 'weight_decay': 0.00025003326857512604, 'beta_0': 0.8468974047129829, 'beta_1': 0.9911374829503017, 'epsilon': 2.2127927683858983e-06, 'balanced_loss': False, 'epochs': 114, 'early_stopping_patience': 23, 'plateau_patience': 24, 'plateau_divider': 2}. Best is trial 39 with value: 0.9105504587155964.
[I 2025-02-19 14:03:51,475] Trial 215 finished with value: 0.9013761467889908 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.5006944698515912, 'batch_size': 55, 'attention_heads': 12, 'hidden_dimension': 138, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5313251962489264, 'global_pooling': 'mean', 'learning_rate': 0.0006141225192707451, 'weight_decay': 0.00021322193481299815, 'beta_0': 0.8455437175640169, 'beta_1': 0.9907722951156063, 'epsilon': 1.7659062653553228e-06, 'balanced_loss': False, 'epochs': 109, 'early_stopping_patience': 23, 'plateau_patience': 24, 'plateau_divider': 2}. Best is trial 39 with value: 0.9105504587155964.
[I 2025-02-19 14:09:39,177] Trial 216 finished with value: 0.9059633027522935 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.4708811377074565, 'batch_size': 54, 'attention_heads': 12, 'hidden_dimension': 144, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5355490145792885, 'global_pooling': 'mean', 'learning_rate': 0.0004175322981996992, 'weight_decay': 0.00019120438726335018, 'beta_0': 0.8507293787516399, 'beta_1': 0.9904385621334442, 'epsilon': 1.744311094748525e-06, 'balanced_loss': False, 'epochs': 111, 'early_stopping_patience': 22, 'plateau_patience': 24, 'plateau_divider': 2}. Best is trial 39 with value: 0.9105504587155964.
[I 2025-02-19 14:15:28,253] Trial 217 finished with value: 0.8979357798165137 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.4746452561848161, 'batch_size': 54, 'attention_heads': 12, 'hidden_dimension': 144, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5406931387747931, 'global_pooling': 'mean', 'learning_rate': 0.00047004341988344275, 'weight_decay': 0.0001923031585025764, 'beta_0': 0.8516825478672213, 'beta_1': 0.9903780195976669, 'epsilon': 2.1328951920884877e-06, 'balanced_loss': False, 'epochs': 110, 'early_stopping_patience': 23, 'plateau_patience': 24, 'plateau_divider': 2}. Best is trial 39 with value: 0.9105504587155964.
[I 2025-02-19 14:20:47,425] Trial 218 finished with value: 0.9036697247706422 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.4689410885564362, 'batch_size': 56, 'attention_heads': 12, 'hidden_dimension': 129, 'number_of_hidden_layers': 2, 'dropout_rate': 0.534862764856627, 'global_pooling': 'mean', 'learning_rate': 0.00041833676871912454, 'weight_decay': 0.0002171684923123792, 'beta_0': 0.8506579976289418, 'beta_1': 0.99010913801771, 'epsilon': 1.944533743920124e-06, 'balanced_loss': False, 'epochs': 115, 'early_stopping_patience': 20, 'plateau_patience': 24, 'plateau_divider': 2}. Best is trial 39 with value: 0.9105504587155964.
[I 2025-02-19 14:27:11,005] Trial 219 finished with value: 0.9059633027522935 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.49146424337172817, 'batch_size': 62, 'attention_heads': 12, 'hidden_dimension': 147, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5283910230267143, 'global_pooling': 'max', 'learning_rate': 0.0006092503022875475, 'weight_decay': 0.00017787603042861185, 'beta_0': 0.8473186348289616, 'beta_1': 0.9908353098720437, 'epsilon': 2.5728682832555738e-06, 'balanced_loss': False, 'epochs': 107, 'early_stopping_patience': 22, 'plateau_patience': 23, 'plateau_divider': 2}. Best is trial 39 with value: 0.9105504587155964.
[I 2025-02-19 14:32:52,050] Trial 220 finished with value: 0.9013761467889908 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.49361853029801106, 'batch_size': 63, 'attention_heads': 12, 'hidden_dimension': 148, 'number_of_hidden_layers': 2, 'dropout_rate': 0.537584623545975, 'global_pooling': 'max', 'learning_rate': 0.0005697710424211538, 'weight_decay': 0.0001871051318489173, 'beta_0': 0.8479238193957301, 'beta_1': 0.9921462792502872, 'epsilon': 3.029679669585632e-06, 'balanced_loss': False, 'epochs': 107, 'early_stopping_patience': 22, 'plateau_patience': 24, 'plateau_divider': 2}. Best is trial 39 with value: 0.9105504587155964.
[I 2025-02-19 14:38:30,463] Trial 221 finished with value: 0.9048165137614679 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.5044635301111532, 'batch_size': 61, 'attention_heads': 12, 'hidden_dimension': 140, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5626742937182209, 'global_pooling': 'max', 'learning_rate': 0.0006638746151177356, 'weight_decay': 0.0002265859778361133, 'beta_0': 0.8446043942625062, 'beta_1': 0.9909724173596655, 'epsilon': 2.582515645180144e-06, 'balanced_loss': False, 'epochs': 111, 'early_stopping_patience': 22, 'plateau_patience': 25, 'plateau_divider': 2}. Best is trial 39 with value: 0.9105504587155964.
[I 2025-02-19 14:44:46,061] Trial 222 finished with value: 0.9036697247706422 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.5060965707308608, 'batch_size': 62, 'attention_heads': 12, 'hidden_dimension': 139, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5856348727574233, 'global_pooling': 'max', 'learning_rate': 0.0007015965825817822, 'weight_decay': 0.00025722532182866596, 'beta_0': 0.8450517678095084, 'beta_1': 0.9909465640414231, 'epsilon': 2.8028873028277373e-06, 'balanced_loss': False, 'epochs': 111, 'early_stopping_patience': 22, 'plateau_patience': 25, 'plateau_divider': 2}. Best is trial 39 with value: 0.9105504587155964.
[I 2025-02-19 14:50:46,677] Trial 223 finished with value: 0.8979357798165137 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.5172397490523675, 'batch_size': 67, 'attention_heads': 12, 'hidden_dimension': 134, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5589272347848275, 'global_pooling': 'max', 'learning_rate': 0.0005023125551151456, 'weight_decay': 0.00023012479959261392, 'beta_0': 0.8467339222888438, 'beta_1': 0.9906881002266448, 'epsilon': 2.421152454682434e-06, 'balanced_loss': False, 'epochs': 111, 'early_stopping_patience': 22, 'plateau_patience': 25, 'plateau_divider': 2}. Best is trial 39 with value: 0.9105504587155964.
[I 2025-02-19 14:56:43,226] Trial 224 finished with value: 0.8922018348623854 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.48820322936545457, 'batch_size': 55, 'attention_heads': 12, 'hidden_dimension': 143, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5689680533256896, 'global_pooling': 'max', 'learning_rate': 0.0003156695286474623, 'weight_decay': 0.00015482063620538507, 'beta_0': 0.8453331635273224, 'beta_1': 0.9913048968056996, 'epsilon': 1.6517206100250752e-06, 'balanced_loss': False, 'epochs': 107, 'early_stopping_patience': 22, 'plateau_patience': 24, 'plateau_divider': 2}. Best is trial 39 with value: 0.9105504587155964.
[I 2025-02-19 15:02:49,171] Trial 225 finished with value: 0.9036697247706422 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.49934045556171136, 'batch_size': 60, 'attention_heads': 12, 'hidden_dimension': 147, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5259413838708874, 'global_pooling': 'max', 'learning_rate': 0.0006262078776977084, 'weight_decay': 0.00016585935400827484, 'beta_0': 0.8474639796966671, 'beta_1': 0.9916309787805373, 'epsilon': 2.5499072727569197e-06, 'balanced_loss': False, 'epochs': 113, 'early_stopping_patience': 22, 'plateau_patience': 25, 'plateau_divider': 2}. Best is trial 39 with value: 0.9105504587155964.
[I 2025-02-19 15:09:18,251] Trial 226 finished with value: 0.9013761467889908 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.4817642001990965, 'batch_size': 57, 'attention_heads': 12, 'hidden_dimension': 152, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5493689654745892, 'global_pooling': 'max', 'learning_rate': 0.0004250536629945954, 'weight_decay': 0.00019553655080787387, 'beta_0': 0.8541377610679334, 'beta_1': 0.9910898107923314, 'epsilon': 1.4338661276191567e-06, 'balanced_loss': False, 'epochs': 109, 'early_stopping_patience': 21, 'plateau_patience': 24, 'plateau_divider': 2}. Best is trial 39 with value: 0.9105504587155964.
[I 2025-02-19 15:15:03,224] Trial 227 finished with value: 0.9002293577981652 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.4885808447980887, 'batch_size': 52, 'attention_heads': 12, 'hidden_dimension': 140, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5641609056153329, 'global_pooling': 'max', 'learning_rate': 0.0007150152046851689, 'weight_decay': 0.0002341543864818685, 'beta_0': 0.8497761128233131, 'beta_1': 0.9903472026759551, 'epsilon': 1.9685810368869146e-06, 'balanced_loss': False, 'epochs': 115, 'early_stopping_patience': 17, 'plateau_patience': 23, 'plateau_divider': 2}. Best is trial 39 with value: 0.9105504587155964.
