[I 2025-02-27 14:42:45,637] Using an existing study with name 'IMDb-top_1000-GATv2-google-bert-bert-base-uncased-Surrogate-No_Aggregation-No_Ablation-1.0-0.75' instead of creating a new one.
Token indices sequence length is longer than the specified maximum sequence length for this model (1147 > 512). Running this sequence through the model will result in indexing errors
[I 2025-02-27 15:03:50,303] Trial 126 finished with value: 0.8666666666666667 and parameters: {'left_stride': 128, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9853328433246231, 'batch_size': 23, 'attention_heads': 4, 'hidden_dimension': 206, 'number_of_hidden_layers': 3, 'dropout_rate': 0.42829068332407033, 'global_pooling': 'sum', 'learning_rate': 0.0012710892627556796, 'weight_decay': 2.227185974229636e-06, 'beta_0': 0.863745124388558, 'beta_1': 0.9878560331484864, 'epsilon': 9.164339811852586e-07, 'balanced_loss': False, 'epochs': 191, 'early_stopping_patience': 25, 'plateau_patience': 19, 'plateau_divider': 3}. Best is trial 71 with value: 0.8909090909090909.
[I 2025-02-28 01:22:25,113] Trial 160 finished with value: 0.896969696969697 and parameters: {'left_stride': 128, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.9939896780046596, 'batch_size': 29, 'attention_heads': 5, 'hidden_dimension': 73, 'number_of_hidden_layers': 3, 'dropout_rate': 0.44724503916955477, 'global_pooling': 'sum', 'learning_rate': 0.0009494993525816284, 'weight_decay': 1.4693762480993895e-06, 'beta_0': 0.8611859769772309, 'beta_1': 0.9888942435305412, 'epsilon': 9.68156188807826e-07, 'balanced_loss': False, 'epochs': 150, 'early_stopping_patience': 24, 'plateau_patience': 18, 'plateau_divider': 6}. Best is trial 133 with value: 0.896969696969697.
[I 2025-02-28 01:38:25,232] Trial 161 finished with value: 0.8787878787878788 and parameters: {'left_stride': 128, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.996586804415981, 'batch_size': 29, 'attention_heads': 6, 'hidden_dimension': 72, 'number_of_hidden_layers': 2, 'dropout_rate': 0.43780638234733943, 'global_pooling': 'sum', 'learning_rate': 0.00039257807983189124, 'weight_decay': 6.137083477651089e-06, 'beta_0': 0.8500667825828961, 'beta_1': 0.9890291186074499, 'epsilon': 4.218673111065767e-05, 'balanced_loss': True, 'epochs': 151, 'early_stopping_patience': 23, 'plateau_patience': 23, 'plateau_divider': 7}. Best is trial 133 with value: 0.896969696969697.
[I 2025-02-28 01:54:12,410] Trial 162 finished with value: 0.8606060606060606 and parameters: {'left_stride': 128, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.9938982275573509, 'batch_size': 31, 'attention_heads': 5, 'hidden_dimension': 77, 'number_of_hidden_layers': 3, 'dropout_rate': 0.4455991801886087, 'global_pooling': 'sum', 'learning_rate': 0.0009265705434166074, 'weight_decay': 0.00045259383445973763, 'beta_0': 0.8574525994396335, 'beta_1': 0.989723035399737, 'epsilon': 3.3128110437419917e-07, 'balanced_loss': True, 'epochs': 155, 'early_stopping_patience': 25, 'plateau_patience': 18, 'plateau_divider': 6}. Best is trial 133 with value: 0.896969696969697.
[I 2025-02-28 02:11:29,363] Trial 163 finished with value: 0.8666666666666667 and parameters: {'left_stride': 128, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.9886675297022302, 'batch_size': 27, 'attention_heads': 5, 'hidden_dimension': 91, 'number_of_hidden_layers': 3, 'dropout_rate': 0.453191031288286, 'global_pooling': 'sum', 'learning_rate': 0.0006981616922425422, 'weight_decay': 1.4455144733933348e-06, 'beta_0': 0.8609756092088435, 'beta_1': 0.9900775067799414, 'epsilon': 1.0233448075041174e-06, 'balanced_loss': False, 'epochs': 149, 'early_stopping_patience': 24, 'plateau_patience': 17, 'plateau_divider': 6}. Best is trial 133 with value: 0.896969696969697.
[I 2025-02-28 02:27:49,018] Trial 164 finished with value: 0.8484848484848485 and parameters: {'left_stride': 128, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.9919500265005158, 'batch_size': 37, 'attention_heads': 4, 'hidden_dimension': 85, 'number_of_hidden_layers': 3, 'dropout_rate': 0.44826603201798465, 'global_pooling': 'sum', 'learning_rate': 0.0011132771331962246, 'weight_decay': 1.8242381898512963e-06, 'beta_0': 0.8556106310814097, 'beta_1': 0.9883931318187318, 'epsilon': 7.061219372142737e-07, 'balanced_loss': False, 'epochs': 163, 'early_stopping_patience': 24, 'plateau_patience': 18, 'plateau_divider': 6}. Best is trial 133 with value: 0.896969696969697.
[I 2025-02-28 02:43:27,963] Trial 165 finished with value: 0.8121212121212121 and parameters: {'left_stride': 128, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.997617545978744, 'batch_size': 24, 'attention_heads': 5, 'hidden_dimension': 66, 'number_of_hidden_layers': 3, 'dropout_rate': 0.43905605782279744, 'global_pooling': 'sum', 'learning_rate': 0.001465088651766009, 'weight_decay': 1.0107079930304635e-06, 'beta_0': 0.8537366888551967, 'beta_1': 0.9888579184171697, 'epsilon': 5.786208927062867e-07, 'balanced_loss': False, 'epochs': 141, 'early_stopping_patience': 24, 'plateau_patience': 19, 'plateau_divider': 5}. Best is trial 133 with value: 0.896969696969697.
[I 2025-02-28 03:03:04,224] Trial 166 finished with value: 0.8666666666666667 and parameters: {'left_stride': 128, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9851746713887823, 'batch_size': 28, 'attention_heads': 4, 'hidden_dimension': 211, 'number_of_hidden_layers': 3, 'dropout_rate': 0.45741506418561495, 'global_pooling': 'sum', 'learning_rate': 0.0004943202885197338, 'weight_decay': 1.4822481052974552e-05, 'beta_0': 0.858658422987915, 'beta_1': 0.9808280294379869, 'epsilon': 1.6659781946372933e-06, 'balanced_loss': False, 'epochs': 143, 'early_stopping_patience': 24, 'plateau_patience': 18, 'plateau_divider': 3}. Best is trial 133 with value: 0.896969696969697.
[I 2025-02-28 03:18:59,370] Trial 167 finished with value: 0.8242424242424242 and parameters: {'left_stride': 32, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.9948835266234813, 'batch_size': 25, 'attention_heads': 5, 'hidden_dimension': 195, 'number_of_hidden_layers': 3, 'dropout_rate': 0.47357168256837484, 'global_pooling': 'sum', 'learning_rate': 0.0008078131666483854, 'weight_decay': 1.4939571552368386e-06, 'beta_0': 0.8794987733381037, 'beta_1': 0.9819825802990685, 'epsilon': 8.254094023559753e-07, 'balanced_loss': False, 'epochs': 157, 'early_stopping_patience': 23, 'plateau_patience': 20, 'plateau_divider': 3}. Best is trial 133 with value: 0.896969696969697.
[I 2025-02-28 03:29:57,129] Trial 168 finished with value: 0.8727272727272727 and parameters: {'left_stride': 128, 'right_stride': 32, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.9875853099517854, 'batch_size': 34, 'attention_heads': 4, 'hidden_dimension': 74, 'number_of_hidden_layers': 1, 'dropout_rate': 0.43244250441826393, 'global_pooling': 'sum', 'learning_rate': 0.00031897630140799134, 'weight_decay': 2.2871884538222664e-06, 'beta_0': 0.8624900054937693, 'beta_1': 0.9882296576521312, 'epsilon': 4.401965377809286e-07, 'balanced_loss': False, 'epochs': 144, 'early_stopping_patience': 25, 'plateau_patience': 17, 'plateau_divider': 4}. Best is trial 133 with value: 0.896969696969697.
[I 2025-02-28 03:46:19,652] Trial 169 finished with value: 0.8424242424242424 and parameters: {'left_stride': 128, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9897323635036318, 'batch_size': 33, 'attention_heads': 5, 'hidden_dimension': 120, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4637914142760855, 'global_pooling': 'max', 'learning_rate': 0.0006382869390557997, 'weight_decay': 0.0005812355038372056, 'beta_0': 0.8701539605302298, 'beta_1': 0.9873891871407773, 'epsilon': 4.6085199269913646e-08, 'balanced_loss': True, 'epochs': 137, 'early_stopping_patience': 24, 'plateau_patience': 19, 'plateau_divider': 2}. Best is trial 133 with value: 0.896969696969697.
[I 2025-02-28 04:04:45,671] Trial 170 finished with value: 0.8666666666666667 and parameters: {'left_stride': 128, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.9929319657225416, 'batch_size': 26, 'attention_heads': 6, 'hidden_dimension': 191, 'number_of_hidden_layers': 3, 'dropout_rate': 0.4520408622302629, 'global_pooling': 'sum', 'learning_rate': 0.0009486744895591994, 'weight_decay': 1.1744968397062813e-06, 'beta_0': 0.8655303996123901, 'beta_1': 0.9828048539566632, 'epsilon': 1.3873874828985994e-06, 'balanced_loss': False, 'epochs': 147, 'early_stopping_patience': 17, 'plateau_patience': 19, 'plateau_divider': 3}. Best is trial 133 with value: 0.896969696969697.
[I 2025-02-28 04:20:31,661] Trial 171 finished with value: 0.8181818181818182 and parameters: {'left_stride': 128, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9987277219151328, 'batch_size': 29, 'attention_heads': 7, 'hidden_dimension': 59, 'number_of_hidden_layers': 3, 'dropout_rate': 0.492270854693847, 'global_pooling': 'sum', 'learning_rate': 0.001192579890329783, 'weight_decay': 3.098118794974487e-06, 'beta_0': 0.8817978131111054, 'beta_1': 0.9894225483336468, 'epsilon': 9.027044920753304e-07, 'balanced_loss': True, 'epochs': 151, 'early_stopping_patience': 22, 'plateau_patience': 18, 'plateau_divider': 3}. Best is trial 133 with value: 0.896969696969697.
[I 2025-02-28 04:39:09,163] Trial 172 finished with value: 0.8606060606060606 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9946387759706762, 'batch_size': 36, 'attention_heads': 4, 'hidden_dimension': 201, 'number_of_hidden_layers': 1, 'dropout_rate': 0.46786396214562076, 'global_pooling': 'sum', 'learning_rate': 0.0005111260995701974, 'weight_decay': 0.0006757634307600967, 'beta_0': 0.8748525414077228, 'beta_1': 0.9933672864465415, 'epsilon': 1.0065980139180987e-07, 'balanced_loss': True, 'epochs': 169, 'early_stopping_patience': 23, 'plateau_patience': 16, 'plateau_divider': 4}. Best is trial 133 with value: 0.896969696969697.
[I 2025-02-28 04:56:14,741] Trial 173 finished with value: 0.8727272727272727 and parameters: {'left_stride': 128, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9954922053046078, 'batch_size': 28, 'attention_heads': 4, 'hidden_dimension': 186, 'number_of_hidden_layers': 3, 'dropout_rate': 0.4404355943245617, 'global_pooling': 'sum', 'learning_rate': 0.0013004639432244326, 'weight_decay': 2.2571928371158876e-06, 'beta_0': 0.8727299355005079, 'beta_1': 0.9882127467827723, 'epsilon': 1.0023515137018686e-06, 'balanced_loss': False, 'epochs': 198, 'early_stopping_patience': 24, 'plateau_patience': 20, 'plateau_divider': 3}. Best is trial 133 with value: 0.896969696969697.
[I 2025-02-28 05:14:06,364] Trial 174 finished with value: 0.8727272727272727 and parameters: {'left_stride': 128, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9909527781621197, 'batch_size': 27, 'attention_heads': 4, 'hidden_dimension': 189, 'number_of_hidden_layers': 3, 'dropout_rate': 0.4428316671179507, 'global_pooling': 'sum', 'learning_rate': 0.001610691121010888, 'weight_decay': 2.0746425342475394e-06, 'beta_0': 0.869036425542072, 'beta_1': 0.9886472602861553, 'epsilon': 1.2087667723867929e-06, 'balanced_loss': False, 'epochs': 193, 'early_stopping_patience': 19, 'plateau_patience': 20, 'plateau_divider': 3}. Best is trial 133 with value: 0.896969696969697.
[I 2025-02-28 05:30:28,896] Trial 175 finished with value: 0.8848484848484849 and parameters: {'left_stride': 128, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9943605226795732, 'batch_size': 27, 'attention_heads': 4, 'hidden_dimension': 80, 'number_of_hidden_layers': 3, 'dropout_rate': 0.42437205248461307, 'global_pooling': 'sum', 'learning_rate': 0.0007341391670317151, 'weight_decay': 2.7185028105863362e-06, 'beta_0': 0.871544802494733, 'beta_1': 0.9879032414904095, 'epsilon': 2.218026324144906e-06, 'balanced_loss': False, 'epochs': 197, 'early_stopping_patience': 24, 'plateau_patience': 21, 'plateau_divider': 3}. Best is trial 133 with value: 0.896969696969697.
[I 2025-02-28 05:49:31,696] Trial 176 finished with value: 0.8787878787878788 and parameters: {'left_stride': 128, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9918642451788037, 'batch_size': 31, 'attention_heads': 12, 'hidden_dimension': 79, 'number_of_hidden_layers': 3, 'dropout_rate': 0.40648602103615433, 'global_pooling': 'sum', 'learning_rate': 0.0007475831673047461, 'weight_decay': 2.824914041204059e-06, 'beta_0': 0.8786796026806055, 'beta_1': 0.9876816698885397, 'epsilon': 7.18251146954391e-07, 'balanced_loss': False, 'epochs': 187, 'early_stopping_patience': 25, 'plateau_patience': 21, 'plateau_divider': 4}. Best is trial 133 with value: 0.896969696969697.
[I 2025-02-28 06:05:03,388] Trial 177 finished with value: 0.8787878787878788 and parameters: {'left_stride': 128, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9934794127809575, 'batch_size': 23, 'attention_heads': 4, 'hidden_dimension': 68, 'number_of_hidden_layers': 3, 'dropout_rate': 0.4228984472170146, 'global_pooling': 'sum', 'learning_rate': 0.000996181886977813, 'weight_decay': 4.4011799712405105e-06, 'beta_0': 0.8764149720387098, 'beta_1': 0.9868337987209208, 'epsilon': 2.3958855007574123e-06, 'balanced_loss': False, 'epochs': 154, 'early_stopping_patience': 24, 'plateau_patience': 21, 'plateau_divider': 3}. Best is trial 133 with value: 0.896969696969697.
[I 2025-02-28 06:22:23,249] Trial 178 finished with value: 0.8848484848484849 and parameters: {'left_stride': 128, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.9862628955851583, 'batch_size': 26, 'attention_heads': 5, 'hidden_dimension': 82, 'number_of_hidden_layers': 2, 'dropout_rate': 0.41790026353055143, 'global_pooling': 'sum', 'learning_rate': 0.0006044132675056667, 'weight_decay': 3.499364397774393e-06, 'beta_0': 0.8714835388607518, 'beta_1': 0.9878522101623571, 'epsilon': 1.4468891405436478e-07, 'balanced_loss': False, 'epochs': 200, 'early_stopping_patience': 23, 'plateau_patience': 22, 'plateau_divider': 3}. Best is trial 133 with value: 0.896969696969697.
[I 2025-02-28 06:37:48,349] Trial 179 finished with value: 0.8484848484848485 and parameters: {'left_stride': 32, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.9863849886513645, 'batch_size': 24, 'attention_heads': 5, 'hidden_dimension': 81, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4123949717621676, 'global_pooling': 'sum', 'learning_rate': 0.0006186407434689977, 'weight_decay': 2.741435026483263e-06, 'beta_0': 0.8709346568464279, 'beta_1': 0.987112755647115, 'epsilon': 1.3792416784831256e-07, 'balanced_loss': True, 'epochs': 198, 'early_stopping_patience': 23, 'plateau_patience': 21, 'plateau_divider': 3}. Best is trial 133 with value: 0.896969696969697.
slurmstepd: error: *** JOB 15030020 ON gpu054 CANCELLED AT 2025-02-28T06:42:24 DUE TO TIME LIMIT ***
