[I 2025-03-08 09:47:42,326] Using an existing study with name 'IMDb-top_1000-GATv2-google-bert-bert-base-uncased-Surrogate-No_Aggregation-Random_Attentions-0.0-0.0' instead of creating a new one.
Token indices sequence length is longer than the specified maximum sequence length for this model (1147 > 512). Running this sequence through the model will result in indexing errors
[I 2025-03-08 10:02:30,500] Trial 204 finished with value: 0.9090909090909091 and parameters: {'left_stride': 32, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.9627746528591149, 'batch_size': 17, 'attention_heads': 4, 'hidden_dimension': 117, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5771675205960727, 'global_pooling': 'mean', 'learning_rate': 0.0007075976117791731, 'weight_decay': 1.455372902170249e-06, 'beta_0': 0.8618855481570443, 'beta_1': 0.9835759787803888, 'epsilon': 3.1373393510833834e-07, 'balanced_loss': True, 'epochs': 184, 'early_stopping_patience': 18, 'plateau_patience': 17, 'plateau_divider': 8}. Best is trial 151 with value: 0.9212121212121213.
[I 2025-03-08 19:48:18,262] Trial 238 finished with value: 0.9030303030303031 and parameters: {'left_stride': 256, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.9698810306952076, 'batch_size': 21, 'attention_heads': 4, 'hidden_dimension': 124, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5765363172850202, 'global_pooling': 'mean', 'learning_rate': 0.00045049959529339616, 'weight_decay': 2.4084409410408696e-06, 'beta_0': 0.834614813666635, 'beta_1': 0.9826915457220158, 'epsilon': 5.538006489608254e-06, 'balanced_loss': True, 'epochs': 174, 'early_stopping_patience': 17, 'plateau_patience': 17, 'plateau_divider': 8}. Best is trial 151 with value: 0.9212121212121213.
[I 2025-03-08 20:05:22,785] Trial 239 finished with value: 0.9090909090909091 and parameters: {'left_stride': 256, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.9643023403274483, 'batch_size': 20, 'attention_heads': 4, 'hidden_dimension': 130, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5928154315803101, 'global_pooling': 'mean', 'learning_rate': 0.0006672599843666327, 'weight_decay': 1.4190527032967846e-06, 'beta_0': 0.8605425253917778, 'beta_1': 0.9940455074966158, 'epsilon': 7.812830109123293e-06, 'balanced_loss': True, 'epochs': 181, 'early_stopping_patience': 16, 'plateau_patience': 18, 'plateau_divider': 9}. Best is trial 151 with value: 0.9212121212121213.
[I 2025-03-08 20:21:01,080] Trial 240 finished with value: 0.9090909090909091 and parameters: {'left_stride': 32, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.9600952520317089, 'batch_size': 18, 'attention_heads': 5, 'hidden_dimension': 116, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5830069404688563, 'global_pooling': 'mean', 'learning_rate': 0.0005888597787176766, 'weight_decay': 1.2392996136753615e-06, 'beta_0': 0.8579398714367076, 'beta_1': 0.9836705943348661, 'epsilon': 3.884112827567942e-06, 'balanced_loss': True, 'epochs': 175, 'early_stopping_patience': 18, 'plateau_patience': 16, 'plateau_divider': 7}. Best is trial 151 with value: 0.9212121212121213.
CUDA out of memory. Tried to allocate 1.86 GiB. GPU 0 has a total capacity of 44.56 GiB of which 1.64 GiB is free. Including non-PyTorch memory, this process has 42.91 GiB memory in use. Of the allocated memory 38.96 GiB is allocated by PyTorch, and 2.80 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
[I 2025-03-08 20:29:35,477] Trial 241 finished with value: -1.0 and parameters: {'left_stride': 0, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.913664803275008, 'batch_size': 22, 'attention_heads': 4, 'hidden_dimension': 103, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5688728949492733, 'global_pooling': 'mean', 'learning_rate': 0.000772929852735973, 'weight_decay': 1.6118990169531389e-06, 'beta_0': 0.8705562139165598, 'beta_1': 0.9847433865880586, 'epsilon': 6.737167072343919e-07, 'balanced_loss': True, 'epochs': 178, 'early_stopping_patience': 25, 'plateau_patience': 15, 'plateau_divider': 8}. Best is trial 151 with value: 0.9212121212121213.
[I 2025-03-08 20:44:10,569] Trial 242 finished with value: 0.9151515151515152 and parameters: {'left_stride': 32, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.9638990389141836, 'batch_size': 19, 'attention_heads': 4, 'hidden_dimension': 112, 'number_of_hidden_layers': 0, 'dropout_rate': 0.591704917346299, 'global_pooling': 'mean', 'learning_rate': 0.0004634364037714359, 'weight_decay': 1.5055234036053506e-06, 'beta_0': 0.8616131896338353, 'beta_1': 0.9817990282228867, 'epsilon': 3.313957707847131e-07, 'balanced_loss': True, 'epochs': 167, 'early_stopping_patience': 16, 'plateau_patience': 17, 'plateau_divider': 8}. Best is trial 151 with value: 0.9212121212121213.
[I 2025-03-08 20:58:41,728] Trial 243 finished with value: 0.8909090909090909 and parameters: {'left_stride': 32, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.9657034515329256, 'batch_size': 19, 'attention_heads': 4, 'hidden_dimension': 111, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5968287366298409, 'global_pooling': 'mean', 'learning_rate': 0.00037836480524703166, 'weight_decay': 1.879204745901587e-06, 'beta_0': 0.8627966481582767, 'beta_1': 0.9814742096640783, 'epsilon': 3.6202940822573596e-07, 'balanced_loss': True, 'epochs': 172, 'early_stopping_patience': 16, 'plateau_patience': 17, 'plateau_divider': 8}. Best is trial 151 with value: 0.9212121212121213.
[I 2025-03-08 21:13:04,344] Trial 244 finished with value: 0.9030303030303031 and parameters: {'left_stride': 32, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.9634627852829939, 'batch_size': 20, 'attention_heads': 4, 'hidden_dimension': 107, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5871480344739028, 'global_pooling': 'mean', 'learning_rate': 0.0005151654167336875, 'weight_decay': 1.419517450635697e-06, 'beta_0': 0.8602421000524921, 'beta_1': 0.9821843032751458, 'epsilon': 3.2478643940148524e-07, 'balanced_loss': True, 'epochs': 168, 'early_stopping_patience': 16, 'plateau_patience': 17, 'plateau_divider': 8}. Best is trial 151 with value: 0.9212121212121213.
[I 2025-03-08 21:27:26,485] Trial 245 finished with value: 0.9030303030303031 and parameters: {'left_stride': 32, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.9618537384915123, 'batch_size': 17, 'attention_heads': 4, 'hidden_dimension': 114, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5917264215256193, 'global_pooling': 'mean', 'learning_rate': 0.00045053644580638256, 'weight_decay': 1.6470521402109943e-06, 'beta_0': 0.8648403253142659, 'beta_1': 0.9828990653373765, 'epsilon': 4.431401708510798e-06, 'balanced_loss': True, 'epochs': 183, 'early_stopping_patience': 13, 'plateau_patience': 17, 'plateau_divider': 8}. Best is trial 151 with value: 0.9212121212121213.
[I 2025-03-08 21:43:27,413] Trial 246 finished with value: 0.8909090909090909 and parameters: {'left_stride': 32, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.9900603382469123, 'batch_size': 19, 'attention_heads': 4, 'hidden_dimension': 211, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5997656674780928, 'global_pooling': 'mean', 'learning_rate': 0.00025731080005498875, 'weight_decay': 1.2273321565850106e-06, 'beta_0': 0.8612996950772803, 'beta_1': 0.9809727450906061, 'epsilon': 4.2152472533238575e-07, 'balanced_loss': True, 'epochs': 176, 'early_stopping_patience': 15, 'plateau_patience': 16, 'plateau_divider': 8}. Best is trial 151 with value: 0.9212121212121213.
[I 2025-03-08 21:58:34,943] Trial 247 finished with value: 0.896969696969697 and parameters: {'left_stride': 32, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.9672767017117372, 'batch_size': 18, 'attention_heads': 4, 'hidden_dimension': 120, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5798566698899568, 'global_pooling': 'mean', 'learning_rate': 0.0003191937735870817, 'weight_decay': 1.4443078727923458e-06, 'beta_0': 0.8582984672963491, 'beta_1': 0.9825009491184946, 'epsilon': 1.118948019425197e-06, 'balanced_loss': True, 'epochs': 180, 'early_stopping_patience': 16, 'plateau_patience': 18, 'plateau_divider': 8}. Best is trial 151 with value: 0.9212121212121213.
[I 2025-03-08 22:13:16,789] Trial 248 finished with value: 0.8787878787878788 and parameters: {'left_stride': 32, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.9650311479080846, 'batch_size': 17, 'attention_heads': 4, 'hidden_dimension': 109, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5865773645390212, 'global_pooling': 'max', 'learning_rate': 0.0005434293806078444, 'weight_decay': 1.0028396867722792e-06, 'beta_0': 0.8668678910163999, 'beta_1': 0.9832782212755642, 'epsilon': 6.006062138387017e-06, 'balanced_loss': True, 'epochs': 186, 'early_stopping_patience': 18, 'plateau_patience': 17, 'plateau_divider': 8}. Best is trial 151 with value: 0.9212121212121213.
[I 2025-03-08 22:27:56,109] Trial 249 finished with value: 0.9030303030303031 and parameters: {'left_stride': 32, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.9397964527306283, 'batch_size': 20, 'attention_heads': 4, 'hidden_dimension': 117, 'number_of_hidden_layers': 0, 'dropout_rate': 0.44551188737619946, 'global_pooling': 'mean', 'learning_rate': 0.0006748768230435471, 'weight_decay': 2.1212645882341286e-06, 'beta_0': 0.8623588178642156, 'beta_1': 0.981788093299368, 'epsilon': 3.4008970756843056e-06, 'balanced_loss': True, 'epochs': 166, 'early_stopping_patience': 11, 'plateau_patience': 17, 'plateau_divider': 8}. Best is trial 151 with value: 0.9212121212121213.
[I 2025-03-08 22:42:19,132] Trial 250 finished with value: 0.8848484848484849 and parameters: {'left_stride': 32, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.9688757050847212, 'batch_size': 21, 'attention_heads': 5, 'hidden_dimension': 102, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5938846979669065, 'global_pooling': 'mean', 'learning_rate': 0.00041229053680563765, 'weight_decay': 1.8400737674853486e-06, 'beta_0': 0.8204051831795593, 'beta_1': 0.9829962037483012, 'epsilon': 2.6132456726423326e-07, 'balanced_loss': True, 'epochs': 177, 'early_stopping_patience': 17, 'plateau_patience': 19, 'plateau_divider': 8}. Best is trial 151 with value: 0.9212121212121213.
[I 2025-03-08 23:00:02,564] Trial 251 finished with value: 0.9090909090909091 and parameters: {'left_stride': 256, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.9584654023887399, 'batch_size': 23, 'attention_heads': 4, 'hidden_dimension': 112, 'number_of_hidden_layers': 0, 'dropout_rate': 0.580286741231845, 'global_pooling': 'mean', 'learning_rate': 0.0010030021595454734, 'weight_decay': 1.6010081486935128e-06, 'beta_0': 0.8648911144464443, 'beta_1': 0.982095398106496, 'epsilon': 5.44288276300271e-07, 'balanced_loss': True, 'epochs': 173, 'early_stopping_patience': 16, 'plateau_patience': 18, 'plateau_divider': 8}. Best is trial 151 with value: 0.9212121212121213.
[I 2025-03-08 23:14:29,821] Trial 252 finished with value: 0.8909090909090909 and parameters: {'left_stride': 32, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.9623944908414916, 'batch_size': 19, 'attention_heads': 4, 'hidden_dimension': 96, 'number_of_hidden_layers': 0, 'dropout_rate': 0.4597161452301908, 'global_pooling': 'mean', 'learning_rate': 0.0005419771737122066, 'weight_decay': 1.2699355448352716e-06, 'beta_0': 0.868644793149444, 'beta_1': 0.9837156972349331, 'epsilon': 4.9550370448326276e-06, 'balanced_loss': True, 'epochs': 181, 'early_stopping_patience': 18, 'plateau_patience': 16, 'plateau_divider': 8}. Best is trial 151 with value: 0.9212121212121213.
CUDA out of memory. Tried to allocate 3.45 GiB. GPU 0 has a total capacity of 44.56 GiB of which 2.81 GiB is free. Including non-PyTorch memory, this process has 41.74 GiB memory in use. Of the allocated memory 37.77 GiB is allocated by PyTorch, and 2.82 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
[I 2025-03-08 23:30:25,405] Trial 253 finished with value: -1.0 and parameters: {'left_stride': 32, 'right_stride': 256, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.9656206717935117, 'batch_size': 18, 'attention_heads': 15, 'hidden_dimension': 122, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5894852110587345, 'global_pooling': 'mean', 'learning_rate': 0.0003624511151799299, 'weight_decay': 1.4349597268246449e-06, 'beta_0': 0.8563746312212395, 'beta_1': 0.99186655958944, 'epsilon': 3.349351445776103e-07, 'balanced_loss': True, 'epochs': 184, 'early_stopping_patience': 17, 'plateau_patience': 19, 'plateau_divider': 8}. Best is trial 151 with value: 0.9212121212121213.
[I 2025-03-08 23:44:38,748] Trial 254 finished with value: 0.9151515151515152 and parameters: {'left_stride': 32, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.9717823533489488, 'batch_size': 16, 'attention_heads': 4, 'hidden_dimension': 106, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5731537364446122, 'global_pooling': 'mean', 'learning_rate': 0.0007813342831918948, 'weight_decay': 3.535248126889864e-05, 'beta_0': 0.8594007079406126, 'beta_1': 0.9813991479326201, 'epsilon': 6.57318840750401e-06, 'balanced_loss': True, 'epochs': 171, 'early_stopping_patience': 14, 'plateau_patience': 17, 'plateau_divider': 8}. Best is trial 151 with value: 0.9212121212121213.
[I 2025-03-08 23:59:21,256] Trial 255 finished with value: 0.8787878787878788 and parameters: {'left_stride': 32, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.9720900525941975, 'batch_size': 16, 'attention_heads': 4, 'hidden_dimension': 106, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5733054603230536, 'global_pooling': 'sum', 'learning_rate': 0.0004638263168382276, 'weight_decay': 4.870240780506477e-05, 'beta_0': 0.8584919587584456, 'beta_1': 0.9812766132762923, 'epsilon': 6.909694120202528e-06, 'balanced_loss': True, 'epochs': 169, 'early_stopping_patience': 13, 'plateau_patience': 17, 'plateau_divider': 8}. Best is trial 151 with value: 0.9212121212121213.
[I 2025-03-09 00:16:42,849] Trial 256 finished with value: 0.9030303030303031 and parameters: {'left_stride': 256, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.974943167340652, 'batch_size': 16, 'attention_heads': 4, 'hidden_dimension': 101, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5651554576057413, 'global_pooling': 'mean', 'learning_rate': 0.0006310862542727607, 'weight_decay': 1.2274261508027904e-06, 'beta_0': 0.86318263236924, 'beta_1': 0.98586269221843, 'epsilon': 5.90675274047275e-06, 'balanced_loss': True, 'epochs': 171, 'early_stopping_patience': 14, 'plateau_patience': 16, 'plateau_divider': 8}. Best is trial 151 with value: 0.9212121212121213.
[I 2025-03-09 00:26:28,505] Trial 257 finished with value: 0.8848484848484849 and parameters: {'left_stride': 32, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.9710004077594313, 'batch_size': 17, 'attention_heads': 5, 'hidden_dimension': 128, 'number_of_hidden_layers': 0, 'dropout_rate': 0.4521816493909054, 'global_pooling': 'mean', 'learning_rate': 0.000863034811095941, 'weight_decay': 3.8231703800124456e-05, 'beta_0': 0.8597441252489205, 'beta_1': 0.9808872010988394, 'epsilon': 5.225158066649595e-08, 'balanced_loss': True, 'epochs': 175, 'early_stopping_patience': 14, 'plateau_patience': 18, 'plateau_divider': 8}. Best is trial 151 with value: 0.9212121212121213.
[I 2025-03-09 00:40:37,926] Trial 258 finished with value: 0.896969696969697 and parameters: {'left_stride': 0, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.9732006005154723, 'batch_size': 17, 'attention_heads': 4, 'hidden_dimension': 221, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5755970121315984, 'global_pooling': 'mean', 'learning_rate': 0.0154033431805622, 'weight_decay': 2.818625287008729e-05, 'beta_0': 0.8644581740531677, 'beta_1': 0.9814568191537084, 'epsilon': 8.559689218695801e-06, 'balanced_loss': True, 'epochs': 172, 'early_stopping_patience': 15, 'plateau_patience': 17, 'plateau_divider': 9}. Best is trial 151 with value: 0.9212121212121213.
[I 2025-03-09 00:54:54,551] Trial 259 finished with value: 0.9090909090909091 and parameters: {'left_stride': 32, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.9697385725806318, 'batch_size': 18, 'attention_heads': 4, 'hidden_dimension': 107, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5826753077883765, 'global_pooling': 'mean', 'learning_rate': 0.0015614889147772463, 'weight_decay': 3.437166061614638e-05, 'beta_0': 0.85374411840019, 'beta_1': 0.9816988800731543, 'epsilon': 4.0203684063302154e-07, 'balanced_loss': True, 'epochs': 165, 'early_stopping_patience': 14, 'plateau_patience': 17, 'plateau_divider': 7}. Best is trial 151 with value: 0.9212121212121213.
[I 2025-03-09 01:09:36,476] Trial 260 finished with value: 0.896969696969697 and parameters: {'left_stride': 32, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9677754130685926, 'batch_size': 16, 'attention_heads': 4, 'hidden_dimension': 115, 'number_of_hidden_layers': 0, 'dropout_rate': 0.571859598477697, 'global_pooling': 'mean', 'learning_rate': 0.00030495542134080376, 'weight_decay': 1.850800735403415e-06, 'beta_0': 0.8562153034566793, 'beta_1': 0.9844233951919317, 'epsilon': 8.330272095725704e-07, 'balanced_loss': True, 'epochs': 188, 'early_stopping_patience': 15, 'plateau_patience': 18, 'plateau_divider': 8}. Best is trial 151 with value: 0.9212121212121213.
CUDA out of memory. Tried to allocate 2.09 GiB. GPU 0 has a total capacity of 44.56 GiB of which 482.69 MiB is free. Including non-PyTorch memory, this process has 44.08 GiB memory in use. Of the allocated memory 40.92 GiB is allocated by PyTorch, and 2.01 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
[I 2025-03-09 01:24:32,573] Trial 261 finished with value: -1.0 and parameters: {'left_stride': 256, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.9301563021959678, 'batch_size': 19, 'attention_heads': 5, 'hidden_dimension': 132, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5615787783409729, 'global_pooling': 'mean', 'learning_rate': 0.0003958807606596407, 'weight_decay': 1.1727706152166986e-06, 'beta_0': 0.8604665741827027, 'beta_1': 0.981089535341359, 'epsilon': 3.06460404164224e-07, 'balanced_loss': True, 'epochs': 178, 'early_stopping_patience': 19, 'plateau_patience': 17, 'plateau_divider': 8}. Best is trial 151 with value: 0.9212121212121213.
[I 2025-03-09 01:39:03,420] Trial 262 finished with value: 0.9030303030303031 and parameters: {'left_stride': 32, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.9607607076519818, 'batch_size': 35, 'attention_heads': 4, 'hidden_dimension': 119, 'number_of_hidden_layers': 0, 'dropout_rate': 0.583782536482573, 'global_pooling': 'mean', 'learning_rate': 0.0011184226691885654, 'weight_decay': 3.86130401205873e-05, 'beta_0': 0.8657642936892093, 'beta_1': 0.983403739357511, 'epsilon': 7.64234718720229e-06, 'balanced_loss': True, 'epochs': 175, 'early_stopping_patience': 13, 'plateau_patience': 16, 'plateau_divider': 9}. Best is trial 151 with value: 0.9212121212121213.
[I 2025-03-09 01:53:34,840] Trial 263 finished with value: 0.896969696969697 and parameters: {'left_stride': 32, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.9734373504978147, 'batch_size': 22, 'attention_heads': 4, 'hidden_dimension': 140, 'number_of_hidden_layers': 0, 'dropout_rate': 0.4363379435972223, 'global_pooling': 'mean', 'learning_rate': 0.0005104784084354351, 'weight_decay': 1.4363330029804027e-06, 'beta_0': 0.862583163552028, 'beta_1': 0.9805000898062383, 'epsilon': 6.183834599821461e-06, 'balanced_loss': True, 'epochs': 168, 'early_stopping_patience': 18, 'plateau_patience': 18, 'plateau_divider': 8}. Best is trial 151 with value: 0.9212121212121213.
[I 2025-03-09 03:11:03,983] Trial 264 finished with value: 0.896969696969697 and parameters: {'left_stride': 32, 'right_stride': 256, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.9630484050069688, 'batch_size': 42, 'attention_heads': 4, 'hidden_dimension': 105, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5950482410995968, 'global_pooling': 'mean', 'learning_rate': 0.040770296098192195, 'weight_decay': 2.103231740013532e-06, 'beta_0': 0.8576850605580989, 'beta_1': 0.983987845234452, 'epsilon': 4.924153588807001e-07, 'balanced_loss': True, 'epochs': 191, 'early_stopping_patience': 24, 'plateau_patience': 16, 'plateau_divider': 8}. Best is trial 151 with value: 0.9212121212121213.
[I 2025-03-09 03:28:23,987] Trial 265 finished with value: 0.9090909090909091 and parameters: {'left_stride': 256, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.9662506117809169, 'batch_size': 18, 'attention_heads': 4, 'hidden_dimension': 97, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5998583447418183, 'global_pooling': 'mean', 'learning_rate': 0.0007208409047709708, 'weight_decay': 1.601177933329774e-06, 'beta_0': 0.8028060834705113, 'beta_1': 0.982727446826714, 'epsilon': 5.101560518927233e-06, 'balanced_loss': True, 'epochs': 179, 'early_stopping_patience': 14, 'plateau_patience': 17, 'plateau_divider': 8}. Best is trial 151 with value: 0.9212121212121213.
[I 2025-03-09 03:42:58,884] Trial 266 finished with value: 0.9030303030303031 and parameters: {'left_stride': 32, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.9697600167825824, 'batch_size': 20, 'attention_heads': 5, 'hidden_dimension': 111, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5064050124059195, 'global_pooling': 'mean', 'learning_rate': 0.0002371952278558158, 'weight_decay': 1.7820627996841895e-06, 'beta_0': 0.8681295517378921, 'beta_1': 0.9808466209727641, 'epsilon': 3.9463145306374006e-06, 'balanced_loss': True, 'epochs': 183, 'early_stopping_patience': 22, 'plateau_patience': 17, 'plateau_divider': 7}. Best is trial 151 with value: 0.9212121212121213.
[I 2025-03-09 03:57:45,430] Trial 267 finished with value: 0.8909090909090909 and parameters: {'left_stride': 32, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9595125306430159, 'batch_size': 38, 'attention_heads': 4, 'hidden_dimension': 126, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5872383189159628, 'global_pooling': 'mean', 'learning_rate': 0.0005864260186463567, 'weight_decay': 1.1218626583052638e-06, 'beta_0': 0.861111255220721, 'beta_1': 0.9819651925690933, 'epsilon': 7.190491561041734e-07, 'balanced_loss': True, 'epochs': 173, 'early_stopping_patience': 16, 'plateau_patience': 18, 'plateau_divider': 8}. Best is trial 151 with value: 0.9212121212121213.
[I 2025-03-09 04:15:36,708] Trial 268 finished with value: 0.9030303030303031 and parameters: {'left_stride': 256, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.9677822099165875, 'batch_size': 21, 'attention_heads': 4, 'hidden_dimension': 116, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5782009425761279, 'global_pooling': 'mean', 'learning_rate': 0.00044234184764722835, 'weight_decay': 1.343808805578826e-06, 'beta_0': 0.8637135544063808, 'beta_1': 0.9831444577498022, 'epsilon': 3.542784710946628e-07, 'balanced_loss': True, 'epochs': 177, 'early_stopping_patience': 18, 'plateau_patience': 19, 'plateau_divider': 8}. Best is trial 151 with value: 0.9212121212121213.
[I 2025-03-09 04:25:08,139] Trial 269 finished with value: 0.896969696969697 and parameters: {'left_stride': 32, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.9637180827689871, 'batch_size': 19, 'attention_heads': 4, 'hidden_dimension': 101, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5450908567844754, 'global_pooling': 'mean', 'learning_rate': 0.0009035508608330441, 'weight_decay': 2.271468149211159e-06, 'beta_0': 0.8598652948816258, 'beta_1': 0.9815074383923094, 'epsilon': 2.369842108583052e-07, 'balanced_loss': True, 'epochs': 169, 'early_stopping_patience': 16, 'plateau_patience': 17, 'plateau_divider': 8}. Best is trial 151 with value: 0.9212121212121213.
[I 2025-03-09 04:42:24,244] Trial 270 finished with value: 0.896969696969697 and parameters: {'left_stride': 32, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.9613945361425149, 'batch_size': 45, 'attention_heads': 5, 'hidden_dimension': 108, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5922976620959473, 'global_pooling': 'mean', 'learning_rate': 0.00034426413756679264, 'weight_decay': 2.9062676515904624e-05, 'beta_0': 0.8655954795603271, 'beta_1': 0.9836344322231301, 'epsilon': 4.075026210487543e-07, 'balanced_loss': True, 'epochs': 185, 'early_stopping_patience': 19, 'plateau_patience': 16, 'plateau_divider': 8}. Best is trial 151 with value: 0.9212121212121213.
[I 2025-03-09 04:56:04,443] Trial 271 finished with value: 0.8909090909090909 and parameters: {'left_stride': 0, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.9760663826080411, 'batch_size': 17, 'attention_heads': 4, 'hidden_dimension': 123, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5846632595701541, 'global_pooling': 'max', 'learning_rate': 0.0006272470193576947, 'weight_decay': 5.1923093818896016e-05, 'beta_0': 0.858798072384767, 'beta_1': 0.9826427634550644, 'epsilon': 5.757360029287522e-07, 'balanced_loss': True, 'epochs': 181, 'early_stopping_patience': 15, 'plateau_patience': 17, 'plateau_divider': 7}. Best is trial 151 with value: 0.9212121212121213.
