[I 2025-02-28 11:05:19,641] Using an existing study with name 'IMDb-top_1000-GATv2-google-bert-bert-base-uncased-Surrogate-No_Aggregation-No_Ablation-1.0-0.75' instead of creating a new one.
Token indices sequence length is longer than the specified maximum sequence length for this model (1147 > 512). Running this sequence through the model will result in indexing errors
[I 2025-02-28 11:18:06,573] Trial 181 finished with value: 0.8424242424242424 and parameters: {'left_stride': 128, 'right_stride': 32, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.9822267211422386, 'batch_size': 30, 'attention_heads': 5, 'hidden_dimension': 86, 'number_of_hidden_layers': 2, 'dropout_rate': 0.41388127302606703, 'global_pooling': 'sum', 'learning_rate': 0.0004255007010130252, 'weight_decay': 3.157563469561803e-06, 'beta_0': 0.88019278869442, 'beta_1': 0.9864667645945536, 'epsilon': 1.7055412251468782e-07, 'balanced_loss': False, 'epochs': 196, 'early_stopping_patience': 23, 'plateau_patience': 18, 'plateau_divider': 7}. Best is trial 133 with value: 0.896969696969697.
[I 2025-02-28 20:45:53,010] Trial 215 finished with value: 0.8666666666666667 and parameters: {'left_stride': 128, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9888910668566713, 'batch_size': 24, 'attention_heads': 9, 'hidden_dimension': 130, 'number_of_hidden_layers': 1, 'dropout_rate': 0.445699637101541, 'global_pooling': 'sum', 'learning_rate': 0.001037664510592726, 'weight_decay': 2.077004732598683e-06, 'beta_0': 0.8581619600747336, 'beta_1': 0.9884308056195107, 'epsilon': 9.075200919849888e-05, 'balanced_loss': True, 'epochs': 152, 'early_stopping_patience': 23, 'plateau_patience': 19, 'plateau_divider': 3}. Best is trial 195 with value: 0.9030303030303031.
[I 2025-02-28 21:02:05,726] Trial 216 finished with value: 0.8666666666666667 and parameters: {'left_stride': 128, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9957976286211115, 'batch_size': 23, 'attention_heads': 4, 'hidden_dimension': 107, 'number_of_hidden_layers': 3, 'dropout_rate': 0.4193963614925776, 'global_pooling': 'sum', 'learning_rate': 0.0006449075689968706, 'weight_decay': 3.1643342792224455e-06, 'beta_0': 0.8515494204557671, 'beta_1': 0.9888541224161744, 'epsilon': 1.2035027513265222e-06, 'balanced_loss': True, 'epochs': 161, 'early_stopping_patience': 24, 'plateau_patience': 16, 'plateau_divider': 3}. Best is trial 195 with value: 0.9030303030303031.
[I 2025-02-28 21:18:01,785] Trial 217 finished with value: 0.8666666666666667 and parameters: {'left_stride': 128, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9919584215890609, 'batch_size': 26, 'attention_heads': 5, 'hidden_dimension': 70, 'number_of_hidden_layers': 1, 'dropout_rate': 0.3788756712891915, 'global_pooling': 'sum', 'learning_rate': 0.0008748711986475489, 'weight_decay': 2.7441412197381048e-06, 'beta_0': 0.8820860789896313, 'beta_1': 0.9877173409242639, 'epsilon': 8.228589810251008e-08, 'balanced_loss': True, 'epochs': 158, 'early_stopping_patience': 23, 'plateau_patience': 18, 'plateau_divider': 3}. Best is trial 195 with value: 0.9030303030303031.
[I 2025-02-28 21:40:29,470] Trial 218 finished with value: 0.8727272727272727 and parameters: {'left_stride': 128, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9848730102541982, 'batch_size': 25, 'attention_heads': 4, 'hidden_dimension': 189, 'number_of_hidden_layers': 3, 'dropout_rate': 0.44307710099122255, 'global_pooling': 'sum', 'learning_rate': 0.0007265409454213408, 'weight_decay': 1.6382346706881042e-06, 'beta_0': 0.8544100148364309, 'beta_1': 0.9880251306623831, 'epsilon': 1.0538294710984624e-07, 'balanced_loss': True, 'epochs': 156, 'early_stopping_patience': 22, 'plateau_patience': 20, 'plateau_divider': 3}. Best is trial 195 with value: 0.9030303030303031.
[I 2025-02-28 21:56:19,183] Trial 219 finished with value: 0.8666666666666667 and parameters: {'left_stride': 128, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9940787064037127, 'batch_size': 28, 'attention_heads': 4, 'hidden_dimension': 178, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5010754621162145, 'global_pooling': 'sum', 'learning_rate': 0.002050736952893506, 'weight_decay': 0.0004652810075407144, 'beta_0': 0.8722137172071207, 'beta_1': 0.9869243177688634, 'epsilon': 7.147101922580038e-08, 'balanced_loss': True, 'epochs': 196, 'early_stopping_patience': 24, 'plateau_patience': 19, 'plateau_divider': 4}. Best is trial 195 with value: 0.9030303030303031.
[I 2025-02-28 22:10:49,701] Trial 220 finished with value: 0.8545454545454545 and parameters: {'left_stride': 64, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.9981113309440465, 'batch_size': 29, 'attention_heads': 4, 'hidden_dimension': 122, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4139461773566601, 'global_pooling': 'sum', 'learning_rate': 0.0010307174454123528, 'weight_decay': 3.6711702568795575e-06, 'beta_0': 0.8745264469400207, 'beta_1': 0.9805184579947925, 'epsilon': 1.9588007755447583e-07, 'balanced_loss': True, 'epochs': 150, 'early_stopping_patience': 25, 'plateau_patience': 17, 'plateau_divider': 3}. Best is trial 195 with value: 0.9030303030303031.
[I 2025-02-28 22:25:06,461] Trial 221 finished with value: 0.8484848484848485 and parameters: {'left_stride': 128, 'right_stride': 0, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.987444046222503, 'batch_size': 25, 'attention_heads': 5, 'hidden_dimension': 192, 'number_of_hidden_layers': 3, 'dropout_rate': 0.4648873170384579, 'global_pooling': 'sum', 'learning_rate': 0.0005278642625662286, 'weight_decay': 0.0008989580629696878, 'beta_0': 0.8788337302103024, 'beta_1': 0.9861932281665944, 'epsilon': 1.325291559011793e-07, 'balanced_loss': False, 'epochs': 200, 'early_stopping_patience': 20, 'plateau_patience': 20, 'plateau_divider': 3}. Best is trial 195 with value: 0.9030303030303031.
[I 2025-02-28 22:45:04,735] Trial 222 finished with value: 0.7818181818181819 and parameters: {'left_stride': 32, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9910407915013203, 'batch_size': 27, 'attention_heads': 4, 'hidden_dimension': 114, 'number_of_hidden_layers': 3, 'dropout_rate': 0.47090056035133177, 'global_pooling': 'max', 'learning_rate': 4.797906149834099e-05, 'weight_decay': 0.0003888296553481174, 'beta_0': 0.8762284359038217, 'beta_1': 0.9885319056468497, 'epsilon': 4.751006160891089e-07, 'balanced_loss': True, 'epochs': 153, 'early_stopping_patience': 23, 'plateau_patience': 19, 'plateau_divider': 5}. Best is trial 195 with value: 0.9030303030303031.
[I 2025-02-28 23:07:25,795] Trial 223 finished with value: 0.8727272727272727 and parameters: {'left_stride': 128, 'right_stride': 256, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.989370242042512, 'batch_size': 24, 'attention_heads': 5, 'hidden_dimension': 221, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4349326788469373, 'global_pooling': 'sum', 'learning_rate': 0.0006172589957647992, 'weight_decay': 8.156953875530978e-06, 'beta_0': 0.8806196076767523, 'beta_1': 0.987295973223204, 'epsilon': 9.091203491602484e-08, 'balanced_loss': False, 'epochs': 162, 'early_stopping_patience': 24, 'plateau_patience': 18, 'plateau_divider': 7}. Best is trial 195 with value: 0.9030303030303031.
[I 2025-02-28 23:25:49,402] Trial 224 finished with value: 0.8787878787878788 and parameters: {'left_stride': 128, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9936585444517607, 'batch_size': 26, 'attention_heads': 4, 'hidden_dimension': 197, 'number_of_hidden_layers': 3, 'dropout_rate': 0.45493094009257534, 'global_pooling': 'sum', 'learning_rate': 0.0012011158265616245, 'weight_decay': 1.4089390575993593e-06, 'beta_0': 0.8695438671502993, 'beta_1': 0.9880609032129243, 'epsilon': 8.611576080286532e-07, 'balanced_loss': False, 'epochs': 190, 'early_stopping_patience': 24, 'plateau_patience': 19, 'plateau_divider': 3}. Best is trial 195 with value: 0.9030303030303031.
[I 2025-02-28 23:44:25,473] Trial 225 finished with value: 0.8727272727272727 and parameters: {'left_stride': 128, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9915737188704715, 'batch_size': 26, 'attention_heads': 4, 'hidden_dimension': 194, 'number_of_hidden_layers': 3, 'dropout_rate': 0.4530960602525095, 'global_pooling': 'sum', 'learning_rate': 0.001159784775556827, 'weight_decay': 1.2131066684936147e-06, 'beta_0': 0.8688510038358023, 'beta_1': 0.9888687297978029, 'epsilon': 6.05507504954772e-07, 'balanced_loss': False, 'epochs': 186, 'early_stopping_patience': 24, 'plateau_patience': 19, 'plateau_divider': 3}. Best is trial 195 with value: 0.9030303030303031.
[I 2025-03-01 00:00:22,479] Trial 226 finished with value: 0.8787878787878788 and parameters: {'left_stride': 128, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9954923192344866, 'batch_size': 25, 'attention_heads': 4, 'hidden_dimension': 83, 'number_of_hidden_layers': 3, 'dropout_rate': 0.44520771357554745, 'global_pooling': 'sum', 'learning_rate': 0.0014369072327431339, 'weight_decay': 1.3675905436006221e-06, 'beta_0': 0.8645854909964644, 'beta_1': 0.9882671057315532, 'epsilon': 1.1741609693374474e-06, 'balanced_loss': False, 'epochs': 193, 'early_stopping_patience': 23, 'plateau_patience': 18, 'plateau_divider': 3}. Best is trial 195 with value: 0.9030303030303031.
[I 2025-03-01 00:20:20,096] Trial 227 finished with value: 0.8727272727272727 and parameters: {'left_stride': 128, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9899522500074843, 'batch_size': 36, 'attention_heads': 4, 'hidden_dimension': 184, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5190275006474838, 'global_pooling': 'sum', 'learning_rate': 0.0008585417808221065, 'weight_decay': 1.8520166101360804e-06, 'beta_0': 0.872760092013842, 'beta_1': 0.9877050157794787, 'epsilon': 9.675792105869998e-07, 'balanced_loss': False, 'epochs': 193, 'early_stopping_patience': 24, 'plateau_patience': 19, 'plateau_divider': 3}. Best is trial 195 with value: 0.9030303030303031.
[I 2025-03-01 00:39:05,315] Trial 228 finished with value: 0.8666666666666667 and parameters: {'left_stride': 128, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9870327146702728, 'batch_size': 23, 'attention_heads': 4, 'hidden_dimension': 206, 'number_of_hidden_layers': 3, 'dropout_rate': 0.44797781546020704, 'global_pooling': 'sum', 'learning_rate': 0.0009528610407937982, 'weight_decay': 5.136252536033467e-06, 'beta_0': 0.8599390413935317, 'beta_1': 0.9813064518523332, 'epsilon': 1.6334683666568509e-06, 'balanced_loss': False, 'epochs': 189, 'early_stopping_patience': 24, 'plateau_patience': 20, 'plateau_divider': 8}. Best is trial 195 with value: 0.9030303030303031.
[I 2025-03-01 01:02:32,986] Trial 229 finished with value: 0.8727272727272727 and parameters: {'left_stride': 256, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9926276117050367, 'batch_size': 24, 'attention_heads': 4, 'hidden_dimension': 200, 'number_of_hidden_layers': 3, 'dropout_rate': 0.4597161452301908, 'global_pooling': 'sum', 'learning_rate': 0.0007845063091962211, 'weight_decay': 2.3481167274876994e-06, 'beta_0': 0.8704475904014622, 'beta_1': 0.9890642212096608, 'epsilon': 7.247851152589551e-07, 'balanced_loss': True, 'epochs': 196, 'early_stopping_patience': 25, 'plateau_patience': 21, 'plateau_divider': 3}. Best is trial 195 with value: 0.9030303030303031.
[I 2025-03-01 01:17:58,610] Trial 230 finished with value: 0.8545454545454545 and parameters: {'left_stride': 128, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.9967782208267552, 'batch_size': 27, 'attention_heads': 4, 'hidden_dimension': 76, 'number_of_hidden_layers': 1, 'dropout_rate': 0.42477460194457445, 'global_pooling': 'sum', 'learning_rate': 0.00040372217135541436, 'weight_decay': 1.6557383475992974e-06, 'beta_0': 0.8561469980506697, 'beta_1': 0.9808186417312497, 'epsilon': 4.0662544446079256e-05, 'balanced_loss': True, 'epochs': 148, 'early_stopping_patience': 23, 'plateau_patience': 19, 'plateau_divider': 4}. Best is trial 195 with value: 0.9030303030303031.
[I 2025-03-01 01:34:28,437] Trial 231 finished with value: 0.8787878787878788 and parameters: {'left_stride': 128, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9941682860203974, 'batch_size': 28, 'attention_heads': 5, 'hidden_dimension': 110, 'number_of_hidden_layers': 3, 'dropout_rate': 0.4393888133930229, 'global_pooling': 'sum', 'learning_rate': 0.0017391035922412442, 'weight_decay': 2.541635911901947e-06, 'beta_0': 0.8741236311271815, 'beta_1': 0.9884866178364936, 'epsilon': 1.2529294351620913e-07, 'balanced_loss': False, 'epochs': 143, 'early_stopping_patience': 24, 'plateau_patience': 20, 'plateau_divider': 3}. Best is trial 195 with value: 0.9030303030303031.
[I 2025-03-01 01:48:49,813] Trial 232 finished with value: 0.8909090909090909 and parameters: {'left_stride': 128, 'right_stride': 0, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.9899594598878312, 'batch_size': 31, 'attention_heads': 5, 'hidden_dimension': 166, 'number_of_hidden_layers': 2, 'dropout_rate': 0.45404050007112007, 'global_pooling': 'sum', 'learning_rate': 0.0010747490413049966, 'weight_decay': 0.00023092325752141875, 'beta_0': 0.8776041915814053, 'beta_1': 0.983456276279538, 'epsilon': 2.537725619674605e-07, 'balanced_loss': True, 'epochs': 164, 'early_stopping_patience': 24, 'plateau_patience': 18, 'plateau_divider': 9}. Best is trial 195 with value: 0.9030303030303031.
[I 2025-03-01 02:03:22,701] Trial 233 finished with value: 0.8727272727272727 and parameters: {'left_stride': 128, 'right_stride': 0, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.9841127629171117, 'batch_size': 31, 'attention_heads': 6, 'hidden_dimension': 167, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5960416506610015, 'global_pooling': 'sum', 'learning_rate': 0.0006803439672688095, 'weight_decay': 0.0002445718138031811, 'beta_0': 0.8775947841573459, 'beta_1': 0.98264036427086, 'epsilon': 1.859259373771771e-07, 'balanced_loss': True, 'epochs': 166, 'early_stopping_patience': 22, 'plateau_patience': 17, 'plateau_divider': 6}. Best is trial 195 with value: 0.9030303030303031.
[I 2025-03-01 02:15:40,933] Trial 234 finished with value: 0.8606060606060606 and parameters: {'left_stride': 128, 'right_stride': 0, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.9906155528994458, 'batch_size': 34, 'attention_heads': 5, 'hidden_dimension': 171, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4522268867418752, 'global_pooling': 'sum', 'learning_rate': 0.0011443162916159725, 'weight_decay': 0.00030615409429718936, 'beta_0': 0.8825083647084643, 'beta_1': 0.9848514867071235, 'epsilon': 2.2935216714602128e-07, 'balanced_loss': True, 'epochs': 164, 'early_stopping_patience': 24, 'plateau_patience': 18, 'plateau_divider': 9}. Best is trial 195 with value: 0.9030303030303031.
[I 2025-03-01 02:28:04,200] Trial 235 finished with value: 0.6909090909090909 and parameters: {'left_stride': 128, 'right_stride': 0, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.987951035933596, 'batch_size': 30, 'attention_heads': 5, 'hidden_dimension': 178, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4564339804549062, 'global_pooling': 'sum', 'learning_rate': 0.0154033431805622, 'weight_decay': 0.00034950672187351867, 'beta_0': 0.8760625707751356, 'beta_1': 0.9832062178531371, 'epsilon': 3.8981069730276606e-07, 'balanced_loss': True, 'epochs': 120, 'early_stopping_patience': 24, 'plateau_patience': 19, 'plateau_divider': 9}. Best is trial 195 with value: 0.9030303030303031.
[I 2025-03-01 02:40:28,289] Trial 236 finished with value: 0.8545454545454545 and parameters: {'left_stride': 128, 'right_stride': 0, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.9923445708610561, 'batch_size': 31, 'attention_heads': 5, 'hidden_dimension': 164, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4646539534306124, 'global_pooling': 'sum', 'learning_rate': 0.0013573420320893816, 'weight_decay': 0.00021582181045393705, 'beta_0': 0.879363839273843, 'beta_1': 0.9878819140223644, 'epsilon': 3.1821442998086936e-07, 'balanced_loss': True, 'epochs': 158, 'early_stopping_patience': 25, 'plateau_patience': 18, 'plateau_divider': 10}. Best is trial 195 with value: 0.9030303030303031.
[I 2025-03-01 02:52:51,019] Trial 237 finished with value: 0.8848484848484849 and parameters: {'left_stride': 128, 'right_stride': 0, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.9895080736284059, 'batch_size': 25, 'attention_heads': 5, 'hidden_dimension': 161, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4488541626599661, 'global_pooling': 'sum', 'learning_rate': 0.0009908890327350226, 'weight_decay': 4.241559408408878e-06, 'beta_0': 0.8734170131222458, 'beta_1': 0.9832689012727935, 'epsilon': 1.5609604130112197e-07, 'balanced_loss': True, 'epochs': 174, 'early_stopping_patience': 24, 'plateau_patience': 18, 'plateau_divider': 3}. Best is trial 195 with value: 0.9030303030303031.
slurmstepd: error: *** JOB 15063705 ON gpu043 CANCELLED AT 2025-03-01T03:05:20 DUE TO TIME LIMIT ***
