[I 2025-03-03 01:12:21,951] Using an existing study with name 'IMDb-top_1000-GATv2-google-bert-bert-base-uncased-Surrogate-No_Aggregation-No_Ablation-1.0-0.75' instead of creating a new one.
Token indices sequence length is longer than the specified maximum sequence length for this model (1147 > 512). Running this sequence through the model will result in indexing errors
[I 2025-03-03 01:25:23,378] Trial 239 finished with value: 0.8727272727272727 and parameters: {'left_stride': 128, 'right_stride': 0, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.9889621284894846, 'batch_size': 26, 'attention_heads': 5, 'hidden_dimension': 170, 'number_of_hidden_layers': 2, 'dropout_rate': 0.44537876313691566, 'global_pooling': 'sum', 'learning_rate': 0.0009420859501279246, 'weight_decay': 3.954927351822918e-06, 'beta_0': 0.8740802813107488, 'beta_1': 0.9835593558824715, 'epsilon': 1.5737504124876363e-07, 'balanced_loss': True, 'epochs': 172, 'early_stopping_patience': 23, 'plateau_patience': 18, 'plateau_divider': 3}. Best is trial 195 with value: 0.9030303030303031.
[I 2025-03-03 09:48:29,594] Trial 272 finished with value: 0.8787878787878788 and parameters: {'left_stride': 128, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9939269265115755, 'batch_size': 27, 'attention_heads': 4, 'hidden_dimension': 184, 'number_of_hidden_layers': 2, 'dropout_rate': 0.43996239872760323, 'global_pooling': 'sum', 'learning_rate': 0.0003459318883702473, 'weight_decay': 6.36020468757597e-05, 'beta_0': 0.8819858675263769, 'beta_1': 0.9875426047241176, 'epsilon': 1.4447216660133888e-06, 'balanced_loss': True, 'epochs': 147, 'early_stopping_patience': 23, 'plateau_patience': 20, 'plateau_divider': 10}. Best is trial 195 with value: 0.9030303030303031.
[I 2025-03-03 09:58:40,284] Trial 273 finished with value: 0.8606060606060606 and parameters: {'left_stride': 128, 'right_stride': 32, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.997943754250301, 'batch_size': 29, 'attention_heads': 4, 'hidden_dimension': 193, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4214327666889257, 'global_pooling': 'sum', 'learning_rate': 0.000478291726709913, 'weight_decay': 5.412443551819777e-06, 'beta_0': 0.8855903563128595, 'beta_1': 0.9936952729715236, 'epsilon': 3.5784459903137235e-08, 'balanced_loss': True, 'epochs': 153, 'early_stopping_patience': 16, 'plateau_patience': 18, 'plateau_divider': 9}. Best is trial 195 with value: 0.9030303030303031.
[I 2025-03-03 10:13:42,385] Trial 274 finished with value: 0.8666666666666667 and parameters: {'left_stride': 0, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.986376775794567, 'batch_size': 25, 'attention_heads': 4, 'hidden_dimension': 86, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4591772525673433, 'global_pooling': 'sum', 'learning_rate': 0.0011674698348099217, 'weight_decay': 7.220453572218661e-06, 'beta_0': 0.8690015182256601, 'beta_1': 0.9880132846248333, 'epsilon': 7.960384480704794e-08, 'balanced_loss': False, 'epochs': 140, 'early_stopping_patience': 24, 'plateau_patience': 20, 'plateau_divider': 3}. Best is trial 195 with value: 0.9030303030303031.
[I 2025-03-03 10:32:04,415] Trial 275 finished with value: 0.8848484848484849 and parameters: {'left_stride': 128, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9905124128869454, 'batch_size': 28, 'attention_heads': 5, 'hidden_dimension': 188, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4273646900465374, 'global_pooling': 'sum', 'learning_rate': 0.0006305270370482839, 'weight_decay': 0.00046160863713797103, 'beta_0': 0.877535267220175, 'beta_1': 0.9886487412346368, 'epsilon': 3.2600156866987993e-07, 'balanced_loss': True, 'epochs': 193, 'early_stopping_patience': 24, 'plateau_patience': 21, 'plateau_divider': 3}. Best is trial 195 with value: 0.9030303030303031.
[I 2025-03-03 10:47:50,081] Trial 276 finished with value: 0.8242424242424242 and parameters: {'left_stride': 128, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9906812088584016, 'batch_size': 28, 'attention_heads': 5, 'hidden_dimension': 62, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4108700383026623, 'global_pooling': 'max', 'learning_rate': 0.0008584092556760282, 'weight_decay': 2.6721707075811634e-06, 'beta_0': 0.8779881391351453, 'beta_1': 0.9893428801875546, 'epsilon': 3.1780159744499095e-07, 'balanced_loss': True, 'epochs': 194, 'early_stopping_patience': 25, 'plateau_patience': 21, 'plateau_divider': 3}. Best is trial 195 with value: 0.9030303030303031.
[I 2025-03-03 11:10:52,967] Trial 277 finished with value: 0.8606060606060606 and parameters: {'left_stride': 128, 'right_stride': 32, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.995421848166844, 'batch_size': 33, 'attention_heads': 13, 'hidden_dimension': 182, 'number_of_hidden_layers': 3, 'dropout_rate': 0.42664522694875956, 'global_pooling': 'sum', 'learning_rate': 0.0006911898539119613, 'weight_decay': 0.0005352894796826119, 'beta_0': 0.8742322831023459, 'beta_1': 0.9886038932080569, 'epsilon': 3.612755972741687e-07, 'balanced_loss': False, 'epochs': 190, 'early_stopping_patience': 21, 'plateau_patience': 21, 'plateau_divider': 3}. Best is trial 195 with value: 0.9030303030303031.
[I 2025-03-03 11:27:51,235] Trial 278 finished with value: 0.8727272727272727 and parameters: {'left_stride': 128, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9927437642202918, 'batch_size': 29, 'attention_heads': 6, 'hidden_dimension': 189, 'number_of_hidden_layers': 1, 'dropout_rate': 0.43285794543170997, 'global_pooling': 'sum', 'learning_rate': 0.0009978874961560392, 'weight_decay': 0.0006483385912329548, 'beta_0': 0.8752850020937567, 'beta_1': 0.9890362623279944, 'epsilon': 4.2365582539691855e-07, 'balanced_loss': True, 'epochs': 196, 'early_stopping_patience': 23, 'plateau_patience': 22, 'plateau_divider': 3}. Best is trial 195 with value: 0.9030303030303031.
[I 2025-03-03 11:43:46,648] Trial 279 finished with value: 0.8242424242424242 and parameters: {'left_stride': 32, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9889776795914884, 'batch_size': 27, 'attention_heads': 5, 'hidden_dimension': 191, 'number_of_hidden_layers': 2, 'dropout_rate': 0.41583975184800254, 'global_pooling': 'sum', 'learning_rate': 0.0006094497950760617, 'weight_decay': 9.1090359070191e-06, 'beta_0': 0.8533787473698332, 'beta_1': 0.9943532790154133, 'epsilon': 2.799401379141253e-07, 'balanced_loss': False, 'epochs': 192, 'early_stopping_patience': 22, 'plateau_patience': 21, 'plateau_divider': 3}. Best is trial 195 with value: 0.9030303030303031.
[I 2025-03-03 12:01:54,099] Trial 280 finished with value: 0.8787878787878788 and parameters: {'left_stride': 128, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9941615484738674, 'batch_size': 30, 'attention_heads': 5, 'hidden_dimension': 177, 'number_of_hidden_layers': 3, 'dropout_rate': 0.42926606190326666, 'global_pooling': 'sum', 'learning_rate': 0.001327044837446806, 'weight_decay': 0.0005012398915232161, 'beta_0': 0.8792938626542297, 'beta_1': 0.9887434237641006, 'epsilon': 1.99096052268942e-07, 'balanced_loss': True, 'epochs': 200, 'early_stopping_patience': 24, 'plateau_patience': 21, 'plateau_divider': 3}. Best is trial 195 with value: 0.9030303030303031.
[I 2025-03-03 12:17:23,912] Trial 281 finished with value: 0.8363636363636363 and parameters: {'left_stride': 128, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9966670019575883, 'batch_size': 28, 'attention_heads': 5, 'hidden_dimension': 134, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4218954449513701, 'global_pooling': 'sum', 'learning_rate': 0.0008370455942075095, 'weight_decay': 0.0007506001288534706, 'beta_0': 0.8666523561921097, 'beta_1': 0.9881865698777113, 'epsilon': 4.9576603607160525e-05, 'balanced_loss': False, 'epochs': 186, 'early_stopping_patience': 24, 'plateau_patience': 16, 'plateau_divider': 3}. Best is trial 195 with value: 0.9030303030303031.
[I 2025-03-03 12:28:16,944] Trial 282 finished with value: 0.8606060606060606 and parameters: {'left_stride': 128, 'right_stride': 0, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.9909386917675411, 'batch_size': 40, 'attention_heads': 5, 'hidden_dimension': 83, 'number_of_hidden_layers': 2, 'dropout_rate': 0.44378306492766645, 'global_pooling': 'sum', 'learning_rate': 0.0004465289907462484, 'weight_decay': 0.0004512444436339167, 'beta_0': 0.8770170029247394, 'beta_1': 0.9871849148859914, 'epsilon': 2.517165254998369e-07, 'balanced_loss': True, 'epochs': 163, 'early_stopping_patience': 25, 'plateau_patience': 22, 'plateau_divider': 3}. Best is trial 195 with value: 0.9030303030303031.
[I 2025-03-03 12:51:30,366] Trial 283 finished with value: 0.8848484848484849 and parameters: {'left_stride': 128, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9924043170900992, 'batch_size': 31, 'attention_heads': 6, 'hidden_dimension': 169, 'number_of_hidden_layers': 3, 'dropout_rate': 0.4878859175602019, 'global_pooling': 'sum', 'learning_rate': 0.0007389141962765869, 'weight_decay': 3.2196233845578595e-06, 'beta_0': 0.8713962435353949, 'beta_1': 0.9899538757984097, 'epsilon': 3.4374961251519234e-07, 'balanced_loss': True, 'epochs': 197, 'early_stopping_patience': 24, 'plateau_patience': 23, 'plateau_divider': 3}. Best is trial 195 with value: 0.9030303030303031.
[I 2025-03-03 13:14:04,750] Trial 284 finished with value: 0.8545454545454545 and parameters: {'left_stride': 128, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9899310837504262, 'batch_size': 30, 'attention_heads': 6, 'hidden_dimension': 167, 'number_of_hidden_layers': 3, 'dropout_rate': 0.484086395723896, 'global_pooling': 'sum', 'learning_rate': 0.0010979912617944793, 'weight_decay': 3.1545083741055256e-06, 'beta_0': 0.8706446327760015, 'beta_1': 0.9901734678064883, 'epsilon': 3.6743783544602346e-07, 'balanced_loss': True, 'epochs': 198, 'early_stopping_patience': 24, 'plateau_patience': 25, 'plateau_divider': 3}. Best is trial 195 with value: 0.9030303030303031.
[I 2025-03-03 13:33:46,329] Trial 285 finished with value: 0.8787878787878788 and parameters: {'left_stride': 128, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9932020697651531, 'batch_size': 31, 'attention_heads': 7, 'hidden_dimension': 158, 'number_of_hidden_layers': 2, 'dropout_rate': 0.49185981855153343, 'global_pooling': 'sum', 'learning_rate': 0.0007390971307539059, 'weight_decay': 3.639469648321182e-06, 'beta_0': 0.8725741388490993, 'beta_1': 0.9899418135232932, 'epsilon': 4.885728273881709e-07, 'balanced_loss': False, 'epochs': 195, 'early_stopping_patience': 24, 'plateau_patience': 24, 'plateau_divider': 2}. Best is trial 195 with value: 0.9030303030303031.
[I 2025-03-03 13:54:50,270] Trial 286 finished with value: 0.8606060606060606 and parameters: {'left_stride': 128, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9879882902486691, 'batch_size': 32, 'attention_heads': 5, 'hidden_dimension': 171, 'number_of_hidden_layers': 3, 'dropout_rate': 0.4755810013371017, 'global_pooling': 'sum', 'learning_rate': 0.0009454536989243061, 'weight_decay': 2.3935773738286102e-06, 'beta_0': 0.8686461189601387, 'beta_1': 0.9891958931648623, 'epsilon': 3.1988476589257087e-07, 'balanced_loss': True, 'epochs': 194, 'early_stopping_patience': 23, 'plateau_patience': 24, 'plateau_divider': 3}. Best is trial 195 with value: 0.9030303030303031.
[I 2025-03-03 14:10:33,138] Trial 287 finished with value: 0.8424242424242424 and parameters: {'left_stride': 128, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9921423745213288, 'batch_size': 29, 'attention_heads': 4, 'hidden_dimension': 69, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4868896647520092, 'global_pooling': 'max', 'learning_rate': 0.0017120542242392142, 'weight_decay': 2.814173479687216e-06, 'beta_0': 0.8740841945082277, 'beta_1': 0.9812968545557526, 'epsilon': 1.784093569405223e-07, 'balanced_loss': False, 'epochs': 197, 'early_stopping_patience': 24, 'plateau_patience': 23, 'plateau_divider': 3}. Best is trial 195 with value: 0.9030303030303031.
[I 2025-03-03 14:33:09,361] Trial 288 finished with value: 0.5333333333333333 and parameters: {'left_stride': 128, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9951541335799653, 'batch_size': 32, 'attention_heads': 15, 'hidden_dimension': 161, 'number_of_hidden_layers': 3, 'dropout_rate': 0.46893777821342086, 'global_pooling': 'sum', 'learning_rate': 0.0023998682583946263, 'weight_decay': 4.882833260492496e-06, 'beta_0': 0.8717017995627282, 'beta_1': 0.9895784676742013, 'epsilon': 2.375947868205471e-07, 'balanced_loss': True, 'epochs': 190, 'early_stopping_patience': 25, 'plateau_patience': 20, 'plateau_divider': 3}. Best is trial 195 with value: 0.9030303030303031.
[I 2025-03-03 14:49:40,365] Trial 289 finished with value: 0.8484848484848485 and parameters: {'left_stride': 128, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9986662031783163, 'batch_size': 27, 'attention_heads': 6, 'hidden_dimension': 165, 'number_of_hidden_layers': 3, 'dropout_rate': 0.4288604449112199, 'global_pooling': 'sum', 'learning_rate': 0.0012532236981815097, 'weight_decay': 3.946456253743933e-06, 'beta_0': 0.875807272950521, 'beta_1': 0.9866843590013306, 'epsilon': 2.908728408989904e-07, 'balanced_loss': False, 'epochs': 192, 'early_stopping_patience': 24, 'plateau_patience': 21, 'plateau_divider': 7}. Best is trial 195 with value: 0.9030303030303031.
[I 2025-03-03 15:07:26,875] Trial 290 finished with value: 0.8787878787878788 and parameters: {'left_stride': 128, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9910997710013209, 'batch_size': 29, 'attention_heads': 4, 'hidden_dimension': 175, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5722576444199756, 'global_pooling': 'sum', 'learning_rate': 0.0007251238291524819, 'weight_decay': 2.1003034798609332e-06, 'beta_0': 0.8784690580826222, 'beta_1': 0.9805437175850852, 'epsilon': 4.186131665830148e-07, 'balanced_loss': True, 'epochs': 188, 'early_stopping_patience': 23, 'plateau_patience': 23, 'plateau_divider': 3}. Best is trial 195 with value: 0.9030303030303031.
[I 2025-03-03 15:29:12,193] Trial 291 finished with value: 0.8727272727272727 and parameters: {'left_stride': 128, 'right_stride': 256, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9959961894655132, 'batch_size': 26, 'attention_heads': 6, 'hidden_dimension': 180, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4380881801706304, 'global_pooling': 'sum', 'learning_rate': 0.0005969995534882386, 'weight_decay': 3.0933526893604317e-06, 'beta_0': 0.8703284375780286, 'beta_1': 0.9877029593864753, 'epsilon': 1.3942409328277148e-07, 'balanced_loss': True, 'epochs': 200, 'early_stopping_patience': 23, 'plateau_patience': 20, 'plateau_divider': 2}. Best is trial 195 with value: 0.9030303030303031.
[I 2025-03-03 15:47:31,514] Trial 292 finished with value: 0.8666666666666667 and parameters: {'left_stride': 128, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9934717780532909, 'batch_size': 31, 'attention_heads': 4, 'hidden_dimension': 172, 'number_of_hidden_layers': 3, 'dropout_rate': 0.48213722217455696, 'global_pooling': 'sum', 'learning_rate': 0.0008206272467550476, 'weight_decay': 3.4818422835968427e-06, 'beta_0': 0.8734216980306158, 'beta_1': 0.9904384845677406, 'epsilon': 1.1386357347827513e-07, 'balanced_loss': False, 'epochs': 197, 'early_stopping_patience': 22, 'plateau_patience': 20, 'plateau_divider': 3}. Best is trial 195 with value: 0.9030303030303031.
[I 2025-03-03 16:02:42,312] Trial 293 finished with value: 0.8606060606060606 and parameters: {'left_stride': 64, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.9893976183787732, 'batch_size': 24, 'attention_heads': 5, 'hidden_dimension': 32, 'number_of_hidden_layers': 3, 'dropout_rate': 0.46487237526875924, 'global_pooling': 'sum', 'learning_rate': 0.0010653992182493202, 'weight_decay': 0.00040065670443338326, 'beta_0': 0.8804328251538138, 'beta_1': 0.9897881913542121, 'epsilon': 2.093708061751707e-07, 'balanced_loss': True, 'epochs': 151, 'early_stopping_patience': 25, 'plateau_patience': 22, 'plateau_divider': 3}. Best is trial 195 with value: 0.9030303030303031.
[I 2025-03-03 16:18:12,831] Trial 294 finished with value: 0.8787878787878788 and parameters: {'left_stride': 128, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.985997331727431, 'batch_size': 28, 'attention_heads': 4, 'hidden_dimension': 78, 'number_of_hidden_layers': 2, 'dropout_rate': 0.42111686504578316, 'global_pooling': 'sum', 'learning_rate': 0.0015492622153180685, 'weight_decay': 2.438543223226317e-06, 'beta_0': 0.8766213062500625, 'beta_1': 0.9851767838001582, 'epsilon': 1.6612112732407615e-07, 'balanced_loss': False, 'epochs': 147, 'early_stopping_patience': 24, 'plateau_patience': 11, 'plateau_divider': 3}. Best is trial 195 with value: 0.9030303030303031.
[I 2025-03-03 16:37:12,114] Trial 295 finished with value: 0.8787878787878788 and parameters: {'left_stride': 128, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.99099767464091, 'batch_size': 22, 'attention_heads': 5, 'hidden_dimension': 187, 'number_of_hidden_layers': 3, 'dropout_rate': 0.4481128603609785, 'global_pooling': 'sum', 'learning_rate': 0.0005052209142921175, 'weight_decay': 0.0009070392568424235, 'beta_0': 0.8749570763017658, 'beta_1': 0.9883940118019834, 'epsilon': 3.5987084648717127e-07, 'balanced_loss': True, 'epochs': 194, 'early_stopping_patience': 24, 'plateau_patience': 23, 'plateau_divider': 3}. Best is trial 195 with value: 0.9030303030303031.
[I 2025-03-03 16:54:26,130] Trial 296 finished with value: 0.8666666666666667 and parameters: {'left_stride': 128, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.9943847665320532, 'batch_size': 25, 'attention_heads': 10, 'hidden_dimension': 98, 'number_of_hidden_layers': 2, 'dropout_rate': 0.43629107318500765, 'global_pooling': 'sum', 'learning_rate': 0.0009204430887871547, 'weight_decay': 0.0005882744271365338, 'beta_0': 0.8659329179284203, 'beta_1': 0.981731067088074, 'epsilon': 1.282985518128102e-07, 'balanced_loss': True, 'epochs': 155, 'early_stopping_patience': 24, 'plateau_patience': 21, 'plateau_divider': 3}. Best is trial 195 with value: 0.9030303030303031.
[I 2025-03-03 17:06:38,160] Trial 297 finished with value: 0.8727272727272727 and parameters: {'left_stride': 128, 'right_stride': 32, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.9970901155808531, 'batch_size': 27, 'attention_heads': 5, 'hidden_dimension': 169, 'number_of_hidden_layers': 2, 'dropout_rate': 0.45453868677093856, 'global_pooling': 'sum', 'learning_rate': 0.0006484829279080774, 'weight_decay': 2.7257433710357002e-06, 'beta_0': 0.8711881151408793, 'beta_1': 0.9810572712276356, 'epsilon': 2.5571938115567683e-06, 'balanced_loss': False, 'epochs': 158, 'early_stopping_patience': 25, 'plateau_patience': 20, 'plateau_divider': 3}. Best is trial 195 with value: 0.9030303030303031.
slurmstepd: error: *** JOB 15071871 ON gpu033 CANCELLED AT 2025-03-03T17:11:59 DUE TO TIME LIMIT ***
