[I 2025-03-21 17:39:59,429] Using an existing study with name 'IMDb-top_1000-GATv2-google-bert-bert-base-uncased-Grouped-No_Aggregation-Single_Unitary_Weight-0.0-0.0' instead of creating a new one.
Token indices sequence length is longer than the specified maximum sequence length for this model (1147 > 512). Running this sequence through the model will result in indexing errors
[I 2025-03-21 17:48:57,100] Trial 154 finished with value: 0.896969696969697 and parameters: {'left_stride': 128, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.9615102410590999, 'batch_size': 47, 'attention_heads': 8, 'hidden_dimension': 200, 'number_of_hidden_layers': 1, 'dropout_rate': 0.42053304346592757, 'global_pooling': 'mean', 'learning_rate': 0.0001754710223469705, 'weight_decay': 0.000130809953210394, 'beta_0': 0.8812385622066583, 'beta_1': 0.9942906743924929, 'epsilon': 4.162679508979182e-07, 'balanced_loss': True, 'epochs': 106, 'early_stopping_patience': 23, 'plateau_patience': 20, 'plateau_divider': 8}. Best is trial 73 with value: 0.9151515151515152.
The selected strides are greater or equal to the total chunk size.
[I 2025-03-21 23:06:55,240] Trial 189 finished with value: -1.0 and parameters: {'left_stride': 256, 'right_stride': 256, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.9664804135528827, 'batch_size': 47, 'attention_heads': 9, 'hidden_dimension': 209, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5799278294246092, 'global_pooling': 'mean', 'learning_rate': 8.656307400371034e-05, 'weight_decay': 3.426372631999249e-05, 'beta_0': 0.8743216064138841, 'beta_1': 0.9914459572526293, 'epsilon': 3.8006111563719977e-06, 'balanced_loss': True, 'epochs': 122, 'early_stopping_patience': 24, 'plateau_patience': 17, 'plateau_divider': 8}. Best is trial 73 with value: 0.9151515151515152.
[I 2025-03-21 23:14:44,309] Trial 190 finished with value: 0.8848484848484849 and parameters: {'left_stride': 128, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.9580516753721692, 'batch_size': 40, 'attention_heads': 7, 'hidden_dimension': 162, 'number_of_hidden_layers': 1, 'dropout_rate': 0.40579511833989523, 'global_pooling': 'mean', 'learning_rate': 0.0010553428094419947, 'weight_decay': 0.00018183855138885737, 'beta_0': 0.8948800084593379, 'beta_1': 0.9923983757763747, 'epsilon': 1.79933917196471e-06, 'balanced_loss': True, 'epochs': 109, 'early_stopping_patience': 23, 'plateau_patience': 18, 'plateau_divider': 6}. Best is trial 73 with value: 0.9151515151515152.
[I 2025-03-21 23:22:05,353] Trial 191 finished with value: 0.8909090909090909 and parameters: {'left_stride': 128, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.9759415060498556, 'batch_size': 42, 'attention_heads': 7, 'hidden_dimension': 140, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4242666760388767, 'global_pooling': 'mean', 'learning_rate': 0.0001477096840051843, 'weight_decay': 0.00012355551681317574, 'beta_0': 0.8827529605335175, 'beta_1': 0.9911904510745763, 'epsilon': 5.678982941460879e-07, 'balanced_loss': True, 'epochs': 132, 'early_stopping_patience': 21, 'plateau_patience': 19, 'plateau_divider': 9}. Best is trial 73 with value: 0.9151515151515152.
[I 2025-03-21 23:28:45,909] Trial 192 finished with value: 0.8666666666666667 and parameters: {'left_stride': 128, 'right_stride': 32, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.9838980480139827, 'batch_size': 45, 'attention_heads': 8, 'hidden_dimension': 188, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4461698687565539, 'global_pooling': 'mean', 'learning_rate': 6.944619609316953e-05, 'weight_decay': 2.0844750551502837e-05, 'beta_0': 0.8173002096003306, 'beta_1': 0.9937634559059662, 'epsilon': 1.9632561853423956e-05, 'balanced_loss': True, 'epochs': 117, 'early_stopping_patience': 18, 'plateau_patience': 24, 'plateau_divider': 3}. Best is trial 73 with value: 0.9151515151515152.
[I 2025-03-21 23:35:47,253] Trial 193 finished with value: 0.9090909090909091 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.961831581915693, 'batch_size': 51, 'attention_heads': 8, 'hidden_dimension': 187, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4887983683193603, 'global_pooling': 'mean', 'learning_rate': 0.00028100246558987647, 'weight_decay': 0.00013471260939852068, 'beta_0': 0.8793195795617049, 'beta_1': 0.9877609501367745, 'epsilon': 2.062581529126649e-06, 'balanced_loss': True, 'epochs': 200, 'early_stopping_patience': 20, 'plateau_patience': 19, 'plateau_divider': 7}. Best is trial 73 with value: 0.9151515151515152.
[I 2025-03-21 23:42:32,374] Trial 194 finished with value: 0.9151515151515152 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.9621614296947463, 'batch_size': 51, 'attention_heads': 8, 'hidden_dimension': 174, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4857649385557443, 'global_pooling': 'mean', 'learning_rate': 0.00029139820139343725, 'weight_decay': 0.00015829319176048235, 'beta_0': 0.880203320621906, 'beta_1': 0.9881872088254913, 'epsilon': 2.1918103969688697e-06, 'balanced_loss': True, 'epochs': 189, 'early_stopping_patience': 20, 'plateau_patience': 19, 'plateau_divider': 7}. Best is trial 73 with value: 0.9151515151515152.
[I 2025-03-21 23:49:27,726] Trial 195 finished with value: 0.9090909090909091 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.9603215583588868, 'batch_size': 51, 'attention_heads': 8, 'hidden_dimension': 172, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5087637269383006, 'global_pooling': 'mean', 'learning_rate': 0.00030325706706426704, 'weight_decay': 0.00014910523046148723, 'beta_0': 0.8763909068908687, 'beta_1': 0.9878616088443306, 'epsilon': 2.021356754982917e-06, 'balanced_loss': True, 'epochs': 175, 'early_stopping_patience': 20, 'plateau_patience': 19, 'plateau_divider': 7}. Best is trial 73 with value: 0.9151515151515152.
[I 2025-03-21 23:56:39,534] Trial 196 finished with value: 0.9030303030303031 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.9599128234457569, 'batch_size': 52, 'attention_heads': 8, 'hidden_dimension': 203, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5033687718841219, 'global_pooling': 'mean', 'learning_rate': 0.0003350524583437026, 'weight_decay': 0.00014948911021824658, 'beta_0': 0.8732974461148171, 'beta_1': 0.9881619447353308, 'epsilon': 1.6791022640591205e-06, 'balanced_loss': True, 'epochs': 199, 'early_stopping_patience': 20, 'plateau_patience': 20, 'plateau_divider': 7}. Best is trial 73 with value: 0.9151515151515152.
[I 2025-03-22 00:03:22,729] Trial 197 finished with value: 0.9030303030303031 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.9617890780146184, 'batch_size': 53, 'attention_heads': 8, 'hidden_dimension': 172, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5104209756630611, 'global_pooling': 'mean', 'learning_rate': 0.0007632562453440794, 'weight_decay': 0.00010543532105626095, 'beta_0': 0.8763874789359649, 'beta_1': 0.9879541090160271, 'epsilon': 1.0428288862764018e-05, 'balanced_loss': True, 'epochs': 180, 'early_stopping_patience': 20, 'plateau_patience': 19, 'plateau_divider': 7}. Best is trial 73 with value: 0.9151515151515152.
[I 2025-03-22 00:10:25,608] Trial 198 finished with value: 0.8606060606060606 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.9636941522463963, 'batch_size': 51, 'attention_heads': 8, 'hidden_dimension': 168, 'number_of_hidden_layers': 1, 'dropout_rate': 0.49627823262868337, 'global_pooling': 'max', 'learning_rate': 0.0002982463929146187, 'weight_decay': 0.0001261202219196598, 'beta_0': 0.8793115700854784, 'beta_1': 0.9873665200186383, 'epsilon': 1.3344642812630942e-06, 'balanced_loss': True, 'epochs': 189, 'early_stopping_patience': 19, 'plateau_patience': 18, 'plateau_divider': 7}. Best is trial 73 with value: 0.9151515151515152.
[I 2025-03-22 00:17:01,460] Trial 199 finished with value: 0.8848484848484849 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.9602748703491117, 'batch_size': 50, 'attention_heads': 7, 'hidden_dimension': 173, 'number_of_hidden_layers': 1, 'dropout_rate': 0.48274395167673817, 'global_pooling': 'mean', 'learning_rate': 0.00025493268517494036, 'weight_decay': 0.0001519440368448191, 'beta_0': 0.87731351001709, 'beta_1': 0.9888276217772792, 'epsilon': 2.174757432377898e-06, 'balanced_loss': True, 'epochs': 182, 'early_stopping_patience': 20, 'plateau_patience': 20, 'plateau_divider': 7}. Best is trial 73 with value: 0.9151515151515152.
[I 2025-03-22 00:24:23,348] Trial 200 finished with value: 0.8848484848484849 and parameters: {'left_stride': 64, 'right_stride': 64, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.9550892351654117, 'batch_size': 50, 'attention_heads': 8, 'hidden_dimension': 215, 'number_of_hidden_layers': 1, 'dropout_rate': 0.46985619910252546, 'global_pooling': 'mean', 'learning_rate': 0.00041228381805263046, 'weight_decay': 0.0001748995762794618, 'beta_0': 0.8845039410654002, 'beta_1': 0.9868397950808898, 'epsilon': 1.046074271416988e-06, 'balanced_loss': False, 'epochs': 79, 'early_stopping_patience': 20, 'plateau_patience': 19, 'plateau_divider': 7}. Best is trial 73 with value: 0.9151515151515152.
[I 2025-03-22 00:30:48,580] Trial 201 finished with value: 0.9151515151515152 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'max', 'threshold': 0.9653529559111927, 'batch_size': 54, 'attention_heads': 8, 'hidden_dimension': 157, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5247508390402394, 'global_pooling': 'mean', 'learning_rate': 0.000612144871756084, 'weight_decay': 0.00011622263757836215, 'beta_0': 0.881958797856148, 'beta_1': 0.9878106322012469, 'epsilon': 1.5648135203473495e-06, 'balanced_loss': True, 'epochs': 186, 'early_stopping_patience': 19, 'plateau_patience': 19, 'plateau_divider': 6}. Best is trial 73 with value: 0.9151515151515152.
[I 2025-03-22 00:36:55,832] Trial 202 finished with value: 0.8787878787878788 and parameters: {'left_stride': 0, 'right_stride': 64, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.962475398429573, 'batch_size': 55, 'attention_heads': 7, 'hidden_dimension': 153, 'number_of_hidden_layers': 1, 'dropout_rate': 0.49288124529950944, 'global_pooling': 'mean', 'learning_rate': 0.0002917238355430714, 'weight_decay': 0.00011626447707724473, 'beta_0': 0.875542984124829, 'beta_1': 0.9876832024835576, 'epsilon': 1.7082418781929207e-06, 'balanced_loss': True, 'epochs': 192, 'early_stopping_patience': 19, 'plateau_patience': 19, 'plateau_divider': 5}. Best is trial 73 with value: 0.9151515151515152.
[I 2025-03-22 00:43:24,826] Trial 203 finished with value: 0.9212121212121213 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'max', 'threshold': 0.966846119793671, 'batch_size': 56, 'attention_heads': 8, 'hidden_dimension': 163, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5249453663730231, 'global_pooling': 'mean', 'learning_rate': 0.0007188959897772478, 'weight_decay': 0.00013981608710983098, 'beta_0': 0.8816927369793095, 'beta_1': 0.9882441813771706, 'epsilon': 1.4314949187296992e-06, 'balanced_loss': True, 'epochs': 176, 'early_stopping_patience': 20, 'plateau_patience': 19, 'plateau_divider': 6}. Best is trial 203 with value: 0.9212121212121213.
[I 2025-03-22 00:49:48,553] Trial 204 finished with value: 0.9151515151515152 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'max', 'threshold': 0.9656187727933536, 'batch_size': 56, 'attention_heads': 8, 'hidden_dimension': 155, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5093922955145064, 'global_pooling': 'mean', 'learning_rate': 0.0007261610891910314, 'weight_decay': 0.00013964798065305929, 'beta_0': 0.8799371487958064, 'beta_1': 0.9884901071870207, 'epsilon': 1.3409216096370997e-06, 'balanced_loss': True, 'epochs': 185, 'early_stopping_patience': 19, 'plateau_patience': 19, 'plateau_divider': 6}. Best is trial 203 with value: 0.9212121212121213.
[I 2025-03-22 00:56:19,354] Trial 205 finished with value: 0.9030303030303031 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'max', 'threshold': 0.9640485158794591, 'batch_size': 57, 'attention_heads': 8, 'hidden_dimension': 156, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5292444870903629, 'global_pooling': 'mean', 'learning_rate': 0.0006675197523436418, 'weight_decay': 0.00013464426937406516, 'beta_0': 0.8802927635838053, 'beta_1': 0.9884755876426886, 'epsilon': 1.4332178316722285e-06, 'balanced_loss': True, 'epochs': 186, 'early_stopping_patience': 19, 'plateau_patience': 18, 'plateau_divider': 6}. Best is trial 203 with value: 0.9212121212121213.
[I 2025-03-22 01:03:05,498] Trial 206 finished with value: 0.9090909090909091 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'max', 'threshold': 0.958831618473191, 'batch_size': 55, 'attention_heads': 8, 'hidden_dimension': 147, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5361625460320084, 'global_pooling': 'mean', 'learning_rate': 0.0008760239529430161, 'weight_decay': 0.00010055494102470178, 'beta_0': 0.8781036269358528, 'beta_1': 0.9879826428318929, 'epsilon': 1.9982301965195146e-06, 'balanced_loss': True, 'epochs': 200, 'early_stopping_patience': 20, 'plateau_patience': 19, 'plateau_divider': 6}. Best is trial 203 with value: 0.9212121212121213.
[I 2025-03-22 01:09:41,079] Trial 207 finished with value: 0.9151515151515152 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'max', 'threshold': 0.9584922730611038, 'batch_size': 54, 'attention_heads': 8, 'hidden_dimension': 146, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5379771448203026, 'global_pooling': 'mean', 'learning_rate': 0.000524540980048654, 'weight_decay': 8.357771911642254e-05, 'beta_0': 0.8826821171066388, 'beta_1': 0.9881140729556342, 'epsilon': 1.6229102797082926e-06, 'balanced_loss': True, 'epochs': 175, 'early_stopping_patience': 20, 'plateau_patience': 19, 'plateau_divider': 6}. Best is trial 203 with value: 0.9212121212121213.
[I 2025-03-22 01:16:18,936] Trial 208 finished with value: 0.896969696969697 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'max', 'threshold': 0.9582305303383607, 'batch_size': 55, 'attention_heads': 8, 'hidden_dimension': 148, 'number_of_hidden_layers': 1, 'dropout_rate': 0.53719838603251, 'global_pooling': 'mean', 'learning_rate': 0.0008268800961464426, 'weight_decay': 8.282299972788838e-05, 'beta_0': 0.8784968078806692, 'beta_1': 0.9884570442504107, 'epsilon': 1.8389974301491747e-06, 'balanced_loss': True, 'epochs': 175, 'early_stopping_patience': 20, 'plateau_patience': 19, 'plateau_divider': 6}. Best is trial 203 with value: 0.9212121212121213.
[I 2025-03-22 01:22:42,032] Trial 209 finished with value: 0.896969696969697 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'max', 'threshold': 0.960550769203581, 'batch_size': 56, 'attention_heads': 8, 'hidden_dimension': 134, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5479802741640145, 'global_pooling': 'mean', 'learning_rate': 0.0005828447726131272, 'weight_decay': 0.0001090218555954892, 'beta_0': 0.8829095347804019, 'beta_1': 0.9880540535938637, 'epsilon': 1.4978528120309404e-06, 'balanced_loss': True, 'epochs': 200, 'early_stopping_patience': 20, 'plateau_patience': 18, 'plateau_divider': 6}. Best is trial 203 with value: 0.9212121212121213.
[I 2025-03-22 01:29:28,420] Trial 210 finished with value: 0.9030303030303031 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'max', 'threshold': 0.9573086704946325, 'batch_size': 54, 'attention_heads': 8, 'hidden_dimension': 157, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5194966235801067, 'global_pooling': 'mean', 'learning_rate': 0.0005019522210438153, 'weight_decay': 7.559144614648236e-05, 'beta_0': 0.8749827642480901, 'beta_1': 0.9875855792252249, 'epsilon': 2.1818296598561345e-06, 'balanced_loss': True, 'epochs': 178, 'early_stopping_patience': 20, 'plateau_patience': 19, 'plateau_divider': 5}. Best is trial 203 with value: 0.9212121212121213.
[I 2025-03-22 01:35:46,445] Trial 211 finished with value: 0.9090909090909091 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'max', 'threshold': 0.965138048620121, 'batch_size': 55, 'attention_heads': 8, 'hidden_dimension': 143, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5414582028698728, 'global_pooling': 'mean', 'learning_rate': 0.0006473756135764391, 'weight_decay': 9.57908142157653e-05, 'beta_0': 0.8794870284252678, 'beta_1': 0.9871206177498306, 'epsilon': 2.612061535849431e-06, 'balanced_loss': True, 'epochs': 168, 'early_stopping_patience': 19, 'plateau_patience': 19, 'plateau_divider': 6}. Best is trial 203 with value: 0.9212121212121213.
[I 2025-03-22 01:42:45,079] Trial 212 finished with value: 0.8727272727272727 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'max', 'threshold': 0.9653621761359439, 'batch_size': 54, 'attention_heads': 8, 'hidden_dimension': 151, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5446004065849922, 'global_pooling': 'sum', 'learning_rate': 0.0011008632042679568, 'weight_decay': 9.514278595221504e-05, 'beta_0': 0.8792404222202613, 'beta_1': 0.987170110503702, 'epsilon': 2.6239993546723262e-06, 'balanced_loss': True, 'epochs': 196, 'early_stopping_patience': 18, 'plateau_patience': 19, 'plateau_divider': 6}. Best is trial 203 with value: 0.9212121212121213.
[I 2025-03-22 01:49:01,420] Trial 213 finished with value: 0.896969696969697 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'max', 'threshold': 0.9616645378866214, 'batch_size': 56, 'attention_heads': 8, 'hidden_dimension': 140, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5299794212655685, 'global_pooling': 'mean', 'learning_rate': 0.0008549021011327934, 'weight_decay': 8.826048975107373e-05, 'beta_0': 0.8772406584711302, 'beta_1': 0.9887485584924506, 'epsilon': 2.5643036220263973e-06, 'balanced_loss': True, 'epochs': 166, 'early_stopping_patience': 19, 'plateau_patience': 19, 'plateau_divider': 6}. Best is trial 203 with value: 0.9212121212121213.
[I 2025-03-22 01:55:31,785] Trial 214 finished with value: 0.9030303030303031 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'max', 'threshold': 0.9583762644622227, 'batch_size': 57, 'attention_heads': 8, 'hidden_dimension': 143, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5556797003509902, 'global_pooling': 'mean', 'learning_rate': 0.0006835470816119667, 'weight_decay': 6.354856842755188e-05, 'beta_0': 0.8817947266878176, 'beta_1': 0.9879180334403243, 'epsilon': 1.6947210946194256e-06, 'balanced_loss': True, 'epochs': 172, 'early_stopping_patience': 19, 'plateau_patience': 19, 'plateau_divider': 6}. Best is trial 203 with value: 0.9212121212121213.
[I 2025-03-22 02:02:32,617] Trial 215 finished with value: 0.9090909090909091 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'max', 'threshold': 0.9597002245170857, 'batch_size': 55, 'attention_heads': 8, 'hidden_dimension': 163, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5253939224621612, 'global_pooling': 'mean', 'learning_rate': 0.000580966913911873, 'weight_decay': 0.00010089883034551948, 'beta_0': 0.8801689989354246, 'beta_1': 0.9882076370383817, 'epsilon': 1.970547103082511e-06, 'balanced_loss': True, 'epochs': 193, 'early_stopping_patience': 20, 'plateau_patience': 15, 'plateau_divider': 6}. Best is trial 203 with value: 0.9212121212121213.
[I 2025-03-22 02:09:06,836] Trial 216 finished with value: 0.9030303030303031 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'max', 'threshold': 0.9645627237288876, 'batch_size': 55, 'attention_heads': 8, 'hidden_dimension': 163, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5359672219720618, 'global_pooling': 'mean', 'learning_rate': 0.0004719941804887802, 'weight_decay': 9.850452451251823e-05, 'beta_0': 0.8722755041044304, 'beta_1': 0.9882570428428783, 'epsilon': 1.9297746089932824e-06, 'balanced_loss': True, 'epochs': 184, 'early_stopping_patience': 20, 'plateau_patience': 15, 'plateau_divider': 6}. Best is trial 203 with value: 0.9212121212121213.
[I 2025-03-22 02:15:36,357] Trial 217 finished with value: 0.9030303030303031 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'max', 'threshold': 0.9601836571895275, 'batch_size': 57, 'attention_heads': 8, 'hidden_dimension': 146, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5234090660871156, 'global_pooling': 'mean', 'learning_rate': 0.0005839189120371069, 'weight_decay': 5.810266872712515e-05, 'beta_0': 0.8795068670022081, 'beta_1': 0.9891184528167077, 'epsilon': 2.964361703283018e-06, 'balanced_loss': True, 'epochs': 189, 'early_stopping_patience': 19, 'plateau_patience': 15, 'plateau_divider': 6}. Best is trial 203 with value: 0.9212121212121213.
[I 2025-03-22 02:22:20,612] Trial 218 finished with value: 0.896969696969697 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'max', 'threshold': 0.9558438006988664, 'batch_size': 53, 'attention_heads': 8, 'hidden_dimension': 152, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5241210907717311, 'global_pooling': 'mean', 'learning_rate': 0.0009099909207944621, 'weight_decay': 0.00011845552614456451, 'beta_0': 0.8768768468175067, 'beta_1': 0.9875917767340419, 'epsilon': 2.270845463698158e-06, 'balanced_loss': True, 'epochs': 170, 'early_stopping_patience': 20, 'plateau_patience': 16, 'plateau_divider': 6}. Best is trial 203 with value: 0.9212121212121213.
CUDA out of memory. Tried to allocate 4.03 GiB. GPU 0 has a total capacity of 44.56 GiB of which 3.83 GiB is free. Including non-PyTorch memory, this process has 40.73 GiB memory in use. Of the allocated memory 35.14 GiB is allocated by PyTorch, and 4.44 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
[I 2025-03-22 02:30:11,805] Trial 219 finished with value: -1.0 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'max', 'threshold': 0.9100096456211698, 'batch_size': 55, 'attention_heads': 8, 'hidden_dimension': 158, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5417554614617415, 'global_pooling': 'mean', 'learning_rate': 0.001258008629124337, 'weight_decay': 7.834548758644731e-05, 'beta_0': 0.883775423504949, 'beta_1': 0.9871749976381068, 'epsilon': 1.5690107049593516e-06, 'balanced_loss': False, 'epochs': 195, 'early_stopping_patience': 19, 'plateau_patience': 19, 'plateau_divider': 6}. Best is trial 203 with value: 0.9212121212121213.
[I 2025-03-22 02:36:48,852] Trial 220 finished with value: 0.9030303030303031 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'max', 'threshold': 0.9627279900454881, 'batch_size': 54, 'attention_heads': 8, 'hidden_dimension': 162, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5102362135963329, 'global_pooling': 'mean', 'learning_rate': 0.0006794054279068984, 'weight_decay': 0.00013358949200919975, 'beta_0': 0.8810417134154851, 'beta_1': 0.9863564259246463, 'epsilon': 1.2829027118485252e-06, 'balanced_loss': True, 'epochs': 175, 'early_stopping_patience': 20, 'plateau_patience': 14, 'plateau_divider': 6}. Best is trial 203 with value: 0.9212121212121213.
[I 2025-03-22 02:42:37,962] Trial 221 finished with value: 0.8848484848484849 and parameters: {'left_stride': 0, 'right_stride': 64, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'max', 'threshold': 0.9653131395015979, 'batch_size': 56, 'attention_heads': 8, 'hidden_dimension': 128, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5319240526023913, 'global_pooling': 'mean', 'learning_rate': 0.0004124776616962646, 'weight_decay': 0.00010386646485432571, 'beta_0': 0.8822328355716026, 'beta_1': 0.9881104863994026, 'epsilon': 2.030065071595765e-06, 'balanced_loss': True, 'epochs': 195, 'early_stopping_patience': 20, 'plateau_patience': 15, 'plateau_divider': 6}. Best is trial 203 with value: 0.9212121212121213.
[I 2025-03-22 02:48:54,097] Trial 222 finished with value: 0.9090909090909091 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'max', 'threshold': 0.968955600473748, 'batch_size': 53, 'attention_heads': 8, 'hidden_dimension': 147, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5261625583841623, 'global_pooling': 'mean', 'learning_rate': 0.0005603448689575957, 'weight_decay': 8.82709871575726e-05, 'beta_0': 0.878655818637781, 'beta_1': 0.9885218977359063, 'epsilon': 2.6558499338911784e-06, 'balanced_loss': True, 'epochs': 185, 'early_stopping_patience': 20, 'plateau_patience': 19, 'plateau_divider': 6}. Best is trial 203 with value: 0.9212121212121213.
[I 2025-03-22 02:55:05,902] Trial 223 finished with value: 0.9151515151515152 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'max', 'threshold': 0.9688793647401952, 'batch_size': 53, 'attention_heads': 8, 'hidden_dimension': 148, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5141042265954494, 'global_pooling': 'mean', 'learning_rate': 0.0004971352235617813, 'weight_decay': 8.5492995025652e-05, 'beta_0': 0.8783435405694888, 'beta_1': 0.9887821945315957, 'epsilon': 2.4729173031335575e-06, 'balanced_loss': True, 'epochs': 192, 'early_stopping_patience': 20, 'plateau_patience': 16, 'plateau_divider': 6}. Best is trial 203 with value: 0.9212121212121213.
[I 2025-03-22 03:01:17,284] Trial 224 finished with value: 0.896969696969697 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'max', 'threshold': 0.9693499312952977, 'batch_size': 52, 'attention_heads': 8, 'hidden_dimension': 154, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5191706140046572, 'global_pooling': 'mean', 'learning_rate': 0.0005807919594779592, 'weight_decay': 6.779126496752607e-05, 'beta_0': 0.8785009812202136, 'beta_1': 0.9886875173310502, 'epsilon': 2.534942310218499e-06, 'balanced_loss': True, 'epochs': 185, 'early_stopping_patience': 19, 'plateau_patience': 16, 'plateau_divider': 5}. Best is trial 203 with value: 0.9212121212121213.
