[I 2024-11-13 23:38:40,756] Using an existing study with name 'Ohsumed-GATv2-google-bert-bert-base-uncased-Grouped-No_Aggregation' instead of creating a new one.
Token indices sequence length is longer than the specified maximum sequence length for this model (611 > 512). Running this sequence through the model will result in indexing errors
[I 2024-11-13 23:55:22,315] Trial 55 finished with value: 0.5947971495413724 and parameters: {'left_stride': 256, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.870297879299208, 'batch_size': 53, 'attention_heads': 13, 'hidden_dimension': 112, 'number_of_hidden_layers': 3, 'dropout_rate': 0.3399126268916518, 'global_pooling': 'mean', 'learning_rate': 0.0001263927668537034, 'weight_decay': 0.00025951662929191605, 'beta_0': 0.8774099743966011, 'beta_1': 0.998089733453235, 'epsilon': 1.8140375094478907e-07, 'balanced_loss': False, 'epochs': 107, 'early_stopping_patience': 19, 'plateau_patience': 15, 'plateau_divider': 5}. Best is trial 20 with value: 0.6249205069734698.
[I 2024-11-14 08:01:24,012] Trial 89 finished with value: -1.0 and parameters: {'left_stride': 64, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.8205567855518235, 'batch_size': 36, 'attention_heads': 14, 'hidden_dimension': 255, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5305300265649353, 'global_pooling': 'mean', 'learning_rate': 0.00021873761111577942, 'weight_decay': 0.0007955484156975307, 'beta_0': 0.8846915578544943, 'beta_1': 0.9958284489889476, 'epsilon': 1.3607259854487742e-07, 'balanced_loss': False, 'epochs': 120, 'early_stopping_patience': 24, 'plateau_patience': 19, 'plateau_divider': 5}. Best is trial 56 with value: 0.6258363326360883.
[I 2024-11-14 08:13:43,355] Trial 90 finished with value: 0.4397385313148833 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.8856172745825254, 'batch_size': 51, 'attention_heads': 12, 'hidden_dimension': 101, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5211320732098619, 'global_pooling': 'sum', 'learning_rate': 0.0012217974826045795, 'weight_decay': 0.0005477831091911534, 'beta_0': 0.8804311479971753, 'beta_1': 0.9903827814865431, 'epsilon': 1.0296008690656574e-07, 'balanced_loss': False, 'epochs': 125, 'early_stopping_patience': 22, 'plateau_patience': 20, 'plateau_divider': 10}. Best is trial 56 with value: 0.6258363326360883.
[I 2024-11-14 08:31:46,491] Trial 91 finished with value: 0.6234707374710317 and parameters: {'left_stride': 256, 'right_stride': 32, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8574473662759475, 'batch_size': 60, 'attention_heads': 13, 'hidden_dimension': 123, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5660495693547268, 'global_pooling': 'mean', 'learning_rate': 0.0002756971806944224, 'weight_decay': 1.7122939437842703e-05, 'beta_0': 0.8697414810896862, 'beta_1': 0.9989828689610365, 'epsilon': 5.159095770813586e-07, 'balanced_loss': False, 'epochs': 102, 'early_stopping_patience': 24, 'plateau_patience': 17, 'plateau_divider': 8}. Best is trial 56 with value: 0.6258363326360883.
[I 2024-11-14 08:50:34,143] Trial 92 finished with value: 0.6104718031791319 and parameters: {'left_stride': 64, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8300851273925272, 'batch_size': 58, 'attention_heads': 11, 'hidden_dimension': 149, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5418693425091372, 'global_pooling': 'mean', 'learning_rate': 0.0006035903623618615, 'weight_decay': 1.4858286279714035e-05, 'beta_0': 0.8706162033424403, 'beta_1': 0.9975569155287255, 'epsilon': 1.2322606356403894e-06, 'balanced_loss': False, 'epochs': 101, 'early_stopping_patience': 24, 'plateau_patience': 17, 'plateau_divider': 8}. Best is trial 56 with value: 0.6258363326360883.
[I 2024-11-14 09:08:14,968] Trial 93 finished with value: 0.609425849193969 and parameters: {'left_stride': 256, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8573878336495672, 'batch_size': 61, 'attention_heads': 13, 'hidden_dimension': 124, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5807019508494531, 'global_pooling': 'mean', 'learning_rate': 0.0004010465200881261, 'weight_decay': 2.2170308947527645e-05, 'beta_0': 0.8985676452211778, 'beta_1': 0.9949648497533007, 'epsilon': 4.6555595546178186e-07, 'balanced_loss': False, 'epochs': 86, 'early_stopping_patience': 23, 'plateau_patience': 18, 'plateau_divider': 9}. Best is trial 56 with value: 0.6258363326360883.
[I 2024-11-14 09:24:49,497] Trial 94 finished with value: 0.6109883085778228 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.849105916534754, 'batch_size': 56, 'attention_heads': 9, 'hidden_dimension': 140, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5637617655322428, 'global_pooling': 'mean', 'learning_rate': 0.00019069019030794893, 'weight_decay': 6.282459843356561e-06, 'beta_0': 0.8864105778332584, 'beta_1': 0.998972509287697, 'epsilon': 1.9386050932519213e-06, 'balanced_loss': False, 'epochs': 114, 'early_stopping_patience': 24, 'plateau_patience': 22, 'plateau_divider': 8}. Best is trial 56 with value: 0.6258363326360883.
[I 2024-11-14 09:42:58,711] Trial 95 finished with value: 0.5663825201342513 and parameters: {'left_stride': 256, 'right_stride': 32, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8736808572151143, 'batch_size': 44, 'attention_heads': 13, 'hidden_dimension': 117, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5814654111520381, 'global_pooling': 'mean', 'learning_rate': 0.0002749487145962039, 'weight_decay': 1.0940158929433453e-05, 'beta_0': 0.8776621967286942, 'beta_1': 0.9981196776389039, 'epsilon': 6.016754757234605e-07, 'balanced_loss': False, 'epochs': 109, 'early_stopping_patience': 25, 'plateau_patience': 17, 'plateau_divider': 7}. Best is trial 56 with value: 0.6258363326360883.
[I 2024-11-14 10:03:06,433] Trial 96 finished with value: 0.6179210227706551 and parameters: {'left_stride': 256, 'right_stride': 32, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8633078434906183, 'batch_size': 49, 'attention_heads': 12, 'hidden_dimension': 169, 'number_of_hidden_layers': 2, 'dropout_rate': 0.49287443974189443, 'global_pooling': 'mean', 'learning_rate': 0.00013413785108593458, 'weight_decay': 2.0167713521490788e-05, 'beta_0': 0.8832154354514841, 'beta_1': 0.996532861018944, 'epsilon': 2.853530279241837e-07, 'balanced_loss': False, 'epochs': 96, 'early_stopping_patience': 23, 'plateau_patience': 16, 'plateau_divider': 5}. Best is trial 56 with value: 0.6258363326360883.
[I 2024-11-14 10:21:27,245] Trial 97 finished with value: 0.6028530460433875 and parameters: {'left_stride': 256, 'right_stride': 32, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8619115487112199, 'batch_size': 51, 'attention_heads': 12, 'hidden_dimension': 169, 'number_of_hidden_layers': 2, 'dropout_rate': 0.46337795587162744, 'global_pooling': 'mean', 'learning_rate': 0.00027983457211658264, 'weight_decay': 1.8021188476681764e-05, 'beta_0': 0.8826294260480351, 'beta_1': 0.9964944731395072, 'epsilon': 8.116342428731847e-07, 'balanced_loss': False, 'epochs': 95, 'early_stopping_patience': 23, 'plateau_patience': 20, 'plateau_divider': 8}. Best is trial 56 with value: 0.6258363326360883.
[I 2024-11-14 10:41:27,365] Trial 98 finished with value: 0.6089124005492633 and parameters: {'left_stride': 256, 'right_stride': 32, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.8465594142441188, 'batch_size': 48, 'attention_heads': 12, 'hidden_dimension': 156, 'number_of_hidden_layers': 2, 'dropout_rate': 0.493584225741693, 'global_pooling': 'mean', 'learning_rate': 0.00010679759045460365, 'weight_decay': 3.913119759247265e-05, 'beta_0': 0.8945717817884181, 'beta_1': 0.9971684591760539, 'epsilon': 3.0353459782573305e-07, 'balanced_loss': False, 'epochs': 81, 'early_stopping_patience': 22, 'plateau_patience': 16, 'plateau_divider': 4}. Best is trial 56 with value: 0.6258363326360883.
[I 2024-11-14 11:06:52,741] Trial 99 finished with value: 0.6235491335905935 and parameters: {'left_stride': 128, 'right_stride': 32, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8373136904949192, 'batch_size': 39, 'attention_heads': 12, 'hidden_dimension': 200, 'number_of_hidden_layers': 2, 'dropout_rate': 0.47770152237452085, 'global_pooling': 'mean', 'learning_rate': 6.631337277750259e-05, 'weight_decay': 1.3366342133827568e-05, 'beta_0': 0.8736984412760186, 'beta_1': 0.9955609660000376, 'epsilon': 4.0769816958148913e-07, 'balanced_loss': False, 'epochs': 98, 'early_stopping_patience': 24, 'plateau_patience': 19, 'plateau_divider': 9}. Best is trial 56 with value: 0.6258363326360883.
[I 2024-11-14 11:29:21,073] Trial 100 finished with value: 0.5914856634868643 and parameters: {'left_stride': 128, 'right_stride': 32, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8359465766873138, 'batch_size': 39, 'attention_heads': 11, 'hidden_dimension': 190, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5057411106427142, 'global_pooling': 'mean', 'learning_rate': 5.54124638406863e-05, 'weight_decay': 1.3584698855852786e-05, 'beta_0': 0.862704731474516, 'beta_1': 0.9931576516338786, 'epsilon': 3.8249228310078565e-07, 'balanced_loss': False, 'epochs': 98, 'early_stopping_patience': 22, 'plateau_patience': 19, 'plateau_divider': 9}. Best is trial 56 with value: 0.6258363326360883.
slurmstepd: error: *** JOB 13921738 ON gpu005 CANCELLED AT 2024-11-14T11:38:50 DUE TO TIME LIMIT ***
