[I 2024-11-15 06:30:19,532] Using an existing study with name 'Ohsumed-GAT-google-bert-bert-base-uncased-Grouped-No_Aggregation' instead of creating a new one.
Token indices sequence length is longer than the specified maximum sequence length for this model (611 > 512). Running this sequence through the model will result in indexing errors
[I 2024-11-15 06:43:47,635] Trial 192 finished with value: 0.5985122207411514 and parameters: {'left_stride': 256, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.8363288452241344, 'batch_size': 95, 'attention_heads': 15, 'hidden_dimension': 98, 'number_of_hidden_layers': 2, 'dropout_rate': 0.3007932246459075, 'global_pooling': 'max', 'learning_rate': 0.0007279032363544672, 'weight_decay': 0.00020046636405982312, 'beta_0': 0.8849746220639059, 'beta_1': 0.9887486936822794, 'epsilon': 2.8110020894865536e-07, 'balanced_loss': False, 'epochs': 129, 'early_stopping_patience': 21, 'plateau_patience': 20, 'plateau_divider': 2}. Best is trial 168 with value: 0.6586627478320549.
[I 2024-11-15 13:55:40,558] Trial 227 finished with value: 0.630623992178475 and parameters: {'left_stride': 0, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.8325684274466678, 'batch_size': 80, 'attention_heads': 9, 'hidden_dimension': 116, 'number_of_hidden_layers': 2, 'dropout_rate': 0.30963311285623973, 'global_pooling': 'max', 'learning_rate': 0.00041192652992953804, 'weight_decay': 0.000330075813540554, 'beta_0': 0.8693951862741321, 'beta_1': 0.9885769461381948, 'epsilon': 3.7805216640979766e-07, 'balanced_loss': False, 'epochs': 133, 'early_stopping_patience': 19, 'plateau_patience': 19, 'plateau_divider': 2}. Best is trial 168 with value: 0.6586627478320549.
[I 2024-11-15 14:07:44,101] Trial 228 finished with value: 0.6262721670023463 and parameters: {'left_stride': 0, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.8328289855238932, 'batch_size': 82, 'attention_heads': 9, 'hidden_dimension': 122, 'number_of_hidden_layers': 2, 'dropout_rate': 0.30801227349990834, 'global_pooling': 'max', 'learning_rate': 0.00031227616442490496, 'weight_decay': 0.00032503914921575494, 'beta_0': 0.8591017764015961, 'beta_1': 0.9883108844888052, 'epsilon': 3.6256225711078584e-07, 'balanced_loss': False, 'epochs': 135, 'early_stopping_patience': 19, 'plateau_patience': 19, 'plateau_divider': 2}. Best is trial 168 with value: 0.6586627478320549.
[I 2024-11-15 14:20:18,473] Trial 229 finished with value: 0.6055430689914418 and parameters: {'left_stride': 0, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.8273309731670052, 'batch_size': 82, 'attention_heads': 9, 'hidden_dimension': 111, 'number_of_hidden_layers': 2, 'dropout_rate': 0.31087616501876114, 'global_pooling': 'max', 'learning_rate': 0.0003105037685725136, 'weight_decay': 0.0003343861572656236, 'beta_0': 0.8554819961273771, 'beta_1': 0.9888555400406079, 'epsilon': 3.3188551410313984e-07, 'balanced_loss': False, 'epochs': 135, 'early_stopping_patience': 19, 'plateau_patience': 19, 'plateau_divider': 2}. Best is trial 168 with value: 0.6586627478320549.
[I 2024-11-15 14:32:41,067] Trial 230 finished with value: 0.5908650301365561 and parameters: {'left_stride': 0, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.833644695731753, 'batch_size': 78, 'attention_heads': 9, 'hidden_dimension': 121, 'number_of_hidden_layers': 2, 'dropout_rate': 0.30750321645668666, 'global_pooling': 'max', 'learning_rate': 0.0003708093269438829, 'weight_decay': 0.00030100472111373264, 'beta_0': 0.860289399231851, 'beta_1': 0.9885167833436038, 'epsilon': 2.6363815372319384e-07, 'balanced_loss': False, 'epochs': 127, 'early_stopping_patience': 19, 'plateau_patience': 18, 'plateau_divider': 2}. Best is trial 168 with value: 0.6586627478320549.
[I 2024-11-15 14:45:09,323] Trial 231 finished with value: 0.6027035969711952 and parameters: {'left_stride': 0, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.8329882013142799, 'batch_size': 80, 'attention_heads': 9, 'hidden_dimension': 121, 'number_of_hidden_layers': 2, 'dropout_rate': 0.31869323478999495, 'global_pooling': 'max', 'learning_rate': 0.0002850937867950393, 'weight_decay': 0.00024455287154058616, 'beta_0': 0.8642271063618066, 'beta_1': 0.9884435027349294, 'epsilon': 3.805445438150665e-07, 'balanced_loss': False, 'epochs': 140, 'early_stopping_patience': 19, 'plateau_patience': 19, 'plateau_divider': 2}. Best is trial 168 with value: 0.6586627478320549.
[I 2024-11-15 14:57:00,323] Trial 232 finished with value: 0.5955329529639108 and parameters: {'left_stride': 0, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.838156350793759, 'batch_size': 81, 'attention_heads': 9, 'hidden_dimension': 130, 'number_of_hidden_layers': 2, 'dropout_rate': 0.3043663552243603, 'global_pooling': 'max', 'learning_rate': 0.0004133715405744226, 'weight_decay': 0.0003346904287478759, 'beta_0': 0.8684172146337019, 'beta_1': 0.9895595097691403, 'epsilon': 4.427276817292279e-07, 'balanced_loss': False, 'epochs': 134, 'early_stopping_patience': 18, 'plateau_patience': 19, 'plateau_divider': 2}. Best is trial 168 with value: 0.6586627478320549.
[I 2024-11-15 15:08:51,710] Trial 233 finished with value: 0.6291327600356403 and parameters: {'left_stride': 0, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.8260479813295826, 'batch_size': 76, 'attention_heads': 8, 'hidden_dimension': 116, 'number_of_hidden_layers': 2, 'dropout_rate': 0.3255160932106463, 'global_pooling': 'max', 'learning_rate': 0.00032541040136183303, 'weight_decay': 0.00020457451303942047, 'beta_0': 0.8593728603202683, 'beta_1': 0.989228236223898, 'epsilon': 3.444857680475e-07, 'balanced_loss': False, 'epochs': 142, 'early_stopping_patience': 19, 'plateau_patience': 19, 'plateau_divider': 2}. Best is trial 168 with value: 0.6586627478320549.
[I 2024-11-15 15:21:39,670] Trial 234 finished with value: 0.6352294991397136 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.8197072542266733, 'batch_size': 76, 'attention_heads': 9, 'hidden_dimension': 116, 'number_of_hidden_layers': 2, 'dropout_rate': 0.32258914560992036, 'global_pooling': 'max', 'learning_rate': 0.0002302305025742764, 'weight_decay': 0.00027040784381217987, 'beta_0': 0.8564934288412532, 'beta_1': 0.9892027252492109, 'epsilon': 2.855839141435016e-07, 'balanced_loss': False, 'epochs': 146, 'early_stopping_patience': 19, 'plateau_patience': 18, 'plateau_divider': 2}. Best is trial 168 with value: 0.6586627478320549.
[I 2024-11-15 15:34:45,905] Trial 235 finished with value: 0.6243097169188271 and parameters: {'left_stride': 0, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.8244075363907641, 'batch_size': 83, 'attention_heads': 9, 'hidden_dimension': 116, 'number_of_hidden_layers': 2, 'dropout_rate': 0.32402733946966267, 'global_pooling': 'max', 'learning_rate': 0.0001562107528449351, 'weight_decay': 0.00026944925694375013, 'beta_0': 0.860956469642589, 'beta_1': 0.9888851946687254, 'epsilon': 2.298206192654011e-07, 'balanced_loss': False, 'epochs': 139, 'early_stopping_patience': 19, 'plateau_patience': 19, 'plateau_divider': 2}. Best is trial 168 with value: 0.6586627478320549.
[I 2024-11-15 15:47:56,722] Trial 236 finished with value: 0.5855114425128265 and parameters: {'left_stride': 0, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.8178996980733787, 'batch_size': 83, 'attention_heads': 9, 'hidden_dimension': 114, 'number_of_hidden_layers': 2, 'dropout_rate': 0.32411603448111004, 'global_pooling': 'max', 'learning_rate': 0.00014189374459895357, 'weight_decay': 0.000221402731893368, 'beta_0': 0.8563660367973376, 'beta_1': 0.9880701775754569, 'epsilon': 2.0741619357655494e-07, 'balanced_loss': False, 'epochs': 148, 'early_stopping_patience': 19, 'plateau_patience': 19, 'plateau_divider': 2}. Best is trial 168 with value: 0.6586627478320549.
[I 2024-11-15 16:00:36,508] Trial 237 finished with value: 0.604604742892588 and parameters: {'left_stride': 0, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.8200503986534126, 'batch_size': 76, 'attention_heads': 9, 'hidden_dimension': 116, 'number_of_hidden_layers': 2, 'dropout_rate': 0.3273808664181271, 'global_pooling': 'max', 'learning_rate': 0.00020882281724540218, 'weight_decay': 0.00028144152861038035, 'beta_0': 0.8596666862479746, 'beta_1': 0.9890966049718944, 'epsilon': 2.811499498844103e-07, 'balanced_loss': False, 'epochs': 136, 'early_stopping_patience': 19, 'plateau_patience': 19, 'plateau_divider': 2}. Best is trial 168 with value: 0.6586627478320549.
[I 2024-11-15 16:12:52,420] Trial 238 finished with value: 0.5907598912216144 and parameters: {'left_stride': 0, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.8254259863855211, 'batch_size': 79, 'attention_heads': 8, 'hidden_dimension': 116, 'number_of_hidden_layers': 2, 'dropout_rate': 0.320854118484774, 'global_pooling': 'max', 'learning_rate': 0.00017847957292013467, 'weight_decay': 0.0002720669736100604, 'beta_0': 0.8585413996099092, 'beta_1': 0.988754759942224, 'epsilon': 2.1714612668994334e-07, 'balanced_loss': False, 'epochs': 141, 'early_stopping_patience': 19, 'plateau_patience': 19, 'plateau_divider': 2}. Best is trial 168 with value: 0.6586627478320549.
[I 2024-11-15 16:25:58,768] Trial 239 finished with value: 0.6113815331913951 and parameters: {'left_stride': 256, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.8222891319851174, 'batch_size': 82, 'attention_heads': 9, 'hidden_dimension': 124, 'number_of_hidden_layers': 2, 'dropout_rate': 0.3326622939960305, 'global_pooling': 'max', 'learning_rate': 0.00024661025843606977, 'weight_decay': 0.00037589260239663134, 'beta_0': 0.8570536180322543, 'beta_1': 0.9890099508274228, 'epsilon': 3.2575551005792164e-07, 'balanced_loss': False, 'epochs': 149, 'early_stopping_patience': 19, 'plateau_patience': 18, 'plateau_divider': 2}. Best is trial 168 with value: 0.6586627478320549.
[I 2024-11-15 16:38:56,033] Trial 240 finished with value: 0.5956200593944355 and parameters: {'left_stride': 0, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.8143562053043268, 'batch_size': 73, 'attention_heads': 9, 'hidden_dimension': 118, 'number_of_hidden_layers': 2, 'dropout_rate': 0.32293370868653115, 'global_pooling': 'max', 'learning_rate': 0.0001594521260085018, 'weight_decay': 0.00024795212725987133, 'beta_0': 0.850792980190389, 'beta_1': 0.9896106396941894, 'epsilon': 2.488625007019998e-07, 'balanced_loss': False, 'epochs': 139, 'early_stopping_patience': 19, 'plateau_patience': 19, 'plateau_divider': 2}. Best is trial 168 with value: 0.6586627478320549.
[I 2024-11-15 16:51:04,988] Trial 241 finished with value: 0.6102211750489913 and parameters: {'left_stride': 0, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.8270550590159087, 'batch_size': 79, 'attention_heads': 9, 'hidden_dimension': 111, 'number_of_hidden_layers': 2, 'dropout_rate': 0.3152816390061106, 'global_pooling': 'max', 'learning_rate': 0.00024671450632801514, 'weight_decay': 0.00029915194410548747, 'beta_0': 0.8612567158659362, 'beta_1': 0.9888544460935325, 'epsilon': 3.582317106487922e-07, 'balanced_loss': False, 'epochs': 143, 'early_stopping_patience': 19, 'plateau_patience': 19, 'plateau_divider': 2}. Best is trial 168 with value: 0.6586627478320549.
[I 2024-11-15 17:04:19,628] Trial 242 finished with value: 0.6035484154916493 and parameters: {'left_stride': 0, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.820891992179168, 'batch_size': 84, 'attention_heads': 9, 'hidden_dimension': 126, 'number_of_hidden_layers': 2, 'dropout_rate': 0.3081908214934871, 'global_pooling': 'max', 'learning_rate': 0.00012708801567265957, 'weight_decay': 0.0004413937184360361, 'beta_0': 0.8594399099539853, 'beta_1': 0.9892564581663379, 'epsilon': 2.959482253956444e-07, 'balanced_loss': False, 'epochs': 146, 'early_stopping_patience': 19, 'plateau_patience': 19, 'plateau_divider': 2}. Best is trial 168 with value: 0.6586627478320549.
[I 2024-11-15 17:29:42,988] Trial 243 finished with value: 0.4796420007894099 and parameters: {'left_stride': 0, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.8295073552287802, 'batch_size': 76, 'attention_heads': 8, 'hidden_dimension': 133, 'number_of_hidden_layers': 2, 'dropout_rate': 0.33627676211778, 'global_pooling': 'max', 'learning_rate': 1.0942290680543605e-05, 'weight_decay': 0.00020360744256080348, 'beta_0': 0.8628607776529361, 'beta_1': 0.988254530220658, 'epsilon': 1.863053197887931e-07, 'balanced_loss': False, 'epochs': 144, 'early_stopping_patience': 19, 'plateau_patience': 18, 'plateau_divider': 2}. Best is trial 168 with value: 0.6586627478320549.
[I 2024-11-15 17:44:20,662] Trial 244 finished with value: 0.6131635257847681 and parameters: {'left_stride': 0, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.830698300965215, 'batch_size': 80, 'attention_heads': 9, 'hidden_dimension': 119, 'number_of_hidden_layers': 2, 'dropout_rate': 0.328236736800239, 'global_pooling': 'max', 'learning_rate': 9.23530158348095e-05, 'weight_decay': 0.00034045740836994415, 'beta_0': 0.8632900594028404, 'beta_1': 0.9901192644065832, 'epsilon': 3.7992639470287735e-07, 'balanced_loss': False, 'epochs': 138, 'early_stopping_patience': 19, 'plateau_patience': 19, 'plateau_divider': 2}. Best is trial 168 with value: 0.6586627478320549.
[I 2024-11-15 17:56:09,827] Trial 245 finished with value: 0.6043552652801454 and parameters: {'left_stride': 0, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.8241399244043337, 'batch_size': 82, 'attention_heads': 9, 'hidden_dimension': 114, 'number_of_hidden_layers': 2, 'dropout_rate': 0.31898652534977917, 'global_pooling': 'max', 'learning_rate': 0.0002963603210296247, 'weight_decay': 0.00039850289110986695, 'beta_0': 0.8647662175962384, 'beta_1': 0.9886422161340966, 'epsilon': 2.5488973656403815e-07, 'balanced_loss': False, 'epochs': 133, 'early_stopping_patience': 18, 'plateau_patience': 17, 'plateau_divider': 2}. Best is trial 168 with value: 0.6586627478320549.
[I 2024-11-15 18:07:45,946] Trial 246 finished with value: 0.5412829669432352 and parameters: {'left_stride': 0, 'right_stride': 0, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.8333169848678698, 'batch_size': 72, 'attention_heads': 10, 'hidden_dimension': 110, 'number_of_hidden_layers': 2, 'dropout_rate': 0.3128100195345283, 'global_pooling': 'max', 'learning_rate': 0.000330986098049337, 'weight_decay': 0.0002625156616864171, 'beta_0': 0.8571932798647101, 'beta_1': 0.9879072355691828, 'epsilon': 1.4467445589941285e-07, 'balanced_loss': False, 'epochs': 137, 'early_stopping_patience': 20, 'plateau_patience': 19, 'plateau_divider': 2}. Best is trial 168 with value: 0.6586627478320549.
[I 2024-11-15 18:20:08,624] Trial 247 finished with value: 0.6332190367089993 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.8365661683558003, 'batch_size': 77, 'attention_heads': 9, 'hidden_dimension': 123, 'number_of_hidden_layers': 2, 'dropout_rate': 0.33984965943799017, 'global_pooling': 'max', 'learning_rate': 0.00031764859540938577, 'weight_decay': 0.0003193369751513891, 'beta_0': 0.8655973285994178, 'beta_1': 0.9895565461770842, 'epsilon': 4.26975784878933e-07, 'balanced_loss': False, 'epochs': 152, 'early_stopping_patience': 19, 'plateau_patience': 18, 'plateau_divider': 2}. Best is trial 168 with value: 0.6586627478320549.
slurmstepd: error: *** JOB 13935789 ON gpu044 CANCELLED AT 2024-11-15T18:30:18 DUE TO TIME LIMIT ***
