[I 2024-12-04 10:48:56,416] Using an existing study with name 'Ohsumed-GATv2-xlnet-xlnet-base-cased-Grouped-No_Aggregation' instead of creating a new one.
[I 2024-12-04 11:07:47,541] Trial 177 finished with value: 0.5594853693070184 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8162888424088105, 'batch_size': 89, 'attention_heads': 5, 'hidden_dimension': 179, 'number_of_hidden_layers': 1, 'dropout_rate': 0.35826118309941773, 'global_pooling': 'mean', 'learning_rate': 0.00128300482062285, 'weight_decay': 9.652624869215323e-06, 'beta_0': 0.8286363772962065, 'beta_1': 0.9887392118364018, 'epsilon': 2.7529179122633776e-08, 'balanced_loss': True, 'epochs': 101, 'early_stopping_patience': 22, 'plateau_patience': 18, 'plateau_divider': 3}. Best is trial 146 with value: 0.6231222973387793.
[I 2024-12-04 21:50:51,123] Trial 214 finished with value: 0.5642436594802399 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.8189199828962238, 'batch_size': 73, 'attention_heads': 4, 'hidden_dimension': 154, 'number_of_hidden_layers': 1, 'dropout_rate': 0.3444282995832899, 'global_pooling': 'mean', 'learning_rate': 0.001525549316712259, 'weight_decay': 2.088078553682139e-05, 'beta_0': 0.8933512195475906, 'beta_1': 0.9845025116065316, 'epsilon': 3.5587843693936983e-08, 'balanced_loss': True, 'epochs': 89, 'early_stopping_patience': 22, 'plateau_patience': 18, 'plateau_divider': 2}. Best is trial 146 with value: 0.6231222973387793.
[I 2024-12-04 22:08:12,233] Trial 215 finished with value: 0.6111238870394415 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.8415060793214609, 'batch_size': 84, 'attention_heads': 4, 'hidden_dimension': 168, 'number_of_hidden_layers': 1, 'dropout_rate': 0.3363249219832549, 'global_pooling': 'mean', 'learning_rate': 0.0011121099826880262, 'weight_decay': 2.747950744621584e-05, 'beta_0': 0.8320770921100633, 'beta_1': 0.987374369381783, 'epsilon': 2.597713120176924e-08, 'balanced_loss': True, 'epochs': 94, 'early_stopping_patience': 22, 'plateau_patience': 17, 'plateau_divider': 3}. Best is trial 146 with value: 0.6231222973387793.
[I 2024-12-04 22:24:19,969] Trial 216 finished with value: 0.5779258299967104 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.84190790128503, 'batch_size': 75, 'attention_heads': 4, 'hidden_dimension': 168, 'number_of_hidden_layers': 1, 'dropout_rate': 0.33493171865170657, 'global_pooling': 'mean', 'learning_rate': 0.0013416537961329783, 'weight_decay': 2.8449224157587076e-05, 'beta_0': 0.8325763326138526, 'beta_1': 0.9952568112381072, 'epsilon': 2.4553257082898123e-08, 'balanced_loss': True, 'epochs': 96, 'early_stopping_patience': 21, 'plateau_patience': 17, 'plateau_divider': 3}. Best is trial 146 with value: 0.6231222973387793.
[I 2024-12-04 22:39:00,247] Trial 217 finished with value: 0.5275710189188709 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.9418786480555185, 'batch_size': 69, 'attention_heads': 4, 'hidden_dimension': 136, 'number_of_hidden_layers': 1, 'dropout_rate': 0.3258682638828065, 'global_pooling': 'mean', 'learning_rate': 0.0008334135429926687, 'weight_decay': 2.636713983864617e-05, 'beta_0': 0.8893291518383846, 'beta_1': 0.9854271794799441, 'epsilon': 2.6035946253701867e-08, 'balanced_loss': True, 'epochs': 93, 'early_stopping_patience': 23, 'plateau_patience': 17, 'plateau_divider': 2}. Best is trial 146 with value: 0.6231222973387793.
[I 2024-12-04 23:04:44,965] Trial 218 finished with value: 0.45870338086190304 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.8348826762943155, 'batch_size': 83, 'attention_heads': 4, 'hidden_dimension': 185, 'number_of_hidden_layers': 4, 'dropout_rate': 0.33935673636237124, 'global_pooling': 'mean', 'learning_rate': 0.0020395426568284845, 'weight_decay': 4.641109393524641e-05, 'beta_0': 0.8309913806084506, 'beta_1': 0.9861194764574454, 'epsilon': 6.399448480216813e-08, 'balanced_loss': True, 'epochs': 96, 'early_stopping_patience': 22, 'plateau_patience': 16, 'plateau_divider': 2}. Best is trial 146 with value: 0.6231222973387793.
[I 2024-12-04 23:22:48,467] Trial 219 finished with value: 0.6086424195824635 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.8294170670544784, 'batch_size': 100, 'attention_heads': 4, 'hidden_dimension': 173, 'number_of_hidden_layers': 1, 'dropout_rate': 0.35691428484998405, 'global_pooling': 'max', 'learning_rate': 0.0010116585513337555, 'weight_decay': 3.117590207935295e-05, 'beta_0': 0.8360316224339446, 'beta_1': 0.9867692436205905, 'epsilon': 4.615245277924855e-08, 'balanced_loss': True, 'epochs': 100, 'early_stopping_patience': 21, 'plateau_patience': 17, 'plateau_divider': 3}. Best is trial 146 with value: 0.6231222973387793.
[I 2024-12-04 23:41:41,894] Trial 220 finished with value: 0.5552837525906327 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.8401842697796272, 'batch_size': 100, 'attention_heads': 4, 'hidden_dimension': 149, 'number_of_hidden_layers': 1, 'dropout_rate': 0.3575697043334112, 'global_pooling': 'max', 'learning_rate': 0.0006139667948621406, 'weight_decay': 2.3848809950370986e-05, 'beta_0': 0.8363087515474706, 'beta_1': 0.9866578384297191, 'epsilon': 2.1762229504061535e-08, 'balanced_loss': True, 'epochs': 100, 'early_stopping_patience': 23, 'plateau_patience': 17, 'plateau_divider': 3}. Best is trial 146 with value: 0.6231222973387793.
[I 2024-12-05 00:00:35,239] Trial 221 finished with value: 0.5511646365588017 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.8303405464246849, 'batch_size': 103, 'attention_heads': 4, 'hidden_dimension': 143, 'number_of_hidden_layers': 1, 'dropout_rate': 0.3652269377338021, 'global_pooling': 'max', 'learning_rate': 0.0009646888356641715, 'weight_decay': 3.137105875667013e-05, 'beta_0': 0.8339811264721492, 'beta_1': 0.9857513411341127, 'epsilon': 3.099853860529014e-08, 'balanced_loss': True, 'epochs': 102, 'early_stopping_patience': 22, 'plateau_patience': 17, 'plateau_divider': 3}. Best is trial 146 with value: 0.6231222973387793.
[I 2024-12-05 00:18:43,103] Trial 222 finished with value: 0.5611984681791448 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.829263665857324, 'batch_size': 92, 'attention_heads': 4, 'hidden_dimension': 175, 'number_of_hidden_layers': 1, 'dropout_rate': 0.3537404561870939, 'global_pooling': 'max', 'learning_rate': 0.0011440386897182974, 'weight_decay': 4.150244915677466e-05, 'beta_0': 0.8317284942949289, 'beta_1': 0.9871883776030309, 'epsilon': 4.3216946846526427e-08, 'balanced_loss': True, 'epochs': 98, 'early_stopping_patience': 21, 'plateau_patience': 17, 'plateau_divider': 3}. Best is trial 146 with value: 0.6231222973387793.
[I 2024-12-05 00:36:18,949] Trial 223 finished with value: 0.5766952696611696 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.8244926179929571, 'batch_size': 78, 'attention_heads': 4, 'hidden_dimension': 180, 'number_of_hidden_layers': 1, 'dropout_rate': 0.33454491768560396, 'global_pooling': 'max', 'learning_rate': 0.0016427476281899143, 'weight_decay': 0.00017136219066963494, 'beta_0': 0.8997983377260854, 'beta_1': 0.9875589974925076, 'epsilon': 5.06692312193723e-08, 'balanced_loss': True, 'epochs': 93, 'early_stopping_patience': 21, 'plateau_patience': 17, 'plateau_divider': 3}. Best is trial 146 with value: 0.6231222973387793.
[I 2024-12-05 00:55:30,382] Trial 224 finished with value: 0.538967426491852 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.8126802731796122, 'batch_size': 97, 'attention_heads': 4, 'hidden_dimension': 171, 'number_of_hidden_layers': 1, 'dropout_rate': 0.37365008879997086, 'global_pooling': 'max', 'learning_rate': 0.0012949108306990267, 'weight_decay': 0.00015889368690370596, 'beta_0': 0.8948535534207126, 'beta_1': 0.9863412591545564, 'epsilon': 3.847489751893974e-08, 'balanced_loss': True, 'epochs': 99, 'early_stopping_patience': 22, 'plateau_patience': 20, 'plateau_divider': 2}. Best is trial 146 with value: 0.6231222973387793.
[I 2024-12-05 01:12:57,659] Trial 225 finished with value: 0.6187094042472235 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.8339122714892119, 'batch_size': 99, 'attention_heads': 4, 'hidden_dimension': 175, 'number_of_hidden_layers': 1, 'dropout_rate': 0.36046626336631116, 'global_pooling': 'mean', 'learning_rate': 0.001001032635426225, 'weight_decay': 3.254656027418874e-05, 'beta_0': 0.8366083034952867, 'beta_1': 0.9878790680405164, 'epsilon': 5.941065539400269e-08, 'balanced_loss': True, 'epochs': 106, 'early_stopping_patience': 22, 'plateau_patience': 17, 'plateau_divider': 4}. Best is trial 146 with value: 0.6231222973387793.
[I 2024-12-05 01:30:01,556] Trial 226 finished with value: 0.5437590924284657 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.8451428588583372, 'batch_size': 98, 'attention_heads': 4, 'hidden_dimension': 177, 'number_of_hidden_layers': 1, 'dropout_rate': 0.3622263357271392, 'global_pooling': 'mean', 'learning_rate': 0.000832099495584412, 'weight_decay': 3.091042130254303e-05, 'beta_0': 0.8363645116900355, 'beta_1': 0.9869260678516553, 'epsilon': 6.48156121077437e-08, 'balanced_loss': True, 'epochs': 106, 'early_stopping_patience': 22, 'plateau_patience': 17, 'plateau_divider': 4}. Best is trial 146 with value: 0.6231222973387793.
[I 2024-12-05 01:48:14,323] Trial 227 finished with value: 0.5876647701996304 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.8367542267776826, 'batch_size': 99, 'attention_heads': 4, 'hidden_dimension': 160, 'number_of_hidden_layers': 1, 'dropout_rate': 0.35278305875660193, 'global_pooling': 'mean', 'learning_rate': 0.0007107736375155876, 'weight_decay': 2.090678768485058e-05, 'beta_0': 0.8702847199159521, 'beta_1': 0.9849232425047079, 'epsilon': 5.3232016172064216e-08, 'balanced_loss': True, 'epochs': 104, 'early_stopping_patience': 22, 'plateau_patience': 17, 'plateau_divider': 3}. Best is trial 146 with value: 0.6231222973387793.
[I 2024-12-05 02:05:06,376] Trial 228 finished with value: 0.5648892101723185 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.8339612641953927, 'batch_size': 101, 'attention_heads': 4, 'hidden_dimension': 156, 'number_of_hidden_layers': 1, 'dropout_rate': 0.3701650506492903, 'global_pooling': 'mean', 'learning_rate': 0.0010150539934811128, 'weight_decay': 1.5175223994686595e-05, 'beta_0': 0.8391612173138041, 'beta_1': 0.9881992342693503, 'epsilon': 2.9722477266683016e-08, 'balanced_loss': True, 'epochs': 110, 'early_stopping_patience': 22, 'plateau_patience': 16, 'plateau_divider': 4}. Best is trial 146 with value: 0.6231222973387793.
[I 2024-12-05 02:21:45,309] Trial 229 finished with value: 0.4967476260187095 and parameters: {'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'max', 'threshold': 0.8041538038904262, 'batch_size': 87, 'attention_heads': 4, 'hidden_dimension': 167, 'number_of_hidden_layers': 1, 'dropout_rate': 0.3581095504587626, 'global_pooling': 'mean', 'learning_rate': 0.0014434433063455023, 'weight_decay': 5.4428268830267124e-05, 'beta_0': 0.8345586487480504, 'beta_1': 0.9879786721258693, 'epsilon': 7.772836529269174e-08, 'balanced_loss': True, 'epochs': 101, 'early_stopping_patience': 22, 'plateau_patience': 17, 'plateau_divider': 3}. Best is trial 146 with value: 0.6231222973387793.
[I 2024-12-05 02:39:31,479] Trial 230 finished with value: 0.5768890755489081 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.8101748916233201, 'batch_size': 95, 'attention_heads': 4, 'hidden_dimension': 193, 'number_of_hidden_layers': 1, 'dropout_rate': 0.3462493426666666, 'global_pooling': 'mean', 'learning_rate': 0.0017714800641455857, 'weight_decay': 1.2463056411671593e-05, 'beta_0': 0.8370330522546646, 'beta_1': 0.9843281515250648, 'epsilon': 5.719322068451147e-08, 'balanced_loss': True, 'epochs': 96, 'early_stopping_patience': 23, 'plateau_patience': 17, 'plateau_divider': 3}. Best is trial 146 with value: 0.6231222973387793.
[I 2024-12-05 02:58:28,244] Trial 231 finished with value: 0.58067848089345 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8216567682015381, 'batch_size': 90, 'attention_heads': 4, 'hidden_dimension': 187, 'number_of_hidden_layers': 1, 'dropout_rate': 0.3650919760754661, 'global_pooling': 'mean', 'learning_rate': 0.000903547156262389, 'weight_decay': 2.744590416825815e-05, 'beta_0': 0.8324786918636734, 'beta_1': 0.9854151958043738, 'epsilon': 4.397113548101584e-08, 'balanced_loss': True, 'epochs': 107, 'early_stopping_patience': 22, 'plateau_patience': 17, 'plateau_divider': 4}. Best is trial 146 with value: 0.6231222973387793.
[I 2024-12-05 03:15:36,753] Trial 232 finished with value: 0.5760454953438277 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.8330144296308296, 'batch_size': 73, 'attention_heads': 4, 'hidden_dimension': 176, 'number_of_hidden_layers': 1, 'dropout_rate': 0.35083574734907425, 'global_pooling': 'mean', 'learning_rate': 0.0011110444596550936, 'weight_decay': 3.738860252196288e-05, 'beta_0': 0.8300533774061921, 'beta_1': 0.9871815453338734, 'epsilon': 4.1703561153949055e-08, 'balanced_loss': True, 'epochs': 92, 'early_stopping_patience': 21, 'plateau_patience': 19, 'plateau_divider': 2}. Best is trial 146 with value: 0.6231222973387793.
[I 2024-12-05 03:32:30,736] Trial 233 finished with value: 0.5948844523292071 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.8270048128906143, 'batch_size': 94, 'attention_heads': 4, 'hidden_dimension': 172, 'number_of_hidden_layers': 1, 'dropout_rate': 0.3426745413215349, 'global_pooling': 'mean', 'learning_rate': 0.0012697001366556691, 'weight_decay': 3.205921635130344e-05, 'beta_0': 0.8925380791775568, 'beta_1': 0.9877908869304188, 'epsilon': 3.3266748347399593e-08, 'balanced_loss': True, 'epochs': 98, 'early_stopping_patience': 22, 'plateau_patience': 17, 'plateau_divider': 2}. Best is trial 146 with value: 0.6231222973387793.
[I 2024-12-05 03:50:20,457] Trial 234 finished with value: 0.591337286641956 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.815532369856909, 'batch_size': 94, 'attention_heads': 4, 'hidden_dimension': 183, 'number_of_hidden_layers': 1, 'dropout_rate': 0.34015069419046057, 'global_pooling': 'mean', 'learning_rate': 0.0013343411570096687, 'weight_decay': 3.3555045044135956e-05, 'beta_0': 0.8919961278784142, 'beta_1': 0.9876788634880499, 'epsilon': 2.637028166926466e-08, 'balanced_loss': True, 'epochs': 99, 'early_stopping_patience': 22, 'plateau_patience': 17, 'plateau_divider': 3}. Best is trial 146 with value: 0.6231222973387793.
[I 2024-12-05 04:08:13,434] Trial 235 finished with value: 0.5853752773059667 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.8249036535322096, 'batch_size': 96, 'attention_heads': 4, 'hidden_dimension': 169, 'number_of_hidden_layers': 1, 'dropout_rate': 0.34360986285685924, 'global_pooling': 'mean', 'learning_rate': 0.0015021510713090055, 'weight_decay': 2.4401557749765145e-05, 'beta_0': 0.8861673184387275, 'beta_1': 0.98869713597868, 'epsilon': 3.1639936069115013e-08, 'balanced_loss': True, 'epochs': 102, 'early_stopping_patience': 22, 'plateau_patience': 17, 'plateau_divider': 2}. Best is trial 146 with value: 0.6231222973387793.
[I 2024-12-05 04:25:25,146] Trial 236 finished with value: 0.5392576809269657 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.8136166422683343, 'batch_size': 92, 'attention_heads': 4, 'hidden_dimension': 164, 'number_of_hidden_layers': 1, 'dropout_rate': 0.3567626604036183, 'global_pooling': 'mean', 'learning_rate': 0.0010068976219042437, 'weight_decay': 0.000146671971689048, 'beta_0': 0.8807989484770385, 'beta_1': 0.9866267040847765, 'epsilon': 3.4531285570341385e-08, 'balanced_loss': True, 'epochs': 97, 'early_stopping_patience': 22, 'plateau_patience': 17, 'plateau_divider': 2}. Best is trial 146 with value: 0.6231222973387793.
[I 2024-12-05 04:43:21,396] Trial 237 finished with value: 0.5863521418924794 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8069852965178322, 'batch_size': 100, 'attention_heads': 4, 'hidden_dimension': 148, 'number_of_hidden_layers': 1, 'dropout_rate': 0.35090820618417173, 'global_pooling': 'mean', 'learning_rate': 0.0013073827122341538, 'weight_decay': 1.684391740021738e-05, 'beta_0': 0.8903207087178228, 'beta_1': 0.9859663040460911, 'epsilon': 2.11544861533287e-08, 'balanced_loss': True, 'epochs': 105, 'early_stopping_patience': 22, 'plateau_patience': 16, 'plateau_divider': 3}. Best is trial 146 with value: 0.6231222973387793.
[I 2024-12-05 05:00:29,822] Trial 238 finished with value: 0.5692994366654616 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.8202382562788886, 'batch_size': 80, 'attention_heads': 4, 'hidden_dimension': 181, 'number_of_hidden_layers': 1, 'dropout_rate': 0.3452338339054141, 'global_pooling': 'mean', 'learning_rate': 0.0019473455012757874, 'weight_decay': 1.3901369524648708e-05, 'beta_0': 0.8644046762347264, 'beta_1': 0.9881311214476235, 'epsilon': 5.187021795016454e-08, 'balanced_loss': True, 'epochs': 94, 'early_stopping_patience': 23, 'plateau_patience': 18, 'plateau_divider': 2}. Best is trial 146 with value: 0.6231222973387793.
[I 2024-12-05 05:18:02,435] Trial 239 finished with value: 0.5776782021072603 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8320426380016084, 'batch_size': 98, 'attention_heads': 4, 'hidden_dimension': 171, 'number_of_hidden_layers': 1, 'dropout_rate': 0.33848566008137604, 'global_pooling': 'mean', 'learning_rate': 0.0007850622070472515, 'weight_decay': 2.65639093779049e-05, 'beta_0': 0.8353755616573204, 'beta_1': 0.9846733752799884, 'epsilon': 3.772342543554825e-08, 'balanced_loss': True, 'epochs': 101, 'early_stopping_patience': 22, 'plateau_patience': 17, 'plateau_divider': 5}. Best is trial 146 with value: 0.6231222973387793.
[I 2024-12-05 05:34:39,127] Trial 240 finished with value: 0.54272114072798 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.8112722071697116, 'batch_size': 102, 'attention_heads': 4, 'hidden_dimension': 141, 'number_of_hidden_layers': 1, 'dropout_rate': 0.35897280891060407, 'global_pooling': 'mean', 'learning_rate': 0.0011865646421550132, 'weight_decay': 3.17693526019427e-05, 'beta_0': 0.8267527314463359, 'beta_1': 0.9850772518638022, 'epsilon': 2.699546286381534e-08, 'balanced_loss': True, 'epochs': 98, 'early_stopping_patience': 22, 'plateau_patience': 16, 'plateau_divider': 3}. Best is trial 146 with value: 0.6231222973387793.
[I 2024-12-05 05:52:56,262] Trial 241 finished with value: 0.5239203900939415 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8175181878714877, 'batch_size': 88, 'attention_heads': 5, 'hidden_dimension': 176, 'number_of_hidden_layers': 1, 'dropout_rate': 0.33207898671235764, 'global_pooling': 'max', 'learning_rate': 0.001671669305743235, 'weight_decay': 1.97413801944328e-05, 'beta_0': 0.833310357000109, 'beta_1': 0.9870697381350257, 'epsilon': 6.973905452630921e-08, 'balanced_loss': True, 'epochs': 104, 'early_stopping_patience': 23, 'plateau_patience': 18, 'plateau_divider': 2}. Best is trial 146 with value: 0.6231222973387793.
[I 2024-12-05 06:10:22,717] Trial 242 finished with value: 0.5685390596863803 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.8273691311315774, 'batch_size': 76, 'attention_heads': 4, 'hidden_dimension': 175, 'number_of_hidden_layers': 1, 'dropout_rate': 0.3484522562834178, 'global_pooling': 'mean', 'learning_rate': 0.0010419992392566193, 'weight_decay': 3.6578302467264825e-05, 'beta_0': 0.8938416482850193, 'beta_1': 0.9878132497935178, 'epsilon': 4.2736802386304004e-08, 'balanced_loss': True, 'epochs': 90, 'early_stopping_patience': 21, 'plateau_patience': 17, 'plateau_divider': 2}. Best is trial 146 with value: 0.6231222973387793.
[I 2024-12-05 06:27:54,445] Trial 243 finished with value: 0.5615424775311482 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.8297647676819636, 'batch_size': 84, 'attention_heads': 4, 'hidden_dimension': 173, 'number_of_hidden_layers': 1, 'dropout_rate': 0.3543017960002939, 'global_pooling': 'mean', 'learning_rate': 0.0012098782280153574, 'weight_decay': 4.4980839619197606e-05, 'beta_0': 0.8963687347209351, 'beta_1': 0.9874016030557359, 'epsilon': 4.8313093614045415e-08, 'balanced_loss': True, 'epochs': 94, 'early_stopping_patience': 22, 'plateau_patience': 18, 'plateau_divider': 2}. Best is trial 146 with value: 0.6231222973387793.
[I 2024-12-05 06:44:47,466] Trial 244 finished with value: 0.5619616590039547 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.8377021028260045, 'batch_size': 105, 'attention_heads': 4, 'hidden_dimension': 162, 'number_of_hidden_layers': 1, 'dropout_rate': 0.33834381655817175, 'global_pooling': 'mean', 'learning_rate': 0.0014367070600754177, 'weight_decay': 3.984935723810525e-05, 'beta_0': 0.8308564245767115, 'beta_1': 0.9876055615369022, 'epsilon': 3.2576465642268575e-08, 'balanced_loss': True, 'epochs': 91, 'early_stopping_patience': 21, 'plateau_patience': 17, 'plateau_divider': 2}. Best is trial 146 with value: 0.6231222973387793.
[I 2024-12-05 07:02:23,898] Trial 245 finished with value: 0.5741386099614462 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.8246575700919027, 'batch_size': 94, 'attention_heads': 4, 'hidden_dimension': 153, 'number_of_hidden_layers': 1, 'dropout_rate': 0.33138006101222073, 'global_pooling': 'mean', 'learning_rate': 0.0009923472729992922, 'weight_decay': 2.9744329528383684e-05, 'beta_0': 0.8404617973064196, 'beta_1': 0.9854745421650708, 'epsilon': 3.9538280336482e-08, 'balanced_loss': True, 'epochs': 87, 'early_stopping_patience': 22, 'plateau_patience': 19, 'plateau_divider': 2}. Best is trial 146 with value: 0.6231222973387793.
[I 2024-12-05 07:22:02,733] Trial 246 finished with value: 0.5576051126978612 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.8208195999295959, 'batch_size': 91, 'attention_heads': 4, 'hidden_dimension': 180, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4557070814394407, 'global_pooling': 'mean', 'learning_rate': 0.0012261883414079633, 'weight_decay': 0.00013069761058890077, 'beta_0': 0.8384103195200425, 'beta_1': 0.9867715583534986, 'epsilon': 5.9135762540605317e-08, 'balanced_loss': True, 'epochs': 96, 'early_stopping_patience': 22, 'plateau_patience': 17, 'plateau_divider': 2}. Best is trial 146 with value: 0.6231222973387793.
[I 2024-12-05 07:39:24,053] Trial 247 finished with value: 0.5937764191746996 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8145049180589113, 'batch_size': 97, 'attention_heads': 4, 'hidden_dimension': 168, 'number_of_hidden_layers': 1, 'dropout_rate': 0.31867200202104223, 'global_pooling': 'mean', 'learning_rate': 0.0008354941918039695, 'weight_decay': 6.617486186473676e-05, 'beta_0': 0.8914189799715129, 'beta_1': 0.9863112940398329, 'epsilon': 4.731242180697246e-08, 'balanced_loss': True, 'epochs': 99, 'early_stopping_patience': 20, 'plateau_patience': 18, 'plateau_divider': 3}. Best is trial 146 with value: 0.6231222973387793.
[I 2024-12-05 07:58:30,431] Trial 248 finished with value: 0.2556617156850752 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8149349472429878, 'batch_size': 96, 'attention_heads': 4, 'hidden_dimension': 159, 'number_of_hidden_layers': 1, 'dropout_rate': 0.3620802360147052, 'global_pooling': 'sum', 'learning_rate': 0.0008291764633675925, 'weight_decay': 7.138583771174578e-05, 'beta_0': 0.892154124470306, 'beta_1': 0.9862280440208256, 'epsilon': 5.0295690623480574e-08, 'balanced_loss': True, 'epochs': 101, 'early_stopping_patience': 22, 'plateau_patience': 18, 'plateau_divider': 3}. Best is trial 146 with value: 0.6231222973387793.
[I 2024-12-05 08:14:40,860] Trial 249 finished with value: 0.5142052023906549 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8087912019832685, 'batch_size': 97, 'attention_heads': 4, 'hidden_dimension': 166, 'number_of_hidden_layers': 1, 'dropout_rate': 0.3171817275873596, 'global_pooling': 'mean', 'learning_rate': 0.0006662381624406799, 'weight_decay': 9.003779044523668e-05, 'beta_0': 0.8916334362969301, 'beta_1': 0.9858492051333008, 'epsilon': 2.8274532224293954e-08, 'balanced_loss': False, 'epochs': 98, 'early_stopping_patience': 22, 'plateau_patience': 18, 'plateau_divider': 3}. Best is trial 146 with value: 0.6231222973387793.
[I 2024-12-05 08:31:15,751] Trial 250 finished with value: 0.5482760596764706 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8132082797514393, 'batch_size': 100, 'attention_heads': 4, 'hidden_dimension': 149, 'number_of_hidden_layers': 1, 'dropout_rate': 0.34538363027643165, 'global_pooling': 'mean', 'learning_rate': 0.0009296842904792744, 'weight_decay': 6.738606818058063e-05, 'beta_0': 0.8328463042522942, 'beta_1': 0.9863405642889955, 'epsilon': 3.6319300294556176e-08, 'balanced_loss': True, 'epochs': 103, 'early_stopping_patience': 17, 'plateau_patience': 17, 'plateau_divider': 3}. Best is trial 146 with value: 0.6231222973387793.
[I 2024-12-05 08:48:11,203] Trial 251 finished with value: 0.561176021858794 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8059860209527393, 'batch_size': 86, 'attention_heads': 5, 'hidden_dimension': 155, 'number_of_hidden_layers': 1, 'dropout_rate': 0.35536838054404857, 'global_pooling': 'mean', 'learning_rate': 0.0016675564453414503, 'weight_decay': 0.00010754508162037153, 'beta_0': 0.8292410176141225, 'beta_1': 0.9840405504911524, 'epsilon': 1.7812584601352528e-08, 'balanced_loss': True, 'epochs': 99, 'early_stopping_patience': 19, 'plateau_patience': 18, 'plateau_divider': 3}. Best is trial 146 with value: 0.6231222973387793.
