[I 2024-11-30 06:30:22,122] Using an existing study with name 'Ohsumed-GATv2-google-bert-bert-base-uncased-Grouped-Global_Aggregation' instead of creating a new one.
Token indices sequence length is longer than the specified maximum sequence length for this model (611 > 512). Running this sequence through the model will result in indexing errors
[I 2024-11-30 06:51:38,409] Trial 157 finished with value: 0.6134342704237122 and parameters: {'left_stride': 64, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8631043782446879, 'batch_size': 61, 'attention_heads': 9, 'hidden_dimension': 242, 'number_of_hidden_layers': 2, 'dropout_rate': 0.34998559553728703, 'global_pooling': 'max', 'learning_rate': 9.646769676645043e-05, 'weight_decay': 3.782985071063212e-06, 'beta_0': 0.8665279012455017, 'beta_1': 0.9867009454996012, 'epsilon': 1.1875098185159952e-06, 'balanced_loss': False, 'epochs': 98, 'early_stopping_patience': 24, 'plateau_patience': 21, 'plateau_divider': 7}. Best is trial 125 with value: 0.6536439010367193.
[I 2024-11-30 21:16:22,798] Trial 193 finished with value: 0.6246545630995319 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8801216139955231, 'batch_size': 56, 'attention_heads': 15, 'hidden_dimension': 239, 'number_of_hidden_layers': 2, 'dropout_rate': 0.37249746085218455, 'global_pooling': 'max', 'learning_rate': 0.0001862189042313359, 'weight_decay': 5.0598649977292475e-06, 'beta_0': 0.8690918149682603, 'beta_1': 0.986672897169104, 'epsilon': 4.5989023265864585e-07, 'balanced_loss': False, 'epochs': 112, 'early_stopping_patience': 25, 'plateau_patience': 22, 'plateau_divider': 7}. Best is trial 125 with value: 0.6536439010367193.
[I 2024-11-30 21:43:09,596] Trial 194 finished with value: 0.6181702870448107 and parameters: {'left_stride': 64, 'right_stride': 32, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8918392586519291, 'batch_size': 60, 'attention_heads': 16, 'hidden_dimension': 243, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4644095270889577, 'global_pooling': 'max', 'learning_rate': 0.0001380398213996086, 'weight_decay': 8.115198097160208e-06, 'beta_0': 0.864418798536709, 'beta_1': 0.9860385264035418, 'epsilon': 6.849484452550509e-07, 'balanced_loss': False, 'epochs': 107, 'early_stopping_patience': 25, 'plateau_patience': 21, 'plateau_divider': 7}. Best is trial 125 with value: 0.6536439010367193.
[I 2024-11-30 22:09:29,430] Trial 195 finished with value: 0.6185740031534778 and parameters: {'left_stride': 128, 'right_stride': 32, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8833625390778602, 'batch_size': 58, 'attention_heads': 15, 'hidden_dimension': 233, 'number_of_hidden_layers': 2, 'dropout_rate': 0.36249011708282036, 'global_pooling': 'max', 'learning_rate': 0.0001153083127837097, 'weight_decay': 3.1110860032440957e-06, 'beta_0': 0.8579977321615826, 'beta_1': 0.9840829818054604, 'epsilon': 5.52466044534062e-07, 'balanced_loss': False, 'epochs': 103, 'early_stopping_patience': 25, 'plateau_patience': 23, 'plateau_divider': 7}. Best is trial 125 with value: 0.6536439010367193.
[I 2024-11-30 22:37:42,135] Trial 196 finished with value: 0.6254409537520562 and parameters: {'left_stride': 64, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8750936180738428, 'batch_size': 66, 'attention_heads': 14, 'hidden_dimension': 238, 'number_of_hidden_layers': 2, 'dropout_rate': 0.34147502789900624, 'global_pooling': 'max', 'learning_rate': 0.00010613981618297962, 'weight_decay': 2.985895418539279e-06, 'beta_0': 0.8398382307956456, 'beta_1': 0.9862925800550444, 'epsilon': 8.666674782867375e-07, 'balanced_loss': False, 'epochs': 115, 'early_stopping_patience': 25, 'plateau_patience': 22, 'plateau_divider': 8}. Best is trial 125 with value: 0.6536439010367193.
[I 2024-11-30 23:00:18,250] Trial 197 finished with value: 0.5284388499384189 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.8678574720803146, 'batch_size': 61, 'attention_heads': 15, 'hidden_dimension': 252, 'number_of_hidden_layers': 2, 'dropout_rate': 0.3781207512803286, 'global_pooling': 'max', 'learning_rate': 0.00016832275383654033, 'weight_decay': 5.843564061608653e-06, 'beta_0': 0.8703815337207222, 'beta_1': 0.9855404211138551, 'epsilon': 4.0523721354667135e-07, 'balanced_loss': False, 'epochs': 111, 'early_stopping_patience': 14, 'plateau_patience': 20, 'plateau_divider': 7}. Best is trial 125 with value: 0.6536439010367193.
[I 2024-11-30 23:23:14,480] Trial 198 finished with value: 0.6229530662332108 and parameters: {'left_stride': 64, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8794221791412087, 'batch_size': 54, 'attention_heads': 13, 'hidden_dimension': 230, 'number_of_hidden_layers': 2, 'dropout_rate': 0.3853905698117114, 'global_pooling': 'max', 'learning_rate': 0.0001477554210087584, 'weight_decay': 3.7380268896686187e-06, 'beta_0': 0.8612465979468906, 'beta_1': 0.9868125381079373, 'epsilon': 7.15608849170603e-07, 'balanced_loss': False, 'epochs': 122, 'early_stopping_patience': 25, 'plateau_patience': 24, 'plateau_divider': 9}. Best is trial 125 with value: 0.6536439010367193.
[I 2024-11-30 23:50:52,089] Trial 199 finished with value: 0.6123731537831285 and parameters: {'left_stride': 64, 'right_stride': 32, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8576598226746468, 'batch_size': 57, 'attention_heads': 14, 'hidden_dimension': 248, 'number_of_hidden_layers': 2, 'dropout_rate': 0.36833608363919756, 'global_pooling': 'max', 'learning_rate': 0.0002229671941607763, 'weight_decay': 4.417553834693542e-06, 'beta_0': 0.8672323876921779, 'beta_1': 0.9871356278522607, 'epsilon': 5.645169744690999e-07, 'balanced_loss': False, 'epochs': 99, 'early_stopping_patience': 25, 'plateau_patience': 21, 'plateau_divider': 7}. Best is trial 125 with value: 0.6536439010367193.
[I 2024-12-01 00:03:12,941] Trial 200 finished with value: 0.2769787660009987 and parameters: {'left_stride': 64, 'right_stride': 32, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.997114467486401, 'batch_size': 63, 'attention_heads': 16, 'hidden_dimension': 242, 'number_of_hidden_layers': 2, 'dropout_rate': 0.35690145377845284, 'global_pooling': 'max', 'learning_rate': 0.00013207949888396773, 'weight_decay': 6.6920482474829086e-06, 'beta_0': 0.8716307032255507, 'beta_1': 0.9836257101242306, 'epsilon': 7.40905868495861e-07, 'balanced_loss': False, 'epochs': 108, 'early_stopping_patience': 25, 'plateau_patience': 22, 'plateau_divider': 7}. Best is trial 125 with value: 0.6536439010367193.
[I 2024-12-01 00:30:43,769] Trial 201 finished with value: 0.6332533139282794 and parameters: {'left_stride': 64, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8652325030659521, 'batch_size': 60, 'attention_heads': 15, 'hidden_dimension': 236, 'number_of_hidden_layers': 2, 'dropout_rate': 0.3634919334881245, 'global_pooling': 'mean', 'learning_rate': 0.00010383101341472312, 'weight_decay': 8.882851681675115e-06, 'beta_0': 0.8655279585955542, 'beta_1': 0.9859314713873008, 'epsilon': 4.850809298931692e-07, 'balanced_loss': False, 'epochs': 103, 'early_stopping_patience': 25, 'plateau_patience': 20, 'plateau_divider': 7}. Best is trial 125 with value: 0.6536439010367193.
[I 2024-12-01 00:58:28,722] Trial 202 finished with value: 0.6260274874931909 and parameters: {'left_stride': 64, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8646555740602764, 'batch_size': 60, 'attention_heads': 15, 'hidden_dimension': 235, 'number_of_hidden_layers': 2, 'dropout_rate': 0.3638934033197771, 'global_pooling': 'mean', 'learning_rate': 0.00010349363697202744, 'weight_decay': 4.1712238856463325e-05, 'beta_0': 0.8630819185149677, 'beta_1': 0.985800666869554, 'epsilon': 4.59122530136357e-07, 'balanced_loss': False, 'epochs': 103, 'early_stopping_patience': 25, 'plateau_patience': 20, 'plateau_divider': 7}. Best is trial 125 with value: 0.6536439010367193.
[I 2024-12-01 01:25:31,934] Trial 203 finished with value: 0.6350005161470612 and parameters: {'left_stride': 64, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8731720555927809, 'batch_size': 65, 'attention_heads': 15, 'hidden_dimension': 238, 'number_of_hidden_layers': 2, 'dropout_rate': 0.37337894034624636, 'global_pooling': 'mean', 'learning_rate': 0.00018420417207039698, 'weight_decay': 1.2711544034944421e-05, 'beta_0': 0.865677989763169, 'beta_1': 0.9865656672039601, 'epsilon': 3.352171597076425e-07, 'balanced_loss': False, 'epochs': 95, 'early_stopping_patience': 25, 'plateau_patience': 21, 'plateau_divider': 7}. Best is trial 125 with value: 0.6536439010367193.
[I 2024-12-01 01:51:13,886] Trial 204 finished with value: 0.6370330456293413 and parameters: {'left_stride': 64, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8753049557105897, 'batch_size': 67, 'attention_heads': 15, 'hidden_dimension': 244, 'number_of_hidden_layers': 2, 'dropout_rate': 0.37256810784908634, 'global_pooling': 'mean', 'learning_rate': 0.00017824423604425474, 'weight_decay': 1.1788897445300657e-05, 'beta_0': 0.8654709042353601, 'beta_1': 0.9865019477608764, 'epsilon': 2.3227674464714107e-07, 'balanced_loss': False, 'epochs': 96, 'early_stopping_patience': 25, 'plateau_patience': 21, 'plateau_divider': 7}. Best is trial 125 with value: 0.6536439010367193.
[I 2024-12-01 02:19:01,511] Trial 205 finished with value: 0.6212289276048025 and parameters: {'left_stride': 64, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.87434811687601, 'batch_size': 68, 'attention_heads': 15, 'hidden_dimension': 245, 'number_of_hidden_layers': 2, 'dropout_rate': 0.3757011335895163, 'global_pooling': 'mean', 'learning_rate': 0.0001913733705409131, 'weight_decay': 1.8056317576594912e-05, 'beta_0': 0.8685185577140132, 'beta_1': 0.9865187830997884, 'epsilon': 2.90770688964094e-07, 'balanced_loss': False, 'epochs': 96, 'early_stopping_patience': 25, 'plateau_patience': 21, 'plateau_divider': 7}. Best is trial 125 with value: 0.6536439010367193.
[I 2024-12-01 02:45:00,056] Trial 206 finished with value: 0.6248886690897469 and parameters: {'left_stride': 64, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8853422759567744, 'batch_size': 73, 'attention_heads': 15, 'hidden_dimension': 249, 'number_of_hidden_layers': 2, 'dropout_rate': 0.3706347768856632, 'global_pooling': 'mean', 'learning_rate': 0.0002685745781675273, 'weight_decay': 1.2307348102868492e-05, 'beta_0': 0.8658335801637097, 'beta_1': 0.9809192573242826, 'epsilon': 2.3519164086391884e-07, 'balanced_loss': False, 'epochs': 92, 'early_stopping_patience': 25, 'plateau_patience': 21, 'plateau_divider': 8}. Best is trial 125 with value: 0.6536439010367193.
[I 2024-12-01 03:11:47,134] Trial 207 finished with value: 0.6157503543249759 and parameters: {'left_stride': 64, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8704754209362804, 'batch_size': 65, 'attention_heads': 15, 'hidden_dimension': 242, 'number_of_hidden_layers': 2, 'dropout_rate': 0.382231344922235, 'global_pooling': 'mean', 'learning_rate': 0.00018554628376436127, 'weight_decay': 1.1319986538438662e-05, 'beta_0': 0.8629172821400278, 'beta_1': 0.9851990558459417, 'epsilon': 3.5041733215096043e-07, 'balanced_loss': False, 'epochs': 95, 'early_stopping_patience': 25, 'plateau_patience': 21, 'plateau_divider': 7}. Best is trial 125 with value: 0.6536439010367193.
[I 2024-12-01 03:39:34,934] Trial 208 finished with value: 0.6323217459859134 and parameters: {'left_stride': 64, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8780953449567274, 'batch_size': 67, 'attention_heads': 16, 'hidden_dimension': 239, 'number_of_hidden_layers': 2, 'dropout_rate': 0.3900108800292528, 'global_pooling': 'mean', 'learning_rate': 0.0001573057870927603, 'weight_decay': 1.554969792392504e-05, 'beta_0': 0.8698427672551171, 'beta_1': 0.9867966804302841, 'epsilon': 3.742075701253951e-07, 'balanced_loss': False, 'epochs': 90, 'early_stopping_patience': 24, 'plateau_patience': 20, 'plateau_divider': 7}. Best is trial 125 with value: 0.6536439010367193.
[I 2024-12-01 04:06:19,347] Trial 209 finished with value: 0.6077018605136874 and parameters: {'left_stride': 64, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8734160795270665, 'batch_size': 65, 'attention_heads': 14, 'hidden_dimension': 253, 'number_of_hidden_layers': 2, 'dropout_rate': 0.37676653106575814, 'global_pooling': 'mean', 'learning_rate': 0.00023528231892896927, 'weight_decay': 5.0184074417035645e-06, 'beta_0': 0.8745983169029536, 'beta_1': 0.9862086137959182, 'epsilon': 2.452772418582793e-07, 'balanced_loss': False, 'epochs': 99, 'early_stopping_patience': 25, 'plateau_patience': 21, 'plateau_divider': 7}. Best is trial 125 with value: 0.6536439010367193.
[I 2024-12-01 04:33:35,946] Trial 210 finished with value: 0.6194596897975346 and parameters: {'left_stride': 64, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8824006768898369, 'batch_size': 63, 'attention_heads': 16, 'hidden_dimension': 245, 'number_of_hidden_layers': 2, 'dropout_rate': 0.3694826031460832, 'global_pooling': 'mean', 'learning_rate': 0.00013373297455945572, 'weight_decay': 2.764100154406425e-06, 'beta_0': 0.8596472168853692, 'beta_1': 0.9847771906558148, 'epsilon': 1.7651521755963918e-07, 'balanced_loss': False, 'epochs': 117, 'early_stopping_patience': 24, 'plateau_patience': 21, 'plateau_divider': 7}. Best is trial 125 with value: 0.6536439010367193.
[I 2024-12-01 04:56:46,287] Trial 211 finished with value: 0.04121968037985499 and parameters: {'left_stride': 256, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.9011258565366222, 'batch_size': 62, 'attention_heads': 15, 'hidden_dimension': 249, 'number_of_hidden_layers': 2, 'dropout_rate': 0.3810380656041131, 'global_pooling': 'mean', 'learning_rate': 0.0154033431805622, 'weight_decay': 9.036091558281823e-06, 'beta_0': 0.8716559005582969, 'beta_1': 0.9865361581243764, 'epsilon': 3.085047440069749e-07, 'balanced_loss': False, 'epochs': 133, 'early_stopping_patience': 25, 'plateau_patience': 21, 'plateau_divider': 8}. Best is trial 125 with value: 0.6536439010367193.
[I 2024-12-01 05:23:58,307] Trial 212 finished with value: 0.6394043512968322 and parameters: {'left_stride': 64, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8673638846843544, 'batch_size': 59, 'attention_heads': 15, 'hidden_dimension': 236, 'number_of_hidden_layers': 2, 'dropout_rate': 0.36407599966952237, 'global_pooling': 'mean', 'learning_rate': 0.00016685419465737756, 'weight_decay': 9.113080875987226e-06, 'beta_0': 0.865239346914697, 'beta_1': 0.9855146645273369, 'epsilon': 4.456969974426008e-07, 'balanced_loss': False, 'epochs': 102, 'early_stopping_patience': 25, 'plateau_patience': 20, 'plateau_divider': 7}. Best is trial 125 with value: 0.6536439010367193.
[I 2024-12-01 05:51:58,839] Trial 213 finished with value: 0.6134139335143368 and parameters: {'left_stride': 64, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8692764207741221, 'batch_size': 56, 'attention_heads': 15, 'hidden_dimension': 240, 'number_of_hidden_layers': 2, 'dropout_rate': 0.3737821491889608, 'global_pooling': 'mean', 'learning_rate': 0.00017460253003291927, 'weight_decay': 7.840535090505548e-06, 'beta_0': 0.8648057712440301, 'beta_1': 0.9854977169338722, 'epsilon': 5.954743586400327e-07, 'balanced_loss': False, 'epochs': 87, 'early_stopping_patience': 25, 'plateau_patience': 20, 'plateau_divider': 7}. Best is trial 125 with value: 0.6536439010367193.
[I 2024-12-01 06:17:14,201] Trial 214 finished with value: 0.6447917696466707 and parameters: {'left_stride': 64, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8749863980112939, 'batch_size': 58, 'attention_heads': 15, 'hidden_dimension': 234, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4378100331066018, 'global_pooling': 'mean', 'learning_rate': 0.000149291996783603, 'weight_decay': 1.0313341298136048e-05, 'beta_0': 0.8675879741893074, 'beta_1': 0.9844486307432901, 'epsilon': 4.1481899018872725e-07, 'balanced_loss': False, 'epochs': 101, 'early_stopping_patience': 25, 'plateau_patience': 20, 'plateau_divider': 7}. Best is trial 125 with value: 0.6536439010367193.
[I 2024-12-01 06:42:32,540] Trial 215 finished with value: 0.5976753694447021 and parameters: {'left_stride': 64, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8754159972309895, 'batch_size': 58, 'attention_heads': 15, 'hidden_dimension': 233, 'number_of_hidden_layers': 2, 'dropout_rate': 0.3591239431122451, 'global_pooling': 'mean', 'learning_rate': 0.0002134704804639655, 'weight_decay': 1.1389449869946087e-05, 'beta_0': 0.8672966616628374, 'beta_1': 0.9849948469010047, 'epsilon': 3.7933899977149823e-07, 'balanced_loss': False, 'epochs': 106, 'early_stopping_patience': 25, 'plateau_patience': 20, 'plateau_divider': 2}. Best is trial 125 with value: 0.6536439010367193.
[I 2024-12-01 07:08:07,214] Trial 216 finished with value: 0.617745845031366 and parameters: {'left_stride': 64, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8775526096143359, 'batch_size': 64, 'attention_heads': 15, 'hidden_dimension': 229, 'number_of_hidden_layers': 2, 'dropout_rate': 0.3511138878497005, 'global_pooling': 'mean', 'learning_rate': 0.00012922730388310747, 'weight_decay': 8.533758153161261e-06, 'beta_0': 0.863025202854387, 'beta_1': 0.983905512143665, 'epsilon': 2.2243050711502972e-07, 'balanced_loss': False, 'epochs': 102, 'early_stopping_patience': 25, 'plateau_patience': 20, 'plateau_divider': 7}. Best is trial 125 with value: 0.6536439010367193.
[I 2024-12-01 07:32:26,644] Trial 217 finished with value: 0.6145780758377619 and parameters: {'left_stride': 64, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.8895783823985604, 'batch_size': 61, 'attention_heads': 14, 'hidden_dimension': 237, 'number_of_hidden_layers': 2, 'dropout_rate': 0.409053888253932, 'global_pooling': 'mean', 'learning_rate': 0.00019155962544866926, 'weight_decay': 1.131434734497963e-05, 'beta_0': 0.8608028696091897, 'beta_1': 0.9843743826745502, 'epsilon': 2.9655677174071193e-07, 'balanced_loss': False, 'epochs': 100, 'early_stopping_patience': 25, 'plateau_patience': 20, 'plateau_divider': 7}. Best is trial 125 with value: 0.6536439010367193.
[I 2024-12-01 08:00:56,045] Trial 218 finished with value: 0.6368406887957039 and parameters: {'left_stride': 0, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8719130198353574, 'batch_size': 67, 'attention_heads': 15, 'hidden_dimension': 233, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4435741633104914, 'global_pooling': 'mean', 'learning_rate': 0.00014611024649972503, 'weight_decay': 1.3737990494162234e-05, 'beta_0': 0.8667793893941063, 'beta_1': 0.9845425348245779, 'epsilon': 4.78359602487058e-07, 'balanced_loss': False, 'epochs': 108, 'early_stopping_patience': 24, 'plateau_patience': 20, 'plateau_divider': 7}. Best is trial 125 with value: 0.6536439010367193.
[I 2024-12-01 08:24:42,278] Trial 219 finished with value: 0.5934941946679633 and parameters: {'left_stride': 0, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8717759548582714, 'batch_size': 68, 'attention_heads': 15, 'hidden_dimension': 231, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4258685330524978, 'global_pooling': 'mean', 'learning_rate': 0.0003543532654068018, 'weight_decay': 1.3435513001837824e-05, 'beta_0': 0.8664922361337665, 'beta_1': 0.984630987277066, 'epsilon': 4.3357007223909006e-07, 'balanced_loss': False, 'epochs': 110, 'early_stopping_patience': 24, 'plateau_patience': 20, 'plateau_divider': 7}. Best is trial 125 with value: 0.6536439010367193.
[I 2024-12-01 08:53:23,922] Trial 220 finished with value: 0.6248168813615337 and parameters: {'left_stride': 0, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8668260623924648, 'batch_size': 72, 'attention_heads': 15, 'hidden_dimension': 223, 'number_of_hidden_layers': 2, 'dropout_rate': 0.44158930695204496, 'global_pooling': 'mean', 'learning_rate': 9.034390624475366e-05, 'weight_decay': 1.0684531655985578e-05, 'beta_0': 0.8644510087011742, 'beta_1': 0.9852451787259153, 'epsilon': 4.746335444523952e-07, 'balanced_loss': False, 'epochs': 114, 'early_stopping_patience': 24, 'plateau_patience': 20, 'plateau_divider': 7}. Best is trial 125 with value: 0.6536439010367193.
[I 2024-12-01 09:21:58,081] Trial 221 finished with value: 0.6222992101308791 and parameters: {'left_stride': 0, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8797056375423116, 'batch_size': 70, 'attention_heads': 16, 'hidden_dimension': 241, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4343995276662184, 'global_pooling': 'mean', 'learning_rate': 0.00016794909868720432, 'weight_decay': 6.3563156875137325e-06, 'beta_0': 0.8677483856805618, 'beta_1': 0.9833732460123992, 'epsilon': 3.505859949500355e-07, 'balanced_loss': False, 'epochs': 106, 'early_stopping_patience': 24, 'plateau_patience': 22, 'plateau_divider': 7}. Best is trial 125 with value: 0.6536439010367193.
[I 2024-12-01 09:51:35,163] Trial 222 finished with value: 0.6347937721372227 and parameters: {'left_stride': 0, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8740950549553054, 'batch_size': 67, 'attention_heads': 15, 'hidden_dimension': 234, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4789976428274278, 'global_pooling': 'mean', 'learning_rate': 0.00013943779721113284, 'weight_decay': 9.630101830187163e-06, 'beta_0': 0.8737813504198777, 'beta_1': 0.9847874843877367, 'epsilon': 6.231637120426107e-07, 'balanced_loss': False, 'epochs': 111, 'early_stopping_patience': 25, 'plateau_patience': 20, 'plateau_divider': 7}. Best is trial 125 with value: 0.6536439010367193.
[I 2024-12-01 10:20:31,261] Trial 223 finished with value: 0.6302532491127788 and parameters: {'left_stride': 0, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8750176314499267, 'batch_size': 67, 'attention_heads': 15, 'hidden_dimension': 229, 'number_of_hidden_layers': 2, 'dropout_rate': 0.45301153720033693, 'global_pooling': 'mean', 'learning_rate': 0.0001280128341348836, 'weight_decay': 8.927916852325133e-06, 'beta_0': 0.8740213024265401, 'beta_1': 0.9845156094706458, 'epsilon': 6.325909682551211e-07, 'balanced_loss': False, 'epochs': 111, 'early_stopping_patience': 25, 'plateau_patience': 20, 'plateau_divider': 7}. Best is trial 125 with value: 0.6536439010367193.
[I 2024-12-01 10:47:12,169] Trial 224 finished with value: 0.6280725492796586 and parameters: {'left_stride': 0, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8724852473856299, 'batch_size': 66, 'attention_heads': 15, 'hidden_dimension': 234, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5009106528872886, 'global_pooling': 'mean', 'learning_rate': 0.00024242710824625064, 'weight_decay': 2.20996101217051e-05, 'beta_0': 0.8622491359131114, 'beta_1': 0.9849791604602334, 'epsilon': 4.2562316081870663e-07, 'balanced_loss': False, 'epochs': 107, 'early_stopping_patience': 25, 'plateau_patience': 20, 'plateau_divider': 7}. Best is trial 125 with value: 0.6536439010367193.
[I 2024-12-01 11:14:17,476] Trial 225 finished with value: 0.6255412173716853 and parameters: {'left_stride': 0, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8685917831059604, 'batch_size': 69, 'attention_heads': 14, 'hidden_dimension': 238, 'number_of_hidden_layers': 2, 'dropout_rate': 0.46676020393957235, 'global_pooling': 'mean', 'learning_rate': 0.00011363006323091407, 'weight_decay': 1.4548157831401418e-05, 'beta_0': 0.8696485617997446, 'beta_1': 0.9841833657585419, 'epsilon': 6.428554521012322e-07, 'balanced_loss': False, 'epochs': 116, 'early_stopping_patience': 25, 'plateau_patience': 20, 'plateau_divider': 7}. Best is trial 125 with value: 0.6536439010367193.
[I 2024-12-01 11:39:59,704] Trial 226 finished with value: 0.6280301108839129 and parameters: {'left_stride': 0, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8841498345787765, 'batch_size': 64, 'attention_heads': 15, 'hidden_dimension': 245, 'number_of_hidden_layers': 2, 'dropout_rate': 0.47308005962677063, 'global_pooling': 'mean', 'learning_rate': 0.0001475408579639471, 'weight_decay': 1.0023059437739844e-05, 'beta_0': 0.8657015776081421, 'beta_1': 0.9854568431370054, 'epsilon': 5.227215777178068e-07, 'balanced_loss': False, 'epochs': 109, 'early_stopping_patience': 24, 'plateau_patience': 21, 'plateau_divider': 7}. Best is trial 125 with value: 0.6536439010367193.
[I 2024-12-01 12:07:38,613] Trial 227 finished with value: 0.6119035980192631 and parameters: {'left_stride': 0, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8622867681310515, 'batch_size': 62, 'attention_heads': 15, 'hidden_dimension': 235, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5265900058935913, 'global_pooling': 'mean', 'learning_rate': 0.00020382745025609785, 'weight_decay': 1.7155364042606245e-05, 'beta_0': 0.8731268355585592, 'beta_1': 0.9847551563694711, 'epsilon': 7.272049650699501e-07, 'balanced_loss': False, 'epochs': 119, 'early_stopping_patience': 25, 'plateau_patience': 21, 'plateau_divider': 7}. Best is trial 125 with value: 0.6536439010367193.
[I 2024-12-01 12:34:59,060] Trial 228 finished with value: 0.6121757298966003 and parameters: {'left_stride': 0, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8796935192806712, 'batch_size': 66, 'attention_heads': 15, 'hidden_dimension': 226, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4436977937233495, 'global_pooling': 'mean', 'learning_rate': 8.95597098171162e-05, 'weight_decay': 7.268032453106974e-06, 'beta_0': 0.8779756575081171, 'beta_1': 0.9859736241700026, 'epsilon': 3.8038683891040784e-07, 'balanced_loss': False, 'epochs': 104, 'early_stopping_patience': 24, 'plateau_patience': 20, 'plateau_divider': 7}. Best is trial 125 with value: 0.6536439010367193.
