[I 2024-12-02 10:47:13,435] A new study created in RDB with name: Ohsumed-GATv2-xlnet-xlnet-base-cased-Grouped-No_Aggregation
CUDA out of memory. Tried to allocate 3.43 GiB. GPU 0 has a total capacity of 44.56 GiB of which 3.24 GiB is free. Including non-PyTorch memory, this process has 41.31 GiB memory in use. Of the allocated memory 38.90 GiB is allocated by PyTorch, and 1.27 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
[I 2024-12-02 11:00:38,925] Trial 0 finished with value: -1.0 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.8116161415975183, 'batch_size': 116, 'attention_heads': 11, 'hidden_dimension': 191, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5909729556485983, 'global_pooling': 'mean', 'learning_rate': 5.415244119402538e-05, 'weight_decay': 8.179499475211674e-06, 'beta_0': 0.8510059609290175, 'beta_1': 0.9881622148267181, 'epsilon': 1.4618962793704927e-07, 'balanced_loss': True, 'epochs': 94, 'early_stopping_patience': 15, 'plateau_patience': 17, 'plateau_divider': 9}. Best is trial 0 with value: -1.0.
[I 2024-12-02 20:35:43,415] Trial 34 finished with value: 0.49938510798300223 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.9322857370515676, 'batch_size': 108, 'attention_heads': 10, 'hidden_dimension': 79, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5519205249562328, 'global_pooling': 'mean', 'learning_rate': 0.000966385139970226, 'weight_decay': 0.0003647712135591026, 'beta_0': 0.8584882706124768, 'beta_1': 0.9837673078532049, 'epsilon': 5.398723743747333e-05, 'balanced_loss': False, 'epochs': 186, 'early_stopping_patience': 20, 'plateau_patience': 18, 'plateau_divider': 10}. Best is trial 34 with value: 0.49938510798300223.
[I 2024-12-02 20:50:58,440] Trial 35 finished with value: 0.5318013104356905 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.9313739354507077, 'batch_size': 108, 'attention_heads': 10, 'hidden_dimension': 76, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5483265523791344, 'global_pooling': 'mean', 'learning_rate': 0.001183306532065083, 'weight_decay': 0.00038534362794276356, 'beta_0': 0.8557368429477552, 'beta_1': 0.984427087682891, 'epsilon': 5.518560174811681e-05, 'balanced_loss': False, 'epochs': 185, 'early_stopping_patience': 20, 'plateau_patience': 18, 'plateau_divider': 10}. Best is trial 35 with value: 0.5318013104356905.
[I 2024-12-02 21:06:30,088] Trial 36 finished with value: 0.5131246444403208 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.9332292788346215, 'batch_size': 121, 'attention_heads': 10, 'hidden_dimension': 80, 'number_of_hidden_layers': 1, 'dropout_rate': 0.553581624815365, 'global_pooling': 'mean', 'learning_rate': 0.0010807893041483324, 'weight_decay': 0.00038940684549975644, 'beta_0': 0.8437349879078921, 'beta_1': 0.9838850692916382, 'epsilon': 4.968580073638313e-05, 'balanced_loss': False, 'epochs': 183, 'early_stopping_patience': 20, 'plateau_patience': 23, 'plateau_divider': 10}. Best is trial 35 with value: 0.5318013104356905.
[I 2024-12-02 21:22:51,154] Trial 37 finished with value: 0.5411093934134158 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.9273165575369, 'batch_size': 120, 'attention_heads': 10, 'hidden_dimension': 103, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5511028766470512, 'global_pooling': 'mean', 'learning_rate': 0.0012298592154077364, 'weight_decay': 0.0003642024993184632, 'beta_0': 0.8430767076594428, 'beta_1': 0.983785201964122, 'epsilon': 6.958911977111005e-05, 'balanced_loss': False, 'epochs': 185, 'early_stopping_patience': 20, 'plateau_patience': 23, 'plateau_divider': 9}. Best is trial 37 with value: 0.5411093934134158.
[I 2024-12-02 21:42:56,553] Trial 38 finished with value: 0.43543442133643745 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.9312397035382597, 'batch_size': 109, 'attention_heads': 9, 'hidden_dimension': 106, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5204044744791055, 'global_pooling': 'mean', 'learning_rate': 3.6063110712486105e-05, 'weight_decay': 0.00039624867127518716, 'beta_0': 0.8430607651315284, 'beta_1': 0.9835194049994236, 'epsilon': 6.821852906738419e-05, 'balanced_loss': True, 'epochs': 190, 'early_stopping_patience': 20, 'plateau_patience': 24, 'plateau_divider': 9}. Best is trial 37 with value: 0.5411093934134158.
[I 2024-12-02 21:57:01,409] Trial 39 finished with value: 0.5052276300187559 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.911235276004918, 'batch_size': 120, 'attention_heads': 10, 'hidden_dimension': 93, 'number_of_hidden_layers': 0, 'dropout_rate': 0.3209455537689708, 'global_pooling': 'mean', 'learning_rate': 0.0016430105697552038, 'weight_decay': 0.0003760869193701452, 'beta_0': 0.8426027051399627, 'beta_1': 0.980661449851972, 'epsilon': 9.87527942857906e-05, 'balanced_loss': False, 'epochs': 70, 'early_stopping_patience': 23, 'plateau_patience': 23, 'plateau_divider': 9}. Best is trial 37 with value: 0.5411093934134158.
[I 2024-12-02 22:10:36,487] Trial 40 finished with value: 0.5093168946202737 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.9115850239209072, 'batch_size': 120, 'attention_heads': 8, 'hidden_dimension': 93, 'number_of_hidden_layers': 0, 'dropout_rate': 0.30249654545468235, 'global_pooling': 'mean', 'learning_rate': 0.0019407855957822553, 'weight_decay': 0.0009989901145993814, 'beta_0': 0.8440254850970424, 'beta_1': 0.9800754136077958, 'epsilon': 9.975003387926544e-05, 'balanced_loss': False, 'epochs': 52, 'early_stopping_patience': 22, 'plateau_patience': 23, 'plateau_divider': 9}. Best is trial 37 with value: 0.5411093934134158.
[I 2024-12-02 22:24:13,442] Trial 41 finished with value: 0.5116786580642994 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.9121595954043884, 'batch_size': 120, 'attention_heads': 8, 'hidden_dimension': 94, 'number_of_hidden_layers': 0, 'dropout_rate': 0.32156599290196536, 'global_pooling': 'mean', 'learning_rate': 0.0017722666581071473, 'weight_decay': 0.0009342704237422996, 'beta_0': 0.84578663552855, 'beta_1': 0.9802030670813923, 'epsilon': 8.952127749696512e-05, 'balanced_loss': False, 'epochs': 54, 'early_stopping_patience': 23, 'plateau_patience': 23, 'plateau_divider': 9}. Best is trial 37 with value: 0.5411093934134158.
[I 2024-12-02 22:38:07,946] Trial 42 finished with value: 0.5219967149861073 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.8898962125498009, 'batch_size': 119, 'attention_heads': 8, 'hidden_dimension': 105, 'number_of_hidden_layers': 0, 'dropout_rate': 0.34695128358880384, 'global_pooling': 'mean', 'learning_rate': 0.002380124803870931, 'weight_decay': 0.0009972119177475384, 'beta_0': 0.8509348490883468, 'beta_1': 0.9816871949161105, 'epsilon': 3.610527080711873e-05, 'balanced_loss': False, 'epochs': 55, 'early_stopping_patience': 22, 'plateau_patience': 22, 'plateau_divider': 8}. Best is trial 37 with value: 0.5411093934134158.
[I 2024-12-02 22:51:43,396] Trial 43 finished with value: 0.5241957019355159 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.8928057310915524, 'batch_size': 127, 'attention_heads': 6, 'hidden_dimension': 111, 'number_of_hidden_layers': 0, 'dropout_rate': 0.3595239032861069, 'global_pooling': 'mean', 'learning_rate': 0.002492315896691892, 'weight_decay': 0.000569975923672164, 'beta_0': 0.8525022729307844, 'beta_1': 0.9820433034602456, 'epsilon': 3.065475361045305e-05, 'balanced_loss': False, 'epochs': 64, 'early_stopping_patience': 24, 'plateau_patience': 22, 'plateau_divider': 8}. Best is trial 37 with value: 0.5411093934134158.
[I 2024-12-02 23:06:32,260] Trial 44 finished with value: 0.4943896165644629 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.8955971731242452, 'batch_size': 128, 'attention_heads': 5, 'hidden_dimension': 140, 'number_of_hidden_layers': 0, 'dropout_rate': 0.3395372208174174, 'global_pooling': 'mean', 'learning_rate': 0.00022990044766146034, 'weight_decay': 0.0006278879514149694, 'beta_0': 0.8535802303574032, 'beta_1': 0.9818816790944631, 'epsilon': 3.4566601272244485e-05, 'balanced_loss': False, 'epochs': 78, 'early_stopping_patience': 24, 'plateau_patience': 22, 'plateau_divider': 8}. Best is trial 37 with value: 0.5411093934134158.
[I 2024-12-02 23:22:34,353] Trial 45 finished with value: 0.566355989531118 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.8395364661232928, 'batch_size': 123, 'attention_heads': 6, 'hidden_dimension': 113, 'number_of_hidden_layers': 1, 'dropout_rate': 0.3727741999792691, 'global_pooling': 'mean', 'learning_rate': 0.0023649378243970273, 'weight_decay': 0.0006023449104274261, 'beta_0': 0.8504965528674487, 'beta_1': 0.981959583117734, 'epsilon': 6.793848875626139e-06, 'balanced_loss': False, 'epochs': 64, 'early_stopping_patience': 22, 'plateau_patience': 25, 'plateau_divider': 8}. Best is trial 45 with value: 0.566355989531118.
[I 2024-12-02 23:37:41,814] Trial 46 finished with value: 0.5367894657453288 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.8336858803364732, 'batch_size': 115, 'attention_heads': 6, 'hidden_dimension': 172, 'number_of_hidden_layers': 0, 'dropout_rate': 0.3749574971869778, 'global_pooling': 'mean', 'learning_rate': 0.002652509007386393, 'weight_decay': 0.0006037331382856967, 'beta_0': 0.836861558315814, 'beta_1': 0.9814713747590839, 'epsilon': 7.114114992507429e-06, 'balanced_loss': True, 'epochs': 62, 'early_stopping_patience': 22, 'plateau_patience': 25, 'plateau_divider': 8}. Best is trial 45 with value: 0.566355989531118.
[I 2024-12-02 23:55:26,663] Trial 47 finished with value: 0.1830827679452709 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.8234759508942133, 'batch_size': 125, 'attention_heads': 6, 'hidden_dimension': 195, 'number_of_hidden_layers': 1, 'dropout_rate': 0.37578979237474064, 'global_pooling': 'mean', 'learning_rate': 0.012214678254180635, 'weight_decay': 0.00028147422087871135, 'beta_0': 0.8354810595417806, 'beta_1': 0.982276404415461, 'epsilon': 6.753716676341785e-07, 'balanced_loss': True, 'epochs': 86, 'early_stopping_patience': 24, 'plateau_patience': 25, 'plateau_divider': 7}. Best is trial 45 with value: 0.566355989531118.
[I 2024-12-03 00:09:55,205] Trial 48 finished with value: 0.5164300244796072 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.8267072042815607, 'batch_size': 115, 'attention_heads': 6, 'hidden_dimension': 173, 'number_of_hidden_layers': 0, 'dropout_rate': 0.3818227339302786, 'global_pooling': 'mean', 'learning_rate': 0.007402476769354853, 'weight_decay': 0.0006716874473934791, 'beta_0': 0.8334316783705557, 'beta_1': 0.9849999393195326, 'epsilon': 1.1592749062614741e-08, 'balanced_loss': True, 'epochs': 65, 'early_stopping_patience': 21, 'plateau_patience': 24, 'plateau_divider': 8}. Best is trial 45 with value: 0.566355989531118.
[I 2024-12-03 00:27:32,904] Trial 49 finished with value: 0.062109007981446834 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.8459502820173235, 'batch_size': 124, 'attention_heads': 4, 'hidden_dimension': 178, 'number_of_hidden_layers': 1, 'dropout_rate': 0.39599285260000566, 'global_pooling': 'max', 'learning_rate': 0.027826631509868704, 'weight_decay': 0.0005518469416042576, 'beta_0': 0.8091805952730047, 'beta_1': 0.9812804952088992, 'epsilon': 4.839631102994122e-06, 'balanced_loss': True, 'epochs': 62, 'early_stopping_patience': 24, 'plateau_patience': 24, 'plateau_divider': 7}. Best is trial 45 with value: 0.566355989531118.
[I 2024-12-03 00:41:52,127] Trial 50 finished with value: 0.513724073095825 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.8435280805656067, 'batch_size': 112, 'attention_heads': 6, 'hidden_dimension': 152, 'number_of_hidden_layers': 0, 'dropout_rate': 0.36098965850523634, 'global_pooling': 'mean', 'learning_rate': 0.0006445138591435995, 'weight_decay': 0.00024206315804200566, 'beta_0': 0.8303700987022253, 'beta_1': 0.9830688548581121, 'epsilon': 6.114961364840575e-06, 'balanced_loss': True, 'epochs': 83, 'early_stopping_patience': 21, 'plateau_patience': 25, 'plateau_divider': 8}. Best is trial 45 with value: 0.566355989531118.
[I 2024-12-03 00:55:38,035] Trial 51 finished with value: 0.5596789805650537 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.872647541800778, 'batch_size': 119, 'attention_heads': 5, 'hidden_dimension': 116, 'number_of_hidden_layers': 0, 'dropout_rate': 0.3520983067252728, 'global_pooling': 'mean', 'learning_rate': 0.0025798485715734496, 'weight_decay': 0.000489451687064621, 'beta_0': 0.8503089107716617, 'beta_1': 0.9814712782764641, 'epsilon': 1.5151574099176741e-05, 'balanced_loss': True, 'epochs': 60, 'early_stopping_patience': 22, 'plateau_patience': 21, 'plateau_divider': 8}. Best is trial 45 with value: 0.566355989531118.
[I 2024-12-03 01:09:36,999] Trial 52 finished with value: 0.5434568408661126 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.8033042046237123, 'batch_size': 116, 'attention_heads': 5, 'hidden_dimension': 116, 'number_of_hidden_layers': 0, 'dropout_rate': 0.36237527404489306, 'global_pooling': 'mean', 'learning_rate': 0.0013697377289560739, 'weight_decay': 0.000477318811083778, 'beta_0': 0.8515034876194796, 'beta_1': 0.9825657868261508, 'epsilon': 1.0892997095820481e-05, 'balanced_loss': True, 'epochs': 63, 'early_stopping_patience': 22, 'plateau_patience': 21, 'plateau_divider': 7}. Best is trial 45 with value: 0.566355989531118.
[I 2024-12-03 01:23:44,316] Trial 53 finished with value: 0.5307464085256205 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.8080885080953083, 'batch_size': 117, 'attention_heads': 5, 'hidden_dimension': 124, 'number_of_hidden_layers': 0, 'dropout_rate': 0.42008060026912697, 'global_pooling': 'mean', 'learning_rate': 0.0012715755036163214, 'weight_decay': 1.0477158214858473e-06, 'beta_0': 0.8404432797027699, 'beta_1': 0.9846283615888108, 'epsilon': 1.2982543631268757e-05, 'balanced_loss': True, 'epochs': 75, 'early_stopping_patience': 22, 'plateau_patience': 20, 'plateau_divider': 7}. Best is trial 45 with value: 0.566355989531118.
[I 2024-12-03 01:37:06,034] Trial 54 finished with value: 0.4435924899554592 and parameters: {'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.8710542089802568, 'batch_size': 108, 'attention_heads': 4, 'hidden_dimension': 134, 'number_of_hidden_layers': 0, 'dropout_rate': 0.3895151369753364, 'global_pooling': 'mean', 'learning_rate': 0.005458713455750501, 'weight_decay': 0.00030349235637242163, 'beta_0': 0.8474925269781227, 'beta_1': 0.9855239553335224, 'epsilon': 7.252987148343281e-06, 'balanced_loss': True, 'epochs': 90, 'early_stopping_patience': 21, 'plateau_patience': 21, 'plateau_divider': 6}. Best is trial 45 with value: 0.566355989531118.
[I 2024-12-03 01:53:45,247] Trial 55 finished with value: 0.557811625395268 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.8211544944351102, 'batch_size': 116, 'attention_heads': 5, 'hidden_dimension': 121, 'number_of_hidden_layers': 1, 'dropout_rate': 0.36454390731178216, 'global_pooling': 'mean', 'learning_rate': 0.0015439979200553046, 'weight_decay': 0.0004874465877752368, 'beta_0': 0.8501967153129124, 'beta_1': 0.9826568455827516, 'epsilon': 1.744735329552965e-05, 'balanced_loss': True, 'epochs': 98, 'early_stopping_patience': 22, 'plateau_patience': 21, 'plateau_divider': 8}. Best is trial 45 with value: 0.566355989531118.
[I 2024-12-03 02:08:55,276] Trial 56 finished with value: 0.5007726093002359 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.8177824119846747, 'batch_size': 122, 'attention_heads': 5, 'hidden_dimension': 119, 'number_of_hidden_layers': 0, 'dropout_rate': 0.3689146528840951, 'global_pooling': 'mean', 'learning_rate': 0.0005055989552538837, 'weight_decay': 0.0004977417430016481, 'beta_0': 0.849469036566502, 'beta_1': 0.9809460465716565, 'epsilon': 1.768399780155212e-05, 'balanced_loss': True, 'epochs': 98, 'early_stopping_patience': 22, 'plateau_patience': 21, 'plateau_divider': 6}. Best is trial 45 with value: 0.566355989531118.
[I 2024-12-03 02:24:23,571] Trial 57 finished with value: 0.054412402738536994 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.8016472102640954, 'batch_size': 115, 'attention_heads': 5, 'hidden_dimension': 154, 'number_of_hidden_layers': 1, 'dropout_rate': 0.40775428359004345, 'global_pooling': 'max', 'learning_rate': 0.009360584490323055, 'weight_decay': 2.598372148612555e-06, 'beta_0': 0.8392739102407887, 'beta_1': 0.9826397992632663, 'epsilon': 3.752657565530509e-06, 'balanced_loss': True, 'epochs': 58, 'early_stopping_patience': 23, 'plateau_patience': 24, 'plateau_divider': 7}. Best is trial 45 with value: 0.566355989531118.
[I 2024-12-03 02:38:38,560] Trial 58 finished with value: 0.5528113093693647 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.8344292572742541, 'batch_size': 124, 'attention_heads': 4, 'hidden_dimension': 165, 'number_of_hidden_layers': 0, 'dropout_rate': 0.345056515170397, 'global_pooling': 'mean', 'learning_rate': 0.0026557288538952262, 'weight_decay': 0.0006886035102960097, 'beta_0': 0.8171316459229357, 'beta_1': 0.9813227944700269, 'epsilon': 3.606842455524228e-06, 'balanced_loss': True, 'epochs': 68, 'early_stopping_patience': 22, 'plateau_patience': 21, 'plateau_divider': 8}. Best is trial 45 with value: 0.566355989531118.
[I 2024-12-03 02:52:16,199] Trial 59 finished with value: 0.44079527668550456 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.854116999954404, 'batch_size': 123, 'attention_heads': 4, 'hidden_dimension': 145, 'number_of_hidden_layers': 1, 'dropout_rate': 0.34275179319234494, 'global_pooling': 'mean', 'learning_rate': 0.0008593205513921701, 'weight_decay': 0.0007731838959533815, 'beta_0': 0.817689791569509, 'beta_1': 0.9833644910650224, 'epsilon': 3.4460353536923033e-06, 'balanced_loss': True, 'epochs': 71, 'early_stopping_patience': 10, 'plateau_patience': 19, 'plateau_divider': 8}. Best is trial 45 with value: 0.566355989531118.
[I 2024-12-03 03:06:10,255] Trial 60 finished with value: 0.4740416483266149 and parameters: {'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.8389781333662137, 'batch_size': 54, 'attention_heads': 5, 'hidden_dimension': 117, 'number_of_hidden_layers': 0, 'dropout_rate': 0.3323796389221467, 'global_pooling': 'mean', 'learning_rate': 0.0004117081646612173, 'weight_decay': 0.0004648467562942338, 'beta_0': 0.814888619998517, 'beta_1': 0.9862863958627589, 'epsilon': 1.113511264073004e-05, 'balanced_loss': True, 'epochs': 80, 'early_stopping_patience': 23, 'plateau_patience': 20, 'plateau_divider': 7}. Best is trial 45 with value: 0.566355989531118.
[I 2024-12-03 03:21:43,903] Trial 61 finished with value: 0.5717239970125455 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.8327555483205761, 'batch_size': 112, 'attention_heads': 6, 'hidden_dimension': 183, 'number_of_hidden_layers': 0, 'dropout_rate': 0.35240882966978765, 'global_pooling': 'mean', 'learning_rate': 0.002636038227482587, 'weight_decay': 0.0007145840008952251, 'beta_0': 0.8235177921744287, 'beta_1': 0.9814285339242421, 'epsilon': 6.336273875746019e-06, 'balanced_loss': True, 'epochs': 50, 'early_stopping_patience': 22, 'plateau_patience': 21, 'plateau_divider': 8}. Best is trial 61 with value: 0.5717239970125455.
[I 2024-12-03 03:36:39,083] Trial 62 finished with value: 0.5608524142037611 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.8313673892313773, 'batch_size': 111, 'attention_heads': 4, 'hidden_dimension': 186, 'number_of_hidden_layers': 0, 'dropout_rate': 0.35201518637708856, 'global_pooling': 'mean', 'learning_rate': 0.0014837760550131544, 'weight_decay': 0.0007531419062124915, 'beta_0': 0.8081782028620195, 'beta_1': 0.9806545791448434, 'epsilon': 1.6496733512710265e-06, 'balanced_loss': True, 'epochs': 50, 'early_stopping_patience': 21, 'plateau_patience': 21, 'plateau_divider': 8}. Best is trial 61 with value: 0.5717239970125455.
[I 2024-12-03 03:50:53,615] Trial 63 finished with value: 0.5559710563501568 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.8143082641877726, 'batch_size': 105, 'attention_heads': 4, 'hidden_dimension': 204, 'number_of_hidden_layers': 0, 'dropout_rate': 0.3523080907513793, 'global_pooling': 'mean', 'learning_rate': 0.005492025534039843, 'weight_decay': 0.0007247495347783076, 'beta_0': 0.8047514455194924, 'beta_1': 0.9805614784641393, 'epsilon': 1.3751842382477349e-06, 'balanced_loss': True, 'epochs': 51, 'early_stopping_patience': 22, 'plateau_patience': 21, 'plateau_divider': 8}. Best is trial 61 with value: 0.5717239970125455.
[I 2024-12-03 04:05:04,083] Trial 64 finished with value: 0.5212220995699999 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.8147826512210516, 'batch_size': 103, 'attention_heads': 4, 'hidden_dimension': 205, 'number_of_hidden_layers': 0, 'dropout_rate': 0.35233641162990686, 'global_pooling': 'mean', 'learning_rate': 0.0065718222383416664, 'weight_decay': 0.000736354552980925, 'beta_0': 0.8052477233405694, 'beta_1': 0.9806799787527518, 'epsilon': 1.1362365248271744e-06, 'balanced_loss': True, 'epochs': 58, 'early_stopping_patience': 21, 'plateau_patience': 20, 'plateau_divider': 8}. Best is trial 61 with value: 0.5717239970125455.
[I 2024-12-03 04:19:40,307] Trial 65 finished with value: 0.5627881054955453 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.8299049656789967, 'batch_size': 110, 'attention_heads': 4, 'hidden_dimension': 225, 'number_of_hidden_layers': 0, 'dropout_rate': 0.31234707930218003, 'global_pooling': 'mean', 'learning_rate': 0.005060545223290869, 'weight_decay': 0.000800751868430587, 'beta_0': 0.8109635932146594, 'beta_1': 0.9812908712355168, 'epsilon': 2.204108037403871e-07, 'balanced_loss': True, 'epochs': 51, 'early_stopping_patience': 25, 'plateau_patience': 21, 'plateau_divider': 8}. Best is trial 61 with value: 0.5717239970125455.
[I 2024-12-03 04:34:01,083] Trial 66 finished with value: 0.5116676933741756 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.8512476584307627, 'batch_size': 111, 'attention_heads': 4, 'hidden_dimension': 233, 'number_of_hidden_layers': 0, 'dropout_rate': 0.302326562892609, 'global_pooling': 'max', 'learning_rate': 0.004801809300947766, 'weight_decay': 0.0007898209103138496, 'beta_0': 0.8102777343863928, 'beta_1': 0.9800677363309427, 'epsilon': 2.3065715645066672e-07, 'balanced_loss': True, 'epochs': 52, 'early_stopping_patience': 25, 'plateau_patience': 19, 'plateau_divider': 8}. Best is trial 61 with value: 0.5717239970125455.
[I 2024-12-03 04:48:54,432] Trial 67 finished with value: 0.4797736777809312 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.8633117683423, 'batch_size': 100, 'attention_heads': 7, 'hidden_dimension': 222, 'number_of_hidden_layers': 0, 'dropout_rate': 0.3150011663274413, 'global_pooling': 'mean', 'learning_rate': 0.01489337657801413, 'weight_decay': 0.00022405275615715103, 'beta_0': 0.8089653754978826, 'beta_1': 0.98068550744865, 'epsilon': 7.064093700583108e-07, 'balanced_loss': True, 'epochs': 51, 'early_stopping_patience': 24, 'plateau_patience': 21, 'plateau_divider': 9}. Best is trial 61 with value: 0.5717239970125455.
[I 2024-12-03 05:03:49,288] Trial 68 finished with value: 0.5457191027136277 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.8246080274794788, 'batch_size': 85, 'attention_heads': 6, 'hidden_dimension': 187, 'number_of_hidden_layers': 0, 'dropout_rate': 0.3349235334345248, 'global_pooling': 'mean', 'learning_rate': 0.004112761112425676, 'weight_decay': 0.0001959009666828339, 'beta_0': 0.8041750998271986, 'beta_1': 0.9822925976120829, 'epsilon': 9.538900797287018e-08, 'balanced_loss': True, 'epochs': 58, 'early_stopping_patience': 25, 'plateau_patience': 22, 'plateau_divider': 7}. Best is trial 61 with value: 0.5717239970125455.
[I 2024-12-03 05:18:27,133] Trial 69 finished with value: 0.3668219898641632 and parameters: {'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.8315426173717534, 'batch_size': 104, 'attention_heads': 5, 'hidden_dimension': 251, 'number_of_hidden_layers': 0, 'dropout_rate': 0.31313795485119744, 'global_pooling': 'mean', 'learning_rate': 0.021840190446354914, 'weight_decay': 0.0002923430544757437, 'beta_0': 0.820828438018369, 'beta_1': 0.9816794013920207, 'epsilon': 2.9042248473185996e-07, 'balanced_loss': True, 'epochs': 50, 'early_stopping_patience': 23, 'plateau_patience': 19, 'plateau_divider': 8}. Best is trial 61 with value: 0.5717239970125455.
[I 2024-12-03 05:36:39,845] Trial 70 finished with value: 0.07462579322093255 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.8718567780600794, 'batch_size': 111, 'attention_heads': 4, 'hidden_dimension': 206, 'number_of_hidden_layers': 4, 'dropout_rate': 0.39088441231847715, 'global_pooling': 'mean', 'learning_rate': 0.0031652975373210996, 'weight_decay': 0.0008069439860446465, 'beta_0': 0.8051927680644472, 'beta_1': 0.9810424525107939, 'epsilon': 5.498495699848486e-07, 'balanced_loss': True, 'epochs': 74, 'early_stopping_patience': 21, 'plateau_patience': 20, 'plateau_divider': 6}. Best is trial 61 with value: 0.5717239970125455.
[I 2024-12-03 05:50:58,162] Trial 71 finished with value: 0.5517902957353263 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.8333572193239346, 'batch_size': 106, 'attention_heads': 4, 'hidden_dimension': 186, 'number_of_hidden_layers': 0, 'dropout_rate': 0.35031725412369763, 'global_pooling': 'mean', 'learning_rate': 0.0021600789708317064, 'weight_decay': 0.0007033468613010831, 'beta_0': 0.8127981834926804, 'beta_1': 0.9812454719273789, 'epsilon': 1.6973175667402702e-06, 'balanced_loss': True, 'epochs': 58, 'early_stopping_patience': 22, 'plateau_patience': 21, 'plateau_divider': 8}. Best is trial 61 with value: 0.5717239970125455.
